,A,RpoN,flhD
abx_mega__amyc-d_dmso__7,-2.2060161974,-1.8195500993,-0.9161229601
abx_mega__fidax_dmso__1,1.5520700184,0.3895025579,-0.16102312400000002
abx_mega__h2o-1a__1,-0.3094979604,-0.014744452600000001,-0.1549375618
abx_mega__dox_dmso__4,0.7189406017000001,0.2542183783,0.27465352590000003
abx_mega__lzd_dmso__2,-1.2000682863,-0.8593610486000001,0.8065328923
abx_mega__tet_h2o__3,-1.4069348679,-0.9487100239,1.3989402337999999
abx_mega__dmso-1__2,1.7381042338000001,0.3007382105,0.3106630419
abx_mega__sxt_dmso__2,0.49245568430000003,-0.1313019466,0.5956004334
abx_mega__tric_ethanol__2,1.9554583165000001,0.6589152801,0.0555872779
abx_mega__teix_dmso__8,-0.2810330296,-0.3706064465,-0.7051069360000001
abx_mega__ramo_h2o__2,1.211139805,0.0097559328,-0.8484077354
abx_mega__inh_h2o__3,1.5674094904,0.4438443918,0.290439
abx_mega__cst_h2o__3,0.1197399782,0.093635272,-0.3536148811
abx_mega__dmso-9__1,0.3708925225,0.5502023702000001,0.1851617341
abx_mega__ethanol-8__3,1.0083250038,0.23941242100000001,-0.0377915444
abx_mega__monac_dmso__2,-2.3149754782,-0.7440725934,-2.1039566712
abx_mega__dmso-9__2,0.0723371334,0.4683853437,0.2405649728
abx_mega__metro_dmso__4,-0.6518009361,0.5657900501,0.5008920927
abx_mega__ctx_h2o__4,0.031742917,0.1570129421,0.16519066170000002
abx_mega__zeocin_h2o__3,-2.4916359877,0.7747464813,-1.7995012003
abx_mega__bacit_h2o__5,-2.1722309215,-0.2931713245,-2.6144363982
abx_mega__reta_dmso__1,-1.9407859335,-0.5449878411,1.5987489174
abx_mega__ery_h2o__4,-3.8185187779,0.0784509131,1.2417370797
abx_mega__ceru_ethanol__2,1.6866932629,0.7547704340000001,-0.8975576207
abx_mega__fidax_dmso__2,1.4169030973,0.3536250526,-0.058265362200000004
abx_mega__novo_dmso__1,4.6178483852,0.8746578005000001,-1.2534043243
abx_mega__naoh-6__4,-0.0741161627,0.29936246310000003,0.2549673472
abx_mega__amyc-d_dmso__8,-1.6646634021,-0.4710809825,0.1889560918
abx_mega__chl_dmso__3,-2.530133921,-0.326672564,-1.9734936504
abx_mega__nal_naoh__7,-0.1199013473,0.3962943741,0.1809473947
abx_mega__teix_dmso__9,1.6826354768,0.37532094790000003,-0.032168898200000004
abx_mega__ery_dmso__3,-1.25046823,-0.6216938097,0.6729862624
abx_mega__tmp_dmso__3,0.6866162419,0.13931253130000001,0.1304741243
abx_mega__sxt_dmso__3,1.9574412957,0.558718774,-0.5559198734
abx_mega__polmyx_h2o__4,0.0654135606,0.9320456988,-2.2437957783
abx_mega__mem_dmso__3,0.6707002807,0.3979415361,-0.2312379639
abx_mega__nal_naoh__8,0.5716343729000001,0.9156218947,-1.7087825794
abx_mega__pen_h2o__3,0.4151604641,0.0770701456,-2.711141607
abx_mega__van_dmso__5,-1.9597065416000001,-0.9236914394,-1.6043742308
abx_mega__zeocin_h2o__4,-1.8338877196,0.8473467504000001,-2.0486492396
abx_mega__h2o-6__2,1.2258300684,0.3170738315,0.1249593772
abx_mega__tet_h2o__4,-2.4602022171,-1.1251574594,1.139261169
abx_mega__nor_naoh__4,0.4686890319,0.39791129080000004,0.2689302182
abx_mega__cip_naoh__4,-0.0161502761,0.3648318555,-0.08686519840000001
abx_mega__tmp_dmso__4,0.8453350682,0.5319673363,0.6542862954
abx_mega__reta_dmso__2,-3.7880149382,-0.775060662,1.3264330443
abx_mega__mem_dmso__4,-0.4259015212,0.3689014584,-0.3722304765
abx_mega__dox_dmso__5,-0.5746065237,0.0294679464,1.6164499216000001
abx_mega__tmp_dmso__5,2.000046025,0.4541069357,0.8392950461
abx_mega__flavo_dmso__3,0.1285169402,0.4279902372,0.1675627381
abx_mega__tmp_dmso__6,0.5696030432,0.3348146301,1.0417814142
abx_mega__ceru_ethanol__3,3.4793895078,0.8618926901,-1.0423437452
abx_mega__teix_dmso__10,-0.3835753202,0.0201267037,-0.5269540065
abx_mega__novo_h2o__7,4.6908300157,-0.16178331940000001,-2.5126281381
abx_mega__fidax_dmso__3,1.4609127615,0.37991272070000004,0.30110703110000003
abx_mega__h2o-1a__2,0.2022107413,-0.037277264500000004,0.29867065940000004
abx_mega__dcs_h2o__2,-0.21265190790000002,0.3548311478,0.48125591360000003
abx_mega__cst_h2o__4,0.2602343164,0.1030718915,0.0739121085
abx_mega__van_h2o__2,0.1329616013,-0.0312494943,-0.8892910738
abx_mega__pen_h2o__4,0.15115858840000002,0.4373284991,-2.0006843858
abx_mega__h2o-8b__2,0.48154479380000004,0.48419750240000003,-0.2853568587
abx_mega__reta_dmso__3,-3.5221552823,-0.7107889245,1.5045400106
abx_mega__dmso-7__2,0.5548999559000001,0.8456941073,0.37053766450000003
abx_mega__rfp_h2o__2,-2.7862592762,0.344381459,-0.42433838490000003
abx_mega__rif_dmso__6,-0.5894818365,0.5506100709,-0.46470464170000003
abx_mega__sxt_dmso__4,0.7501505446000001,0.5508957859,-0.469775221
abx_mega__cip_naoh__5,1.1006578313,0.0168630616,0.3687961879
abx_mega__dmso-9__3,-0.7685759750000001,0.39087303290000003,0.1429697268
abx_mega__mem_dmso__5,-0.26779927470000003,0.0445700484,0.5009034045
abx_mega__tric_h2o__2,2.1233567933,0.7730122446000001,0.4456346606
abx_mega__phos_h2o__6,0.6764029734,0.2524576478,-0.1683695024
abx_mega__h2o-7__2,-0.0714198762,0.4396618196,-0.0666233247
abx_mega__h2o-10__3,1.0348915436,0.0991312743,0.611235341
abx_mega__h2o-8a__2,0.7145602889,0.2002313933,0.0362649647
abx_mega__thio_dmso__3,-1.9904858920000001,-0.30735370970000003,0.2686946999
abx_mega__lzd_dmso__3,-2.4822731832000002,-0.5015458618,0.9791252717000001
abx_mega__monac_dmso__3,-2.9803967587,-0.9672754863,-2.0906926065
abx_mega__polmyx_h2o__5,-0.2916944104,0.5316735566,-0.1159719298
abx_mega__naoh-6__5,1.336092635,0.4761598155,0.50369673
abx_mega__teix_dmso__11,1.227751676,0.0169839429,-0.2960257477
abx_mega__van_h2o__3,1.0656748371,-0.2305984282,-1.4218939452
abx_mega__teix_dmso__12,0.3987406658,0.3116507979,0.0307663404
abx_mega__dox_dmso__6,0.0551538985,1.5216893711,-1.2346586511
abx_mega__teix_dmso__13,0.8660539295,0.2245963553,-3.2074936754
abx_mega__h2o-7__3,0.3046804974,0.1371741921,0.0527688059
abx_mega__str_h2o__4,0.8974939088,1.1305458372000001,-2.4217732221
abx_mega__tec_h2o__3,3.1275777092,1.0538105626,-5.8231530293
abx_mega__phos_h2o__7,0.9154393346,0.1186262654,0.0201962293
abx_mega__chl_h2o__5,-4.8911473655,-1.0961085104,-0.9835073454000001
