,A,NagC
abx_mega__metro_dmso__2,-0.3163030798,0.5323827082
abx_mega__ery_h2o__2,-1.5957822788,-0.9537609821
abx_mega__sacet_h2o__1,-0.2501756743,1.6447925633
abx_mega__nal_naoh__5,-0.045021001500000005,0.1990000536
abx_mega__bacit_h2o__4,-2.2879927432000002,-0.7274341907
abx_mega__cip_naoh__3,-0.5363397731,0.1734156194
abx_mega__ethanol-8__1,3.5111059823,0.561838915
abx_mega__h2o-8a__1,0.7506907425,0.4992512931
abx_mega__ery_h2o__3,-1.6209871212,-1.1378906015
abx_mega__flavo_dmso__2,0.1431939692,0.1519446072
abx_mega__rif_dmso__4,-0.9647281612,-0.9179844087000001
abx_mega__novo_h2o__5,0.6234822904,-0.8107425435000001
abx_mega__teix_dmso__5,1.0859939982,0.5763157181
abx_mega__naoh-2__1,-0.3096244117,1.3191839405999999
abx_mega__novo_h2o__6,0.3642888474,-1.0895386151
abx_mega__ctx_h2o__3,1.4211833481,0.4965357065
abx_mega__rach_dmso__3,2.3201511076,0.3717124812
abx_mega__valin_dmso__2,0.8794842259000001,0.0030111655000000003
abx_mega__amyc-d_dmso__6,-2.4609100907,-1.308497738
abx_mega__dox_dmso__2,-0.023331237600000002,-0.06858762260000001
abx_mega__teix_dmso__6,2.2129619044,0.2696342438
abx_mega__naoh-6__2,1.0115350989,0.4827625297
abx_mega__inh_h2o__2,3.08019575,1.1691557246
abx_mega__chl_h2o__3,-1.7024056474,-2.0401037076
abx_mega__nal_naoh__6,-0.5832306293,0.23780814360000002
abx_mega__chl_dmso__2,-3.1111811332,-1.3760605757
abx_mega__rach_dmso__4,2.8174752115,0.6405416257000001
abx_mega__teix_dmso__7,1.3159065371,0.4852307313
abx_mega__ceru_ethanol__1,1.2986207466,0.7964841104
abx_mega__dmso-7__1,2.2540179176,0.5229138442
abx_mega__naoh-6__3,0.9039054505,0.4932577475
abx_mega__phos_ethanol__2,-0.3262169359,0.5791818749000001
abx_mega__metro_dmso__3,-0.7900398791000001,0.48347628740000004
abx_mega__van_dmso__4,-1.7815670742,-1.9522199049000002
abx_mega__h2o-10__1,0.7060771146,0.5121484061
abx_mega__h2o-10__2,1.0672638465,0.6389932578
abx_mega__dmso-6__3,1.9451091864,0.46679477340000003
abx_mega__mem_dmso__1,0.9297656422,0.12031309970000001
abx_mega__ethanol-8__2,3.9486050129,0.7410585412
abx_mega__chl_h2o__4,-1.3458345116000001,-1.8811324446
abx_mega__van_h2o__1,-1.1657398171,-0.9304642228000001
abx_mega__dcs_h2o__1,0.0563898319,0.5398473067
abx_mega__rif_dmso__5,1.6766310487,0.2671297723
abx_mega__dox_dmso__3,-0.6086423349,0.3281543596
abx_mega__mem_dmso__2,1.5633402150000002,0.4357143612
abx_mega__lvx_dmso__2,1.3543202615,0.3117157142
abx_mega__tet_h2o__2,-1.1881567534,-0.5202670671
abx_mega__phos_h2o__5,-1.4501479953,1.4951864367
abx_mega__monac_dmso__1,-1.3242842814,-1.0736457226
abx_mega__str_h2o__3,1.5874551162000001,0.5058996183
abx_mega__zeocin_h2o__2,-2.029635582,1.1896346646
abx_mega__amyc-d_dmso__7,-2.8366689802,-1.6400629303
abx_mega__fidax_dmso__1,2.4742772276,0.455457773
abx_mega__h2o-1a__1,-0.0641453812,-0.0282962681
abx_mega__dox_dmso__4,0.2955352975,0.3093233675
abx_mega__lzd_dmso__2,-3.3969854117000002,-0.8381643288
abx_mega__tet_h2o__3,-1.4804482942,-1.1578792316
abx_mega__dmso-1__2,-0.7757404114,-0.0999753669
abx_mega__sxt_dmso__2,-1.4158455449,0.09453235380000001
abx_mega__tric_ethanol__2,2.2795882851,0.1704933076
abx_mega__teix_dmso__8,-1.9953930089,-0.3753065379
abx_mega__ramo_h2o__2,-0.34316918620000003,-0.0003261396
abx_mega__inh_h2o__3,1.4132497743,0.5065493643
abx_mega__cst_h2o__3,-0.9645110208000001,0.0010891515
abx_mega__dmso-9__1,2.1212741867,0.5289169839
abx_mega__ethanol-8__3,4.8353921004,0.8654990991
abx_mega__monac_dmso__2,-1.0517717236,-1.9023020139
abx_mega__dmso-9__2,1.9544025867,0.5931654318
abx_mega__metro_dmso__4,-0.7750798164,0.38999750850000003
abx_mega__ctx_h2o__4,1.0986148968,0.5669327495
abx_mega__zeocin_h2o__3,-1.9061177854,1.4392726701
abx_mega__bacit_h2o__5,-2.6297906821,-0.6654112355
abx_mega__reta_dmso__1,-2.2755973453,-0.7614111978
abx_mega__ery_h2o__4,-1.1501872763,-1.4644185593
abx_mega__ceru_ethanol__2,-2.4589051127,0.7115305066000001
abx_mega__fidax_dmso__2,2.0782036924,0.5438877886
abx_mega__novo_dmso__1,-0.24613843570000002,0.232487243
abx_mega__naoh-6__4,2.0766873378,0.6135118491
abx_mega__amyc-d_dmso__8,-0.0352900544,-0.6562395818
abx_mega__chl_dmso__3,-3.525488182,-1.4293449031
abx_mega__nal_naoh__7,1.3770257819,0.36016941220000004
abx_mega__teix_dmso__9,1.4636643984,0.4234205098
abx_mega__ery_dmso__3,-3.8346289464,-1.4372633796
abx_mega__tmp_dmso__3,-0.5368316905,0.2662186734
abx_mega__sxt_dmso__3,-1.0098890282,0.0977946043
abx_mega__polmyx_h2o__4,-0.0490779828,1.371563202
abx_mega__mem_dmso__3,3.0679218505,0.6059553698
abx_mega__nal_naoh__8,-0.0232738176,0.9856391067
abx_mega__pen_h2o__3,2.2825017734,0.49399605550000003
abx_mega__van_dmso__5,-2.6518593578000003,-2.2087981523
abx_mega__zeocin_h2o__4,-2.1883153178,1.3655894983
abx_mega__h2o-6__2,1.6927988753,0.5194630235000001
abx_mega__tet_h2o__4,-1.1002238079,-1.078142792
abx_mega__nor_naoh__4,0.7404989235,0.5495902557
abx_mega__cip_naoh__4,-0.6236287543,0.3465291198
abx_mega__tmp_dmso__4,-1.7180922332000002,0.5112102521
abx_mega__reta_dmso__2,-0.8933567804,-1.036150479
abx_mega__mem_dmso__4,0.9914104749,0.0777737337
abx_mega__dox_dmso__5,-1.1816125696,-0.46782079460000003
abx_mega__tmp_dmso__5,0.6050873867000001,0.6037500802
abx_mega__flavo_dmso__3,0.1736108334,0.1538111316
abx_mega__tmp_dmso__6,-0.09457775160000001,0.08691910280000001
abx_mega__ceru_ethanol__3,-0.8420636195000001,0.6983056868
abx_mega__teix_dmso__10,-0.7699668847000001,-0.0140223002
abx_mega__novo_h2o__7,-0.1990991691,-1.000108404
abx_mega__fidax_dmso__3,1.9119623295000001,0.580416287
abx_mega__h2o-1a__2,0.1168765991,-0.105935387
abx_mega__dcs_h2o__2,0.7949300624000001,0.5942897532
abx_mega__cst_h2o__4,-0.5518120903,0.0797362489
abx_mega__van_h2o__2,0.0859616098,0.3285693067
abx_mega__pen_h2o__4,0.9552219754000001,0.3606096455
abx_mega__h2o-8b__2,3.2118982042,0.966215263
abx_mega__reta_dmso__3,-1.0281346132,-0.8401855507
abx_mega__dmso-7__2,2.0068295574,0.6397181744
abx_mega__rfp_h2o__2,0.3256546699,-1.0560143276
abx_mega__rif_dmso__6,0.7253860336,-0.0733958998
abx_mega__sxt_dmso__4,-1.0510067636,0.2542172506
abx_mega__cip_naoh__5,1.152433131,0.1986776482
abx_mega__dmso-9__3,1.3039697995,0.3338417882
abx_mega__mem_dmso__5,0.7863254106,0.146935276
abx_mega__tric_h2o__2,1.7873550127,1.0397236006
abx_mega__phos_h2o__6,1.7031842981,0.42013387150000003
abx_mega__h2o-7__2,0.2897536229,0.240577222
abx_mega__h2o-10__3,0.8281018168000001,0.7145890497
abx_mega__h2o-8a__2,1.0252372501,0.4498051441
abx_mega__thio_dmso__3,0.8423332229,-0.4309767822
abx_mega__lzd_dmso__3,-1.1200720334,-0.44290733400000004
abx_mega__monac_dmso__3,-0.8339302727000001,-2.1227196558
abx_mega__polmyx_h2o__5,-1.2325466348,0.3144666454
abx_mega__naoh-6__5,0.0631312146,0.5568552531000001
abx_mega__teix_dmso__11,0.8997773428,0.20644950950000002
abx_mega__van_h2o__3,-0.37359938870000003,-0.10870407950000001
abx_mega__teix_dmso__12,-0.7120753883000001,0.3704969446
abx_mega__dox_dmso__6,-0.5210454423,1.6769289083999999
abx_mega__teix_dmso__13,-0.3838173171,-0.08004949830000001
abx_mega__h2o-7__3,0.37408610470000003,-0.0665552635
abx_mega__str_h2o__4,-1.4833776075,1.3036032806
abx_mega__tec_h2o__3,-3.9557705121,0.7849566678000001
abx_mega__phos_h2o__7,0.8967427440000001,0.24837700440000002
abx_mega__chl_h2o__5,-1.9660222139,-2.0013173521
abx_mega__polmyx_h2o__6,-0.7153001715,1.7131801718
abx_mega__teix_dmso__14,0.7508309008,0.16326985130000002
abx_mega__rif_dmso__7,1.9474116781,0.48198658660000004
abx_mega__ramo_h2o__3,-1.6529687397,-0.0397455809
abx_mega__fidax_dmso__4,1.9552829622,0.2660845439
abx_mega__teix_dmso__15,0.6488581977,0.3376744088
abx_mega__thio_dmso__4,0.3175910349,-0.6278073396
abx_mega__rif_dmso__8,0.4671901952,-0.22833033100000003
abx_mega__reta_dmso__4,-1.2165379719,-1.2253273868
abx_mega__inh_h2o__4,2.5917303671000003,0.9629184761
abx_mega__novo_dmso__2,1.8726105450000001,0.0755437643
abx_mega__dcs_h2o__3,1.3742590743,0.6101818457
abx_mega__h2o-8b__3,0.3093206334,0.32387719060000003
abx_mega__valin_dmso__3,3.0397399275,-0.0089812159
abx_mega__h2o-2__1,0.6680660973,1.948412051
abx_mega__cro_h2o__4,2.2670791994,0.8682855105
abx_mega__dcs_h2o__4,0.3402745786,0.6526859518
abx_mega__str_h2o__5,0.5618357982000001,0.7519463337000001
abx_mega__h2o-8a__3,1.499709099,0.4178681698
abx_mega__dox_dmso__7,0.7977973014,0.22379711260000001
abx_mega__doxo_dmso__2,5.3110032661,0.7148260263
abx_mega__teix_dmso__16,-1.1761361129,0.0316518729
abx_mega__rfp_h2o__3,0.7677684925,-1.2336770982
abx_mega__ethanol-10__3,3.5419730154,0.8769491721
abx_mega__naoh-2__2,1.3583960364,1.5609804478
abx_mega__van_h2o__4,-1.1848419463,-0.8388654042
abx_mega__sacet_h2o__2,-0.8398607359,1.8095593350999999
abx_mega__monac_dmso__4,-2.0298904189,-1.529291422
abx_mega__h2o-2__2,0.6186328967,1.8467525677
abx_mega__zeocin_h2o__5,1.8091391501,0.6259776164
abx_mega__nor_naoh__5,-0.4100277284,0.2885454616
abx_mega__naoh-9__2,0.4977493421,0.5019710111
abx_mega__dmso-7__3,2.4048625282,0.6322148481000001
abx_mega__van_h2o__5,-1.0381897092,-1.1089232471
abx_mega__flavo_dmso__4,1.6776601291,0.2938750915
abx_mega__novo_dmso__3,0.6192812821,-0.0157648417
abx_mega__polmyx_h2o__7,0.1582990166,0.33890603610000003
abx_mega__teix_dmso__17,2.340637644,0.3443444097
abx_mega__doxo_dmso__3,6.4925937149,0.8440434018
abx_mega__mem_dmso__6,2.0078381431,0.8258332941000001
abx_mega__h2o-1a__3,-0.0527312179,0.1342316551
abx_mega__bacit_dmso__3,-1.4483126476,-0.34684179800000003
abx_mega__dox_dmso__8,-2.307881882,1.2268875929
abx_mega__teix_dmso__18,0.84100597,0.0180843806
abx_mega__h2o-6__3,0.787281843,0.260872518
abx_mega__pen_h2o__5,2.2529950083,0.2041167701
abx_mega__lzd_dmso__4,-0.803568456,-0.12924936480000002
abx_mega__daro__1,-2.7079407074,-0.3296501754
abx_mega__solv__1,-2.4368274441,-0.3974229933
abx_mega__daro__2,-2.1152694404,-0.1677226885
abx_mega__daro__3,-1.3482553381,0.1322989424
abx_mega__solv__2,-2.9223557354,-0.6507720247000001
abx_mega__solv__3,-2.1075060754,0.0096532302
abx_mega__dmso-4__1,0.9644677137000001,0.470782189
abx_mega__kirr_dmso__1,-2.4025320265,-1.5818826889
abx_mega__kirr_dmso__2,-2.2765346838,-1.7664914859
abx_mega__kirr_dmso__3,-2.2635172926,-1.6133526084
abx_mega__dmso-4__2,0.3286744381,0.3812141308
abx_mega__dmso-4__3,1.061131667,0.3125811008
ackA_pta__dnaA46_del_ackA__1,-0.5218781961,0.6026021385
ackA_pta__dnaA46_del_ackA__2,0.1595643148,1.0268318401
ackA_pta__dnaA46_del_ackA__3,-1.297512872,0.4229660927
ackA_pta__dnaA46_del_pta__1,4.8582765582,1.4675621065
ackA_pta__dnaA46_del_pta__2,0.9241659765,0.30331988190000003
ackA_pta__dnaA46_del_pta__3,-0.5655558154,0.5655988338
ackA_pta__dnaA46__1,-0.1450800293,0.2551529611
ackA_pta__dnaA46__2,-0.4864695545,-0.4719108241
ackA_pta__dnaA46__3,-0.2488616522,0.1397465145
ackA_pta__del_ackA__1,-0.6692185399,0.8771623346
ackA_pta__del_ackA__2,1.4782708161,1.3396833729
ackA_pta__del_ackA__3,-0.9415529399,0.5784910796
ackA_pta__del_pta__1,0.0780097258,0.009883672500000001
ackA_pta__del_pta__2,2.0142646964,0.4534740102
ackA_pta__del_pta__3,-0.40172153990000004,0.3876995485
ackA_pta__wt__1,0.4321004734,0.0734507119
ackA_pta__wt__2,-0.36098410810000003,-0.10931303560000001
ackA_pta__wt__3,-0.0711163653,0.035862323700000004
anticancer__5fu__1,-3.7811483186,-0.7572015743
anticancer__5fu__2,-3.5664826399000003,-0.5871623576
anticancer__cap__1,-3.3190609867,0.7531326936
anticancer__cap__2,-3.2909619198,0.8676936182
anticancer__cap__3,-4.0847547245,0.7008664609
anticancer__wt__1,-0.5213280939,-0.4050306145
anticancer__wt__2,0.3692997981,-0.1199603831
anticancer__wt__3,0.15202829580000002,0.5249909975
anticancer__5fu__3,-3.8100674243,-0.5856190402
bio_pln__aero_pln__1,-0.0938326015,0.025343671300000002
bio_pln__aero_pln__2,0.0938326015,-0.025343671300000002
bio_pln__anaero_pln__1,0.2821912688,0.1294729788
bio_pln__anaero_pln__2,0.0962642454,0.0651774293
biocide__bzcl_12h__1,-0.5094919112,-0.25007072080000003
biocide__bzcl_12h__2,0.298889952,0.12993324950000001
biocide__bzcl_12h__3,-0.7971728382000001,-0.3399033705
biocide__etoh_12h__1,0.42150220780000003,0.3657080233
biocide__etoh_12h__2,0.8853566788,0.30091005870000004
biocide__etoh_12h__3,-0.068130199,0.45636289420000004
biocide__gluald_12h__1,-0.6502219754,0.1636221606
biocide__gluald_12h__2,-0.8491479028000001,0.32455968100000004
biocide__gluald_12h__3,-1.0639097463,0.053563257100000004
biocide__h2o2_12h__1,-0.0892719845,0.056757479000000007
biocide__h2o2_12h__2,-0.031895255000000004,-0.15501985170000002
biocide__h2o2_12h__3,-0.6349772846,0.09507661860000001
biocide__2ppoh_12h__1,-1.0389785567,0.269357874
biocide__2ppoh_12h__2,-0.9956170550000001,0.2584385833
biocide__2ppoh_12h__3,-0.9740400438000001,0.1712076696
biocide__paa_12h__1,0.2597718629,0.1495589018
biocide__paa_12h__2,-0.5355010275000001,0.0197274285
biocide__paa_12h__3,0.15020212600000002,0.1512518567
biocide__phe_12h__1,-0.778782434,0.139751667
biocide__phe_12h__2,-0.8551949117000001,0.1263668118
biocide__phe_12h__3,-0.5575591385,0.2689040045
biocide__pvp-i_12h__1,0.2693232961,-0.0798497468
biocide__pvp-i_12h__2,-0.8178473888000001,0.010531830300000001
biocide__pvp-i_12h__3,0.057495219300000004,-0.011919891
biocide__bleach_12h__1,-0.6060441878,-0.2277978492
biocide__bleach_12h__2,-0.3503727021,0.0649392527
biocide__bleach_12h__3,-0.5823693016,0.0636521925
biocide__chx_12h__1,0.057107716600000004,0.35554444900000004
biocide__chx_12h__2,0.017888683500000002,0.09092419560000001
biocide__chx_12h__3,-0.4078401031,-0.0335046972
biocide__bzcl_30m__1,-1.7915903686,0.3262342217
biocide__bzcl_30m__2,-2.4696969246,0.1312950018
biocide__bzcl_30m__3,-1.2821958982,0.2400888495
biocide__phe_30m__1,-0.18525053300000002,0.0197825547
biocide__phe_30m__2,-0.8303443992,0.1044141108
biocide__phe_30m__3,-1.4226630028,0.1027609158
biocide__pvp-i_30m__1,-0.822667798,-0.0397742835
biocide__pvp-i_30m__2,-0.8177637722000001,-0.0158966928
biocide__pvp-i_30m__3,-0.3524590848,0.2762972641
biocide__ctrl_12h__1,-0.9819115805,0.09757365250000001
biocide__ctrl_12h__2,-0.44706709570000003,0.1533285104
biocide__ctrl_12h__3,0.6682784571,0.021606768300000002
biocide__ctrl_30m__1,-0.2421687848,0.08898068640000001
biocide__ctrl_30m__2,-0.1177301947,-0.0683388957
biocide__ctrl_30m__3,0.3598989795,-0.0206417907
clpP__wt__1,0.0930103854,-0.0131791731
clpP__wt_DPTA__1,1.6052834201000001,0.8193363367000001
clpP__wt__2,0.0670662804,-0.10605427690000001
clpP__wt_DPTA__2,2.3928931634,0.7827974737000001
clpP__wt__3,-0.16007666580000002,0.11923345
clpP__wt_DPTA__3,1.5588458961,0.7978917896000001
clpP__delclpP__1,-0.1505293437,-0.030079665800000002
clpP__delclpP_DPTA__1,3.2031446261,0.4124535479
clpP__delclpP__2,0.2228151529,-0.172205051
clpP__delclpP_DPTA__2,2.879993501,0.1719413155
clpP__delclpP__3,0.3945992786,-0.1212933904
clpP__delclpP_DPTA__3,2.0258559269,0.3675894918
colombos2__delydcR__1,0.4471322405,-0.1131686056
colombos2__delydcR__2,0.5895384045000001,0.1156372999
colombos2__delydcR__3,0.2890320488,0.1408081122
colombos2__delyjiR__1,0.7372024082,-0.3368869151
colombos2__delyjiR__2,0.4072652715,-0.040645616
colombos2__delyjiR__3,-0.3930610107,0.308678438
colombos2__wt__1,-0.3058474107,-0.1624891013
colombos2__wt__2,1.1530167102,0.11472722540000001
colombos2__wt__3,-0.8471692995000001,0.047761876
crp_k100__ar1_ar2__1,-1.2541915117,0.7707916578
crp_k100__ar1_ar2__2,-2.1064489355,0.5744002344
crp_k100__ar1_ar2__3,-2.8262984114,0.7202104132
crp_k100__wt__1,0.0138757224,-0.1717941581
crp_k100__wt__2,-0.1148203735,-0.013683776000000002
crp_k100__wt__3,0.1009446511,0.18547793410000002
crp_k100__K100Q__1,0.6719649316,-0.15920572530000002
crp_k100__K100Q__2,-0.2292556258,-0.2426002203
crp_k100__K100R__1,0.498681168,-0.2977834225
crp_k100__K100R__2,-0.8956759813,-0.1620444017
crp_k100__K100R__3,0.10050586710000001,-0.0879281305
csrA__wt_t00__1,-0.2342168964,0.2947018404
csrA__wt_t02_30__1,0.18688294160000002,-2.2259402566
csrA__wt_t05__1,0.463711099,-4.0870834582
csrA__wt_t10__1,0.8565752458,-4.0178820409
csrA__wt_t15__1,0.6735383488000001,-3.1548597006
csrA__delcsrA_t00__1,1.085251354,0.6860684059000001
csrA__delcsrA_t02_30__1,2.3944283926,-2.0868461459
csrA__delcsrA_t05__1,2.4797909289,-3.8770384556
csrA__delcsrA_t10__1,2.7311031127,-4.0618278722
csrA__delcsrA_t15__1,1.0165819705,-3.0998055131
csrA__wt_t00__2,0.2342168964,-0.2947018404
csrA__wt_t02_30__2,0.8090850163000001,-1.9465663178
csrA__wt_t05__2,1.6421437882,-4.111981838
csrA__wt_t10__2,2.1959994691,-3.7568931452000003
csrA__wt_t15__2,0.7216839443,-2.9840681647
csrA__delcsrA_t00__2,0.2569526142,0.5010560884
csrA__delcsrA_t02_30__2,1.0415670861,-2.7843105391
csrA__delcsrA_t05__2,2.0358418553,-4.0383341246
csrA__delcsrA_t10__2,1.8374971083,-3.278481602
csrA__delcsrA_t15__2,0.9867600584,-2.4242865819
cstr_pfr__str_0005m__1,-0.1397061446,0.0003591743
cstr_pfr__str_0010m__1,-0.6505122127,-0.0952887864
cstr_pfr__str_0025m__1,-0.8011254790000001,0.07000311050000001
cstr_pfr__str_0045m__1,-1.0822217441,0.1234105379
cstr_pfr__str_0075m__1,-0.7044665478000001,0.0996935456
cstr_pfr__str_0120m__1,-0.7180879646,0.038059775500000004
cstr_pfr__str_0210m__1,-0.8395592285,0.1330514139
cstr_pfr__str_0330m__1,-0.3571715707,0.19105852040000001
cstr_pfr__str_1500m__1,-0.5256567693,0.1305550475
cstr_pfr__str_1560m__1,-0.9816630575,0.1205545366
cstr_pfr__str_1680m__1,-0.9760221805,0.0294759007
cstr_pfr__str_ref1__1,0.0930773654,0.0526074237
