,A,GlpR
abx_mega__phos_ethanol__1,0.7860887639,0.3595799794
abx_mega__teix_dmso__1,-3.0587684787,0.5426239553000001
abx_mega__dmso-10__1,1.3448415086,0.5691680513
abx_mega__van_dmso__1,-6.8023723503,-0.3567962509
abx_mega__ramo_h2o__1,-2.5695628297,0.0783428788
abx_mega__tec_h2o__2,-3.4983099146,0.6474896581
abx_mega__h2o-7__1,-0.016415252300000002,0.3843735019
abx_mega__cro_h2o__1,0.8466194121,0.0456244218
abx_mega__tric_ethanol__1,-1.0189201922,1.0590042532
abx_mega__nor_naoh__1,0.4593138377,-0.4027991691
abx_mega__teix_dmso__2,-0.39531556030000004,-0.1395617891
abx_mega__nal_naoh__3,0.1710551502,-0.28898671740000004
abx_mega__novo_h2o__2,-10.1659056158,-0.3632117656
abx_mega__dmso-10__2,1.1413201685,0.6863330188
abx_mega__phos_h2o__3,0.845440963,-0.23781189300000002
abx_mega__dmso-6__2,-1.6053207253,0.0057735873
abx_mega__rfp_ethanol__1,-7.8438957365,1.2574894709
abx_mega__dmso-5__3,-0.9706845584,0.0910719667
abx_mega__amyc-d_dmso__1,-9.1024310054,-0.28029715980000003
abx_mega__sxt_dmso__1,0.252558922,0.47646866930000004
abx_mega__dmso-1__1,-0.8788748413,0.17498785900000002
abx_mega__pen_h2o__1,-2.2014911149,-0.7575835712
abx_mega__dmso-10__3,1.0889672043,0.8368552632
abx_mega__nal_naoh__4,0.4761467894,0.1377039071
abx_mega__cip_naoh__1,0.5067460932,0.1874182943
abx_mega__pen_h2o__2,-2.6897136727,-0.7329921663000001
abx_mega__ery_dmso__2,-10.9426768474,0.24223317530000002
abx_mega__dmso-2__2,1.051476667,1.2932576179
abx_mega__van_dmso__2,-6.5071874527,0.0311288534
abx_mega__h2o-1b__1,-0.1117841269,0.5184137475
abx_mega__ery_h2o__1,-8.835008199,0.43586877620000003
abx_mega__bacit_h2o__1,-4.8572145294,1.0603004082
abx_mega__chl_h2o__2,-9.8487739011,1.0911690981
abx_mega__str_h2o__2,-3.4412490329,0.7141603337
abx_mega__rfp_ethanol__2,-4.7022895145,1.4972966732000001
abx_mega__polmyx_h2o__2,0.8532518275000001,-0.4249386651
abx_mega__tric_h2o__1,-0.4207206126,1.4673985816
abx_mega__cip_naoh__2,-0.48775724060000003,-0.013927460800000001
abx_mega__novo_h2o__3,-9.5734229049,-0.1169262091
abx_mega__bacit_dmso__1,-3.935864197,-0.6053134862
abx_mega__gen_h2o__1,-10.0387598866,0.749641812
abx_mega__bacit_dmso__2,-2.9596265059,-0.0332482002
abx_mega__chl_dmso__1,-10.5150675605,0.4352469963
abx_mega__bacit_h2o__2,-3.1913187326,0.4739569536
abx_mega__lvx_dmso__1,-1.2965132750000001,0.14365891
abx_mega__bacit_h2o__3,-4.4158520624,1.208452655
abx_mega__nor_naoh__2,0.0363964441,-0.07059535980000001
abx_mega__amyc-d_dmso__2,-6.8991490256,-0.32727057730000003
abx_mega__polmyx_h2o__3,1.1546144769,1.6288651164
abx_mega__naoh-6__1,0.83217326,0.1686229549
abx_mega__cst_h2o__2,-1.7922716672,0.2560462532
abx_mega__h2o-1b__2,-0.7472300378000001,1.3320547032
abx_mega__rfp_h2o__1,-7.6901355868,0.6006502248000001
abx_mega__tet_h2o__1,-6.684461221,-0.1303423057
abx_mega__flavo_dmso__1,-2.9444928291,0.1012364556
abx_mega__zeocin_h2o__1,2.6187363046,0.5197858676
abx_mega__nor_naoh__3,-0.0973722285,-0.4279908764
abx_mega__rach_dmso__2,-1.8088603827,0.40413293800000005
abx_mega__thio_dmso__2,-13.2632207659,1.219870689
abx_mega__amyc-d_dmso__3,-10.5630062539,-1.1570881889
abx_mega__rif_dmso__2,-4.548249939,0.0467286705
abx_mega__amyc-d_dmso__4,-4.5945550551,-0.4752726404
abx_mega__teix_dmso__3,-0.5068599423,-0.0368007567
abx_mega__valin_dmso__1,-1.5220445437999999,0.2428086939
abx_mega__teix_dmso__4,-0.6623930050000001,-0.3817830701
abx_mega__ethanol-10__1,1.4459987372,0.802299568
abx_mega__inh_h2o__1,2.4741296186,0.0788576985
abx_mega__rif_dmso__3,-5.8752949690000005,0.12417388530000001
abx_mega__van_dmso__3,-6.216596524,-0.4020370499
abx_mega__doxo_dmso__1,2.5115137,-0.7811962725
abx_mega__tmp_dmso__1,-0.5222698211,-0.6284468178
abx_mega__ethanol-10__2,2.0696529827,0.269444843
abx_mega__tmp_dmso__2,-0.8571173956,-0.9639856759000001
abx_mega__amyc-d_dmso__5,-11.6289498241,-1.5975095856000001
abx_mega__novo_h2o__4,-8.287559978400001,0.7584927218
abx_mega__cro_h2o__2,-3.3551374135,-0.0713516862
abx_mega__cro_h2o__3,-2.1409885638,-0.22102076680000002
abx_mega__gen_h2o__2,-11.1617976599,0.6261494053000001
abx_mega__phos_h2o__4,2.4397277261,0.7712322625
abx_mega__metro_dmso__2,-2.287382904,0.7772330127
abx_mega__ery_h2o__2,-5.8279727013,0.6591668838
abx_mega__sacet_h2o__1,-5.0149723269,1.2589765829
abx_mega__nal_naoh__5,0.07607756360000001,-0.3643582865
abx_mega__bacit_h2o__4,-4.1883712809,0.38409224410000004
abx_mega__cip_naoh__3,-1.5795655551,0.0723503601
abx_mega__ethanol-8__1,0.19240933640000002,-0.2408909699
abx_mega__h2o-8a__1,-1.9452340061000002,0.4617013404
abx_mega__ery_h2o__3,-7.6064562624,0.4124772131
abx_mega__flavo_dmso__2,-2.1194750096,0.2142434594
abx_mega__rif_dmso__4,-5.8600244285,0.3402527181
abx_mega__novo_h2o__5,-10.0667063975,0.06984753960000001
abx_mega__teix_dmso__5,1.4851651658,0.2521916021
abx_mega__naoh-2__1,0.6831171099000001,0.775365052
abx_mega__novo_h2o__6,-8.9368385705,0.2856664531
abx_mega__ctx_h2o__3,-1.5533072514000001,0.07016871200000001
abx_mega__rach_dmso__3,-1.2709533119,0.41854611950000004
abx_mega__valin_dmso__2,-3.3982177890000003,0.3305476677
abx_mega__amyc-d_dmso__6,-12.7630917058,-0.0566254348
abx_mega__dox_dmso__2,-2.0590799565,-0.0844810431
abx_mega__teix_dmso__6,1.7190617021999999,0.0361136012
abx_mega__naoh-6__2,0.1358062816,-0.0257711891
abx_mega__inh_h2o__2,-2.7625853897,0.6417868002
abx_mega__chl_h2o__3,-7.9411146331,1.3082458912
abx_mega__nal_naoh__6,-0.0562158259,-0.3241820802
abx_mega__chl_dmso__2,-11.0359887146,0.7859634851
abx_mega__rach_dmso__4,0.4027594835,0.5408793230000001
abx_mega__teix_dmso__7,1.5268308751,0.3941755121
abx_mega__ceru_ethanol__1,0.15140427780000001,0.9855765158
abx_mega__dmso-7__1,-0.0378844766,0.025238100200000002
abx_mega__naoh-6__3,0.6485821951,-0.028639254700000002
abx_mega__phos_ethanol__2,1.6634378335000002,0.7143571511
abx_mega__metro_dmso__3,-1.7312505555,0.9189118695
abx_mega__van_dmso__4,-5.2334593323,-0.9970581317
abx_mega__h2o-10__1,0.7768269261,0.6406960137000001
abx_mega__h2o-10__2,0.8786801802,0.6474593733
abx_mega__dmso-6__3,-0.7931834741,0.1678605706
abx_mega__mem_dmso__1,-2.9771599458,-0.5328703161
abx_mega__ethanol-8__2,2.0883611479,-0.2367675992
abx_mega__chl_h2o__4,-5.9400028814,1.0129856607
abx_mega__van_h2o__1,-4.3787944053,-0.0116143999
abx_mega__dcs_h2o__1,1.4307170569,0.9012920221
abx_mega__rif_dmso__5,-2.1968776426,-0.0002007761
abx_mega__dox_dmso__3,-3.8868191324,0.8627443665000001
abx_mega__mem_dmso__2,-2.9238106042,-0.1557960072
abx_mega__lvx_dmso__2,1.0606206967,0.0816921399
abx_mega__tet_h2o__2,-8.1534471745,1.9844306867000001
abx_mega__phos_h2o__5,1.8663508642000002,0.8359848098
abx_mega__monac_dmso__1,-3.3906607976,0.47827889160000003
abx_mega__str_h2o__3,1.5526313999,0.24867078890000002
abx_mega__zeocin_h2o__2,-2.2646371306,0.1516771371
abx_mega__amyc-d_dmso__7,-12.6950529048,-0.2153621611
abx_mega__fidax_dmso__1,0.7337307398,0.28868355360000003
abx_mega__h2o-1a__1,0.031508896700000004,-0.1222185248
abx_mega__dox_dmso__4,-0.1052525799,-0.09356300220000001
abx_mega__lzd_dmso__2,-10.3641350782,1.1914476081
abx_mega__tet_h2o__3,-5.5167077757000005,-0.025828327300000002
abx_mega__dmso-1__2,-0.7766510735000001,0.1751293049
abx_mega__sxt_dmso__2,-2.43068044,0.4955491737
abx_mega__tric_ethanol__2,0.5291169618,0.645926482
abx_mega__teix_dmso__8,-1.4073104743,-0.2956232441
abx_mega__ramo_h2o__2,-0.5208139783,0.4845154884
abx_mega__inh_h2o__3,2.5613255767,0.4472577954
abx_mega__cst_h2o__3,-0.41018253590000003,0.6332133653
abx_mega__dmso-9__1,1.3282607445,0.2948578202
abx_mega__ethanol-8__3,1.6962808664,-0.440991717
abx_mega__monac_dmso__2,-3.8998418725,0.3509323259
abx_mega__dmso-9__2,1.3730086297000001,0.2425039572
abx_mega__metro_dmso__4,-4.1165283002,-0.057470036
abx_mega__ctx_h2o__4,-3.2554682344,0.2883534354
abx_mega__zeocin_h2o__3,-4.2108818851,0.8672738502
abx_mega__bacit_h2o__5,-6.562960766,0.4092234148
abx_mega__reta_dmso__1,-8.1299645881,0.9759926518
abx_mega__ery_h2o__4,-8.5359438771,1.8083675888
abx_mega__ceru_ethanol__2,-7.4271834138,1.7981071605999999
abx_mega__fidax_dmso__2,1.5039112822,0.0121872458
abx_mega__novo_dmso__1,-9.6757018493,1.1288048337
abx_mega__naoh-6__4,0.4540028175,-0.1726593917
abx_mega__amyc-d_dmso__8,-5.750739346,-0.2422109667
abx_mega__chl_dmso__3,-9.902714487,1.0525893658
abx_mega__nal_naoh__7,0.6622509364,-0.0054421323
abx_mega__teix_dmso__9,0.8490441982,0.3564167096
abx_mega__ery_dmso__3,-7.030586586,0.3232264996
abx_mega__tmp_dmso__3,-0.5827265358,-0.15622125650000002
abx_mega__sxt_dmso__3,0.4778271249,0.6320751797
abx_mega__polmyx_h2o__4,0.8530841814000001,1.2477418155
abx_mega__mem_dmso__3,0.5804867434000001,0.1041004368
abx_mega__nal_naoh__8,0.8078815328000001,0.2585396752
abx_mega__pen_h2o__3,0.9761962422,-0.2163661103
abx_mega__van_dmso__5,-5.2291343686,-0.8449565358000001
abx_mega__zeocin_h2o__4,-1.3919817039,0.4568799991
abx_mega__h2o-6__2,0.2072861231,-0.21955369730000002
abx_mega__tet_h2o__4,-7.0571296548,-0.0160381152
abx_mega__nor_naoh__4,0.6058130396,0.4452031415
abx_mega__cip_naoh__4,-0.2060914469,0.2025151711
abx_mega__tmp_dmso__4,-1.0519459554,0.182858386
abx_mega__reta_dmso__2,-7.6370849655,0.989604291
abx_mega__mem_dmso__4,-0.5683561169,0.040164691100000004
abx_mega__dox_dmso__5,-3.2761800599,1.3902811326
abx_mega__tmp_dmso__5,0.8748226863,0.9287693972000001
abx_mega__flavo_dmso__3,1.2639175508,0.4185955109
abx_mega__tmp_dmso__6,-1.5335357797,0.2074208471
abx_mega__ceru_ethanol__3,-3.3320225782,1.3998177279
abx_mega__teix_dmso__10,0.18712305140000002,-0.3941558873
abx_mega__novo_h2o__7,-9.2842859601,-0.2594927359
abx_mega__fidax_dmso__3,0.436152572,0.2639460914
abx_mega__h2o-1a__2,-0.17645202440000002,0.1892447093
abx_mega__dcs_h2o__2,-0.7020425345,0.0942920612
abx_mega__cst_h2o__4,-0.6212935393,0.1651177728
abx_mega__van_h2o__2,1.8794500174,0.1844871803
abx_mega__pen_h2o__4,-1.7506903635,-0.1335232724
abx_mega__h2o-8b__2,2.2716361582999998,-0.2709292739
abx_mega__reta_dmso__3,-5.5206853231,0.7701823387000001
abx_mega__dmso-7__2,0.4153341336,0.29446394260000003
abx_mega__rfp_h2o__2,-7.9184492499,0.2343447481
abx_mega__rif_dmso__6,-5.6898174511,0.4807199062
abx_mega__sxt_dmso__4,0.1188510229,0.5778894965
abx_mega__cip_naoh__5,0.6963405205000001,-0.3801754228
abx_mega__dmso-9__3,0.2284407272,0.18230772750000002
abx_mega__mem_dmso__5,0.5406236258,-0.1291617048
abx_mega__tric_h2o__2,1.636473294,1.6436211672
abx_mega__phos_h2o__6,0.5072611391,-0.4929165681
abx_mega__h2o-7__2,1.1583555525,0.1188415255
abx_mega__h2o-10__3,1.3997629679,0.5435781715
abx_mega__h2o-8a__2,-2.5679531891,-0.1199022971
abx_mega__thio_dmso__3,-5.4639184914,0.6543925067
abx_mega__lzd_dmso__3,-5.3536918629,-0.1534232728
abx_mega__monac_dmso__3,-7.8228595787,-0.3767456562
abx_mega__polmyx_h2o__5,-1.8453903782,1.2203411369000001
abx_mega__naoh-6__5,0.5620099269000001,0.485040236
abx_mega__teix_dmso__11,0.0280083453,-0.2294133701
abx_mega__van_h2o__3,0.9712717417000001,-0.06681934290000001
abx_mega__teix_dmso__12,-0.536773774,0.5360620494
abx_mega__dox_dmso__6,1.6660910173999999,1.4132767647
abx_mega__teix_dmso__13,-1.6644301832,0.338363124
abx_mega__h2o-7__3,-0.3881032841,0.0671889881
abx_mega__str_h2o__4,-4.6468860686,0.4808550143
abx_mega__tec_h2o__3,-4.4865499025,1.3763690691
abx_mega__phos_h2o__7,0.1884512858,-0.2448800384
abx_mega__chl_h2o__5,-12.1136810785,0.5994554986
abx_mega__polmyx_h2o__6,2.2528857036,1.3080019231
abx_mega__teix_dmso__14,-0.2567838051,-0.3493429954
abx_mega__rif_dmso__7,-3.3752429858,0.4689387256
abx_mega__ramo_h2o__3,-2.6200553254,-0.0379544677
abx_mega__fidax_dmso__4,-0.2249836621,0.016328212800000002
abx_mega__teix_dmso__15,1.1980103867,0.476224947
abx_mega__thio_dmso__4,-6.0122363067,0.1610568762
abx_mega__rif_dmso__8,-6.3043542383,0.0381481216
abx_mega__reta_dmso__4,-7.1813674035,1.1804927827
abx_mega__inh_h2o__4,-2.9803615197,1.3723443356
abx_mega__novo_dmso__2,-6.6911634994,0.6131851971
abx_mega__dcs_h2o__3,-0.9060028794,0.28111391950000003
abx_mega__h2o-8b__3,-0.13499343730000002,-0.08443750380000001
abx_mega__valin_dmso__3,0.1029538596,0.1375643788
abx_mega__h2o-2__1,2.1897930715,0.9054547692
abx_mega__cro_h2o__4,1.2694404392,-0.0943477642
abx_mega__dcs_h2o__4,1.490095089,0.998063447
abx_mega__str_h2o__5,1.8154289377000001,0.2981185041
abx_mega__h2o-8a__3,-2.2796851684,0.0337147038
abx_mega__dox_dmso__7,-0.1884321838,-0.0704043644
abx_mega__doxo_dmso__2,2.1567179787,-0.9102271539000001
abx_mega__teix_dmso__16,-3.1689231021,0.5051486992
abx_mega__rfp_h2o__3,-8.8431612183,0.5706047147000001
abx_mega__ethanol-10__3,2.0120392107,0.27519433660000003
abx_mega__naoh-2__2,1.0320339391,1.0715131366
abx_mega__van_h2o__4,-3.8399157937,-0.2546386603
abx_mega__sacet_h2o__2,-4.035047705,1.6377044631
abx_mega__monac_dmso__4,-5.0220086545000004,0.5150332229
abx_mega__h2o-2__2,2.4502978222,1.1492917835
abx_mega__zeocin_h2o__5,2.7637846532,0.6443380667
abx_mega__nor_naoh__5,-0.388838475,0.5040255888
abx_mega__naoh-9__2,0.5061293884,0.4086114387
abx_mega__dmso-7__3,0.1756400641,0.5059871052
abx_mega__van_h2o__5,-5.5525834266,-0.19966318260000002
abx_mega__flavo_dmso__4,-1.1533409406,0.2627010111
abx_mega__novo_dmso__3,-9.6962733849,0.8661497810000001
abx_mega__polmyx_h2o__7,-1.7464954415,0.20285163350000002
abx_mega__teix_dmso__17,1.3830255907,0.2610335848
abx_mega__doxo_dmso__3,1.7555326022000002,-1.3770574183
abx_mega__mem_dmso__6,0.9636657275,0.5753976799
abx_mega__h2o-1a__3,0.1449431277,-0.0670261845
abx_mega__bacit_dmso__3,-3.9089180565,0.1713789318
abx_mega__dox_dmso__8,0.1690764798,1.2005246315
abx_mega__teix_dmso__18,0.053598420800000005,-0.6054263966
abx_mega__h2o-6__3,0.9255979278,0.3987526108
abx_mega__pen_h2o__5,-1.2961851134,-0.4798315548
abx_mega__lzd_dmso__4,-3.23279032,-0.0733653039
abx_mega__daro__1,-5.068431592,1.2476612626
abx_mega__solv__1,-6.0354126731,1.6071946678
abx_mega__daro__2,-3.8943422352,1.4498760709
abx_mega__daro__3,-0.2726333993,1.688223497
abx_mega__solv__2,-9.5152260041,1.3634623638
abx_mega__solv__3,-0.4913080537,1.5868982684000001
abx_mega__dmso-4__1,-3.400134899,0.1792818262
abx_mega__kirr_dmso__1,-10.0016383555,0.4213150604
abx_mega__kirr_dmso__2,-10.3950132535,0.6776017803000001
abx_mega__kirr_dmso__3,-12.2826411869,0.890624819
abx_mega__dmso-4__2,-3.6488252595,0.39501892600000005
abx_mega__dmso-4__3,-3.5680364090000003,0.0063759091
ackA_pta__dnaA46_del_ackA__1,-1.5708127054,0.0357492652
ackA_pta__dnaA46_del_ackA__2,-0.9441335605000001,0.4000682699
ackA_pta__dnaA46_del_ackA__3,-0.9008918984000001,0.1871645429
ackA_pta__dnaA46_del_pta__1,15.1664116984,0.5710677304
ackA_pta__dnaA46_del_pta__2,11.6058758522,0.1283980723
ackA_pta__dnaA46_del_pta__3,-0.5031358383,0.4426515902
ackA_pta__dnaA46__1,-0.7739923103,-0.1483771348
ackA_pta__dnaA46__2,0.8299566916000001,-0.0510864183
ackA_pta__dnaA46__3,-0.5441289585,-0.1290979867
ackA_pta__del_ackA__1,-1.4128374588,0.7015874950000001
ackA_pta__del_ackA__2,2.2014078394,0.3028375444
ackA_pta__del_ackA__3,-1.5031753184,0.4238265007
ackA_pta__del_pta__1,-0.3539999265,-0.1470472016
ackA_pta__del_pta__2,11.7588248041,0.19081172500000002
ackA_pta__del_pta__3,-0.6384901496000001,0.1237821945
ackA_pta__wt__1,-0.28206894250000003,0.215787427
ackA_pta__wt__2,-0.0513626747,-0.08484061250000001
ackA_pta__wt__3,0.33343161720000003,-0.1309468145
anticancer__5fu__1,-5.81014399,-0.5092994477
anticancer__5fu__2,-5.2130925293,-0.7816888230000001
anticancer__cap__1,-0.7474457712,-0.4389751726
anticancer__cap__2,-1.5422050181,-0.4022343474
anticancer__cap__3,-1.5984219668000001,-0.4251031395
anticancer__wt__1,-0.7463410311,-0.22992722540000002
anticancer__wt__2,0.0170507919,0.1689030469
anticancer__wt__3,0.7292902392,0.061024178500000005
anticancer__5fu__3,-5.6875327765,-0.2226610044
bio_pln__aero_pln__1,0.0136648275,0.030656007500000002
bio_pln__aero_pln__2,-0.0136648275,-0.030656007500000002
bio_pln__anaero_pln__1,-1.3081563006999999,0.2924674471
bio_pln__anaero_pln__2,-1.0237114582,0.2498363476
biocide__bzcl_12h__1,-2.3306293256,0.368663236
biocide__bzcl_12h__2,-4.7591400252,0.2651614484
biocide__bzcl_12h__3,-2.7170876151,0.4051092099
biocide__etoh_12h__1,-3.0504704825,0.059434803300000005
biocide__etoh_12h__2,-2.8084668178000003,-0.0523886789
biocide__etoh_12h__3,-2.7017995756,-0.0046619472000000006
biocide__gluald_12h__1,-0.7288430245,0.3923223675
biocide__gluald_12h__2,-1.2313337042999999,0.3163049176
biocide__gluald_12h__3,-1.4114115406,0.2279233193
biocide__h2o2_12h__1,-1.6835760206,0.086274289
biocide__h2o2_12h__2,-2.1338984381,-0.3093477126
biocide__h2o2_12h__3,-0.8999475137,0.19499653150000001
biocide__2ppoh_12h__1,-0.5871527987,0.2072374837
biocide__2ppoh_12h__2,-0.2510367861,0.1252974494
biocide__2ppoh_12h__3,-0.3288414058,0.24033350020000002
biocide__paa_12h__1,1.3461827358,0.26546799460000003
biocide__paa_12h__2,0.8343307044,-0.2307715907
biocide__paa_12h__3,0.1971321415,0.1350947151
biocide__phe_12h__1,-0.2110572071,0.23140183020000002
biocide__phe_12h__2,-0.0350225175,0.2971026419
biocide__phe_12h__3,-0.9916349357,0.403834789
biocide__pvp-i_12h__1,-1.9370460059,0.1530308927
biocide__pvp-i_12h__2,1.2022311289,0.2713732837
biocide__pvp-i_12h__3,-1.1360328525,-0.023757966800000002
biocide__bleach_12h__1,-0.5557980099000001,0.2890500774
biocide__bleach_12h__2,-1.1177418656,0.1883646693
biocide__bleach_12h__3,-0.2145550377,0.22508312760000002
biocide__chx_12h__1,-2.8919748825,0.2420701573
biocide__chx_12h__2,-3.6271335287,0.243005511
biocide__chx_12h__3,-3.224469559,-0.038158644000000005
biocide__bzcl_30m__1,-4.3022203651,0.7651676625
biocide__bzcl_30m__2,-4.8610418756,0.3012163915
biocide__bzcl_30m__3,-3.820837273,0.4797217239
biocide__phe_30m__1,-1.5098704586,0.35574364550000004
biocide__phe_30m__2,-0.6572325177,0.3318362713
biocide__phe_30m__3,-0.9636924069,0.3829225061
biocide__pvp-i_30m__1,-3.0078096386,0.37404879160000004
biocide__pvp-i_30m__2,-2.5398558975,0.2179176382
biocide__pvp-i_30m__3,-3.2768449799,0.2341412488
biocide__ctrl_12h__1,-3.2341115095,0.19014255530000002
biocide__ctrl_12h__2,-3.1273913492,0.2288278262
biocide__ctrl_12h__3,-1.0278297984,0.0548535966
biocide__ctrl_30m__1,0.0897242078,0.08426808250000001
biocide__ctrl_30m__2,-0.049350524,-0.0270448523
biocide__ctrl_30m__3,-0.040373683800000004,-0.057223230300000004
clpP__wt__1,-0.2269342935,-0.0543731244
clpP__wt_DPTA__1,-1.8407349294,-1.3299012677
clpP__wt__2,0.0946953143,0.24916102350000002
clpP__wt_DPTA__2,-0.8644912162,-1.3156498920000002
clpP__wt__3,0.1322389792,-0.1947878991
clpP__wt_DPTA__3,-1.9903874607,-0.9621136068
clpP__delclpP__1,-0.5922940974,-0.2763132224
clpP__delclpP_DPTA__1,0.1524548612,-2.1664072952
clpP__delclpP__2,-0.48888703250000004,-0.4206379471
clpP__delclpP_DPTA__2,0.5777813126,-1.1248899825
clpP__delclpP__3,-0.0957783797,-0.522489156
clpP__delclpP_DPTA__3,-0.1659158502,-1.7080073067
colombos2__delydcR__1,-0.18209387400000002,0.0028515033
colombos2__delydcR__2,1.1572925322,0.4267814217
colombos2__delydcR__3,0.2896106661,0.2360153489
colombos2__delyjiR__1,0.4496527397,-0.3125924604
colombos2__delyjiR__2,0.7782129178,0.4981717856
colombos2__delyjiR__3,-0.3037301571,0.37822435460000003
colombos2__wt__1,0.244056918,-0.2997327944
colombos2__wt__2,0.9976673357,0.052666195900000004
colombos2__wt__3,-1.2417242537,0.24706659860000002
crp_k100__ar1_ar2__1,-8.680037998,1.1786714451
crp_k100__ar1_ar2__2,-7.1082630645,1.0420718304
crp_k100__ar1_ar2__3,-7.4139368368,1.606600856
crp_k100__wt__1,0.9032654187,-0.0052140236
crp_k100__wt__2,-0.1269137303,-0.14889124950000002
crp_k100__wt__3,-0.7763516884,0.1541052731
crp_k100__K100Q__1,1.8010907886,-0.6022955750000001
crp_k100__K100Q__2,-2.0153337349,-0.5363479618
crp_k100__K100R__1,2.5930896146,0.0287127333
crp_k100__K100R__2,0.7986267133,0.39030429980000003
crp_k100__K100R__3,-0.5933380835000001,0.0369677434
csrA__wt_t00__1,-0.2707765026,0.0767558171
csrA__wt_t02_30__1,-0.1667825067,-1.9268284755
csrA__wt_t05__1,-1.3141935081,-3.4475132016
csrA__wt_t10__1,-6.2743396731,-3.3408955754000003
csrA__wt_t15__1,-9.219088604,-2.9708268144
csrA__delcsrA_t00__1,-3.1569501998,0.4831751246
csrA__delcsrA_t02_30__1,-1.1839143312,-0.4806619674
csrA__delcsrA_t05__1,-1.3471053171,-1.8173134722
csrA__delcsrA_t10__1,-4.3223347081,-1.8518629807
csrA__delcsrA_t15__1,-6.7224872127,-1.3071778248
csrA__wt_t00__2,0.2707765026,-0.0767558171
csrA__wt_t02_30__2,1.1564865925,-1.7244225666
csrA__wt_t05__2,-0.5296143696,-3.4294535559
csrA__wt_t10__2,-5.5542519218,-3.1147028428
csrA__wt_t15__2,-8.2432213307,-2.3727905317
csrA__delcsrA_t00__2,-4.5616797029,0.4758754396
csrA__delcsrA_t02_30__2,-2.0894926248,-0.5444435863
csrA__delcsrA_t05__2,-3.058486088,-1.6758290330999999
csrA__delcsrA_t10__2,-5.0919108153,-1.9815793911
csrA__delcsrA_t15__2,-8.1128061765,-1.0055534497
cstr_pfr__str_0005m__1,0.1495304284,0.1772489693
cstr_pfr__str_0010m__1,-0.1457789269,-0.1356811595
cstr_pfr__str_0025m__1,0.009199171,0.023820629000000003
cstr_pfr__str_0045m__1,-0.0010058081,0.0469632221
cstr_pfr__str_0075m__1,0.17243902160000002,-0.13778445620000002
cstr_pfr__str_0120m__1,-0.3088802908,-0.1386775709
cstr_pfr__str_0210m__1,-0.3688177883,-0.1000728513
cstr_pfr__str_0330m__1,1.2128307958,0.0504766201
cstr_pfr__str_1500m__1,1.3106603931,0.0321203723
cstr_pfr__str_1560m__1,-0.22578153,-0.0766800358
cstr_pfr__str_1680m__1,-0.16228919700000002,-0.1250696217
cstr_pfr__str_ref1__1,0.1170097632,-0.0703591491
