,A,ArcA
glu__glu_ale6__1,1.5817078986,9.3039868031
glu__glu_ale8__1,1.4680428561,10.4494688248
glu__glu_ale9__1,1.7680786768,10.1373849304
glu__glu_ale10__1,1.7465140405000001,10.1799821095
42c__wt_42c__1,0.6968082385000001,10.056932356
42c__42c_ale1__1,4.167318803,10.4625318126
42c__42c_ale2__1,-0.30611484310000003,9.830588795
42c__42c_ale3__1,-1.1677791100000001,9.2321124325
42c__42c_ale4__1,0.9979579816,9.5191433898
42c__42c_ale5__1,1.2199228399,9.6807614734
42c__42c_ale6__1,6.5409064307,10.6182742521
42c__42c_ale8__1,1.2650108859,10.2281652236
42c__42c_ale9__1,0.2115373515,9.3194242354
42c__42c_ale10__1,1.2048410695,9.8500085685
ssw__wt_ac__1,3.8983374222,10.7247713272
ssw__wt_glc__1,2.2245250755,9.6242446952
ssw__wt_glyc__1,6.3626802111,10.4459536184
ssw__wt_xyl__1,9.4556393869,8.3328685683
ssw__glc_ale1__1,8.7627389971,9.7833471987
ssw__glc_ale2__1,2.1720847233000002,9.9171816777
ssw__glc_ale3__1,6.3342723434,9.851557472
ssw__glyc_ale1__1,0.2393050934,9.7833253347
ssw__glyc_ale2__1,-0.6779261179,9.8662727951
ssw__xyl_ale1__1,4.9952572626,10.1634046668
ssw__xyl_ale2__1,4.6685373224,10.0561224339
ssw__xyl_ale3__1,3.5270532809,9.667188237
ssw__glc_ac_ac2__1,2.842356421,9.6251312985
ssw__glc_ac_glc1__1,0.1294124434,9.7904116727
ssw__glc_ac_glc2__1,6.2110715204,10.5000188849
ssw__glc_glyc_glc__1,0.9835495854,9.5940703829
ssw__glc_glyc_glyc__1,1.0795246188,9.5405376044
ssw__glc_xyl_glc__1,-0.7768264283,10.1531794951
ssw__glc_xyl_xyl__1,0.6746230503,9.7074614068
pgi__glu4_delpgi__1,3.3927769676,10.1906117898
pgi__pgi_ale1__1,2.2149876397,9.9214105293
pgi__pgi_ale2__1,-0.9343675720000001,10.8682570531
pgi__pgi_ale3__1,0.5817438163,9.8215814119
pgi__pgi_ale5__1,0.8321553416,10.3858826544
pgi__pgi_ale6__1,0.9995195679000001,10.0435249998
pgi__pgi_ale7__1,2.0265799526,9.94056156
pgi__pgi_ale8__1,1.4563739198,10.0114552486
ica__wt_glc__1,0.9165058972000001,9.7321677516
ica__wt_glc__2,0.3441281608,9.6982855254
ica__wt_glc__3,1.8720198384,9.9194723991
ica__wt_glc__4,1.591463385,10.1495032246
ica__arg_sbt__1,3.441309012,9.9167494974
ica__arg_sbt__2,0.710700647,9.9583999789
ica__cytd_rib__1,4.01241828,12.1860934157
ica__cytd_rib__2,5.7012698524,12.2565571494
ica__gth__1,2.8805130752,11.2069449857
ica__gth__2,3.120584437,11.1603009512
ica__leu_glcr__1,0.9473114183,9.9257562019
ica__leu_glcr__2,0.4635099642,9.9257997688
ica__met_glc__1,0.8665686926,9.613284074
ica__met_glc__2,1.4780214105,9.5622530043
ica__no3_anaero__1,15.8165103514,10.440261816
ica__no3_anaero__2,17.1914478515,10.287137095
ica__phe_acgam__1,0.38418387470000004,9.8613908828
ica__phe_acgam__2,-1.0226703198,9.8801526644
ica__thm_gal__1,2.4682241272,10.5624821568
ica__thm_gal__2,3.4660141037,10.5411158721
ica__tyr_glcn__1,0.4156154998,9.5861648732
ica__tyr_glcn__2,0.0317315706,9.6692171612
ica__ura_pyr__1,-0.6197544607000001,9.9348265624
ica__ura_pyr__2,-1.0591076018,9.9752616652
ica__wt_glc__5,0.00021598870000000001,9.7959731832
ica__wt_glc__6,-0.5625576624,9.8192254115
ica__bw_delpurR_cytd__1,0.7886272745,9.616743171
ica__bw_delpurR_cytd__2,0.3218343925,9.7349984895
ica__ade_glc__1,4.5002809871,10.2786087329
ica__ade_glc__2,2.7969306391,10.2393081891
ytf__wt_glc__1,1.1121052207,10.3405186252
ytf__wt_glc__2,0.0089312942,10.5305453798
ytf__delyafC__1,8.0312824706,11.0401071952
ytf__delyafC__2,6.3727477819,11.0807402034
ytf__delyeiE__1,-0.6221387892,10.4077860749
ytf__delyeiE__2,1.1597675825,10.3406813956
ytf__delyiaJ__1,5.74864881,10.8300776647
ytf__delyiaJ__2,4.3606538719,10.4628533577
ytf__delyieP__1,2.8785458067,10.4167402813
ytf__delyieP__2,2.320072628,10.299204419
ytf__wt_ph5__1,2.2146586061,10.7556614663
ytf__wt_ph5__2,2.8525953737,10.8771795649
ytf__wt_ph8__1,1.2133780934,10.2745069236
ytf__wt_ph8__2,1.0165143447,10.2466083778
ytf__delybaO__1,8.0673348593,10.9411562649
ytf__delybaO__2,5.6041824029,10.8186435302
ytf__delybaQ__1,1.8779338898,10.2725623359
ytf__delybaQ__2,1.8956941782,10.3578997444
ytf__delybiH__1,-0.3694940138,10.2559202597
ytf__delybiH__2,2.3501521247,10.5313323457
ytf__delydcI_ph5__1,1.6796641535,10.497896703
ytf__delydcI_ph5__2,1.8174593088000002,10.6793459954
ytf__delydcI_ph8__1,0.6705480489,10.2910324794
ytf__delydcI_ph8__2,0.9023318122,10.1020912925
ytf__delyddM__1,2.0031969249,10.8367135044
ytf__delyddM__2,1.7438842205,10.7745569589
ytf__delyheO__1,8.0406150625,10.9248479626
ytf__delyheO__2,6.6613820806,10.7789513499
fps__bw_glc__1,2.433504337,9.8858521308
fps__bw_glc__2,3.2588630932,9.7759761941
fps__fps_thrA_ale1__1,2.8995422713,10.7321596016
fps__fps_thrA_ale1__2,3.6393764332,10.6216016484
fps__fps_thrA_ale2__1,2.2255703749,10.4816263794
fps__fps_thrA_ale2__2,1.7939230328,10.5005186301
fps__fps_serB_ale1__1,4.4730673469,10.2338004792
fps__fps_serB_ale1__2,3.8174763934,10.2455449996
fps__fps_serB_ale4__1,6.7913278814,10.5985920512
fps__fps_serB_ale4__2,5.8009455861,10.6602542611
fps__fps_ptsI_ale1__1,2.4866105941,10.6250392711
fps__fps_ptsI_ale1__2,1.9248471226000001,10.5179521922
fps__fps_ptsI_ale3__1,0.9288861328,10.0706319637
fps__fps_ptsI_ale3__2,1.5995907821,10.0978859452
pal__lyx_ale2_f6__1,2.6759467353,10.3970332123
pal__lyx_ale2__1,2.6327922626999998,9.5522881692
pal__lyx_ale2__2,1.7505745397,9.5190251373
pal__lyx_ale4__1,2.6327922626999998,9.5522881692
pal__lyx_ale4__2,1.7505745397,9.5190251373
pal__5drib_ale10_f18__1,5.7973658364,9.6240521511
pal__5drib_ale10_f18__2,6.0088483532,9.6283053262
pal__5drib_ale10__1,4.0116601431,10.001503321
pal__arab_ale14_f9__1,3.3658575414,10.1206413952
pal__arab_ale14_f9__2,3.356352712,10.1023517893
pal__arab_ale14__1,-0.6883577611,9.554290686
pal__arab_ale14__2,-0.1241479654,9.5399468184
pal__arab_ale16__1,5.2171513865,9.4196540825
pal__arab_ale16__2,5.9783938681,9.6044092911
pal__tartr_ale26_f10__1,3.2540718103,9.9793731022
pal__tartr_ale26_f10__2,3.7072218006,10.1970185068
pal__tartr_ale26__1,3.848200108,9.8589525026
pal__tartr_ale26__2,4.1351949711,9.8024599785
pal__tartr_ale28_f10__1,3.2596885423,10.8792568647
pal__tartr_ale28_f10__2,4.9384626167,10.7642949913
pal__tartr_ale28__1,2.8551209979000003,9.916560138
pal__tartr_ale28__2,5.1647097853,10.0737801034
efeU__delmenFentC_citr__1,2.3120577821,10.2713058605
efeU__delmenFentC_citr__2,2.9539965774,10.1588139366
efeU__delmenFentC__1,2.0713051636,10.8036320672
efeU__delmenFentC__2,2.3028699419,10.8066817727
efeU__menFentC_ale39__1,4.5434939274,10.2543746862
efeU__menFentC_ale39__2,4.7477455630000005,10.3834828126
efeU__menFentC_ale29__1,2.7896525598,10.2288380146
efeU__menFentC_ale29__2,3.9596500914,10.3053768459
efeU__menFentC_ale30__1,1.5851468984000001,9.289895585
efeU__menFentC_ale30__2,0.8111822016,9.1786002504
efeU__menFentCubiC_ale36__1,0.3004137712,10.0540901325
efeU__menFentCubiC_ale36__2,2.5375346083,10.0491631702
efeU__menFentCubiC_ale37__1,1.0614078678,10.4811289392
efeU__menFentCubiC_ale37__2,2.6345238291,10.4740236095
efeU__menFentCubiC_ale38__1,0.1255128165,9.8001916741
efeU__menFentCubiC_ale38__2,1.1787465015,9.6788851526
