,A,AlsR
abx_mega__amyc-d_dmso__4,-0.1855939383,-0.3923755799
abx_mega__teix_dmso__3,1.536010503,-0.3665309597
abx_mega__valin_dmso__1,4.6488297886000005,0.4987943339
abx_mega__teix_dmso__4,0.9596468561,-0.09790585730000001
abx_mega__ethanol-10__1,0.543835796,-0.8375356199
abx_mega__inh_h2o__1,0.6500321186,-1.1928093024
abx_mega__rif_dmso__3,2.1266682574,0.1741266936
abx_mega__van_dmso__3,1.7127411401,-1.3592901926
abx_mega__doxo_dmso__1,23.3889572088,2.3481142033999998
abx_mega__tmp_dmso__1,0.8556265648,-0.2833639173
abx_mega__ethanol-10__2,-0.5184343734,-1.1647380667
abx_mega__tmp_dmso__2,1.5693562708000002,0.0404427459
abx_mega__amyc-d_dmso__5,2.5735964259,0.0070483319000000004
abx_mega__novo_h2o__4,3.1712139216,-1.2270498558
abx_mega__cro_h2o__2,1.8211794814000002,-0.7102564171
abx_mega__cro_h2o__3,2.3915692473,-0.3451042183
abx_mega__gen_h2o__2,3.4799449588,-1.5014818025
abx_mega__phos_h2o__4,-0.5121491014,-0.9339576190000001
abx_mega__metro_dmso__2,1.0944441143,0.20424089010000002
abx_mega__ery_h2o__2,-2.764473916,-0.8291860755
abx_mega__sacet_h2o__1,1.5850991948000002,-0.049226656800000004
abx_mega__nal_naoh__5,0.4416775446,-0.23232026
abx_mega__bacit_h2o__4,1.5699975932,-0.6984702166
abx_mega__cip_naoh__3,3.4312219473,-0.1221152484
abx_mega__ethanol-8__1,1.3004975529,-0.8465148103
abx_mega__h2o-8a__1,3.1975325693,-0.2202787296
abx_mega__ery_h2o__3,1.0145255651,-1.0486904369
abx_mega__flavo_dmso__2,1.9743293216,-0.5126212652000001
abx_mega__rif_dmso__4,3.0105669841,0.1734414324
abx_mega__novo_h2o__5,1.9192451463,-2.291503617
abx_mega__teix_dmso__5,1.2828656961,-0.4412266764
abx_mega__naoh-2__1,-1.3493913295,-0.1843864566
abx_mega__novo_h2o__6,3.2676254063,-2.3157488096
abx_mega__ctx_h2o__3,2.9750949846,-0.583643833
abx_mega__rach_dmso__3,1.1426108571,-0.926513828
abx_mega__valin_dmso__2,5.1486049355,0.6598455942
abx_mega__amyc-d_dmso__6,2.4398491579,0.0051169351
abx_mega__dox_dmso__2,1.5233508133,-0.0885744935
abx_mega__teix_dmso__6,1.3273324076,-0.9698271799
abx_mega__naoh-6__2,-0.1855602368,0.1510039543
abx_mega__inh_h2o__2,-0.7305583342,-0.9680643702
abx_mega__chl_h2o__3,-0.8966542524000001,-3.0359575757
abx_mega__nal_naoh__6,0.2671399558,0.055846820900000003
abx_mega__chl_dmso__2,2.5830414005,-0.5226589599
abx_mega__rach_dmso__4,1.1141811752,-0.6274600013
abx_mega__teix_dmso__7,0.1990188867,-0.8454655892
abx_mega__ceru_ethanol__1,-0.8133375851,-0.8462388728
abx_mega__dmso-7__1,0.39436343960000003,-0.3455294494
abx_mega__naoh-6__3,-0.5993255907,0.015557873100000001
abx_mega__phos_ethanol__2,0.5754053559,-0.361675469
abx_mega__metro_dmso__3,1.1464414478,-0.0492806915
abx_mega__van_dmso__4,0.7787620337000001,-1.4452319520999999
abx_mega__h2o-10__1,1.2452676819,-0.8906355958000001
abx_mega__h2o-10__2,0.8742397796,-0.8858057255
abx_mega__dmso-6__3,-1.3604481708,-0.0053804816000000005
abx_mega__mem_dmso__1,1.490078503,-0.8236413169
abx_mega__ethanol-8__2,1.4071963705,-0.4110630367
abx_mega__chl_h2o__4,0.40142141130000003,-2.4676175271
abx_mega__van_h2o__1,3.3709671181,-0.213736791
abx_mega__dcs_h2o__1,0.6387397370000001,-0.5938156553
abx_mega__rif_dmso__5,0.3119191866,-0.035500002600000004
abx_mega__dox_dmso__3,0.9451476528,0.12180522120000001
abx_mega__mem_dmso__2,0.4640482199,-0.0254426076
abx_mega__lvx_dmso__2,0.7313039841000001,-0.0260679069
abx_mega__tet_h2o__2,1.8218480967000001,-1.4206751692
abx_mega__phos_h2o__5,-0.1653630471,-0.9095027823
abx_mega__monac_dmso__1,-0.063254314,-1.7868870812000002
abx_mega__str_h2o__3,2.0753969879,-0.8989635644
abx_mega__zeocin_h2o__2,5.9794446626,0.577208693
abx_mega__amyc-d_dmso__7,1.5530769114,-0.6315570706
abx_mega__fidax_dmso__1,-0.17851227520000001,-0.9909732362
abx_mega__h2o-1a__1,0.401706387,0.06850837230000001
abx_mega__dox_dmso__4,0.033394299100000004,-0.1469663782
abx_mega__lzd_dmso__2,0.9481983005,-1.2224499113
abx_mega__tet_h2o__3,0.9349104343,-0.2930321715
abx_mega__dmso-1__2,1.3780714901,0.37113330840000003
abx_mega__sxt_dmso__2,0.5399906737,-0.7750164158
abx_mega__tric_ethanol__2,-0.1149433748,-0.7074587768
abx_mega__teix_dmso__8,1.8175940983,-0.0523963271
abx_mega__ramo_h2o__2,1.6671609174,-1.064492153
abx_mega__inh_h2o__3,2.0700850086,-0.8885097205
abx_mega__cst_h2o__3,1.5567868028,0.0695444846
abx_mega__dmso-9__1,1.9568453797,-0.07230796390000001
abx_mega__ethanol-8__3,-1.0834448892,-0.9155614752000001
abx_mega__monac_dmso__2,-0.2053938294,-1.7816394834
abx_mega__dmso-9__2,0.15571905630000002,-0.2336347731
abx_mega__metro_dmso__4,2.4701410968,0.5304566797
abx_mega__ctx_h2o__4,2.6427010605,-0.5945521294
abx_mega__zeocin_h2o__3,6.7095171909,1.2045968888
abx_mega__bacit_h2o__5,5.9202327318,0.20347208020000002
abx_mega__reta_dmso__1,0.7059608392000001,-0.9499249521
abx_mega__ery_h2o__4,0.5168258446,-1.9830445479
abx_mega__ceru_ethanol__2,0.6758472019,-0.2760478832
abx_mega__fidax_dmso__2,0.8889661197000001,-0.764941521
abx_mega__novo_dmso__1,2.6289166911,-1.265293688
abx_mega__naoh-6__4,0.6749993824,-0.2049688899
abx_mega__amyc-d_dmso__8,2.482346323,0.0514010327
abx_mega__chl_dmso__3,2.485276944,-0.5247585645
abx_mega__nal_naoh__7,3.5008222353000003,0.23198790730000002
abx_mega__teix_dmso__9,0.0731071446,-0.8821035277
abx_mega__ery_dmso__3,5.1261868729,-0.4885768307
abx_mega__tmp_dmso__3,0.44348736800000005,-0.3847958516
abx_mega__sxt_dmso__3,1.3736808723,-1.0019578674
abx_mega__polmyx_h2o__4,2.1748796495000002,-0.21321649480000002
abx_mega__mem_dmso__3,1.6792823741,0.045402110700000005
abx_mega__nal_naoh__8,0.7637382961,-0.1698009848
abx_mega__pen_h2o__3,2.368180363,-0.6071640023
abx_mega__van_dmso__5,0.6421662562,-2.1590154599
abx_mega__zeocin_h2o__4,7.0485415788,0.5098522113
abx_mega__h2o-6__2,-0.1743746552,0.2621221821
abx_mega__tet_h2o__4,0.3950907422,-0.5345188192
abx_mega__nor_naoh__4,2.0380777915,-0.051884204
abx_mega__cip_naoh__4,1.1378571,0.040079255200000004
abx_mega__tmp_dmso__4,-0.42923831830000003,-0.070890322
abx_mega__reta_dmso__2,0.2006556727,-1.5374551048
abx_mega__mem_dmso__4,2.4633528028000002,-0.8056149848
abx_mega__dox_dmso__5,-0.4829430816,-1.4110441216
abx_mega__tmp_dmso__5,2.6315246613000003,0.1291157877
abx_mega__flavo_dmso__3,3.4857443036,-0.2870028428
abx_mega__tmp_dmso__6,3.4198501811,0.0994630314
abx_mega__ceru_ethanol__3,0.4901792539,-0.3186194564
abx_mega__teix_dmso__10,2.2172194744000002,0.2992134433
abx_mega__novo_h2o__7,4.0157828167,-2.1147566017
abx_mega__fidax_dmso__3,0.17820992360000001,-0.7662475998
abx_mega__h2o-1a__2,-1.173771439,-0.061820616800000006
abx_mega__dcs_h2o__2,2.8722178743,0.0974797445
abx_mega__cst_h2o__4,2.1269351066,0.1596212169
abx_mega__van_h2o__2,2.0507994522,-0.5556468488
abx_mega__pen_h2o__4,4.0422479229,0.1787338732
abx_mega__h2o-8b__2,1.6385182141999999,-0.8788913690000001
abx_mega__reta_dmso__3,-0.5534796578,-1.6239931950000002
abx_mega__dmso-7__2,-0.13990696900000002,-0.4478826642
abx_mega__rfp_h2o__2,2.5089498121,-0.5907429453
abx_mega__rif_dmso__6,3.1424340373,0.4940471702
abx_mega__sxt_dmso__4,1.0146034728,-1.1585730116
abx_mega__cip_naoh__5,0.5281801155,0.1124154245
abx_mega__dmso-9__3,1.3212921584,-0.37394923220000004
abx_mega__mem_dmso__5,2.9568477624,-0.5418033206
abx_mega__tric_h2o__2,0.7555928444000001,-0.3586991344
abx_mega__phos_h2o__6,0.40906624480000003,-0.2275128431
abx_mega__h2o-7__2,2.2089260333,-0.7274010134000001
abx_mega__h2o-10__3,0.9523376157000001,-0.6002192190000001
abx_mega__h2o-8a__2,3.0108815088,-0.3617691367
abx_mega__thio_dmso__3,0.17112595960000002,-1.6483081098999999
abx_mega__lzd_dmso__3,0.3988102206,-0.9693411175000001
abx_mega__monac_dmso__3,0.6526458259,-1.8697341660000002
abx_mega__polmyx_h2o__5,1.1233435744,-0.2849198456
abx_mega__naoh-6__5,-0.1243283403,-0.0143462237
abx_mega__teix_dmso__11,1.0370687182,0.035612477600000005
abx_mega__van_h2o__3,2.6355379543,-0.8263445819
abx_mega__teix_dmso__12,2.442853691,0.3326277213
abx_mega__dox_dmso__6,1.7939973481,-0.4457514278
abx_mega__teix_dmso__13,0.9948293277,-0.7992043026000001
abx_mega__h2o-7__3,2.3947136825,-0.4951586495
abx_mega__str_h2o__4,2.3859546516,-1.2064329766
abx_mega__tec_h2o__3,3.3044079906,-0.7213191640000001
abx_mega__phos_h2o__7,0.8626767772,-0.0545192185
abx_mega__chl_h2o__5,1.383604315,-1.5970747520000002
abx_mega__polmyx_h2o__6,3.2680871326,-0.1773104651
abx_mega__teix_dmso__14,1.032286644,0.0140272872
abx_mega__rif_dmso__7,0.25208114,0.050889497900000004
abx_mega__ramo_h2o__3,2.6475530199,-0.5523718827
abx_mega__fidax_dmso__4,1.0792377134,-0.4471781729
abx_mega__teix_dmso__15,0.6784889759,-0.5211926222000001
abx_mega__thio_dmso__4,0.767215133,-1.5510394069
abx_mega__rif_dmso__8,3.216736544,0.8175173311
abx_mega__reta_dmso__4,0.44921602050000004,-1.8226394509000001
abx_mega__inh_h2o__4,-0.7599900681,-0.7630681717000001
abx_mega__novo_dmso__2,2.8875760616,-1.754995875
abx_mega__dcs_h2o__3,2.4678994679,-0.46180706720000003
abx_mega__h2o-8b__3,3.8258701307000003,0.1631583165
abx_mega__valin_dmso__3,0.1368691305,0.2364240837
abx_mega__h2o-2__1,2.6755906268,0.1298555795
abx_mega__cro_h2o__4,2.1142310984,-0.3578440444
abx_mega__dcs_h2o__4,1.2106529791,-0.6523289670000001
abx_mega__str_h2o__5,0.8552750381,-0.7284438272
abx_mega__h2o-8a__3,2.4595400176,-0.6518645142
abx_mega__dox_dmso__7,-0.46543299180000003,-0.1393901761
abx_mega__doxo_dmso__2,23.3187887547,2.2324368889
abx_mega__teix_dmso__16,0.3123827051,-1.1881730132000001
abx_mega__rfp_h2o__3,2.0968132528,-0.4242506924
abx_mega__ethanol-10__3,-0.791371775,-1.4367806301
abx_mega__naoh-2__2,0.035209529100000005,-0.6545837464
abx_mega__van_h2o__4,2.4914843624,-0.10449138370000001
abx_mega__sacet_h2o__2,-1.5859735608,-1.0207701998
abx_mega__monac_dmso__4,0.3953197442,-1.6765838632999999
abx_mega__h2o-2__2,0.9655234476000001,-0.2085864201
abx_mega__zeocin_h2o__5,2.0592705412,-0.5232861331
abx_mega__nor_naoh__5,3.3869258825,0.16104723910000002
abx_mega__naoh-9__2,2.7512602112,-0.07765168110000001
abx_mega__dmso-7__3,1.0482567744,-0.7562773337
abx_mega__van_h2o__5,2.6767419531,-0.1636365763
abx_mega__flavo_dmso__4,0.9597883873,-0.1738862199
abx_mega__novo_dmso__3,2.0042411328,-1.4509403039
abx_mega__polmyx_h2o__7,3.1612455379,-0.0563358194
abx_mega__teix_dmso__17,0.7900748307000001,-0.8252181319
abx_mega__doxo_dmso__3,25.3853821415,2.5459321486
abx_mega__mem_dmso__6,1.6663659879,0.125410506
abx_mega__h2o-1a__3,0.7720650520000001,-0.0066877555
abx_mega__bacit_dmso__3,5.1315147647,-0.0118525591
abx_mega__dox_dmso__8,-1.7129364883,-0.060545626000000005
abx_mega__teix_dmso__18,1.0234030986,-0.3278365977
abx_mega__h2o-6__3,-0.4457169125,-0.1638289195
abx_mega__pen_h2o__5,2.5557015219,0.3092489658
abx_mega__lzd_dmso__4,0.2502272922,-0.5650948242
abx_mega__daro__1,2.5665307679,-0.6130253235
abx_mega__solv__1,0.5044405398,-0.9986713306
abx_mega__daro__2,3.7727219334,-0.4423255796
abx_mega__daro__3,3.7679827044,0.09278608370000001
abx_mega__solv__2,0.2141335893,-1.0552199123
abx_mega__solv__3,4.0667268613,-0.0008774682
abx_mega__dmso-4__1,3.9515271281,0.6307463901
abx_mega__kirr_dmso__1,1.0648007946,-1.3628114166
abx_mega__kirr_dmso__2,0.8671740956,-1.2894197502
abx_mega__kirr_dmso__3,2.5227584684,-0.9252187555
abx_mega__dmso-4__2,5.2572574773,0.6471718795
abx_mega__dmso-4__3,3.425162747,0.7308286006
ackA_pta__dnaA46_del_ackA__1,0.045791064900000004,0.6394453072
ackA_pta__dnaA46_del_ackA__2,0.082805376,1.0533449156
ackA_pta__dnaA46_del_ackA__3,0.4635181411,0.2769157124
ackA_pta__dnaA46_del_pta__1,3.2269228766999998,1.60726349
ackA_pta__dnaA46_del_pta__2,-0.5490872381,0.25389340800000004
ackA_pta__dnaA46_del_pta__3,0.6943033503,0.8278070499
ackA_pta__dnaA46__1,-0.0560208379,-0.0191469558
ackA_pta__dnaA46__2,0.6075349881000001,-0.5154790791
ackA_pta__dnaA46__3,0.2133061468,0.0699146248
ackA_pta__del_ackA__1,0.44358014020000003,0.5422074685
ackA_pta__del_ackA__2,1.2152908375,1.6113577766
ackA_pta__del_ackA__3,0.4429110416,0.5467807133
ackA_pta__del_pta__1,-0.9397337444,-0.4241837833
ackA_pta__del_pta__2,-1.0141619998,0.1519610721
ackA_pta__del_pta__3,-0.2329846928,0.2633030153
ackA_pta__wt__1,0.3990015905,0.2636161131
ackA_pta__wt__2,-0.18108886800000001,-0.1692933012
ackA_pta__wt__3,-0.2179127224,-0.0943228119
anticancer__5fu__1,-6.5156084128,-1.0786563738
anticancer__5fu__2,-5.9438041291,-0.9485810298
anticancer__cap__1,-4.7100658719,-0.9948140496000001
anticancer__cap__2,-5.7397371413,-1.4659214886
anticancer__cap__3,-5.8302755025,-1.7188438557999999
anticancer__wt__1,-0.662777275,-0.0556640198
anticancer__wt__2,0.35925829740000004,0.0408351133
anticancer__wt__3,0.3035189777,0.0148289065
anticancer__5fu__3,-7.3770408235,-2.0476781324
bio_pln__aero_pln__1,-0.059552310600000005,0.0041227096
bio_pln__aero_pln__2,0.059552310600000005,-0.0041227096
bio_pln__anaero_pln__1,0.17674866790000002,-0.17758910700000002
bio_pln__anaero_pln__2,-1.2697294962,-0.40478136800000003
biocide__bzcl_12h__1,0.39943278930000004,0.012335668000000001
biocide__bzcl_12h__2,1.1271626345,0.40359628810000003
biocide__bzcl_12h__3,0.9589634224,0.36636230210000004
biocide__etoh_12h__1,-0.5713456292,-0.2105690969
biocide__etoh_12h__2,-0.5136566518,0.0120518977
biocide__etoh_12h__3,-0.3741150914,0.1938895797
biocide__gluald_12h__1,0.7692722854,0.2219144815
biocide__gluald_12h__2,0.5681133815,0.1779395869
biocide__gluald_12h__3,0.1823106112,0.24458747160000002
biocide__h2o2_12h__1,0.7347502913,0.1687221578
biocide__h2o2_12h__2,0.8186000877,0.2042817163
biocide__h2o2_12h__3,0.9026676728,0.4347174659
biocide__2ppoh_12h__1,0.47163709200000004,0.19298875370000002
biocide__2ppoh_12h__2,0.059230097,0.3897682274
biocide__2ppoh_12h__3,0.2881454483,0.3601753795
biocide__paa_12h__1,0.7188860292,0.1663049624
biocide__paa_12h__2,0.7845721501,0.0176680018
biocide__paa_12h__3,0.472945526,-0.0901481622
biocide__phe_12h__1,-0.0769273556,0.1485210924
biocide__phe_12h__2,0.5274170890000001,0.25847346520000003
biocide__phe_12h__3,0.4975500995,0.35898574320000004
biocide__pvp-i_12h__1,0.8607034867000001,0.2621614405
biocide__pvp-i_12h__2,0.4884335905,0.1597424996
biocide__pvp-i_12h__3,-0.0219378912,-0.5144290152000001
biocide__bleach_12h__1,0.9228393904000001,0.2362682787
biocide__bleach_12h__2,0.3081986024,0.3360086876
biocide__bleach_12h__3,-0.1428369472,0.1303919987
biocide__chx_12h__1,-1.112839215,0.7696211699000001
biocide__chx_12h__2,0.33129830320000003,0.12280101530000001
biocide__chx_12h__3,0.1596117429,0.3190044915
biocide__bzcl_30m__1,0.4581309159,0.0783780053
biocide__bzcl_30m__2,0.6722705302,0.4809278963
biocide__bzcl_30m__3,0.4296905814,0.1451688739
biocide__phe_30m__1,-0.4331636786,-0.10412515900000001
biocide__phe_30m__2,0.8356094493,0.7048597784
biocide__phe_30m__3,-1.9881351556,0.0083344113
biocide__pvp-i_30m__1,-0.5495047382,-0.0235292384
biocide__pvp-i_30m__2,0.23245235350000001,-0.0321756489
biocide__pvp-i_30m__3,0.1215960797,0.1352179883
biocide__ctrl_12h__1,-0.1725808399,0.1758958235
biocide__ctrl_12h__2,0.6184036032,0.2108324715
biocide__ctrl_12h__3,1.0700984551,0.0595864393
biocide__ctrl_30m__1,0.0247091069,0.19031932740000002
biocide__ctrl_30m__2,0.0868665106,-0.0944849462
biocide__ctrl_30m__3,-0.11157561760000001,-0.0958343812
clpP__wt__1,-0.1252430367,-0.0630108198
clpP__wt_DPTA__1,0.8414469237000001,-0.3395560448
clpP__wt__2,0.2005568024,-0.2252337222
clpP__wt_DPTA__2,1.8127301339000002,-0.48900895650000004
clpP__wt__3,-0.0753137656,0.288244542
clpP__wt_DPTA__3,0.2813759964,-0.9522099126
clpP__delclpP__1,0.06653345370000001,-0.5368555245000001
clpP__delclpP_DPTA__1,1.4705834932,-1.2233452624
clpP__delclpP__2,-0.7433939036,-0.0895781092
clpP__delclpP_DPTA__2,0.5011493854,-1.5366619715
clpP__delclpP__3,1.1983702824,-0.2176451344
clpP__delclpP_DPTA__3,-1.5179464007,-2.3110966726
colombos2__delydcR__1,-0.5818422553,-0.22855537180000002
colombos2__delydcR__2,0.3615911786,0.0629825763
colombos2__delydcR__3,-0.40016345010000004,0.052770106000000004
colombos2__delyjiR__1,0.0050041787,0.0185888124
colombos2__delyjiR__2,0.4849214211,0.1544352873
colombos2__delyjiR__3,-1.1243865772,0.14108823980000001
colombos2__wt__1,-0.040470747700000004,-0.180144507
colombos2__wt__2,0.5165994109000001,-0.0269830606
colombos2__wt__3,-0.4761286631,0.2071275676
crp_k100__ar1_ar2__1,-0.21187398440000002,-1.1685702230000001
crp_k100__ar1_ar2__2,0.0767825552,-1.84394385
crp_k100__ar1_ar2__3,0.4039509948,-0.8398585976
crp_k100__wt__1,0.0747764721,-0.2148023045
crp_k100__wt__2,0.0050727283,-0.13768969720000002
crp_k100__wt__3,-0.0798492004,0.3524920017
crp_k100__K100Q__1,-1.6508070881,-0.3716519331
crp_k100__K100Q__2,-2.1731420011,-0.5229051922
crp_k100__K100R__1,-0.40417280240000003,0.0216060174
crp_k100__K100R__2,0.0174936817,0.0271902963
crp_k100__K100R__3,0.652491194,0.1506551994
csrA__wt_t00__1,-1.6825195832,-0.5989893061
csrA__wt_t02_30__1,2.9635990643000003,-1.3221029844
csrA__wt_t05__1,2.5234717271,-2.1095221087000002
csrA__wt_t10__1,-0.8183708745,-3.3679069752
csrA__wt_t15__1,-1.0504912418,-3.8932346448
csrA__delcsrA_t00__1,-1.8366754103,-0.0771230517
csrA__delcsrA_t02_30__1,2.5628781597,-1.263979016
csrA__delcsrA_t05__1,1.2658014478,-2.2197488896
csrA__delcsrA_t10__1,-1.1437372629,-2.9418037579
csrA__delcsrA_t15__1,-0.5570927410000001,-3.55902024
csrA__wt_t00__2,1.6825195832,0.5989893061
csrA__wt_t02_30__2,6.1073948294000004,-0.49233534640000004
csrA__wt_t05__2,4.5028084463999996,-1.2523972922
csrA__wt_t10__2,0.9311794068,-2.4628724474
csrA__wt_t15__2,0.3057272976,-3.5390117061
csrA__delcsrA_t00__2,-3.1330366847,-0.5987940831
csrA__delcsrA_t02_30__2,0.2591197457,-1.8119050536999999
csrA__delcsrA_t05__2,-1.317681349,-2.3728541779
csrA__delcsrA_t10__2,-2.0930635072,-3.4960613401
csrA__delcsrA_t15__2,-1.1447928765,-3.2631873153
cstr_pfr__str_0005m__1,-0.4871324721,-0.09064218160000001
cstr_pfr__str_0010m__1,-0.8681211954,-0.2840433969
cstr_pfr__str_0025m__1,-0.20758193460000002,-0.2075682951
cstr_pfr__str_0045m__1,-0.5829366338,-0.0502265771
cstr_pfr__str_0075m__1,-0.0472186837,-0.1150934157
cstr_pfr__str_0120m__1,-0.11542903110000001,-0.038677512500000004
cstr_pfr__str_0210m__1,-0.17151004890000002,-0.1297357589
cstr_pfr__str_0330m__1,1.0678171205,0.0788321252
cstr_pfr__str_1500m__1,1.1672518471,0.0949156095
cstr_pfr__str_1560m__1,-0.1465530913,-0.025724349900000002
