,A,OmpR
abx_mega__h2o-1b__1,-0.4875270835,-0.0992725347
abx_mega__ery_h2o__1,0.6681722364,-1.2509443371
abx_mega__bacit_h2o__1,0.7359683262000001,0.8148138873
abx_mega__chl_h2o__2,0.6085964378000001,-1.2449311335
abx_mega__str_h2o__2,-0.0972202162,-0.0962815137
abx_mega__rfp_ethanol__2,3.3064940057,-0.2874409584
abx_mega__polmyx_h2o__2,-0.6460200603,-0.1763697091
abx_mega__tric_h2o__1,0.7115087103000001,0.577579982
abx_mega__cip_naoh__2,-0.5794441403,0.23088318200000002
abx_mega__novo_h2o__3,0.5993563177,-0.5088942688
abx_mega__bacit_dmso__1,0.963324825,0.1448217691
abx_mega__gen_h2o__1,2.4801184462,0.9170945834
abx_mega__bacit_dmso__2,1.015716268,0.19580065430000002
abx_mega__chl_dmso__1,0.5334961521,1.0530169996
abx_mega__bacit_h2o__2,0.6836810301,0.15480531490000002
abx_mega__lvx_dmso__1,-0.9743397278,0.1806672342
abx_mega__bacit_h2o__3,0.5979622276000001,0.4383871084
abx_mega__nor_naoh__2,-0.7584971875000001,0.1448474444
abx_mega__amyc-d_dmso__2,1.1393820294,0.3031067853
abx_mega__polmyx_h2o__3,0.2335739822,0.5307188047
abx_mega__naoh-6__1,-0.0442379568,0.3092463119
abx_mega__cst_h2o__2,-0.8734531407,0.0354806552
abx_mega__h2o-1b__2,-0.4586698604,-0.0226364747
abx_mega__rfp_h2o__1,1.3220383657,-0.445994702
abx_mega__tet_h2o__1,0.4911931852,-0.9692820163
abx_mega__flavo_dmso__1,-0.5389610848,0.0111998207
abx_mega__zeocin_h2o__1,-1.2740705226,0.1815884231
abx_mega__nor_naoh__3,-0.7266393552,-0.0038293603
abx_mega__rach_dmso__2,0.7408640806,0.15979272290000002
abx_mega__thio_dmso__2,0.7980565167,0.6779784473
abx_mega__amyc-d_dmso__3,0.7664151459,-0.0027039801
abx_mega__rif_dmso__2,0.6610675020000001,-0.057831827200000005
abx_mega__amyc-d_dmso__4,0.8918523236,0.2395290558
abx_mega__teix_dmso__3,0.1458618389,-0.20133303330000002
abx_mega__valin_dmso__1,-1.2260304262,0.0977400786
abx_mega__teix_dmso__4,0.455287826,-0.1731119247
abx_mega__ethanol-10__1,-0.448105827,0.1487678026
abx_mega__inh_h2o__1,0.0901240718,-0.1154322348
abx_mega__rif_dmso__3,1.5550872353,0.0499241028
abx_mega__van_dmso__3,2.1287456153,0.970563084
abx_mega__doxo_dmso__1,-2.0543007893,0.2354784533
abx_mega__tmp_dmso__1,-0.8215587745,-0.12300879810000001
abx_mega__ethanol-10__2,0.1257649864,-0.15887796040000002
abx_mega__tmp_dmso__2,-0.9069261735,-0.2950327203
abx_mega__amyc-d_dmso__5,1.7801609259000002,-0.12181085
abx_mega__novo_h2o__4,0.0736464045,-1.2088695953
abx_mega__cro_h2o__2,-1.1867436195,-0.3427578203
abx_mega__cro_h2o__3,-1.2128841544,-0.1827317372
abx_mega__gen_h2o__2,6.5690668158,1.1166449256
abx_mega__phos_h2o__4,2.2814174324,0.6435918607000001
abx_mega__metro_dmso__2,-0.0863675035,0.062164166800000004
abx_mega__ery_h2o__2,0.2358401795,-1.2670821801
abx_mega__sacet_h2o__1,0.7690742473000001,-0.2765149645
abx_mega__nal_naoh__5,-0.7277901848,-0.1831066381
abx_mega__bacit_h2o__4,0.503571958,0.2993053109
abx_mega__cip_naoh__3,-1.8197398040000001,-0.23724329100000002
abx_mega__ethanol-8__1,0.2106906918,-0.1041521138
abx_mega__h2o-8a__1,-1.4866983974,-0.17263219
abx_mega__ery_h2o__3,1.2094867885,-0.6783684845
abx_mega__flavo_dmso__2,-0.536617266,-0.0258698054
abx_mega__rif_dmso__4,0.9955286717,0.1123414239
abx_mega__novo_h2o__5,0.3751959104,-1.1501001018
abx_mega__teix_dmso__5,0.7081885053,-0.09638969600000001
abx_mega__naoh-2__1,-0.0848515267,0.4013388826
abx_mega__novo_h2o__6,0.2108775758,-1.3151295487999999
abx_mega__ctx_h2o__3,-0.8303054165,0.043956751200000005
abx_mega__rach_dmso__3,0.2478647783,0.3913643188
abx_mega__valin_dmso__2,-0.7725148706,-0.016725366800000002
abx_mega__amyc-d_dmso__6,1.6092133363,0.4807888792
abx_mega__dox_dmso__2,0.4622643625,0.2203089252
abx_mega__teix_dmso__6,0.6709786472,-0.3267816206
abx_mega__naoh-6__2,0.0250034259,0.1430608821
abx_mega__inh_h2o__2,-1.3595459507,0.7818423893
abx_mega__chl_h2o__3,2.0121747972,-1.5665836876
abx_mega__nal_naoh__6,-0.4851121618,-0.1235610792
abx_mega__chl_dmso__2,0.3562703839,1.0408393412999999
abx_mega__rach_dmso__4,-0.0381565133,0.0940021038
abx_mega__teix_dmso__7,1.1320948226,-0.1258983222
abx_mega__ceru_ethanol__1,0.9756840577,0.0025046124
abx_mega__dmso-7__1,0.7099793832,-0.1115132005
abx_mega__naoh-6__3,0.1601430681,0.2377957947
abx_mega__phos_ethanol__2,-0.11867911240000001,0.2278134453
abx_mega__metro_dmso__3,1.3690278205,0.2215955597
abx_mega__van_dmso__4,1.8850995956,0.8845041095
abx_mega__h2o-10__1,0.0254577768,-0.1091813461
abx_mega__h2o-10__2,-0.3869335349,0.2458473521
abx_mega__dmso-6__3,1.3338744379,0.08007219460000001
abx_mega__mem_dmso__1,-0.8663428231,-0.5219775286
abx_mega__ethanol-8__2,0.41486049680000003,0.0806817422
abx_mega__chl_h2o__4,2.3949419069,-1.5549689243
abx_mega__van_h2o__1,-1.2679011186,-0.6557830738
abx_mega__dcs_h2o__1,-0.46264528580000003,-0.1371540394
abx_mega__rif_dmso__5,0.7623647108,0.2649971947
abx_mega__dox_dmso__3,-1.2931781161,0.5773565583
abx_mega__mem_dmso__2,-1.1408889352,-0.37502383240000003
abx_mega__lvx_dmso__2,-0.7558072776,-0.024376345400000003
abx_mega__tet_h2o__2,-0.24885277320000002,-0.7126020142
abx_mega__phos_h2o__5,0.7045266998,0.6290355621
abx_mega__monac_dmso__1,2.3678498555,0.8041986728
abx_mega__str_h2o__3,-0.6740555896,-0.32911948220000004
abx_mega__zeocin_h2o__2,0.09136861040000001,0.3486612276
abx_mega__amyc-d_dmso__7,3.5967845704,0.3826837373
abx_mega__fidax_dmso__1,2.561861547,-0.09237759820000001
abx_mega__h2o-1a__1,0.2776172755,0.0458094748
abx_mega__dox_dmso__4,0.0605041539,0.6435319998
abx_mega__lzd_dmso__2,0.2916521492,-0.5521572992
abx_mega__tet_h2o__3,0.0921982105,-0.6619563359
abx_mega__dmso-1__2,-0.8691358020000001,-0.17861279830000001
abx_mega__sxt_dmso__2,-0.3731231626,-0.3790188237
abx_mega__tric_ethanol__2,3.479277492,0.40715833760000003
abx_mega__teix_dmso__8,-1.1320255053000001,-0.5044525133000001
abx_mega__ramo_h2o__2,-0.0771566986,0.2181583798
abx_mega__inh_h2o__3,-0.1962395941,0.18850879510000002
abx_mega__cst_h2o__3,-0.7159186753,-0.24667128160000001
abx_mega__dmso-9__1,-0.8420686507,0.3711895718
abx_mega__ethanol-8__3,1.107312264,-0.0420910148
abx_mega__monac_dmso__2,2.2666303163,1.0667573121
abx_mega__dmso-9__2,-0.20024047520000002,0.0624818491
abx_mega__metro_dmso__4,-0.366618449,-0.0796687595
abx_mega__ctx_h2o__4,-0.7154611150000001,-0.13437515690000001
abx_mega__zeocin_h2o__3,-2.0827826428,0.2071710265
abx_mega__bacit_h2o__5,0.4628498212,0.15586630740000001
abx_mega__reta_dmso__1,0.8619836579,0.2223308223
abx_mega__ery_h2o__4,-0.3393805053,-1.2048250048
abx_mega__ceru_ethanol__2,-0.0706841564,0.4835099943
abx_mega__fidax_dmso__2,1.6802495651,-0.0161438058
abx_mega__novo_dmso__1,-1.2045292075,-1.0907774618
abx_mega__naoh-6__4,0.1140535496,0.1599874239
abx_mega__amyc-d_dmso__8,0.79988013,0.27382971040000004
abx_mega__chl_dmso__3,0.4822501811,1.0905320933
abx_mega__nal_naoh__7,-1.3130847307,-0.007960106
abx_mega__teix_dmso__9,1.0775032082,-0.1295191288
abx_mega__ery_dmso__3,-2.5751126249,0.103596555
abx_mega__tmp_dmso__3,0.11276529880000001,-0.08139700350000001
abx_mega__sxt_dmso__3,0.5060659275,0.029820835400000002
abx_mega__polmyx_h2o__4,0.7677097377000001,0.5237156525000001
abx_mega__mem_dmso__3,-0.2785400047,0.1837067464
abx_mega__nal_naoh__8,-1.1638762891,-0.09986079190000001
abx_mega__pen_h2o__3,-1.0480018348,-0.22123926260000001
abx_mega__van_dmso__5,1.9993614041,0.9111647253
abx_mega__zeocin_h2o__4,-0.8303621478000001,0.0723514791
abx_mega__h2o-6__2,-0.2524860802,0.06081649
abx_mega__tet_h2o__4,0.8184378195,-0.5684243304000001
abx_mega__nor_naoh__4,-1.0284151496,0.0036775696
abx_mega__cip_naoh__4,-0.5083544855000001,0.3592846847
abx_mega__tmp_dmso__4,-0.7414699842,-0.1242542808
abx_mega__reta_dmso__2,0.6153083791,-0.8839229363000001
abx_mega__mem_dmso__4,-0.9707363665000001,-0.014319775100000001
abx_mega__dox_dmso__5,0.965654282,0.2652422293
abx_mega__tmp_dmso__5,-1.1549084208,0.11624084720000001
abx_mega__flavo_dmso__3,-0.5646146725,0.10079534670000001
abx_mega__tmp_dmso__6,-1.9556285489,-0.1762841902
abx_mega__ceru_ethanol__3,2.5925266913,0.5939999958000001
abx_mega__teix_dmso__10,-1.2499392534,-0.3078107627
abx_mega__novo_h2o__7,0.8634537529,-0.3293112909
abx_mega__fidax_dmso__3,2.2838362642,0.1124726006
abx_mega__h2o-1a__2,-0.0265505273,-0.0074833688
abx_mega__dcs_h2o__2,-1.2020989319,-0.298215652
abx_mega__cst_h2o__4,-0.7322834672,-0.1765210674
abx_mega__van_h2o__2,-0.5333869853000001,0.1005841467
abx_mega__pen_h2o__4,-2.2518761001,-0.37147785800000005
abx_mega__h2o-8b__2,-0.47948031550000003,-0.2806408925
abx_mega__reta_dmso__3,0.859978825,-0.5820275918
abx_mega__dmso-7__2,1.4324173303,0.2286922251
abx_mega__rfp_h2o__2,1.7636582856,-0.4955093323
abx_mega__rif_dmso__6,1.2062227308,0.40801429250000004
abx_mega__sxt_dmso__4,0.2601563042,-0.1042777544
abx_mega__cip_naoh__5,-0.5412807549,0.3258296805
abx_mega__dmso-9__3,0.233368921,0.0495926516
abx_mega__mem_dmso__5,-0.9002627671000001,-0.3344994772
abx_mega__tric_h2o__2,1.0203014711,0.6817601653
abx_mega__phos_h2o__6,0.24280013390000002,0.09145817960000001
abx_mega__h2o-7__2,-0.0773151967,0.0557899981
abx_mega__h2o-10__3,-0.6450391003,-0.1060228691
abx_mega__h2o-8a__2,-0.84347256,-0.2698062456
abx_mega__thio_dmso__3,0.5832535036000001,-0.801982571
abx_mega__lzd_dmso__3,0.8331264260000001,-0.7122557881
abx_mega__monac_dmso__3,2.2161185934,0.2178955336
abx_mega__polmyx_h2o__5,0.1695310062,0.3929079528
abx_mega__naoh-6__5,-0.2163841739,0.3949903246
abx_mega__teix_dmso__11,-0.1438220296,0.0883009471
abx_mega__van_h2o__3,-0.2833820141,0.1347730261
abx_mega__teix_dmso__12,-1.1232653116,0.0672732994
abx_mega__dox_dmso__6,0.23603688120000002,1.2154251644
abx_mega__teix_dmso__13,1.6887751947,0.0377668514
abx_mega__h2o-7__3,-0.9078291588,-0.44908599120000003
abx_mega__str_h2o__4,0.19114973470000002,-0.2248400586
abx_mega__tec_h2o__3,-2.1773316077000002,1.0103369475
abx_mega__phos_h2o__7,-0.0616106509,0.2470146702
abx_mega__chl_h2o__5,0.7582305030000001,-1.4330491108
abx_mega__polmyx_h2o__6,0.0649884555,0.6212644464
abx_mega__teix_dmso__14,-0.10307780250000001,-0.0489642987
abx_mega__rif_dmso__7,0.8953109560000001,0.10730663950000001
abx_mega__ramo_h2o__3,-0.19229768090000002,0.15496611770000002
abx_mega__fidax_dmso__4,2.6016124314,-0.0919059606
abx_mega__teix_dmso__15,0.8741026944,-0.0946127311
abx_mega__thio_dmso__4,0.0963657212,-1.2071446045
abx_mega__rif_dmso__8,1.0322173043,0.1982412765
abx_mega__reta_dmso__4,0.8852999509,-0.7870827880000001
abx_mega__inh_h2o__4,0.6069684187000001,0.9096958878
abx_mega__novo_dmso__2,-0.8550720724,-1.1385180241
abx_mega__dcs_h2o__3,-2.0041033311,-0.5105642421000001
abx_mega__h2o-8b__3,-1.4095926272,-0.1628100435
abx_mega__valin_dmso__3,-1.4437637692,0.1549153346
abx_mega__h2o-2__1,1.0930583193,0.4183519983
abx_mega__cro_h2o__4,-1.2643119231,-0.1254212921
abx_mega__dcs_h2o__4,-0.0778300351,0.0268829761
abx_mega__str_h2o__5,0.1687578347,-0.2915036778
abx_mega__h2o-8a__3,-0.3949058132,-0.2649756951
abx_mega__dox_dmso__7,-0.20942752650000002,0.529513953
abx_mega__doxo_dmso__2,0.9646601362,0.1945703048
abx_mega__teix_dmso__16,1.6242794633000002,0.0218215455
abx_mega__rfp_h2o__3,1.370522753,-0.5813385969
abx_mega__ethanol-10__3,0.6646305852000001,0.1137698936
abx_mega__naoh-2__2,2.2738303192,0.4646321349
abx_mega__van_h2o__4,-0.5054538949,-0.46946522700000004
abx_mega__sacet_h2o__2,1.9473670114,0.0120572586
abx_mega__monac_dmso__4,1.9842507149,0.9295389682
abx_mega__h2o-2__2,0.9435237383,0.7169666949
abx_mega__zeocin_h2o__5,-0.6215704443,0.1778322443
abx_mega__nor_naoh__5,-1.2990334693,-0.1175634941
abx_mega__naoh-9__2,-1.0569596568,0.0875716284
abx_mega__dmso-7__3,0.8704789206,0.2961895388
abx_mega__van_h2o__5,-0.8621071881,-0.7186337545
abx_mega__flavo_dmso__4,-1.0267543833,-0.17123665130000001
abx_mega__novo_dmso__3,-0.3505846133,-1.146861275
abx_mega__polmyx_h2o__7,-1.9365894345,-0.2474364446
abx_mega__teix_dmso__17,0.6343598846,-0.2025828175
abx_mega__doxo_dmso__3,-0.0243471015,-0.0596331783
abx_mega__mem_dmso__6,-0.6630843567,0.0737356827
abx_mega__h2o-1a__3,-0.2510667482,-0.038326106000000006
abx_mega__bacit_dmso__3,2.0732966433,0.0952702534
abx_mega__dox_dmso__8,-0.23602573710000002,0.9542400032
abx_mega__teix_dmso__18,0.1504124323,-0.056303568500000005
abx_mega__h2o-6__3,-0.2246479401,0.4202529148
abx_mega__pen_h2o__5,-1.1395635241,-0.4454050175
abx_mega__lzd_dmso__4,0.7869623487,-0.18710055820000002
abx_mega__daro__1,-0.9132404247,-0.7436911573
abx_mega__solv__1,-1.5265513317,-0.1463256107
abx_mega__daro__2,-1.1611217063,-0.5875333069
abx_mega__daro__3,-1.7112252033000002,0.16979212600000002
abx_mega__solv__2,0.0535925224,-0.7587746758
abx_mega__solv__3,-1.6424934936,-0.07881402900000001
abx_mega__dmso-4__1,-0.5593510324000001,0.0384005469
abx_mega__kirr_dmso__1,0.8938525515,-0.4738644065
abx_mega__kirr_dmso__2,1.5103612678,-0.5372366915
abx_mega__kirr_dmso__3,2.0598515929,-0.4125030011
abx_mega__dmso-4__2,-0.9362335315,-0.058422072500000005
abx_mega__dmso-4__3,-0.3510361856,0.0282126296
ackA_pta__dnaA46_del_ackA__1,3.1458002574,0.4559095412
ackA_pta__dnaA46_del_ackA__2,5.2590370995,0.5789392786
ackA_pta__dnaA46_del_ackA__3,3.9322093956,0.6719355073000001
ackA_pta__dnaA46_del_pta__1,7.5939099202,1.2850174117
ackA_pta__dnaA46_del_pta__2,3.49550679,-0.1083219827
ackA_pta__dnaA46_del_pta__3,1.9541186007,0.4379078729
ackA_pta__dnaA46__1,0.4950817655,0.19049848900000002
ackA_pta__dnaA46__2,2.1445835643,0.1404716155
ackA_pta__dnaA46__3,0.3015958215,0.127453654
ackA_pta__del_ackA__1,3.0623886773,0.6032816893
ackA_pta__del_ackA__2,8.943812063,1.3992519889000001
ackA_pta__del_ackA__3,2.6852220871,0.6727900119
ackA_pta__del_pta__1,1.116810127,0.0877984755
ackA_pta__del_pta__2,6.6024770503,0.3256678548
ackA_pta__del_pta__3,2.5811690546,0.5105055497000001
ackA_pta__wt__1,-0.7276398371,0.1098458068
ackA_pta__wt__2,0.49173855600000005,-0.1171661467
ackA_pta__wt__3,0.2359012811,0.0073203399
anticancer__5fu__1,0.9391791420000001,-0.7810988704
anticancer__5fu__2,0.4506399024,-0.6310101680000001
anticancer__cap__1,1.8305802315,1.3046432714
anticancer__cap__2,2.0484188857,1.34458047
anticancer__cap__3,2.596766277,1.286729318
anticancer__wt__1,-0.0064957559000000005,-0.2970767178
anticancer__wt__2,-0.42742553320000004,-0.0482539024
anticancer__wt__3,0.4339212891,0.3453306201
anticancer__5fu__3,1.1191543797,-0.7165415447
bio_pln__aero_pln__1,0.2982534014,0.15107433
bio_pln__aero_pln__2,-0.2982534014,-0.15107433
bio_pln__anaero_pln__1,0.010672575,-0.3607063985
bio_pln__anaero_pln__2,-1.3812626525,-0.37474189020000004
biocide__bzcl_12h__1,1.7477196191000002,-0.24889902060000002
biocide__bzcl_12h__2,1.8465206093000002,0.26824070850000004
biocide__bzcl_12h__3,1.2573422557,0.00427413
biocide__etoh_12h__1,-0.36068168440000004,-0.0246207962
biocide__etoh_12h__2,0.19652074590000002,-0.0942733872
biocide__etoh_12h__3,-0.0164795719,0.034708493800000004
biocide__gluald_12h__1,1.7446083659,0.2969962103
biocide__gluald_12h__2,0.6339515333,0.11782625470000001
biocide__gluald_12h__3,1.4508819378,0.0733100165
biocide__h2o2_12h__1,0.3524014764,0.0685963267
biocide__h2o2_12h__2,0.5625108495,0.1356786919
biocide__h2o2_12h__3,0.6742263154,0.0011037137000000001
biocide__2ppoh_12h__1,-0.48339544630000003,0.3175289779
biocide__2ppoh_12h__2,1.111216708,0.31985373310000004
biocide__2ppoh_12h__3,1.0124999153,0.305380857
biocide__paa_12h__1,0.5555303466,0.059628634300000004
biocide__paa_12h__2,0.2578706625,-0.0095091466
biocide__paa_12h__3,1.322144678,0.2000611709
biocide__phe_12h__1,1.095468521,0.7891197498
biocide__phe_12h__2,1.5384007443,0.7064846244
biocide__phe_12h__3,1.3644532407,0.8042671730000001
biocide__pvp-i_12h__1,1.3678415690999999,0.1923158506
biocide__pvp-i_12h__2,0.7310011734,0.014000356200000001
biocide__pvp-i_12h__3,1.5246080951,-0.0003458662
biocide__bleach_12h__1,0.5955609693,-0.034986826000000006
biocide__bleach_12h__2,0.2139959766,0.0627184044
biocide__bleach_12h__3,0.8780834018,-0.049719800800000005
biocide__chx_12h__1,0.9240778721,0.2521421021
biocide__chx_12h__2,0.9236064099,0.030717171300000002
biocide__chx_12h__3,1.4098369042,0.0573882826
biocide__bzcl_30m__1,0.7891115386,0.557736051
biocide__bzcl_30m__2,0.9047086457,0.6619042401
biocide__bzcl_30m__3,0.5882375836,0.6030717561
biocide__phe_30m__1,1.5820123902,0.2589501966
biocide__phe_30m__2,3.7865378004,0.6436594167
biocide__phe_30m__3,0.6662333995,0.34633417850000003
biocide__pvp-i_30m__1,1.3318534608,0.0203355053
biocide__pvp-i_30m__2,2.06992063,0.15696127370000001
biocide__pvp-i_30m__3,1.7080985078,-0.0895564512
biocide__ctrl_12h__1,1.0258934503,-0.1095778709
biocide__ctrl_12h__2,0.3410206176,-0.31892358130000004
biocide__ctrl_12h__3,1.1002841646000001,0.049843390800000005
biocide__ctrl_30m__1,-0.6273337222,0.1607898092
biocide__ctrl_30m__2,0.2268453188,-0.2565999975
biocide__ctrl_30m__3,0.4004884034,0.09581018820000001
clpP__wt__1,-0.2952434894,-0.1659770711
clpP__wt_DPTA__1,1.6713983208,1.5127000238
clpP__wt__2,-0.4399753919,-0.0560198353
clpP__wt_DPTA__2,4.0585035759,1.4120347256999999
clpP__wt__3,0.7352188813,0.2219969065
clpP__wt_DPTA__3,1.4842225821000001,1.3475681321000001
clpP__delclpP__1,2.0127987942,-0.06901106700000001
clpP__delclpP_DPTA__1,4.5521806863,1.7828912258
clpP__delclpP__2,1.7889616406000002,0.060076081100000005
clpP__delclpP_DPTA__2,1.4978297335000001,1.5938029673
clpP__delclpP__3,2.0995186046,0.19155300150000001
clpP__delclpP_DPTA__3,3.0728779845,1.4574959828
colombos2__delydcR__1,3.3426992302,0.3306737395
colombos2__delydcR__2,1.4499116287,0.6008238807
colombos2__delydcR__3,1.3162463329,0.8006066566000001
colombos2__delyjiR__1,-1.6058222295,-0.2821649455
colombos2__delyjiR__2,-0.7093149953,0.176504401
colombos2__delyjiR__3,-1.8594217954,0.5054346516
colombos2__wt__1,-1.1780792159,-0.3935219418
colombos2__wt__2,1.6575335275,-0.0636794073
colombos2__wt__3,-0.4794543116,0.45720134910000004
crp_k100__ar1_ar2__1,-3.9443551556000003,-1.6281675865
crp_k100__ar1_ar2__2,-1.9787769182,-2.1981084228
crp_k100__ar1_ar2__3,-2.9197267247000003,-1.4153376001
crp_k100__wt__1,1.3190585043,-0.0496381849
crp_k100__wt__2,-0.2219038188,0.2378787104
crp_k100__wt__3,-1.0971546854,-0.1882405255
crp_k100__K100Q__1,2.0149392832,-0.1971447473
crp_k100__K100Q__2,0.9042494056,0.1590167257
crp_k100__K100R__1,-0.4036232584,0.1178657305
crp_k100__K100R__2,1.5516380286,-0.19488637590000002
crp_k100__K100R__3,-0.5210697303,0.0343672074
csrA__wt_t00__1,0.1252965354,-0.0040144303
csrA__wt_t02_30__1,2.7224837930000003,-0.0647366623
csrA__wt_t05__1,5.9140506120000005,-0.225995197
csrA__wt_t10__1,8.496164737299999,-0.1431110764
csrA__wt_t15__1,8.926986008,-0.43084982920000003
csrA__delcsrA_t00__1,0.45120702290000003,0.5103193686
csrA__delcsrA_t02_30__1,4.7328601485,-0.32062733120000003
csrA__delcsrA_t05__1,6.5177223947,-1.1465330319
csrA__delcsrA_t10__1,8.9486798535,-0.7761936833
csrA__delcsrA_t15__1,8.817398269,-0.7993963864
csrA__wt_t00__2,-0.1252965354,0.0040144303
csrA__wt_t02_30__2,3.3185661992,0.057800987500000005
csrA__wt_t05__2,5.2319630072,-0.2577831711
csrA__wt_t10__2,9.2557033643,0.0380341614
csrA__wt_t15__2,9.3609146356,-0.054523487200000005
csrA__delcsrA_t00__2,0.8768779516,0.259982155
csrA__delcsrA_t02_30__2,5.0544833196,-0.7617998364
csrA__delcsrA_t05__2,6.5900052831,-0.9012694486
csrA__delcsrA_t10__2,8.6194192771,-0.8680640455
csrA__delcsrA_t15__2,8.0421813788,-1.0152088743
cstr_pfr__str_0005m__1,0.6556731943,0.0736643947
cstr_pfr__str_0010m__1,0.7296503088,-0.1277690944
cstr_pfr__str_0025m__1,-0.17641753570000002,-0.2403424425
cstr_pfr__str_0045m__1,-0.2661940065,-0.09902576710000001
cstr_pfr__str_0075m__1,-0.1822832997,-0.1628054813
cstr_pfr__str_0120m__1,-0.4312400186,-0.08873977300000001
cstr_pfr__str_0210m__1,0.2721173927,-0.09576064270000001
cstr_pfr__str_0330m__1,0.7000273024,-0.1258161126
cstr_pfr__str_1500m__1,0.3631923966,-0.1269196776
cstr_pfr__str_1560m__1,0.0699335915,-0.150598121
cstr_pfr__str_1680m__1,-0.0931149124,-0.0731227019
