,A,RpoN
ecoli_00042,-5.2256776053,0.3409092855
ecoli_00043,-0.4203364224,0.26062700850000003
ecoli_00044,-0.35653051690000004,0.3284104245
ecoli_00045,0.48876433890000004,0.12483548650000001
ecoli_00046,0.4312091643,0.1031144385
ecoli_00047,-1.9743040166,0.2262561375
ecoli_00048,-2.4386978549,0.2539545305
ecoli_00049,9.5763309552,0.3646965855
ecoli_00050,-4.8850543429,0.2962516995
ecoli_00051,-3.8954715499,0.4666522205
ecoli_00052,3.5957665116,0.08866842550000001
ecoli_00053,3.7404388189,0.0568323675
ecoli_00054,-2.227271783,0.7135937785
ecoli_00055,-1.5717811999,0.7710917565000001
ecoli_00056,-5.4958233541,0.2626952735
ecoli_00057,-5.9113640075,0.2125339715
ecoli_00058,-4.8473911462,-0.0719943285
ecoli_00059,-4.9660794021,-0.1321674075
ecoli_00060,-0.8059155746000001,0.08772091650000001
ecoli_00061,-0.6838971429,0.0866318205
ecoli_00062,-6.7279256968,0.13049388650000002
ecoli_00063,-6.7004986543000005,0.0750394705
ecoli_00064,-7.1651086396,0.8458476445
ecoli_00065,-7.4294410144,0.7361582905
ecoli_00066,-8.3968623961,0.3376980425
ecoli_00067,-7.915726749,0.3812324995
ecoli_00068,-2.9600651045,-0.23121805050000002
ecoli_00070,-4.0364548083,-0.2809332425
ecoli_00071,-3.3771395594999998,-0.2902247825
ecoli_00072,-3.8629845507000002,-0.2054288275
ecoli_00073,-5.8174601608,0.0389202145
ecoli_00074,-3.9667184266,0.0609900175
ecoli_00075,-1.2356153729,0.1072953325
ecoli_00077,-1.8151102325,0.0527145325
ecoli_00078,0.11194120590000001,0.1089791855
ecoli_00079,0.1972131305,0.2383428175
ecoli_00080,-4.336205822,0.0018527365
ecoli_00081,-2.172485875,-0.3356794605
ecoli_00082,-6.1933742348,0.1917987605
ecoli_00083,-6.5822868713,0.1532170935
ecoli_00084,-6.0948781774,0.2657675905
ecoli_00085,-5.6063284541,0.3237425105
ecoli_00086,-5.8972778105,-0.023381640500000002
ecoli_00087,-5.4470795165,-0.1429831305
ecoli_00088,-3.3323597583,0.10736111150000001
ecoli_00089,-3.7400461263,0.12499276150000001
ecoli_00090,-2.4505625,-0.0261596815
ecoli_00091,-2.5092275921000002,-0.1007299425
ecoli_00092,7.8981965791,-0.056968540500000005
ecoli_00093,9.8796902311,0.22376482050000002
ecoli_00094,-8.5074489012,-0.028158271500000002
ecoli_00095,-7.8208811611,0.0103283685
ecoli_00096,10.1344474056,-0.1267133255
ecoli_00097,9.34170146,0.023719754500000002
ecoli_00098,-5.9017129492,-0.013294588500000001
ecoli_00099,-6.3926102431,-0.0162517615
ecoli_00100,1.2879442587,-0.5141145255
ecoli_00101,3.3651732008,-0.2027603775
ecoli_00102,3.3466367907,-0.22850633750000002
ecoli_00103,-6.1417808039,-0.6724268015
ecoli_00104,-3.5375634259,-0.5883223085
ecoli_00105,-1.9299945454,-0.2614936275
ecoli_00106,-4.2957094789,-0.4111413085
ecoli_00107,-3.6805979469,-0.31615505250000003
ecoli_00108,-6.2335909241,0.6530569715
ecoli_00109,-6.1398261025,0.6094381865
ecoli_00110,-5.5970607119,0.41063416150000004
ecoli_00111,-6.4025652249,0.39263840650000004
ecoli_00112,-5.8735972033,0.3384137365
ecoli_00113,-3.3729850133,0.23901305750000001
ecoli_00114,-3.8138890405,0.3881425055
ecoli_00115,-4.7699355301,0.5417163865
ecoli_00116,-6.0961666152,0.48734105450000004
ecoli_00117,-5.2204700695,0.6076043145000001
ecoli_00118,-4.5172511301,0.4631423375
ecoli_00119,-5.3516291987,0.6373608285
ecoli_00120,-5.6536412076,0.6669930295000001
ecoli_00121,-6.0661841141,0.5979555295
ecoli_00122,-5.6983134909,0.4546922765
ecoli_00123,-5.4167933544,0.47694144850000003
ecoli_00124,-5.7400241158,0.4892179915
ecoli_00125,-3.3582272359,-0.1601779305
ecoli_00126,-4.3068811756,-0.2800279565
ecoli_00127,-1.1278661226,-0.6870798615
ecoli_00128,0.1400885675,-0.5723060855000001
ecoli_00129,-4.0903986339,0.1635734905
ecoli_00130,-4.3228007975,0.0031536635000000003
ecoli_00131,-3.567256762,-0.2871971685
ecoli_00132,-4.2541961176,0.0244120205
ecoli_00133,-1.577269021,0.3491200385
ecoli_00134,-5.5703992328,-0.3153191495
ecoli_00135,-4.5534845503,0.09912298550000001
ecoli_00136,-3.0258980803,-0.1073433455
ecoli_00137,-3.5498232417,-0.2023175995
ecoli_00138,-3.6508795568,0.8135905605
ecoli_00139,-3.0646256083,0.32016739250000004
ecoli_00140,-1.8849379378000002,-0.0553719955
ecoli_00141,-4.4484517889,0.21542995750000002
ecoli_00142,-6.2010833856,-0.2178078165
ecoli_00143,-6.032824251,-0.2212727485
ecoli_00144,-3.8043833919,-0.2125297985
ecoli_00145,-3.3425975905,0.4108722805
ecoli_00146,-2.9728920678,-0.7788251875000001
ecoli_00147,-3.7330762423,-0.0637925315
ecoli_00148,0.1624517655,0.2370279345
ecoli_00149,-1.6307520530000001,-0.3120889155
ecoli_00150,1.5303907855999999,0.2020547685
ecoli_00151,-3.1188574556,-0.1082888095
ecoli_00152,-2.8050964491,-0.1497820355
ecoli_00153,0.1433391594,-0.3262490615
ecoli_00154,1.4358763649,-0.0901773505
ecoli_00155,-1.7077710761,-0.28990390050000003
ecoli_00157,-1.0829119208,-0.2741644015
ecoli_00158,-4.7507688,-0.45250245850000004
ecoli_00159,-1.3098178697,-1.0410889935
ecoli_00160,-3.6011774854,-0.8552477355
ecoli_00169,-0.4357466169,-0.5082379055
ecoli_00170,-0.2054324432,-0.4994340875
ecoli_00171,-4.2645860816,-0.1040741495
ecoli_00172,-4.0380453522,-0.2792215905
ecoli_00173,-5.1975757421,-0.2671002145
ecoli_00174,-4.3798117837,-0.3823479205
ecoli_00175,-7.5739333696,0.1386887865
ecoli_00176,-6.9599805905,0.12476168450000001
ecoli_00177,-4.9068847729,0.3953586515
ecoli_00178,-4.7500083967,0.5102487215
ecoli_00179,-4.6474956209,-0.2586659055
ecoli_00180,-4.5209245168,-0.3374765535
ecoli_00181,-3.1224760299,-0.8079442385000001
ecoli_00182,-2.4642204704,-0.8131288585
ecoli_00183,-2.1534412281,0.023476880500000002
ecoli_00184,-2.4475387694,0.012221922500000001
ecoli_00185,-4.7435812038,-0.5329956575
ecoli_00186,-3.9165945606,-0.5109843565000001
ecoli_00187,-5.7006463995,-0.1857659965
ecoli_00188,-5.5050823032,-0.0851485565
ecoli_00189,-4.4209883445,-0.3903549005
ecoli_00190,-5.0061413744,-0.3410315705
ecoli_00191,-5.163987257,-0.3768134025
ecoli_00192,-4.7453710308,-0.4399327825
ecoli_00193,-4.3467462213,-0.5177360115
ecoli_00194,-4.3273503594000005,-0.49115702850000004
ecoli_00195,-3.3095712913,-0.7443637615
ecoli_00196,-5.9475794855,-0.7433956735
ecoli_00197,-6.1191968779,-0.7138325825
ecoli_00198,-4.3344811709,-0.8051262665000001
ecoli_00199,0.3943702928,-0.2177005135
ecoli_00200,0.5714869222,-0.1777278635
ecoli_00201,3.2128431522,0.1175472515
ecoli_00202,1.8026479516,0.1546335705
ecoli_00203,3.5762382094,0.0250697845
ecoli_00204,1.8799775437,-0.1486100975
ecoli_00205,-0.3693177259,0.08753290150000001
ecoli_00206,-1.3779507505,0.23139318550000001
ecoli_00207,1.2201359135,0.21411362450000002
ecoli_00208,1.1291939112,0.2065327435
ecoli_00209,1.1478908211,-0.1566763185
ecoli_00210,0.7031083768,-0.1216764105
ecoli_00211,-4.6698005485,-0.2880566235
ecoli_00212,-5.4031486748,-0.3517970845
ecoli_00213,1.6870642269,0.08682374550000001
ecoli_00214,1.7990019425,0.11715476650000001
ecoli_00215,-0.7135469382,-0.36648127750000004
ecoli_00216,-1.1297630796,-0.4210866755
ecoli_00217,-1.0912804751,-0.08041245350000001
ecoli_00218,-0.8440426294000001,0.1485691505
ecoli_00219,3.0597520656,-0.2860461955
ecoli_00220,2.9546588903,-0.2915660545
ecoli_00221,-5.0388801837,-0.19775634250000002
ecoli_00222,-3.8071612631000002,-0.4303054455
ecoli_00223,-2.3069086919,0.0436795175
ecoli_00224,-3.0126921003,0.0510243685
ecoli_00225,0.7215038455,0.0094733505
ecoli_00226,0.052639250900000004,0.024496082500000002
ecoli_00227,-2.0813715567,-0.5196136545
ecoli_00228,-1.8937064063,-0.6788874785
ecoli_00229,-4.6708527341,-0.3205594465
ecoli_00230,-3.6377294545,-0.42812930250000003
ecoli_00231,-4.9126867621,-0.4658414105
ecoli_00232,-4.6490699653,-0.4076242355
ecoli_00233,-5.6967483905,-0.3878105415
ecoli_00234,-5.6934790056,-0.3348743525
ecoli_00235,-6.2842588505,-0.1907283005
ecoli_00236,-5.76256832,0.10126346950000001
ecoli_00237,-6.6487160948,-0.8559759545000001
ecoli_00238,-5.8185345416,-0.7988730515
ecoli_00239,-5.9147662016,-0.8056928055
ecoli_00240,-6.2021902921,-0.8484199965
ecoli_00241,-5.4994363635,-0.3722573105
ecoli_00242,-5.2286826987,-0.5214724065
ecoli_00243,-4.212681212,-0.4881702405
ecoli_00244,-5.1224382508,-1.0848582725
ecoli_00245,-2.4576777865,-1.0038269125
ecoli_00246,-1.0941939794,0.6129173255
ecoli_00247,-1.1809608312,0.6364002815
ecoli_00248,-3.0385274054,0.013956801500000001
ecoli_00249,-4.1448750374,-0.3592717405
ecoli_00250,-4.3131545861,-0.2363246525
ecoli_00251,-4.2860330759,-0.6221584905
ecoli_00252,-4.6636271712,-0.6037325335
ecoli_00253,1.5277154647,-0.3419427795
ecoli_00254,-1.8113654919000002,-0.20152948750000002
ecoli_00255,-4.191514069,-0.3747926055
ecoli_00256,-6.0790108512,-0.35274892150000003
ecoli_00257,-5.6306194175,-0.45010071150000003
ecoli_00258,-3.7704145833,-0.3057581085
ecoli_00259,-6.5341553308,-0.4779141955
ecoli_00260,-5.7998385576,-0.48248354050000003
ecoli_00261,-4.2698346681,-0.5465418105000001
ecoli_00262,-5.1323515232,-0.6007871505
ecoli_00263,-0.24419779030000002,-0.3912163105
ecoli_00264,-0.6729185243,-0.5284220465
ecoli_00265,-6.1154747487,0.08356590650000001
ecoli_00266,-5.6412034216,0.053814073500000004
ecoli_00267,-1.7617015343,-0.3340089295
ecoli_00268,-1.9209630485,-0.2956222475
ecoli_00269,-3.1716864303,-0.0378373955
ecoli_00270,-3.0391095664,-0.0412327315
ecoli_00271,-1.8344003609000001,-0.7487878285
ecoli_00272,-2.5304332807,-0.7009630315000001
ecoli_00273,-4.803449668,-0.18203062050000002
ecoli_00274,-5.0771664738,-0.2151145645
ecoli_00275,-3.2315576943,-0.0737356045
ecoli_00276,-2.9957991226000003,-0.0430306665
ecoli_00277,-3.301419664,-0.0768021715
ecoli_00278,-3.6774138283999998,-0.2355697055
ecoli_00279,-1.0130690782,0.1359028115
ecoli_00280,-1.2808040487,0.44392921550000003
ecoli_00281,-2.1863203124,-0.6235655355
ecoli_00282,-3.7147759571,-0.4320346105
ecoli_00283,-5.6839260075,-0.2007496575
ecoli_00284,-5.7142651404,-0.1041754705
ecoli_00285,-4.6361840739,-0.6218984005
ecoli_00286,-4.7382941584000005,-0.5839646795
ecoli_00287,-4.0306257059,-0.45300003250000004
ecoli_00288,-3.9254062150999998,-0.5385766335000001
ecoli_00289,-5.1189595544,-0.3668799975
ecoli_00290,-5.4291436328,-0.3155679335
ecoli_00291,-5.1225684602,-0.1009341795
ecoli_00292,-4.1787884842,-0.2546691535
ecoli_00293,-4.8464483272,-0.40340550750000004
ecoli_00294,-4.9337912878,-0.3678198875
ecoli_00295,-4.9075857889000005,-0.8875475355
ecoli_00296,-5.1240821782,-0.7537812915000001
ecoli_00297,-5.0079520117,-0.32932624050000003
ecoli_00298,-5.1736860012,-0.1580608585
ecoli_00299,3.8660333882,-0.6353274335
ecoli_00300,3.9970673197,-0.7252746255
ecoli_00301,-3.6248834005,-0.5979053565
ecoli_00302,-5.1672098473,-0.36403217250000003
ecoli_00303,0.0365956886,-0.1925102585
ecoli_00304,-1.4776930658,-0.4212613405
ecoli_00305,-3.7495871048,0.0905275655
ecoli_00306,-3.5846082123,-0.028343522500000003
ecoli_00307,-3.9509030818,-0.0886333495
ecoli_00308,-4.5843146963,0.0306147075
ecoli_00309,-4.1752296233,-0.0059721975
ecoli_00310,-4.0162715442,0.0742940055
ecoli_00311,-0.9460623611000001,-0.1555023795
ecoli_00312,-2.0119067358,0.0782791145
ecoli_00313,-3.5329636366,-0.2155050915
ecoli_00314,-3.453599153,-0.2042967585
ecoli_00315,0.2347772086,-0.1498709755
ecoli_00316,0.5413400422,-0.1392940585
ecoli_00317,-4.3873824992,0.0115364335
ecoli_00318,-3.511497735,0.0398572935
ecoli_00319,-2.0876760819,-0.5764822375
ecoli_00320,-2.5391301034,-0.4922614065
ecoli_00321,-3.5866819537,-0.32117187350000004
ecoli_00322,-3.2986680593,-0.2823155285
ecoli_00323,-2.0947523004,-0.6475323565000001
ecoli_00324,-2.400468741,-0.5660511595000001
ecoli_00325,-2.5000662718999997,-0.6317375725000001
ecoli_00326,-3.8941452158,-0.2562616105
ecoli_00327,-4.0724976623,-0.2800959135
ecoli_00328,-4.2012981855,-0.20979638350000002
ecoli_00329,-4.2315674262,-0.1113272695
ecoli_00330,-2.7396722449,-0.1168814145
ecoli_00331,-3.8504479084,-0.3211070615
ecoli_00332,-3.9485801782000003,-0.4334807255
ecoli_00333,-4.5065307174,-0.32854685850000004
ecoli_00334,-3.6165692555,-0.4067040685
ecoli_00335,-3.5934464553,-0.7690475815000001
ecoli_00336,-2.9638723279,-0.7896709075
ecoli_00337,-4.1874194153,-0.5079082875
ecoli_00338,-4.8730924168000005,-0.5136062095
ecoli_00339,-2.7683324589,-1.0488298425
ecoli_00340,-2.7409303441,-0.7677674225000001
ecoli_00341,-2.7091906497,-1.0040422965
ecoli_00342,-2.9235447185,-0.9743311685
ecoli_00343,-3.0355118743,-0.7348181785
ecoli_00344,-3.1195295976,-0.7374540895
ecoli_00345,-4.2597842691,-0.5476945355
ecoli_00346,-3.6075234051000002,-0.5966921155
ecoli_00347,0.5064947893,-0.5030088485
ecoli_00348,0.7083433106,-0.47050639050000004
ecoli_00349,-0.8598897550000001,-0.6809120685000001
ecoli_00350,-1.4145342057999999,-0.7789388945
ecoli_00351,-1.6065934083,-0.5732511435000001
ecoli_00352,0.12357029900000001,-0.7276872855000001
ecoli_00353,-0.7924159478,-0.5727720955
ecoli_00354,0.4078702467,-0.6420311575000001
ecoli_00355,-4.1365462354,-0.2539979485
ecoli_00356,-3.8225536829,-0.2463934045
ecoli_00357,-4.9161114791,-0.2773780415
ecoli_00358,-4.4619536935,-0.2895602155
ecoli_00359,-3.2793919658,-0.15440206550000002
ecoli_00360,-2.9465681491,-0.1285630515
ecoli_00361,-4.0137218921,-0.3563040015
ecoli_00362,-3.6335029307999998,-0.2940268075
ecoli_00363,-3.6695181276,-0.19254825350000002
ecoli_00364,-4.8996892296,-0.0069729905
ecoli_00365,-5.453675389,-1.4277807655
ecoli_00366,-5.5218588307,-0.7138445255
ecoli_00367,-3.4714755953,-1.6206768645
ecoli_00368,-3.1968242018,-1.5540019985
ecoli_00369,-4.7268423438,-0.6042016265
ecoli_00370,-3.9541228449,-0.32353194750000003
ecoli_00371,-4.251214788,-1.1787768155
ecoli_00372,-5.0439636969,-1.2187590125
ecoli_00373,-3.2678124897,-1.8631709255
ecoli_00374,-3.2312861017,-1.6599600125
ecoli_00375,-4.5024365224,0.2735606665
ecoli_00376,-3.464202754,0.2572504015
ecoli_00377,-1.4165342811000001,-0.5835285005
ecoli_00378,-1.0226482214,-0.5953394565
ecoli_00379,-2.5829846278,-0.5203182055
ecoli_00380,-2.6217327186,-0.5073662345000001
ecoli_00381,-1.7107551295999999,0.0852633545
ecoli_00382,-1.9208462096,0.1457137845
ecoli_00383,-2.8627488898,-0.2890664925
ecoli_00384,-2.6679672537,-0.18241129250000002
ecoli_00385,-2.8986329293,-0.5600824835
ecoli_00386,-2.999802259,-0.6767745725000001
ecoli_00387,-4.5573804465,0.43428186150000003
ecoli_00388,-4.0221833424,0.4325959225
ecoli_00389,-0.6244484482,-0.5331122905
ecoli_00390,-1.476778182,-0.6723085365
ecoli_00391,-2.3991807747,-0.8066460445
ecoli_00392,-2.4810431789000003,-0.7385115715
ecoli_00393,-0.8823479765000001,-0.4863226565
ecoli_00394,-0.7508803940000001,-0.5547234925
ecoli_00395,-1.9613331788,-0.4694425855
ecoli_00396,-1.9481066767000002,-0.44796744450000003
ecoli_00397,-3.9698431996,-0.0295299795
ecoli_00398,-3.9590661266,0.0063114185
ecoli_00399,-3.3186435024,-0.0866435655
ecoli_00400,-3.1634532017,-0.10088509450000001
ecoli_00401,-2.9056808531,-0.5291750435
ecoli_00402,-3.8800431718,-0.8200618455
ecoli_00403,-6.4021754779,-0.5761194285
ecoli_00404,-4.7902950213,-0.4985162905
ecoli_00405,-1.6972928713000002,-0.3221970535
ecoli_00406,-1.8707101895,-0.2184577975
ecoli_00407,-4.1613619835,-0.7110767065
ecoli_00408,-3.9594936001,-0.6720003175
ecoli_00409,-5.4328016682,-0.6911875015000001
ecoli_00410,-5.4270213141,-0.5796304535
ecoli_00411,1.4081021484,-0.6668791315
ecoli_00412,0.7905757368,-0.5694105275
ecoli_00413,-2.0592341848,-0.7970919045
ecoli_00414,-2.4807409913000003,-0.8461084205
ecoli_00415,-4.5431719648,-0.19908843750000002
ecoli_00416,-5.0184181615,-0.4070465515
ecoli_00417,0.7857488411,-0.5594960895000001
ecoli_00418,1.5518682368999999,-0.5038592885000001
ecoli_00419,-1.8600872437,-0.6562123495000001
ecoli_00420,-2.1820937941,-0.6598558995
ecoli_00421,-4.3964691515,-0.0738277085
ecoli_00422,-4.5787913204,-0.12185689350000001
ecoli_00423,-2.2721770812,-0.4791588485
ecoli_00424,-2.5746333809,-0.4254981295
ecoli_00425,1.7315199192000001,-0.7666888895
ecoli_00426,1.8726878151,-0.7144685355
ecoli_00427,-3.6838518779,-0.8098953175
ecoli_00428,-3.6991935086,-0.7267048265
ecoli_00429,-2.9808211343,-0.8316562655
ecoli_00430,-2.5412996339,-0.7900438585
ecoli_00431,-3.6570223131,-0.15745627850000002
ecoli_00432,-4.498324985,-0.1742302655
ecoli_00433,-5.1188293291,-0.3817692005
ecoli_00434,-4.8428843935,-0.4245381205
ecoli_00435,-2.8502058197,-0.40481923750000004
ecoli_00436,-2.6648671881,-0.3913237745
ecoli_00437,-3.3223435469,-0.8734479885
ecoli_00438,-3.7364713445,-0.8586481575
ecoli_00439,-5.6917502330000005,-0.5614283555
ecoli_00440,-4.7848788473,-0.4530128035
ecoli_00441,-0.1008390435,-0.5154001985000001
ecoli_00442,-0.43296210090000004,-0.4354985195
ecoli_00443,-2.1998735445,-0.8158610125
ecoli_00444,-2.1804347374,-0.8157719835
ecoli_00445,-5.1132116987,-0.4651136655
ecoli_00446,-3.9231559762,-0.3570846035
ecoli_00447,-4.8946061594,-0.6523027445
ecoli_00448,-4.4122651325,-0.6094151285
ecoli_00449,-5.5984020622,-0.42264461950000004
ecoli_00450,-4.8776115706,-0.4752205505
ecoli_00451,-4.5800075069,-0.6224597265
ecoli_00452,-4.7427222539,-0.5870771115
ecoli_00453,-5.8827253437,-0.5607076005
ecoli_00454,-5.4540774169,-0.4169587135
ecoli_00455,-0.8150223961,-0.1813430455
ecoli_00456,-1.038176392,-0.0386154645
ecoli_00457,-1.3278734134,0.022399969500000002
ecoli_00458,-1.2634766192,0.1127247755
ecoli_00459,-2.0185999702,-0.0561102235
ecoli_00460,-1.9135677622,-0.0407660725
ecoli_00461,-5.8206149848,-1.3070438615
ecoli_00462,-4.8897509022,-0.9103765525
ecoli_00463,-6.7638120263,-0.07423724050000001
ecoli_00464,-6.2909763037,-0.1987189185
ecoli_00465,-5.3420012136,-0.4260438495
ecoli_00466,-5.3169747341,-0.4191549785
ecoli_00467,-4.9430758639,0.1901894335
ecoli_00468,-4.7130092441,0.1126508125
ecoli_00469,-5.577983819,-0.4017095755
ecoli_00470,-5.3300695342,-0.4281497185
ecoli_00471,-5.3463789336,-1.3940491065
ecoli_00472,-5.2939370502,-1.3759399465
ecoli_00473,-5.6859424954,-0.1651914605
ecoli_00474,-6.5513485919,-0.036922960500000004
ecoli_00475,-5.4536001051,0.2530436345
ecoli_00476,-5.3564758112,0.2711247095
ecoli_00477,-4.8811710272,0.0610994165
ecoli_00478,-4.9003206484,-0.028130071500000003
ecoli_00479,-5.1855253514,-0.0036972305000000003
ecoli_00480,-6.1943310768,0.015772499500000002
ecoli_00481,-4.7798288107,0.0158162155
ecoli_00482,-4.497656447,0.028188571500000002
ecoli_00483,-1.2761060509,-0.3004514575
ecoli_00484,-1.252427142,-0.2269969835
ecoli_00485,-0.37269537080000004,-2.3662006385
ecoli_00486,-0.4231557782,-2.3873792415
ecoli_00487,-4.5958880199,-1.1646445325
ecoli_00488,-4.2804656986000005,-1.0726627075
ecoli_00489,-6.5183993667,-0.16685125650000002
ecoli_00490,-5.7026146657,-0.1528363975
ecoli_00491,-5.4877709533,-0.2308365705
ecoli_00492,-4.9399193858,-0.2319223505
ecoli_00493,-5.903056523,0.0125969325
ecoli_00494,-6.0484540142,0.060915250500000004
ecoli_00495,-5.8639946905,0.1228450845
ecoli_00496,-5.6649962201,0.0687252155
ecoli_00497,-5.8657137245,-0.3972351395
ecoli_00498,-5.7001504708,-0.4348531185
ecoli_00499,-4.7126847261,-1.14035e-05
ecoli_00500,-5.5324904163,-0.0027724815
ecoli_00501,-4.7864117657000005,-0.1843097545
ecoli_00502,-5.5604575462,-0.12013272350000001
ecoli_00503,-4.4496247551,-0.8242077115
ecoli_00504,-5.807162361,-0.8636889035
ecoli_00505,-6.6550004324,-0.2947850685
ecoli_00506,-6.4102103048,-0.3596543125
ecoli_00507,-1.8612941833,0.09347013950000001
ecoli_00508,-2.2755856554,-0.2085698125
ecoli_00509,-2.1832063045,-0.1766728435
ecoli_00510,-2.3399640895,-0.2238188015
ecoli_00511,-1.4393318619,-2.0496042975
ecoli_00512,-1.4202928408,-2.0621163545
ecoli_00513,-5.3433014196,-0.44156524350000004
ecoli_00514,-5.228003932,-0.4725023485
ecoli_00515,-5.5053401508,-0.1539710705
ecoli_00516,-5.3399175238,-0.0834836115
ecoli_00517,-0.7386757391000001,-0.0394391575
ecoli_00518,-0.9229898761,0.1377660055
ecoli_00519,0.2096220323,0.6510062555
ecoli_00520,-0.27876009960000003,0.3599432515
ecoli_00521,0.10476941120000001,0.4836252525
ecoli_00522,0.47238043820000003,0.3568816365
ecoli_00523,1.113892574,0.5070291985000001
ecoli_00524,-5.2730628565,-0.5664110875
ecoli_00525,-5.7680075432999995,-0.5829658875
ecoli_00526,-5.3814124397,-0.4466793015
ecoli_00527,-5.135663966,-0.4972754545
ecoli_00528,-0.4990955929,0.1719268205
ecoli_00529,-0.5975513388,-0.2874407815
ecoli_00530,3.4608068999,-0.1191375105
ecoli_00531,-1.2766408899,-0.6057514295
ecoli_00532,-2.094990258,-0.1675098355
ecoli_00533,-2.2365763691,-0.1861682405
ecoli_00534,-2.5812428015,-0.1088473395
ecoli_00535,-2.7568870673,-0.1782246505
ecoli_00536,-2.1524430465,0.2538954225
ecoli_00537,-1.7987459705000002,0.3837116365
ecoli_00538,-2.7012871086,0.28437785050000003
ecoli_00539,-2.6778631581,0.3035489375
ecoli_00540,0.646820295,0.16083152150000002
ecoli_00541,0.8279893013,0.0763342045
ecoli_00542,3.1046864686,0.3966464375
ecoli_00543,1.480936633,0.5321519475
ecoli_00544,3.9225250376,0.4522509105
ecoli_00545,4.1748810049,0.2981011925
ecoli_00546,1.4441907546000001,0.2163305805
ecoli_00547,1.9545860095,0.31488359650000003
ecoli_00548,1.9315360829000001,0.3723993675
ecoli_00549,0.9428859794000001,0.4228114235
ecoli_00550,1.3732676875,0.4767311185
ecoli_00551,1.4540935882000001,0.5364249265000001
ecoli_00552,-1.318514216,-0.0925105925
ecoli_00553,-1.5396943586,-0.0768193545
ecoli_00554,-1.0674947317,0.5406316015
ecoli_00555,-1.6338066947,0.6297644365
ecoli_00556,-2.8245322133,0.7798303665
ecoli_00557,-2.7944295204,0.7378888005
ecoli_00558,-2.3408113497,0.0032901385
ecoli_00559,-2.5808220904,0.0410366655
ecoli_00560,-1.6539827149000002,0.9526409745000001
ecoli_00561,-1.2752554117,1.0586750145
ecoli_00562,-2.3503925095,0.8617293015
ecoli_00563,-2.7911315008,0.6138417665
ecoli_00564,1.3024579892,-0.48960456150000004
ecoli_00565,1.8627525922000001,-0.5285945645
ecoli_00566,-1.6983448485000001,0.21990180750000002
ecoli_00567,-1.4932349035999999,0.26753295450000003
ecoli_00568,-3.7915806808,-0.5482217625
ecoli_00569,-4.4243280934,-0.49869631750000004
ecoli_00570,-4.3958801806,-0.22059296550000002
ecoli_00571,-4.7449882037,-0.2032018405
ecoli_00572,-1.8668646455000002,0.2606441745
ecoli_00573,-2.2920277778,0.42552955950000004
ecoli_00574,-0.46452835410000004,-0.027075578500000003
ecoli_00575,-0.5701799029,0.06265064050000001
ecoli_00576,-0.0265481613,0.3335942695
ecoli_00577,-0.5198651933,0.6371319745
ecoli_00578,-0.6272254466,0.6821483245000001
ecoli_00579,0.7981842824000001,0.9801124235
ecoli_00580,-0.9220807184,0.4538583305
ecoli_00581,-1.4547693899,0.35690732350000004
ecoli_00582,-5.131061288,-0.0891468405
ecoli_00583,-3.0972118775,-0.2798599835
ecoli_00584,1.1294159637,0.1578808705
ecoli_00585,0.38755592400000005,0.10576513450000001
ecoli_00586,-1.2353068410999999,-0.6761855845
ecoli_00587,-0.356260156,-0.4184855695
