,A,PaaX,Nac
abx_mega__nal_naoh__2,0.29978116380000003,-0.6877405611,-0.0902521619
abx_mega__phos_h2o__1,1.1425857987999999,-0.5782123891000001,1.2904476845000001
abx_mega__dmso-5__2,-0.6464726582,-0.196941941,-0.1009443084
abx_mega__polmyx_h2o__1,0.785884647,0.28661477900000004,-0.31831298610000003
abx_mega__h2o-8b__1,0.4142789556,0.1723193958,0.9534781892
abx_mega__h2o-6__1,0.3525420939,-0.057139123400000005,0.24765128420000002
abx_mega__thio_dmso__1,3.4854907337,-0.42405728810000004,-0.7968411392
abx_mega__phos_h2o__2,1.2331326367,0.2774818424,0.4864713626
abx_mega__ctx_h2o__2,1.4714814405,-0.7637522642,0.44844712740000003
abx_mega__lzd_dmso__1,1.5597741501,-0.3853451537,-0.9611780053000001
abx_mega__naoh-9__1,0.0787799846,0.3341823157,0.24863525260000002
abx_mega__dox_dmso__1,0.3628051122,-0.2620231288,-0.37883280150000004
abx_mega__phos_ethanol__1,0.509495138,0.27342530330000003,0.6372590869
abx_mega__teix_dmso__1,1.6791749439,-0.8047356112,-0.8672898514
abx_mega__dmso-10__1,-0.0846255566,0.36514689180000004,0.8412397582000001
abx_mega__van_dmso__1,2.5011020152,-0.39525130950000004,3.3518109549
abx_mega__ramo_h2o__1,1.6196861625999999,-0.0246429289,-0.2607254032
abx_mega__tec_h2o__2,1.7713043452,-0.3169037648,0.27499405800000004
abx_mega__h2o-7__1,1.6004046449,-0.41817946970000003,1.2762916975
abx_mega__cro_h2o__1,1.8016214064,-0.5602127391,1.1358169906
abx_mega__tric_ethanol__1,0.4245894549,0.9810942796000001,-0.17017549510000002
abx_mega__nor_naoh__1,0.6180411058,-0.14291889230000002,-0.0019217719000000002
abx_mega__teix_dmso__2,0.3924167796,-0.1119975106,0.32695482
abx_mega__nal_naoh__3,0.8636667332,-0.4459288773,0.0304048024
abx_mega__novo_h2o__2,9.3022548511,-1.5363631467,-1.7838273028
abx_mega__dmso-10__2,-0.8170273778,0.3728135893,0.6320160121
abx_mega__phos_h2o__3,0.818663699,0.0406723877,-0.2527105195
abx_mega__dmso-6__2,-0.3342870623,-0.0247234648,-0.40187031640000004
abx_mega__rfp_ethanol__1,-2.5460311608,0.1695982338,0.6116260415
abx_mega__dmso-5__3,-1.0494491659,-0.1991981088,0.3626445851
abx_mega__amyc-d_dmso__1,1.1035997969,-0.9337571151,-0.7921696426
abx_mega__sxt_dmso__1,0.77258934,-0.1993894267,1.4237648646
abx_mega__dmso-1__1,1.2473987075,0.002978095,-0.0484074273
abx_mega__pen_h2o__1,2.6484999264,-0.4390807982,-0.3001566376
abx_mega__dmso-10__3,-0.4394345423,0.4379250897,0.6729728702000001
abx_mega__nal_naoh__4,0.5204754669,-0.1274431913,0.9617728216
abx_mega__cip_naoh__1,0.6933731596,0.0508486739,0.8513588422
abx_mega__pen_h2o__2,1.74372793,0.1102884923,0.3039911158
abx_mega__ery_dmso__2,-0.2769070443,-0.5685030779,-1.6263361349
abx_mega__dmso-2__2,-0.1128679222,-1.9331157856,2.0667431391
abx_mega__van_dmso__2,2.075356285,-0.0626120055,2.5461697842
abx_mega__h2o-1b__1,1.4015457440999999,-0.12570754850000002,0.1580504811
abx_mega__ery_h2o__1,3.1372436315,-0.13272670890000002,-1.1407282397
abx_mega__bacit_h2o__1,2.9111997527,-0.4743815046,-1.7325989036
abx_mega__chl_h2o__2,2.87570603,-0.4861837679,-1.1016301346
abx_mega__str_h2o__2,2.0668080231,0.22118516030000002,-0.34529778640000003
abx_mega__rfp_ethanol__2,-3.5582809769,-0.7196278735,2.0670399472
abx_mega__polmyx_h2o__2,1.288027252,0.1366723098,0.17670017070000002
abx_mega__tric_h2o__1,-2.2616091729,1.539897405,0.1545721048
abx_mega__cip_naoh__2,0.1934535221,-0.44285104540000003,-0.2460031209
abx_mega__novo_h2o__3,9.6939718252,-1.5425882237000001,-1.2304060521
abx_mega__bacit_dmso__1,-1.5897088676000002,-0.2173507106,-0.8698235163
abx_mega__gen_h2o__1,0.7581370331,0.1597271515,0.37273969090000003
abx_mega__bacit_dmso__2,-1.7487717316,-0.0622699487,0.11022600040000001
abx_mega__chl_dmso__1,1.130623002,-0.8371523114,-0.9428159685
abx_mega__bacit_h2o__2,3.0164290301,-0.48647467640000003,-1.5739353011000001
abx_mega__lvx_dmso__1,0.3834861497,-0.3390196516,0.8868843939000001
abx_mega__bacit_h2o__3,2.6353932918,-0.471099672,-1.1635731407
abx_mega__nor_naoh__2,0.1059260865,-0.16337082320000001,-0.1802947603
abx_mega__amyc-d_dmso__2,-1.6989913476,-0.42214118240000004,-0.11504925190000001
abx_mega__polmyx_h2o__3,-1.686831435,0.0232811414,0.6945433161
abx_mega__naoh-6__1,0.5307990586,0.0053835671,-0.958478983
abx_mega__cst_h2o__2,-2.3006978030000003,0.26337939850000003,0.3043718098
abx_mega__h2o-1b__2,-0.09443739500000001,-0.6442379262,-0.3781153508
abx_mega__rfp_h2o__1,-2.3057730827,-0.0524011526,0.6793472024
abx_mega__tet_h2o__1,3.5773673017,0.1579142549,-1.4608523498000001
abx_mega__flavo_dmso__1,0.07065176150000001,-0.4698592373,0.13156027
abx_mega__zeocin_h2o__1,0.9814592169,0.5824392717,0.3464092529
abx_mega__nor_naoh__3,0.2389573889,-0.2139145675,-0.1387413508
abx_mega__rach_dmso__2,0.0452456708,-1.006616005,0.32694084090000003
abx_mega__thio_dmso__2,1.4378207682,-0.31534464630000003,-0.7981338325
abx_mega__amyc-d_dmso__3,-0.6262992441,-1.3158672438,0.2203794738
abx_mega__rif_dmso__2,-4.6089152744,0.8224239364,1.2663475316000001
abx_mega__amyc-d_dmso__4,0.1020559089,-0.6023418259000001,-0.7832528718
abx_mega__teix_dmso__3,1.5810482884,-0.2822709315,0.1635067698
abx_mega__valin_dmso__1,-3.0969202579,0.43868170580000004,0.3019074833
abx_mega__teix_dmso__4,1.0617920596000001,-0.39275600190000004,0.1737248425
abx_mega__ethanol-10__1,0.8316416891,0.8292290816000001,0.29925066110000004
abx_mega__inh_h2o__1,1.3389618695,0.2140915016,0.2195517523
abx_mega__rif_dmso__3,-0.1598409158,-0.2656008723,0.6375534961
abx_mega__van_dmso__3,0.3024467692,-0.6089206815,-0.0445341756
abx_mega__doxo_dmso__1,2.6059778224,-0.2605727519,1.1441995016
abx_mega__tmp_dmso__1,-0.1223929579,-0.5606623886000001,1.2984097291
abx_mega__ethanol-10__2,1.2167674274,0.5689897989,0.08480540780000001
abx_mega__tmp_dmso__2,0.2249198771,-0.6359252568,1.5399425945
abx_mega__amyc-d_dmso__5,1.3336251085,-0.33415145290000003,-0.8646716205
abx_mega__novo_h2o__4,7.2295133339,-0.8760114566,0.11668622070000001
abx_mega__cro_h2o__2,2.7447235127000003,-0.7254000073,1.1862805591
abx_mega__cro_h2o__3,2.0476890478,-0.2778425217,0.7897125569
abx_mega__gen_h2o__2,1.2443952512,0.46261447440000003,0.2291508951
abx_mega__phos_h2o__4,1.3482682293,0.5418667070000001,0.3785502986
abx_mega__metro_dmso__2,-1.3194339089,-0.6749192499000001,0.1744039269
abx_mega__ery_h2o__2,2.4667287335,-0.0373746552,0.0675435379
abx_mega__sacet_h2o__1,1.0699022035,0.2668144374,-0.21662235500000002
abx_mega__nal_naoh__5,1.1868339072,-0.5558370282,0.2656524802
abx_mega__bacit_h2o__4,2.7919726018,-0.645866622,-1.1456612943
abx_mega__cip_naoh__3,1.3322554795000001,-0.4053802922,1.0438947443
abx_mega__ethanol-8__1,1.1808341733,0.5438366383000001,0.9596312199
abx_mega__h2o-8a__1,0.45784917270000003,0.2733085528,-0.0309478735
abx_mega__ery_h2o__3,3.4353142038,-0.0354201236,-0.8259991282
abx_mega__flavo_dmso__2,1.1774024198,-0.5419649999,1.6245490787999999
abx_mega__rif_dmso__4,-2.1005278747,-0.40133590010000003,0.8887881482000001
abx_mega__novo_h2o__5,10.2995570679,-0.8136189256,-1.0613605226
abx_mega__teix_dmso__5,0.4719955516,0.2550070531,0.5548929366
abx_mega__naoh-2__1,0.9892157436000001,0.5574603192,1.1438115782
abx_mega__novo_h2o__6,9.8925504203,-1.6136986228999999,-1.9670270736000002
abx_mega__ctx_h2o__3,2.052331672,-0.4130623974,-0.0542014043
abx_mega__rach_dmso__3,1.1444949572,-1.0154015357,-0.1989900668
abx_mega__valin_dmso__2,-3.5048269544,0.0900333148,0.32296212290000004
abx_mega__amyc-d_dmso__6,-0.019712727000000003,-0.28070409020000003,-0.7066913786
abx_mega__dox_dmso__2,-1.7280622061000002,0.5382162154,-0.1358729271
abx_mega__teix_dmso__6,1.5125987622000001,0.0884096736,0.5100602039000001
abx_mega__naoh-6__2,0.3218208892,0.055279721600000005,-0.22567917640000001
abx_mega__inh_h2o__2,2.2179212131,1.2871305478,-0.9551396578
abx_mega__chl_h2o__3,4.6340640384,-0.1029927861,-0.5739008254
abx_mega__nal_naoh__6,0.6609168727,-0.6766582929,0.1511828928
abx_mega__chl_dmso__2,1.0335380229,-0.6548168508000001,-1.0966497324
abx_mega__rach_dmso__4,0.1499727597,-0.9097304155,2.0409041782
abx_mega__teix_dmso__7,0.27416813500000004,0.2849658574,1.0178561359
abx_mega__ceru_ethanol__1,0.1948460743,1.4952909668,0.7276275456
abx_mega__dmso-7__1,0.1651046667,-0.4037398173,1.2851466629
abx_mega__naoh-6__3,0.4072677604,0.0192641698,-0.3538792287
abx_mega__phos_ethanol__2,-0.28867153560000003,0.5918371776,0.6736876441
abx_mega__metro_dmso__3,-1.3470276970000001,-0.360716594,0.0540331953
abx_mega__van_dmso__4,1.6947670069,-0.6554905248,-0.10632785400000001
abx_mega__h2o-10__1,1.2502791732,0.2240553425,-1.018014162
abx_mega__h2o-10__2,0.6583842556,0.33362434480000003,0.2862613476
abx_mega__dmso-6__3,-0.588647107,-0.0861818944,-0.2373925244
abx_mega__mem_dmso__1,1.6036219454,-0.2155043037,1.1395579406
abx_mega__ethanol-8__2,0.9838700810000001,0.9380283198,-0.1289235528
abx_mega__chl_h2o__4,4.0582374043,0.1574856836,-1.317645706
abx_mega__van_h2o__1,3.8884583314,-0.45896797980000004,-0.544656961
abx_mega__dcs_h2o__1,0.1407767795,0.2280258057,0.9927503863
abx_mega__rif_dmso__5,-1.3718655458,0.4515358364,0.19345892250000002
abx_mega__dox_dmso__3,-0.3875909383,0.1595338165,0.5645217246
abx_mega__mem_dmso__2,0.8089359676000001,-0.4995636022,0.048526004000000005
abx_mega__lvx_dmso__2,0.2003025361,0.0512392512,0.8294417801
abx_mega__tet_h2o__2,-0.3081891486,0.7306912014,0.6180819312
abx_mega__phos_h2o__5,0.4530265504,-0.38614489090000004,1.1923505993
abx_mega__monac_dmso__1,1.4561094152,0.6009924293000001,0.9550370105
abx_mega__str_h2o__3,1.9911284328,-0.19772292660000002,-0.5115036049
abx_mega__zeocin_h2o__2,-4.1783158315,1.2544232139,1.9573468044000002
abx_mega__amyc-d_dmso__7,-0.7822059391,-0.26009517120000003,0.5861244136
abx_mega__fidax_dmso__1,-0.1543978356,-0.20579427460000002,1.2100397691
abx_mega__h2o-1a__1,0.2308402689,0.0984683432,-0.2608841934
abx_mega__dox_dmso__4,-0.3749317115,0.029912491500000003,0.22369775520000001
abx_mega__lzd_dmso__2,2.6232327869,-0.5118685006,-1.3118218891
abx_mega__tet_h2o__3,3.0648758544,0.1443570814,-1.1133825584
abx_mega__dmso-1__2,0.3445762267,0.0412101972,0.5938302618
abx_mega__sxt_dmso__2,0.5947383157,-0.3658946563,0.4713058231
abx_mega__tric_ethanol__2,0.8153238973,1.0919434787,-0.1718854407
abx_mega__teix_dmso__8,2.1991441684,-0.2953876217,0.4042925868
abx_mega__ramo_h2o__2,2.2690849826,0.1407174046,-0.4094901696
abx_mega__inh_h2o__3,1.0163892725,0.31299250440000004,0.6734751615
abx_mega__cst_h2o__3,-0.5557749343,0.1603558951,0.8321887179
abx_mega__dmso-9__1,-0.0592275005,0.2947237982,0.6142504334000001
abx_mega__ethanol-8__3,1.6747487033000001,0.7960024763,0.0342886082
abx_mega__monac_dmso__2,1.5539421235000002,0.44780617840000003,0.8492130701
abx_mega__dmso-9__2,-0.2881801232,0.3318186084,1.1462558974000001
abx_mega__metro_dmso__4,-1.8831470533,-0.0680953903,-0.13498573860000002
abx_mega__ctx_h2o__4,1.9868468429,-0.2644098964,0.8347846694000001
abx_mega__zeocin_h2o__3,-6.2240173595,0.7407326037,1.5732683526
abx_mega__bacit_h2o__5,-1.6732662170000001,0.3431660096,0.15796097280000002
abx_mega__reta_dmso__1,2.8112691651,-0.1526944479,-0.1754265207
abx_mega__ery_h2o__4,-0.0646227672,0.8607591175,0.4694627959
abx_mega__ceru_ethanol__2,-0.8691392924,0.9046335456,-0.2365843448
abx_mega__fidax_dmso__2,0.134858418,0.3321418319,1.0842542795
abx_mega__novo_dmso__1,6.4889356989,0.13885295890000002,-1.071233936
abx_mega__naoh-6__4,-0.2561082582,0.12587960210000002,0.103068081
abx_mega__amyc-d_dmso__8,-1.3252094622000001,-0.4596186358,0.12117918230000001
abx_mega__chl_dmso__3,0.4818571525,-0.39929562620000003,-1.0071227255
abx_mega__nal_naoh__7,1.0561644059,0.0675667153,1.548007996
abx_mega__teix_dmso__9,1.2151112783,0.2590144507,0.6413980821
abx_mega__ery_dmso__3,1.3437680847,-0.6408718938,-3.7671316664
abx_mega__tmp_dmso__3,-0.31059018310000003,-0.40174208800000005,1.16105998
abx_mega__sxt_dmso__3,1.3971448577,-0.31802132650000003,0.5690059028000001
abx_mega__polmyx_h2o__4,-0.16831905500000002,-0.316683941,1.6295848441
abx_mega__mem_dmso__3,-0.25847655340000003,0.1374350514,0.8092006588
abx_mega__nal_naoh__8,1.0508941189,-0.24599784200000002,1.5508706502
abx_mega__pen_h2o__3,1.8885764101,0.23195776210000002,0.8532396746
abx_mega__van_dmso__5,2.0705474435,-0.9387073159,0.37540806660000003
abx_mega__zeocin_h2o__4,-3.3880492422,0.9560639671000001,0.7633057399000001
abx_mega__h2o-6__2,1.0154067023,-0.13385536750000002,-0.2615254057
abx_mega__tet_h2o__4,3.6161135686,-0.302261341,-1.6055369253
abx_mega__nor_naoh__4,-0.1976984538,0.0909438496,0.4685763036
abx_mega__cip_naoh__4,-0.6802110566,-0.0901712677,-0.5885674106000001
abx_mega__tmp_dmso__4,-0.8918577728,-0.6938782990000001,0.8940897926
abx_mega__reta_dmso__2,2.0868738745,0.11194905370000001,0.26797232
abx_mega__mem_dmso__4,1.6483025264000002,0.031018904000000003,1.1407464826
abx_mega__dox_dmso__5,0.9694612928,-0.1340811416,0.1017208634
abx_mega__tmp_dmso__5,-1.405901662,-0.1811368947,2.7619330079
abx_mega__flavo_dmso__3,0.5304349374,-0.4585823117,1.420346598
abx_mega__tmp_dmso__6,-0.1616950238,-0.8957942545,2.3929088480000003
abx_mega__ceru_ethanol__3,0.1077496785,1.2509363184,-0.7246422727
abx_mega__teix_dmso__10,1.5755861275,-0.0181614137,0.5744719764
abx_mega__novo_h2o__7,8.6961203547,-1.3509470434,-1.085685015
abx_mega__fidax_dmso__3,-0.22796724910000002,-0.2842332321,1.5831362403
abx_mega__h2o-1a__2,-0.0678085402,-0.1252317095,-0.0710414012
abx_mega__dcs_h2o__2,0.6728993968,-0.0201751651,0.9273458729
abx_mega__cst_h2o__4,-0.5411326582,-0.30336554450000003,0.2744130252
abx_mega__van_h2o__2,1.4589812951,-0.0744066124,-0.2263040957
abx_mega__pen_h2o__4,0.9792675516,-0.1763958403,2.0746682866
abx_mega__h2o-8b__2,0.4142782259,0.12487294630000001,0.6552318836000001
abx_mega__reta_dmso__3,3.2915805247,-0.2007872027,-0.0629230969
abx_mega__dmso-7__2,0.4144641902,-0.0732140466,0.7829797796
abx_mega__rfp_h2o__2,-1.6757530201000002,-0.3531193475,1.1245227913
abx_mega__rif_dmso__6,-3.816295503,0.1652614342,-0.0430839778
abx_mega__sxt_dmso__4,0.9195856357000001,-0.4682000565,1.1025384536
abx_mega__cip_naoh__5,1.6516316174,0.0738608801,-0.2778481349
abx_mega__dmso-9__3,-0.0663718193,-0.3463771472,1.4959828381
abx_mega__mem_dmso__5,1.4514744741,-0.2665588535,1.3914740486000001
abx_mega__tric_h2o__2,-0.4947223477,1.3899564974,-0.1652876623
abx_mega__phos_h2o__6,0.8954197487000001,-0.0426380049,-0.1389714109
abx_mega__h2o-7__2,0.8439211114,-0.5870337298,0.723854905
abx_mega__h2o-10__3,0.7089849848,0.7086760508000001,0.3124016258
abx_mega__h2o-8a__2,1.188929297,0.4425639162,-0.23641273810000002
abx_mega__thio_dmso__3,3.1936079024,-0.5828101775,-0.8668586420000001
abx_mega__lzd_dmso__3,1.7143337075,-0.4142832178,-1.0430530042
abx_mega__monac_dmso__3,3.0437417946,-0.2688630805,1.7722864627
abx_mega__polmyx_h2o__5,0.5853854030000001,0.0184473353,0.1997568555
abx_mega__naoh-6__5,-0.2907233437,-0.0221170877,-0.2226447558
abx_mega__teix_dmso__11,1.5477605278,-0.2212367781,-0.258168695
abx_mega__van_h2o__3,1.7559806583,-0.2632649623,-0.9163146615000001
abx_mega__teix_dmso__12,0.3945442551,0.0244843985,1.4693707471000002
abx_mega__dox_dmso__6,1.4852057375,1.0159410798,0.7150457751
abx_mega__teix_dmso__13,1.5503699896,-0.6278625349,0.07583423560000001
abx_mega__h2o-7__3,1.0067826086,-0.08805414900000001,1.291088201
abx_mega__str_h2o__4,1.1703344396,0.1479237546,0.36654976440000003
abx_mega__tec_h2o__3,2.769796734,-0.3392021154,-0.3690385224
abx_mega__phos_h2o__7,0.7357465279000001,-0.049559391,-0.5893430229000001
abx_mega__chl_h2o__5,2.5340027866,-0.44898640770000003,-0.4808899045
abx_mega__polmyx_h2o__6,-0.0658119679,0.1493583028,0.7444431812000001
abx_mega__teix_dmso__14,1.6157222087,-0.3959935034,-0.0138354436
abx_mega__rif_dmso__7,-3.7733875746,-0.1034023562,0.6852941224
abx_mega__ramo_h2o__3,1.1993200657,0.1675685415,-0.23832150770000002
abx_mega__fidax_dmso__4,-0.30869720100000003,-0.30677985020000004,1.9400481498
abx_mega__teix_dmso__15,0.5557296765,0.057648812300000005,0.6046582118
abx_mega__thio_dmso__4,3.2286306769,-0.3129690678,-1.06112634
abx_mega__rif_dmso__8,-4.5523852652,0.5824479178,1.2622380304
abx_mega__reta_dmso__4,2.5689376040000003,-0.1476571899,-0.13228293030000002
abx_mega__inh_h2o__4,1.0983717829,1.2647733424,-0.46696047490000003
abx_mega__novo_dmso__2,6.6396908478,0.0149934705,-1.477964131
abx_mega__dcs_h2o__3,0.1391684839,0.1963467912,0.6117606495
abx_mega__h2o-8b__3,0.3519211249,-0.0925381815,1.6416177001
abx_mega__valin_dmso__3,1.6352816307,-0.4251743837,-0.1815506941
abx_mega__h2o-2__1,-0.3845418237,0.6078762193,0.6904965633
abx_mega__cro_h2o__4,1.7315988079,0.2639131584,0.8435732233000001
abx_mega__dcs_h2o__4,0.22825049860000002,0.3523047528,0.9029916877
abx_mega__str_h2o__5,1.3668761775,-0.0485169676,0.3300730986
abx_mega__h2o-8a__3,1.6461866741,0.1658585803,-0.9328049156
abx_mega__dox_dmso__7,0.6295512174,0.08122195880000001,-0.3031465747
abx_mega__doxo_dmso__2,3.0799054554,-0.2028717264,0.6875714852
abx_mega__teix_dmso__16,1.3193130304,-0.7319713253,-0.7847177972
abx_mega__rfp_h2o__3,-1.4187701167,-0.140749072,1.3542945381
abx_mega__ethanol-10__3,0.5866337426,0.7619061234000001,-0.0274323778
abx_mega__naoh-2__2,-0.3276914986,0.2023490011,-0.2605703387
abx_mega__van_h2o__4,3.812400018,-0.6178618473,-0.8142179441
abx_mega__sacet_h2o__2,0.7642546414,-0.5673589494,0.511384126
abx_mega__monac_dmso__4,1.6232172841999999,0.3596601817,0.39782831830000004
abx_mega__h2o-2__2,-1.1332560814,-0.2576873998,0.9123597937000001
abx_mega__zeocin_h2o__5,0.8142791169,0.1397112473,-0.2919931189
abx_mega__nor_naoh__5,0.7105658341000001,-0.3060151298,1.1180473804
abx_mega__naoh-9__2,-0.2278996208,0.3628794427,0.7286423974
abx_mega__dmso-7__3,0.5379668946,-0.6867112383,0.17225984060000002
abx_mega__van_h2o__5,3.753983511,-0.690500061,-0.667774905
abx_mega__flavo_dmso__4,1.1659558022,-0.2205053022,1.8164839995
abx_mega__novo_dmso__3,7.4342419989,-0.3045286021,-1.753110805
abx_mega__polmyx_h2o__7,1.0261021445,-0.18771491640000001,0.1985831996
abx_mega__teix_dmso__17,0.8854592883,0.1871711409,0.2684613957
abx_mega__doxo_dmso__3,3.73189495,-0.6956650056,0.9832348351
abx_mega__mem_dmso__6,-0.6237535327,0.2011403071,1.3841968244
abx_mega__h2o-1a__3,-0.16303172870000002,0.026763366400000002,0.3319255946
abx_mega__bacit_dmso__3,-2.8625194567000003,-0.1079536628,-0.6844576438000001
abx_mega__dox_dmso__8,0.6073424303,0.6542851510000001,1.5333279613
abx_mega__teix_dmso__18,1.1594126838,-0.1893093404,0.3388338716
abx_mega__h2o-6__3,-0.0319505428,-0.2109832931,-0.6240908853
abx_mega__pen_h2o__5,1.7893502802999999,-0.06386616390000001,0.0752412231
abx_mega__lzd_dmso__4,0.8407005786,-0.3797480346,-0.9903852110000001
abx_mega__daro__1,2.6562150311,-0.3676628847,-1.7191430479
abx_mega__solv__1,3.3041534207,-0.27360220760000004,-1.8100612349
abx_mega__daro__2,2.3341585693,0.5102186826,-1.7947747233
abx_mega__daro__3,0.5019621407,0.44747425830000004,-1.7144332711999999
abx_mega__solv__2,3.1862857382,-0.9827198945000001,-1.615025008
abx_mega__solv__3,1.2459964919,0.5806066968,-1.738712852
abx_mega__dmso-4__1,-3.8685134519,0.2760483317,0.7294082574
abx_mega__kirr_dmso__1,1.1782135687,-0.2005965922,-0.9231830809
abx_mega__kirr_dmso__2,1.3926457843,-0.36257912270000003,-0.9981840043
abx_mega__kirr_dmso__3,-1.3536064513000001,-0.25221228300000004,0.2046410616
abx_mega__dmso-4__2,-4.9334699725,0.434696729,0.8008637587
abx_mega__dmso-4__3,-2.9598348722,0.152102118,0.6915994487
ackA_pta__dnaA46_del_ackA__1,3.9639566419000003,0.5742264422000001,0.6064848255
ackA_pta__dnaA46_del_ackA__2,5.4758934847,0.9665566979,0.8944753291
ackA_pta__dnaA46_del_ackA__3,1.8026995552,0.4319342225,0.10559736680000001
ackA_pta__dnaA46_del_pta__1,10.413518007,2.2095717604,1.9302215302999999
ackA_pta__dnaA46_del_pta__2,5.2011642046,0.2724766005,0.7340561775000001
ackA_pta__dnaA46_del_pta__3,5.1938073842,0.7344380771,0.6840671914
ackA_pta__dnaA46__1,0.9079733544,0.1677832878,0.1894606848
ackA_pta__dnaA46__2,-0.0471851189,-0.5649376844,-0.240492855
ackA_pta__dnaA46__3,0.7767484231,0.196047471,0.011981449600000001
ackA_pta__del_ackA__1,2.1519998335,0.28591292300000004,0.3059985086
ackA_pta__del_ackA__2,7.8156792163,1.7666826841,1.711321613
ackA_pta__del_ackA__3,1.9464803037,0.1880803898,0.4314850139
ackA_pta__del_pta__1,1.5733222686000001,-0.4140690064,0.15568167060000002
ackA_pta__del_pta__2,4.971952088,0.2940944515,0.4967961188
ackA_pta__del_pta__3,2.5489147895,0.3377978341,0.6303059599
ackA_pta__wt__1,-0.632204689,0.3040549752,-0.0029181725000000003
ackA_pta__wt__2,0.2852015329,-0.15486779620000002,0.1148494453
ackA_pta__wt__3,0.3470031561,-0.149187179,-0.1119312727
anticancer__5fu__1,-1.2617865793,-0.3679207521,-0.3698144666
anticancer__5fu__2,-2.2064081743,-0.6730292202,-0.486949145
anticancer__cap__1,3.2329783507,0.7279538811,0.7173463922000001
anticancer__cap__2,2.823156469,0.312588401,0.20699598200000002
anticancer__cap__3,3.3850965529,0.371772127,0.041763804
anticancer__wt__1,0.9484164979,-0.29422997160000003,0.12451109390000001
anticancer__wt__2,0.1241185568,0.1551317767,-0.0106837327
anticancer__wt__3,-1.0725350547,0.1390981949,-0.1138273612
anticancer__5fu__3,-3.2793868117000002,-0.4060153515,-0.2249885859
bio_pln__aero_pln__1,-0.3716894355,0.0437980075,0.0431396313
bio_pln__aero_pln__2,0.3716894355,-0.0437980075,-0.0431396313
bio_pln__anaero_pln__1,-2.3097214473,0.2058405289,-0.026105742100000003
bio_pln__anaero_pln__2,-2.0234155025,-0.1479585077,-0.4376281288
biocide__bzcl_12h__1,0.5044072968000001,0.1223641862,-0.5754432389
biocide__bzcl_12h__2,2.7162927937,0.0491450384,-1.8086963015
biocide__bzcl_12h__3,-0.4589883269,0.3768966735,-0.9610601030000001
biocide__etoh_12h__1,0.8027251939000001,-0.1455919629,-1.4723331306
biocide__etoh_12h__2,0.5135224714000001,-0.3578320719,-1.3128796965
biocide__etoh_12h__3,0.9727858676000001,-0.1946554657,-1.8071161317
biocide__gluald_12h__1,1.4088886024,0.18745308160000002,-0.9977761860000001
biocide__gluald_12h__2,1.1297368598,0.0048726524,-0.9003680275
biocide__gluald_12h__3,0.3351761793,0.0608321957,-0.7546490197
biocide__h2o2_12h__1,1.0863067592,-0.0763823101,-1.002555333
