,A,RpoE
SRX5694467,0.6555961819,-0.0969925249
SRX5694468,-6.2367143118,-2.9061816443
SRX5694469,-0.6793438908,-1.0095666059
SRX5694470,0.0805910435,0.036308755000000005
SRX5694471,0.7995721986000001,-0.5290374352
SRX5694472,4.1449600111,0.3844047926
SRX5694474,0.81663301,-0.7281365366
SRX5694475,4.0295531038,-0.018034543
SRX5694476,-0.3140027861,-1.1156877531
SRX5694477,-6.0881769921,-3.7719668348
SRX5694478,1.088720867,-1.0392091444
SRX5694479,-5.0759354951,-1.3892900843
SRX5694480,-4.7069777959,-1.2163642105
SRX5694481,2.2096061525,-1.1074444101
SRX5694482,-2.4120792284,-1.0699977745
SRX5694483,1.5655503388,-0.41319492490000004
SRX5694484,0.48866356510000003,-0.7643160523
SRX5694485,0.24066365150000002,-0.2808855067
SRX5694486,-0.5660825528,-0.5747544696
SRX5694487,0.5472129387,-0.8980518890000001
SRX5694488,-2.1994244978,-1.6689197066
SRX5694489,-0.4852116557,-0.5296628319
SRX5694491,-4.2280153160000005,-3.2087155158
SRX5694492,-3.4308210040000002,-1.7030439386
SRX5694493,2.138833128,-0.4452550718
SRX5694494,2.7039271963,-0.37335209410000003
SRX5694495,0.9803100656,-0.138656169
SRX5694496,1.7217717849,-0.013303815
SRX5694497,1.2499506643,-1.1223558107
SRX5694498,1.7712120659,-0.4791730262
SRX5694499,-3.7886236796,-3.4226500491
SRX5694500,1.4538813530999999,-1.5085128347999999
SRX5694501,1.5961735097,-0.4988527126
SRX5694502,-4.0798609356,-3.3463677721
SRX5694503,3.7245016216,-2.1463427596
SRX5694504,-0.0082632104,-0.351446016
SRX5694505,-4.4865181508,-2.055808371
SRX5694506,2.4825026913,-1.6577534345
SRX5694507,2.3243063202,-0.0026917885000000003
SRX5694508,-4.3116028197,-1.190483965
SRX5694509,2.1603066244,-0.6741697269
SRX5694510,-0.6458708240000001,-0.8331872954
SRX5694511,2.271908108,-0.43315738880000004
SRX5694512,-4.1060395539,-2.521742926
SRX5694513,-4.9214532791,-0.776212961
SRX5694514,-6.2139610299,-3.6232601308
SRX5694515,-3.540890734,-1.2820944487000001
SRX5694516,-6.1242899152,-2.4472692678
SRX5694517,1.434162592,-0.8053490408
SRX5694518,2.3330348282,0.1737415235
SRX5694519,0.9929702667,-0.36437404290000003
SRX5694520,-0.7009578467,-2.2417467188
SRX5694521,-3.102037689,-1.8057180461
SRX5694522,2.492559438,-0.6058746033
SRX5694523,-2.2263776691,-1.829946721
SRX5694524,-0.46411208200000004,-1.1385297564
SRX5694525,-4.2417553142,-1.8837878649
SRX5694526,-2.9334059827,-2.1530378406
SRX5694527,2.0168195815,-1.2613364537
SRX5694528,-4.5235904136,-1.6338235654000002
SRX5694529,-0.888729438,-1.0160594908
SRX5694530,-1.0305951881,-1.7587998744000002
SRX5694532,0.9670854588000001,-0.7155414664
SRX5694533,-0.0070629034,-1.2716557423000001
SRX5694534,0.9491239411,-1.1558261198
SRX5694535,-2.8258581824,-1.816086495
SRX5694536,-1.6236837374,-1.6234569244000001
SRX5694537,2.2304816254,-0.485262707
SRX5694538,2.0338743042,-0.11079350680000001
SRX5694539,1.6107303818,-1.3572409518000002
SRX5694540,2.1585955921,-0.6961611864
SRX5694541,-0.1465129439,-1.3482465632
SRX5694543,-6.0787480651,-2.62600867
SRX5694544,1.6848270469000002,-0.5087840131
SRX5694545,1.8109302328,-0.46194047720000003
SRX5694546,-3.0213213906,-2.3151597122
SRX5694547,0.46717195,-0.6276953124
SRX5694548,0.0994090893,-0.026827938500000002
SRX5694550,-3.4534682944,-0.1415036109
SRX5694551,-3.3677724055000002,-3.6308195032
SRX5694552,1.0401206666,-0.14346412220000002
SRX5694553,-0.43926793350000004,-0.3907450899
SRX5694554,-0.8713910975,-0.8393381525
SRX5694555,-3.3725672911,-1.4674376526000001
SRX6072760,-0.38358385380000004,-1.6118975429
SRX6072761,7.1736307759,-0.0138510744
SRX6072762,0.7567985408,-1.2130060885
SRX6072763,6.4108599005,0.2275852871
SRX6072764,-1.4570691506,-2.1395314573
SRX6072765,6.577304197,0.2649076597
SRX6376491,-3.1211570739,-0.5615020543
SRX6376492,-5.7355600323,-2.1973582302
SRX6376493,-5.3280259478,-2.0913944112
SRX6376494,-6.1738114705000005,-2.0352015557
SRX6376495,-3.9049310602,-0.44013891050000004
SRX6376496,-2.842373544,-0.24888738870000002
SRX2723951,0.8139282029,0.9369416866
SRX2723952,0.6630531249,1.2703865268
SRX2723953,1.1129407646,0.5449330068
SRX2723954,1.3727818429,2.3063860897
SRX2723955,-0.6762754117,0.20159540850000002
SRX2723956,0.9721827994000001,0.9953895711
SRX2723957,0.1325347527,0.2154962409
SRX2723958,-0.3852993523,-0.3577935346
SRX2723959,0.3530034689,0.3198104934
SRX2723960,1.3351519767,0.8877225980000001
SRX2723961,1.3663694751,2.3782581458
SRX2723962,1.4439325549,0.7264139429
SRX2723963,-1.5425286859,-0.7429408958
SRX2723964,0.5476557412,0.6592132283000001
SRX2723965,0.2922946208,0.5952131795
SRX2723966,0.6099449901,0.0946406914
SRX2723967,-0.4821353955,-0.0605596678
SRX2723968,-0.1278095946,-0.0340810236
