,A,CsgD,FliZ,RpoS,CpxR,BtsR
SRX5694292,-1.7877807748,-0.4184638712,0.3267594695,0.8062681238,0.2022706651,0.6527761181
SRX5694293,0.04968633,-0.7793058811,0.2702130949,-0.4039469799,0.1250893475,0.2802305572
SRX5694294,0.53239603,0.5234934216,0.1482371993,-0.38068987460000003,0.6371522945,0.7713392254
SRX5694295,2.5049954582,0.3772179222,-2.6768354223,1.1971556762,-0.1137708053,-1.3237590769
SRX5694296,-0.052756472400000004,0.31732973130000003,0.4358965598,-0.0579672664,0.4611996713,0.4034717899
SRX5694297,-0.278870369,2.046383611,-2.746146362,-1.1718080658,-0.0667186057,0.0006078938
SRX5694298,-0.9500229866000001,-0.7625776861,-0.252829645,-0.0579887361,0.1419090221,-0.3953002141
SRX5694299,-0.41441854780000004,0.0026493451,-0.1079124144,-0.0090804595,0.21193790140000002,0.13039881350000002
SRX5694300,-2.4470756759,-0.6930830632,-0.3629657751,-0.2858089984,0.1041967579,0.1456882834
SRX5694301,-2.5439593024000002,-0.8736160716,0.4447141267,0.7487499111,0.21446118400000003,0.0966427308
SRX5694302,-0.531525534,-0.7537422546,-0.32778120850000003,-0.2880430808,0.7972941226,0.0451845051
SRX5694303,0.1624899889,-1.3039937645,-0.0565620826,-0.4022624342,0.6427368064,-0.1581216481
SRX5694304,-0.4629078159,-1.4613857058,-0.4899465656,-0.102787711,0.0037802532,0.5217693358000001
SRX5694305,-0.6808411202,0.4468004195,-1.4593836297,-0.5464442224,0.22796918230000002,0.0006819374
SRX5694306,1.0679830387,-3.8035863592,0.5323671235,-0.7664779575,0.4951095104,1.5182254342000001
SRX5694307,1.9032259504,-2.1900250866,-2.9741860609,0.9269590489,0.4302528044,-0.8938892056000001
SRX5694308,-0.9067900792,-1.1024250953,-1.0840693405,0.0122038535,0.1461998007,0.0187406149
SRX5694309,2.2611112011,-0.4957724546,-1.3295676825,-0.9940082433,-1.2008334368,0.2186529367
SRX5694310,-1.2412830635,-2.4043351032,-1.4973665918,2.0411292587,0.2660047775,-1.4612017337
SRX5694311,1.1513437129,0.34460963370000003,-2.0924181973,-0.3039589573,-1.5169624899,-0.29164055640000003
SRX5694312,0.2645512279,-2.1156277592,-0.37825171300000004,-1.2338569192,0.5807647243,0.8047754129
SRX5694313,3.4819489771,-2.3129867217,-2.8434470724,1.5108161085,-0.23835781420000002,-0.6643086156
SRX5694315,0.3236585151,-0.7284323071000001,-0.3489597146,0.0882130678,0.06999049830000001,0.2173089545
SRX5694317,-1.6032426338999999,1.0797717597,-0.5268356839,1.863543381,0.3969217732,-0.2389884068
SRX5694319,0.2239507101,-0.0984657592,-0.1121606861,-0.7670528724,0.3839472142,-0.2154330664
SRX5694320,2.4592451798,-1.7047539075,-1.0577932562,-1.3988456439,-0.9429622161000001,-2.6130322058
SRX5694321,0.3534190749,-0.4301593496,-0.2983050313,0.1389480637,0.6074640797,0.33769443790000003
SRX5694322,4.3955340552,-3.0953916814,-2.1761582209,0.6382039402,1.8596698893,-0.8400084891
SRX5694323,2.2027714414,-0.09917364050000001,-0.5924370210000001,0.6371311275,0.6708217417,0.644728084
SRX5694324,-0.09289222600000001,-0.6997080999,-2.3100390593,0.5891552134,1.3957326331,-0.7902886725
SRX5694325,-0.0200500726,-1.8716278891,-1.2226803148,1.1364192666,0.3179212409,-0.6877376949
SRX5694326,-0.0147663571,-0.9304748568000001,-0.2985328256,-0.1227754323,0.4080035117,0.7864775352000001
SRX5694327,0.07408198390000001,-2.000114135,-1.1666394743,1.842083342,0.3187331281,-1.0635955538
SRX5694328,0.0833846927,0.27059285040000003,-0.2058305195,-0.3056609431,0.2396575336,-0.0568804927
SRX5694329,1.0354650409,1.3512193368,-1.0322711043,-0.36055310500000004,0.5348083152,0.4469117879
SRX5694330,4.916412672,-0.9744037716,1.2383038308,-0.7452061929,0.4746400404,1.0987972827
SRX5694331,0.236165742,-0.1838270472,0.3342815029,-0.19376253370000002,0.1883531891,0.1740838029
SRX5694332,2.3877762988,0.1351455778,-0.1012611726,-0.1069060403,0.2915022264,0.7202671857
SRX5694334,-0.042012962300000005,-1.1854857380000001,-1.1984862062000001,0.1476735541,0.4425020082,0.0263052585
SRX5694335,3.7922472936,1.990320888,-2.1752729067,0.2184687528,-0.1315665405,0.3273401606
SRX5694336,0.7855283955,-0.1923906872,-0.9267373099,-0.3321838082,-0.5381750919,0.8951411108
SRX5694337,2.2520635425,-0.3018407222,-1.0267122471,1.1410073011,0.1159177101,0.5083405127
SRX5694338,-1.2121601089,-1.1041569323,0.488730192,0.5042714405000001,-0.0446682346,0.5443245556
SRX5694339,0.38160756370000004,0.2316793765,-0.30970809600000004,-0.7028224034,0.338906971,-0.2303550472
SRX5694340,-1.0139591897,-1.0449605995,0.2744020266,-0.3897788184,0.5562415157,-0.5775953592
SRX5694341,1.6316673275,0.3972276413,-0.6725002051,0.6749000182,-0.0432123226,-0.0813582149
SRX5694342,1.7733476912000001,0.9377681066,-2.5418863935,-1.0340379245,0.1267051197,-0.08620188470000001
SRX5694343,3.1718024006,1.1147979541,-0.5990711827,-0.5313228746,0.1220846799,1.5915676361000002
SRX5694344,1.4839307224,1.3668197432,-0.6706961768,-0.3395083618,0.1032390752,-0.30197332930000004
SRX5694345,-0.042236532300000004,-1.2856143744000001,-0.2693361888,-0.0744392624,0.033353407200000004,0.073363236
SRX5694346,4.1428723525,0.0159763307,-0.6643900960000001,-0.17103448070000002,0.0771250232,1.2872782107
SRX5694347,0.44804611800000005,-0.17060810040000002,0.0537517973,-0.3425261498,0.33679936520000003,0.5853373798
SRX5694348,-1.173736268,-0.30863375120000003,0.21829830690000002,0.7875061899,-0.0753781119,0.07780838820000001
SRX5694349,-2.9896349263,-1.5956671107,0.059987513900000004,0.12003723670000001,-0.22037630430000002,-0.6643197628
SRX5694350,1.8119096747999999,-0.12933230310000002,-2.2560026482,-0.7659405174,0.3819250746,0.732178031
SRX5694351,1.7540893825000001,0.5654120453,-2.3216059006,0.7263733076000001,0.1097132105,-0.46170892010000003
SRX5694352,-1.6261220490000001,-2.0741881581,-1.5089800009,-0.6013224671,-0.9470954505,0.1124789224
SRX5694353,1.2721838024,-0.407538869,-0.6424534597,-0.8785134040000001,0.1187786171,0.443350672
SRX5694354,-2.479253563,-0.2843349638,0.18363056530000002,0.7901452873,-0.37192626370000004,-0.3181902784
SRX5694356,-0.31663645630000004,-0.3321392553,-0.5437951596,-1.0691180943,0.10523402180000001,0.1282354954
SRX5694357,3.4901049459,1.2752564573,-2.85537669,-1.224876475,0.11645987860000001,-1.1520799735
SRX5694358,3.607140121,-3.8035863592,-0.4674176111,-0.8674783247000001,-0.5797902723,-1.8362995006
SRX5694359,-0.5488141263,-2.7245380481,-0.0723936322,-0.5275191918000001,0.2694753345,-0.1249996619
SRX5694360,0.2068566852,-1.6708471195999999,-0.4480011884,-0.5277439766,0.1633657727,0.6241173979
SRX5694361,3.1382009916,-3.8035863592,-2.167161905,0.5715646187,1.6826018297,-0.7831539452
SRX5694362,-0.3018054495,-3.8035863592,0.6280308407,-0.4801473545,0.2908099749,0.313608755
SRX5694363,-0.8297429124,0.2814219423,0.3715130968,-0.2058316979,0.6535301744,0.11833496
SRX5694364,4.002391406,-0.20027825970000002,-1.3674934092,-0.4031858943,-0.9659850511,-0.3063117198
SRX5694365,-1.1470772519,-2.4751979649,-4.1396324298,0.5258567861,-0.3306979439,1.8882562715
SRX5694366,-0.3121953894,-0.9461237601,-0.33899609740000003,-1.0791491496,0.6673118725,-0.2557414243
SRX5694367,0.259136174,-2.1007340297,-1.4393239767,1.1625349641,0.40760410700000005,-0.7469192149
SRX5694368,-0.0834596954,-1.3071686394,-0.4572722638,-0.3946522053,0.7857297332000001,-0.1651839441
SRX5694369,-0.9020583767,-1.3252033813000001,-0.9878976726,0.0892968809,-0.1719491078,0.2957450474
SRX5694370,-0.8844921909000001,0.2343315599,-0.057919253000000004,0.3895898545,0.2277511855,0.7928122664
SRX5694371,1.9222668252,-0.914980279,-0.9059199235000001,-0.9798657269000001,-1.3023468236,0.6970184058000001
SRX5694372,1.3948484326,-2.5139062477,-0.0418427398,-0.3558929129,0.2237454573,0.3503233653
SRX5694373,2.1049396478,0.0469713217,-1.9003735265000001,-0.3203433341,0.18654978860000002,0.2541791613
SRX5694374,0.8635818428,-1.9058063914,-1.3002525699,-1.8907045999,-1.0206670439,-1.9837270791
SRX5694375,-1.5279742239,-0.6803221012,-0.0090669077,0.5235856839,0.0662030157,0.5032151220000001
SRX5694376,-2.2531612109,-2.1944694033,0.1985228637,-0.6960164566,0.5771612002000001,0.6354762361
SRX5694377,0.8302559465,-1.8578497174000002,-1.3156570373,-1.5270626442,-1.067605701,-1.6267281024
SRX5694378,-0.591759989,-2.2472650376,-0.4149296213,-0.4634139386,-0.0380028156,0.20547109530000002
SRX5694379,0.3407722897,-1.1420452738,-0.24544042270000002,-0.5227460333,0.40291101360000003,-0.6317572363
SRX5694380,3.7743588754,0.5122115787,-0.7259468871,-0.6079369570000001,0.16609462290000002,1.6681220321999999
SRX5694381,4.3852781536,1.8295725113999999,-2.0187565297,-0.5831907388,0.7824178825,-0.9299490293
SRX5694382,1.2891351413,-0.1784524331,-0.27780351810000004,-0.5897015176,0.0390618168,0.5432151369
SRX5694383,-1.4570567479,-1.2097410504,-0.3428818138,0.33302975900000004,-0.17711142870000002,0.1508316396
SRX5694384,-0.2602266645,-0.3545437273,0.2934399706,-0.17128217310000002,0.10048710470000001,0.2539935183
SRX5694385,-2.9158135176,-1.6387528747,-3.0996293374,0.6983107852,-0.0587325101,0.1735572037
SRX5694386,-0.23962501760000002,0.1526841392,-2.979639997,-0.047770770600000005,-1.5803933219,-1.0965914319
SRX5694387,0.22277171440000001,-0.5959028851,-0.2488361346,-0.7783978846,0.5736189093,-0.45011777300000005
SRX5694388,0.22007879530000002,-0.5742778426,-2.3852818131999998,0.5795485447000001,1.4931992555,-1.2446213632
SRX5694389,-1.4605785265,-1.2737479848,0.1910102699,-0.4604892508,0.42669449330000003,-0.8816322191
SRX5694390,-1.1642176139,-1.1363005873,-0.036463504,0.5469985911,0.10323332660000001,0.3749917431
SRX5694391,-3.0483012569,0.7535446667,-0.8707349821,1.9391797668000001,-0.0839838975,0.1349712883
SRX5694392,-0.5448566844,-0.5703735367,0.39644299200000005,-0.18206983540000002,0.5080663899,0.1373434105
SRX5694393,-0.22704286640000002,-0.3051400824,0.357894368,-0.2625622673,0.1148339533,0.0633359129
SRX5694394,-0.7467761077,-0.8589084081,0.30240131670000003,0.6362886964000001,0.058115575200000005,0.6643141745000001
SRX5694395,-1.5736537830000001,-1.448590102,0.4065183956,-0.24292153970000002,0.6637942684,-0.15361779720000002
SRX5694396,1.0217854128,0.1902424069,-2.2230310181,0.6048608691,0.2701480981,-0.6362651389
SRX5694397,-1.2737612806,-0.5335429981,0.4197516042,0.7306458363,-0.23625456590000002,-0.5472499258
SRX5694398,-1.5607010505,-0.7445352831000001,0.27261994300000003,0.47634399800000005,-0.1953878215,-0.3786364887
SRX5694399,-0.5501192455,-0.2295948009,0.12147280120000001,-0.3464694589,0.41245130760000004,0.6872469521
SRX5694400,0.3982388649,-1.799923663,-0.1079874895,-0.2505482308,0.1265414432,0.2763011145
SRX5694401,-0.9341189335000001,-0.4904980236,-1.3506261458,0.6124656474,-0.1076750762,0.7213535626
SRX5694402,0.6547054999,-0.5026009468,-2.3509419834,-0.0719270178,-1.6254863923,-0.7232859984000001
SRX5694403,-0.0494986024,-2.5881630541,-0.7674267516000001,0.6540059885,-0.1016900835,0.5952169775
SRX5694404,-2.0613368557,-0.7991531455,0.365407288,0.4711092564,-0.20921000110000001,0.1870814597
SRX5694405,1.3873663781,0.6256341865,-0.5055140204,-0.5450956153000001,0.2940651697,0.5862269935000001
SRX5694406,-2.1395442249,0.1841982251,0.2856674088,0.2452439907,0.5295849658,1.2831240412
SRX5694407,-0.8048743437,-0.9258081836000001,-0.479906885,-0.1035126536,-0.0973917511,1.4455849675
SRX5694408,-1.1718922901,-0.5325597056,0.0712851904,-0.009095269900000001,0.47987595800000005,0.2541845924
SRX5694409,2.2359826518,2.4316031193,-1.9753799322,1.087692968,-0.5328043983,0.5435521804
SRX5694410,1.7971016102,-3.8035863592,0.9219050390000001,-0.3560818886,0.2943101529,1.1605505468
SRX5694411,1.9087568105,-2.3307375589,-1.3468475501000001,1.7535099344,0.2520452993,-1.519236521
SRX5694412,0.1041224532,-1.9072195688,0.2256753032,0.5170498195000001,0.07118498990000001,-1.0642308475
SRX5694413,3.7239336719000002,1.1251739385,-0.0691565241,-1.0193472069,0.4649472606,1.877327956
SRX5694414,7.3208442947,2.1627550057000002,-2.3479712186,-0.523282682,0.7757964379000001,-0.265568851
SRX5694415,-1.8726730928,-1.092279709,0.0087028444,0.43947406520000004,-0.16590032570000002,0.1363000544
SRX5694416,0.09678224490000001,0.2577954626,-0.0626134158,0.0446724711,0.0241466561,0.0935809585
SRX5694417,-0.1135772817,-0.2460656376,0.36704257560000003,-0.2893820741,0.2491868622,0.035989969000000004
SRX5694418,0.9729669759,-0.6725479160000001,-0.706115221,-0.2117878394,-0.4308452119,0.08999298430000001
SRX5694419,1.3305093287,-0.6525089331,-0.8130634488,-0.3179564891,-0.3273358249,0.9621319724
SRX5694420,-0.8065786508,-0.3823752871,-0.3540265952,0.08899595980000001,0.4432919692,0.7869227945
SRX5694421,1.6822459855,0.033435643,-0.319712059,0.028312995400000002,0.19075444560000002,1.4193190012
SRX5694422,-0.5808523432,-1.0975409224,-1.1120095257,1.3392921219,0.6120963638,-1.032378521
SRX5694423,0.3014222715,-1.2745951467,-0.507126293,-0.9200105722,-0.1869057979,0.9941680234
SRX5694424,-0.1675189175,-2.1808499714,-0.41745101490000003,1.5403945842,0.242156858,-0.0079612539
SRX5694425,-0.6117497122000001,-1.8639860766,-0.0018033885000000001,0.5704792652,-0.046517019800000003,-0.4110214431
SRX5694426,0.1996491703,-0.5113041475,-0.3268088257,0.1799193872,0.3338539648,0.0973007664
SRX5694427,-1.5128016494,-0.039047067000000005,-0.0474623699,0.4667043355,0.6159683715000001,0.5303702766
SRX5694428,0.7037770203,-0.5302035385,-0.5647240072,0.20339786340000002,-0.1678437107,-0.2552847462
SRX5694429,2.2988997532,-2.0793780699,-1.7755475748,1.7636918297,0.32766464370000004,-1.4452008378
SRX5694430,-1.7497195551,0.0188566301,-0.0740367488,0.3315411609,0.4709831559,0.3656415733
SRX5694431,0.8514444707000001,0.4974981807,0.1307398746,-0.35813353740000003,0.727913335,0.48773884370000004
SRX5694432,-1.065500353,-3.4110518813,-0.1200287127,-0.36327625890000004,0.0982272217,0.6096144582
SRX5694433,3.1051452148,0.7543284676,0.40978410870000004,-0.9242360812,0.3167563718,1.8379980452
SRX5694434,3.1684995693999998,-0.2782705144,-1.2568144443,1.1244853324,0.28004187950000003,0.9016315913
SRX5694435,1.9579029527,0.35285363280000004,-0.4486225251,0.2482560155,-0.7640141887,0.5078926564
SRX5694436,3.659839889,2.186143597,-2.7318125279,0.6052921899,-1.2611018782,0.0676605035
SRX5694437,1.3818816755,1.8978195677,-2.3731000759,1.6927350389,0.1459124564,0.0577680649
SRX5694438,-0.539108518,-0.8586396603,0.0470500895,0.4568848408,-0.1736173732,0.5710544058
SRX5694439,1.1027661283,-1.7839412551,-0.1513770067,-0.9789359647,-0.25407595780000003,-1.1134640903
SRX5694440,-0.4566692163,-0.3219760521,0.2112592419,-0.16993395320000002,0.23118249340000002,0.1188003848
SRX5694441,1.3655307409000002,1.7282439915999999,-0.7967600378,-0.30292878300000003,0.4003396286,0.4552586247
SRX5694442,0.9726697773,0.530560868,-2.0066052691,0.5264198142000001,1.2150427258,-0.7074274956000001
SRX5694443,-1.7252916821,-0.43892627830000003,-0.1807907456,0.2397725474,0.3406812039,0.7279754462
SRX5694444,-2.3083720455,-1.4841859962,-0.1308961337,0.5519567652,-0.0340694758,-0.3216186015
SRX5694445,-0.5965879671000001,0.2717606219,-1.5743659265,-0.2960727922,0.1216784439,0.31487789780000003
SRX5694446,1.1586824348,-1.0103368896,-0.7164231473,-0.9535799394000001,0.2178216607,-0.30151155830000004
SRX5694447,-1.2874513802,-3.8035863592,-0.3464155807,0.1879820745,0.3666325163,0.0005861666
SRX5694448,0.5169962318,-1.4291541599,0.7050455701,-0.33462678430000004,0.7480874413,0.08938176240000001
SRX5694449,-0.5096553696,-0.2438814892,-0.42194322710000004,0.4853458886,0.5109877485000001,0.5981235782000001
SRX5694450,0.7670842204,-3.8035863592,-0.25385139830000003,-1.5466922668,0.5995504568000001,-2.6073750508
SRX5694451,1.0483954889,-1.6297344846000001,-0.7709574188,0.3364849925,0.13190141060000002,-0.0512859891
SRX5694452,1.8488295300000002,-1.3618281253,-2.2495941643,0.5538937326,0.3131687821,-0.6681101903000001
SRX5694453,1.6635010476,0.6822123874,0.0638385415,-0.9333736147,0.5047694008,2.4500527738
SRX5694454,-0.5000440919,-0.0318674347,0.4446198277,-0.43851679990000003,0.0218655964,0.1932410283
SRX5694455,0.4226437208,-0.5471928957000001,-0.8968994548,-0.6122638961,-0.46866042150000004,0.8792375651000001
SRX5694456,0.021288787400000002,-0.1633806277,-0.06288396360000001,0.0192414513,0.5077070325,0.3741536856
SRX5694457,0.7194006106,0.6914570568,-0.3316129689,-0.4865215724,0.3228250902,0.2921037286
SRX5694459,-0.1660290621,0.0469576385,-0.8474655168,-0.7272492188,0.157954021,0.7106092532
SRX5694460,3.2611484689,-0.1068003472,-0.5290595791,-0.1476290305,-0.6673840347000001,0.5639621039
SRX5694461,-1.5236475192999999,-1.2639391866,-0.34600982490000004,-0.46360405250000003,-0.0085156521,0.45810929570000003
SRX5694462,-0.0882898077,-0.5561126042,0.0424100969,0.4989539183,-0.23607196800000002,0.6907292452
SRX5694463,-0.9631173740000001,-0.0099143007,-0.1697986887,0.3705406573,0.6528997239000001,0.6904517121
SRX5694464,0.5699931421000001,-1.5881864121,0.1089253652,-0.1438542033,0.34998021090000003,-0.1759260336
SRX5694465,-0.4723134648,-0.9374519004,-0.7218705966000001,-0.5194117031000001,0.5786229626,0.4500725351
SRX5694466,-2.2663794633,0.2242957224,-2.3535445542,2.0305828611,0.46504815310000003,0.28634911500000004
SRX5694467,-0.1580264765,-0.2822929062,-0.2083277862,-0.4654391383,0.0143207878,0.7681494022
SRX5694468,3.6282173175,-1.0966288723,-1.0224098639,-1.4261023225,-0.8533948025,-1.9011075321000002
SRX5694469,-1.7336472618,0.24264208550000002,-0.2734107096,0.3766098639,0.19736870080000002,0.5688973201
SRX5694470,-0.09147364200000001,-0.5119682401,-0.0103887137,-0.1364564022,-0.0427704894,-0.3395137821
SRX5694471,-0.7736016756,-0.17637521520000002,0.134627932,0.1286029695,0.30651931930000004,0.5704976028000001
SRX5694472,0.4676781593,0.1618024161,-0.1357071218,-0.0696890087,0.393554398,0.0699254955
SRX5694474,-0.43418941780000003,-1.7281741593,-0.4383705693,0.9030849996,0.2235476956,0.4807142903
SRX5694475,-0.2421254489,-1.1487585203,-0.9416061209000001,0.38838182590000003,0.5682074037,0.9780337566
SRX5694476,-0.9034576512,-0.6413780236000001,0.1719486807,-0.0550770701,-0.0432831359,-0.5394325851
SRX5694477,1.6437928347000001,-1.006493863,-0.1653463571,-0.6307641964,-0.8965939874000001,0.1380887414
SRX5694478,-0.445294805,-1.2513445461,0.2709422181,-0.2597921773,0.3723425776,0.1495060933
SRX5694479,3.0412171882,1.634032853,-2.1373360095,-0.1763272148,-0.2321501382,0.6226788684
SRX5694480,1.3763365803,1.3582901054,-0.8364478447,-0.1529290586,0.1253730612,0.9030126739000001
SRX5694481,-1.3201484353000001,-1.6745394532,-0.2563740177,0.2706568916,0.2946144966,-0.392918431
SRX5694482,-0.5727168716000001,-0.5047007987000001,-0.0107236213,-0.8203963424,0.33085108490000004,0.054084324100000004
SRX5694483,-2.0364572859,-0.314612491,-0.2940249934,0.1585795959,0.3683161601,0.6557226397
SRX5694484,2.0812752426,-0.4959432709,0.0111356627,-0.1142251222,0.2409390961,-0.20743866430000002
SRX5694485,-1.8271703876,0.412170702,-0.1846747639,1.8143817081,0.3222887331,0.45406912920000003
SRX5694486,-0.0109024152,-1.1498512966,0.1868333643,-0.4731728442,-0.0061316169,0.3670797796
SRX5694487,-1.8930557291,-2.0677669007,-0.33929810860000004,0.0620097399,0.45855461890000004,0.1951629904
SRX5694488,-1.2452304905,-0.5575835156,0.32364081040000003,0.3949410132,-0.2635437523,-0.062329516700000004
SRX5694489,0.6139080639,-0.1165699711,-0.14524808120000002,0.3263541776,0.2647000981,0.6018843796000001
SRX5694491,-0.0464186133,-1.8755443224000001,-0.5712727796,-0.7083059624,-0.4120816578,-0.2834640834
SRX5694492,0.7260113728,-0.3177967044,-0.8778729376000001,-0.851641096,-0.3157026452,0.0857252314
SRX5694493,1.2441855034,-0.6981223961,-2.7534880045,1.4811790611,-0.12502424280000002,-0.6160638477
