sample,BSU_misc_RNA_32
T2.0H_1,13.8946
T2.30H_1,14.2132
T3.0H_1,14.1319
T3.30H_1,14.3043
T4.0H_1,14.1035
T5.0H_1,13.8084
HPh_1,15.3282
HPh_2,14.6724
HPh_3,15.6496
LPh_1,14.4762
LPh_2,14.2313
LPh_3,14.5968
LPhT_1,14.7561
LPhT_2,14.8114
LPhT_3,14.8637
SMMPr_1,13.6911
SMMPr_2,14.1146
SMMPr_3,14.1249
HiTm_1,14.433
HiTm_2,13.7615
HiTm_3,14.1232
LoTm_1,15.4398
LoTm_2,15.2501
LoTm_3,15.1168
HiOs_1,15.1168
HiOs_2,15.7184
HiOs_3,15.3333
BMM_1,13.2716
BMM_2,13.0273
BMM_3,13.4147
Heat_1,12.7676
Heat_2,12.9183
Heat_3,12.657
Cold_1,13.6249
Cold_2,13.3709
Cold_3,12.6884
Etha_1,13.9475
Etha_2,13.114
Etha_3,13.6569
SMM_1,14.08
SMM_2,14.4528
SMM_3,14.02
Salt_1,14.3254
Salt_2,13.8198
Salt_3,13.6337
Mt0_1,14.0541
Mt0_3,13.5185
M0t45_1,13.5592
M0t45_2,13.4292
M0t45_3,13.6629
M0t90_1,13.0861
M0t90_2,14.7007
M0t90_3,14.0919
M40t45_1,12.8921
M40t45_2,14.3666
M40t45_3,13.7158
M40t90_1,13.186
M40t90_2,14.3124
M40t90_3,14.3161
dia0_1,14.36
dia0_2,14.0808
dia0_3,13.9218
dia5_1,14.0831
dia5_2,14.2718
dia5_3,14.1125
dia15_1,13.7476
dia15_2,14.4646
dia15_3,14.1101
Diami_1,13.5133
Diami_2,12.8783
Diami_3,12.718
Paraq_1,12.7925
Paraq_2,13.2281
Paraq_3,11.0249
H2O2_1,11.9462
H2O2_2,12.6026
H2O2_3,12.1926
Oxctl_1,12.4155
Oxctl_2,12.02
Oxctl_3,13.2744
GM-0.1_1,14.0961
GM-0.2_1,14.1391
GM+5_1,13.7159
GM+15_1,14.1412
GM+25_1,14.3853
GM+45_1,14.5879
GM+60_1,14.2903
GM+90_1,14.1957
GM+120_1,13.7499
GM+150_1,14.0692
GM-0.1_2,13.656
GM-0.2_2,14.1098
GM+5_2,14.1161
GM+10_2,14.35
GM+15_2,14.7587
GM+25_2,14.4813
GM+45_2,13.5846
GM+60_2,13.6182
GM+90_2,14.1382
GM+150_2,14.148
GM-0.1_3,14.7497
GM-0.2_3,14.1125
GM+5_3,14.3689
GM+10_3,13.3784
GM+15_3,14.6456
GM+25_3,14.4023
GM+45_3,12.9882
GM+60_3,13.543
GM+90_3,13.4615
GM+120_3,12.8006
GM+150_3,13.4543
MG-0.1_1,13.9369
MG+5_1,14.3758
MG+10_1,14.3294
MG+15_1,13.8039
MG+25_1,13.9402
MG+45_1,14.4426
MG+120_1,13.6528
MG+150_1,13.7286
MG-0.1_2,13.3253
MG-0.2_2,14.0855
MG+5_2,13.923
MG+10_2,13.845
MG+15_2,13.9574
MG+25_2,13.9363
MG+45_2,13.2341
MG+60_2,13.5194
MG+90_2,13.0921
MG+120_2,13.9465
MG-0.1_3,14.3424
MG-0.2_3,14.1116
MG+5_3,13.7115
MG+10_3,12.4594
MG+15_3,13.8602
MG+25_3,13.9642
MG+45_3,13.7476
MG+60_3,13.5783
MG+90_3,13.9615
MG+120_3,13.8138
MG+150_3,15.1166
