,A,yihW
omics__wt_thr__2,5.51557951566,6.303687865902099
omics__bw_ac__1,2.11078525241,7.00203672717185
omics__bw_ac__2,1.7887847796400003,7.05762953837237
omics__bw_fum__1,1.36452120285,6.91211891096619
omics__bw_fum__2,0.8942243838320001,6.88894647326836
omics__bw_glc__1,-0.6215323134790001,6.563259096184191
omics__bw_glc__2,-0.9528642049089999,6.48576534470233
omics__bw_pyr__1,1.34064633626,7.13005820490424
omics__bw_pyr__2,1.94198738618,7.15021118660059
ompr__wt_nacl__1,-0.10528670295499999,4.5481362968355095
ompr__wt_nacl__2,-0.457721525176,4.68149600741241
ompr__bw_delompr_nacl__1,-0.268601399416,4.36666593375292
ompr__bw_delompr_nacl__2,-0.781377831715,4.619840777828459
minspan__wt_ade__1,-1.2824865543000001,5.76206859231967
minspan__wt_glc__1,0.323919642934,5.685475157969309
minspan__wt_glc__2,0.15692760405099998,5.84147671814229
minspan__wt_glc__3,0.14949000106,5.84529793674213
minspan__wt_glc__4,-0.768771054242,5.71333292520559
minspan__wt_glc_anaero__1,-0.494677077857,5.5738328866746
minspan__wt_glc_anaero__2,-0.0119746831959,5.85757296398661
minspan__wt_trp__1,3.3112384115499998,6.45062945183063
minspan__bw_delcra_glc__1,1.91908252013,6.26861008479766
minspan__bw_delcra_glc__2,1.36546625004,6.368588226681
minspan__bw_delcra_trp__1,2.690144154,6.074840504127669
minspan__bw_delmntr__1,1.59936695755,6.273159114186809
minspan__bw_delnac_ade__1,-2.45911254055,5.38007891477868
minspan__bw_delnac_glc__1,0.34792449188,5.63523223027383
cra_crp__wt_ac__1,2.2601656243,6.1183667019034695
cra_crp__wt_ac__2,2.12866962217,6.070031249422151
cra_crp__wt_fru__1,2.6471159704700002,5.58300339231967
cra_crp__wt_fru__2,1.93296135693,5.73155309817528
cra_crp__delcra_ac__1,2.17245700878,6.494875718857809
cra_crp__delcra_ac__2,2.18748626034,6.60543449897394
cra_crp__delcra_fru__1,-0.557317336151,5.75810824616791
cra_crp__delcra_fru__2,-0.598797678264,5.71693998911059
cra_crp__delcra_glc__1,-0.274899455536,5.87835092491266
cra_crp__delcra_glc__2,0.197412213706,6.0085016013623
rpoB__wt_031__1,1.28417568345,6.80378581567335
rpoB__wt_044__1,-0.9928769671459999,5.74252833925712
rpoB__wt_lb__1,3.9507087946099997,7.1104530164326
rpoB__wt_lb__2,2.24931930668,6.99084980619162
rpoB__rpoBE546V_031__1,1.23426408738,6.48613577023332
rpoB__rpoBE546V_044__1,0.932057609453,6.329157953428401
rpoB__rpoBE546V_lb__1,1.92051315821,6.575095962897871
rpoB__rpoBE546V_lb__2,2.7264082112,6.53425799375397
rpoB__rpoBE546V_glc__1,0.6773121662870001,6.10267338228691
rpoB__rpoBE672K_glc__1,-0.0624711442392,4.91381905828447
rpoB__rpoBE672K_glc__2,1.48056825447,5.329945016681361
rpoB__rpoBE672K_lb__1,-0.277856629842,5.536226567998741
rpoB__rpoBE672K_lb__2,0.631979450437,6.166982317210509
crp__wt_fru__1,0.9972632731659999,6.14011108854043
crp__wt_glyc__1,1.32662779189,6.15125044504002
crp__wt_glyc__2,0.7955323835160001,6.26496108410541
crp__delar1_glyc__1,2.0020528546,6.49860372793152
crp__delar1_glyc__2,2.3706814257900004,6.622672510617661
crp__delar1ar2_glyc__1,0.37100632425700003,5.773281200510991
crp__delar1ar2_glyc__2,0.732624243919,5.886673888045941
crp__delar1ar2_glyc__3,0.144737506757,5.745607169851169
crp__delar2_glyc__1,3.6097882192300004,5.57350030522902
crp__delar2_glyc__2,3.4353022864200002,5.688473753380611
crp__delar2_glyc__3,3.3345368819599996,5.57098134344238
crp__delcrp_fru__1,-0.46347428628,5.7704195248509205
crp__delcrp_fru__2,0.206057690126,5.74135559291919
crp__delcrp_fru__3,-0.197180428803,6.063558145587501
crp__delcrp_glc__1,0.131833394535,5.72969765423462
crp__delcrp_glc__2,0.100363256891,5.403025455507191
crp__delcrp_glc__3,-0.829664687906,5.68789504105842
crp__delcrp_glyc__1,-0.359189871431,5.553704962929549
crp__delcrp_glyc__2,0.10368423584799999,5.51591863273077
crp__delcrp_glyc__3,-0.134850570089,5.703099289957019
glu__glu_ale3__1,1.9939657227400003,6.419286747149121
glu__glu_ale4__1,1.4861208816799998,5.71705183645952
glu__glu_ale5__1,0.395411129661,5.43483732922181
glu__glu_ale6__1,1.45592015426,5.515432813156849
glu__glu_ale8__1,2.82974893866,6.45001064128502
glu__glu_ale9__1,1.3120114285700002,6.17398024245242
glu__glu_ale10__1,0.38080263791999996,6.17646242915668
42c__wt_42c__1,0.9334303531929999,6.23341703442915
42c__42c_ale1__1,3.40067067533,6.57222123704353
42c__42c_ale2__1,0.0116318731716,6.028190718055639
42c__42c_ale3__1,0.0243612164641,5.7552264971319405
42c__42c_ale4__1,1.3483489564200002,6.30778178734269
42c__42c_ale5__1,-0.299488023864,5.63850161260451
42c__42c_ale6__1,1.59212622627,5.84746172078027
42c__42c_ale8__1,0.684030938041,6.53293783347979
42c__42c_ale9__1,0.04264019292719999,6.15086537159786
42c__42c_ale10__1,1.22625743566,6.533339161622799
ssw__wt_ac__1,1.1437902691500001,6.477017139172831
ssw__wt_glc__1,0.9608569765530001,4.416279355078
ssw__wt_glyc__1,2.24658834521,5.251285151165559
ssw__wt_xyl__1,-4.28434825411,4.65295865652971
ssw__glc_ale1__1,1.17736289858,5.9885950527291
ssw__glc_ale2__1,2.9862695981,6.482392275948549
ssw__glc_ale3__1,1.07800073063,6.09650441623763
ssw__glyc_ale1__1,3.7198098229800003,6.31202172735655
ssw__glyc_ale2__1,3.9666897721300005,6.71079461742064
ssw__xyl_ale1__1,1.33332224576,6.71592551496285
ssw__xyl_ale2__1,0.816126347171,6.56128999537034
ssw__xyl_ale3__1,1.2620406696700002,6.19757692522415
ssw__glc_ac_ac2__1,2.52543239171,6.476193115438241
ssw__glc_ac_glc1__1,-0.058958812133,6.15833230693376
ssw__glc_ac_glc2__1,1.59320535257,5.800107097595951
ssw__glc_glyc_glc__1,1.8263543819699999,5.95587908866827
ssw__glc_glyc_glyc__1,1.3477259929499998,6.63797358675264
ssw__glc_xyl_glc__1,0.41931542865800003,6.24213791101578
ssw__glc_xyl_xyl__1,-0.265999156708,5.93644457832464
pgi__glu4_delpgi__1,1.2789724867499999,6.076189237255581
pgi__pgi_ale1__1,0.8389638123909999,6.2144051540703895
pgi__pgi_ale2__1,2.31408507241,5.86400690466322
pgi__pgi_ale3__1,0.0672683719702,6.15086288952944
pgi__pgi_ale5__1,1.1392355220000001,6.32349784967828
pgi__pgi_ale6__1,1.4171173548700002,6.335119342508791
pgi__pgi_ale7__1,0.873175067716,6.3139989573016395
pgi__pgi_ale8__1,0.346334673075,6.00880590827198
ica__wt_glc__1,1.3947236082700003,5.8958112414906205
ica__wt_glc__2,1.2389820462299999,5.915078285514769
ica__wt_glc__3,-0.44120587879600004,5.832206409002531
ica__wt_glc__4,-0.0407002035611,5.942073316644501
ica__arg_sbt__1,4.15734140573,5.6532437569135
ica__arg_sbt__2,2.07436225368,5.83501828762555
ica__cytd_rib__1,6.54564104147,7.239461172021941
ica__cytd_rib__2,7.435964343169999,7.20064970579566
ica__gth__1,-2.2689737070800002,4.76162743839934
ica__gth__2,-2.09218303837,4.6176884427532805
ica__leu_glcr__1,0.884324088651,5.4211476902954505
ica__leu_glcr__2,1.19558470824,5.40904603257861
ica__met_glc__1,0.776114980975,5.735401933327349
ica__met_glc__2,0.444912220023,6.00468216117669
ica__no3_anaero__1,-0.861392733901,5.5930170792898295
ica__no3_anaero__2,-0.908030657651,5.812892704271929
ica__phe_acgam__1,0.7476751909299999,5.8023234489458
ica__phe_acgam__2,1.0608430786,5.6685540205456695
ica__thm_gal__1,3.27080476644,6.40716019697305
ica__thm_gal__2,3.6931165406699997,6.384960210838011
ica__tyr_glcn__1,-0.0476904149533,5.711956288547291
ica__tyr_glcn__2,0.570220850572,5.648831991876099
ica__ura_pyr__1,0.9064185892569999,6.04915204084671
ica__ura_pyr__2,0.9027324294499999,6.40837966388757
ica__wt_glc__5,0.744390934365,6.2115725855466195
ica__wt_glc__6,0.8691223733419999,6.016337543949269
ica__bw_delpurR_cytd__1,0.70663850891,5.97144350912107
ica__bw_delpurR_cytd__2,2.0466985160299997,5.801160604325251
ica__ade_glc__1,0.46876347324600004,6.885930786915389
ica__ade_glc__2,0.295146978869,6.58042974606991
ytf__wt_glc__1,0.172719849725,6.01060945665663
ytf__wt_glc__2,1.14850727841,6.633594126766809
ytf__delyafC__1,3.74662146271,6.40992325692397
ytf__delyafC__2,3.15368961763,6.55143483452515
ytf__delyeiE__1,1.75975197648,6.32840192530441
ytf__delyeiE__2,1.8588746765700002,6.337078489715919
ytf__delyiaJ__1,2.78375280864,6.12009112623037
ytf__delyiaJ__2,2.40939465611,6.33436537740659
ytf__delyieP__1,2.94813007602,6.49517414669945
ytf__delyieP__2,2.0063494984,6.3189090431388895
ytf__wt_ph5__1,-0.111541417364,5.90946276260164
ytf__wt_ph5__2,-0.29020261886300003,6.07686959239216
ytf__wt_ph8__1,-0.152139189897,5.94175188783881
ytf__wt_ph8__2,1.1445916892499999,5.54493024150096
ytf__delybaO__1,4.08328318326,6.553870845214349
ytf__delybaO__2,3.6763851125099998,6.8529739368805895
ytf__delybaQ__1,0.023691589314299998,5.85517680326571
ytf__delybaQ__2,0.111635654111,6.067108360924269
ytf__delybiH__1,1.54783516195,6.05928706252303
ytf__delybiH__2,2.6722850492299997,6.63525055401911
ytf__delydcI_ph5__1,-1.3661110022,5.8706916651552
ytf__delydcI_ph5__2,-0.114244842653,5.67559530412517
ytf__delydcI_ph8__1,-0.471493754406,6.05505890459446
ytf__delydcI_ph8__2,-0.027093619747599995,5.8679751074001505
ytf__delyddM__1,0.289022711792,6.10837971296758
ytf__delyddM__2,-0.23211414604299999,6.23362672853674
ytf__delyheO__1,4.58622835116,6.5607131384059905
ytf__delyheO__2,3.7653947579400002,6.60225179549739
fps__bw_glc__1,-0.12315741306299999,6.269889664598769
fps__bw_glc__2,-0.576769379404,6.08376948887363
fps__fps_thrA_ale1__1,0.362065501412,6.20245729394812
fps__fps_thrA_ale1__2,0.830871281195,5.90311284097999
fps__fps_thrA_ale2__1,0.817612930217,5.95745099212841
fps__fps_thrA_ale2__2,0.277115163517,6.1324442540787105
fps__fps_serB_ale1__1,0.402367076783,6.002145920494031
fps__fps_serB_ale1__2,-0.484005487192,6.0510736842707
fps__fps_serB_ale4__1,-0.631865498703,6.04229815049188
fps__fps_serB_ale4__2,0.155626497764,5.756955759719911
fps__fps_ptsI_ale1__1,2.3617300756999997,6.7197735103722
fps__fps_ptsI_ale1__2,3.3554188542000003,6.691695678941599
fps__fps_ptsI_ale3__1,2.22246809901,6.51995943068441
fps__fps_ptsI_ale3__2,2.23930441603,6.436124206811769
pal__lyx_ale2_f6__1,35.8865621824,10.8227481346501
pal__lyx_ale2__1,32.595155610700004,10.393946883738401
pal__lyx_ale2__2,32.8351829776,10.281500589297
pal__lyx_ale4__1,32.595155610700004,10.393946883738401
pal__lyx_ale4__2,32.8351829776,10.281500589297
pal__5drib_ale10_f18__1,1.5737273715900002,7.4428317455366395
pal__5drib_ale10_f18__2,1.84454825968,7.099024614247661
pal__5drib_ale10__1,3.08660722578,7.28392761333156
pal__arab_ale14_f9__1,1.66225947305,6.342133840862349
pal__arab_ale14_f9__2,0.450695183729,6.25344322119426
pal__arab_ale14__1,1.77881461882,6.40377267554623
pal__arab_ale14__2,1.61937892439,6.5333016887909805
pal__arab_ale16__1,2.80890999127,6.44039445204584
pal__arab_ale16__2,2.4979704270700003,6.56792442543137
pal__tartr_ale26_f10__1,1.58488338086,6.631600416514701
pal__tartr_ale26_f10__2,2.2176307415000003,6.59000850153905
pal__tartr_ale26__1,2.22192458738,6.721099677489099
pal__tartr_ale26__2,2.34924660265,6.47989841849468
pal__tartr_ale28_f10__1,3.6737441552999996,6.42085683593449
pal__tartr_ale28_f10__2,2.1326502595,6.66579703296521
pal__tartr_ale28__1,2.05330927148,6.57801676173651
pal__tartr_ale28__2,1.09269541018,6.59975767719427
efeU__delmenFentC_citr__1,1.60202852411,5.9163219401657905
efeU__delmenFentC_citr__2,0.79934576955,5.92551291800131
efeU__delmenFentC__1,0.23057785026500002,5.73908006520959
efeU__delmenFentC__2,0.964291647808,5.77253043191526
efeU__menFentC_ale39__1,3.4669190083999997,6.94397752975014
efeU__menFentC_ale39__2,3.90915904731,6.88289721181185
efeU__menFentC_ale29__1,3.3108679242699997,6.1671058875192495
efeU__menFentC_ale29__2,4.45129677536,6.11902757026307
efeU__menFentC_ale30__1,3.47320118943,6.282444077384219
efeU__menFentC_ale30__2,2.40494107944,5.958465019436231
efeU__menFentCubiC_ale36__1,0.11893258508099999,6.225891673559259
efeU__menFentCubiC_ale36__2,1.40837860408,5.99089273202533
efeU__menFentCubiC_ale37__1,0.07499868953260001,6.0290560535363795
efeU__menFentCubiC_ale37__2,0.0305246384172,5.84214311374352
efeU__menFentCubiC_ale38__1,1.30280697453,6.22361077323537
efeU__menFentCubiC_ale38__2,1.71306698806,6.350770653132981
