,A,NrdR
abx_mega__teix_dmso__18,1.8845610408,-0.49857349840000004
abx_mega__h2o-6__3,1.0381934829,-0.1042771009
abx_mega__pen_h2o__5,3.0760287901,0.0063563439
abx_mega__lzd_dmso__4,-1.2456847952,-0.5958332062
abx_mega__daro__1,4.3949845056,-0.3866689781
abx_mega__solv__1,4.1398485925,0.0474815397
abx_mega__daro__2,3.7887784668,-0.2868360287
abx_mega__daro__3,7.3002874219,0.2423714019
abx_mega__solv__2,1.5086180199,-0.3113061288
abx_mega__solv__3,6.9063636072,-0.12617992960000002
abx_mega__dmso-4__1,3.1776974553,-0.17646801450000002
abx_mega__kirr_dmso__1,-0.17800768790000002,-0.7384908962000001
abx_mega__kirr_dmso__2,-0.7147586892000001,-0.37169566930000003
abx_mega__kirr_dmso__3,2.1898120065,-0.3407474667
abx_mega__dmso-4__2,2.8181055220999998,-0.0996943082
abx_mega__dmso-4__3,2.8688906003,-0.3545377642
ackA_pta__dnaA46_del_ackA__1,-1.4604659303,0.5497175093000001
ackA_pta__dnaA46_del_ackA__2,-1.3873520023,0.9687239664
ackA_pta__dnaA46_del_ackA__3,-1.8134460952,0.8643534553000001
ackA_pta__dnaA46_del_pta__1,2.6077770038,0.6153794256
ackA_pta__dnaA46_del_pta__2,-2.0246715133,0.30617276590000003
ackA_pta__dnaA46_del_pta__3,-3.3075670863,0.2702074289
ackA_pta__dnaA46__1,0.2538631252,0.3815255636
ackA_pta__dnaA46__2,-4.2660624481,0.0888594104
ackA_pta__dnaA46__3,0.5775541101,0.2568515104
ackA_pta__del_ackA__1,-0.5943798199,0.5309258279
ackA_pta__del_ackA__2,1.5593609763,0.7178100697
ackA_pta__del_ackA__3,-0.32038650960000004,0.3765780187
ackA_pta__del_pta__1,-2.6058350792000002,0.0048747528
ackA_pta__del_pta__2,-1.1931865399000001,0.3162437199
ackA_pta__del_pta__3,-0.2585772999,0.262804819
ackA_pta__wt__1,1.9174324134,-0.0674829239
ackA_pta__wt__2,-1.0588343422,-0.0077661357
ackA_pta__wt__3,-0.8585980712,0.0752490596
anticancer__5fu__1,-3.3139801392,0.0304503039
anticancer__5fu__2,-2.6635918572,0.0670269827
anticancer__cap__1,-0.9790324707,0.5662362227000001
anticancer__cap__2,-1.241540858,0.6940347995
anticancer__cap__3,-1.2666774867,0.6130140263
anticancer__wt__1,0.2721948692,-0.2748342147
anticancer__wt__2,0.1695915765,0.030961043
anticancer__wt__3,-0.4417864456,0.2438731717
anticancer__5fu__3,-4.0666130643,0.0552547247
bio_pln__aero_pln__1,-0.1386164962,0.061914152800000004
bio_pln__aero_pln__2,0.1386164962,-0.061914152800000004
bio_pln__anaero_pln__1,-2.0800464321,0.0804444627
bio_pln__anaero_pln__2,-1.5532408757,0.135002347
biocide__bzcl_12h__1,-5.2239637876,0.040588635500000005
biocide__bzcl_12h__2,3.0858592893,0.314252015
biocide__bzcl_12h__3,-0.30162407490000004,0.2153287902
biocide__etoh_12h__1,5.2774251186,0.4257279841
biocide__etoh_12h__2,4.7610864095,0.390188388
biocide__etoh_12h__3,5.2875442314,0.5272159715
biocide__gluald_12h__1,3.1885639945,0.16762676980000002
biocide__gluald_12h__2,3.0140223061,0.46936337380000004
biocide__gluald_12h__3,2.3898420392,0.44122842710000004
biocide__h2o2_12h__1,2.9044243442,0.18590889730000001
biocide__h2o2_12h__2,2.9872584344,0.1343003318
biocide__h2o2_12h__3,1.4591951197,0.2515001019
biocide__2ppoh_12h__1,3.9587177853,0.4211089381
biocide__2ppoh_12h__2,3.5230647696,0.3161490149
biocide__2ppoh_12h__3,3.5072370355,0.32750952380000004
biocide__paa_12h__1,2.0802347301,0.30828156300000004
biocide__paa_12h__2,2.3639855198,0.2240163531
biocide__paa_12h__3,2.9191377971,0.3952212413
biocide__phe_12h__1,1.9855981829,0.2589829233
biocide__phe_12h__2,0.8990059385,0.2757025295
biocide__phe_12h__3,1.0733944933,0.25419142100000003
biocide__pvp-i_12h__1,2.0765473419,-0.1056702644
biocide__pvp-i_12h__2,0.12910796330000002,0.0675871816
biocide__pvp-i_12h__3,2.5217283119,0.1925529528
biocide__bleach_12h__1,0.8038910668,0.0108334626
biocide__bleach_12h__2,1.162249535,0.1706963186
biocide__bleach_12h__3,1.1248855515,0.1025010839
biocide__chx_12h__1,2.7318377824,0.4018082429
biocide__chx_12h__2,2.1968009676,0.3600764517
biocide__chx_12h__3,1.6745554205,0.1289837436
biocide__bzcl_30m__1,0.9704599810000001,0.0126056543
biocide__bzcl_30m__2,1.0636109254,-0.1829676374
biocide__bzcl_30m__3,1.2963871427,0.10125903110000001
biocide__phe_30m__1,-2.2286312007,-0.1207108534
biocide__phe_30m__2,-0.6698430189,-0.4625454006
biocide__phe_30m__3,-1.5005706858,-0.059309029400000005
biocide__pvp-i_30m__1,2.4978554254,0.0119677727
biocide__pvp-i_30m__2,2.3417390286,-0.08876906770000001
biocide__pvp-i_30m__3,2.0496916450000002,-0.163875256
biocide__ctrl_12h__1,2.0443577936,0.0555648461
biocide__ctrl_12h__2,2.3370389659,0.08973583610000001
biocide__ctrl_12h__3,2.6462982057,0.167871518
biocide__ctrl_30m__1,-0.028032628400000002,0.0657257233
biocide__ctrl_30m__2,-0.3715983037,-0.1951805769
biocide__ctrl_30m__3,0.3996309321,0.1294548536
clpP__wt__1,-0.0544224301,-0.2972099861
clpP__wt_DPTA__1,5.2739682404,1.4499930438
clpP__wt__2,-1.2417364603,0.14230317080000002
clpP__wt_DPTA__2,4.7595933988,1.6346035583
clpP__wt__3,1.2961588904,0.1549068153
clpP__wt_DPTA__3,4.3110894621,1.311424393
clpP__delclpP__1,1.4615572238,-0.8499126351
clpP__delclpP_DPTA__1,4.6117836448,1.5277666735
clpP__delclpP__2,0.8000740947,-0.3403015485
clpP__delclpP_DPTA__2,3.4818886696,1.430760722
clpP__delclpP__3,2.7594186585,-0.4537765682
clpP__delclpP_DPTA__3,4.0707418435,1.3578838973
colombos2__delydcR__1,-2.1580118299,-0.1201695326
colombos2__delydcR__2,-2.0518370789,-0.1054887723
colombos2__delydcR__3,-1.1350976515,0.134435553
colombos2__delyjiR__1,0.3764510766,-0.4769110218
colombos2__delyjiR__2,-0.2335120407,-0.3242239959
colombos2__delyjiR__3,-0.7065114332,-0.1960997538
colombos2__wt__1,0.7731924888,-0.2293755345
colombos2__wt__2,-0.7292458976,-0.0065146935
colombos2__wt__3,-0.0439465912,0.235890228
crp_k100__ar1_ar2__1,1.6714080241,0.09726285400000001
crp_k100__ar1_ar2__2,2.8394601084,0.6396960641
crp_k100__ar1_ar2__3,1.2761439132999999,0.8253566203
crp_k100__wt__1,-1.1388694453000001,0.0104952455
crp_k100__wt__2,0.8371119370000001,0.0592607728
crp_k100__wt__3,0.30175750830000003,-0.0697560182
crp_k100__K100Q__1,-0.23018284090000002,-0.0551045662
crp_k100__K100Q__2,0.6857605955,0.048108500500000005
crp_k100__K100R__1,0.12296644550000001,-0.0386959142
crp_k100__K100R__2,2.133465103,0.3514098739
crp_k100__K100R__3,-0.2374018125,0.113214093
csrA__wt_t00__1,-0.72774011,-0.0691210617
csrA__wt_t02_30__1,0.7222207404000001,-1.9351279569000002
csrA__wt_t05__1,0.9159616132,-2.9089305584
csrA__wt_t10__1,-1.4062458073,-3.3427822887
csrA__wt_t15__1,-1.5940001541000002,-2.5217031789
csrA__delcsrA_t00__1,-0.5264342702,0.25393459690000003
csrA__delcsrA_t02_30__1,1.1206529854,-2.2285097854
csrA__delcsrA_t05__1,0.3437069822,-3.061967663
csrA__delcsrA_t10__1,-1.0935013207,-3.3310694359
csrA__delcsrA_t15__1,-3.943960569,-3.4735701866
csrA__wt_t00__2,0.72774011,0.0691210617
csrA__wt_t02_30__2,0.8944056465,-1.5046217107
csrA__wt_t05__2,1.898051292,-2.7005924917
csrA__wt_t10__2,0.3670583159,-3.4156431510000003
csrA__wt_t15__2,-0.1668670516,-3.1051067463
csrA__delcsrA_t00__2,-0.6664617228,0.1596161107
csrA__delcsrA_t02_30__2,0.42679559240000003,-2.0001514711
csrA__delcsrA_t05__2,1.3872556362,-3.2484228268
csrA__delcsrA_t10__2,-1.2761503619,-3.0978236829
csrA__delcsrA_t15__2,-2.6595944858,-1.9709836305000001
cstr_pfr__str_0005m__1,-0.22794634530000002,0.1027256641
cstr_pfr__str_0010m__1,-0.35995234200000004,0.0653325106
cstr_pfr__str_0025m__1,-0.1423334838,0.1602730681
cstr_pfr__str_0045m__1,-0.14071161910000002,0.1759134353
cstr_pfr__str_0075m__1,0.41516933710000004,0.1290053713
cstr_pfr__str_0120m__1,0.6187062404,0.15107968730000002
cstr_pfr__str_0210m__1,0.5931893601,0.10718292530000001
cstr_pfr__str_0330m__1,0.17801747040000002,0.1909768362
cstr_pfr__str_1500m__1,0.07131418340000001,0.2253894046
cstr_pfr__str_1560m__1,-0.0966505733,0.26809764010000003
cstr_pfr__str_1680m__1,0.1416137195,0.2600553619
cstr_pfr__str_ref1__1,-0.028370150900000002,0.0168008932
cstr_pfr__str_ref2__1,-0.1137514949,0.0390517169
cstr_pfr__str_ref3__1,-0.0886947445,0.0215755302
