,A,SigG,SigE
S6_4,51.9947018187,5.5771333333,4.5895333333
S6_5,51.2522139418,6.0319333333,5.3139333333
S6_6,50.2760359142,6.2294333333,5.4930333333
S7_4,51.1112355203,5.7401333333,4.9979333333
S7_5,52.8853921036,5.6829333333,4.9249333333
S7_6,50.6129809248,5.9520333333,5.0551333333
S8_4,52.8842580629,5.2559333333,4.4082333333
S8_5,55.2204813032,5.2107333333,2.9736333333
G135_1,-2.3314024388,0.1939333333,0.0541333333
G135_3,4.5232738363,-0.0327666667,-0.2868666667
G150_1,-3.2841408754,-0.1337666667,-0.0657666667
G150_2,-6.1989093192,-0.2825666667,-0.18736666670000002
G150_3,-2.8865398873,-0.11146666670000001,-0.1079666667
G180_1,-2.6371431908,0.0641333333,-0.1332666667
G180_2,-5.2755466001,0.3112333333,-0.3342666667
G180_3,-0.7289041661,0.023333333300000002,-0.5803666667
C30_1,7.1876980319,0.9980333333,0.7977333333000001
C30_2,5.1235099828,1.1025333333,0.7859333333
C90_1,-0.7152539424000001,0.5741333333,0.8593333333000001
C90_2,-6.4942599699,0.0409333333,0.43413333330000003
BI_1,-1.9654653639,1.2088333333,0.5982333333000001
BI_2,-1.3397845542,1.2388333333000001,0.7021333333
BC_2,26.4722985785,3.2798333333,4.2106333333
BC/t_1,21.2560787297,2.7264333333,3.6086333333000002
BC/t_2,23.7230623358,3.0718333333,3.9511333333
BC_1,21.696933032,2.4661333333,3.7128333333
Sw_1,-0.7181863894,1.3631333333,2.0431333333
Sw_2,-1.5671748787,1.6135333333,2.4950333333
BT_1,53.2750450903,4.7799333333,4.4521333333
BT_2,52.7035965102,4.6120333333,3.7704333333
B36_1,50.7204074811,4.9429333333,5.9355333333
B36_2,49.3575334713,4.7339333332999995,5.5746333332999995
B60_1,43.8984053277,5.1144333333,6.1084333333
B60_2,40.3345940506,4.7470333333,5.9211333333
M9exp_1,2.4231889123,0.2085333333,0.1011333333
M9exp_2,2.9666192379,0.1289333333,0.0663333333
M9exp_3,-5.3898081502,-0.33746666670000003,-0.16746666670000002
M9tran_1,-4.0515177655,0.23743333330000002,0.5983333333
M9tran_2,-3.1489690299,0.3115333333,0.7548333333
M9tran_3,-3.6767164018000003,0.5668333333000001,1.3667333333
M9stat_1,38.2440955764,4.3806333333,6.1333333333
M9stat_2,22.2280973731,3.2022333333,4.8058333333
M9stat_3,22.555881265700002,3.1711333333,4.7942333333
M+G_1,4.7719974741,0.8686333333,0.9718333333
M+G_2,-3.835695905,-0.0093666667,0.1377333333
M+G_3,-3.3929502688,-0.0083666667,0.0061333333
Glu_1,-4.7203651193,0.32173333330000004,0.4501333333
Glu_2,-5.5157154707,0.1667333333,0.31823333330000003
Glu_3,-3.7643261709,0.4597333333,0.4937333333
Fru_1,-7.5129393089,0.2823333333,-0.1479666667
Fru_2,-3.2887859226,1.1124333333,1.6203333333
Fru_3,-3.2341558063,0.2346333333,0.3708333333
Mal_1,-1.8360155646,-0.2978666667,-0.1395666667
Mal_2,-2.7936494483,0.23213333330000002,0.1740333333
Mal_3,-4.723510066,-0.1094666667,0.0147333333
G+S_2,43.0616059029,4.5658333333000005,5.1985333333
G+S_3,43.1729210635,4.9035333333,5.3629333333
Pyr_1,43.2019837608,4.6400333333,5.1284333333
Pyr_2,42.2457191933,4.8175333333,4.9880333333
Pyr_3,41.853003506,4.5367333333,4.6087333333
Gly_1,9.5671270859,0.1059333333,-0.1239666667
Gly_2,10.9071975427,0.5490333333,0.3292333333
Gly_3,9.5915268247,0.3080333333,0.2295333333
Glucon_1,23.4353316859,2.1148333333,2.5417333333
Glucon_2,22.0904949288,1.9871333333,2.2893333333
Glucon_3,5.2021306754,0.5451333333,0.45133333330000003
aero_1,10.2263434482,1.0628333333,0.5094333333000001
aero_2,4.2310832368,-0.0642666667,-0.1565666667
aero_3,10.3293803391,0.6616333333000001,0.20543333330000002
nit_1,42.9716623065,4.5691333333,1.9970333333
nit_2,32.0272003107,3.2119333333,1.4031333333
nit_3,41.1855953213,4.4080333333,2.0592333333
ferm_1,40.4282007546,4.0254333333,2.3132333333
ferm_2,31.3414518951,2.4708333333,0.9941333333000001
ferm_3,41.1168209517,4.9902333333,2.3045333333
T-5.40H_1,27.5141833451,2.2073333333,2.9718333333
T-4.40H_1,19.6239804992,1.7173333333,2.1225333333
T-3.40H_1,11.0087454819,1.3167333333,1.7386333333000001
T-2.40H_1,4.4957023111,0.7239333333,1.2777333333
T-1.40H_1,-0.6086802879000001,0.4263333333,0.8613333333000001
T-1.10H_1,-3.6433906662,0.49113333330000003,0.7811333333
T-0.40H_1,-4.1048937063,0.2056333333,0.2469333333
T0.0H_1,-5.0659985164,0.1116333333,0.4031333333
T0.30H_1,2.8474422856,0.5919333333,0.13693333330000002
T1.0H_1,2.065427053,0.49453333330000004,0.5165333333000001
T1.30H_1,4.236141632,1.2959333333,2.3361333333
T2.0H_1,6.1593319886,2.1188333333,3.3788333333000002
T2.30H_1,11.9238783301,2.9480333333,4.7490333333
T3.0H_1,21.4800381647,3.1573333333,4.8426333333
T3.30H_1,28.1580403261,4.2603333333,5.7004333333
T4.0H_1,33.7136694331,4.6478333333,6.2536333333
T5.0H_1,40.2610367386,4.6632333333,6.2238333333
HPh_1,-3.5234433084,0.6792333333,0.1731333333
HPh_2,-3.568828419,0.1749333333,-0.1939666667
HPh_3,-1.9453717997000002,0.5845333333,0.1944333333
LPh_1,-4.1527095114,0.3770333333,0.21223333330000002
LPh_2,-6.7174812236,0.4253333333,0.1793333333
LPh_3,-3.4831264781,0.4208333333,0.3673333333
LPhT_1,2.0406619952,1.1376333333,0.8766333333
LPhT_2,0.38055785400000003,0.7903333333,0.36813333330000003
LPhT_3,-0.2496490921,0.9868333333,0.6595333333
SMMPr_1,33.0127135569,2.2034333333,2.1933333333
SMMPr_2,29.3250904781,1.9235333333,2.2062333333
SMMPr_3,25.9476957315,1.6422333333,1.8906333333
HiTm_1,3.0521676251,0.4015333333,0.6557333333
HiTm_2,-6.028539609,0.0759333333,0.1781333333
HiTm_3,-2.4254360872,0.46833333330000004,0.49663333330000003
LoTm_1,35.7355390924,5.5534333333,6.0851333333
LoTm_2,37.0854065127,5.5791333333,5.9582333333
LoTm_3,40.7969127901,5.7988333333,5.8060333333
HiOs_1,18.0469364229,2.1602333333,3.2401333333
HiOs_2,20.8490365051,2.5978333333,3.3867333333
HiOs_3,14.8940909184,2.0128333333,2.8895333333
BMM_1,-5.5702657267,-0.0758666667,0.1255333333
BMM_2,-5.3443557802,-0.32886666670000003,-0.09446666670000001
BMM_3,-3.6193631763000003,0.06593333330000001,0.24023333330000002
Heat_1,-3.870617212,0.4176333333,0.5352333333
Heat_2,-4.7985383703,0.0584333333,0.3410333333
Heat_3,-2.3442720559,0.4605333333,0.5299333333
Cold_1,-5.47406659,-0.3466666667,-0.2776666667
Cold_2,-2.3490279887,-0.20826666670000002,-0.3326666667
Cold_3,0.3080427867,-0.2323666667,-0.3705666667
Etha_1,5.6502899982,0.0947333333,0.3896333333
Etha_2,6.6796395129,0.0426333333,0.3552333333
Etha_3,3.9143625681,-0.1462666667,0.2630333333
SMM_1,2.9133881308,0.8162333333,1.1308333333
SMM_2,5.5042392447,1.0607333333,1.7339333333
SMM_3,8.4773295315,1.2739333333,1.8676333333000001
Salt_1,4.7625237827,0.35503333330000003,0.3551333333
Salt_2,7.7838010071,0.46083333330000004,0.47343333330000004
Salt_3,-1.6898905018,-0.1327666667,0.13793333330000002
Mt0_1,-6.7098679658,0.19263333330000001,0.1377333333
Mt0_3,-10.1987093628,-0.18736666670000002,0.0788333333
M0t45_1,-4.5636333968,0.0208333333,0.3018333333
M0t45_2,-6.6544343053,-0.1927666667,-0.1035666667
M0t45_3,-7.3035668278,0.0477333333,0.3848333333
M0t90_1,1.7280329678,-0.0179666667,0.3050333333
M0t90_2,-5.324304965,0.3796333333,0.7896333333000001
M0t90_3,-3.5623522369,0.0419333333,0.7294333333
M40t45_1,-2.8224252265,-0.0584666667,0.3184333333
M40t45_2,-2.9063139356,-0.0971666667,0.1411333333
M40t45_3,-8.9634993202,-0.2225666667,0.32423333330000004
M40t90_1,-1.1279851082,-0.17856666670000002,0.2791333333
M40t90_2,-3.9225232383,0.1470333333,0.5827333333
M40t90_3,-4.3647237601,0.0721333333,0.7526333333
dia0_1,-6.3253357087,-0.22266666670000002,0.0739333333
dia0_2,-7.4756253046,-0.1624666667,0.1310333333
dia0_3,-8.6093610372,-0.40096666670000003,0.0786333333
dia5_1,-5.4100485333,-0.10176666670000001,0.28953333330000003
dia5_2,-6.6490280026,0.26383333330000003,0.6861333333
dia5_3,-8.482789978,0.007333333300000001,0.4751333333
dia15_1,-8.0114944143,0.4030333333,1.3743333333
dia15_2,-8.5406016016,0.7477333333,1.7784333333
dia15_3,-4.7642247492,0.3657333333,0.7163333333
Diami_1,-1.9123264878000001,0.48303333330000003,0.4959333333
Diami_2,-6.2807920618,0.4796333333,0.9090333333
Diami_3,-1.8540748125,0.5080333333,0.8547333333
Paraq_1,-2.6302316201,0.4433333333,0.0253333333
Paraq_2,-6.1240449232,0.0820333333,0.2594333333
Paraq_3,-0.6399879425,-0.2353666667,-0.2808666667
H2O2_1,-3.4579782113,0.0157333333,0.1271333333
H2O2_2,-4.8858392791,0.1297333333,0.5325333333
H2O2_3,-2.3452852898,0.2360333333,0.42803333330000004
Oxctl_1,0.5163032205,0.3729333333,0.1293333333
Oxctl_2,-0.8044483494,0.1544333333,0.0407333333
Oxctl_3,-5.2677625549,0.0866333333,0.1488333333
GM-0.1_1,-2.2526980658999998,0.33943333330000003,0.11053333330000001
GM-0.2_1,-0.1083445997,0.7158333333,0.3991333333
GM+5_1,-2.3404129203,0.1809333333,0.0919333333
GM+15_1,-3.6379274176000003,0.42703333330000004,0.1189333333
GM+25_1,-4.0422666355,0.23873333330000002,0.4715333333
GM+45_1,-4.8892862422,0.4640333333,0.2972333333
GM+60_1,-5.453619261,0.2263333333,0.2514333333
GM+90_1,-6.4907044515,0.5107333333,0.41603333330000003
GM+120_1,0.8299186413,0.4468333333,0.3649333333
GM+150_1,-2.235991106,0.3407333333,0.6456333333000001
GM-0.1_2,-7.6192573481,-0.1267666667,-0.2305666667
GM-0.2_2,-5.3530077837,0.0516333333,0.3191333333
GM+5_2,-8.5888953339,-0.1098666667,-0.5122666667
GM+10_2,-7.9282128322,-0.1093666667,-0.5437666667000001
GM+15_2,-5.5264529855,0.0627333333,-0.23646666670000002
GM+25_2,-6.4430912171,-0.0844666667,-0.2404666667
GM+45_2,-5.6757932863,-0.5175666667000001,-0.8104666667
GM+60_2,-1.9740124873,-0.1069666667,-0.0124666667
GM+90_2,-3.8473109717,0.6674333333,0.5906333333
GM+150_2,-2.5570596689,0.2163333333,0.8733333333000001
GM-0.1_3,-4.8170517072,0.3549333333,0.5409333333
GM-0.2_3,-6.8557276087000005,-0.0455666667,0.1590333333
GM+5_3,-6.5002471735,0.48253333330000003,0.6253333333000001
GM+10_3,-3.4011405769,-0.1846666667,-0.1487666667
GM+15_3,-5.1305280924,0.2632333333,0.0954333333
GM+25_3,-2.6394023042,0.2048333333,0.0962333333
GM+45_3,-0.7478054921,0.5464333333,0.23213333330000002
GM+60_3,-0.7989605342,0.33993333330000003,0.0811333333
GM+90_3,-3.4916292886,0.2413333333,0.5576333333
GM+120_3,0.718271921,0.8953333333,0.9572333333
GM+150_3,-4.4405171463,0.1313333333,0.5035333333
MG-0.1_1,-2.8422028339,0.2232333333,-0.2832666667
MG+5_1,-3.2388401186,0.2865333333,-0.1705666667
MG+10_1,-6.2451074357,-0.0130666667,-0.0686666667
MG+15_1,-3.1571736952,-0.1532666667,-0.1620666667
MG+25_1,-4.4229027086,-0.057566666700000005,-0.045666666700000004
MG+45_1,-3.5916543233000002,0.1492333333,-0.1453666667
MG+120_1,-0.6627264088,0.1927333333,0.2494333333
MG+150_1,-3.7213955214,0.3562333333,1.1637333333
MG-0.1_2,-3.7694342268,-0.4075666667,-0.7356666667
MG-0.2_2,-5.5572528941,-0.2906666667,-0.5747666667
MG+5_2,-7.5325669197,-0.4199666667,-0.7373666667000001
MG+10_2,-7.0336276756,-0.10996666670000001,-0.4278666667
MG+15_2,-7.1774240784,0.1897333333,0.4117333333
MG+25_2,-5.4550795119,-0.0847666667,-0.4143666667
MG+45_2,-4.1280491067,-0.2561666667,-0.44226666670000003
MG+60_2,-4.9156036211,-0.0193666667,-0.2446666667
MG+90_2,-6.453857497,-0.5192666667,-0.7253666667
MG+120_2,-5.8475831923,0.3075333333,0.6983333333
MG-0.1_3,-8.1196362249,0.1040333333,-0.1476666667
MG-0.2_3,-4.4504984511,0.18653333330000002,-0.0836666667
MG+5_3,-3.1774255812,0.1287333333,0.0378333333
MG+10_3,-0.0173769374,0.2755333333,-0.0101666667
MG+15_3,-7.2620482924,-0.1067666667,-0.1250666667
MG+25_3,-6.5851747718,-0.0762666667,-0.0606666667
MG+45_3,-7.9096305572,-0.0670666667,0.033333333300000004
MG+60_3,-4.0571398358,0.0361333333,-0.1094666667
MG+90_3,-7.6260863033,-0.4325666667,-0.2748666667
MG+120_3,-5.2053447542,-0.1764666667,0.2091333333
MG+150_3,-4.6592937054,0.5076333333,1.0307333333
