,A,CsrA,ModE,Fnr,CueR
abx_mega__dmso-7__1,-0.2506102226,-2.0506624982,0.5456820485,0.0944210472,-0.5594196312
abx_mega__naoh-6__3,0.4296291907,0.1420463075,0.6007059065,0.2067024995,0.4057825981
abx_mega__phos_ethanol__2,0.6661133198,-1.7650686731,0.44414627030000003,0.5219782296000001,-0.5412688663
abx_mega__metro_dmso__3,2.3311855946,0.0781532944,0.6060512374,0.5121052174,0.4605028043
abx_mega__van_dmso__4,-4.8616663187,0.5053338117,-0.1306306904,0.28659288180000003,0.6587495318000001
abx_mega__h2o-10__1,1.7859314566000002,-3.048055524,0.37797055360000004,0.2130377387,-1.5373690118
abx_mega__h2o-10__2,3.5809365749,-3.1955088939,0.5333886878,0.1522575818,-1.3367725877
abx_mega__dmso-6__3,0.8078514805,0.7234812636,0.7167790890000001,-0.35454569550000004,0.8889808191
abx_mega__mem_dmso__1,-0.0357713154,-3.4239683756,0.0896397323,-0.3062884087,-1.2399372107
abx_mega__ethanol-8__2,0.5247832238,-0.8149604989,0.6365125064,-0.0252304237,0.802671369
abx_mega__chl_h2o__4,-8.8550308042,-4.594029162,-0.47395596830000003,0.7271274121,-2.0278761643
abx_mega__van_h2o__1,-1.4207779237,-0.0800488214,-0.44728802240000004,-0.903332961,-0.5327700465
abx_mega__dcs_h2o__1,0.3830518852,-3.1003748376,0.6501941196000001,0.6936041281,-1.2523872472
abx_mega__rif_dmso__5,-0.0889740685,0.2040838114,-0.3494389364,-0.7666040526,0.6826001126
abx_mega__dox_dmso__3,1.1552854211,-1.0399235803,-0.22315787650000002,0.2468405504,-0.155296091
abx_mega__mem_dmso__2,-0.08972994120000001,-0.7584805366,0.0760532049,-0.4892115863,-0.08740493910000001
abx_mega__lvx_dmso__2,-0.34117499970000004,-0.0097427347,0.0520037584,-0.129152751,-0.39337206100000005
abx_mega__tet_h2o__2,-7.2572267124,-2.7274108185,-0.0655653623,0.2983443387,-0.6734394771000001
abx_mega__phos_h2o__5,1.0583960711,-1.3968884907999999,1.5679871246000001,0.12871355610000002,0.8768391665
abx_mega__monac_dmso__1,-4.2788318461,-2.0583579205,0.245604595,1.4088048351,0.6548373469000001
abx_mega__str_h2o__3,1.1663964199,-4.19630865,0.3722676616,0.08708125080000001,-1.5206618138999999
abx_mega__zeocin_h2o__2,-2.6787810245,-1.9247256216,1.3668967931,-0.42460153910000004,1.6505237117
abx_mega__amyc-d_dmso__7,-9.6121364648,-0.5602776191000001,0.2720448583,0.9037219768,0.6534124158
abx_mega__fidax_dmso__1,1.5525625875,-1.6998877594000001,0.35148037930000003,0.35278275610000004,-0.6582297495
abx_mega__h2o-1a__1,-0.19749347180000001,0.0678342447,-0.1224246742,-0.1301828894,0.101154481
abx_mega__dox_dmso__4,0.8580875049000001,-0.0415541331,0.6942297686000001,0.1499766492,0.8261136722
abx_mega__lzd_dmso__2,-6.22804237,-1.6794803175,-0.018163912600000002,0.8640746426,-0.5979459997000001
abx_mega__tet_h2o__3,-4.4852208009,-1.0246713688,-0.6644419228,-0.014793680600000001,-1.1863662801000001
abx_mega__dmso-1__2,0.6998153323,-0.0829185416,0.0224810038,-0.0468660871,-0.3020102088
abx_mega__sxt_dmso__2,3.1248720948,-0.5035205635000001,-0.13211430570000002,0.1322961821,-0.1953779967
abx_mega__tric_ethanol__2,-2.5901660838,-0.529254333,0.5959873429,0.619159111,0.40285321560000004
abx_mega__teix_dmso__8,1.7995890936,-1.0342796165,-0.11172140800000001,-0.0780351353,-0.9474213314000001
abx_mega__ramo_h2o__2,-1.7999464884,-2.4736093098,-0.0485226667,-0.5733023752,-1.2859716363
abx_mega__inh_h2o__3,0.7526484346000001,-2.2494567795,0.6583367789,0.3346755523,-1.1461262327
abx_mega__cst_h2o__3,0.2666985283,-0.6615425231000001,0.014076712000000002,0.6157335293,-0.2587005748
abx_mega__dmso-9__1,-0.7196486596,-0.5388959363,0.0037722519,-0.029816820400000003,-0.0602354405
abx_mega__ethanol-8__3,1.9985701040000001,-0.8385475314,0.8503323787,-0.1057688244,0.3358685259
abx_mega__monac_dmso__2,-5.0386056281,-2.2344822172,0.065041547,1.4863412037,0.7839778030000001
abx_mega__dmso-9__2,-0.5620432904,-0.2287619046,0.2650919239,-0.0200467158,-0.2043299248
abx_mega__metro_dmso__4,0.32654332680000003,0.29012194150000004,0.6542792861000001,0.6682181821000001,0.2367887477
abx_mega__ctx_h2o__4,0.13914272460000002,-3.0105420969,0.1830482467,0.1093383753,-1.156875303
abx_mega__zeocin_h2o__3,-1.841373033,-1.8723785933000001,1.309509501,-0.42024945410000003,1.3356772607
abx_mega__bacit_h2o__5,-4.5901714462,-0.385367577,0.025603130300000002,-1.0686406259,0.4719564701
abx_mega__reta_dmso__1,-2.2241477942,-0.8253310044000001,-0.5667330539000001,0.2624442987,-0.5171168034
