,A,FadR
rpoB__wt_lb__1,-7.4784871636,-0.31790661000000003
rpoB__wt_lb__2,-6.5061523107,-0.09423901300000001
rpoB__rpoBE546V_031__1,-4.1950714212,0.348116183
rpoB__rpoBE546V_044__1,-4.2972995675,0.178376376
rpoB__rpoBE546V_lb__1,-4.8114748832,0.174539454
rpoB__rpoBE546V_lb__2,-4.4293610971,0.05669335700000001
rpoB__rpoBE546V_glc__1,2.2929482849,0.172624838
rpoB__rpoBE672K_glc__1,0.9263283624,0.578570311
rpoB__rpoBE672K_glc__2,0.9115470563,0.704921314
rpoB__rpoBE672K_lb__1,-1.4659805246,-0.40818058
rpoB__rpoBE672K_lb__2,-0.5920144980000001,-0.312899139
crp__wt_fru__1,-2.6090592309,0.427007903
crp__wt_glyc__1,-3.6407052173,0.35049939300000005
crp__wt_glyc__2,-3.227982509,0.47367155200000005
crp__delar1_glyc__1,1.0400391816,-0.240500704
crp__delar1_glyc__2,2.7181375432,-0.092375361
crp__delar1ar2_glyc__1,-0.7291020235,-0.026238440000000002
crp__delar1ar2_glyc__2,-0.6020169099,-0.23375383400000002
crp__delar1ar2_glyc__3,-0.8268991838,-0.19067904300000002
crp__delar2_glyc__1,2.0151189963,0.60886726
crp__delar2_glyc__2,2.0162648714,0.516500665
crp__delar2_glyc__3,2.0435990196,0.5520385910000001
crp__delcrp_fru__1,-1.4721045481,-0.256022436
crp__delcrp_fru__2,-1.7103521232999999,-0.337350256
crp__delcrp_fru__3,-1.2553177706,-0.25332617500000004
crp__delcrp_glc__1,-1.9331910827,-0.28721250800000003
crp__delcrp_glc__2,-1.2539870037,-0.22137483200000002
crp__delcrp_glc__3,-2.0534738313,-0.33715569100000004
crp__delcrp_glyc__1,-0.0308699376,-0.22419190400000003
crp__delcrp_glyc__2,0.0370592885,-0.31839991
crp__delcrp_glyc__3,0.3301707669,-0.349282815
glu__glu_ale3__1,2.8116885397,-0.191344018
glu__glu_ale4__1,2.2099228706,-0.12099008500000001
glu__glu_ale5__1,0.8363317734,-0.01534978
glu__glu_ale6__1,1.1909152702,-0.17728422800000002
glu__glu_ale8__1,4.4188893789,-0.178678534
glu__glu_ale9__1,2.700907062,0.179581664
glu__glu_ale10__1,4.1042195998,-0.258711431
42c__wt_42c__1,0.9151796933,-0.11306579200000001
42c__42c_ale1__1,4.2192526793,0.520870093
42c__42c_ale2__1,3.962219192,-0.12255716700000001
42c__42c_ale3__1,3.3586093565,-0.31704750400000004
42c__42c_ale4__1,3.823704736,-0.34485403000000003
42c__42c_ale5__1,3.5062502354,-0.358678733
42c__42c_ale6__1,3.9765293504,0.165516253
42c__42c_ale8__1,4.155792621,0.059964909000000004
42c__42c_ale9__1,1.8004135695999999,-0.203263677
42c__42c_ale10__1,4.3922366859,0.11062208100000001
ssw__wt_ac__1,-3.183328289,-0.238738369
ssw__wt_glc__1,1.0176987727,-0.534888471
ssw__wt_glyc__1,2.0278358477,0.907799337
ssw__wt_xyl__1,3.1361858656,0.9810431310000001
ssw__glc_ale1__1,3.0191207576,0.0036014280000000003
ssw__glc_ale2__1,5.9689711003,0.15005205600000002
ssw__glc_ale3__1,5.3187461079,1.028387928
ssw__glyc_ale1__1,4.2089038608,0.00021790200000000002
ssw__glyc_ale2__1,5.7092551067,0.873891382
ssw__xyl_ale1__1,3.2530402122,0.30257943800000003
ssw__xyl_ale2__1,3.1264640097,0.626141943
ssw__xyl_ale3__1,3.0202923249999998,-0.251928518
ssw__glc_ac_ac2__1,4.9482297622,0.38817135
ssw__glc_ac_glc1__1,5.5607548721,0.21545571200000002
ssw__glc_glyc_glc__1,3.1640066514,-0.323872851
ssw__glc_glyc_glyc__1,3.4684685935,0.244736578
ssw__glc_xyl_glc__1,6.1547744426,0.023550295000000002
ssw__glc_xyl_xyl__1,4.0404760706,-0.045082011000000005
ica__wt_glc__1,2.1528696935,-0.295591196
ica__wt_glc__2,2.4355209062,-0.23073332300000002
ica__wt_glc__3,3.1704451009,-0.24835348000000002
ica__wt_glc__4,3.9921736854,-0.13233857400000001
ica__arg_sbt__1,-2.5611637480000002,-0.317663554
ica__arg_sbt__2,-2.3385148055,0.046632086
ica__cytd_rib__1,-7.2590070328,-0.09554382500000001
ica__cytd_rib__2,-7.6181262694,-0.10395525800000001
ica__gth__1,-0.9080368564,-1.061991205
ica__gth__2,-0.8348527788000001,-1.228191061
ica__leu_glcr__1,0.7390132427,0.12634884100000002
ica__leu_glcr__2,1.1324684459,0.217562906
ica__met_glc__1,1.7451116015,-0.346957191
ica__met_glc__2,2.2862827491,-0.17104099
ica__no3_anaero__1,6.1234307863,-0.15893394700000002
ica__no3_anaero__2,5.8108536090000005,-0.09516664500000001
ica__phe_acgam__1,2.2107252764,-0.208288372
ica__phe_acgam__2,2.5248490785,-0.128900352
ica__thm_gal__1,-2.8870803755,-0.033523252
ica__thm_gal__2,-3.8095438127,-0.069328285
ica__tyr_glcn__1,3.2185786311,-0.39308251200000005
ica__tyr_glcn__2,3.5880567661000002,-0.19483366900000001
ica__ura_pyr__1,1.0984397077,-0.050189199999999996
ica__ura_pyr__2,-0.1001122587,0.12431349800000001
ica__wt_glc__5,4.6926056276,-0.17036230700000002
ica__wt_glc__6,4.1618585019,-0.2550347
ica__bw_delpurR_cytd__1,5.0524435267,-0.234915222
ica__bw_delpurR_cytd__2,5.3936663324000005,0.19559777
ica__ade_glc__1,5.6610309417,0.237068617
ica__ade_glc__2,6.1774503372,-0.185089211
ytf__wt_glc__1,1.5188509691,-0.47989136600000004
ytf__wt_glc__2,2.2294005604000002,-0.5448856950000001
ytf__delyafC__1,4.7885768386,-0.217445152
ytf__delyafC__2,4.1377440349,-0.378160099
ytf__delyeiE__1,4.9256256277,0.07718052900000001
ytf__delyeiE__2,4.7078451179,-0.07649403
ytf__delyiaJ__1,4.6586940647,-0.332769977
ytf__delyiaJ__2,4.1557014184,-0.19996760800000002
ytf__delyieP__1,4.8044451948999995,-0.010728812
ytf__delyieP__2,4.4164999779,-0.23065423100000002
ytf__wt_ph5__1,1.7021435347,-0.22245782
ytf__wt_ph5__2,1.6144549658,-0.30847207
ytf__wt_ph8__1,0.7479610576,-0.345066635
ytf__wt_ph8__2,0.6880450355000001,-0.239135228
ytf__delybaO__1,4.0481546709,-0.179949612
ytf__delybaO__2,4.4950148918,-0.06821347400000001
ytf__delybaQ__1,1.1061003261,-0.26248962400000003
ytf__delybaQ__2,1.0114653168,-0.27368066700000004
ytf__delybiH__1,1.9493187238,-0.459901928
ytf__delybiH__2,4.050521982,-0.337952853
ytf__delydcI_ph5__1,1.8327423346,-0.422134422
ytf__delydcI_ph5__2,1.6984520186,-0.353393607
ytf__delydcI_ph8__1,1.3983160103,-0.40673396
ytf__delydcI_ph8__2,0.7987280331000001,-0.196579168
ytf__delyddM__1,0.9414796197,-0.159668842
ytf__delyddM__2,0.47749079720000004,-0.125538866
ytf__delyheO__1,3.8759705358,-0.272001869
ytf__delyheO__2,4.0985169924000004,-0.204481605
fps__bw_glc__1,1.0382276526,0.268001367
fps__bw_glc__2,1.1805434773,0.107850866
fps__fps_thrA_ale1__1,0.9098680095,0.299287742
fps__fps_thrA_ale1__2,0.49962127630000003,0.055350126000000006
fps__fps_thrA_ale2__1,1.6119790631000002,0.161028196
fps__fps_thrA_ale2__2,0.9512224534,0.15709608700000002
fps__fps_serB_ale1__1,0.2522863966,0.094686295
fps__fps_serB_ale1__2,-0.606885411,0.046621811000000006
fps__fps_serB_ale4__1,-0.1751371459,0.185385716
fps__fps_serB_ale4__2,-0.6892348082,0.305924742
fps__fps_ptsI_ale1__1,-3.402357862,0.19729758600000002
fps__fps_ptsI_ale1__2,-3.3041018178,0.150262538
fps__fps_ptsI_ale3__1,-1.4173396489,0.088181571
fps__fps_ptsI_ale3__2,-1.7159235207,0.038467753
pal__lyx_ale2_f6__1,-5.8241896327,0.456409704
pal__lyx_ale2__1,-4.5399870073,0.39151668500000003
pal__lyx_ale2__2,-5.0460413639,0.2999711
pal__lyx_ale4__1,-1.6764567988999999,0.19977603
pal__lyx_ale4__2,-2.7699026046,0.10411110100000001
pal__5drib_ale10_f18__1,-6.3457107548,-0.02289936
pal__5drib_ale10_f18__2,-6.1225117116,0.113198355
pal__5drib_ale10__1,-6.0386155175,0.409215205
pal__arab_ale14_f9__1,-0.8298629098,-0.08287921200000001
pal__arab_ale14_f9__2,-2.0621029419,-0.19542357800000001
pal__arab_ale14__1,-1.5430424293,-0.223389588
pal__arab_ale14__2,-2.4850075135000003,-0.101914684
pal__arab_ale16__1,-1.3470396953,0.039219731
pal__arab_ale16__2,-1.2972929072000001,-0.198533645
pal__tartr_ale26_f10__1,-3.1523223679,0.10651914800000001
pal__tartr_ale26_f10__2,-3.8772354306,0.360190773
pal__tartr_ale26__1,-3.0971464439,0.11094177200000001
pal__tartr_ale26__2,-3.5262136393,0.098047308
pal__tartr_ale28_f10__1,-6.691795095,-0.289908858
pal__tartr_ale28_f10__2,-5.510337339,0.10377642000000001
pal__tartr_ale28__1,-3.0227844906,0.102604284
pal__tartr_ale28__2,-2.1472747012,0.063348607
efeU__delmenFentC_citr__1,1.0934188383,-0.514024614
efeU__delmenFentC_citr__2,0.7267209941,-0.38815738
efeU__delmenFentC__1,1.3708406038,-0.37338451100000003
efeU__delmenFentC__2,1.2911303355000001,-0.172525017
efeU__menFentC_ale39__1,3.4907561914,0.096475562
efeU__menFentC_ale39__2,3.4482546655,0.135654629
efeU__menFentC_ale29__1,4.4127333909,-0.171242094
efeU__menFentC_ale29__2,4.3275379556,-0.059719408
efeU__menFentC_ale30__1,3.6186277016,-0.055500135000000006
efeU__menFentC_ale30__2,4.3025690881,-0.040861089
efeU__menFentCubiC_ale36__1,3.0465493604,-0.060055163
efeU__menFentCubiC_ale36__2,3.3561281869,-0.065182402
efeU__menFentCubiC_ale37__1,3.1546922602,-0.18626830100000002
efeU__menFentCubiC_ale37__2,3.3180454933,-0.015138786000000001
efeU__menFentCubiC_ale38__1,5.6782144628,-0.31049692700000003
efeU__menFentCubiC_ale38__2,6.0012149711,-0.217553993
misc2__salc_glc__1,3.1669255158,-0.40728580400000003
misc2__salc_glc__2,2.9875520352000002,-0.27683149900000004
misc2__dbcn_glc__1,1.7608365663,-0.306224192
misc2__dbcn_glc__2,0.7637537757,-0.904790818
misc2__tyr_glc__1,4.2109372834,-0.08098609600000001
misc2__tyr_glc__2,4.1369247467,-0.067424487
misc2__arg_cytd__1,5.5200040542,-0.24599905200000002
misc2__arg_cytd__2,4.9201742,-0.212534627
misc2__delyheO_pyr__1,-1.0514234918,-0.212857079
misc2__delyheO_pyr__2,-2.1276295868,-0.093988394
nquinone__delubiC__1,5.5764597713,-0.26421340400000004
nquinone__delubiC__2,6.5048852225000005,-0.167313558
nquinone__ubiC_ale1__1,2.064210342,-0.245666498
nquinone__ubiC_ale1__2,1.8701405843,-0.156052819
nquinone__ubiC_ale2__1,3.739058878,-0.347144084
nquinone__ubiC_ale2__2,3.1922947348,-0.39102224500000005
nquinone__ubiC_ale3__1,4.3881053829,-0.366755502
nquinone__ubiC_ale3__2,4.3061153842,-0.351364155
nquinone__ubiC_ale4__1,3.8737389081,-0.346645397
nquinone__ubiC_ale4__2,3.3232474276,-0.411827632
nquinone__delpdhR__1,3.1731267901,-0.34173268100000004
nquinone__delpdhR__2,3.9698563466000003,-0.304407343
quinone__glu_ale4__1,3.8962092032,-0.254034989
quinone__glu_ale4__2,5.9675173756,-0.279237979
quinone__delmenF__1,0.5030605406,-0.374306642
quinone__delmenF__2,1.0440067204,-0.44052287
quinone__menF_ale5__1,2.6035344890000003,0.050405734
quinone__menF_ale5__2,2.6127593699,-0.138367432
quinone__menF_ale6__1,3.3282163553,0.062734416
quinone__menF_ale6__2,3.5958154691,0.11433567400000001
quinone__menF_ale7__1,2.8448307265,0.178306715
quinone__menF_ale7__2,3.0431876819,0.231927937
quinone__menF_ale8__1,4.7682017887,0.397084584
quinone__menF_ale8__2,4.6554096875,0.36252608000000003
quinone__delmenFubiC__1,3.0519348382,-0.339071453
quinone__delmenFubiC__2,3.295197346,-0.310585062
quinone__menFubiC_ale1__1,4.4312399151,0.052300415
quinone__menFubiC_ale1__2,4.2883626653,0.076347444
quinone__menFubiC_ale2__1,3.859322655,-0.06013343
quinone__menFubiC_ale2__2,3.8616708043,-0.016446818000000002
quinone__menFubiC_ale3__1,4.2909221961,-0.198992935
quinone__menFubiC_ale3__2,3.5852165933,-0.09684183
quinone__menFubiC_ale4__1,3.8790719747,-0.163826318
quinone__menFubiC_ale4__2,4.5386853043,-0.174732309
oxyR__wt_glc__1,4.7242905886,-0.336824976
oxyR__wt_glc__2,3.6619886224,-0.30198336200000003
oxyR__wt_h2o2__1,4.0116045692,-0.41339437100000004
oxyR__wt_h2o2__2,2.9808224772000003,-0.43644094200000005
oxyR__glu_ale4__1,5.4087254429,-0.008184394000000001
oxyR__glu_ale4__2,6.4027294345,-0.14499435600000002
oxyR__glu_ale4_h2o2__1,5.6158143349,-0.119548653
oxyR__glu_ale4_h2o2__2,5.8234740391,-0.070197535
oxyR__oxyR_ale17__1,6.4498837871,-0.030835697000000002
oxyR__oxyR_ale17__2,6.1356627956,-0.34215639200000003
oxyR__oxyR_ale17_h2o2__1,6.9584230572,-0.07223085900000001
oxyR__oxyR_ale17_h2o2__2,5.2997180344,0.003473888
oxyR__oxyR_ale18__1,5.7110996135,-0.601884596
oxyR__oxyR_ale18__2,4.7192437252,-0.39492702900000004
oxyR__oxyR_ale18_h2o2__1,6.9006428873,-0.329541756
oxyR__oxyR_ale18_h2o2__2,6.5462541605,-0.209300059
oxyR__oxyR_ale19__1,6.446219474,-0.491728781
oxyR__oxyR_ale19__2,6.2589145964,-0.46733034100000004
oxyR__oxyR_ale19_h2o2__1,5.2628715447,-0.404708618
oxyR__oxyR_ale19_h2o2__2,5.774416803,-0.48472316
oxyR__oxyR_ale20__1,6.0361118931,-0.335077813
oxyR__oxyR_ale20__2,5.9261477436,-0.36019335300000005
oxyR__oxyR_ale20_h2o2__1,6.6759813846,-0.28588656300000004
oxyR__oxyR_ale20_h2o2__2,6.3048657904,-0.326823933
svns_pgi__BmePgi24_15__1,1.9071509538,-0.32696192900000004
svns_pgi__BmePgi24_15__2,1.6366820506000002,-0.267102116
svns_pgi__BmePgi24_26__1,3.101393558,-0.12597481100000002
svns_pgi__BmePgi24_26__2,3.0487718109,-0.09067785
svns_pgi__BmePgi24_41__1,1.8609251547,-0.09722937400000001
svns_pgi__BmePgi24_41__2,2.4696936782,-0.16095825900000002
svns_pgi__BmePgi24_52__1,2.7957738618,-0.288031745
svns_pgi__BmePgi24_52__2,2.0733180933,-0.24337574
svns_pgi__PaePgi2_34__1,-0.6255445161000001,-0.26687109800000003
svns_pgi__PaePgi2_34__2,-0.3111885286,-0.08221803300000001
svns_pgi__PaePgi2_63__1,0.1788298522,0.040846869
svns_pgi__PaePgi2_63__2,0.4902057187,0.19901084800000002
svns_pgi__PaePgi24_54__1,0.5982613626000001,-0.272809321
svns_pgi__PaePgi24_54__2,1.7365970810000002,-0.054142676
svns_pgi__PaePgi24_90__1,2.1779994742,0.061553135
svns_pgi__PaePgi24_90__2,2.7006694816,0.29877668
abx_media__m9_ctrl__1,1.6542141483,0.103802294
abx_media__m9_ctrl__2,1.7355703787999999,0.11111538
abx_media__rpmi_ctrl__1,7.2780483105,0.277814461
abx_media__rpmi_ctrl__2,4.6262213246,0.15244501
abx_media__camhb_ctrl__1,5.2253238039,0.10645270700000001
abx_media__camhb_ctrl__2,6.2394238741,-0.071209562
abx_media__m9_mero__1,3.7544401213,0.407932293
abx_media__m9_mero__2,2.5781843586,0.076581305
abx_media__rpmi_mero__1,5.5600379884,0.081336063
abx_media__rpmi_mero__2,5.9662126472,0.33490255
abx_media__camhb_mero__1,5.4791356135000004,-0.063975933
abx_media__camhb_mero__2,5.138618998,0.072685726
abx_media__m9_trisulf__1,2.8939358185,0.866678358
abx_media__m9_trisulf__2,2.4660522237,0.651288324
abx_media__rpmi_trisulf__1,5.5043176746,0.34455244300000004
abx_media__rpmi_trisulf__2,5.156644421,0.359489284
abx_media__camhb_trisulf__1,4.7190712439,0.878394251
abx_media__camhb_trisulf__2,4.4059313527,0.8054005860000001
abx_media__m9_cef__1,3.0255644472,0.35153931800000005
abx_media__m9_cef__2,2.86863236,0.27013532700000004
abx_media__rpmi_cef__1,3.7502984984000003,-0.0075600020000000006
abx_media__rpmi_cef__2,3.6479103171,-0.048339190000000004
abx_media__camhb_cef__1,5.0379323173,0.087747747
abx_media__camhb_cef__2,4.9357119338,0.208395711
abx_media__m9_cipro__1,1.3980943884,0.248818428
abx_media__m9_cipro__2,1.8444101302,0.21503524300000001
abx_media__rpmi_cipro__1,5.1902714783,-0.031474068
abx_media__rpmi_cipro__2,5.7068844199,0.157192684
abx_media__camhb_cipro__1,6.6800566701,0.33576104
abx_media__camhb_cipro__2,6.2814238384,0.38673655300000004
hot_tale__42c_ale3_30c__1,5.3808493195,0.19589798500000002
hot_tale__42c_ale3_30c__2,5.3395177752,0.281562872
hot_tale__42c_ale3_37c__1,5.9283824941,-0.068110314
hot_tale__42c_ale3_37c__2,5.7794604412,-0.18519026400000002
hot_tale__42c_ale3_44c__1,3.6049600657000003,-0.084732843
hot_tale__42c_ale3_44c__2,3.7546226768,-0.023990037000000002
hot_tale__hot_ale3_mid_30c__1,3.8365711861,0.175085335
hot_tale__hot_ale3_mid_30c__2,3.4190445599,0.229474103
hot_tale__hot_ale3_mid_37c__1,4.4984408569,0.0024167380000000003
hot_tale__hot_ale3_mid_37c__2,5.2919312388,0.066434062
hot_tale__hot_ale3_mid_44c__1,6.2227006444,-0.533970343
hot_tale__hot_ale3_mid_44c__2,5.5688395939,0.08347868700000001
hot_tale__hot_ale3_30c__1,3.2908599873,0.147654478
hot_tale__hot_ale3_30c__2,4.3395619851,0.16776769100000002
hot_tale__hot_ale3_37c__1,4.5448562599999995,-0.256934031
hot_tale__hot_ale3_37c__2,4.7768507999,-0.32157455900000004
hot_tale__hot_ale3_44c__1,6.0860866146,-0.15939414200000002
hot_tale__hot_ale3_44c__2,4.2906298675,-0.367064225
hot_tale__hot_ale4_30c__1,5.7498940844,0.16319956700000002
hot_tale__hot_ale4_30c__2,6.3919845566,0.17845101700000002
hot_tale__hot_ale4_37c__1,6.2008555999,0.00071805
hot_tale__hot_ale4_37c__2,5.6403358601,0.01371209
hot_tale__hot_ale4_44c__1,5.4803062315,0.211155162
hot_tale__hot_ale4_44c__2,5.9408652004,0.09784062900000001
hot_tale__hot_ale8_30c__1,4.1965868611,-0.072839413
hot_tale__hot_ale8_30c__2,4.937129506,0.16713222600000002
hot_tale__hot_ale8_37c__1,6.1738101707,-0.142633218
hot_tale__hot_ale8_37c__2,6.0430521614,-0.123872248
hot_tale__hot_ale8_44c__1,4.6166176528000005,-0.068671809
hot_tale__hot_ale8_44c__2,4.682046907,0.020191899000000003
hot_tale__hot_ale9_mid_30c__1,5.5021077589,0.32053994700000005
hot_tale__hot_ale9_mid_30c__2,5.8929418471,0.165757695
hot_tale__hot_ale9_30c__1,4.1498569067,0.188369121
hot_tale__hot_ale9_30c__2,4.7079866966,0.1898616
hot_tale__hot_ale9_mid_37c__1,6.6145964086,0.037280992
hot_tale__hot_ale9_mid_37c__2,6.8474161833,0.011688587
hot_tale__hot_ale9_37c__1,5.5860201659,-0.027877467000000003
hot_tale__hot_ale9_37c__2,5.8469902766,-0.067900391
hot_tale__hot_ale9_mid_44c__1,5.5035749411,0.503737945
hot_tale__hot_ale9_mid_44c__2,4.7401521026,0.032201356
hot_tale__hot_ale9_44c__1,3.5426269673,0.226016822
hot_tale__hot_ale9_44c__2,3.9673324434,-0.061782908000000004
hot_tale__hot_ale10_30c__1,4.7619625678,0.267994078
hot_tale__hot_ale10_30c__2,5.2544955422,0.19770177500000002
hot_tale__hot_ale10_37c__1,6.3529697939,-0.164577889
hot_tale__hot_ale10_37c__2,6.5089694305,-0.029863618
hot_tale__hot_ale10_44c__1,5.4167729376,0.142749595
hot_tale__hot_ale10_44c__2,5.4679160557,0.19087630300000002
hot_tale__hot_ale16_30c__1,5.9278048897,0.041684014000000005
hot_tale__hot_ale16_30c__2,5.2881413423,0.105215268
hot_tale__hot_ale16_37c__1,6.9324586895,-0.09427173600000001
hot_tale__hot_ale16_37c__2,6.8822995345999995,-0.082706716
hot_tale__hot_ale16_44c__1,5.5944254046,0.199115643
hot_tale__hot_ale16_44c__2,5.5896108948,0.372631822
pdhr_ale__pdhR-13_51__1,6.2266468093,-0.47982083700000006
pdhr_ale__pdhR-13_51__2,7.0620370675,-0.568002499
pdhr_ale__pdhR-14_46__1,2.7271504472,-0.765285289
pdhr_ale__pdhR-14_46__2,2.3371965314,-0.76047712
pdhr_ale__pdhR-15_51__1,6.899756099,-0.528031347
pdhr_ale__pdhR-15_51__2,6.6273328419,-0.55618646
pdhr_ale__pdhR-16_49__1,5.6826666724,-0.515909912
pdhr_ale__pdhR-16_49__2,3.9376275566,-0.9326805720000001
tcs__del_atoC_LiAcet__1,4.602292847,0.524340168
tcs__del_atoC_LiAcet__2,4.0382449992,0.500555706
tcs__del_atoC_LiCl__1,4.1996838425,0.334821182
tcs__del_atoC_LiCl__2,4.6091807186,0.420438568
tcs__del_atoC_m9__1,4.8468836428,0.44615527600000005
tcs__del_atoC_m9__2,4.8433175445,0.568174266
tcs__del_baeR_etoh__1,3.5393077165999998,-0.37838643400000005
tcs__del_baeR_etoh__2,2.6853856288999998,-0.36588205300000004
tcs__del_baeR_lb__1,1.8109438286000001,-0.8478993930000001
tcs__del_baeR_lb__2,1.8989710576,-0.7534972090000001
tcs__del_btsR_01xlb__1,-5.5504505479,-0.6356861460000001
tcs__del_btsR_01xlb__2,-5.5154447303000005,-0.616624672
tcs__del_btsR_lb__1,5.7142538919,0.5739484450000001
tcs__del_btsR_lb__2,6.6877200379,0.471939015
tcs__del_btsR_pyruvate__1,-5.7465979429,-0.702525566
tcs__del_btsR_pyruvate__2,-5.3030873225,-0.652879471
tcs__del_cpxR_etoh__1,3.6692833115,-0.255368832
tcs__del_cpxR_etoh__2,3.7397534937,-0.154500307
tcs__del_cpxR_lb__1,2.1239657963,-0.461386302
tcs__del_cpxR_lb__2,2.5219782331,-0.6432151220000001
tcs__del_cusR_CuSO4__1,4.0062854871,-1.189845559
