,A,HexR
Aromatic:Ferulate:3.0,-11.259859095994068,-0.3752047323333327
Aromatic:Glucose:1.0,0.2404119990609011,0.1290492976666675
Aromatic:Glucose:2.0,-0.4706595867301492,-0.2116790783333328
Aromatic:Glucose:3.0,0.2302475873052837,0.0826297806666671
Bioreactor1:24h:1.0,-0.5511733936394573,-0.3144051800000005
Bioreactor1:24h:2.0,0.551173393318471,0.3144051799999996
Bioreactor2:S_0min:1.0,-0.3740493505556591,0.194530215666667
Bioreactor2:S_15min:1.0,1.5120997691457043,0.132704252666667
Bioreactor2:P1_15min:1.0,0.9484444165814112,-0.1254428393333331
Bioreactor2:P3_15min:1.0,1.077041201885062,0.178507061666667
Bioreactor2:P5_15min:1.0,0.8272865159450882,-0.127267991333333
Bioreactor2:S_1h:1.0,1.421043943081638,0.0384055096666671
Bioreactor2:S_3h:1.0,1.359688252784753,0.1665856896666668
Bioreactor2:S_9h:1.0,0.8798147044308914,0.4286832546666672
Bioreactor2:S_25h:1.0,1.2398967067461684,-0.0024577643333327
Bioreactor2:P1_25h:1.0,0.6036333838130205,0.2748395786666671
Bioreactor2:P3_25h:1.0,1.2987225437256584,-0.103009810333333
Bioreactor2:P5_25h:1.0,2.1324402390062835,-0.4161317783333329
Bioreactor2:S_0min:2.0,0.6694670463828462,-0.1840400533333328
Bioreactor2:S_15min:2.0,1.3032975981031816,0.2791679896666674
Bioreactor2:P1_15min:2.0,0.6962765989977985,0.1409344446666671
Bioreactor2:P3_15min:2.0,1.2840764374385938,0.4649626496666674
Bioreactor2:P5_15min:2.0,0.9500663157674752,-0.130052924333333
Bioreactor2:S_1h:2.0,0.4141110508764861,0.2150850496666669
Bioreactor2:S_3h:2.0,1.0762288500342625,0.4620747536666667
Bioreactor2:S_9h:2.0,1.6324931327929704,0.414025185666667
Bioreactor2:S_25h:2.0,1.4644777155300164,0.2351083096666673
Bioreactor2:P1_25h:2.0,0.8585211033997417,0.035182307666667
Bioreactor2:P3_25h:2.0,0.6156918647487726,0.007164450666667
Bioreactor2:P5_25h:2.0,1.4376179687429795,-0.6856633533333332
Bioreactor2:S_0min:3.0,-0.2954176963186094,-0.0104901623333328
Bioreactor2:S_15min:3.0,0.8812283067642468,0.091250159666667
Bioreactor2:P1_15min:3.0,-0.1826229483404397,0.0520875636666668
Bioreactor2:P3_15min:3.0,1.7966786698796988,-0.3598046743333332
Bioreactor2:P5_15min:3.0,0.7730798990137495,-0.1681548263333327
Bioreactor2:S_1h:3.0,1.879639877587664,-0.1788165053333328
Bioreactor2:S_3h:3.0,1.5164712867549557,0.0362829206666668
Bioreactor2:S_9h:3.0,1.389117869926526,-0.1583479823333329
Bioreactor2:S_25h:3.0,0.4042270801036757,0.149776281666667
Bioreactor2:P1_25h:3.0,1.5352373590311432,0.1745914486666668
Bioreactor2:P3_25h:3.0,0.7572450698959414,-0.0811850433333329
Bioreactor2:P5_25h:3.0,0.483087734513842,-0.4856519443333331
Carbon:Citrate:1.0,-10.936231859397688,0.2375480680000006
Carbon:Citrate:2.0,-9.501957105309565,0.871715934
Carbon:Citrate:3.0,-12.758930130911112,-0.3181494279999999
Carbon:Ferulate:1.0,-16.773587273260237,-0.3357988389999997
Carbon:Ferulate:2.0,-16.87004156354179,-0.2680486789999996
Carbon:Ferulate:3.0,-16.882556095738227,-0.1892643389999992
Carbon:Glucose:1.0,-0.485636496365686,-0.2383261969999992
