,A,SigB
Glucon_2,-1.2571795893,12.8
Glucon_3,3.2296144997,12.3846
aero_1,-13.9230020206,12.8236
aero_2,-10.725141736,12.3626
aero_3,-8.0729908015,13.2809
nit_1,-13.4529343411,12.0707
nit_2,-15.481141206,12.3549
nit_3,-12.5933895495,12.3002
ferm_1,-13.8854840863,11.7321
ferm_2,-12.5648861692,11.7519
ferm_3,-11.3410690092,12.4707
T-5.40H_1,-16.6983942999,12.993
T-4.40H_1,-16.122780206,12.8783
T-3.40H_1,-16.5122299188,12.5519
T-2.40H_1,-15.780118468,12.5796
T-1.40H_1,-14.4953607434,12.4167
T-1.10H_1,-13.8922461638,12.45
T-0.40H_1,-14.303080823,12.4747
T0.0H_1,-15.2456938955,12.5989
T0.30H_1,5.904300781,11.7677
T1.0H_1,-3.7650397111,11.0571
T1.30H_1,-3.891728155,10.5606
T2.0H_1,-4.5133915163000005,10.9521
T2.30H_1,-8.4506121571,11.9846
T3.0H_1,-8.3659505577,11.4666
T3.30H_1,-8.0208351228,12.0957
T4.0H_1,-7.9700455988000005,12.081
T5.0H_1,-4.8142402054,11.5708
HPh_1,-10.4445738165,12.7861
HPh_2,-9.3444773827,12.6841
HPh_3,-14.573127683,12.3213
LPh_1,11.327292939,14.4973
LPh_2,-14.0676213705,13.4334
LPh_3,-15.7949846069,12.6776
LPhT_1,21.0495151325,14.0094
LPhT_2,28.7764812292,14.5957
LPhT_3,23.8577270938,14.4791
SMMPr_1,-11.9354264498,12.4245
SMMPr_2,-11.8690434762,12.5353
SMMPr_3,-12.1475351167,12.6239
HiTm_1,27.8733847686,14.4925
HiTm_2,-0.2534939419,13.1682
HiTm_3,-0.7673541599,13.1236
LoTm_1,10.6076827506,14.600999999999999
LoTm_2,28.312592616,15.4394
LoTm_3,13.0348635589,14.6794
HiOs_1,-0.0347689947,13.3195
HiOs_2,0.6885959157,13.1521
HiOs_3,-2.36816879,13.026
BMM_1,-8.5199679825,12.5305
BMM_2,-6.0519756476,12.3949
BMM_3,10.6770317229,13.2444
Heat_1,25.135001912,15.1717
Heat_2,27.9986682647,15.0022
Heat_3,25.8492270906,14.7909
Cold_1,-17.6715903138,12.6987
Cold_2,-17.1532853856,12.0936
Cold_3,-14.2923297645,11.6768
Etha_1,50.3664666273,16.0207
Etha_2,44.6371506116,15.1711
Etha_3,48.698196091,15.8213
SMM_1,-12.2440351361,12.604
SMM_2,-12.3974868271,12.4638
SMM_3,-12.859663853,12.5034
Salt_1,44.721712879500004,16.1633
Salt_2,46.6096778838,15.8759
Salt_3,43.5445352394,15.6286
Mt0_1,-19.3733047621,12.6079
Mt0_3,-24.4614414179,12.3532
M0t45_1,-18.6474974783,12.7919
M0t45_2,-15.8798171631,12.7814
M0t45_3,-19.5953085699,12.9261
M0t90_1,-11.6147031627,11.285
M0t90_2,-14.0052552607,12.2597
M0t90_3,-13.6605644864,12.0528
M40t45_1,-16.7354136898,12.8694
M40t45_2,-9.9535386196,13.2826
M40t45_3,-21.2648430987,13.0111
M40t90_1,-12.4861706023,12.0001
M40t90_2,-13.2555825149,12.5339
M40t90_3,-14.0004705954,12.2998
dia0_1,-21.385989397,12.0466
dia0_2,-22.1337589866,12.378
dia0_3,-24.052814492,12.6922
dia5_1,-6.7710218016,12.9626
dia5_2,-13.5618345793,13.4332
dia5_3,-18.6447638939,12.9261
dia15_1,-12.9011039512,14.5056
dia15_2,-11.6008673708,14.1439
dia15_3,-14.0006379134,12.6556
Diami_1,-7.8074676461,13.5019
Diami_2,-5.1387832341,13.9372
Diami_3,-5.8981562605,13.6536
Paraq_1,-15.3694624377,12.6498
Paraq_2,-11.8776836392,13.0235
Paraq_3,-7.8467652814,11.5788
H2O2_1,-15.5116521802,13.4154
H2O2_2,-4.0022005716,14.0427
H2O2_3,-4.0742455129,14.0116
Oxctl_1,-11.5471486099,12.001
Oxctl_2,-8.4294526939,12.0415
Oxctl_3,-5.294293685,12.8917
GM-0.1_1,-3.1751827343,12.8334
GM-0.2_1,-3.5234026526,12.7961
GM+5_1,-0.0531225506,12.7518
GM+15_1,-5.6806843269,12.7732
GM+25_1,-8.0456370827,13.035
GM+45_1,-7.5879680251,12.8648
GM+60_1,-10.0368203566,12.6784
GM+90_1,-12.127352007,12.801
GM+120_1,-9.7187086272,11.7133
GM+150_1,-10.3689131407,12.11
GM-0.1_2,-1.91867589,13.368
GM-0.2_2,-1.6953508868,13.1503
GM+5_2,4.301482769,13.5503
GM+10_2,-0.3749588434,13.0916
GM+15_2,-4.106394865,12.4971
GM+25_2,-4.9438034552,12.7257
GM+45_2,-4.5719683905,12.0305
GM+60_2,-4.7888579548,11.672
GM+90_2,-11.1782127008,12.624
GM+150_2,-6.5260563491,11.9401
GM-0.1_3,-1.9243269992,13.0506
GM-0.2_3,-2.0884517241,13.1659
GM+5_3,2.5209364265,13.6533
GM+10_3,-1.8518247753,12.1848
GM+15_3,-2.6868762872,12.6445
GM+25_3,-3.6820407092,12.3089
GM+45_3,-2.2950349583,12.3602
GM+60_3,-4.0404869094,11.9217
GM+90_3,-9.456997789,12.2717
GM+120_3,-10.3974919815,12.0975
GM+150_3,-12.3072962353,12.4539
MG-0.1_1,0.24618254380000001,13.1313
MG+5_1,1.5306140625,13.1921
MG+10_1,0.6904756935,13.5761
MG+15_1,0.8215988717,12.8948
MG+25_1,-0.41350896,13.2806
MG+45_1,-5.4799425101,12.4936
MG+120_1,-8.8970757549,12.2843
MG+150_1,-14.0242408275,12.2903
MG-0.1_2,0.5491756209,12.1946
MG-0.2_2,0.044673912600000004,12.8556
MG+5_2,1.8399198586,13.2213
MG+10_2,1.8116783055,13.3706
MG+15_2,1.9736035667,14.0447
MG+25_2,0.7778857546,12.9809
MG+45_2,-3.1266508886,12.5107
MG+60_2,-5.5941918314,12.7594
MG+90_2,-8.250220389,12.4164
MG+120_2,-9.6302879219,12.9924
MG-0.1_3,-7.9555382887,13.226
MG-0.2_3,-6.82578161,12.5651
MG+5_3,-6.2033196393,12.6516
MG+10_3,-3.0343993364,12.1847
MG+15_3,-5.8172799711,13.1072
MG+25_3,-7.4949981302,13.0428
MG+45_3,-12.0728011677,13.4719
MG+60_3,-10.9952942998,12.7417
MG+90_3,-13.6999779989,12.7574
MG+120_3,-13.3784723385,12.4384
MG+150_3,-15.9635292127,11.9702
