,A,CadC,ArcA,Lrp,OmpR,gadE,GadX,hns
SRX5694331,-3.07835693,-0.032006011200000004,-0.2497476536,-0.3304220725,0.3092463119,0.1112741497,-0.08721752540000001,0.0793713315
SRX5694332,-3.9278013111,0.1950707464,-0.3739455369,-0.0316981053,0.0354806552,-0.3357663616,-0.5129801512000001,0.1558267021
SRX5694334,-1.5113443764999999,-1.1164831012,-0.4412101766,-0.6171215938,-0.0226364747,-2.1071603126,-1.6267876303,-0.16419339230000002
SRX5694335,-3.6158657928,1.353694006,-0.5310190811000001,0.6950883019,-0.445994702,1.0444189645,1.6576436654000002,0.3623619817
SRX5694336,-5.2270639445,-0.29916465880000004,-0.45421179570000003,-0.3530000016,-0.9692820163,-2.1319087211,-0.5827990094000001,2.0592240575
SRX5694337,-3.1743416236,-0.3691839321,-0.305938729,0.1148364345,0.0111998207,-1.6449659583,-1.7126764421,0.37091103740000003
SRX5694338,0.982941771,-0.337580311,-0.6137315737,-0.2500778275,0.1815884231,-0.2625667256,-1.4560920614000001,-0.6577122203
SRX5694339,-3.1271911923,-0.0095638353,-0.7445127357,-0.4613391028,-0.0038293603,0.5606130136,0.6265660686,-0.5185215767
SRX5694340,1.4655733341000001,0.0130692518,-0.440766099,-1.0513303845,0.15979272290000002,-0.2263059536,-1.203651768,-1.0589715228
SRX5694341,-7.9031387831,-1.5414037794,-0.1313631139,-0.7931882752,0.6779784473,-1.9675613194000001,0.0492532314,1.8291972353000001
SRX5694342,-1.3544996337000001,1.1905002808,0.2026076278,-0.1425223824,-0.0027039801,2.6569698135,1.4053386570000002,1.2003956974
SRX5694343,-2.4224612368000003,1.6338529326,-0.7345121231,0.006394704,-0.057831827200000005,2.4871426115,2.7270269393,-0.08934273300000001
SRX5694344,1.1208514465,0.7562644071,-0.33577681130000003,-0.3398703041,0.2395290558,2.4672997353,1.7210075158,0.6142965370000001
SRX5694345,-1.1004262102,-0.1726040074,-0.3764485198,-0.47042315490000003,-0.20133303330000002,-1.1728397895,-1.4782147131,0.260286065
SRX5694346,-1.6519484137,0.38781189650000003,-0.9055701749,-0.09956550460000001,0.0977400786,0.3833199228,-0.3767676439,0.16706967650000001
SRX5694347,0.079715699,0.37578835460000004,-0.7128745584,-0.2956049244,-0.1731119247,0.6959005214,-0.3000431813,0.1257857565
SRX5694348,1.7774651359,0.0402839003,-0.3365434024,-0.1173161499,0.1487678026,0.7176966884,-0.3829922609,-0.7342629081000001
SRX5694349,0.660671628,-0.2917284466,-0.9118016409,-0.6826879939,-0.1154322348,-0.2435831011,-1.5312679487,-1.0978060964
SRX5694350,0.5326107287,1.5237239566,-0.2723243866,0.8572120805000001,0.0499241028,1.7043420878000002,1.1626932107,-0.2585618173
SRX5694351,-4.4111346435,-0.1263274109,0.7195692725,-0.1312239978,0.970563084,0.0278922705,0.34066572310000004,1.1449067451000001
SRX5694352,3.9858965235,-0.8004226941,-0.7211493992,-0.054202918,0.2354784533,0.7114492885,-1.5200894457,-0.10031158700000001
SRX5694353,-1.1680612048,0.48343922920000004,-1.1035471096,-0.7687571366,-0.12300879810000001,0.479893453,-0.12381166460000001,-0.7813179918000001
SRX5694354,0.44632064860000004,-0.5913366006,-0.8090334449000001,-0.2830325331,-0.15887796040000002,0.25205146700000003,-1.4062341272,-0.3833516295
SRX5694356,-2.0876579012,0.38807366530000004,-1.0282208658,-0.7246961160000001,-0.2950327203,-0.057586964500000004,-0.6287617667000001,-0.9761935114
SRX5694357,-2.7532871745,1.0904432179,0.1033229876,-0.3809499105,-0.12181085,1.9121225458,0.8526378452000001,0.8141585597000001
SRX5694358,-3.1694265076,-0.9547348299,-0.989631354,-0.540200283,-1.2088695953,0.6097665779,0.2021108455,-1.210879706
SRX5694359,-5.5686660177,-0.3805564377,-0.6898793059,-1.1092440873,-0.3427578203,-2.5994465329,-2.6027393814,-0.4207264389
SRX5694360,-6.5540285067,-0.5290480303,-0.9385224537,-0.7686285168,-0.1827317372,-3.1231140534,-2.6275901444,-0.1412390832
SRX5694361,-11.4640757381,-1.4566463135,1.0977147786,0.7548364243,1.1166449256,-4.9543248985,-1.7014477846,0.1566361058
SRX5694362,-0.6389323643,0.0922932354,0.36099427310000004,0.3043680612,0.6435918607000001,-3.1277425702,-2.4581859073,-1.6472988531000001
SRX5694363,0.7610551404,0.6008420388,-0.600790616,-0.0052407457000000005,0.062164166800000004,0.4152760186,1.2581171051,-0.5546784583000001
SRX5694364,-4.3379323292,0.7194963656000001,-0.5144488377,-0.7428466618,-1.2670821801,-2.0180888102,-0.2178661539,1.4076440849
SRX5694365,3.4272925742,0.0108617252,1.4841765936,1.0942464863,-0.2765149645,-0.1948645188,1.3686681192,-0.4974307236
SRX5694366,-6.6803217836,-0.0593431031,-0.7392321765000001,-0.6480018334000001,-0.1831066381,-0.2520024628,-0.28383058240000003,-0.6138928318
SRX5694367,-5.8725686961,-1.5109989987999999,-0.2944956992,0.16226913340000002,0.2993053109,-2.4599714223999998,-1.406122229,1.2101434685
SRX5694368,-4.5459379187,-0.2972981562,-0.8669199153,-0.0022205892,-0.23724329100000002,-0.5039561531,-1.4850170806,-0.9458503599
SRX5694369,2.0915019323,0.18557304400000002,-0.5948867843,-0.12551559210000002,-0.1041521138,0.06410913800000001,-1.1426991465,-0.0662886848
SRX5694370,-6.3437952819,-0.3528052876,-0.5244472115000001,0.3114165841,-0.17263219,-0.6118013976000001,-0.8141824234,0.368483396
SRX5694371,-4.1299961755,-0.06941768200000001,-0.786795397,-1.3817991191,-0.6783684845,-1.9599985835,-1.0809776375,1.6497301401
SRX5694372,-2.6202155684,-0.33963393210000004,-0.5681068862,-1.1118241244,-0.0258698054,-2.2889570474,-2.2510887843000003,-0.4935531869
SRX5694373,0.21514609710000002,1.3951784322,-0.6737367768,0.640189754,0.1123414239,1.799038221,1.4589715909,-0.1927104984
SRX5694374,-4.7572723927,-1.3773600071,-0.9874018292000001,-0.7973720779,-1.1501001018,-1.2711502776999999,-0.7557081366,-1.5963441003
SRX5694375,2.8442357341999998,-0.1168934994,-0.704628555,-0.131505318,-0.09638969600000001,0.2951519691,-1.6714548291,-0.5282387860000001
SRX5694376,-3.8692109079,0.32824068630000003,0.6390051229,-0.029839515100000002,0.4013388826,-2.9725627728,-2.4787426515,-0.9920622973000001
SRX5694377,-2.9502045606,-0.8790391449,-1.119492052,-0.5520812733,-1.3151295487999999,-1.4445559099,-0.3935290685,-1.6064739720999999
SRX5694378,-8.0813913049,-1.0270026653,-0.5892935844,-1.1904583361,0.043956751200000005,-3.6698576791,-3.1224787433,-0.44548403010000004
SRX5694379,0.34492452900000004,-0.6379058263,-0.7488069058,-1.2247114862,0.3913643188,-1.2193333542,-2.9486539133000003,-1.1412490475000001
SRX5694380,-2.7552727869,0.6784878585,-0.9849220242000001,-0.6554227122,-0.016725366800000002,-0.1906119209,-0.18754661320000002,-0.2908981184
SRX5694381,-5.0796999833,0.13606732030000002,0.0536946161,0.112860213,0.4807888792,2.3123967012,0.4404051054,1.5103860035999999
SRX5694382,-0.6695501875000001,0.6586995219,-0.4765596486,-0.2555514143,0.2203089252,1.3820300756,1.1711102859,0.3167035141
SRX5694383,3.9435866409,-0.231303792,-0.9315031237,-0.36691297110000004,-0.3267816206,0.571848851,-2.1828391598,-0.6330348309
SRX5694384,-4.2646678832,0.0039588614,-0.306814501,-0.420226284,0.1430608821,-0.433570328,0.2429309094,0.07720167730000001
SRX5694385,-6.5954665039,-0.8371979390000001,-0.14971446900000002,0.7527320062,0.7818423893,-0.5164639072,1.2137537669,0.7627488997
SRX5694386,-9.6779401587,-1.3750668061,-1.7867935451,-0.9402117607,-1.5665836876,-3.0775866468,-1.1024621673,0.2124759349
SRX5694387,-6.0040154334,-0.0122644811,-0.5907873538,-0.5371144676,-0.1235610792,0.28145106740000003,0.0206374895,-0.5871436333
SRX5694388,-8.591098992,-0.8025823897000001,-0.8765617776,0.4701902592,1.0408393412999999,-1.8958507005,0.6898100468,1.3294801396
SRX5694389,3.5544651397,0.0491183423,-0.5076306448,-0.6315143039000001,0.0940021038,0.6555329397,-1.3743196683,-1.4197035738000001
SRX5694390,3.273794263,-0.0964196256,-0.9455588033000001,-0.2751275436,-0.1258983222,0.5721943913,-1.0668293136,-0.6108595821
SRX5694391,2.0238781302,0.18585069410000002,-0.0546648603,0.6643574967,0.0025046124,1.0779205164,0.6245768559,0.2242706458
SRX5694392,3.2425538726,1.1067333561,-0.7995883998000001,-0.11426782910000001,-0.1115132005,1.9622329109,-0.3094789572,-0.35666103660000004
SRX5694393,-3.0964848795,0.0869873266,-0.2305797444,-0.2327240486,0.2377957947,0.0692182702,0.3356057732,0.0738984884
SRX5694394,1.5430583972,-0.1571745294,-0.2681092712,-0.0136205634,0.2278134453,-0.0967970304,-0.4240843804,-0.433145702
SRX5694395,0.4960915154,0.4334354435,-0.6702235864,-0.0143279424,0.2215955597,0.3333191813,1.3486063755,-0.6412482763
SRX5694396,-4.3754597705,-0.621296524,0.8816852332,-0.4265849803,0.8845041095,-0.2620286464,0.25340080930000003,1.1447981062
SRX5694397,-4.0812626666,-1.0084031967,-0.8235027764,-0.12238592690000001,-0.1091813461,-1.0495686776,-1.6253708915,-0.6626112262
SRX5694398,-0.6172161698,-0.41506108680000003,-0.4419145841,-0.4323012848,0.2458473521,-1.1150714301,-1.2911718066,-0.8352204546
SRX5694399,1.8461969488,0.7664746891,-0.7824784504000001,-0.1953700162,0.08007219460000001,1.9029085629,1.6873485281,-0.07028935430000001
SRX5694400,-3.0938362189,0.029782834,-0.8957583694000001,-0.9469480016,-0.5219775286,-0.6197874677,-1.6380481919,-0.7804220612
SRX5694401,1.5606501115,-0.0877737965,-0.46520850020000004,0.002914251,0.0806817422,-0.12775472400000001,-0.49721029310000003,0.18569160680000002
SRX5694402,-10.0388026122,-1.6015208275,-1.9027115429,-1.1470755588000001,-1.5549689243,-4.9543248985,-1.3993768753,0.3072247456
SRX5694403,-4.390723841,-0.7394844862000001,-0.5633653791000001,0.1187652569,-0.6557830738,-1.7893360891,-0.6970904211000001,1.2287761301
SRX5694404,2.4169161061,0.052845797900000005,-0.4577927678,-0.2439474482,-0.1371540394,-0.13565808710000002,-0.6436700295000001,-1.1055211989
SRX5694405,-1.1861801415,1.325676825,-0.5244412812,0.29047002990000004,0.2649971947,1.5191894561,1.0658776417,0.2912144672
SRX5694406,-0.7383766049,0.4269658115,-0.4069620828,0.1364750897,0.5773565583,-0.3391652087,-1.2253160951,1.3067637903
SRX5694407,-3.7939428455,0.2680807602,-0.6797229178,-0.3048284202,-0.37502383240000003,0.059936557,-0.9999387465,-0.2170952891
SRX5694408,0.2738042683,0.38631325520000004,-0.7931955938,0.019654539800000002,-0.024376345400000003,0.5181622808,-0.34134591410000004,-0.3402805357
SRX5694409,-9.2155184255,-0.3586728753,-0.7313918552,0.1780957111,-0.7126020142,-1.9162773740999999,1.6110508811000002,0.3449596163
SRX5694410,0.688609927,-0.0858618424,0.5205305132,0.3145588501,0.6290355621,-4.9543248985,-3.3560239774,-0.9369939924
SRX5694411,-3.4136055289,-1.5864775405,1.2752649621,-0.9276745121000001,0.8041986728,-1.9664685955,-1.9532054695,0.3006550652
SRX5694412,0.203098829,-1.0507985507,-0.8681426453000001,-0.39861814560000003,-0.32911948220000004,-1.7601172909,-2.6726129792,-0.6110272034
SRX5694413,-3.1077092953,0.5040154777,0.0039227364,0.056742547500000004,0.3486612276,-1.0594771918,-0.9882422247,-0.9274980556
SRX5694414,-4.2376596436,-0.0627857278,0.1272974469,0.6384176439,0.3826837373,2.4613174268,0.1399522441,1.7269776488000002
SRX5694415,4.0877743091,-0.010333077500000001,-1.0048620916,-0.37358413220000003,-0.09237759820000001,1.278167899,-0.5453488694,-0.5350652901
SRX5694416,-0.2338203931,0.0908137317,-0.0255081624,0.0350729692,0.0458094748,-0.030163769400000002,0.22966816110000002,0.09109035780000001
SRX5694417,-0.8255689893,0.6108243733000001,-0.37877042,-0.051431211000000004,0.6435319998,0.9148591133,-0.1029815256,0.6757333899
SRX5694418,-10.2270632361,-1.625126937,-0.8464666129,-1.2166543236,-0.5521572992,-4.5166815677,-1.9456735139,0.7648344667
SRX5694419,-4.6665357906,-0.4652902125,-0.3984785491,-0.3215499277,-0.6619563359,-2.7467429878000003,-0.6032791315,1.9739008520999999
SRX5694420,2.1435547276,0.7613287232,-0.302497715,0.3299482991,-0.17861279830000001,0.9267932156,-0.0946637461,-0.3114816063
SRX5694421,0.0311665775,-0.3688249179,-0.6099977714,-0.28807557030000003,-0.3790188237,-0.7001653907000001,-0.6450425211,0.1444757966
SRX5694422,1.8786708148,0.7349183730000001,-0.068855287,0.2692794305,0.40715833760000003,1.8270244221,0.6500235939,0.5993323859
SRX5694423,-0.9446752402,0.20004616050000001,-0.5813589195000001,-0.7486968028000001,-0.5044525133000001,-1.6578827532,-1.6148922651,-0.6169352458
SRX5694424,-2.0878729064,-1.2663316111,-0.4586027053,-0.0210983501,0.2181583798,-1.3195446075000001,-1.9851563352000001,0.4505654565
SRX5694425,0.5297850711000001,-0.5877073112,-0.8332605673,-0.5458369436,0.18850879510000002,-1.4320238697,-1.9797951042,-0.9056669952
SRX5694426,-1.6078572171,-0.3885524557,-0.7600289733000001,-0.3835409524,-0.24667128160000001,-0.6072021213000001,-1.1715805594,-0.2557922664
SRX5694427,1.0575071598,0.36975884400000003,-0.3639876078,0.3506674218,0.3711895718,0.6436057614,-0.3400528087,-0.1750304766
SRX5694428,2.8418154075,-0.4660579213,-0.6349855048,-0.6297088756,-0.0420910148,0.3541610036,-0.8342393238,-0.13199657380000002
SRX5694429,-4.7201652651,-2.347700204,1.262363916,-1.3265809069,1.0667573121,-2.8139210524,-1.8003626640000001,0.6332512447
SRX5694430,2.7180690846999997,0.2746186801,-0.5589086929,0.1108876813,0.0624818491,0.6788051904,-0.5567476294,-0.08344082400000001
