,A,MalT
misc__wt_no_te__2,-3.341622409890064,-0.4707683644999987
misc__bw_delcbl__1,-2.9118076737411065,-0.3003788044999993
misc__bw_delcbl__2,-3.164855441216279,-0.23226785049999954
misc__bw_delfabr__1,-1.3079210345988104,-0.15738947649999968
misc__bw_delfabr__2,-1.6753509451571424,-0.17375509949999926
misc__bw_delfadr__1,-2.328006135497912,-0.3917416504999993
misc__bw_delfadr__2,-2.547303914659894,-0.4445133854999997
misc__nitr_031__1,-8.1910584963212,-1.0800115754999997
omics__wt_glu__1,-0.946111514993661,-0.16001460449999882
omics__wt_glu__2,-0.8163081663327134,-0.09747471350000048
omics__wt_gly__1,-0.3116297475554949,-0.163624669499999
omics__wt_gly__2,-0.4233752425536201,-0.24368660549999974
omics__wt_thr__1,-0.2515853239042325,1.4815525254999995
omics__wt_thr__2,-0.0413249963427081,1.5300067535000004
omics__bw_ac__1,3.695356012918265,0.9634542195000008
omics__bw_ac__2,3.6098497586294873,0.8659813155000009
omics__bw_fum__1,1.9738110038092025,0.4155944085000005
omics__bw_fum__2,2.439391337650952,0.4101496465000008
omics__bw_glc__1,-4.478746235222838,-0.10645726649999963
omics__bw_glc__2,-4.256855742127756,-0.12805227949999942
omics__bw_pyr__1,1.265094597066846,0.5462693545000015
omics__bw_pyr__2,1.5156794590341922,0.5097179364999995
ompr__wt_nacl__1,-8.100808006475212,-1.7206193085
ompr__wt_nacl__2,-8.298447530200601,-1.5407831524999995
ompr__bw_delompr_nacl__1,-6.645537792391679,-1.1915115074999996
ompr__bw_delompr_nacl__2,-6.545048176380106,-1.1120940385000004
minspan__wt_ade__1,-9.831061492329546,-1.6641064544999988
minspan__wt_glc__2,-4.593599169851246,-0.6343088344999988
minspan__wt_glc__3,-4.395048982362544,-0.5772962384999998
minspan__wt_glc__4,-4.477265647596964,-0.5621808335000003
minspan__wt_glc_anaero__1,-8.615014641490106,-1.1365516434999998
minspan__wt_glc_anaero__2,-8.712578475160738,-1.0304330134999995
minspan__wt_trp__1,4.004365454441991,1.4308200114999998
minspan__bw_delcra_glc__2,-4.985278887784925,0.5485757945000014
minspan__bw_delcra_trp__1,3.7801759510303703,0.8176194445
minspan__bw_delmntr__1,-1.5864084241327066,1.2883625435
minspan__bw_delnac_ade__1,-5.3974913304764405,-1.0494745954999996
minspan__bw_delnac_glc__1,-6.150819140016037,-1.1053016104999998
cra_crp__wt_ac__1,6.331092851221383,0.6081430505000007
cra_crp__wt_ac__2,6.574416121631849,0.654238169500001
cra_crp__wt_fru__1,4.451764598817124,0.13085777050000047
cra_crp__wt_fru__2,4.10328112680534,0.1009908485000004
cra_crp__delcra_ac__1,0.3143016534978716,0.4099622185000005
cra_crp__delcra_ac__2,0.0460425595258913,0.39631424550000105
cra_crp__delcra_fru__1,-9.92578597669256,-2.2126165755
cra_crp__delcra_fru__2,-9.888611792787689,-2.2771378894999987
cra_crp__delcra_glc__1,-5.442493860999383,-0.9038507284999991
cra_crp__delcra_glc__2,-5.387602974818761,-0.8523273424999998
rpoB__wt_031__1,9.318132981323776,1.5745623485000009
rpoB__wt_044__1,-1.198672599050572,-0.19043692549999933
rpoB__wt_lb__1,9.723684999634452,1.3328861765000006
rpoB__wt_lb__2,9.501699866715956,1.3121049255
rpoB__rpoBE546V_031__1,5.236127512897687,1.1826837374999997
rpoB__rpoBE546V_044__1,4.290861662872137,0.8464468464999992
rpoB__rpoBE546V_lb__1,9.43319431300564,0.9385143024999998
rpoB__rpoBE546V_lb__2,9.105125816293947,0.9792006685000008
rpoB__rpoBE546V_glc__1,-0.1876262757692531,0.14585532750000052
rpoB__rpoBE672K_glc__1,1.1427804323208806,-0.3992221024999996
rpoB__rpoBE672K_glc__2,1.5084208248188546,-0.3201692535000005
rpoB__rpoBE672K_lb__1,5.258141790762505,-0.3220937204999981
rpoB__rpoBE672K_lb__2,5.298100599787948,-0.2888024974999999
crp__wt_fru__1,4.290297235142615,0.035575592499998976
crp__wt_glyc__1,4.082281183767401,0.16165854750000008
crp__wt_glyc__2,4.5073617207239804,0.2503416915000001
crp__delar1_glyc__1,-8.612276432955431,-2.2178389754999994
crp__delar1_glyc__2,-8.708351096149336,-1.8985110025000005
crp__delar1ar2_glyc__1,-9.582359203583987,-2.6115802535
crp__delar1ar2_glyc__2,-9.185743969316748,-2.6327023784999994
crp__delar1ar2_glyc__3,-9.874135237391506,-2.5432198644999997
crp__delar2_glyc__1,8.183789669363376,0.9873230785000012
crp__delar2_glyc__2,8.345298524704537,0.8576600195000008
crp__delar2_glyc__3,8.559807571923892,0.8910294505000014
crp__delcrp_fru__1,-10.421192945560705,-2.9821486644999995
crp__delcrp_fru__2,-9.97627734961168,-2.8679291084999994
crp__delcrp_fru__3,-10.07116760276495,-2.9354850454999992
crp__delcrp_glc__1,-9.927859191028729,-2.5175835264999997
crp__delcrp_glc__2,-9.7606553746739,-2.6042771154999995
crp__delcrp_glc__3,-10.356045445986611,-2.5778037494999992
crp__delcrp_glyc__1,-10.024916740306557,-2.8275724404999982
crp__delcrp_glyc__2,-10.40978397815654,-2.9222988485
crp__delcrp_glyc__3,-9.892926407867604,-3.0232486775
glu__glu_ale3__1,-4.723061198852198,-1.6094304115
glu__glu_ale4__1,-3.605528147385665,-0.5919995044999995
glu__glu_ale5__1,7.400334014392146,0.5213859215000003
glu__glu_ale6__1,-2.189159190272045,-0.8508805124999999
glu__glu_ale8__1,-3.2817159379366587,-0.219809109499999
glu__glu_ale9__1,-6.317182856982312,-1.1785239725
glu__glu_ale10__1,-4.473505365395871,-1.7214993654999995
42c__wt_42c__1,-6.069589858101296,0.24816739350000014
42c__42c_ale1__1,2.3361685702411035,1.7142966825000006
42c__42c_ale2__1,-8.611168330105524,-0.8681247904999996
42c__42c_ale3__1,-7.238151693559121,-0.4217902374999998
42c__42c_ale4__1,-8.00010124184955,-1.5584621854999998
42c__42c_ale5__1,-10.484437353635563,-1.7815596514999994
42c__42c_ale6__1,-2.215513203483776,0.5091297464999993
42c__42c_ale8__1,-6.76063229976138,-0.6773228785000001
42c__42c_ale9__1,-7.107414526808055,-0.4190396004999997
42c__42c_ale10__1,-7.259491554348569,-0.4364960404999998
ssw__wt_ac__1,-4.416174566007112,-0.3234705885000002
ssw__wt_glc__1,-6.606161904476006,-0.5520969384999992
ssw__wt_glyc__1,7.260922596194327,0.4958219435000011
ssw__wt_xyl__1,1.9633462586365829,0.12975421350000005
ssw__glc_ale1__1,-2.655070002949774,-0.1838139424999996
ssw__glc_ale2__1,-4.885589304898428,0.013891120500001186
ssw__glc_ale3__1,-0.6465992936681367,0.32034106550000097
ssw__glyc_ale1__1,-7.109844909745111,-0.03044459849999992
ssw__glyc_ale2__1,0.3665069405235329,0.3264794845000001
ssw__xyl_ale1__1,-4.583087262738527,-0.5952355075
ssw__xyl_ale2__1,-0.5747045689924173,-0.2492930014999999
ssw__xyl_ale3__1,-4.939285665977903,-2.129730380499998
ssw__glc_ac_ac2__1,1.6014640140669751,0.5521350465000001
ssw__glc_ac_glc1__1,-8.275658417629531,-1.5406427354999996
ssw__glc_glyc_glc__1,-1.6444656701348523,0.18373039050000092
ssw__glc_glyc_glyc__1,-1.1291759447008685,0.13328998750000046
ssw__glc_xyl_glc__1,-2.568785794055945,-0.2214290175000011
ssw__glc_xyl_xyl__1,-6.069816123882192,-0.9995975814999998
ica__wt_glc__1,5.12572016660776,-0.009748355499999306
ica__wt_glc__2,4.927221167549475,-0.03304036549999978
ica__wt_glc__3,-0.248515963826389,-0.30702194850000103
ica__wt_glc__4,-2.63852004191456,-0.5673165254999981
ica__arg_sbt__1,5.942044072728333,0.6513355865000001
ica__arg_sbt__2,5.9458395264115165,0.5624481745000001
ica__cytd_rib__1,15.18089410865202,1.7293322785000012
ica__cytd_rib__2,15.751839362453538,1.6934540645000011
ica__gth__1,-7.781964288111227,-3.3393860175
ica__gth__2,-6.773989155990826,-3.2909232195
ica__leu_glcr__1,-5.188124871967189,-1.2466151914999992
ica__leu_glcr__2,-5.05686972633244,-1.2618552925
ica__met_glc__1,5.0688145364554416,-0.18599688850000096
ica__met_glc__2,5.381104131193129,-0.14008750849999976
ica__no3_anaero__1,-8.713460903612509,-1.9587225494999991
ica__no3_anaero__2,-8.966421522467956,-1.9980394044999992
ica__phe_acgam__1,0.6721294681807709,-0.27162174049999965
ica__phe_acgam__2,0.9873099572795228,-0.22856658350000106
ica__thm_gal__1,1.904395336099556,0.1802272905000004
ica__thm_gal__2,2.140198292426893,0.2837677594999999
ica__tyr_glcn__1,-6.442333781075231,-1.4629454394999994
ica__tyr_glcn__2,-6.932705713793976,-1.3688632835000003
ica__ura_pyr__1,1.4700452080883415,-0.4875690935000003
ica__ura_pyr__2,2.4234105240699444,-0.2928919254999993
ica__wt_glc__5,-0.3398809152722065,-0.6012398994999995
ica__wt_glc__6,-1.2870254539212076,-0.7548827664999997
ica__bw_delpurR_cytd__1,-3.391898125741849,-0.6778290854999991
ica__bw_delpurR_cytd__2,-5.372870295797221,-0.7607183935000004
ica__ade_glc__1,-5.354971345466805,-0.7287464395000001
ica__ade_glc__2,-3.463364808596032,-0.7050543075000002
ytf__wt_glc__1,-1.1496728857475171,-0.3772666314999995
ytf__wt_glc__2,-2.8502687648130807,-0.13881630149999946
ytf__delyafC__1,3.3757426635671,0.6979741345000008
ytf__delyafC__2,0.9310608890451424,0.4817293735000003
ytf__delyeiE__1,-1.4182217666562869,-0.4989937704999994
ytf__delyeiE__2,0.8740976142622036,-1.3185529104999991
ytf__delyiaJ__1,-2.637369481893168,0.09247594850000064
ytf__delyiaJ__2,-4.740322140912369,-0.16173778350000045
ytf__delyieP__1,-4.525456674282194,0.3830715515000005
ytf__delyieP__2,-3.6753455380781617,-0.07587976549999809
ytf__wt_ph5__1,-5.216464825871782,-0.9804319664999994
ytf__wt_ph5__2,-5.512143039526518,-0.9567262504999992
ytf__wt_ph8__1,-2.4858881681663947,-0.4680099854999993
ytf__wt_ph8__2,-2.170907011518391,-0.3083084695
ytf__delybaO__1,4.394338823677171,1.1883149414999998
ytf__delybaO__2,-0.1073301523979729,1.1540771035000006
ytf__delybaQ__1,-2.786613114399738,-0.3864489664999997
ytf__delybaQ__2,-2.6743001156308,-0.4664978704999996
ytf__delybiH__1,-1.8022112908617405,-0.2588218544999989
ytf__delybiH__2,-3.5931912036151483,0.03890336850000065
ytf__delydcI_ph5__1,-4.089850210029933,-0.9369372554999992
ytf__delydcI_ph5__2,-4.32846937022844,-1.0166114224999996
ytf__delydcI_ph8__1,-3.860947508092663,-0.6705341364999997
ytf__delydcI_ph8__2,-1.6721422783492443,-0.4761083514999998
ytf__delyddM__1,-4.117414511175865,-1.1373153114999992
ytf__delyddM__2,-4.001399275386051,-1.042990189499999
ytf__delyheO__1,4.958383375578531,1.0977953335000006
ytf__delyheO__2,-0.2148801185789395,1.2598760665000004
fps__bw_glc__1,-0.8368582334714324,-0.06378064749999979
fps__bw_glc__2,-1.4966383088769848,-0.18915118149999974
fps__fps_thrA_ale1__1,-8.015314853232356,-0.6010832675
fps__fps_thrA_ale1__2,-7.449841382220184,-0.6694068474999995
fps__fps_thrA_ale2__1,-9.205992218567838,-0.8851317194999995
fps__fps_thrA_ale2__2,-9.147428687616948,-0.7938229364999998
fps__fps_serB_ale1__1,-9.662272485089796,-0.8907854204999994
fps__fps_serB_ale1__2,-9.296554952976924,-0.9012633335000002
fps__fps_serB_ale4__1,-9.984381017688117,-2.027333390499998
fps__fps_serB_ale4__2,-10.27698416938631,-1.9580164625
fps__fps_ptsI_ale1__1,11.097708930809915,1.561356141500001
fps__fps_ptsI_ale1__2,11.540331687348145,1.6825590645000013
fps__fps_ptsI_ale3__1,9.42195019651522,1.1124682184999999
fps__fps_ptsI_ale3__2,9.30909936949105,1.1506316845000004
pal__lyx_ale2_f6__1,4.828484050463368,1.3033807174999996
pal__lyx_ale2__1,6.095436458977854,0.7758766265000006
pal__lyx_ale2__2,6.816362164641921,0.7502647055000011
pal__lyx_ale4__1,5.042647321625341,0.04132013649999955
pal__lyx_ale4__2,5.763543320975232,0.024377217500000548
pal__5drib_ale10_f18__1,1.5257152739958706,0.9677770414999998
pal__5drib_ale10_f18__2,1.646912785908718,1.0242300525
pal__5drib_ale10__1,6.07721845916255,1.2745984825
pal__arab_ale14_f9__1,-1.3814033741748846,-0.4094260514999997
pal__arab_ale14_f9__2,-1.428904875128706,-0.4821329375000012
pal__arab_ale14__1,-0.606647215933384,-0.9031337904999992
pal__arab_ale14__2,-0.6213266597008523,-0.8990676815
pal__arab_ale16__1,-0.2684689856364146,-0.15000707250000112
pal__arab_ale16__2,-1.105459727835686,0.1004000715000002
pal__tartr_ale26_f10__1,4.423670037930827,0.9340162784999996
pal__tartr_ale26_f10__2,3.9761046227673273,1.0728394575000006
pal__tartr_ale26__1,2.420219088819365,0.7299743665000005
pal__tartr_ale26__2,2.213041495444346,0.7901474524999994
pal__tartr_ale28_f10__1,3.970211354985295,0.8275452985000005
pal__tartr_ale28_f10__2,2.4543138485938147,0.7633208945000014
pal__tartr_ale28__1,2.0705439999209854,-0.08589679550000008
pal__tartr_ale28__2,1.8999062622013847,0.09148423850000054
efeU__delmenFentC_citr__1,-0.807394446219708,-0.3915617234999997
efeU__delmenFentC_citr__2,-0.6621262749575437,-0.2808325794999993
efeU__delmenFentC__1,-8.988039982920897,-1.8298005055
efeU__delmenFentC__2,-9.151328482293955,-1.8491451854999996
efeU__menFentC_ale39__1,-4.746766408625602,0.19184469150000005
efeU__menFentC_ale39__2,-4.631796822226225,0.3933252055000001
efeU__menFentC_ale29__1,-1.4232664738929992,-0.6468562174999999
efeU__menFentC_ale29__2,-1.5728267219037622,-0.7086027494999989
efeU__menFentC_ale30__1,-2.826066396736773,-0.7263780864999996
efeU__menFentC_ale30__2,-2.304404846187993,-0.4893092864999993
efeU__menFentCubiC_ale36__1,-7.4324121300912385,-1.1561716854999995
efeU__menFentCubiC_ale36__2,-7.098577738206882,-1.0539853104999979
efeU__menFentCubiC_ale37__1,-8.41265450224756,-1.3570985734999992
efeU__menFentCubiC_ale37__2,-8.468726217333197,-1.3681543585
efeU__menFentCubiC_ale38__1,-8.982681729767615,-2.021572944499999
efeU__menFentCubiC_ale38__2,-8.89692942677638,-2.2785206255
misc2__salc_glc__1,-10.089333862091877,-1.5883759385000005
misc2__salc_glc__2,-9.768950620684302,-1.3913973864999996
misc2__dbcn_glc__1,1.918104892648642,-0.5853536944999993
misc2__dbcn_glc__2,-0.8657748301666871,-0.9378990464999992
misc2__tyr_glc__1,-5.759430050158235,-1.0172200264999995
misc2__tyr_glc__2,-5.971671369770218,-0.992346315499998
misc2__arg_cytd__1,-4.181929546327978,-0.6739855724999995
misc2__arg_cytd__2,-4.943276788573545,-0.7392676714999995
misc2__delyheO_pyr__1,1.1444916809928625,-0.3326439285000005
misc2__delyheO_pyr__2,0.6640859945877547,-0.4628271574999996
misc2__dellon_glc__1,-7.330256055427252,-0.8586291204999981
misc2__dellon_glc__2,-8.547272809853844,-1.0784669784999998
nquinone__delubiC__1,-6.350325233840052,-0.9627641935
nquinone__delubiC__2,-8.863666167419924,-1.4562420054999992
nquinone__ubiC_ale1__1,-6.002940598248976,-0.9481922715000001
nquinone__ubiC_ale1__2,-6.159151048893413,-1.0381837725
nquinone__ubiC_ale2__1,-8.590032401149054,-1.3313112514999998
nquinone__ubiC_ale2__2,-8.796172493234467,-1.2160390564999997
nquinone__ubiC_ale3__1,-6.904061287451315,-1.2184165354999994
nquinone__ubiC_ale3__2,-7.21343546115242,-1.1630185324999998
nquinone__ubiC_ale4__1,-9.08095229044749,-1.3131704634999997
nquinone__ubiC_ale4__2,-8.294887811001052,-1.2891394044999993
nquinone__delpdhR__1,-1.5964514979307336,-0.9132307204999996
nquinone__delpdhR__2,-1.5026785679859451,-0.9081683185000003
quinone__glu_ale4__1,-6.346886214525203,-1.9058401385000003
quinone__glu_ale4__2,-4.32313506067954,-1.258998619499999
quinone__delmenF__1,-2.456134143112946,-0.6462818905000001
quinone__delmenF__2,-2.890036326142182,-0.6134647504999995
quinone__menF_ale5__1,-2.107856566584742,0.2616535615000002
quinone__menF_ale5__2,-1.91367260347069,0.2420640115000001
quinone__menF_ale6__1,-1.2806809646941215,0.5561739595000006
quinone__menF_ale6__2,-1.1153537326618137,0.6596727115000007
quinone__menF_ale7__1,1.0076617915077617,1.3733246735000009
quinone__menF_ale7__2,0.8582735757985921,1.3515754905
quinone__menF_ale8__1,-2.649032847180277,0.34111064750000075
quinone__menF_ale8__2,-5.230365247633668,-0.12221726850000005
quinone__delmenFubiC__1,-7.9994935680834915,-1.3128511804999992
quinone__delmenFubiC__2,-8.139516216016194,-1.3192544844999992
quinone__menFubiC_ale1__1,-4.243592119684616,0.11976732050000115
quinone__menFubiC_ale1__2,-3.878987299647504,0.10069452149999948
quinone__menFubiC_ale2__1,-5.479898633869108,-0.2006836424999996
quinone__menFubiC_ale2__2,-4.916075805097542,-0.2616524304999981
quinone__menFubiC_ale3__1,-4.329790194481872,-0.8340457314999998
quinone__menFubiC_ale3__2,-4.258957716912373,-0.8709057634999997
quinone__menFubiC_ale4__1,-1.1019746955758372,0.10285459950000052
quinone__menFubiC_ale4__2,-1.9778648043029303,0.1234371145000006
oxyR__wt_glc__1,1.1625623250409842,-0.3471510664999995
oxyR__wt_glc__2,1.0359796579962783,-0.5174429784999992
oxyR__wt_h2o2__1,0.2541198661835142,-0.4679972824999998
oxyR__wt_h2o2__2,-0.6567122222383684,-0.8030898915000001
oxyR__glu_ale4__1,-6.822830821819314,-1.8051066314999995
oxyR__glu_ale4__2,-7.0509835141068855,-1.8655710315
oxyR__glu_ale4_h2o2__1,-5.681311286849327,-1.3782936725
oxyR__glu_ale4_h2o2__2,-7.824006071087154,-1.6576271005
oxyR__oxyR_ale17__1,-7.925565788774494,-0.9314518494999992
oxyR__oxyR_ale17__2,-8.707003314839172,-1.0436011564999994
oxyR__oxyR_ale17_h2o2__1,-4.351123983713957,-0.4721658814999996
oxyR__oxyR_ale17_h2o2__2,-5.579805662079795,-1.1027513464999998
oxyR__oxyR_ale18__1,1.705030566138041,-0.2685680724999999
oxyR__oxyR_ale18__2,1.2923995024146868,-0.6073448975
oxyR__oxyR_ale18_h2o2__1,-7.452313742071237,-1.2925764015
oxyR__oxyR_ale18_h2o2__2,-5.913790111429518,-1.1144189174999992
oxyR__oxyR_ale19__1,-0.5643939677295539,-0.4725127004999994
oxyR__oxyR_ale19__2,1.2726023928553996,-0.32715279449999896
oxyR__oxyR_ale19_h2o2__1,-0.2863105132223432,-0.4685815284999997
oxyR__oxyR_ale19_h2o2__2,-0.265694502946153,-0.5359935704999996
oxyR__oxyR_ale20__1,-9.474834388868713,-1.3901877335000004
oxyR__oxyR_ale20__2,-9.87177024994388,-1.3672231985000003
oxyR__oxyR_ale20_h2o2__1,-9.197832426908723,-1.1278379964999994
oxyR__oxyR_ale20_h2o2__2,-8.977377771764953,-1.0769694065000002
svns_pgi__BmePgi24_15__1,0.0093012773184689,-0.18462191949999876
svns_pgi__BmePgi24_15__2,-0.1197794723357708,-0.2287751794999995
svns_pgi__BmePgi24_26__1,1.6461537803219757,-0.050168220499999805
svns_pgi__BmePgi24_26__2,1.1749893454076363,0.03598064450000038
svns_pgi__BmePgi24_41__1,-4.357997322609888,-0.8385963304999997
svns_pgi__BmePgi24_41__2,-0.879319346810227,-0.2923247585000004
svns_pgi__BmePgi24_52__1,2.5884342789155035,0.04014974050000042
svns_pgi__BmePgi24_52__2,2.6433226909066847,0.13631733950000058
svns_pgi__PaePgi2_34__1,-0.0330434038716389,-0.7248267784999998
svns_pgi__PaePgi2_34__2,-0.090353214443542,-0.6768408475000012
svns_pgi__PaePgi2_63__1,-0.4863895401459847,-0.6146068565
svns_pgi__PaePgi2_63__2,-0.7498135251800541,-0.6214462054999981
svns_pgi__PaePgi24_54__1,-4.7072822877770655,-1.4933852044999991
svns_pgi__PaePgi24_54__2,-5.114053377061439,-1.4618807064999997
svns_pgi__PaePgi24_90__1,-8.02870512336238,-1.7263555535000004
svns_pgi__PaePgi24_90__2,-8.613888549660063,-1.6401267534999997
abx_media__m9_ctrl__1,-6.930677290848244,-0.969021925499998
abx_media__m9_ctrl__2,-6.981855588376058,-0.7053830054999981
abx_media__rpmi_ctrl__1,-6.105207273217097,0.11918406550000073
abx_media__rpmi_ctrl__2,-3.1743300117171533,0.2539301545000008
abx_media__camhb_ctrl__1,-8.631254953650306,-1.6696659714999995
abx_media__camhb_ctrl__2,-8.029307996052554,-1.4351866385000005
abx_media__m9_mero__1,-7.860674477045578,-1.099102404499999
abx_media__m9_mero__2,-5.725132797024411,-0.8740931494999993
abx_media__rpmi_mero__1,-8.068870369283298,-0.12225354549999955
abx_media__rpmi_mero__2,-7.251718554334339,0.1841983264999998
abx_media__camhb_mero__1,-9.964730599395496,-4.3000343715
abx_media__camhb_mero__2,-9.548370843228916,-3.7453841325
abx_media__m9_trisulf__1,-7.293389097374431,-1.7944089874999998
abx_media__m9_trisulf__2,-6.793206626910187,-1.8964319015
abx_media__rpmi_trisulf__1,-10.8715256321037,-3.7492607535
abx_media__rpmi_trisulf__2,-10.80936390259938,-3.6170611674999993
abx_media__camhb_trisulf__1,-9.842212696221967,-3.4627604675
abx_media__camhb_trisulf__2,-9.346836192086672,-3.3723347554999985
abx_media__m9_cef__1,-9.077418749230372,-1.5549499735000003
abx_media__m9_cef__2,-8.29383107867924,-1.4827662635000003
abx_media__rpmi_cef__1,-10.596298463689015,-2.1002496254999987
abx_media__rpmi_cef__2,-11.218561202812234,-2.1669202494999995
abx_media__camhb_cef__1,-9.484481283657091,-3.540018805499998
abx_media__camhb_cef__2,-9.46680670858921,-3.8150657805
abx_media__m9_cipro__1,-2.874649358126439,-0.7775396754999981
abx_media__m9_cipro__2,-4.087329310756945,-1.2017843344999992
abx_media__rpmi_cipro__1,-8.490892152768694,-1.8753212375
abx_media__rpmi_cipro__2,-10.180109079931023,-2.1149957074999994
abx_media__camhb_cipro__1,-8.862497638200107,-4.1995003825
abx_media__camhb_cipro__2,-9.263031307478894,-4.2738685615
hot_tale__42c_ale3_30c__1,0.3595416449768813,-0.3658242055000001
hot_tale__42c_ale3_30c__2,0.4328963402017755,-0.33073959149999954
hot_tale__42c_ale3_37c__1,-1.7973843653795891,-0.28334330149999953
hot_tale__42c_ale3_37c__2,-1.802141793263069,-0.3795571815000001
hot_tale__42c_ale3_44c__1,-9.632574367878853,-1.3275123104999995
hot_tale__42c_ale3_44c__2,-9.870933330771877,-1.4898482984999992
hot_tale__hot_ale3_mid_30c__1,-9.037545703827975,-1.7173022804999991
hot_tale__hot_ale3_mid_30c__2,-2.7303261685244458,-0.6655412064999995
hot_tale__hot_ale3_mid_37c__1,-6.133790276088978,-0.6479922664999993
hot_tale__hot_ale3_mid_37c__2,-6.685801555787272,-0.6495659185000004
hot_tale__hot_ale3_mid_44c__1,-6.906069756320186,-1.3565945364999994
hot_tale__hot_ale3_mid_44c__2,-10.255278308088684,-1.2187264585
hot_tale__hot_ale3_30c__1,-2.076439655521983,-0.8255273554999993
hot_tale__hot_ale3_30c__2,-1.6265109846176364,-0.6575460934999997
hot_tale__hot_ale3_37c__1,-2.872680380081205,-0.6492540014999992
hot_tale__hot_ale3_37c__2,-2.8676255465693368,-0.5175861604999996
hot_tale__hot_ale3_44c__1,-9.629622975601468,-1.3045846035000004
hot_tale__hot_ale3_44c__2,-10.192767086041297,-1.9188125005
hot_tale__hot_ale4_30c__1,-3.0073287732869938,-1.0950465365000002
hot_tale__hot_ale4_30c__2,-3.140560198788528,-1.089884249499999
hot_tale__hot_ale4_37c__1,-7.120280354514619,-0.8468642794999992
hot_tale__hot_ale4_37c__2,-7.1742114610609065,-0.8530882914999998
hot_tale__hot_ale4_44c__1,-10.789923634191236,-1.3084884404999997
hot_tale__hot_ale4_44c__2,-10.81163746079076,-1.5393135714999993
hot_tale__hot_ale8_30c__1,0.6120939217214749,-0.4705343634999997
hot_tale__hot_ale8_30c__2,0.7070259996902308,-0.4617203185000003
hot_tale__hot_ale8_37c__1,-2.552781018316522,-0.6279131085000005
hot_tale__hot_ale8_37c__2,-3.168808342023528,-0.6415522635000004
hot_tale__hot_ale8_44c__1,-9.53673896053974,-0.9966985844999988
hot_tale__hot_ale8_44c__2,-9.473451259707078,-1.0112710015000002
hot_tale__hot_ale9_mid_30c__1,-4.14500569023921,-1.1369458244999988
hot_tale__hot_ale9_mid_30c__2,-3.5865889958973365,-1.0361356364999992
hot_tale__hot_ale9_30c__1,2.2377004737943893,-0.6758684764999998
hot_tale__hot_ale9_30c__2,2.1748383821749657,-0.5714206794999992
hot_tale__hot_ale9_mid_37c__1,-6.098095237278359,-1.0376375974999998
hot_tale__hot_ale9_mid_37c__2,-6.453442422537852,-1.0129896354999994
hot_tale__hot_ale9_37c__1,-4.384189298024234,-0.9191657964999996
