,A,PhoB,ArcA
SRX5694304,1.8265586275999999,-0.2491479594,-0.3916451892
SRX5694305,6.1873900677,0.8599834896,-0.7050130261
SRX5694306,-2.6876403327,0.7643233674000001,0.5643015045
SRX5694307,6.8052780116000005,1.6651302744,0.7962936861000001
SRX5694308,2.6748932046,-0.34557191930000003,-0.2826643938
SRX5694309,2.9902646402,-0.9062638785,-0.9324801713
SRX5694310,12.4339910835,1.529186496,-0.7154435960000001
SRX5694311,4.7794658909,-0.3344836249,-1.0549187552000001
SRX5694312,1.2625444117,0.0356575079,1.2063663425
SRX5694313,4.2065120487,1.7102869779,0.24705451250000002
SRX5694315,-1.9925456731,-0.3908183311,-0.8248140526000001
SRX5694317,7.2778553884,0.5514049099,0.0642004802
SRX5694319,1.3404578801,-0.0222948076,-0.6773202813
SRX5694320,2.1731700221,-0.3079812824,-0.7345571464
SRX5694321,2.5877435144,0.74800013,-0.6457091890000001
SRX5694322,11.1229312822,1.6832904851000001,0.9416705114
SRX5694323,5.9317573244,1.2659970044,-0.5853874625000001
SRX5694324,9.7599368825,1.1142688067,-0.9406118542
SRX5694325,8.0919462301,2.2012092319,-0.28599873
SRX5694326,-1.6030127936,0.3921139326,-0.6848857907
SRX5694327,11.5591910287,1.6130428969000001,-0.619184327
SRX5694328,0.6648656488,-0.0178143339,-0.7077585323000001
SRX5694329,1.827517189,0.7133592037,-0.3164502813
SRX5694330,2.8685909201,1.2818809526,0.6378008244000001
SRX5694331,0.8782022341,0.2643644462,-0.2497476536
SRX5694332,2.4387186319,0.46090553630000003,-0.3739455369
SRX5694334,5.5441984568,-0.6282913141,-0.4412101766
SRX5694335,2.3428844918,1.3873937471,-0.5310190811000001
SRX5694336,6.3420058292,-0.8595106744000001,-0.45421179570000003
SRX5694337,1.2335713755,0.22543533840000002,-0.305938729
SRX5694338,-1.1889475421,-0.592478395,-0.6137315737
SRX5694339,0.5217296296,0.045574688200000005,-0.7445127357
SRX5694340,-2.7261045123,-0.9609435281,-0.440766099
SRX5694341,9.9673642716,1.5386804070000002,-0.1313631139
SRX5694342,-0.2586589671,1.7031902116,0.2026076278
SRX5694343,-0.3735422587,1.2042742245,-0.7345121231
SRX5694344,1.6897200998000002,-0.060440975800000005,-0.33577681130000003
SRX5694345,0.6497193358000001,1.4036969962999999,-0.3764485198
SRX5694346,1.9595478128,0.8759138288,-0.9055701749
SRX5694347,-0.949929899,-0.2576046933,-0.7128745584
SRX5694348,-0.2866407588,-0.112015105,-0.3365434024
SRX5694349,1.0816446641,-1.3112966129,-0.9118016409
SRX5694350,-1.1621730033,0.508958763,-0.2723243866
SRX5694351,6.2955022029,2.1898243966,0.7195692725
SRX5694352,-0.1476202519,-0.780776718,-0.7211493992
SRX5694353,-1.0908462009,-0.0694318892,-1.1035471096
SRX5694354,1.6104217747,-0.049931477200000005,-0.8090334449000001
SRX5694356,-2.3083112745,-0.1650930506,-1.0282208658
SRX5694357,-0.2225172135,1.7504704567,0.1033229876
SRX5694358,2.7769378326,-1.448580114,-0.989631354
SRX5694359,-1.7377562563,-0.2921222945,-0.6898793059
SRX5694360,-2.9913189772,-0.7484970482000001,-0.9385224537
SRX5694361,12.4403309183,2.418665,1.0977147786
SRX5694362,-0.07261785330000001,0.1592255967,0.36099427310000004
SRX5694363,-0.6170829423,0.0766832049,-0.600790616
SRX5694364,3.5095770162999997,-5.0599803669,-0.5144488377
SRX5694365,9.4355840124,3.6597915292,1.4841765936
SRX5694366,-0.23412093080000002,-0.5299373236,-0.7392321765000001
SRX5694367,9.8589927154,2.9690417263,-0.2944956992
SRX5694368,-1.2637391704,-0.5242974328000001,-0.8669199153
SRX5694369,-3.5507414652,-0.3446758152,-0.5948867843
SRX5694370,1.9881599629000002,-0.3704789854,-0.5244472115000001
SRX5694371,1.3115153438,-0.6739987376000001,-0.786795397
SRX5694372,-3.1750866824,-0.0442498219,-0.5681068862
SRX5694373,-1.0588869847,0.4193082342,-0.6737367768
SRX5694374,1.3561164925,-0.1694027498,-0.9874018292000001
SRX5694375,-1.4346518023,0.6652342687,-0.704628555
SRX5694376,1.7053032906,0.12867025240000002,0.6390051229
SRX5694377,3.6577700843,-1.1349715044,-1.119492052
SRX5694378,-3.0080602673,-0.5379352187,-0.5892935844
SRX5694379,-2.8772099239,-0.5771027474,-0.7488069058
SRX5694380,-0.3302993844,0.9327633556,-0.9849220242000001
SRX5694381,10.0443717856,3.036089275,0.0536946161
SRX5694382,0.211201422,0.4072180225,-0.4765596486
SRX5694383,-2.0016088431,-0.076928538,-0.9315031237
SRX5694384,0.5268281257,-0.1169496185,-0.306814501
SRX5694385,6.8229926298,3.3406417124,-0.14971446900000002
SRX5694386,7.7835280498,0.5074864448,-1.7867935451
SRX5694387,1.1807144642,-0.2983811386,-0.5907873538
SRX5694388,10.1765513906,1.1229439434,-0.8765617776
SRX5694389,-3.4773849266,-0.4363378492,-0.5076306448
SRX5694390,-0.8907411347,-0.3077458451,-0.9455588033000001
SRX5694391,5.8240452174,2.3222009132,-0.0546648603
SRX5694392,-3.6019991334,-0.0970864365,-0.7995883998000001
SRX5694393,1.1685681213999999,0.0411323051,-0.2305797444
SRX5694394,-0.1026166122,-0.19749690250000002,-0.2681092712
SRX5694395,-1.6386455867,0.8287469030000001,-0.6702235864
SRX5694396,7.1017350046,1.9349936451,0.8816852332
SRX5694397,1.3182516638,-0.5178092298,-0.8235027764
SRX5694398,0.5400408989000001,-0.6421503043,-0.4419145841
SRX5694399,-0.5373217435000001,0.5371884362,-0.7824784504000001
SRX5694400,-2.7798945816,-0.21749051800000002,-0.8957583694000001
SRX5694401,0.5488188693,-0.2988452689,-0.46520850020000004
SRX5694402,8.9978070771,0.5527624539,-1.9027115429
SRX5694403,5.4281682956,2.1740694521,-0.5633653791000001
SRX5694404,-0.5638446466,-0.31156689590000003,-0.4577927678
SRX5694405,0.511152004,0.31794019300000004,-0.5244412812
SRX5694406,-1.2177630587000001,0.0308927271,-0.4069620828
SRX5694407,-2.0714440253,-0.4347272689,-0.6797229178
SRX5694408,-1.5502578864,0.09918721200000001,-0.7931955938
SRX5694409,5.3033055963999995,0.311481157,-0.7313918552
SRX5694410,0.40932622420000003,0.0704286636,0.5205305132
SRX5694411,13.1466350331,1.6903933196,1.2752649621
SRX5694412,-0.3614486007,-0.9913024321,-0.8681426453000001
SRX5694413,-0.9475809284000001,1.5792732111,0.0039227364
SRX5694414,11.4025125031,2.8815402185,0.1272974469
SRX5694415,-2.6684548392,-0.551549269,-1.0048620916
SRX5694416,-0.0006908564,0.2363791415,-0.0255081624
SRX5694417,0.6216395730000001,0.0181999734,-0.37877042
SRX5694418,10.0347696025,-0.2189674747,-0.8464666129
SRX5694419,4.2621956553,-1.4284343053000002,-0.3984785491
SRX5694420,-1.9725932948,-0.1938575455,-0.302497715
SRX5694421,1.6668659905,0.1619639846,-0.6099977714
SRX5694422,5.8274859457,0.1187173173,-0.068855287
SRX5694423,-3.7805214518,-0.17888464710000002,-0.5813589195000001
SRX5694424,5.6890708747000005,1.2686694878,-0.4586027053
SRX5694425,0.5329273799,-0.35115507630000004,-0.8332605673
SRX5694426,2.9178339023,-0.1863823839,-0.7600289733000001
SRX5694427,-1.0729471072,-0.008076465100000001,-0.3639876078
SRX5694428,-0.1719173092,-0.0473434162,-0.6349855048
SRX5694429,13.5515596649,3.1525484397,1.262363916
SRX5694430,-1.3519804409,0.22176839680000002,-0.5589086929
SRX5694431,-0.8294046336,0.6879420708,-0.11194467350000001
SRX5694432,-3.3668620712,-0.4921433747,-0.576840738
SRX5694433,-0.3543725133,1.2076057018,0.38963961950000003
SRX5694434,4.4810779786,2.6092894175,-0.3241111343
SRX5694435,5.2336593983,-0.2963130127,-0.25701469
SRX5694436,5.4258939031,-0.00050964,-1.3601739322
SRX5694437,12.6941556201,2.9501358344,-0.0437337862
SRX5694438,-1.9544343955999999,-0.6220983531000001,-0.8291054388
SRX5694439,-0.014203866,1.6250259691,-0.51258285
SRX5694440,0.35877302800000005,-0.27054652500000004,-0.37249924100000004
SRX5694441,1.2026180527,0.8394584190000001,-0.230511501
SRX5694442,9.6811845936,0.9468347951,-0.8200548711000001
SRX5694443,-3.3054461882,-0.1600291151,-0.4406184697
SRX5694444,-1.3192654742,-0.6196192891,-1.0535215027
SRX5694445,7.0718677904,-0.6182054455,-0.6204594402
SRX5694446,-1.4621175793,0.09783128220000001,-1.0780453714
SRX5694447,-1.1023078433,0.033823894800000004,-0.2826101176
SRX5694448,5.2260992445,0.2993884409,0.3674181562
SRX5694449,-1.2839797987,0.09455541910000001,-0.5328863570000001
SRX5694450,2.5583029129,0.0153174672,-0.4055443481
SRX5694451,-2.0840967761,1.4587434848,-0.6397645289
SRX5694452,6.6391075637,2.2651197407,0.7842886771
SRX5694453,0.6516748442,2.22525034,0.0852071991
SRX5694454,0.3050583242,0.0305671292,-0.18555417640000002
SRX5694455,3.2424151062,-0.6159305841,-0.3648115819
SRX5694456,0.3147249763,-0.11311851140000001,-0.5856403514
SRX5694457,2.5737671624000003,0.1056794576,-0.6155918729000001
SRX5694459,-0.3921061688,-0.015591816900000001,-0.8278137878
SRX5694460,0.8110808357,-0.58304412,-0.346563681
SRX5694461,-1.6230090218000002,-0.9811818135,-0.6241635859
SRX5694462,2.2075327326,-1.282169456,-0.7549218009
SRX5694463,-0.9071973292000001,0.259380692,-0.5317721226000001
SRX5694464,-2.6903558105,-0.3298617042,-0.42569096170000004
SRX5694465,-4.8289257323,-0.3224278857,-0.7787333394
SRX5694466,10.8900023369,2.7889110394000003,0.2849311861
SRX5694467,-2.4951326379,-0.1321580488,-0.6791321378
SRX5694468,1.9317728842,-0.38224935520000003,-0.5489293682
SRX5694469,-0.4050021714,0.2772096718,-0.4651611836
SRX5694470,0.010643798500000001,-0.0762441465,-0.0026546786
SRX5694471,-2.7329103577,-0.7982579995,-0.4027529064
SRX5694472,4.1606427774,-0.0813988331,-0.2620807039
SRX5694474,1.230849133,2.3819527842,-0.1322773285
SRX5694475,-6.4173748039,1.1495729516,-0.24219310500000002
SRX5694476,-1.0176226175,-1.3730311866,-0.8656861585000001
SRX5694477,-3.4937610674,-0.5734855603,-0.0965249888
SRX5694478,-2.9745540081,0.2626254233,-0.6125686037
SRX5694479,2.2203297699,1.6513759818,-0.6780251964
SRX5694480,2.0021657294,1.4615497973,-0.3036139091
SRX5694481,-0.9348729882000001,-0.3823013592,-0.32311821100000004
SRX5694482,0.7325425895000001,-0.4589221382,-0.6472823522000001
SRX5694483,-3.7069871045,-0.0332975503,-0.6886665677
SRX5694484,-2.2984669625,-0.5467613207,-0.8571132198
SRX5694485,7.5794698658,0.5337156492,0.1284023329
SRX5694486,0.2782878055,-0.1940934124,-0.4840414957
SRX5694487,-3.0643748941,-0.20017797210000002,-0.5855811282
SRX5694488,-0.3287093012,-0.5172933083,-0.6483210227
SRX5694489,2.1126292211,-0.2695963579,-0.7268829535
SRX5694491,0.2628157237,-0.8222616411,-0.6520774905000001
SRX5694492,1.2196297239,-0.7199684907,-0.5106188083000001
SRX5694493,15.1520213904,3.44683685,0.24239025290000002
SRX5694494,-0.7597612802,0.0902741081,-0.117810119
SRX5694495,3.2672649108,0.1115148125,-0.17484840610000002
SRX5694496,1.4078772834,0.7678033785,-0.37866698060000004
SRX5694497,2.8893587505,2.3103842681,-0.2466820523
SRX5694498,-4.0307150662,0.464198172,-0.44428095980000004
SRX5694499,-2.1907268227,0.2250775691,0.7972235026000001
SRX5694500,-0.20797244920000002,0.3234093188,-0.6681049898
SRX5694501,-3.65704048,-0.5882067815,-0.6444253488
SRX5694502,2.8899318110000003,-0.4230281636,1.3237205784000001
SRX5694503,5.2540090425,0.7343401916000001,-0.7269781167
SRX5694504,1.4260897569,-0.2410238268,-0.419732614
SRX5694505,5.9373101727,-0.6359217789,-1.20391518
SRX5694506,3.9228698087,0.6862213629,0.3177096072
SRX5694507,1.4976490852,0.9978786601,-0.3527548835
SRX5694508,1.2203387126,1.0237846145,-0.5273337604
SRX5694509,6.0543978887,0.6758144222,-0.09956798480000001
SRX5694510,-1.8737051556000002,0.3015162867,-0.5793740741
SRX5694511,-0.8897766563,-0.44223413240000004,-0.6560487783
SRX5694512,-0.4793514437,-0.6931450718000001,-0.8122972091
SRX5694513,2.0275120226,0.9800035956,-0.5523283406
SRX5694514,1.1329253720999999,-0.3711909064,-0.4941901373
SRX5694515,11.6960971425,3.3914647803,0.018631723200000002
SRX5694516,1.4713874436,1.4559832073,-0.5160877503
SRX5694517,-2.4363220189,-0.27676079330000003,-0.7014788256000001
SRX5694518,-4.4549068142,0.0003951882,-0.5921202789000001
SRX5694519,4.1343118927,0.3158130818,-0.6426764761
SRX5694520,0.45459793940000004,-0.1542568286,0.8100192573
SRX5694521,-1.9660728747,-0.5297967685,-0.6810660943
SRX5694522,-0.5804785672,-0.6331813268,-0.44490424640000004
SRX5694523,-1.9121890108000001,-0.818745359,-0.8069696731
SRX5694524,2.1947163971,-0.9864332369000001,-0.8317090932000001
SRX5694525,-0.7402666263000001,-0.2681026005,-0.48981127210000003
SRX5694526,0.7510709388,-0.8148304095000001,-0.7361761565
SRX5694527,0.3423085072,0.4718514767,-0.7635762723
SRX5694528,2.4095195488,1.2555101217,-0.673219145
SRX5694529,0.45086206910000004,-0.205691422,-0.6117182999
SRX5694530,2.1579954269,0.729893326,0.8249116608
SRX5694532,5.8294350065,2.4010226967,-0.1835209761
SRX5694533,10.0261875649,3.3873656029,1.2297299564
SRX5694534,14.4565586724,2.7548591139000003,0.8964491817
SRX5694535,0.5807204372,1.327599618,0.6051719506000001
SRX5694536,0.2008622732,-0.5901869005,-0.7366201193
SRX5694537,-0.6109262453000001,-0.47369081220000003,-0.6509915197
SRX5694538,-1.1038261952,-0.28052759120000004,-0.3619950656
SRX5694539,-2.7522898801,-0.5760016513,-0.48443834680000003
SRX5694540,6.2057923862,2.1587018238,-0.5860169708
SRX5694541,-1.8233050718000001,-0.1376374148,-0.4899706324
SRX5694543,-0.9715688378,1.9610486671,-0.6916261842
SRX5694544,-3.9133211714,-0.3576458847,-0.7723148823
SRX5694545,-1.738603863,0.0887660913,-0.9345604604000001
SRX5694546,-0.8462004498,-0.8174514690000001,-0.7274115978
SRX5694547,-1.4341616018,0.3134763658,-0.3357729393
SRX5694548,-0.0099529421,-0.160134995,0.028162841
SRX5694550,3.2629827457,1.2150492734,-0.7346413894
SRX5694551,-5.4538629803,0.41590938,0.4764316374
SRX5694552,-1.4668019241999999,0.0687567618,-0.7448938301
SRX5694553,2.3553406513,0.2029816492,-0.3273924877
SRX5694554,-0.4763885218,0.0124249554,-0.4181937543
SRX5694555,0.6007629783,-0.5640112220000001,-0.2452545928
SRX6072760,12.8309170619,-0.8708381525000001,-1.0870508238
SRX6072761,5.7990706998,-0.0061583291,-0.9961289279000001
SRX6072762,13.260309790400001,-0.31487804620000004,-0.771228957
SRX6072763,12.1643972075,0.0016736551,-0.2988503818
SRX6072764,7.325354304,-0.4975104061,-1.3060500737
SRX6072765,13.2157661491,-0.0598926254,-0.4698493415
SRX6376491,0.0324625479,0.8362272231000001,-0.431836726
SRX6376492,7.4191291726,-0.2111185528,-0.2479315403
SRX6376493,6.3397049916,0.0140185979,-0.3208997619
SRX6376494,4.8655089689,0.3437332133,-0.5793796718
SRX6376495,-1.4335649162,1.2633022024,-1.0214167472
SRX6376496,-0.2518145014,0.6959382994000001,-0.3290600459
SRX2723951,4.0648980173,0.4003063263,0.6598914536
SRX2723952,6.1632280255,0.4031138131,0.9832884074
SRX2723953,3.175671677,0.7650684934,0.8721664519000001
SRX2723954,8.9582721988,0.5089831707,2.1359526484
SRX2723955,4.2855411154,0.32362925330000003,0.2737678919
SRX2723956,4.6401120012,-0.29226051950000004,0.695521326
SRX2723957,-1.482788631,0.2547285144,0.0027797833
SRX2723958,0.5156753834,0.2862065514,0.40495222070000003
SRX2723959,-0.1334999674,0.2559450937,0.060148937000000006
SRX2723960,3.6568274254,0.3701647328,0.5717783675
SRX2723961,8.4257493996,0.6497338815,2.013377032
SRX2723962,3.7902225194,0.105830692,0.5681472350000001
SRX2723963,3.6833555392,-0.3348079724,0.010549156700000001
SRX2723964,4.845240517,0.27387417010000004,0.4934227188
SRX2723965,3.4963184219,0.25172497720000003,0.5664943758000001
SRX2723966,-0.5337679799,0.2045716807,0.0090813135
SRX2723967,0.0344916248,-0.341227461,-0.0779921871
SRX2723968,0.4992763551,0.1366557803,0.0689108736
SRX6977206,-6.9791548756,-0.8585891033,-0.2660637843
SRX6977207,-8.5706656391,-0.4251082295,-0.1977449234
SRX6977208,-3.152293834,1.8125402179,-0.8011750807
SRX6977209,-4.379415569,1.7026388219,-0.7229537595000001
SRX6977210,-4.2403712516,1.9822565092,-0.7316805148000001
SRX6977211,-0.2936794332,-0.0478759895,0.24226025480000002
SRX6977212,-0.8201381687,0.0848931498,0.035584912600000004
SRX6977213,1.1138176019000001,-0.037017160300000004,-0.27784516740000004
SRX6977214,-6.9599099218,-0.39509782590000003,-0.45637460430000004
SRX1153733,-0.9157831782,-0.1109931823,-0.0047153767
SRX1153734,0.9157831782,0.1109931823,0.0047153767
SRX1153735,-2.6579185607999998,-0.44250632,-0.642745039
SRX1153736,-1.5485393689,-0.7156184694000001,-0.5084827087
SRX5204053,0.7865422021,0.5952531639,-0.08529558670000001
SRX5204054,0.3983628172,0.5647448427,0.8012682941
SRX5204055,0.8131421273,0.44847398450000003,0.1542748704
SRX5204056,-2.8104448002,1.0030704521,0.1090142038
SRX5204057,-2.9207365084,1.2932910180000001,0.0078292888
SRX5204058,-2.4011965167,1.1453139152,0.1253351143
SRX5204059,-0.3416970865,0.4949959031,0.5831462612
SRX5204060,-1.7972639371999999,0.6320347947,0.41584700280000003
SRX5204061,0.7028525955,0.4100507357,0.6879144689000001
SRX5204062,-0.49848251520000003,0.8627950707,0.3425481281
SRX5204063,-0.13965077310000001,0.4934181808,0.5119545347
SRX5204064,-6.0956742760000004,0.5151054503,-0.0117761242
SRX5204065,-0.3794227941,1.0772428017,-0.095873567
SRX5204066,-0.5266149638000001,1.2000245065,-0.0802858917
SRX5204067,-0.6699885263,1.2093959711,-0.127856044
SRX5204068,-5.4316319231,0.4160649323,0.1746383879
SRX5204069,-5.9207611331,0.3769124739,0.3394955556
SRX5204070,-7.8846477036,0.2436166095,0.1148926958
SRX5204071,-4.622601537,0.7150172587,0.15453108570000001
SRX5204072,-5.0691369982,0.18707333980000002,0.23635940800000002
SRX5204073,-5.707555711,0.6210418328,0.23717754370000002
SRX5204074,-7.7556746345,0.288357274,0.2930704619
SRX5204075,-4.428730594,0.3523633333,0.1857983671
SRX5204076,-7.3229080905,0.38038589440000004,0.019161760700000002
SRX5204077,-6.198144863,0.10267237400000001,-0.0826576492
SRX5204078,-7.1357054176,0.40655981290000004,-0.2361644672
SRX5204079,-7.3346459881,0.5343131702,-0.12815926800000002
SRX5204080,-6.685927723,0.44635871250000003,0.1660170045
SRX5204081,-4.4938499581,0.4962290714,0.1192504917
SRX5204082,-4.347560537,0.36972907390000004,0.09662175020000001
SRX5204083,-0.3399771185,0.5460470683,0.1154296665
SRX5204084,-1.8112460287,0.8579209680000001,0.023372325500000003
SRX5204085,-0.293518475,0.8966910404,0.0679530203
SRX5204086,-1.3601215711,-0.1099641445,-0.6046974157
SRX5204087,-0.8089411351,0.7073889545000001,-0.38429209540000003
SRX5204088,-0.8372995498,0.4376492979,-0.5186902934000001
SRX5204089,0.8347024702,1.330417818,0.2186115154
SRX5204090,0.0737582179,1.1767067303,0.2820235584
SRX5204091,1.1132575095,1.1305653774,0.2637065304
SRX5204092,1.5295423587,0.2188050326,0.283266057
SRX5204093,1.1084442515,0.5486562070000001,0.2464858514
SRX5204094,0.7764777363,0.5543185971,0.43201735620000004
SRX5204095,0.2171476497,0.1884400692,0.1567052096
SRX5204096,-0.0781170649,-0.1867221873,-0.1563113709
SRX5204097,-0.1390305848,-0.0017178819,-0.0003938387
SRX683459,-0.6693931928,0.004458338300000001,-0.10668910940000001
SRX683460,-14.6603480294,0.3061044878,-0.37610427960000004
SRX683461,-0.0528828033,-0.38180194630000003,-0.3472299849
SRX683462,-13.9202854152,0.2499634728,-0.2737152619
SRX683463,0.7222759961,0.377343608,0.4539190943
SRX683464,-13.0441208213,0.5014370243,-0.36715026040000004
SRX683465,-2.594015161,0.0119288177,-0.1900522406
SRX683466,-13.2050356086,0.0315734718,0.4586848329
SRX683467,-1.6390275508,-0.041176533200000004,-0.1137331701
SRX683468,-14.859781832,-0.3538652745,0.351457515
SRX683469,-0.702667406,0.033565964000000004,0.38930109500000004
SRX683470,-13.8344634212,-0.20565982500000002,0.2544534292
SRX322077,0.98284548,0.2893436061,0.19182513380000002
SRX322078,-1.0657072453,0.5825379843,0.130973745
SRX322079,-0.2598480816,0.3113008839,0.1069520676
SRX322080,1.0613382038,0.2159130777,0.2023433892
SRX322081,-1.0096361303,0.0015800703000000001,0.1335451758
SRX322082,-0.8113987582000001,0.6744941949000001,0.20095338040000002
SRX322083,0.0224249161,-0.179634959,0.2056374265
SRX322084,-0.4052281238,0.1952147128,-0.059188026500000004
SRX322085,0.38280320770000004,-0.0155797538,-0.14644939999999998
SRX2708592,6.0180495697,2.7191671651,-1.7960660373000001
SRX2708593,4.93766736,1.8066656074,-1.753761413
SRX2708594,3.9670729078,3.0204019355,-0.8866115556
SRX2708595,-0.2751124918,0.5752581135,0.0366773828
SRX2708596,-0.2118428109,-0.304635772,0.044415883100000005
SRX2708597,0.48695530270000004,-0.27062234150000003,-0.0810932659
SRX2708598,-0.45295698500000003,-0.46639725600000004,-0.3119249987
SRX2708600,-0.7793915026,-0.1474000863,-0.1038033336
SRX2708601,-0.43020779340000004,-0.036769523400000004,0.18864385660000002
SRX2708602,0.5089888551,2.0900782089,0.3724957179
SRX2708603,-0.29223975020000004,0.6488053299000001,0.0447130736
SRX3073814,-0.8340402411000001,-0.1372006432,-0.3108098738
SRX3073815,-5.0103616487,-0.1968397239,-0.3938586915
SRX3073816,-6.2258097015,-1.0728660732,-0.43797418
SRX3073817,-4.7209239282,-0.3823449115,-1.0373322502
SRX3073818,-3.7834308339,0.2577930183,-0.8228630646
SRX3073819,3.4067549514,0.7169932025,0.0260618476
SRX3073820,-2.9825347876,-0.6722364682,-0.7228986307
SRX3073821,-4.9456943871,-1.3305041067,-1.2012400512
SRX3073822,-3.4344028845,-0.6574733865,-1.2784560322
SRX3073823,-1.922792542,0.1879924821,-1.4956265605
SRX3073824,0.8340402411000001,0.1372006432,0.3108098738
SRX3073825,-4.8029184927,0.1838221978,-0.1162291865
SRX3073826,-6.8218077973,-0.6472181982,-0.26008587
SRX3073827,-4.2321267793,-0.25924533040000003,-0.9215448220000001
SRX3073828,-3.0399450928,0.3970056294,-0.9344902321
SRX3073829,1.5184524232999999,0.4568151447,-0.2065365245
SRX3073830,-4.3762187093,-0.9136022920000001,-0.963196802
SRX3073831,-5.1035989356,-1.2799920476,-1.2098262852000001
SRX3073832,-3.2897671798,-0.4781973076,-1.5012770128000001
SRX3073833,-1.5726817055,-0.20191591520000002,-1.1239316736
SRX2391456,-0.1214408347,0.1957036916,-0.0904681673
SRX2391457,-0.6236732479,0.0884592381,-0.2097819642
