,A,GcvA,PurR,Crp,Fnr,Lrp
ompr__wt_nacl__1,-5.042865117964678,-0.24227836450000065,-1.6547878429999994,-0.6865814769999989,-0.7696515920000007,-1.7687857470000008
ompr__wt_nacl__2,-4.456120921700425,-0.37264235549999997,-1.5300120489999998,-0.620927,-0.6463673310000004,-1.6018835700000018
ompr__bw_delompr_nacl__1,-6.217871816105735,0.20219314950000025,-1.675181885999999,-1.0462482019999992,-1.035417797000001,-2.108711887000002
ompr__bw_delompr_nacl__2,-6.498724439730909,0.28070944450000024,-1.7923688309999999,-1.071490686999999,-0.9836439900000008,-2.047493032000002
minspan__wt_ade__1,-5.50916209547525,0.4393333715000001,-1.933301888999999,-0.09169608400000052,-0.579642380000001,0.11695163999999815
minspan__wt_glc__2,-3.4115385372094136,0.43432792049999946,-0.6507520729999996,-0.17147671399999884,-0.946672155,-0.2346770100000004
minspan__wt_glc__3,-4.3225600813978415,0.13203193149999934,-0.6409597129999991,-0.2165117989999992,-0.702451240000002,-0.3081033300000016
minspan__wt_glc__4,-4.264868399763033,0.3272571675,-0.6888413389999997,-0.23779414300000035,-0.6560544730000011,-0.3271358500000012
minspan__wt_glc_anaero__1,-4.553294331152655,0.5112252934999999,-0.5230801379999992,0.09730802400000016,-1.3752412100000004,-0.4243392600000018
minspan__wt_glc_anaero__2,-3.719771950699792,0.6039150984999999,-0.5170238429999987,0.0007891440000005191,-1.5192858430000022,-0.36819001000000107
minspan__wt_trp__1,-4.567258130664525,0.4017392214999997,-2.3739811889999998,0.379309933,-1.8579653490000012,0.16952412999999922
minspan__bw_delcra_glc__2,-5.5743369070334845,0.4181639045000001,-1.2287165919999987,0.2077464830000011,-1.774069647000001,0.028595959999998755
minspan__bw_delcra_trp__1,-3.876947739381527,0.4471267154999987,-0.9278700579999991,0.245706203000001,-1.6792622710000007,0.4823520599999984
minspan__bw_delmntr__1,-4.718500010286327,0.44666187049999895,-1.6134236379999995,0.3950805430000006,-1.529694333000002,-0.489868083000001
minspan__bw_delnac_ade__1,2.054146941163991,-0.014710509500000413,-2.407737035,0.005806081999999435,-0.24103003300000125,-0.25947829000000056
minspan__bw_delnac_glc__1,-5.504749373352016,0.33926031649999894,-0.5488784869999996,0.19238992300000035,-0.7240322750000008,-0.16589605000000066
cra_crp__wt_ac__1,-0.7604441225379424,0.41255769350000016,-0.4334866479999988,0.7848307329999997,0.5630292579999985,-0.7937532780000005
cra_crp__wt_ac__2,-0.9768039760835678,0.4347758045000001,-0.44056855600000056,0.774460393,0.5452901479999994,-1.0074361820000008
cra_crp__wt_fru__1,-0.1528108790568659,0.5921635775,-0.4428178309999993,0.3134937529999995,0.574998437999998,-0.7812257650000003
cra_crp__wt_fru__2,-0.2990879754804201,0.5480442974999997,-0.4395240769999997,0.3732440629999996,0.5622400479999996,-0.5676322980000013
cra_crp__delcra_ac__1,-3.1144349996494696,0.003814879500000145,-0.25745089699999824,0.20535391299999967,-0.3505163840000005,-0.9124693790000008
cra_crp__delcra_ac__2,-3.612910799994167,-0.019080915500000014,-0.2638256329999997,0.15922527300000056,-0.29769803800000183,-0.9288452980000006
cra_crp__delcra_fru__1,-3.560918032983952,0.2792343095000005,-0.4205456139999999,0.12650519299999985,-0.4862878060000018,-0.146197990000001
cra_crp__delcra_fru__2,-3.4232163096941046,0.17934789149999994,-0.4862399009999994,0.1631474930000003,-0.5381468600000012,-0.16313055000000176
cra_crp__delcra_glc__1,-0.3705228999867531,-0.14300605750000006,-0.3950187189999994,0.046791002000000866,-0.5029783950000013,-0.17590444000000185
cra_crp__delcra_glc__2,-0.1621679089385761,-0.13098931850000015,-0.3851853149999993,-0.014761103999999747,-0.5727874140000004,-0.07839542000000144
rpoB__wt_031__1,-1.3113012689800485,-0.4695287005000006,-0.9070016239999994,0.271760703,-0.4392632620000008,-0.15020317000000105
rpoB__wt_044__1,-1.1931801703446177,-0.2361497545000004,-0.5232537199999996,0.2048586730000004,-0.35546248300000194,-0.14559594000000153
rpoB__wt_lb__1,5.270995620828496,-0.3949328405000001,-2.397447018,0.2472729529999995,-0.4312754440000006,-1.593807688
rpoB__wt_lb__2,4.747656628034112,-0.5654493375000005,-2.296755116999999,0.2041545229999997,-0.4756920160000018,-1.5296059590000013
rpoB__rpoBE546V_031__1,-2.3705710834923543,-0.05739997650000017,-0.2949043929999995,0.4571714629999999,-0.2190748840000012,0.2033854099999992
rpoB__rpoBE546V_044__1,-2.6216702564675005,0.059155287499999425,-0.326179333999999,0.37625628299999997,-0.29527451800000115,0.22428216999999864
rpoB__rpoBE546V_lb__1,4.297762821171116,-0.15651412249999996,-1.3611134459999998,0.1174804819999995,-0.1772575130000007,-1.6549743140000004
rpoB__rpoBE546V_lb__2,4.446180218909491,-0.4437542795000001,-1.2892879069999983,0.1254229630000001,-0.1896798920000009,-1.6593100640000014
rpoB__rpoBE546V_glc__1,-0.1446162971876662,0.013269937499999608,-0.3083428329999993,-0.004082425000000001,-0.13970386800000156,-0.2945258700000011
rpoB__rpoBE672K_glc__1,0.9764612471154058,-0.2474151315000004,-0.3321981039999997,-0.6662891799999997,-0.2144874060000017,-0.2388906000000013
rpoB__rpoBE672K_glc__2,1.2817580686210734,-0.27498953850000074,-0.3235757649999993,-0.5708984560000001,-0.2133236690000011,-0.24658735000000045
rpoB__rpoBE672K_lb__1,1.9790900278403163,-0.2952684515000001,-1.1861409069999986,-0.2288451829999989,-0.31724649200000066,-2.2500474120000025
rpoB__rpoBE672K_lb__2,1.841636688290588,-0.3702216975000008,-1.0380291660000005,-0.18410035800000024,-0.3099385020000014,-2.232371337000002
crp__wt_fru__1,-0.5390435590831314,-0.045373942500000375,-0.3719319700000003,-0.13483747499999946,-0.2229942960000013,-0.30661565000000124
crp__wt_glyc__1,-0.3119736244489591,-0.12388831750000052,-0.20950125100000072,-0.06971342199999953,-0.17428477600000036,-0.294839780000002
crp__wt_glyc__2,-0.4670090219130213,-0.07817561149999985,-0.20384422399999916,0.000271048000000107,-0.08995859500000059,-0.2668702900000017
crp__delar1_glyc__1,-1.6436525047437474,0.8539247664999996,-2.400796806999999,0.7684826630000003,-1.2857264020000017,0.12869007999999835
crp__delar1_glyc__2,-2.913222846816347,0.933121451499999,-2.566078767999998,0.9809746629999996,-1.5015297130000018,0.08123357999999925
crp__delar1ar2_glyc__1,0.1524725778062519,0.22057661049999933,-0.3226346939999996,0.2916550830000002,-0.15562998200000067,-0.03978781000000176
crp__delar1ar2_glyc__2,0.6551153978688098,0.31203137350000004,-0.29081666099999914,0.2567226429999998,-0.11493448800000115,-0.09250152000000078
crp__delar1ar2_glyc__3,0.573408758890314,0.3863340714999994,-0.16811393999999955,0.37124749300000026,-0.1471097530000005,-0.028668730000001474
crp__delar2_glyc__1,-2.600371886068105,0.13433801850000116,-0.7345627679999991,1.4298253029999994,-1.2714837790000022,0.23935110999999945
crp__delar2_glyc__2,-2.9811992364987363,0.2384457734999996,-0.638080296,1.3004454830000007,-1.1773514360000004,0.0801622799999997
crp__delar2_glyc__3,-2.679339955644468,0.4926786195000004,-0.6235469979999984,1.2369035230000005,-1.1748534320000008,0.055570799999998144
crp__delcrp_fru__1,-3.0846658791536647,0.5640441745000002,-0.4809166559999998,-9.852476477,-0.24670364600000205,-0.40847084000000144
crp__delcrp_fru__2,-3.0881068707540646,0.4006380734999997,-0.569929651999999,-9.107951936000001,-0.21771090100000198,-0.4328397300000013
crp__delcrp_fru__3,-3.7958819860751247,0.7240652124999993,-0.6474329289999989,-9.852476477,-0.34636329800000176,-0.4221457500000003
crp__delcrp_glc__1,-1.0159900472574703,0.11167101349999964,-0.3628112409999993,-9.025871704,-0.14795257000000106,-0.3759961600000015
crp__delcrp_glc__2,-1.0312367797693744,0.3906601824999996,-0.3573192289999998,-9.566616581,-0.1338359880000013,-0.33779719000000163
crp__delcrp_glc__3,-1.9806243362741995,0.2038577374999999,-0.43220587699999946,-9.852476477,-0.2458932260000015,-0.31697267000000195
crp__delcrp_glyc__1,-1.3311831409412884,0.07171410750000007,-0.5613519289999989,-9.852476477,-0.17621799900000035,-0.24442594000000106
crp__delcrp_glyc__2,-1.93637396140076,0.3479210824999992,-0.6134231149999998,-9.852476477,-0.25661334000000124,-0.4047844800000018
crp__delcrp_glyc__3,-2.101880693111706,0.2926495504999993,-0.6460402349999992,-9.852476477,-0.2795685010000017,-0.2480484100000009
glu__glu_ale3__1,0.5497652195475596,0.3753439015,-1.302641261999999,1.4385551630000002,-1.5312083710000015,-0.25690686000000085
glu__glu_ale4__1,2.2559576330600595,0.1715543204999994,-0.06574476099999949,0.1237046330000009,-0.3330961230000007,-0.028286200000001926
glu__glu_ale5__1,3.14737334609446,-0.07901673749999992,-0.3676591219999992,0.23737495299999975,-0.7786549400000009,-0.32551995000000034
glu__glu_ale6__1,2.231584388149307,-0.3566495095000004,-0.32668816999999883,-0.2669721739999993,-0.12059369700000032,-0.4628411600000018
glu__glu_ale8__1,1.345926419951997,0.4247623825,-1.5654963089999994,1.5517659029999995,-1.378413375000001,-0.3067369700000011
glu__glu_ale9__1,-4.174623861824675,0.27017660049999925,-0.9525517669999992,0.736260553000001,-0.7807343670000009,-0.1335275900000017
glu__glu_ale10__1,1.0396300129395497,0.17484465949999972,-0.8458468600000009,1.2484999630000004,-1.3600023360000009,-0.4409049200000013
42c__wt_42c__1,-0.9584130936755552,0.14488456549999906,-0.2267769529999999,-0.02289376299999901,-1.0145581910000008,-0.1814189800000019
42c__42c_ale1__1,-5.356514165088599,0.3421230804999995,-2.139238956999999,0.578078713,-1.8717782250000008,0.02694654999999813
42c__42c_ale2__1,0.4390046432709842,0.6240852234999998,-0.21372666699999954,-0.001157444000000396,-0.4431280230000017,-0.10089377000000076
42c__42c_ale3__1,0.0023236545699697,-0.053111300499999466,0.33396364600000084,-0.16365086199999898,-0.1727305000000019,-0.4555495700000005
42c__42c_ale4__1,0.2237441402256648,0.8435951804999995,-1.5789642479999992,0.18829674300000046,-0.3207554420000012,-0.1755737600000007
42c__42c_ale5__1,-1.7878475474316138,-0.05884678450000003,0.03211988700000035,-0.2550904079999992,-0.5273028440000012,-0.34553532000000153
42c__42c_ale6__1,-4.477928970014541,-0.06377465050000009,-1.5490650069999985,0.5847098129999999,-1.720490645,-1.1067441790000014
42c__42c_ale8__1,-5.909774570438652,0.9992939534999996,-2.176331811999999,0.898060053,-0.7990813750000001,-0.4545486800000002
42c__42c_ale9__1,0.8236935179230713,0.2422319184999999,-0.17929783099999952,0.2344509129999999,-0.4473727390000004,-0.2856900400000004
42c__42c_ale10__1,-1.9734172188187304,0.36469785450000014,-1.7417527489999998,0.5824345429999997,-0.9696312210000002,-0.2772753500000018
ssw__wt_ac__1,-3.4301704447919827,0.2826265384999997,-0.8952276860000001,0.155824183,-0.8082528600000014,-1.1237086290000011
ssw__wt_glc__1,-5.002354097615747,0.14566926249999934,-0.4944168209999997,0.08995910700000033,-0.2496041240000011,-0.3293304500000005
ssw__wt_glyc__1,-4.653015645965837,0.5039119935,-2.0489338529999994,0.2646295629999997,-0.3966449650000019,-2.208593492000002
ssw__wt_xyl__1,2.5414804247571907,-0.10605156450000043,-1.3296441839999993,0.6151089029999994,0.2157472579999986,-1.2228882600000013
ssw__glc_ale1__1,-5.755613954128725,0.2597131814999996,-0.8350271729999994,0.31199771300000023,-0.4638172160000007,-0.2620418800000017
ssw__glc_ale2__1,-4.7264867914159625,0.4075993974999994,-0.5424184059999995,0.5353218630000001,-1.507022258000001,0.08305933999999837
ssw__glc_ale3__1,-4.846550216256662,0.5996534264999998,-0.9190884489999992,0.4454840030000007,-1.2375372210000002,-0.282193760000002
ssw__glyc_ale1__1,-4.086995586231938,0.5734524934999996,-0.9212058779999994,0.2988789030000003,-0.391325409000002,-0.5586294470000013
ssw__glyc_ale2__1,-4.678515073795304,0.5625989494999999,-0.4635594110000003,0.3021156230000006,-1.296498570000001,-0.018397810000001517
ssw__xyl_ale1__1,-6.499747052448292,0.5522191894999997,-0.6571093460000004,-0.2147884219999998,-0.9544926520000008,-0.7885689070000019
ssw__xyl_ale2__1,-2.531341024863213,0.6612872974999995,-0.4560179560000002,0.026451148999999674,-0.6357546720000009,-0.5042436030000008
ssw__xyl_ale3__1,-2.9927338389613847,0.6991334074999997,-0.9097521769999988,-0.3138359289999997,-0.9828595450000002,-0.4955059000000013
ssw__glc_ac_ac2__1,-5.078361246255991,0.02866399649999973,-3.1052622189999988,0.5069351229999999,-2.2943992480000013,-0.7812120870000019
ssw__glc_ac_glc1__1,-4.570097605984773,0.3898267845000003,-1.4790674860000008,-0.42053636400000016,-0.3561024360000005,-1.0814780570000018
ssw__glc_glyc_glc__1,-3.4501499097181823,0.26597735050000004,-1.384319531,0.565682133000001,-1.4659991440000013,-0.5697957290000009
ssw__glc_glyc_glyc__1,-5.266338708188853,0.26092659149999964,-1.0057155709999996,0.3070424930000009,-0.5806601790000006,-0.5600905080000018
ssw__glc_xyl_glc__1,-4.302465771747155,0.5814189474999996,-0.8161320239999991,0.029020071999999782,-1.242127184000001,-0.8671927960000012
ssw__glc_xyl_xyl__1,-2.9405371858159643,-0.04878841150000035,-0.4741498209999993,-0.2438474470000003,-0.7752710380000014,-0.3810301700000007
ica__wt_glc__1,2.427738617795709,0.18026308449999995,-0.5322093019999983,-0.02120516499999958,-0.7268877690000011,0.06347383999999856
ica__wt_glc__2,2.1970358074066207,0.15461444950000036,-0.5262498929999992,-0.013075077999999962,-0.7699083190000007,0.009214789999999695
ica__wt_glc__3,-0.8954335800675172,0.08663746049999954,-0.31362154099999984,0.0930502690000008,-0.5550889640000012,-0.15474256000000075
ica__wt_glc__4,-1.828837440775724,0.47954972450000005,-0.5483145199999999,0.399858493,-0.701890070000001,0.17742325999999942
ica__arg_sbt__1,0.8097624388935087,-0.34386504950000063,-1.2116917129999996,0.17296083299999945,-0.9857155870000014,0.2544338099999983
ica__arg_sbt__2,0.988133160050902,-0.3223028745000001,-1.0972392279999994,0.4931735029999995,-0.8052297820000014,0.40943523999999704
ica__cytd_rib__1,-4.535980529294971,0.3169319454999995,-1.7018173469999986,0.5032386530000004,-0.6435942390000005,-0.43020659000000094
ica__cytd_rib__2,-4.829999154558488,0.36270101549999895,-1.7323704749999995,0.4864851229999996,-0.6875447610000016,-0.6894574240000004
ica__gth__1,-1.5506033375620896,0.2920059024999997,-0.4660470029999999,-0.3447319570000005,-0.8140340760000004,-1.3891427300000014
ica__gth__2,-1.7595400891217394,-0.042410695500000095,-0.4612284659999997,-0.5509396859999995,-0.9197743240000024,-1.7287003020000018
ica__leu_glcr__1,0.7809282704397558,0.21792348249999985,-0.4294050009999992,1.0260792930000004,-0.5381583960000018,0.4908094499999986
ica__leu_glcr__2,0.6944548912022782,0.15998577649999926,-0.5392549549999988,0.964590953,-0.5397882840000019,0.4282976199999986
ica__met_glc__1,-0.455875309701637,0.0114202954999989,-0.4889859849999994,-0.0020434050000002198,-0.7339297900000012,0.032366059999999315
ica__met_glc__2,-0.0299742947735416,-0.1576534504999998,-0.4975411199999993,-0.06998528999999998,-0.7304694330000014,0.008036549999998144
ica__no3_anaero__1,-5.018033190999727,0.6321665384999999,-0.7777694099999994,0.16601552300000044,-0.7996812930000008,0.28264287999999915
ica__no3_anaero__2,-5.124560974111259,0.7272579695000001,-0.8012264809999996,0.1659366630000001,-0.7648052850000013,0.3208345499999989
ica__phe_acgam__1,-1.644264843197651,0.02758407649999928,-0.12875899299999993,0.08710832000000046,-0.5583355860000019,0.058784999999998526
ica__phe_acgam__2,0.1327734582062708,-0.06342759350000192,-0.07654793199999865,0.07371453200000032,-0.4918045360000018,-0.009129360000001084
ica__thm_gal__1,-4.574083601103967,0.2731059164999996,-1.6563182579999989,0.41909228299999945,-0.6206503470000015,-0.03657140000000148
ica__thm_gal__2,-4.428766791065277,0.21651206850000013,-1.502385649999999,0.4125785030000007,-0.6047507440000004,-0.0869345500000005
ica__tyr_glcn__1,-0.992186750496888,0.05966757449999971,-0.591099303,0.211699823,-0.6034127080000005,-0.029051210000000438
ica__tyr_glcn__2,-1.3655058862994371,0.16831259749999994,-0.5687389510000003,0.2492893929999997,-0.6014504730000017,0.05971002999999975
ica__ura_pyr__1,-2.474653874396499,0.5621811425000001,-0.7275410209999995,0.8236668229999999,-0.5894554290000009,-0.08445652000000159
ica__ura_pyr__2,-3.162810846540101,0.35150450450000026,-0.6443475210000003,1.104333543000001,-0.5449526920000007,-0.3002459400000017
ica__wt_glc__5,-2.885069159969045,0.34624905949999985,-0.35122043399999997,0.3105034530000008,-0.6705241160000011,0.27143481999999963
ica__wt_glc__6,-3.309737060215162,0.3247194845000001,-0.32382794599999976,0.3376528430000008,-0.6067997510000005,0.30022168999999893
ica__bw_delpurR_cytd__1,0.4465975403582656,0.2624439504999989,-8.114789108,-0.14178576699999998,-0.7190110720000007,0.10733267999999896
ica__bw_delpurR_cytd__2,-4.075537440696994,0.3979811804999995,-1.296612561999999,0.2554834630000009,-0.6968049610000016,0.4895225299999986
ica__ade_glc__1,-4.725494786701578,0.5019691664999995,-1.2852812049999995,0.27079068299999953,-0.6706830310000012,0.46172304999999797
ica__ade_glc__2,0.7887049498719483,0.3853749735000012,-8.216346238,-0.10748262699999957,-0.7218945370000007,0.15487785999999915
ytf__wt_glc__1,-0.950992583901669,0.6416907434999999,-1.3881740529999993,0.34000217300000024,-1.0162461270000005,-0.17537371000000054
ytf__wt_glc__2,-1.2511008225399982,0.8283027645000001,-1.514375650999999,0.487174103000001,-1.3082336250000015,-0.07718896000000086
ytf__delyafC__1,-6.008851706558618,0.9166632884999996,-1.8345254179999992,0.518280163,-1.7164273530000018,-0.08007050000000149
ytf__delyafC__2,-6.014568645621463,0.9042592124999996,-1.996369701999999,0.558626223000001,-1.6210117860000004,-0.14305510000000154
ytf__delyeiE__1,-5.750752886036565,0.9662460164999996,-0.4190175549999999,0.4528218430000006,-0.1461128140000003,-0.2999850200000012
ytf__delyeiE__2,-4.91979508970642,0.7119788634999997,-0.5062330759999991,0.3693801830000005,-0.4326376600000009,-0.2618116500000003
ytf__delyiaJ__1,-6.410118046692108,0.7639586874999997,-1.993469919,0.4900788630000008,-1.55639051,0.2429855199999995
ytf__delyiaJ__2,-5.972634804276471,0.8390553274999997,-2.0121507229999995,0.4743345229999996,-0.8717574610000014,0.3513210099999995
ytf__delyieP__1,-4.674873655738253,1.0073460965,-1.9610996689999995,0.8306116230000011,-1.347170503000001,-0.20330401000000187
