,A,AhrC,YlxR
GM+90_2,0.6292244487,11.6057,14.6321
GM+150_2,-6.9507263839,10.7049,13.5805
GM-0.1_3,-2.0600536333,11.532,14.397
GM-0.2_3,-1.2186711429,11.473700000000001,14.2441
GM+5_3,-5.1736958035,11.606300000000001,14.5081
GM+10_3,-8.0713699845,10.4911,13.4124
GM+15_3,-7.9025677363,11.2884,14.0894
GM+25_3,1.0154976554,10.9492,13.76
GM+45_3,-2.194380492,11.0439,13.6013
GM+60_3,-0.7201229606,10.7189,13.7097
GM+90_3,-0.0751215482,11.5193,14.4198
GM+120_3,-0.49386671870000004,11.1254,14.4126
GM+150_3,-2.3290859715,11.6182,14.3283
MG-0.1_1,-0.48948107820000003,11.7042,14.2575
MG+5_1,-0.2538803096,11.6221,14.7371
MG+10_1,2.2208307693,11.9532,14.972
MG+15_1,3.3499079126,11.1494,14.0529
MG+25_1,-1.7001955056,11.6322,14.5622
MG+45_1,0.148947569,11.5005,14.6407
MG+120_1,-3.6879159723,10.6975,13.3056
MG+150_1,-0.8433995303,11.4685,14.5132
MG-0.1_2,0.2286296625,10.7765,13.4856
MG-0.2_2,0.3354882172,11.2866,13.9989
MG+5_2,-1.1982981812,11.213,14.1423
MG+10_2,1.8187571844,11.5194,14.5858
MG+15_2,4.3771967396,12.3136,15.2631
MG+25_2,-2.6784734108,11.5703,14.1648
MG+45_2,-1.2861963545,10.9588,13.825800000000001
MG+60_2,0.6585513971,11.2736,14.3465
MG+90_2,-1.1197156607,11.0912,13.9895
MG+120_2,-2.0362569118,11.3451,14.4384
MG-0.1_3,0.756663822,12.1124,14.8811
MG-0.2_3,-0.46077457650000003,11.3558,14.3574
MG+5_3,-1.3323938981,11.0221,14.1545
MG+10_3,1.2414682498,11.0373,14.0204
MG+15_3,3.8538307317,11.8129,14.7609
MG+25_3,-0.8416785034,11.8166,14.8842
MG+45_3,1.4552158112,12.1524,15.2003
MG+60_3,1.6493442459,11.3793,14.4305
MG+90_3,0.21170161,11.6805,14.584
MG+120_3,-2.8559378749,11.1315,14.0078
MG+150_3,-2.0077515172,11.4188,14.3421
