,A,McbR,hns
SRX5694313,3.8493797139,0.0,-1.2640210537
SRX5694315,-2.0730175695,0.0,-0.21223886720000001
SRX5694317,1.4377079266,0.0,0.33937007880000003
SRX5694319,-1.0905356782,0.0,-0.2648527613
SRX5694320,1.9027814165999999,0.0,-1.6065648687
SRX5694321,1.5427816621,0.0,0.7920205793
SRX5694322,-0.8536298834,0.0,1.4962296247
SRX5694323,1.5732381342,0.0,0.8860898538
SRX5694324,1.5135971316,0.0,1.1582991603
SRX5694325,2.7562080281,0.0,1.0332693507
SRX5694326,-0.3406762243,0.0,-0.5443186423
SRX5694327,0.0075485253,0.0,0.2748227025
SRX5694328,-0.7624602377,0.0,-0.4196697263
SRX5694329,3.413656814,0.0,0.8093676863
SRX5694330,-3.7677252362,0.0,-2.2776908039
SRX5694331,-0.5341872138,0.0,0.0793713315
SRX5694332,0.5197550718,0.0,0.1558267021
SRX5694334,-2.5694420287,0.0,-0.16419339230000002
SRX5694335,5.329164238,0.0,0.3623619817
SRX5694336,0.9540457032,0.0,2.0592240575
SRX5694337,2.8940297575000002,0.0,0.37091103740000003
SRX5694338,-2.9643236935,0.0,-0.6577122203
SRX5694339,-0.2522352465,0.0,-0.5185215767
SRX5694340,-2.4489128418,0.0,-1.0589715228
SRX5694341,-0.7276503656000001,0.0,1.8291972353000001
SRX5694342,2.982283341,0.0,1.2003956974
SRX5694343,1.2273179361,0.0,-0.08934273300000001
SRX5694344,4.3557200464,0.0,0.6142965370000001
SRX5694345,-0.4027795958,0.0,0.260286065
SRX5694346,1.1545570396,0.0,0.16706967650000001
SRX5694347,0.7233753583,0.0,0.1257857565
SRX5694348,-2.340484373,0.0,-0.7342629081000001
SRX5694349,-3.0962392385,0.0,-1.0978060964
SRX5694350,4.7649939967,0.0,-0.2585618173
SRX5694351,1.2863729313,0.0,1.1449067451000001
SRX5694352,-2.5180703683,0.0,-0.10031158700000001
SRX5694353,-1.065789495,0.0,-0.7813179918000001
SRX5694354,-1.7686002726,0.0,-0.3833516295
SRX5694356,-2.2085965561,0.0,-0.9761935114
SRX5694357,2.0011287612,0.0,0.8141585597000001
SRX5694358,-0.8458142296000001,0.0,-1.210879706
SRX5694359,-2.6604001144,0.0,-0.4207264389
SRX5694360,-2.7155945594,0.0,-0.1412390832
SRX5694361,-2.2895790623,0.0,0.1566361058
SRX5694362,-1.4599042713000001,0.0,-1.6472988531000001
SRX5694363,0.9247584828000001,0.0,-0.5546784583000001
SRX5694364,-2.2436836477,0.0,1.4076440849
SRX5694365,-1.550326129,0.0,-0.4974307236
SRX5694366,-1.7469918024000002,0.0,-0.6138928318
SRX5694367,2.8011669847,0.0,1.2101434685
SRX5694368,-1.7300081686,0.0,-0.9458503599
SRX5694369,-1.1871083721,0.0,-0.0662886848
SRX5694370,-1.0732130889,0.0,0.368483396
SRX5694371,-0.6675914264,0.0,1.6497301401
SRX5694372,-2.8823304489,0.0,-0.4935531869
SRX5694373,2.9681150768,0.9541008164,-0.1927104984
SRX5694374,1.8812095686,0.0,-1.5963441003
SRX5694375,-0.848214664,0.0,-0.5282387860000001
SRX5694376,-1.9068921994,0.0,-0.9920622973000001
SRX5694377,2.6357350542,0.0,-1.6064739720999999
SRX5694378,-3.7990621620000002,0.0,-0.44548403010000004
SRX5694379,-1.7284778316,0.0,-1.1412490475000001
SRX5694380,0.5155334532,0.0,-0.2908981184
SRX5694381,1.6461798679,0.0,1.5103860035999999
SRX5694382,1.1107204857,0.0,0.3167035141
SRX5694383,-3.1932398137,0.0,-0.6330348309
SRX5694384,-0.3565377988,0.0,0.07720167730000001
SRX5694385,0.1483060279,0.0,0.7627488997
SRX5694386,-1.3668348172,0.0,0.2124759349
SRX5694387,-1.4835414988,0.0,-0.5871436333
SRX5694388,2.8985935481,0.0,1.3294801396
SRX5694389,-1.9985818569,0.0,-1.4197035738000001
SRX5694390,-0.7868735674,0.0,-0.6108595821
SRX5694391,0.6705593655000001,0.0,0.2242706458
SRX5694392,-1.2568460774,0.0,-0.35666103660000004
SRX5694393,0.0715500574,0.0,0.0738984884
SRX5694394,-2.000991149,0.0,-0.433145702
SRX5694395,0.0521330657,0.0,-0.6412482763
SRX5694396,2.4408324938,0.0,1.1447981062
SRX5694397,-2.3564000773,0.0,-0.6626112262
SRX5694398,-2.9322853795,0.0,-0.8352204546
SRX5694399,1.9598342225,0.0,-0.07028935430000001
SRX5694400,-1.8590498285,0.0,-0.7804220612
SRX5694401,-1.5684487690000002,0.0,0.18569160680000002
SRX5694402,-1.2822011327,0.0,0.3072247456
SRX5694403,3.5096287188,0.0,1.2287761301
SRX5694404,-2.8807595775,0.0,-1.1055211989
SRX5694405,1.5624293564,0.0,0.2912144672
SRX5694406,-1.7908889215000001,0.0,1.3067637903
SRX5694407,-1.5023172699,0.0,-0.2170952891
SRX5694408,0.6295287488,0.0,-0.3402805357
SRX5694409,2.0965795697,0.0,0.3449596163
SRX5694410,-4.9632957149,0.0,-0.9369939924
SRX5694411,-0.5983356496000001,0.0,0.3006550652
SRX5694412,-3.7704995905,0.0,-0.6110272034
SRX5694413,1.2764063351,0.0,-0.9274980556
SRX5694414,4.5368361737,0.0,1.7269776488000002
SRX5694415,-1.3609114452,0.0,-0.5350652901
SRX5694416,0.6420893186000001,0.0,0.09109035780000001
SRX5694417,-0.8014865359000001,0.0,0.6757333899
SRX5694418,-1.5000647295,0.0,0.7648344667
SRX5694419,0.3778208475,0.0,1.9739008520999999
SRX5694420,1.2667553423,0.0,-0.3114816063
SRX5694421,-0.822881108,0.0,0.1444757966
SRX5694422,4.5076929589,0.0,0.5993323859
SRX5694423,-1.7754947686,0.0,-0.6169352458
SRX5694424,0.8535373801,0.0,0.4505654565
SRX5694425,-2.9913963821,0.0,-0.9056669952
SRX5694426,-1.692785691,0.0,-0.2557922664
SRX5694427,-0.49044081230000003,0.0,-0.1750304766
SRX5694428,-0.43110885990000003,0.0,-0.13199657380000002
SRX5694429,-1.8865140041,0.0,0.6332512447
SRX5694430,-0.1266576045,0.0,-0.08344082400000001
SRX5694431,1.2859556751,0.0,-0.5125373796
SRX5694432,-3.115933273,0.0,-0.7661698545000001
SRX5694433,1.1595667454,0.0,-1.018450679
SRX5694434,1.9549122616,0.0,1.0728512748
SRX5694435,-0.4863463671,0.0,1.9625338574
SRX5694436,2.1392136299,0.0,0.9587686390000001
SRX5694437,0.47969114350000003,0.0,0.9137308284000001
SRX5694438,-0.344356117,0.0,-0.40211033360000004
SRX5694439,2.2493884394,0.0,-0.9943194997
SRX5694440,-0.1263164877,0.0,0.0767751608
SRX5694441,2.9179367497,0.0,0.8459974857
SRX5694442,2.616562285,0.0,1.2299575267
SRX5694443,-0.7058682286,0.0,0.2648223071
SRX5694444,-1.5913613233000001,0.0,-0.8771352847
SRX5694445,3.4088391082,0.0,0.7366439447
SRX5694446,-1.1888030618,0.0,-0.7487939093
SRX5694447,-1.8935589061,0.0,-0.42415313460000004
SRX5694448,-2.0054116573,0.0,-1.0305155459
SRX5694449,-0.3254046141,0.0,-0.0643301091
SRX5694450,-1.7753800057,0.0,-1.923176533
SRX5694451,-0.4080644151,0.0,0.32335372960000003
SRX5694452,1.0059048259,0.0,1.0271080185
SRX5694453,-2.2572902041000003,0.0,-0.8689705452
SRX5694454,0.0716934391,0.0,-0.0143859672
SRX5694455,0.7224847152,0.0,2.0160964001
SRX5694456,-1.5557962418,0.0,-0.3961870837
SRX5694457,0.3616987005,0.0,-0.3950436946
SRX5694459,-2.0951711981,0.0,-1.3104809708
SRX5694460,-0.9966251184,0.0,1.9820999957
SRX5694461,-1.9454650417,0.0,-0.7479972059000001
SRX5694462,0.0455340219,0.0,1.5313356168999999
SRX5694463,-2.5063655993,0.0,-0.8308938109
SRX5694464,-2.0798828712,0.0,-0.2876517577
SRX5694465,-1.8508647754,0.0,-1.1647466356
SRX5694466,0.059796971600000005,0.0,1.0126028366
SRX5694467,-1.1813668604,0.0,-0.23134393590000002
SRX5694468,2.3951838385,0.0,-1.3235992494
SRX5694469,1.4188452979,0.0,0.2827389399
SRX5694470,-0.3628269653,0.0,-0.1140011834
SRX5694471,-0.6353860979,0.0,0.2780427714
SRX5694472,-0.4442321038,0.0,0.0204790629
SRX5694474,-1.8596073411,0.0,-0.029360761200000002
SRX5694475,-0.0449572014,0.0,0.4395643487
SRX5694476,-3.0926171248,0.0,-0.958255505
SRX5694477,-1.537869954,0.0,1.3257530398
SRX5694478,-3.3701604332,0.0,-0.2786624251
SRX5694479,5.6690662416,0.0,0.392395096
SRX5694480,2.2366087497000002,0.0,-0.0721274882
SRX5694481,-2.9824270024,0.0,-0.7025263753000001
SRX5694482,-1.0043693377,0.0,-0.1369099266
SRX5694483,-0.42931633700000005,0.0,-0.2574074658
SRX5694484,-1.0006180276,0.0,-0.7252147345000001
SRX5694485,0.8240078802,0.0,0.0455061807
SRX5694486,-0.9811260397,0.0,0.0256384562
SRX5694487,-2.9253958057,0.0,0.0973618641
SRX5694488,-2.132871439,0.0,-0.8848599586
SRX5694489,-0.8455890373,0.0,0.5406534275
SRX5694491,-3.371170596,0.0,0.2172296353
SRX5694492,0.3334479661,0.0,0.7507628737
SRX5694493,4.5471325251,0.0,0.5452639171
SRX5694494,-0.1684184624,0.0,-0.26568005170000003
SRX5694495,-0.3163830066,0.0,0.0841285715
SRX5694496,-0.8339271301000001,0.0,0.2074623988
SRX5694497,-2.0779975888,0.0,0.1124846535
SRX5694498,-1.4662813352000001,0.0,-0.2450224828
SRX5694499,-5.3176684916,0.0,-1.0155779588
SRX5694500,1.1072212221,0.0,0.40581125370000004
SRX5694501,-2.3367042147,0.0,-0.0542282217
SRX5694502,2.5258914262000003,0.0,-2.9378155799
SRX5694503,1.0546740145,0.0,-0.3200129413
SRX5694504,-1.1722615001,0.0,0.1441304368
SRX5694505,1.012047737,0.0,0.47527088300000003
SRX5694506,-4.2771474362,0.0,-2.5654841271
SRX5694507,-0.5015583162,0.0,0.1975259029
SRX5694508,2.4510674985,0.0,0.2647319957
SRX5694509,1.9980952270999999,0.0,1.2775528383
SRX5694510,1.0635539844,0.0,0.2603432292
SRX5694511,-1.2188977865,0.0,-0.5445256282000001
SRX5694512,-2.0783292056000002,0.0,0.0948469767
SRX5694513,2.0694234864,0.0,-0.6320639646
SRX5694514,-0.8313501526,0.0,1.4560009629000001
SRX5694515,-3.2068145277,0.0,-0.3249757767
SRX5694516,3.4203606811,0.0,-1.1409297771
SRX5694517,-2.2821861063,0.0,-0.777314911
SRX5694518,-1.4638357061,0.0,0.0180990911
SRX5694519,1.1107798983,0.0,0.08073145870000001
SRX5694520,-2.9980611124000003,0.0,-1.0174599348
SRX5694521,-1.5962834264999999,0.0,0.09148157920000001
SRX5694522,-3.3599142389,0.0,-1.5476080252000002
SRX5694523,-4.0533805956,0.0,-0.7477075316
SRX5694524,-1.7308813614,0.0,0.2071493403
SRX5694525,-0.1493358887,0.0,0.8525130146000001
SRX5694526,-1.7584141931000001,0.0,-0.175856218
SRX5694527,-0.8796024306,0.0,0.2870256222
SRX5694528,6.6399273146,0.0,0.2407021481
SRX5694529,-3.1454431889,0.0,-0.6198402791000001
SRX5694530,-1.9893727841,0.0,-0.9751571788000001
SRX5694532,3.3170495938,0.0,1.3099850778
SRX5694533,2.909296581,0.0,-0.7183523508
SRX5694534,-1.1541977455,0.0,0.7760040404
SRX5694535,-5.1341811845,0.0,-2.575634232
SRX5694536,-3.0008009997,0.0,-0.9130116927
SRX5694537,-0.7481790247,0.0,-0.44788224930000003
SRX5694538,-1.1346167784,0.0,0.3148884245
SRX5694539,-2.2325503845,0.0,-0.28971688570000004
SRX5694540,3.6164072634,0.0,1.3346327518
SRX5694541,-3.3250641272,0.0,-0.5946219462
SRX5694543,2.4451029664,0.0,-1.3247379993
SRX5694544,-1.4904643398,0.0,-0.44033934020000004
SRX5694545,-2.3026153204,0.0,-0.629954507
SRX5694546,0.2572609803,0.0,-0.08006541610000001
SRX5694547,-0.6026725971,0.0,0.0653199613
SRX5694548,-0.2792623534,0.0,0.0229108257
SRX5694550,1.2856841603,0.0,0.6068103597
SRX5694551,-1.3705662598,0.0,-1.0974892677
SRX5694552,0.994935631,0.0,0.42388081310000003
SRX5694553,-0.9100032633,0.0,-0.15407335730000002
SRX5694554,-1.3787425470999999,0.0,0.5215772258
SRX5694555,0.6810427795,0.0,0.8160299542
SRX6072760,-2.0918021055000002,0.0,0.0071643614
SRX6072761,-2.2939924071,0.0,-0.2758306545
SRX6072762,-2.3915147057,0.0,0.19657312300000002
SRX6072763,-2.2600170986,0.0,0.249607336
SRX6072764,-2.1447024039,0.0,-0.36908601
SRX6072765,-1.9684929795000001,0.0,0.2020555698
SRX6376491,1.8008405999,0.0,-0.1806245025
SRX6376492,1.667181859,0.0,1.0700777325
SRX6376493,0.728264303,0.163052513,0.9891126338
SRX6376494,1.9254166110000002,0.0,1.0233108158
SRX6376495,1.2923519496,0.0,-0.3377527415
SRX6376496,1.6079088543,0.0,-0.2580387104
SRX2723951,0.39895716130000003,0.6562652495,0.3710506029
SRX2723952,1.2688896871,1.2640946182000001,0.401816247
SRX2723953,0.0035153821,-0.3288236963,0.30867674040000004
SRX2723954,2.5543936362,3.3867036333,0.9241273707000001
SRX2723955,1.7091154154,-0.015644043,0.0695428277
SRX2723956,0.43891331170000003,1.1297968068,0.4482329444
SRX2723957,0.057970108000000006,0.1310139873,0.38800892870000003
SRX2723958,0.6266740046,-0.825811107,0.202722579
SRX2723959,0.07305362750000001,0.588586642,0.4881545801
SRX2723960,-1.5441626188000002,0.0042402956,-0.6525915672
SRX2723961,1.5343158335,2.765816072,1.0272800719
SRX2723962,-1.3070447577,0.1988964476,0.5836160711
SRX2723963,0.242069845,-0.1368925858,0.660080938
SRX2723964,1.7446972805,0.5618382774,0.4500184297
SRX2723965,-0.0703771056,0.735814745,0.6290657146
SRX2723966,-0.5338094116000001,0.0356660667,-1.1453450687
SRX2723967,0.38668865080000003,-0.2391511278,0.5426909510000001
SRX2723968,0.1471207609,0.2034850611,0.6026541177
SRX6977206,4.1724718061,-1.2771245511,-1.7049291793
SRX6977207,4.2811930499,-1.2817880093,-1.7532154960000002
SRX6977208,3.6694843697,0.2935179195,-0.2035640189
SRX6977209,3.4277792851,0.5117846570000001,-0.3428166312
SRX6977210,2.4824188103,0.5435444908,-0.4044848538
SRX6977211,-0.12061791250000001,-0.019372149300000002,0.3070499472
SRX6977212,0.017923997,0.2683210412,-0.0003716465
SRX6977213,0.10269391550000001,-0.2489488919,-0.3066783008
SRX6977214,4.2664430644,-1.1223002277,-1.8693701647
SRX1153733,-0.6684251741,0.0044426254000000005,0.1362162026
SRX1153734,0.6684251741,-0.0044426254000000005,-0.1362162026
SRX1153735,-2.2507472706,-0.4525640207,0.0179326648
SRX1153736,-0.9367358976000001,-0.45421587890000004,0.07307878450000001
SRX5204053,1.4830880539,0.1069024367,-0.8892273719
SRX5204054,5.8080848942,1.5372000868,-0.42641077260000004
SRX5204055,2.8509145567000003,0.6516253149,-0.7501256288
SRX5204056,1.2128466258,0.0941142304,0.2750663008
SRX5204057,0.9040893393,-0.7469538587,0.0447246627
SRX5204058,0.8831574001,0.0049060544,0.25780179070000003
SRX5204059,4.1559375395,1.116954525,0.2477339858
SRX5204060,4.1616557893,0.7664063091000001,-0.017982531200000002
SRX5204061,3.786552777,0.23025590840000001,-0.0578720459
SRX5204062,3.3073750884,0.6494792811,-0.044741238700000005
SRX5204063,2.6204367511,0.21070813870000002,-0.0823524238
SRX5204064,2.3541195095000003,-0.1307999186,-0.1002559282
SRX5204065,1.0604076045,0.011788942200000001,-0.0257625665
SRX5204066,1.3098803144,0.1619948279,0.0048004959
SRX5204067,1.1598887439,-0.1419696637,-0.13391379550000002
SRX5204068,3.5323802818,0.282070747,-0.1532055752
SRX5204069,2.9851098792,0.2910628475,-0.1453876681
SRX5204070,3.9797304089,0.40694907,-0.1806531498
SRX5204071,3.6857639394,0.7834652935,-0.3963601042
SRX5204072,2.3692855574,0.47066058380000003,-0.697170782
SRX5204073,3.1211301056,1.0741534309,-0.5314356558000001
SRX5204074,3.9855202798000002,0.7470484159,-0.5246860377
SRX5204075,2.1378519968,0.1850934293,-1.0037411635
SRX5204076,3.4416438979,0.5793916843,-0.6690962555000001
SRX5204077,2.4043076964,-0.18291194700000002,-0.5936032461
SRX5204078,2.0290459313,0.3169889375,-0.409602536
SRX5204079,2.2649693099,0.0593710026,-0.18285046430000002
SRX5204080,3.7661169481,0.5658060518,-0.4631830243
SRX5204081,5.0694885011,1.1638930367,-0.41369495700000003
SRX5204082,5.1241677821,0.5201379427,-0.42314614580000004
SRX5204083,-0.8728554316,0.12442917440000001,0.2166381639
SRX5204084,0.1347291375,0.8888952582,0.4429351892
SRX5204085,0.17001086440000002,0.42193012290000004,0.3164981414
SRX5204086,-0.5319537658,1.1129807845,0.046280541200000004
SRX5204087,-1.65528771,0.2903957653,-0.3395036685
SRX5204088,-3.3916777512,-0.5515629125,-0.0217780978
SRX5204089,2.3469971585,1.0028294832,0.1917236606
SRX5204090,1.358414014,1.3287218561,-0.0078599675
SRX5204091,1.1319576595,0.9257666377,0.095222578
SRX5204092,2.7648395604,0.3499923748,0.1213474841
SRX5204093,1.5888299517000002,1.0339026379,-0.0868919702
SRX5204094,2.648304978,0.0371434604,0.1390304637
SRX5204095,1.0181176742,0.0966258487,0.1921413179
SRX5204096,-0.6116423266000001,-0.1028829953,0.025826626000000002
SRX5204097,-0.40647534760000004,0.0062571465000000005,-0.21796794390000002
SRX683459,-0.6881369501,-0.0672729723,0.0162499327
SRX683460,-1.7198574292000002,0.0109963666,0.8758168691
SRX683461,0.2699955733,-0.0783463725,-0.4250061573
SRX683462,-0.2641821145,-2.2824131519,0.8181061079
SRX683463,0.41814137690000003,0.1456193448,0.4087562246
SRX683464,-1.8488028421,-0.30875240470000004,0.9379609579
SRX683465,2.3102573237,0.0880863041,-0.0973215234
SRX683466,-0.8004401812,-0.4722218255,0.9247761808
SRX683467,1.0125156541,-0.3477922766,0.21773937170000002
SRX683468,-2.3992827351,-0.567052839,0.8753622433
SRX683469,1.1984477286,0.5077838318,0.19101327240000002
SRX683470,-1.785937279,-1.1346189465,0.7903936147
SRX322077,0.4465484838,0.8869926029,-0.0271986305
SRX322078,1.8355871496,0.7168529195000001,-0.0341198708
SRX322079,-0.2063190697,0.3327814341,-0.1303382865
SRX322080,-1.0479300874,-0.0706868814,-0.1890338976
SRX322081,-0.44247501250000004,0.3011739989,0.20257457780000002
SRX322082,-1.8290865187,-0.0878495517,0.09874946180000001
SRX322083,0.0044122196,0.015122217,0.21563450350000002
SRX322084,0.9646327236000001,0.2463553102,-0.24131350070000002
SRX322085,-0.9690449431,-0.2614775272,0.0256789972
SRX2708592,-7.3633740696,-3.4205572593,-1.3397461374000001
SRX2708593,-4.4672494122,-3.6555106215,-1.2801465744
SRX2708594,-2.6247309912,-4.1555827191,-0.270459756
SRX2708595,0.9252054568,0.2818077343,0.149710501
SRX2708596,-1.3434982762,-0.25326385630000003,-0.1349266602
SRX2708597,0.4182928194,-0.028543878,-0.0147838408
SRX2708598,2.2273792417,0.073880613,-0.3675266184
SRX2708600,1.076207383,0.1116845192,0.6267349808
SRX2708601,1.7287726060000002,-0.4691603533,0.1879683133
SRX2708602,1.8656693427,0.46589341100000004,-0.27134201010000003
SRX2708603,2.120197253,0.4180764937,0.034448039
SRX3073814,0.2009983777,0.1390482338,-0.0930819828
SRX3073815,2.5903690008,0.2829288589,-0.1729505029
SRX3073816,4.3660807578,0.0852409669,-0.2365393695
SRX3073817,7.5746642714,-0.1857163273,-1.3530617542
SRX3073818,6.069765921,0.10091092460000001,-2.7368687368
SRX3073819,2.0165169277,0.5124034156,0.0272063906
SRX3073820,5.6646288617,1.0918345594,-0.0696458992
SRX3073821,7.6714421138999995,1.271321647,-0.7551533678
SRX3073822,10.8141069321,0.626164405,-2.3526153391999998
SRX3073823,11.0271466113,2.2912653365,-2.5899896913
SRX3073824,-0.2009983777,-0.1390482338,0.0930819828
SRX3073825,2.2573584567,0.5355736569,-0.3180016841
SRX3073826,3.7306578228,0.5275799769,-0.3747322127
SRX3073827,8.0369490423,0.6003346612,-1.4789604596
SRX3073828,7.6419894375,0.7042236077,-2.8640250365
SRX3073829,1.3705262119000001,0.37828376410000003,0.0069709936
SRX3073830,5.1518214439,0.7127432605,-0.41992040610000003
SRX3073831,8.1526994286,0.3451486317,-0.6693104037000001
SRX3073832,9.7285006741,0.9885098459,-1.9892137468
SRX3073833,9.6611889876,1.2701477356,-2.5617996198
SRX2391456,-0.0728767585,0.3752298099,0.0543202478
SRX2391457,-0.43847162570000003,-0.2603656515,-0.0272765165
SRX2391458,-0.6735605154000001,-0.038846056000000004,0.2239011776
SRX2391459,-0.5823246624,-0.1509574242,0.1813346623
SRX2391460,-1.1486036221,-0.343312897,0.1292188012
SRX2391461,-0.6718754872,-0.3479742129,0.1019474477
SRX2391462,-0.7071030338000001,-0.1707002637,0.037013244300000005
SRX2391463,-0.6655102615,0.0261962902,-0.0494918996
SRX2391464,-0.33249044710000003,0.2199840766,-0.013583082500000001
SRX2391465,-0.16776474360000002,-0.0881097765,0.026219721300000002
SRX2391466,0.1535775998,-0.029679355100000002,-0.0315348149
SRX2391467,0.16073668330000002,-0.0060079337,0.0241557404
SRX2391468,0.3935271671,0.2861168367,0.0961707562
SRX2391469,-0.0856318264,0.1794408576,0.0584129112
SRX2391470,-0.1633479445,-0.30874498980000004,0.2910849391
SRX2391471,-0.2674914081,-0.7984649233000001,0.13582894580000002
SRX2391472,-0.6187994839000001,-0.8663304693,0.4278386534
SRX2391473,-0.48740277660000003,-0.6744394345,0.3048038758
SRX2391474,-0.7673774408,0.0032973663,0.1980476545
SRX2391475,-0.5849585447,-0.8878713844,0.29466149820000004
SRX2391476,-0.7806484409000001,-0.7394998967,0.2168045996
SRX2391477,-1.027732857,-0.6926833097,0.1299585195
SRX2391478,-0.6247265088,-0.5663202623,0.3643115214
SRX2391479,-0.4646782346,-0.7281170762,0.19918211460000002
SRX2391480,0.1530044455,-0.7810762619,0.2555580606
SRX2391481,0.5657557906,-0.3738949032,0.14864720080000002
SRX2391482,0.3255041238,-0.7352176622000001,0.23601071810000002
SRX2391483,0.112015496,-0.1908770333,0.026376848600000002
SRX2391484,-1.0264286856,0.0059156136,-0.0177461109
SRX2391485,-0.8645431936,-0.12886241980000002,-0.0358489352
SRX2391486,-0.8950276105,-0.17454362280000002,0.1677987397
SRX2391487,-0.8367477483,-0.2643919219,0.2223222725
SRX2391488,-1.3118553789,-0.4370722768,0.12640954840000002
SRX2391489,-1.0461348531,-0.6582444676,0.1018391082
SRX2391490,-0.8821841002,-0.5923023541,-0.0320416944
SRX2391491,-0.47265133740000004,-0.18168448280000002,0.0326113629
SRX2391492,-0.197845074,0.0557357656,0.0948728498
SRX2391493,-0.0797801382,-0.0877861808,0.022979296700000002
SRX2391494,0.1815101365,0.0835676776,-0.0339192791
SRX2391495,-0.16073668330000002,0.0060079337,-0.0241557404
SRX2391496,-0.5084602272000001,-0.25300232,0.0171324229
SRX2391497,-0.6085564206,-0.1768933251,-0.0055406804
SRX2391498,-1.0641659405,-0.491512616,0.0720917835
