,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
62,crp__delcrp_fru,3.3925123907208885,0.16801993335565363,3.0,112.0,3.269924971890718,113.0,3.323575759726161,114.0,3.584036440545786,,,,,,
63,crp__delcrp_glc,2.591804222318227,0.26297009071313937,3.0,115.0,2.792721958659196,116.0,2.6885186688416742,117.0,2.29417203945381,,,,,,
64,crp__delcrp_glyc,1.0405082561829584,0.4593334118162503,3.0,118.0,0.5156798732353922,119.0,1.3692817691589922,120.0,1.236563126154491,,,,,,
65,glu__glu_ale3,-4.460302460280426,,1.0,121.0,-4.460302460280426,,,,,,,,,,
66,glu__glu_ale4,-5.092560387768343,,1.0,122.0,-5.092560387768343,,,,,,,,,,
67,glu__glu_ale5,-6.733236965015816,,1.0,123.0,-6.733236965015816,,,,,,,,,,
68,glu__glu_ale6,-4.6375156447108825,,1.0,124.0,-4.6375156447108825,,,,,,,,,,
69,glu__glu_ale8,-4.391203083966355,,1.0,125.0,-4.391203083966355,,,,,,,,,,
70,glu__glu_ale9,-4.670161090098943,,1.0,126.0,-4.670161090098943,,,,,,,,,,
71,glu__glu_ale10,-3.327717696912481,,1.0,127.0,-3.327717696912481,,,,,,,,,,
72,42c__wt_42c,-0.9039401243157588,,1.0,128.0,-0.9039401243157588,,,,,,,,,,
73,42c__42c_ale1,-5.595127097093644,,1.0,129.0,-5.595127097093644,,,,,,,,,,
74,42c__42c_ale2,-4.910231267025661,,1.0,130.0,-4.910231267025661,,,,,,,,,,
75,42c__42c_ale3,-4.541049119687947,,1.0,131.0,-4.541049119687947,,,,,,,,,,
76,42c__42c_ale4,-4.952564878179174,,1.0,132.0,-4.952564878179174,,,,,,,,,,
77,42c__42c_ale5,-5.124381919302661,,1.0,133.0,-5.124381919302661,,,,,,,,,,
78,42c__42c_ale6,0.4515092284770847,,1.0,134.0,0.4515092284770847,,,,,,,,,,
79,42c__42c_ale8,0.1799992355592131,,1.0,135.0,0.1799992355592131,,,,,,,,,,
80,42c__42c_ale9,-4.889102444097347,,1.0,136.0,-4.889102444097347,,,,,,,,,,
81,42c__42c_ale10,-3.2624867310132992,,1.0,137.0,-3.2624867310132992,,,,,,,,,,
82,ssw__wt_ac,5.882113677474247,,1.0,138.0,5.882113677474247,,,,,,,,,,
83,ssw__wt_glc,3.497172114843455,,1.0,139.0,3.497172114843455,,,,,,,,,,
84,ssw__wt_glyc,-0.8452932203493768,,1.0,140.0,-0.8452932203493768,,,,,,,,,,
85,ssw__wt_xyl,2.679204981605539,,1.0,141.0,2.679204981605539,,,,,,,,,,
86,ssw__glc_ale1,-3.006358936033318,,1.0,142.0,-3.006358936033318,,,,,,,,,,
87,ssw__glc_ale2,-4.692167211508906,,1.0,143.0,-4.692167211508906,,,,,,,,,,
88,ssw__glc_ale3,-5.321782722887856,,1.0,144.0,-5.321782722887856,,,,,,,,,,
89,ssw__glyc_ale1,-0.6907227464866608,,1.0,145.0,-0.6907227464866608,,,,,,,,,,
90,ssw__glyc_ale2,-4.199007503634264,,1.0,146.0,-4.199007503634264,,,,,,,,,,
91,ssw__xyl_ale1,-3.083771840268408,,1.0,147.0,-3.083771840268408,,,,,,,,,,
92,ssw__xyl_ale2,-4.768284881337324,,1.0,148.0,-4.768284881337324,,,,,,,,,,
93,ssw__xyl_ale3,-0.248674887015026,,1.0,149.0,-0.248674887015026,,,,,,,,,,
94,ssw__glc_ac_ac2,-1.2056505736729075,,1.0,150.0,-1.2056505736729075,,,,,,,,,,
95,ssw__glc_ac_glc1,-0.9167445774281044,,1.0,151.0,-0.9167445774281044,,,,,,,,,,
96,ssw__glc_glyc_glc,-1.3255059924100958,,1.0,152.0,-1.3255059924100958,,,,,,,,,,
97,ssw__glc_glyc_glyc,-2.013386398560748,,1.0,153.0,-2.013386398560748,,,,,,,,,,
98,ssw__glc_xyl_glc,-3.578190258684029,,1.0,154.0,-3.578190258684029,,,,,,,,,,
99,ssw__glc_xyl_xyl,-3.4276641627631284,,1.0,155.0,-3.4276641627631284,,,,,,,,,,
100,ica__wt_glc,-3.0450408390011954,0.3351061566981406,6.0,156.0,-3.005688014930212,157.0,-3.019340134814935,158.0,-2.815300392516729,159.0,-2.5811794712074767,180.0,-3.3822703828411544,181.0,-3.4664666376966644
101,ica__arg_sbt,-2.9470591245574163,0.2809629257619961,2.0,160.0,-2.7483883344890963,161.0,-3.1457299146257363,,,,,,,,
102,ica__cytd_rib,-1.9333386944590203,0.5967558431507384,2.0,162.0,-2.355308797863603,163.0,-1.5113685910544374,,,,,,,,
103,ica__gth,-6.783929815166079,0.27853873135830765,2.0,164.0,-6.980886440932636,165.0,-6.586973189399521,,,,,,,,
104,ica__leu_glcr,-3.837168511866858,0.18422653572907277,2.0,166.0,-3.7069006791783248,167.0,-3.967436344555391,,,,,,,,
105,ica__met_glc,-2.7257325040947995,0.21022460529785503,2.0,168.0,-2.8743837480731784,169.0,-2.577081260116421,,,,,,,,
106,ica__no3_anaero,5.087478264889236,0.14488089392582237,2.0,170.0,5.189924527448554,171.0,4.985032002329918,,,,,,,,
107,ica__phe_acgam,-2.8068418561289032,0.45091370496401556,2.0,172.0,-2.4879977176188977,173.0,-3.125685994638909,,,,,,,,
108,ica__thm_gal,1.3663717276330023,0.1548874422060524,2.0,174.0,1.4758936883375413,175.0,1.256849766928463,,,,,,,,
109,ica__tyr_glcn,-3.531231132941958,0.014802091533110028,2.0,176.0,-3.541697792240764,177.0,-3.520764473643152,,,,,,,,
