,A,TorR
SRX5694385,0.9189395746000001,1.1494486813
SRX5694386,1.6932617144000002,-0.46259188290000003
SRX5694387,-0.5011150304,-0.42901212180000003
SRX5694388,7.7837745592,-0.6257279854000001
SRX5694389,11.8705960677,-3.2891961343
SRX5694390,11.810064267,-1.4027102747
SRX5694391,-0.47813395700000005,0.8553520308
SRX5694392,11.0808388161,-2.0761807394
SRX5694393,-0.4870744876,0.0330207712
SRX5694394,0.0880644476,0.2666557515
SRX5694395,7.6378530807,-0.9592510036
SRX5694396,8.275275629,-0.5574577402
SRX5694397,0.5917449701,-0.3121118968
SRX5694398,0.5085540109,-0.0018077198
SRX5694399,9.7756251752,-1.0514659484
SRX5694400,10.0529807519,-1.1651527852
SRX5694401,0.23257634530000001,0.0024795783
SRX5694402,1.7059364276,-0.5983661308
SRX5694403,-0.5780948103,-0.5556194248
SRX5694404,-0.7389990062,-0.5466322989
SRX5694405,10.2505947593,-0.0744012493
SRX5694406,9.8620340663,-1.5522323443000001
SRX5694407,10.1193280706,-1.9030372461
SRX5694408,10.4747045116,-1.5541032821
SRX5694409,1.5424276882,0.5436788401
SRX5694410,0.5076562720000001,-0.396560044
SRX5694411,9.4284137095,-1.7229452805
SRX5694412,0.2173922757,-0.343325637
SRX5694413,3.3179157246,0.6017383412
SRX5694414,5.4555279992,-0.2371543646
SRX5694415,11.7539120891,-1.2071639543
SRX5694416,-0.3143944113,-0.1682246858
SRX5694417,9.837179581400001,-0.2704334231
SRX5694418,8.6400432431,-0.9519362488
SRX5694419,-0.1792139828,-0.0762186453
SRX5694420,10.6257023811,-1.2618796393
SRX5694421,8.6277663755,-1.3944782242
SRX5694422,-0.2940953081,-0.49919452010000004
SRX5694423,10.6101343787,-1.1157874292
SRX5694424,0.5030151995000001,-0.4815961017
SRX5694425,0.2329653455,-0.43065788720000003
SRX5694426,-0.8006466162,-0.4893862082
SRX5694427,10.293442794,-1.3051725408000001
SRX5694428,0.3290167822,0.46242168850000004
SRX5694429,9.7402039823,-1.8477618723
SRX5694430,11.368602969,-1.0639252389
SRX5694431,7.1414446154,-0.1240411082
SRX5694432,0.2094065085,-0.9164510444
SRX5694433,4.4075910588,1.0224934478
SRX5694434,2.8138259123,0.6286601679
SRX5694435,9.5125857599,-0.9518941562000001
SRX5694436,1.0851860566,-0.1052334343
SRX5694437,-0.6925068940000001,0.7115395365
SRX5694438,11.8517253082,-1.4416688659
SRX5694439,11.4771293223,-0.7134332685
SRX5694440,-1.182616911,-0.0445241282
SRX5694441,6.1211025723,-0.0349885256
SRX5694442,8.6375180478,-0.6624719793
SRX5694443,-0.4078088533,-0.9262386105
SRX5694444,12.6835910315,-1.7305777477
SRX5694445,8.4932185101,-2.9399379941
SRX5694446,10.8018566517,-1.0644935462
SRX5694447,11.4712591063,-1.1857771612999999
SRX5694448,1.5328625165,-0.9373763926
SRX5694449,10.0417094517,-1.5499422864999999
SRX5694450,-0.5649946689,0.246286793
SRX5694451,-0.1086906551,-0.33376319660000003
SRX5694452,8.5017699437,-1.1206970331
SRX5694453,1.9475595958,-0.6005377017
SRX5694454,-0.0263680303,-0.1563591697
SRX5694455,-0.2434786231,-0.2804330674
SRX5694456,0.2741425006,-0.5457914957000001
SRX5694457,0.3847454755,-0.2295728501
SRX5694459,9.8114132277,-0.5387495017
SRX5694460,8.7255124313,-1.4604350842
SRX5694461,11.276084921,-1.4137090162
SRX5694462,11.2215288987,-1.1006868408
SRX5694463,10.9632070712,-1.404782359
SRX5694464,12.1845052316,-2.2291187808
SRX5694465,11.2063540873,-1.0348501559
SRX5694466,0.134759435,0.07052161480000001
SRX5694467,9.942673794200001,-0.9814714192
SRX5694468,1.901630938,-1.3433413314
SRX5694469,10.7883183864,-1.4663597203
SRX5694470,0.21143330130000001,0.26587260020000003
SRX5694471,-1.5210111685,-0.7518923789
SRX5694472,-0.3068517872,-0.5607885157
SRX5694474,-0.2281563537,-0.1325674633
SRX5694475,-0.4409140573,-0.7174818351000001
SRX5694476,-0.3867678845,-0.92004019
SRX5694477,10.841401239,-1.7000522898
SRX5694478,10.0684854362,-1.6272205136
SRX5694479,0.9743309077000001,0.5720513154
SRX5694480,8.5602889055,-0.1391671733
SRX5694481,10.2236543284,-1.8297599892
SRX5694482,-0.3408170455,0.2466938887
SRX5694483,11.1791997241,-1.5228740022
SRX5694484,11.6122019908,-1.7851342103
SRX5694485,-0.1010207472,0.5237060041
SRX5694486,-0.2728597647,-0.25024855
SRX5694487,1.4075946196,-0.2514906435
SRX5694488,0.7313654542,0.26494073890000003
SRX5694489,-0.6328558246,-0.8041135079
SRX5694491,8.9472016979,-1.2194340631
SRX5694492,8.9639481069,-1.1809586871
SRX5694493,7.4590345299,-1.2807535359
SRX5694494,-0.13433796010000001,-0.1374687393
SRX5694495,-0.2462055282,-0.0215354808
SRX5694496,9.7394663546,-0.9480682125000001
SRX5694497,-0.1684933276,-1.0359986465
SRX5694498,11.6667533227,-1.6090659337000002
SRX5694499,11.0604814458,1.0061706903
SRX5694500,10.5014760521,-2.0143629746
SRX5694501,0.8765592361000001,-1.107632114
SRX5694502,-2.5605790989,-0.9445956744
SRX5694503,-0.4382935337,-0.20780028250000002
SRX5694504,-0.405555147,-0.08039064650000001
SRX5694505,0.5651651665,-0.6464345047000001
SRX5694506,-0.7133779682,0.3201258186
SRX5694507,9.9788900339,-1.429834788
SRX5694508,9.8944456056,-0.2454056152
SRX5694509,-0.3175991489,-0.24123482200000002
SRX5694510,10.2927416369,-1.6288766759
SRX5694511,12.0531973919,-1.4625096694
SRX5694512,8.477124224,-1.6452168668
SRX5694513,8.6768421737,0.4428735696
SRX5694514,9.0838822106,-1.2436742039
SRX5694515,0.14395060340000002,0.8735172847
SRX5694516,11.7318900631,-0.6719385942
SRX5694517,-1.7514078562000002,-0.37733769570000003
SRX5694518,-0.42546056530000004,-0.4317252374
SRX5694519,8.3462223827,-1.3577074486
SRX5694520,-1.5710647654,0.6491026828
SRX5694521,-0.0750514521,-0.4213987726
SRX5694522,-0.5069358415,-0.49952232950000003
SRX5694523,0.6582076521,-0.5699067505000001
SRX5694524,-0.4912883179,-0.8692367033
SRX5694525,10.1476648294,-0.719723831
SRX5694526,11.061658321,-1.4562038794
SRX5694527,9.3240564121,-3.1686241086
SRX5694528,1.2057324094,0.1273458795
SRX5694529,0.10004860530000001,0.4477540224
SRX5694530,-2.1677488102,1.1076025521
SRX5694532,-1.096607601,-0.7140407148
SRX5694533,0.3898478797,0.8674104367000001
SRX5694534,8.9437423763,-1.7428722273
SRX5694535,-0.9788719744000001,1.5356553832
SRX5694536,0.1320152156,-0.14280660850000002
SRX5694537,-0.1379475321,-0.691286309
SRX5694538,-0.17347068770000001,-0.6011030735
SRX5694539,10.3802851495,-1.8956070018000002
SRX5694540,-1.3519577827,-0.881578045
SRX5694541,10.3395840878,-1.6274215645
SRX5694543,11.6467152636,-0.8009554115
SRX5694544,-0.2627249588,-0.09116728560000001
SRX5694545,11.979992608,-1.9640775632
SRX5694546,10.0574947051,-4.3742249802
SRX5694547,10.9776664143,-0.9952698144000001
SRX5694548,0.10296111000000001,-0.09764791440000001
SRX5694550,6.7835504099,0.4134968379
SRX5694551,11.9395551796,0.060529975800000003
SRX5694552,10.3837264705,-1.4435463849
SRX5694553,-0.8786666304,0.36119014990000003
SRX5694554,-0.9003302853,-0.2071376134
SRX5694555,9.9667970636,-1.4275565203
SRX6072760,-0.6641010819000001,-0.4038510073
SRX6072761,0.0036947025,-0.0788584053
SRX6072762,-0.442749051,-0.2998911906
SRX6072763,-0.1588541346,0.0757173152
SRX6072764,-0.4768149949,-0.0445006316
SRX6072765,-0.6081653389,0.0173530753
SRX6376491,5.8822083695,0.708378426
SRX6376492,7.7527905223,-0.5155147872
SRX6376493,8.0212967393,-0.6280072801000001
SRX6376494,6.9283392591,0.2270243056
SRX6376495,6.9348061913,0.5336738821
SRX6376496,6.8953656382,0.0157998917
SRX2723951,0.45549265650000004,0.5673085962000001
SRX2723952,0.36182223080000003,0.8514691231
SRX2723953,0.7238755746000001,0.9218031523
SRX2723954,-0.31693492300000004,0.9557157301
SRX2723955,0.2664386902,0.1945679979
SRX2723956,-0.1625804407,0.5020882455
SRX2723957,-0.1136255084,0.0657084429
SRX2723958,0.5617717721000001,0.41460956190000003
SRX2723959,0.1089184219,0.0107396987
SRX2723960,-0.3063786673,0.37474769550000003
SRX2723961,-0.09107760720000001,0.8403568434
SRX2723962,0.196561817,0.0815755292
SRX2723963,-0.127026133,-0.157120746
SRX2723964,-0.4606911577,0.201381738
SRX2723965,-0.25598937920000003,0.2351902683
SRX2723966,0.11432419760000001,0.1793579941
SRX2723967,0.11377648480000001,-0.26871484700000003
SRX2723968,-0.2281006825,0.0893568529
SRX6977206,0.9747141992,0.3459115795
SRX6977207,1.1381845785,0.4857461308
SRX6977208,0.0418389646,0.49053472130000003
SRX6977209,-0.43442629520000003,0.4097141597
SRX6977210,0.015104363300000001,0.5527040293000001
SRX6977211,-0.4515520592,-0.029492666400000003
SRX6977212,0.6468926135,-0.3564862058
SRX6977213,-0.1953405543,0.3859788722
SRX6977214,0.1796168889,0.5342859019
SRX1153733,0.1904754615,0.068239141
SRX1153734,-0.1904754615,-0.068239141
SRX1153735,0.3645990015,0.0531060155
SRX1153736,-0.7254881378,-0.4280031701
SRX5204053,-0.4114904922,0.26759402250000003
SRX5204054,-0.1689185471,0.3172018661
SRX5204055,-0.4797269207,0.3308496074
SRX5204056,-0.026903574000000003,0.5478857326000001
SRX5204057,0.5298722773,0.8907731823
SRX5204058,0.2459245836,0.49010196910000003
SRX5204059,0.5629764256,0.220255201
SRX5204060,-0.4886128813,0.2548055456
SRX5204061,0.14883364200000002,0.5294008981
SRX5204062,0.3618450931,0.5832385285
SRX5204063,-0.1639665164,0.2249534438
SRX5204064,0.4418254763,0.8442609272
SRX5204065,0.4324692539,0.7321645993
SRX5204066,0.4683263948,0.7949433854
SRX5204067,0.4930287688,0.7931758336
SRX5204068,-0.07790448130000001,0.2676430434
SRX5204069,0.4531010016,0.5375745458
SRX5204070,0.3388288239,0.43282379790000003
SRX5204071,-0.09997790270000001,0.4616703506
SRX5204072,0.08460874730000001,0.8543455109
SRX5204073,0.378544227,0.6708954353000001
SRX5204074,0.4775184262,0.364356402
SRX5204075,0.1561082209,0.3832331251
SRX5204076,0.3224478209,0.5414784732
SRX5204077,-0.2167688738,0.6473009077
SRX5204078,0.4154960881,0.7363370201
SRX5204079,0.4907099205,0.6463201251
SRX5204080,0.0870949881,0.6048443541
SRX5204081,0.4267031417,0.6023856099
SRX5204082,0.0574288139,0.5932553264
SRX5204083,-1.0069847111,-0.483803437
SRX5204084,-0.416759305,-0.7921840713
SRX5204085,-0.9668205749000001,-0.043631157500000003
SRX5204086,-0.12055322580000001,0.1748510482
SRX5204087,0.45446321110000004,-0.3552800125
SRX5204088,-0.6689620519,-0.0480239006
SRX5204089,-0.3809734058,-0.1481688549
SRX5204090,-0.18306068920000002,0.0694860919
SRX5204091,-0.4317346999,-0.6823692064
SRX5204092,0.4689053342,-0.4443417109
SRX5204093,-0.8045141474,0.0339050356
SRX5204094,0.058632725000000004,0.4119318925
SRX5204095,-0.2527333685,0.3323859684
SRX5204096,0.11874218410000001,-0.4784689912
SRX5204097,0.13399118440000002,0.14608302280000002
SRX683459,0.1223600358,0.2449151636
SRX683460,1.6285510921,1.6572158205
SRX683461,-0.5195786562,0.0478488833
SRX683462,0.5592978745,1.6555226743
SRX683463,0.3972186204,-0.2927640469
SRX683464,2.8688589553,1.8323891199000002
SRX683465,-0.31869395310000004,-0.0017915130000000002
SRX683466,2.803205621,1.9383825773
SRX683467,0.2774447138,-0.0650185176
SRX683468,0.8821262986,1.7994037497000002
SRX683469,0.5368897583000001,-0.2813340333
SRX683470,3.2591147002,1.5811161347
SRX322077,-0.6432304841,-0.18761666100000002
SRX322078,-0.0276069957,0.5207971046000001
SRX322079,-0.7609118036,-0.14070865030000002
SRX322080,0.9410833940000001,0.1827462357
SRX322081,0.0086990372,-0.35882551090000003
SRX322082,0.2598727836,0.1134171736
SRX322083,0.1893714934,-0.0486954323
SRX322084,0.0417107633,-0.0143156285
SRX322085,-0.2310822566,0.0630110608
SRX2708592,0.2010876291,-0.772695432
SRX2708593,1.1215405217,-0.24417588750000002
SRX2708594,0.9068059405000001,0.2393593353
SRX2708595,-0.4170423769,-0.2805691969
SRX2708596,0.4395844571,-0.024650189700000002
SRX2708597,-0.0225420802,0.30521938660000003
SRX2708598,-1.1221012612,-0.6537889631
SRX2708600,0.9303757101000001,-0.3014817005
SRX2708601,0.7759408936000001,-0.5174942518
SRX2708602,0.266892799,0.9830017425
SRX2708603,0.315770532,0.14373521620000002
SRX3073814,-0.0748426574,-0.0779113439
SRX3073815,0.8594499322,-2.2759541174
SRX3073816,2.4986083502,-3.6663014627
SRX3073817,4.8838157348,-4.558842202
SRX3073818,5.9795675961,-2.3973807901
SRX3073819,-0.1262352336,0.3450965868
SRX3073820,0.7912413220000001,-2.9916898277
SRX3073821,2.0065405852,-4.1621276017
SRX3073822,4.8974264218,-2.4050540174
SRX3073823,5.4898794936,-2.9597855823
SRX3073824,0.0748426574,0.0779113439
SRX3073825,0.232065038,-2.5286185891
SRX3073826,2.1708963912,-3.4974743986
SRX3073827,4.6535707751,-3.4171577578
SRX3073828,6.0303203226,-2.5997792737000003
SRX3073829,-0.6081015048,0.055682839000000005
SRX3073830,0.217444343,-2.9712139055
SRX3073831,2.0350159496,-2.9423003821
SRX3073832,5.2328911531,-3.038134469
SRX3073833,6.3676346557,-2.2093333791
SRX2391456,-0.16686874810000002,-0.1070076747
SRX2391457,-0.0563253336,-0.0169978484
SRX2391458,-0.252814305,0.1396647903
SRX2391459,-0.1915803274,0.057813067200000005
SRX2391460,-0.0743632276,0.2685517786
SRX2391461,-0.09974767400000001,0.216430788
SRX2391462,0.1266545077,0.1100074511
SRX2391463,0.3330335165,0.183406431
SRX2391464,0.7865973587,0.2101687139
SRX2391465,-0.2848322533,0.2164863958
SRX2391466,-0.07476806,0.013570341000000001
SRX2391467,0.0493644257,-0.07613795050000001
SRX2391468,-0.2689312334,-0.0466593721
SRX2391469,0.1209502977,0.1332552945
SRX2391470,0.17594479300000002,0.0376224104
SRX2391471,0.19854274090000001,0.1447731505
SRX2391472,0.5751941996000001,0.3424938899
SRX2391473,0.0629715812,0.1966702363
SRX2391474,0.0489499157,0.3284359432
SRX2391475,0.5917126548,0.0753337043
SRX2391476,0.4538161001,0.050302672400000005
SRX2391477,0.09089079030000001,0.045423049
SRX2391478,-0.2302531405,-0.0209580729
SRX2391479,0.7305504764,0.0300162456
SRX2391480,0.1051003311,-0.0690713359
SRX2391481,0.0130342762,-0.0447695461
SRX2391482,0.1861107395,0.06559990710000001
SRX2391483,-0.11505601330000001,-0.0572789851
SRX2391484,0.0475064628,-0.1793927938
SRX2391485,0.1315448598,-0.0433160963
SRX2391486,0.0528990365,0.176462679
SRX2391487,0.4995661073,0.4144890714
SRX2391488,0.2555559538,0.0728116112
SRX2391489,0.3495843319,0.2134551224
SRX2391490,0.038721245200000004,0.1731080411
SRX2391491,0.0106465394,0.1443259324
SRX2391492,-0.3402864896,0.12660659
SRX2391493,-0.1673594561,0.1795055207
SRX2391494,0.0132042827,0.0814442381
SRX2391495,-0.0493644257,0.07613795050000001
SRX2391496,-0.1150744242,0.24712874240000002
SRX2391497,-0.3049969991,-0.0876064347
SRX2391498,0.4238162435,0.2693946292
SRX2391499,-0.1285333561,0.018994531000000002
SRX2391500,0.2912844591,0.2856492987
SRX2391501,-0.0602022789,0.1158272387
SRX2391502,-0.2318091521,0.2905513956
SRX2391503,0.0896796057,0.6372302853
SRX2391505,0.2702312823,0.0799535478
SRX2391506,-0.1813332282,0.0968864119
SRX2391507,0.0471324765,0.364718231
SRX2391508,0.07427084190000001,0.14035947710000002
SRX2391510,0.0311370696,-0.024677396900000002
SRX2391512,-0.15715796140000002,-0.0712122209
SRX2391513,-0.0338968099,-0.0393922326
SRX2391514,-0.1633456249,0.0625041709
SRX5632598,-0.1026559371,1.2321421794
SRX5632599,0.2483600306,0.8027213869000001
SRX5632600,-0.2096788102,0.9137763371000001
SRX5632601,0.06985572150000001,0.5455334603
SRX5632602,0.169671961,0.9262210783
SRX5632603,-1.4341158801,0.9206043999
SRX5632604,-0.1154744218,1.2921075326
SRX5632605,0.1857132692,1.4756624463
SRX5632606,-0.7920421643000001,0.9483087832
SRX5632607,-0.2302220617,0.49725954
SRX5632608,0.08778946600000001,-0.0891552157
SRX5632609,0.0453994376,0.3640268252
SRX5632610,0.1767408147,0.0769981156
SRX5632611,-0.1331889036,-0.2748716095
SRX5632612,0.2596149887,-0.3052933673
SRX5632613,-0.5620048231,0.7483749269000001
SRX5632614,-0.782999002,0.3568547453
SRX5632615,0.3707310019,0.8522554386000001
ERX2874132,-0.10649769220000001,0.5445996173000001
ERX2874133,-0.6804737213000001,0.1107000045
ERX2874134,-1.2777501614,1.3452916882000001
ERX2874135,-0.8537633452000001,1.5506543563
ERX2874136,-1.1341411196,1.7220114004
ERX2874137,-0.4054802897,1.9242227049
ERX2874138,-1.0761357886,0.5969264223
ERX2874139,-1.0893772694,0.2455789358
ERX2874140,0.0172240455,0.2931347176
ERX2874141,-0.0172240455,-0.2931347176
ERX2874142,-0.5419795434,1.2772585485
ERX2874143,-0.8053203264000001,0.8713650273
ERX2874144,-0.4974055835,0.8571666489
ERX2874145,-0.5673273866,0.5838702368
ERX2874146,-0.6600025284000001,0.5038412466000001
ERX2874147,-1.0646788829,-0.1809971249
SRX1300292,-0.37435843010000003,0.19173981240000001
SRX1300293,0.37435843010000003,-0.19173981240000001
SRX1300299,-0.24644962410000001,-0.5641374521
SRX1300300,0.34148872500000005,0.48974548300000004
SRX1300304,-1.0170390607,0.5782657387
SRX1300305,-0.4736994506,0.1375000408
SRX1300306,-0.30424238340000004,0.3081708474
SRX1300310,0.5419448433,-0.2523943859
SRX1300311,-0.3806898272,0.048622665
SRX7291195,0.071689741,-0.6252228311
SRX7291196,0.524634488,-0.5191816488000001
SRX7291197,0.6887967797,-0.4352589794
SRX7291198,0.11880083920000001,0.20844224790000002
SRX7291199,-0.0393906989,-0.0888460734
SRX7291200,-0.0794101403,-0.1195961745
SRX7291201,0.396675853,-0.6159322862000001
SRX7291202,0.49473666790000004,-0.4584515127
SRX7291203,0.25610298800000003,-0.3773756841
SRX7291204,0.1601351618,-0.0395726844
SRX7291205,0.1706274719,0.14931959250000001
SRX7291206,0.1138729455,0.12234404980000001
SRX2436955,0.1382225654,-0.0799605314
SRX2436956,-0.5152398548,0.5093775843
SRX2436957,-0.7486124135000001,0.3505626764
SRX2436958,-0.12291970320000001,0.5696687500000001
SRX2436959,-0.5311639936,0.5099058830000001
SRX2436960,0.0395998647,0.8552498297000001
SRX2436961,-0.1034349297,0.5946361512
SRX2436962,0.3014683624,0.9819007922
SRX2436963,0.1026712854,0.7008344628000001
SRX2436964,-0.418070013,0.4729429055
SRX2436965,2.1042199002,0.9769948171
SRX2436966,0.0058349212,0.32516278590000003
SRX2436967,-0.2583865522,0.6687798349
SRX2436969,-0.18643196110000002,0.6598105315
SRX2436970,-0.282872642,0.5089221983000001
SRX2436971,-0.1897711684,0.49948861390000004
SRX2437029,0.304789866,0.9319599587
SRX2437030,0.036469456500000004,0.2082460489
SRX2437031,0.0628499192,0.1148387153
SRX2437032,0.0713454022,-0.0092992421
SRX2437033,0.0977723583,-0.9944969607
SRX2437034,1.7415392131,0.9343060956
SRX2437035,-0.2754459774,0.5680293494
SRX2437036,-0.19009425900000002,0.3356686826
SRX2437037,-0.6450968543000001,0.17823091030000002
SRX2437038,-0.1090886403,0.442996577
SRX2437039,-0.0305761067,0.00047719440000000004
SRX2437040,-0.0175488551,0.5326358574
SRX2437041,-0.2120083062,-0.0725838068
SRX2437042,0.1616865533,-0.3283517011
SRX2437043,-0.4934939881,0.1991483238
SRX2437044,0.2518465429,-0.6537188832
SRX4705203,2.2186595974,0.6892576789
SRX4705204,0.2457999005,-0.42109205650000003
SRX4705205,0.3318885458,0.0818974027
SRX4705206,0.1978488508,0.055573164200000004
SRX4705207,0.47579881900000004,0.4234488688
SRX4705208,0.7055047117000001,0.3618187432
SRX4705209,0.4300415942,0.32619137260000003
SRX4705210,0.44615552810000003,-0.3551838379
SRX4705211,0.6333985441000001,0.0356677685
SRX4705212,0.3121142381,0.039111115700000004
SRX4705213,0.0875057269,0.3460890781
SRX4705214,-0.1173395264,0.2269284752
SRX4705215,-0.030169265600000002,-0.185970031
SRX4705216,-0.2298326433,0.0994958113
SRX4705217,0.3643999148,-0.2333808882
SRX4705218,-0.0745642064,-0.2531624455
SRX4705219,0.795772691,0.5076360433
SRX4705220,0.5670454165000001,0.6324128497
SRX4705221,0.46384267220000003,-0.2535134794
SRX4705222,0.48974420890000003,0.3874604431
SRX4705223,2.5304730623,0.6868907183
SRX4705224,2.1637444968,0.985093902
SRX4705225,0.0369214251,-0.5321352795000001
SRX4705226,0.3782926419,-0.5724500029
