,STM2861
SRX2070419,1.45054298
SRX2070420,0.9039035432
SRX2070421,1.2821096418
SRX2070422,0.3614511657
SRX2070423,0.33643953060000004
SRX2070424,0.6494058569000001
SRX2070425,-0.1623102253
SRX2070426,0.2582128307
SRX2070427,-0.0959026055
SRX1470895,0.07991875550000001
SRX1470896,-0.07991875550000001
SRX2409106,-0.081590359
SRX2409107,0.250538753
SRX2409108,-0.1689483939
SRX2409109,1.2153805183
SRX2409110,2.1302144686
SRX2409111,1.8665489899
SRX7973255,0.10842007940000001
SRX7973256,-0.2913128611
SRX7973257,0.1828927817
SRX7973258,0.1054982304
SRX7973259,-0.4369407134
SRX7973260,-0.2719810821
SRX7973261,5.9392896204
SRX7973262,5.5485827551
SRX7973264,6.8189612085
SRX7973265,5.1557956146
SRX7973266,7.1651446473
ERX3475890,1.2156408185
ERX3475891,1.834172648
ERX3475892,0.7296241011
ERX3475894,0.5148990838
ERX3475895,2.1709550918
ERX3475896,0.14017678320000002
ERX3475897,-0.2771137321
ERX3475899,0.1369369488
ERX3475900,0.40799720110000004
ERX3475901,2.2584879353
SRX8524961,-0.08823644080000001
SRX8524962,0.3957638113
SRX8524963,0.1406114067
SRX8524964,0.9190143826
SRX8524965,0.2461491525
SRX8524966,-0.2461491525
SRX8524967,1.0877507384
SRX8524968,1.1327831485
SRX8524969,1.2680572852
SRX8524970,1.143648311
SRX8524971,0.7925753742
SRX8524972,-0.336539199
SRX3266937,0.44246087310000004
SRX3266939,-0.44246087310000004
SRX4401053,0.20030366460000001
SRX4401054,-0.20030366460000001
SRX4401055,-0.5645606143
SRX4401056,-0.5889531643
SRX4401057,-0.6204491353
SRX4401058,-0.4893100723
SRX4401081,-0.11006975370000001
SRX4401082,-0.0830971071
SRX4401083,-0.7471519417
SRX4401084,9.6601265409
SRX4401085,9.5973927124
SRX4401086,9.7244250404
SRX4401087,0.8813269424
SRX4401088,0.7877065927
SRX4401089,0.8871273862
SRX4401090,9.386409477499999
SRX4401091,9.333314165400001
SRX4401092,9.3050227539
SRX4401093,-0.7647781283
SRX4401094,0.3873259576
SRX4401095,-0.7388842004
SRX4401096,9.1173015437
SRX4401097,9.4326988002
SRX4401098,9.393337039
SRX4401099,0.0555588334
SRX4401100,-0.3284948133
SRX4401101,0.2729359799
SRX4401102,9.1758031887
SRX4401103,9.2453352199
SRX4401104,9.3238553282
SRX8757611,1.2793188681
SRX8757612,-0.30756652700000003
SRX8757613,-0.053138614
SRX8757614,0.9654023624
SRX8757615,-0.3060822032
SRX8757616,0.9102818773
SRX8757617,0.8590293634
SRX8757618,-0.4231290937
SRX8757619,-0.8373120257000001
SRX8757620,0.1496882614
SRX8757621,-1.3233875118
SRX8757622,-2.2725436571
SRX8757623,0.34385294800000005
SRX8757625,0.7474087947
SRX8757626,1.9487370397000001
SRX8757628,0.1578782656
SRX8757630,0.7251117428
SRX8757631,-0.1397651983
SRX8757632,1.0390182753
SRX8757633,0.9229825895
SRX8757634,1.6725002827000002
SRX6054568,-0.0665633208
SRX6054569,0.0665633208
ERX540771,0.08995989060000001
ERX540772,-0.08995989060000001
ERX540773,-0.8636323663000001
ERX540774,0.45405098260000004
SRX4702827,-0.048297912400000004
SRX4702828,-0.0274464741
SRX4702829,0.0757443866
SRX4702830,-0.18918552600000002
SRX4702831,-0.28854935190000003
SRX4702832,-0.10302461830000001
SRX2993586,0.5403203318
SRX2993587,-0.5403203318
SRX2993588,-0.0609885545
SRX2993589,0.3982696271
SRX2993590,-0.797075108
SRX1462169,2.9711416356
SRX1462104,0.172006978
SRX1462103,-0.2222229662
SRX1462105,0.07448847880000001
SRX1462171,2.8560914246999998
SRX1462102,0.2222229662
ERX1045682,-0.8412460616
ERX1045674,0.0811493039
ERX1045681,0.1530492449
ERX1045662,-0.9476405898
ERX1045684,0.06451842170000001
ERX1045660,0.1932003158
ERX1045664,0.1038272051
ERX1045670,-0.5209977784000001
ERX1045667,0.204108419
ERX1045675,-0.1926209737
ERX1045673,-0.9002524769
ERX1045677,0.45723303810000004
ERX1045679,-0.25407191960000003
ERX1045659,-0.779479228
ERX1045663,-0.0063555186
ERX1045668,-0.5865806410000001
ERX1045689,-0.2454539617
ERX1045685,-0.404851844
ERX1045683,-0.8226579264
ERX1045680,0.2502655062
ERX1045666,0.48850646410000004
ERX1045658,-0.21121214800000002
SRX1816875,-0.8325066328
SRX1816859,-0.7128604301
SRX1816857,0.9962562898
SRX1816863,0.0583980481
SRX1816867,-1.2790452269
SRX1816858,-0.28339585970000003
SRX1816879,-1.3419037937
SRX1816878,-1.4668895816
SRX1816868,-1.1228775712
SRX1816866,0.1758223324
SRX1816870,0.2893393074
SRX1816880,-1.3429333654
SRX1816864,-0.6997081807000001
SRX1816874,-1.081378657
SRX1816877,-0.5859825294000001
SRX1816861,-1.4045447544
SRX1816872,-1.253794182
SRX1816862,-1.1341097294
SRX1816871,-0.0004777595
SRX1816876,-0.9718915410000001
SRX1816869,-0.5442864178
SRX8370456,-0.45069523170000003
SRX8370458,0.6999411718
SRX8370457,-0.2492459401
ERX321085,-0.050757236500000004
ERX321083,0.45542882030000004
ERX321086,-0.45542882030000004
ERX321081,0.1233632991
SRX974437,0.0
SRX976478,3.918437405
SRX976341,3.5272886188
SRX976476,-0.2274628719
SRX976336,5.958647116
SRX976480,6.103167021
SRX976335,3.1681841931
SRX976343,5.5155177446
SRX976468,0.7528093439
SRX976471,6.9813868101
SRX976474,5.2052952827
SRX976469,3.8057363625000002
SRX976470,6.9801389003
SRX976482,6.3336656171
SRX976344,5.6502261450999995
SRX976475,6.0071268575
SRX976473,2.9541159031
SRX3456073,-3.5879223067
SRX3456063,-3.2972910651
SRX3456076,-0.4087460271
SRX3456082,2.3985602683
SRX3456094,0.159865522
SRX3456067,-0.7891750494
SRX3456061,-0.7267185257000001
SRX3456065,-0.3227999475
SRX3456064,-2.4155301784
SRX3456085,5.3320636336
SRX3456079,-2.4504094323
SRX3456084,0.7198769782000001
SRX3456074,-2.8107464298
SRX3456080,4.9196600163
SRX3456070,0.3133779561
