,A,PrpR,RpoN,Cra
cra_crp__delcra_glc__2,0.43951067580000003,0.026014245000000002,-0.1007299425,-7.2746930645
rpoB__wt_031__1,5.8406556361,2.349502971,-0.056968540500000005,0.7803328845
rpoB__wt_044__1,1.5877283158000002,0.7595729790000001,0.22376482050000002,0.10390239150000001
rpoB__wt_lb__1,2.864440645,4.009135683,-0.028158271500000002,0.5522476165
rpoB__wt_lb__2,3.4208480733,3.999053845,0.0103283685,0.5466030005
rpoB__rpoBE546V_031__1,5.2787579701,1.435010547,-0.1267133255,0.5672867075
rpoB__rpoBE546V_044__1,4.9647189884,1.251877761,0.023719754500000002,0.5335004895000001
rpoB__rpoBE546V_lb__1,0.8986621045000001,2.603877265,-0.013294588500000001,0.6674809845
rpoB__rpoBE546V_lb__2,-0.23025702790000002,2.392803891,-0.0162517615,0.5745490675
rpoB__rpoBE546V_glc__1,0.5210935595,-0.17852993,-0.5141145255,0.1860434845
rpoB__rpoBE672K_glc__1,0.5287648983000001,-1.351599084,-0.2027603775,-0.0267189575
rpoB__rpoBE672K_glc__2,0.4389673215,-2.109201925,-0.22850633750000002,-0.0257166055
rpoB__rpoBE672K_lb__1,0.2320466025,-1.149460202,-0.6724268015,-0.6128218315
rpoB__rpoBE672K_lb__2,0.5102020926,-0.9854907610000001,-0.5883223085,-0.5361180115
crp__wt_fru__1,-0.21726274780000002,0.572982497,-0.2614936275,0.2989213585
crp__wt_glyc__1,1.9356509041,0.41593729500000004,-0.4111413085,0.4175891165
crp__wt_glyc__2,2.5115100491,0.470907899,-0.31615505250000003,0.48395879950000004
crp__delar1_glyc__1,1.4219369056,-2.101726064,0.6530569715,-0.47260369550000003
crp__delar1_glyc__2,0.9975131264,-2.266063576,0.6094381865,-0.1598414535
crp__delar1ar2_glyc__1,0.8108429138000001,0.5111869560000001,0.41063416150000004,0.0721372145
crp__delar1ar2_glyc__2,1.4527171309,0.671548647,0.39263840650000004,0.09626005650000001
crp__delar1ar2_glyc__3,1.1862004797,0.489077831,0.3384137365,0.1420857595
crp__delar2_glyc__1,4.0880896575,-1.286439604,0.23901305750000001,1.5884455014999999
crp__delar2_glyc__2,4.3670532405,-1.359798739,0.3881425055,1.5380338865
crp__delar2_glyc__3,3.555892454,-1.739217498,0.5417163865,1.7052313895
crp__delcrp_fru__1,1.1550196421,1.096931336,0.48734105450000004,-0.1714309155
crp__delcrp_fru__2,1.2360300126000001,0.79110603,0.6076043145000001,-0.1182234695
crp__delcrp_fru__3,2.0896163008,0.669893383,0.4631423375,-0.0551217295
crp__delcrp_glc__1,2.1873171489,1.119949342,0.6373608285,0.07036556050000001
crp__delcrp_glc__2,1.8555099862,1.455826113,0.6669930295000001,-0.0425951975
crp__delcrp_glc__3,2.168832691,1.299801139,0.5979555295,-0.042914679500000004
crp__delcrp_glyc__1,1.2524030067,0.901310158,0.4546922765,-0.3392304345
crp__delcrp_glyc__2,1.5879798721,1.023432094,0.47694144850000003,-0.3827568625
crp__delcrp_glyc__3,1.6748513339,0.754852896,0.4892179915,-0.42265333850000003
glu__glu_ale3__1,0.030925548900000002,-2.118758056,-0.1601779305,-0.7402779055
glu__glu_ale4__1,-0.40878300710000004,-2.902743438,-0.2800279565,-0.3293785065
glu__glu_ale5__1,0.24132284950000002,-1.40446378,-0.6870798615,0.0947587235
glu__glu_ale6__1,-0.0624480322,-1.682190998,-0.5723060855000001,-0.4482474515
glu__glu_ale8__1,0.5685800435,-2.623224686,0.1635734905,-0.4052344865
glu__glu_ale9__1,0.4969586453,-2.6872049799999997,0.0031536635000000003,-0.5522943725
glu__glu_ale10__1,-1.2774711888999999,-2.446858523,-0.2871971685,-0.8425052495
42c__wt_42c__1,0.8113821938,-0.8158669980000001,0.0244120205,-0.0454717345
42c__42c_ale1__1,1.3213039389,-2.36950997,0.3491200385,0.5311776705
42c__42c_ale2__1,1.3139780533,-1.805928565,-0.3153191495,-0.7342239275
42c__42c_ale3__1,1.0256162718,-1.936207874,0.09912298550000001,0.1280321895
42c__42c_ale4__1,0.9229062308,-2.68929593,-0.1073433455,-1.0645376205
42c__42c_ale5__1,0.8046995617,-1.621354791,-0.2023175995,-0.5135051465
42c__42c_ale6__1,1.0799837764,-2.403357914,0.8135905605,0.21068480650000002
42c__42c_ale8__1,0.5201245307,-2.610798307,0.32016739250000004,-0.6217082495
42c__42c_ale9__1,-0.1746433466,-1.486798978,-0.0553719955,-0.3956042765
42c__42c_ale10__1,0.0235497083,-2.576819847,0.21542995750000002,-0.6379388755000001
ssw__wt_ac__1,12.5808122859,1.252084101,-0.2178078165,-0.2413961185
ssw__wt_glc__1,-0.9273540374,-0.718903069,-0.2212727485,0.1827105745
ssw__wt_glyc__1,5.0490048507,-0.7425109440000001,-0.2125297985,1.1715215855
ssw__wt_xyl__1,1.0716054927,-2.253852825,0.4108722805,-0.3577239085
ssw__glc_ale1__1,0.6642744145,-1.6156617770000001,-0.7788251875000001,0.2224382355
ssw__glc_ale2__1,0.6060332356,-2.234563472,-0.0637925315,0.015246928500000001
ssw__glc_ale3__1,0.775580119,-2.591161664,0.2370279345,0.5553166585
ssw__glyc_ale1__1,0.0099303368,-1.987536487,-0.3120889155,0.4629098115
ssw__glyc_ale2__1,0.28403398490000004,-2.344678699,0.2020547685,0.5725965515
ssw__xyl_ale1__1,5.1211847097,-0.9757888640000001,-0.1082888095,0.0756614555
ssw__xyl_ale2__1,5.6245672918,-1.9352141550000002,-0.1497820355,-0.0253439305
ssw__xyl_ale3__1,2.7924045414,-1.002660866,-0.3262490615,-0.3214053655
ssw__glc_ac_ac2__1,0.43372245200000004,-2.091595629,-0.0901773505,0.2500812255
ssw__glc_ac_glc1__1,1.7217096085999999,-1.235601357,-0.28990390050000003,-0.5140878895000001
ssw__glc_glyc_glc__1,0.9847955007,-1.91308239,-0.2741644015,-0.7389535915000001
ssw__glc_glyc_glyc__1,1.9936790343,-1.485443276,-0.45250245850000004,-0.3282083195
ssw__glc_xyl_glc__1,0.8639306747000001,-2.282661155,-1.0410889935,-0.48230233450000004
ssw__glc_xyl_xyl__1,0.8099920902000001,-1.7173792429999999,-0.8552477355,-0.3761572855
ica__wt_glc__1,0.2250661633,-1.574560777,-0.5082379055,-0.3288401735
ica__wt_glc__2,0.0394746665,-1.9246431570000002,-0.4994340875,-0.2298459905
ica__wt_glc__3,0.6087889551,-1.3679887320000002,-0.1040741495,-0.1335046945
ica__wt_glc__4,0.5042936374,-1.304443352,-0.2792215905,-0.3478971115
ica__arg_sbt__1,6.5285170353,-0.22327447,-0.2671002145,-0.11815284250000001
ica__arg_sbt__2,6.0002482274,-0.9966327500000001,-0.3823479205,-0.0305277525
ica__cytd_rib__1,5.5541831293,4.295996096,0.1386887865,0.47457973550000004
ica__cytd_rib__2,6.151510921,4.268953905,0.12476168450000001,0.36735209150000003
ica__gth__1,4.904504009,0.790096943,0.3953586515,-0.8516950065000001
ica__gth__2,5.2530598522,0.6798512640000001,0.5102487215,-0.7889611225000001
ica__leu_glcr__1,3.885866386,-0.9317998770000001,-0.2586659055,-0.5439973285
ica__leu_glcr__2,4.0253584859,-1.113703758,-0.3374765535,-0.42771834150000004
ica__met_glc__1,0.4971440247,-1.6604377220000002,-0.8079442385000001,-0.5987970785
ica__met_glc__2,0.7713055907,-1.451960202,-0.8131288585,-0.5193976305
ica__no3_anaero__1,-0.3039867473,-2.30242762,0.023476880500000002,-0.3146283825
ica__no3_anaero__2,-0.1010159931,-2.493599354,0.012221922500000001,-0.3560574165
ica__phe_acgam__1,0.6240474513000001,-1.283898251,-0.5329956575,-0.1434673985
ica__phe_acgam__2,0.41077177600000003,-1.4512889150000001,-0.5109843565000001,-0.0791374365
ica__thm_gal__1,16.7102154383,0.361381748,-0.1857659965,0.22811886750000002
ica__thm_gal__2,16.8610298885,0.510447088,-0.0851485565,0.2597582215
ica__tyr_glcn__1,3.4825861229,-1.73116387,-0.3903549005,-0.2977201755
ica__tyr_glcn__2,3.534324428,-1.62897321,-0.3410315705,-0.2693074865
ica__ura_pyr__1,3.1194779345,-0.45317986800000004,-0.3768134025,-0.25550746750000003
ica__ura_pyr__2,3.8537942248,0.001304423,-0.4399327825,0.1375782835
ica__wt_glc__5,-0.1494298097,-1.355742739,-0.5177360115,0.040130148500000004
ica__wt_glc__6,0.3035622235,-1.455587132,-0.49115702850000004,0.0250361385
ica__bw_delpurR_cytd__1,-0.090433312,-1.95659167,-0.7443637615,0.0205400925
ica__bw_delpurR_cytd__2,0.23844409060000002,-1.884383777,-0.7433956735,-0.1574850455
ica__ade_glc__1,-0.19185504720000002,-1.499775672,-0.7138325825,-0.1759677155
ica__ade_glc__2,0.3602072055,-2.049735075,-0.8051262665000001,-0.0996171145
ytf__wt_glc__1,0.1377072063,-0.6634966170000001,-0.2177005135,-0.6737077895
ytf__wt_glc__2,-0.5461132604,-1.312417399,-0.1777278635,-0.6055927765
ytf__delyafC__1,0.2091143531,-1.4309493180000001,0.1175472515,0.13054956950000002
ytf__delyafC__2,0.3422882758,-1.575606954,0.1546335705,-0.0921015085
ytf__delyeiE__1,-0.0067446219,-0.9484342570000001,0.0250697845,0.14207658950000002
ytf__delyeiE__2,-0.9658479713,-0.48168647200000003,-0.1486100975,0.0901582025
ytf__delyiaJ__1,-0.8456611187,-1.847860582,0.08753290150000001,-0.2099125755
ytf__delyiaJ__2,0.0213834667,-1.678102478,0.23139318550000001,-0.4627617465
ytf__delyieP__1,0.2876675952,-1.513962862,0.21411362450000002,0.15975073850000002
ytf__delyieP__2,0.2597299577,-1.450985401,0.2065327435,0.0252895325
ytf__wt_ph5__1,-0.32082998560000003,-0.33083516500000004,-0.1566763185,-0.2569162325
ytf__wt_ph5__2,0.8209326212,0.29634672100000004,-0.1216764105,-0.2472585465
ytf__wt_ph8__1,-0.7147035199,-0.06377403200000001,-0.2880566235,-0.46788135750000004
ytf__wt_ph8__2,-0.545373424,0.016348972,-0.3517970845,-0.3931881025
ytf__delybaO__1,-0.2205552388,-1.481037125,0.08682374550000001,0.3487492755
ytf__delybaO__2,-0.32589343800000004,-1.731706237,0.11715476650000001,0.3502586885
ytf__delybaQ__1,-0.0655570865,-0.09156869200000001,-0.36648127750000004,-0.1179309295
ytf__delybaQ__2,0.6011062963,-0.130887427,-0.4210866755,-0.15625389750000002
ytf__delybiH__1,-0.2178550277,-1.404966647,-0.08041245350000001,-1.0921259985
ytf__delybiH__2,0.2661056996,-1.929773503,0.1485691505,-0.7620028185000001
ytf__delydcI_ph5__1,-0.044522026900000004,0.033344102,-0.2860461955,-0.1672907085
ytf__delydcI_ph5__2,-0.2955580666,0.034571861,-0.2915660545,-0.1853617155
ytf__delydcI_ph8__1,-0.4335152821,-0.6080873800000001,-0.19775634250000002,-0.4265538595
ytf__delydcI_ph8__2,-0.6909099413,-0.873907022,-0.4303054455,-0.4108135465
ytf__delyddM__1,-0.1613211193,0.096254026,0.0436795175,0.1275209545
ytf__delyddM__2,-0.1003299668,0.09752366400000001,0.0510243685,0.1606258955
ytf__delyheO__1,0.011807962600000001,-1.188280426,0.0094733505,0.2242853965
ytf__delyheO__2,0.0432575278,-1.225766567,0.024496082500000002,0.3255009585
fps__bw_glc__1,0.7647062382,-0.8477003550000001,-0.5196136545,-0.24882681750000002
fps__bw_glc__2,0.2829506815,-0.8899565880000001,-0.6788874785,-0.2915858915
fps__fps_thrA_ale1__1,0.2439450284,-0.49353391700000004,-0.3205594465,-0.0612522275
fps__fps_thrA_ale1__2,0.3380039991,-0.522475784,-0.42812930250000003,-0.1153842045
fps__fps_thrA_ale2__1,0.3125383109,-0.9978699440000001,-0.4658414105,-0.1519660425
fps__fps_thrA_ale2__2,0.41798291600000004,-0.891402919,-0.4076242355,-0.1983438985
fps__fps_serB_ale1__1,0.4709782576,-0.22183554200000002,-0.3878105415,0.0069847105000000005
fps__fps_serB_ale1__2,0.2429274106,-0.24583174800000002,-0.3348743525,0.0829141155
fps__fps_serB_ale4__1,2.7628562162,0.43220087300000004,-0.1907283005,-0.3300999335
fps__fps_serB_ale4__2,2.5086523828000002,0.807189946,0.10126346950000001,-0.2279361055
fps__fps_ptsI_ale1__1,15.6487717692,0.961554824,-0.8559759545000001,-0.029749650500000002
fps__fps_ptsI_ale1__2,15.6984726031,0.926289467,-0.7988730515,0.1353121075
fps__fps_ptsI_ale3__1,11.4923857502,0.324232255,-0.8056928055,0.1697747235
fps__fps_ptsI_ale3__2,12.1001414787,0.38254703100000004,-0.8484199965,0.1375632705
pal__lyx_ale2_f6__1,15.1366872677,2.094247141,-0.3722573105,0.44014802150000004
pal__lyx_ale2__1,11.8065563316,1.731289404,-0.5214724065,0.4296669475
pal__lyx_ale2__2,12.8211267676,1.93657516,-0.4881702405,0.5236768855
pal__lyx_ale4__1,5.6561507301,0.713363124,-1.0848582725,0.1788567995
pal__lyx_ale4__2,5.8197051623,0.8334623940000001,-1.0038269125,0.2502945185
pal__5drib_ale10_f18__1,16.6621453904,1.9982120810000001,0.6129173255,0.8401702095
pal__5drib_ale10_f18__2,17.026186966,2.231603168,0.6364002815,0.9115120555
pal__5drib_ale10__1,15.4857660655,2.159797704,0.013956801500000001,0.9093576335
pal__arab_ale14_f9__1,3.2390705223,1.037974934,-0.3592717405,-0.4265461505
pal__arab_ale14_f9__2,3.4688421844,0.9277071840000001,-0.2363246525,-0.35549306950000004
pal__arab_ale14__1,8.7034787588,-0.271323617,-0.6221584905,-0.2417858225
pal__arab_ale14__2,8.6775007454,-0.359666559,-0.6037325335,-0.2578451895
pal__arab_ale16__1,9.7776782558,0.008634742,-0.3419427795,0.1964395635
pal__arab_ale16__2,11.5198512745,0.7091512640000001,-0.20152948750000002,0.0568622445
pal__tartr_ale26_f10__1,18.2592879087,1.869381363,-0.3747926055,0.2225531285
pal__tartr_ale26_f10__2,17.7334916409,2.239231279,-0.35274892150000003,0.3151548185
pal__tartr_ale26__1,16.4978934277,1.728577504,-0.45010071150000003,0.2784140225
pal__tartr_ale26__2,16.5294987025,1.8801431960000001,-0.3057581085,0.3857143545
pal__tartr_ale28_f10__1,19.0509093699,2.72988679,-0.4779141955,-0.10273533850000001
pal__tartr_ale28_f10__2,18.0300693853,2.502494808,-0.48248354050000003,-0.15649287150000002
pal__tartr_ale28__1,10.3590858728,1.35445138,-0.5465418105000001,-0.0567533215
pal__tartr_ale28__2,8.8308333236,1.078479989,-0.6007871505,0.1348526165
efeU__delmenFentC_citr__1,0.5809127956,-0.616410047,-0.3912163105,-0.4299608375
efeU__delmenFentC_citr__2,-0.015292601400000001,-1.1465905410000001,-0.5284220465,-0.4640288495
efeU__delmenFentC__1,1.0894003909,0.664864482,0.08356590650000001,-0.8467870275
efeU__delmenFentC__2,1.3117976624,0.625655614,0.053814073500000004,-0.7631983415
efeU__menFentC_ale39__1,-0.07287349060000001,-2.257016179,-0.3340089295,-0.2556837565
efeU__menFentC_ale39__2,-0.0643418451,-2.609118773,-0.2956222475,-0.1915773315
efeU__menFentC_ale29__1,0.6680667112,-2.489250181,-0.0378373955,-0.039705712500000004
efeU__menFentC_ale29__2,1.1221470258,-2.025262394,-0.0412327315,0.058085645500000005
efeU__menFentC_ale30__1,1.4507697451000001,-1.100740455,-0.7487878285,0.1319201785
efeU__menFentC_ale30__2,0.0325623979,-1.9508368900000002,-0.7009630315000001,0.1403792365
efeU__menFentCubiC_ale36__1,0.2564016282,-0.19808193000000002,-0.18203062050000002,0.13333991350000002
efeU__menFentCubiC_ale36__2,-0.2050802261,-0.014007794,-0.2151145645,0.0445382865
efeU__menFentCubiC_ale37__1,-0.8186113008,-0.335343628,-0.0737356045,0.1334626515
efeU__menFentCubiC_ale37__2,-0.5337902731,-0.07792882300000001,-0.0430306665,0.1367576495
efeU__menFentCubiC_ale38__1,0.2683996609,-2.011728845,-0.0768021715,-0.2789833975
efeU__menFentCubiC_ale38__2,0.916066362,-1.5451105809999999,-0.2355697055,-0.2123298265
misc2__salc_glc__1,0.34142572800000004,-0.364666145,0.1359028115,-0.36501655450000003
misc2__salc_glc__2,0.4437093743,-0.278009983,0.44392921550000003,-0.053028755500000004
misc2__dbcn_glc__1,2.1105104886,-1.5703121750000002,-0.6235655355,-0.2567029305
misc2__dbcn_glc__2,1.8755940406,-0.25443169400000004,-0.4320346105,-0.2695548895
misc2__tyr_glc__1,0.6302542387,-0.8423137350000001,-0.2007496575,-0.2503051805
misc2__tyr_glc__2,0.8166807725,-0.693326856,-0.1041754705,-0.2997001745
misc2__arg_cytd__1,0.6143235594,-2.348725678,-0.6218984005,-0.1083011905
misc2__arg_cytd__2,0.6485398223000001,-1.653019513,-0.5839646795,-0.1827847635
misc2__delyheO_pyr__1,2.0094219741,0.468605657,-0.45300003250000004,0.4023999695
misc2__delyheO_pyr__2,1.9836458121,0.30878163200000003,-0.5385766335000001,0.27791473850000004
nquinone__delubiC__1,-0.2194175709,-1.866682128,-0.3668799975,-0.21470511750000001
nquinone__delubiC__2,-0.37921316520000004,-2.19725221,-0.3155679335,-0.3306261005
nquinone__ubiC_ale1__1,0.21449311000000001,-0.314343091,-0.1009341795,0.0790396755
nquinone__ubiC_ale1__2,-0.0599320024,-0.327388133,-0.2546691535,-0.0734280155
nquinone__ubiC_ale2__1,0.0494941145,-0.570980514,-0.40340550750000004,0.0353346505
nquinone__ubiC_ale2__2,-0.0024341634,-0.7491427190000001,-0.3678198875,-0.0018049525
nquinone__ubiC_ale3__1,0.6171049931,-1.7034021460000002,-0.8875475355,-0.6794247415
nquinone__ubiC_ale3__2,0.421757364,-1.864741294,-0.7537812915000001,-0.6278564055
nquinone__ubiC_ale4__1,0.009683938900000001,-0.7935442030000001,-0.32932624050000003,-0.0891983695
nquinone__ubiC_ale4__2,0.2847715645,-0.554150573,-0.1580608585,-0.0803739825
nquinone__delpdhR__1,0.9253054752000001,-1.6539884169999999,-0.6353274335,-0.2769369845
nquinone__delpdhR__2,0.8816647916,-1.209876654,-0.7252746255,-0.2938275845
quinone__glu_ale4__1,1.2691674215,-1.739887513,-0.5979053565,-0.3001390625
quinone__glu_ale4__2,0.8182078355,-2.085532145,-0.36403217250000003,-0.4458674305
quinone__delmenF__1,-0.1019322289,-0.794142514,-0.1925102585,-0.3317039425
quinone__delmenF__2,0.49408292470000004,-0.7817321730000001,-0.4212613405,-0.2140393105
quinone__menF_ale5__1,-0.3344236084,-2.277260319,0.0905275655,-0.3731903915
quinone__menF_ale5__2,0.2767355908,-2.6266833370000002,-0.028343522500000003,-0.39414975150000003
quinone__menF_ale6__1,1.0140106131,-1.722927602,-0.0886333495,-0.3932079115
quinone__menF_ale6__2,-0.5174289349,-2.537071749,0.0306147075,-0.2942019615
quinone__menF_ale7__1,1.7270888299,-1.334825857,-0.0059721975,0.2206331685
quinone__menF_ale7__2,1.6468404605,-1.229657998,0.0742940055,0.1118040455
quinone__menF_ale8__1,0.5617543353000001,-2.036013312,-0.1555023795,-0.048174719500000004
quinone__menF_ale8__2,0.3165121204,-2.119596395,0.0782791145,-0.3402880525
quinone__delmenFubiC__1,0.2881148993,-0.819513272,-0.2155050915,-0.3092731875
quinone__delmenFubiC__2,0.48965710490000003,-0.45929987400000005,-0.2042967585,-0.17641565350000002
quinone__menFubiC_ale1__1,1.005176274,-1.947743122,-0.1498709755,-0.06474065650000001
quinone__menFubiC_ale1__2,0.7089069456,-2.954294233,-0.1392940585,-0.1520650225
quinone__menFubiC_ale2__1,0.7772956087,-1.505234063,0.0115364335,-0.2111487195
quinone__menFubiC_ale2__2,0.4004149873,-2.220986096,0.0398572935,-0.058635081500000005
quinone__menFubiC_ale3__1,-0.4327849736,-1.5103231049999999,-0.5764822375,-0.0896427895
