,A,KdpE
ica__leu_glcr__2,-1.6741909164000002,-1.042762989
ica__met_glc__1,-0.8238415895000001,-0.6602932410000001
ica__met_glc__2,-0.6503238126,-0.7470016180000001
ica__no3_anaero__1,1.0778754796,-0.70388205
ica__no3_anaero__2,1.2307524043,-0.602199633
ica__phe_acgam__1,-0.5281661642000001,-0.7914994110000001
ica__phe_acgam__2,-0.7808009766,-0.820300389
ica__thm_gal__1,0.6950968634,-0.171921249
ica__thm_gal__2,0.9105824771000001,-0.23878143500000001
ica__tyr_glcn__1,-1.0203142874,-0.8101328090000001
ica__tyr_glcn__2,-1.3804515349,-0.9444042960000001
ica__ura_pyr__1,-0.7609813472,-0.9180720080000001
ica__ura_pyr__2,-0.16479278860000002,-0.94501099
ica__wt_glc__5,-0.8197751313,-0.9765050120000001
ica__wt_glc__6,-0.7762356346,-0.694985572
ica__bw_delpurR_cytd__1,-1.0604552929,-0.9438415550000001
ica__bw_delpurR_cytd__2,-0.38026968040000003,-0.505009218
ica__ade_glc__1,-0.9511200156,-0.30171626700000004
ica__ade_glc__2,-0.9064894304000001,-1.041045353
ytf__wt_glc__1,-0.39139472200000003,-0.683364096
ytf__wt_glc__2,-0.7541275271,-0.44583556
ytf__delyafC__1,-0.0749187359,-0.23306710700000002
ytf__delyafC__2,0.2228849437,-0.118652058
ytf__delyeiE__1,-0.6798130952,-0.045245826
ytf__delyeiE__2,0.10104567710000001,-0.23623580100000002
ytf__delyiaJ__1,-0.48855754170000004,-0.11778317
ytf__delyiaJ__2,0.0063474905000000005,-0.161182507
ytf__delyieP__1,-0.5669593695,-0.152562858
ytf__delyieP__2,-0.6037223516,-0.21263837200000002
ytf__wt_ph5__1,0.1674441949,-0.164729718
ytf__wt_ph5__2,0.3221305443,-0.632372437
ytf__wt_ph8__1,-0.3357634478,-0.5000334860000001
ytf__wt_ph8__2,0.170606485,-0.31593832600000005
ytf__delybaO__1,-0.0930746108,-0.185694416
ytf__delybaO__2,-0.5884548786,0.018428098
ytf__delybaQ__1,-0.3193883275,-0.18363131600000002
ytf__delybaQ__2,0.2742762506,-0.24938838800000002
ytf__delybiH__1,-0.7451804465,-0.45335945200000005
ytf__delybiH__2,-0.43244166640000004,-0.12007661700000001
ytf__delydcI_ph5__1,-0.3314312762,-0.354123625
ytf__delydcI_ph5__2,-0.1273307839,-0.41346742000000003
ytf__delydcI_ph8__1,0.3122238728,-0.45311630900000005
ytf__delydcI_ph8__2,-0.2862748089,-0.568616527
ytf__delyddM__1,-0.3047815381,-0.366160831
ytf__delyddM__2,0.19278006820000002,-0.38075668700000004
ytf__delyheO__1,-0.0417718069,-0.47826559300000004
ytf__delyheO__2,-0.8806327514000001,-0.6857601440000001
fps__bw_glc__1,-0.5371088970000001,-0.510618923
fps__bw_glc__2,-0.4062894763,-0.6552655
fps__fps_thrA_ale1__1,0.0960868664,-0.28615797400000004
fps__fps_thrA_ale1__2,0.1311151389,-0.35141835
fps__fps_thrA_ale2__1,-0.31598286940000003,-0.871165492
fps__fps_thrA_ale2__2,-0.1343824032,-0.34169466600000004
fps__fps_serB_ale1__1,-0.10938785520000001,-0.496698065
fps__fps_serB_ale1__2,-0.0639445134,-0.70233489
fps__fps_serB_ale4__1,1.3977091476,-0.316073999
fps__fps_serB_ale4__2,0.9676581569,-0.336745497
fps__fps_ptsI_ale1__1,0.00036959650000000004,-0.7572581890000001
fps__fps_ptsI_ale1__2,-0.4566801894,-1.005893455
fps__fps_ptsI_ale3__1,-0.5671334622,-1.058368801
fps__fps_ptsI_ale3__2,-0.584071067,-0.731246052
pal__lyx_ale2_f6__1,1.3978387728000001,0.304644927
pal__lyx_ale2__1,0.3929101732,-0.237634963
pal__lyx_ale2__2,0.3711054051,0.032007135
pal__lyx_ale4__1,-0.21250469160000002,-0.744032133
pal__lyx_ale4__2,-0.635034293,-0.500096471
pal__5drib_ale10_f18__1,0.7767209898,-0.384652675
pal__5drib_ale10_f18__2,1.0044620058,0.008408774
pal__5drib_ale10__1,-0.0968920067,0.3396934
pal__arab_ale14_f9__1,1.1897665201,0.034402074000000005
pal__arab_ale14_f9__2,0.5802789721,-0.080014861
pal__arab_ale14__1,-1.5607919153,-0.410145199
pal__arab_ale14__2,-0.6372378854,-0.43588341900000005
pal__arab_ale16__1,-0.6621269313,0.40060428600000003
pal__arab_ale16__2,-0.0665552418,0.304961601
