sample,BSU_misc_RNA_7
T-1.10H_1,13.313
T-0.40H_1,13.2462
T0.0H_1,12.2922
T0.30H_1,13.0067
T1.0H_1,12.4893
T1.30H_1,12.3965
T2.0H_1,11.3586
T2.30H_1,11.8292
T3.0H_1,11.3636
T3.30H_1,11.4056
T4.0H_1,11.3342
T5.0H_1,10.9029
HPh_1,13.3338
HPh_2,12.6136
HPh_3,13.2149
LPh_1,14.0782
LPh_2,14.1797
LPh_3,13.5996
LPhT_1,15.3469
LPhT_2,15.3738
LPhT_3,15.029000000000002
SMMPr_1,10.9824
SMMPr_2,11.1274
SMMPr_3,11.1821
HiTm_1,12.0666
HiTm_2,12.5625
HiTm_3,12.87
LoTm_1,10.2744
LoTm_2,10.4374
LoTm_3,10.4618
HiOs_1,11.4582
HiOs_2,11.1216
HiOs_3,11.1275
BMM_1,11.8628
BMM_2,11.6448
BMM_3,11.8913
Heat_1,12.6806
Heat_2,12.5353
Heat_3,12.2232
Cold_1,10.3588
Cold_2,9.3161
Cold_3,8.8226
Etha_1,10.8332
Etha_2,10.0316
Etha_3,10.3248
SMM_1,11.2292
SMM_2,11.2263
SMM_3,11.1619
Salt_1,10.4706
Salt_2,10.2813
Salt_3,10.6322
Mt0_1,12.6055
Mt0_3,12.719
M0t45_1,11.8611
M0t45_2,12.1741
M0t45_3,12.4662
M0t90_1,10.486
M0t90_2,12.2329
M0t90_3,11.8718
M40t45_1,11.319
M40t45_2,12.4554
M40t45_3,12.6916
M40t90_1,11.1033
M40t90_2,12.615
M40t90_3,12.685
dia0_1,12.7648
dia0_2,12.9725
dia0_3,12.7046
dia5_1,11.7467
dia5_2,12.0791
dia5_3,12.6794
dia15_1,12.3031
dia15_2,13.1107
dia15_3,13.3453
Diami_1,12.3733
Diami_2,11.8631
Diami_3,11.653
Paraq_1,12.4196
Paraq_2,12.9234
Paraq_3,10.4998
H2O2_1,11.4815
H2O2_2,12.1218
H2O2_3,11.5531
Oxctl_1,11.7214
Oxctl_2,11.9605
Oxctl_3,12.9424
GM-0.1_1,11.7164
GM-0.2_1,11.5881
GM+5_1,11.3168
GM+15_1,11.5656
GM+25_1,11.7898
GM+45_1,11.7487
GM+60_1,11.3139
GM+90_1,11.3502
GM+120_1,9.9996
GM+150_1,10.8161
GM-0.1_2,11.9924
GM-0.2_2,12.1758
GM+5_2,11.7634
GM+10_2,11.5433
GM+15_2,11.8502
GM+25_2,11.8793
GM+45_2,10.1012
GM+60_2,10.2967
GM+90_2,10.9821
GM+150_2,10.7224
GM-0.1_3,12.0372
GM-0.2_3,11.8152
GM+5_3,11.8691
GM+10_3,10.3972
GM+15_3,11.5777
GM+25_3,10.768
GM+45_3,10.1582
GM+60_3,10.0917
GM+90_3,10.8898
GM+120_3,10.4843
GM+150_3,10.6768
MG-0.1_1,11.574000000000002
MG+5_1,11.5037
MG+10_1,11.865
MG+15_1,10.9441
MG+25_1,11.4203
MG+45_1,11.6362
MG+120_1,10.4488
MG+150_1,11.0877
MG-0.1_2,10.3183
MG-0.2_2,11.1314
MG+5_2,10.8946
MG+10_2,11.4944
MG+15_2,11.8739
MG+25_2,11.2385
MG+45_2,10.8359
MG+60_2,11.167
MG+90_2,10.7659
MG+120_2,11.6618
MG-0.1_3,11.9577
MG-0.2_3,11.6216
MG+5_3,10.8579
MG+10_3,10.5553
MG+15_3,11.6959
MG+25_3,11.7181
MG+45_3,12.1023
MG+60_3,11.1535
MG+90_3,11.8858
MG+120_3,11.3335
MG+150_3,11.4283
