,A,ricR
base:wt_pyr_24:2,1.0152758149,-0.18737261330000002
base:wt_pyr_24:3,-0.3481371687,0.2287075057
base:wt_pyr_6:1,1.7215284242000002,-0.2566621779
base:wt_pyr_6:2,0.0109422326,-0.12067265220000001
base:wt_pyr_6:3,0.0239395649,-0.33669106060000004
biofilm:biofilm:1,2.7479390255,0.8053850244
biofilm:biofilm:2,2.7234239668,0.8007376054
biofilm:planktonic:1,-0.0101319817,0.0082466074
biofilm:planktonic:2,0.0101319817,-0.0082466074
btz043:0_days_.006:1,-0.2839799697,-0.08786816310000001
btz043:0_days_.006:2,0.0989749107,-0.09785218100000001
btz043:0_days_.006:3,-0.1315896883,-0.0884845076
btz043:0_days_control:1,-0.1335126226,-0.0181447569
btz043:0_days_control:2,0.0713634054,0.0138355545
btz043:0_days_control:3,0.0621492172,0.0043092025
btz043:1_days_.006:1,7.5122893059999996,1.2590780205
btz043:1_days_.006:2,7.3699577342,1.135657463
btz043:1_days_.006:3,7.3614034078,1.2361390184
btz043:1_days_.006:4,7.9755297868,1.196730697
btz043:1_days_control:1,5.5739722309,0.7725833574000001
btz043:1_days_control:2,5.2871082904,0.7380246899
btz043:1_days_control:3,5.3450657314,0.7851517799000001
btz043:1_days_control:4,5.3061673688,0.8208285580000001
clarithromycin:1_days_control:1,0.11411838760000001,-0.0654600037
clarithromycin:1_days_control:2,-0.2968182233,0.07313456460000001
clarithromycin:1_days_control:3,0.1826998357,-0.0076745609
cnpB:del:1,-0.47479457210000003,0.17153899720000002
cnpB:del:2,0.6494223221000001,0.5729233258
cnpB:del:3,0.8372960699,0.191097323
cnpB:wt:1,-0.1471401483,0.1563991006
cnpB:wt:2,0.0596919707,-0.203311449
cnpB:wt:3,0.08744817760000001,0.046912348400000005
csoR:ko:1,-1.3816784263000002,-0.2947645103
csoR:ko:2,-1.9096086803,-0.5809548393
csoR:wt:1,-1.6422223754,-0.412305752
csoR:wt:2,1.6422223754,0.412305752
dap:0_days_25:1,-0.6882443543,-0.3796333483
dap:0_days_25:2,-0.7424851921000001,-0.4041384947
dap:0_days_25:3,-0.5520601444000001,-0.3529937473
dap:0_days_25:4,-0.7478609853,-0.4022065347
dap:0_days_control:1,0.07407333320000001,-0.0187958337
dap:0_days_control:2,-0.0288422409,-0.0946316901
dap:0_days_control:3,0.09773031280000001,0.18766329510000002
dap:0_days_control:4,-0.1429614051,-0.0742357713
dap:1_days_25:1,0.066959787,-0.8567971231
dap:1_days_25:2,0.0463498643,-0.8152752381
dap:1_days_25:3,-0.1990196128,-0.7505060602
dap:1_days_25:4,0.0484161968,-0.9890852122
dap:1_days_control:1,0.4447147591,-0.6349062785
dap:1_days_control:2,0.5960931101,-0.5838029908
dap:1_days_control:3,0.2188776359,-0.5973593308
dap:1_days_control:4,0.5301689283000001,-0.5589100686
degradosome:mutant_rnj:1,0.3798059362,0.47054834030000003
degradosome:mutant_rnj:2,0.46166059330000003,0.5132306065
degradosome:mutant_rnj:3,0.9508703509,0.5193554656
degradosome:PNPase_ko:1,8.5109974604,1.1122293513
degradosome:PNPase_ko:2,8.3341280144,1.1141573947
degradosome:PNPase_ko:3,7.882796035,0.9709299005
degradosome:Rnase_E_ko:1,-5.8630678704,-1.7714605758
degradosome:Rnase_E_ko:2,-5.9628734511,-1.1196731891
degradosome:Rnase_E_ko:3,-6.2082303308,-1.5859276707
degradosome:wt_cas9_ctrl:1,-3.3710665804,-0.5536605623
degradosome:wt_cas9_ctrl:2,-3.6109777801,-0.48804825490000003
degradosome:wt_cas9_ctrl:3,-3.8948724728,-0.6439079047
degradosome:wt_expn:1,-0.158372474,0.0419987078
degradosome:wt_expn:2,-0.0583199534,-0.056724458500000005
degradosome:wt_expn:3,0.2166924275,0.0147257507
delam:0_days_.09:1,-0.0735903909,-0.32795171
delam:0_days_.09:2,0.0103941102,-0.0988887506
delam:0_days_.09:3,0.000314232,-0.0838437513
delam:0_days_.09:4,-0.2531920435,-0.27167921700000003
delam:0_days_control:1,-0.2897352053,-0.0122167239
delam:0_days_control:2,-0.26006255370000003,-0.0997095991
delam:0_days_control:3,0.522322317,-0.0467150956
delam:0_days_control:4,0.0274754421,0.1586414186
delam:1_days_.09:1,-0.8866296121,-0.3648486167
delam:1_days_.09:2,-1.1208337273,-0.418169061
delam:1_days_.09:3,-1.0669593662,-0.2183848394
delam:1_days_.09:4,-1.2527687989,-0.3077281995
delam:1_days_control:1,-0.7758026128000001,-0.24328720480000002
delam:1_days_control:2,-0.8393971783,-0.0080318446
delam:1_days_control:3,-0.8650532125,-0.3627194396
delam:1_days_control:4,-1.1663685238000001,-0.29928420040000003
dg_inh:both:1,1.0738667372,0.5580952908
dg_inh:both:2,0.5854693748,0.6595813492
dg_inh:both:3,0.2519403857,0.45519643540000004
dg_inh:dg:1,-0.46568259770000003,-0.0942639745
dg_inh:dg:2,-0.777285612,-0.023650807200000002
dg_inh:dg:3,-0.7662792212,-0.1597108835
dg_inh:DMSO:1,0.0842751665,-0.0325979448
dg_inh:DMSO:2,0.0857813199,0.0261719825
dg_inh:DMSO:3,-0.1700564864,0.0064259624000000005
dg_inh:inh:1,1.1428374941000001,0.5527134719
dg_inh:inh:2,0.3852480452,0.4101332085
dg_inh:inh:3,1.0249448727,0.5039676904
dormancy:dormant_20d_rifampicin:1,2.6692466693,0.7808166463
dormancy:dormant_20d_rifampicin:2,3.7392010897,0.8779848924
dormancy:dormant_20d_rifampicin:3,3.4386184412,0.6304394947
dormancy:dormant_no_treatment:1,-0.3142537758,0.0019046778
dormancy:dormant_no_treatment:2,-0.37642801670000003,0.0974438199
dormancy:dormant_no_treatment:3,0.6906817925000001,-0.09934849770000001
eccE1:control:1,0.175146788,0.0775899677
eccE1:control:2,-0.175146788,-0.0775899677
eccE1:delta_eccE1:1,-0.1547862362,0.1231117489
eccE1:delta_eccE1:2,-0.5415931030000001,0.0350887037
eccE1:delta_eccE1_eccE1_HA_comp:1,0.3720794323,-0.0210580884
eccE1:delta_eccE1_eccE1_HA_comp:2,0.0243482603,-0.1504811667
eccE1:delta_eccE1_empty_vector:1,-0.4088283214,-0.1805111683
eccE1:delta_eccE1_empty_vector:2,-0.17304502200000002,-0.0719509931
eccE1:delta_eccE1_myc_p1_HA_comp:1,0.11681316950000001,0.0831229587
eccE1:delta_eccE1_myc_p1_HA_comp:2,0.0331765428,0.046511850300000004
eccE1:delta_eccE1_mycP1_eccE1_comp:1,-0.3223516426,-0.19160174700000002
eccE1:delta_eccE1_mycP1_eccE1_comp:2,0.21398290690000002,-0.042792796
emb:0_days_2.45:1,-0.08514333290000001,0.0295182088
emb:0_days_2.45:2,-0.23141068850000002,0.1096004735
emb:0_days_2.45:3,1.1178761053,0.0192051441
emb:0_days_2.45:4,-0.273048471,0.24260019060000002
emb:0_days_control:1,-0.1747294052,-0.0468089422
emb:0_days_control:2,-0.0991182441,-0.1777660908
emb:0_days_control:3,-0.0608949763,0.07076079860000001
emb:0_days_control:4,0.3347426256,0.1538142345
emb:1_days_2.45:1,3.4121318997,1.0906123724
emb:1_days_2.45:2,3.4071898512,1.1253246261
emb:1_days_2.45:3,3.5131623655,0.9190323823000001
emb:1_days_2.45:4,3.3458109205,1.1456733127
emb:1_days_control:1,1.8131430455,0.609946317
emb:1_days_control:2,1.7147785452000002,0.5465074539
emb:1_days_control:3,1.7359853957,0.6975514318
emb:1_days_control:4,1.9013799766,0.7109933632000001
espL:ko:1,-0.300452398,-0.1516166501
espL:ko:2,-0.681750948,-0.0008955069
espL:wt:1,-0.0152584917,-0.0235289309
espL:wt:2,0.0152584917,0.0235289309
esx_1:ko:1,0.17123400560000002,-0.1295503864
esx_1:ko:2,1.027319857,0.1442595751
esx_1:wt:1,0.3514103215,0.090042945
esx_1:wt:2,-0.22428561630000002,-0.1380944542
esx_1:wt:3,-0.1271247053,0.0480515092
genotoxic:control:1,0.0749884643,0.1722175455
genotoxic:control:2,-0.0749884643,-0.1722175455
genotoxic:growth_supplement:1,1.2378956777,-0.12064946110000001
genotoxic:growth_supplement:2,0.7248453347,0.2024017033
growth:tss_expnt:1,-1.0127402696,-2.0616623192
growth:tss_expnt:2,-2.2451479943,-1.6684211692000002
growth:tss_expnt:3,-1.8986638306999999,-2.1323254605
growth:tss_starved:1,-4.6516233451,-2.7586586803
growth:tss_starved:2,-5.158578203,-3.1308271506
growth:tss_starved:3,-4.4614783155,-1.9891787043
growth:wt_expn:1,0.4956577218,0.0935746595
growth:wt_expn:2,-0.5083413566,-0.3403099115
growth:wt_expn:3,0.0126836349,0.24673525200000002
hs2:treated:1,6.5845724445,0.5646239016
hs2:treated:2,6.6488240932,0.5246424567
hs2:treated:3,6.1864051222,0.36268929520000004
hs2:untreated:1,0.269556211,0.08344568890000001
hs2:untreated:2,-0.5122204881,-0.1085006156
hs2:untreated:3,0.24266427710000002,0.025054926800000002
hypoxia:000h_.81_DO:1,-0.074261198,-0.1106882762
hypoxia:000h_.81_DO:2,0.1529503007,0.0534447206
hypoxia:000h_.81_DO:3,-0.0786891027,0.0572435556
hypoxia:017h_.57_DO:1,-0.9150492444,0.0417569911
hypoxia:017h_.57_DO:2,1.0718817738,0.06424575140000001
hypoxia:017h_.57_DO:3,0.2872330656,0.1915806153
hypoxia:023h_.42_DO:1,7.8369729702,1.0834658935
hypoxia:023h_.42_DO:2,2.235585321,0.5252803914
hypoxia:040h_.11_DO:1,0.6587485684000001,0.1535377345
hypoxia:040h_.11_DO:2,1.0530646764,0.2868101363
hypoxia:041h_.09_DO:1,0.3377078224,-0.1146661697
hypoxia:041h_.09_DO:2,0.5649408171,0.1768587322
hypoxia:041h_.09_DO:3,0.5256556026,-0.1351600304
hypoxia:042h_.07_DO:1,2.5054857846000003,0.3075463565
hypoxia:042h_.07_DO:2,1.7261714915000002,0.2679529895
hypoxia:043h_.06_DO:1,2.1772818774,0.2012622752
hypoxia:043h_.06_DO:2,1.0708802034,0.0743204439
hypoxia:043h_.06_DO:3,0.5154316294,0.21586713970000002
hypoxia:044h_.04_DO:1,2.0922184361,0.31871234730000003
hypoxia:044h_.04_DO:2,-0.043026302100000004,0.3258863694
hypoxia:044h_.04_DO:3,1.259104226,0.3174182577
hypoxia:047h_0_DO:1,2.3079674086,0.4723346719
hypoxia:047h_0_DO:2,1.8854594384,0.0469575771
hypoxia:047h_0_DO:3,2.6010958915,0.4858290611
hypoxia:049h_0_DO:1,4.229246276,0.4053639194
hypoxia:049h_0_DO:2,2.8663935412,-0.0071052505
hypoxia:049h_0_DO:3,3.6263306753,0.3393638717
hypoxia:050h_0_DO:1,2.9461253865,0.2130148821
hypoxia:050h_0_DO:2,2.5572988777,0.4067715571
hypoxia:050h_0_DO:3,4.3613987899,0.1128156944
hypoxia:052h_0_DO:1,5.8353276956,0.2419429723
hypoxia:052h_0_DO:2,4.703944408,0.4571029413
hypoxia:052h_0_DO:3,6.1107071035,0.8592194811
hypoxia:054h_0_DO:1,4.8220077018000005,0.47509261500000005
hypoxia:054h_0_DO:2,5.0315050355,0.6629607947
hypoxia:054h_0_DO:3,4.5733906953,0.6780934532
hypoxia:054h_0_DO:4,4.7097457293,0.45726885170000003
hypoxia:054h_0_DO:5,4.8854581147000005,0.3192608018
hypoxia:070h_0_DO:1,8.863338283400001,0.914477402
hypoxia:070h_0_DO:2,8.2648729477,0.7076880396
hypoxia:088h_0_DO:1,13.0458429726,1.4403368683
hypoxia:088h_0_DO:2,12.1663469592,1.1479312075
hypoxia:114.5h_.04_DO:1,11.420702496,1.0644342638
hypoxia:114.5h_.04_DO:2,12.3300165619,1.3005965648
hypoxia:114.5h_.04_DO:3,12.4210494241,1.22657645
hypoxia:115h_.06_DO:1,10.5158705327,1.2210511829
hypoxia:115h_.06_DO:2,10.1534921753,0.9684511183000001
hypoxia:115h_.06_DO:3,10.6586077431,1.148291062
hypoxia:116h_.11_DO:1,9.6212213675,0.8688801656
hypoxia:116h_.11_DO:2,9.3266568252,0.8713428879
hypoxia:116h_.11_DO:3,8.697617499,0.8485399942
hypoxia:120h_.47_DO:1,5.714704848,0.4030104907
hypoxia:120h_.47_DO:2,6.0854518496,0.21894111030000002
hypoxia:120h_.47_DO:3,5.080441283,0.7636023693
kinase:DMSO_0h_F:1,4.0322699734,-0.7841276576
kinase:DMSO_0h_F:2,3.2894951268,-0.7244596677
kinase:DMSO_0h_F:3,2.7761280182,-0.9126651526
kinase:DMSO_0h_H:1,0.018628991100000002,-0.1999445173
kinase:DMSO_0h_H:2,0.4397167212,-0.29250602070000004
kinase:DMSO_0h_H:3,1.7775847893,0.0704101714
kinase:DMSO_0h_H:4,0.8121590488,0.05241344
kinase:DMSO_0h_H:5,1.4307392577,-0.2579159091
kinase:DMSO_0h_H:6,0.0386750295,-0.1634237417
kinase:DMSO_0h_I:1,-1.1519797081,-0.0654343938
kinase:DMSO_0h_I:2,0.2142173406,-0.0820588548
kinase:DMSO_0h_I:3,0.5878341886,-0.2897991874
kinase:DMSO_0h_I:4,-0.0287428658,0.1202978373
kinase:DMSO_0h_I:5,-0.3454553716,0.45255769160000003
kinase:DMSO_0h_I:6,0.7241264163000001,-0.135563093
kinase:pknD_T10_48h:1,8.4840150586,0.1908573027
kinase:pknD_T10_48h:2,10.3961056637,0.4087746882
kinase:pknD_T10_48h:3,9.5117763427,0.2095169289
kinase:pknL_T10_48h:1,12.0759575832,0.6822561934
kinase:pknL_T10_48h:2,12.6309836515,0.66719582
kinase:pknL_T10_48h:3,11.6222822095,0.3225637946
kinase:pknL_T4_48h:1,18.2820160828,2.5391740198
kinase:pknL_T4_48h:2,17.535889982,2.2760495541
kinase:pknL_T4_48h:3,18.6319555232,2.4801558721
kinase:T10_12h_F:1,5.8640495834,-0.7703687453
kinase:T10_12h_F:2,5.1768970807,-0.8103130624
kinase:T10_12h_F:3,6.3430949227,-0.8087457848
kinase:T10_12h_H:1,1.3098622463,-0.9554837502
kinase:T10_12h_H:2,1.7534875890000001,-1.0127991323
kinase:T10_12h_H:3,0.1098618231,-0.9739546873
kinase:T10_12h_I:1,0.20787809100000001,-0.2834367067
kinase:T10_12h_I:2,3.2628719311,-0.4652759958
kinase:T10_24h_F:1,4.7492109575,-0.8854296655
kinase:T10_24h_F:2,5.1776964768,-0.7005028623
kinase:T10_24h_F:3,3.7048415988,-0.9821315338000001
kinase:T10_24h_H:1,0.7724204513,-1.0917364876
kinase:T10_24h_H:2,1.029078904,-1.1273928988
kinase:T10_24h_H:3,0.765398895,-1.1789294975
kinase:T10_24h_I:1,5.9344885869,-0.2811116132
kinase:T10_24h_I:2,4.402092248,-0.5666211484
kinase:T10_48h_F:1,5.1622137952,-0.6359037238
kinase:T10_48h_F:2,5.2563662119,-0.7351932969
kinase:T10_48h_F:3,4.5637242863,-0.7273533383
kinase:T10_48h_H:1,1.2399982168,-1.1497628275
kinase:T10_48h_H:2,2.2066858619,-1.1034874744
kinase:T10_48h_H:3,2.059536224,-1.1573222654
kinase:T10_48h_I:1,8.1485259968,-0.2429399441
kinase:T10_48h_I:2,9.3031321986,0.0112832864
kinase:T10_48h_I:3,7.5117607585,-0.3252252102
kinase:T4 _48h_H:1,11.8223900451,1.5607528955
kinase:T4 _48h_H:2,11.3107822989,1.2335783744
kinase:T4 _48h_H:3,11.5383699065,1.3694646634
kinase:T4 20 _12h_I:1,5.9145166779,0.7704261320000001
kinase:T4 20 _12h_I:2,7.3283594526,0.7772228346000001
kinase:T4 20 _12h_I:3,6.2145651965,0.9091805169
kinase:T4_12h_F:1,8.1213704988,0.10836541270000001
kinase:T4_12h_F:2,8.0801778551,-0.0030834150000000004
kinase:T4_12h_F:3,7.0493553062,-0.09109256830000001
kinase:T4_12h_H:1,4.3580307497,0.0733651352
kinase:T4_12h_H:2,2.5761473949,-0.0247148383
kinase:T4_12h_H:3,2.4462259898,-0.035753984
kinase:T4_24h_F:1,9.2384279638,0.6340361287
kinase:T4_24h_F:2,8.6476031681,0.473076125
kinase:T4_24h_F:3,8.9909050137,0.5143288681
kinase:T4_24h_H:1,8.5792716559,0.9370087257
kinase:T4_24h_H:2,7.4610294677,0.8400943128
kinase:T4_24h_H:3,7.0306093091,1.0245663832
kinase:T4_24h_I:1,10.1058262026,1.3499844923
kinase:T4_24h_I:2,11.3567869414,1.3341993932
kinase:T4_48h_F:1,12.3941790349,1.2004181305000001
kinase:T4_48h_F:2,12.2497037681,1.1396563565
kinase:T4_48h_F:3,12.5025622065,1.1471446621
kinase:T4_48h_I:1,15.3991075761,1.9280592446
kinase:T4_48h_I:2,13.1765618976,1.8048953734
kinase:T4_48h_I:3,13.3401521733,1.7036774841
kinase:WT_T10_48h:1,1.9630782396000002,-0.8937130871000001
kinase:WT_T10_48h:2,18.9132170967,2.3108858689
kinase:WT_T10_48h:3,18.7313403593,2.3551454805
kinase:WT_T10_48h:4,2.7729804592000002,-0.8216346644
kinase:WT_T10_48h:5,2.7223137097,-0.7577529087
kinase:WT_T4_48h:1,10.4826674604,1.3901468558
kinase:WT_T4_48h:2,14.2452065166,1.8648048644
kinase:WT_T4_48h:3,14.3561751013,1.8215027709
levofloxacin:control:1,-0.4353184304,-0.0083829166
levofloxacin:control:2,-0.060966576200000004,0.021056484
levofloxacin:control:3,0.4962850066,-0.0126735674
levofloxacin:treated:1,2.9407453573,0.6642381054000001
levofloxacin:treated:2,2.6333342771,1.0662819255
levofloxacin:treated:3,3.054739688,1.1893895743
linez:0_days_4:1,0.2970084732,-0.1772780246
linez:0_days_4:2,0.0893937727,-0.24154448220000002
linez:0_days_4:3,0.3871194571,-0.26494210160000004
linez:0_days_4:4,0.0753616165,-0.3181385069
linez:0_days_control:1,-0.1653172008,0.0063188224
linez:0_days_control:2,0.45405956480000004,-0.0623467423
linez:0_days_control:3,-0.2453161771,0.0178853395
linez:0_days_control:4,-0.043426186900000004,0.0381425804
linez:1_days_4:1,0.9335932849,0.5906484304
linez:1_days_4:2,1.0272071714,0.490565621
linez:1_days_4:3,0.7578729566,0.40909029680000003
linez:1_days_4:4,0.7673389351000001,0.480799862
linez:1_days_control:1,-1.0607150185,0.0419850286
linez:1_days_control:2,-0.8386170252,0.1048637313
linez:1_days_control:3,-0.3170757714,0.0698040982
lipid:dextrose_exp:1,-0.0970672758,0.0337605678
lipid:dextrose_exp:2,0.0970672758,-0.0337605678
lipid:dextrose_hypo:1,13.36152242,1.1407539304
lipid:dextrose_hypo:2,8.6184205399,0.6845454187000001
lipid:dextrose_stat:1,14.5636030047,0.9435226965
lipid:dextrose_stat:2,14.3361282751,0.8142480866
lipid:lipid_exp:1,2.7794560411,-0.3523597992
lipid:lipid_exp:2,2.1458738694,-0.3800879231
lipid:lipid_stat:1,2.9228478531,0.35938651390000004
lipid:lipid_stat:2,3.4364530139,0.4663418213
mcr11:mcr11_mutant:1,1.0493554069,0.1531151328
mcr11:mcr11_mutant:2,0.6536222142,0.0192558474
mcr11:mcr11_mutant:3,0.6084250818,-0.0222757066
mcr11:wt:1,-0.0164915089,-0.0164250405
mcr11:wt:2,-0.0438656947,0.028786363500000002
mcr11:wt:3,0.0603572037,-0.012361323
miceAV_macro:24h_control:1,0.0214235983,-0.0528134997
miceAV_macro:24h_control:2,0.0755434183,0.0441454213
miceAV_macro:24h_control:3,-0.0969670166,0.0086680785
miceBMDM:inf02:1,-1.7564601694,-1.3800314768
miceBMDM:inf02:2,-0.23174888130000001,-0.8309601923000001
miceBMDM:inf02:3,-1.6957348472,-1.8558855982
miceBMDM:inf24:1,-2.5942137828,-0.9286867011000001
miceBMDM:inf24:2,-2.6645260721,-0.6710573883000001
miceBMDM:inf24:3,-3.7794722731,-0.7599051274
miceBMDM:inf08:1,-3.623816105,-1.2667955383
miceBMDM:inf08:2,-2.7619667312000002,-1.3183106365000001
miceBMDM:inf08:3,-2.8142576019,-1.5372064505
miceBMDM:no_inf02:1,-0.0683592915,-0.1174087711
miceBMDM:no_inf02:2,0.0738799279,0.048764206000000004
miceBMDM:no_inf02:3,-0.0055206364,0.068644565
miceBMDM:no_inf24:1,-0.057332078700000004,-0.018921156300000002
miceBMDM:no_inf24:2,-0.24613914690000002,-0.054344690800000005
miceBMDM:no_inf24:3,-0.1260099054,-0.1158086346
miceBMDM:no_inf08:1,1.1114016427,0.0997669638
miceBMDM:no_inf08:2,1.573412785,0.14709066040000002
miceBMDM:no_inf08:3,1.0069766193,-0.0749788576
miceNF:control:1,0.40882035710000003,0.12032070580000001
miceNF:control:2,-0.40882035710000003,-0.12032070580000001
miceNF:invivo:1,7.448421963,1.1656150249000001
miceNF:invivo:2,8.723121134,1.4199475193
miceNF:invivo:3,7.5262708181,0.9854557316
mihF:mihF_mutant_atc:1,-4.7354486188,-1.0957569597
mihF:mihF_mutant_atc:2,-5.2025482887,-0.5115880271000001
mihF:mihF_mutant_no_atc:1,-0.331536059,-1.3087296809
mihF:mihF_mutant_no_atc:2,-2.2661521725,-0.190402324
mihF:wt_atc:1,-1.7327787648,0.0091474839
mihF:wt_atc:2,-0.0752883172,-0.22845968090000002
mihF:wt_no_atc:1,0.2583637811,0.2570334375
mihF:wt_no_atc:2,-0.2583637811,-0.2570334375
mmpl3:mutant_no_ATC:1,-0.8594357161,-0.0619818056
mmpl3:mutant_no_ATC:2,0.8594357161,0.0619818056
mmpl3:mutant_with_ATC:1,11.0319908045,1.7616767948
mmpl3:mutant_with_ATC:2,11.1763537392,1.2611087435
mrsI:ko_iron_atc:1,-0.22364385150000002,-0.0163047527
mrsI:ko_iron_atc:2,-0.0044214073,-0.0022640454000000003
mrsI:ko_iron_no_atc:1,-3.7490627419,-2.1030730857
mrsI:ko_iron_no_atc:2,-4.1192806168,-1.6599354363
mrsI:ko_ox_atc:1,-4.001829377,-1.6792865181
mrsI:ko_ox_atc:2,-3.5903578258,-1.6083368624
mrsI:ko_ox_no_atc:1,19.4055219446,1.7282772742999999
mrsI:ko_ox_no_atc:2,21.0366761777,1.5904423107999999
mrsI:ko_sds_atc:1,21.278191689,1.5308185387000002
mrsI:ko_sds_atc:2,19.4500618527,1.7453911201999999
mrsI:ko_sds_no_atc:1,-0.2998249935,0.2060656692
mrsI:ko_sds_no_atc:2,-0.3991837298,0.127063275
mrsI:wt_iron_atc:1,-0.0756346288,-0.006562716200000001
