,A,PchR
Gly_2,15.7384175427,-0.5927
Gly_3,19.7630971809,-0.9217000000000001
Glucon_1,7.3814545164,-0.4506
Glucon_2,4.8661195435,-0.3805
Glucon_3,9.9375683098,-0.4262
aero_1,-2.1930144951,0.29710000000000003
aero_2,-0.3157151809,-0.1135
aero_3,-1.3572405337,0.3211
nit_1,3.2098129359,-1.4
nit_2,1.4564227544000001,-1.6893
nit_3,3.439141793,-1.5312000000000001
ferm_1,3.9983065132,-1.3145
ferm_2,2.3781974019,-1.6534
ferm_3,3.3482426526,-0.6339
T-5.40H_1,2.9079013443,-0.2403
T-4.40H_1,2.5396195742,-0.2144
T-3.40H_1,3.100790103,-0.23450000000000001
T-2.40H_1,4.7515017526,-0.09290000000000001
T-1.40H_1,7.9235484526,0.1809
T-1.10H_1,10.7202914596,0.3511
T-0.40H_1,10.101339045,0.4711
T0.0H_1,10.692409026,0.8635
T0.30H_1,33.0104234078,1.8651
T1.0H_1,25.5960624025,1.8058
T1.30H_1,29.6381064973,2.5419
T2.0H_1,27.1180331861,2.4571
T2.30H_1,23.4014640602,2.6433
T3.0H_1,21.1286524257,1.4747
T3.30H_1,20.4672346857,1.1172
T4.0H_1,20.5393344749,0.7165
T5.0H_1,20.4344597827,-0.1922
HPh_1,0.0833506922,0.3311
HPh_2,-1.0818860446,-0.0782
HPh_3,-1.1640762515,0.21610000000000001
LPh_1,1.067768421,0.2227
LPh_2,-0.45324064410000003,0.4534
LPh_3,0.0771010672,0.23620000000000002
LPhT_1,29.2274706662,0.6785
LPhT_2,29.3444028951,0.3153
LPhT_3,30.358675439,0.776
SMMPr_1,3.9371797798,-0.49910000000000004
SMMPr_2,4.9036981882,-0.3629
SMMPr_3,4.9159352757,-0.0495
HiTm_1,14.901919941100001,0.1729
HiTm_2,7.0592566306,0.3477
HiTm_3,6.5906703587,0.2197
LoTm_1,6.249337708,-1.0942
LoTm_2,6.8324778848,-1.3238
LoTm_3,7.0165895395,-1.4406
HiOs_1,3.8227694173,-0.5357000000000001
HiOs_2,5.5343271948,-0.6371
HiOs_3,3.8507385618,-0.591
BMM_1,0.2059695117,-0.28250000000000003
BMM_2,0.3703668298,-0.2333
BMM_3,0.6090222224,0.2376
Heat_1,5.2508737011,1.0984
Heat_2,5.7588316472,0.7937000000000001
Heat_3,6.35778549,0.9748
Cold_1,1.4617044466,-0.2853
Cold_2,1.2729355052,-0.5454
Cold_3,2.1379236499,-0.7081000000000001
Etha_1,14.1349898714,-0.1904
Etha_2,13.2720971726,-0.1107
Etha_3,12.3241727105,-0.1515
SMM_1,2.5863882301,-0.302
SMM_2,1.8723470196,-0.46380000000000005
SMM_3,1.9501805066000002,-0.41200000000000003
Salt_1,7.6422090579,1.0369
Salt_2,8.6687996717,0.9723
Salt_3,7.8459655609,0.9973000000000001
Mt0_1,-3.8421842244,0.1595
Mt0_3,-4.4255663335,0.10490000000000001
M0t45_1,3.6913184046,0.1273
M0t45_2,-1.2824135798,0.11460000000000001
M0t45_3,2.0864908355,0.4027
M0t90_1,14.4394223243,-1.0417
M0t90_2,13.7513114664,-0.7529
M0t90_3,14.0026686345,-0.9404
M40t45_1,6.0173863028,0.0051
M40t45_2,13.3763498221,-0.0315
M40t45_3,1.6037800040999999,0.40890000000000004
M40t90_1,14.8317562543,-0.9991000000000001
M40t90_2,14.5388780617,-0.47800000000000004
M40t90_3,12.2114831538,-0.3287
dia0_1,-3.1074306438,0.1967
dia0_2,-3.6773430956,0.1413
dia0_3,-4.2596532249,0.393
dia5_1,2.6521644372,-0.27090000000000003
dia5_2,0.9145252124000001,-0.2604
dia5_3,-0.8841388842000001,-0.3956
dia15_1,-1.9885874224000002,0.3814
dia15_2,-2.1163067687,0.47950000000000004
dia15_3,0.3036918712,-0.46880000000000005
Diami_1,9.8203048537,-0.27840000000000004
Diami_2,5.7821050664,0.11720000000000001
Diami_3,6.5923806925,0.2349
Paraq_1,-1.0197015639,0.6355000000000001
Paraq_2,-3.4632067039,0.8496
Paraq_3,-0.9160932682,0.016300000000000002
H2O2_1,-3.4422034562,0.782
H2O2_2,-3.4684601271,0.9797
H2O2_3,-2.244619046,0.9387000000000001
Oxctl_1,-1.4595045278,0.5341
Oxctl_2,-1.7100574163000002,0.3447
Oxctl_3,-4.6624707832,0.792
GM-0.1_1,3.9061159426,-0.5838
GM-0.2_1,5.4477425137,-0.28350000000000003
GM+5_1,2.8275235434,-0.58
GM+15_1,4.0340880542,-0.2305
GM+25_1,0.35886788080000004,-0.1685
GM+45_1,2.307298587,0.1938
GM+60_1,1.6939878259,-0.052000000000000005
GM+90_1,2.2832556453,0.0076
GM+120_1,5.6149328578,-0.36050000000000004
GM+150_1,1.7311024786,-0.2021
GM-0.1_2,1.2839555119,-0.6151
GM-0.2_2,2.1926369482,-0.0323
GM+5_2,2.6684758255,-0.41950000000000004
GM+10_2,2.8729146921,-0.4712
GM+15_2,3.2590405642,-0.4985
GM+25_2,0.5605598110000001,-0.3049
GM+45_2,1.9396221786,-0.8489
GM+60_2,2.9190440213,-0.7953
GM+90_2,1.6541347184,0.18180000000000002
GM+150_2,5.7060514021,-0.8531000000000001
GM-0.1_3,3.4629377537,-0.3396
GM-0.2_3,2.4295074962,-0.6104
GM+5_3,3.7964835489,-0.0745
GM+10_3,4.7171062898,-1.0115
GM+15_3,3.8816837703,-0.38830000000000003
GM+25_3,3.7924240061,-0.522
GM+45_3,5.1531196933,-0.3543
GM+60_3,4.4977758905,-0.5272
GM+90_3,2.7305547321,-0.1752
GM+120_3,3.8977690891,0.1197
GM+150_3,1.3768256991,0.0324
MG-0.1_1,2.3197527149,-0.2823
MG+5_1,2.3452817935,-0.22840000000000002
MG+10_1,0.9735781259,-0.1097
MG+15_1,1.6666387399,-0.48210000000000003
MG+25_1,0.9184713264000001,-0.0298
MG+45_1,0.6217414198,-0.027700000000000002
MG+120_1,5.4733368935,-0.7275
MG+150_1,3.669406725,-0.31020000000000003
MG-0.1_2,1.4285013567,-1.1122
MG-0.2_2,1.0224026401,-0.7764000000000001
MG+5_2,1.0651188616,-0.6507000000000001
MG+10_2,0.8284086378000001,-0.3879
MG+15_2,0.184053668,0.4556
MG+25_2,1.5675117913999999,-0.38880000000000003
MG+45_2,2.939932619,-0.6418
MG+60_2,0.6601869889,-0.3966
MG+90_2,1.8284914209,-0.8964000000000001
MG+120_2,2.8490492249,-0.483
MG-0.1_3,-0.192494612,-0.0024000000000000002
MG-0.2_3,0.3958081281,-0.1907
MG+5_3,0.5344299358,-0.31
MG+10_3,3.0864462179,-0.5421
MG+15_3,-0.09333527820000001,-0.050800000000000005
MG+25_3,-0.5971469105,0.0213
MG+45_3,-0.1149304974,0.31520000000000004
MG+60_3,0.6986295232,-0.30810000000000004
MG+90_3,0.0622996693,-0.3512
MG+120_3,3.1003256948,-0.6806
MG+150_3,3.2264914214,-0.6392
