,A,Fnr,NarP,NarL
abx_mega__rach_dmso__1,3.5881812085,-0.045048951000000004,-0.4523160888,0.4734941154
abx_mega__metro_dmso__1,0.1288093841,0.4656249649,-0.36014899040000004,-0.1664938681
abx_mega__dmso-6__1,0.509204956,-0.3784852643,-0.4676117134,0.5350788069
abx_mega__chl_h2o__1,3.2847617516,0.3019332691,0.4629083968,-1.1516025581
abx_mega__cst_h2o__1,-0.9882757430000001,0.0320312785,0.0851830803,0.2589008747
abx_mega__tec_h2o__1,-0.0542775807,-2.6112045671,-0.8365717475000001,0.6985329095
abx_mega__str_h2o__1,-3.7088335771,0.2482154852,0.5061302001,1.5091314717
abx_mega__ctx_h2o__1,0.5324540043,0.0230880885,0.3847222361,0.0599282165
abx_mega__nal_naoh__2,-0.7387135096,0.3075812793,-0.06551305810000001,-0.3923176547
abx_mega__phos_h2o__1,3.1387596716,-0.7038356709,0.2361240816,-0.4271510985
abx_mega__dmso-5__2,-0.9756424541000001,-0.2244639849,-0.2733503608,0.2821523801
abx_mega__polmyx_h2o__1,-1.0521744781,0.32801548280000004,0.3720560761,0.07094828710000001
abx_mega__h2o-8b__1,0.1584228093,-0.0363903054,0.1109293113,0.19399510790000002
abx_mega__h2o-6__1,0.3741077799,0.1539794799,0.0975458241,0.0642121101
abx_mega__thio_dmso__1,5.0772709574,-0.315089026,-0.1415011829,-0.07041621590000001
abx_mega__phos_h2o__2,0.5449301116,-0.19593564700000002,0.2943684521,0.2387249998
abx_mega__ctx_h2o__2,4.169459796,0.1826918599,-0.1182591057,0.4765491027
abx_mega__lzd_dmso__1,3.0363431359,0.6125076868,0.21852763760000002,-0.9480551533
abx_mega__naoh-9__1,-1.0476166193,0.518483773,0.3719915205,0.3874315129
abx_mega__dox_dmso__1,4.6012816531,0.6077452839,0.8872135585,-0.30677911280000003
abx_mega__phos_ethanol__1,0.1085616543,0.7489705412000001,0.3886492084,0.45546757130000004
abx_mega__teix_dmso__1,5.6397130711,-1.2905505804000001,-1.1287978512,0.8811496315
abx_mega__dmso-10__1,0.1734404825,0.4743514224,0.1035965041,0.5259159415
abx_mega__van_dmso__1,2.7577863741,0.8302627999000001,1.1049926991,-1.1704676525
abx_mega__ramo_h2o__1,1.4735809229,-0.8002749045,0.0806093745,-0.1456506972
abx_mega__tec_h2o__2,2.2622710807,-1.6551107114999999,0.0014017051,-0.0240085228
abx_mega__h2o-7__1,0.8779031118,0.21844817860000001,-0.1979834949,0.5443759374
abx_mega__cro_h2o__1,3.3431246718,0.0879280571,-0.1569156836,0.9783104235000001
abx_mega__tric_ethanol__1,-3.6190823345,0.8900785727,0.3661053718,0.7166860521
abx_mega__nor_naoh__1,0.1873090238,-0.0313845657,-0.2629685692,-0.0818044565
abx_mega__teix_dmso__2,0.4811740078,-0.4150383489,-0.4385959025,0.2538442496
abx_mega__nal_naoh__3,-0.6437138416,0.2272209504,-0.28319217420000004,-0.32002223220000003
abx_mega__novo_h2o__2,-1.3676791339,0.16806743940000002,-1.6058511883,-1.4231800896
abx_mega__dmso-10__2,0.0904065373,0.40832126950000003,0.21582440830000002,0.371962511
abx_mega__phos_h2o__3,0.829629767,0.0877333852,0.1165515869,0.040928029000000005
abx_mega__dmso-6__2,0.3009999796,-0.1654402185,-0.2907956102,0.3072546497
abx_mega__rfp_ethanol__1,1.0956835787,-0.12067474560000001,-0.4398574484,0.3371132867
abx_mega__dmso-5__3,-1.4261177674,0.1613415464,-0.3527733799,0.3899857407
abx_mega__amyc-d_dmso__1,-1.836005477,0.257224454,1.3288510418000001,-1.9056921008
abx_mega__sxt_dmso__1,1.4450014212,0.047755995,-0.7089910410000001,1.3605355026
abx_mega__dmso-1__1,-1.0526109791,-0.1308553567,-0.2711287174,-0.1621879518
abx_mega__pen_h2o__1,-0.3967827861,-0.3609283863,-0.5093581558,-0.4011629601
abx_mega__dmso-10__3,0.7413608893,0.20815252,0.0364477442,0.6602530221
abx_mega__nal_naoh__4,-0.6676083507,0.0028938907,-0.25856244240000004,-0.3741219792
abx_mega__cip_naoh__1,-1.210075469,0.11078089020000001,0.0550519451,-0.3082369024
abx_mega__pen_h2o__2,0.43000471840000004,-0.2836689398,-0.32598421250000004,-0.3006640419
abx_mega__ery_dmso__2,4.3670784626,0.0804674744,0.4420436025,-1.1971011775
abx_mega__dmso-2__2,-3.7386440614,-0.2221077391,-0.2643984723,1.5801977473000002
abx_mega__van_dmso__2,0.2950448343,0.6605546913,1.5217850224,-0.884127384
abx_mega__h2o-1b__1,-0.1838352959,0.030807355300000002,0.0190431771,-0.452432223
abx_mega__ery_h2o__1,5.256606018,0.1635488437,-0.33719525100000003,-1.3563246039
abx_mega__bacit_h2o__1,-0.632188217,-0.4774994905,-0.4628079016,-0.6817547788
abx_mega__chl_h2o__2,4.4536574398,0.0987552064,0.4495089318,-1.3195528967999999
abx_mega__str_h2o__2,-0.7962096591000001,0.2741965069,0.1744438962,1.3047365667
abx_mega__rfp_ethanol__2,1.5886713557,0.12295077100000001,0.008755924600000001,0.0825550003
abx_mega__polmyx_h2o__2,1.9234075765,-0.3737381984,0.2622974283,-0.2047876144
abx_mega__tric_h2o__1,-4.082005764,1.3424886167,1.059662953,0.6570030657
abx_mega__cip_naoh__2,0.4437408658,0.09932130680000001,-0.5126311683,-0.0042746708
abx_mega__novo_h2o__3,-0.6397839897,0.0559133562,-1.7429741852,-1.6268601596
abx_mega__bacit_dmso__1,1.2346848397,-0.2242105774,-0.4913291436,-0.2149626757
abx_mega__gen_h2o__1,-3.147503402,0.41129122560000003,0.405030378,-0.0023401669
abx_mega__bacit_dmso__2,1.4314823169,-0.2049744387,-0.7977427117,-0.1358000564
abx_mega__chl_dmso__1,1.5001541568999999,0.1866328231,0.5384543401,-1.2077453185
abx_mega__bacit_h2o__2,-0.2224736512,-0.8589924069,0.1082156185,-0.4745572525
abx_mega__lvx_dmso__1,2.8836026824000003,-0.18501779240000002,-0.0427401263,0.7236428398
abx_mega__bacit_h2o__3,-0.10902241750000001,-0.3986390476,-0.0107323025,-0.4942506949
abx_mega__nor_naoh__2,1.1632997371,-0.11461450370000001,0.2506141943,-0.1796711266
abx_mega__amyc-d_dmso__2,1.2925652022,0.1534325597,-0.2171867614,-0.23408638040000002
abx_mega__polmyx_h2o__3,-0.4342080143,0.4256416268,0.2987113913,1.4636209179000002
abx_mega__naoh-6__1,-0.17660135740000002,0.1918842788,-0.2025213412,-0.0738028359
abx_mega__cst_h2o__2,2.4772426205,0.2575678173,-0.020084199100000002,-0.2211989576
abx_mega__h2o-1b__2,0.4315948008,0.7809611414000001,-0.1599746149,-0.32526084780000003
abx_mega__rfp_h2o__1,6.6426585669,-1.0905972262999999,0.9545101337,0.9832435012
abx_mega__tet_h2o__1,2.0188681039,0.0295461953,0.2129200557,-1.741102497
abx_mega__flavo_dmso__1,4.1375808038,-0.9098451584,-0.3919223859,0.3338762417
abx_mega__zeocin_h2o__1,0.13487153400000002,0.11093211330000001,0.19983134200000002,0.356397116
abx_mega__nor_naoh__3,0.5061663350000001,-0.2660034833,-0.40460818390000003,-0.2272100971
abx_mega__rach_dmso__2,3.3195495317,0.1360391327,-1.2809293815,1.7463769081
abx_mega__thio_dmso__2,4.0425163349,0.3253789217,1.0805292125000001,-0.3890854292
abx_mega__amyc-d_dmso__3,0.6749836433,0.33467356740000004,1.4267336037,-1.6884538489
abx_mega__rif_dmso__2,3.7068361295,-0.7654036895,0.4273007978,0.6145146939
abx_mega__amyc-d_dmso__4,0.2037429389,0.0720316185,-0.1459043831,-0.335661769
abx_mega__teix_dmso__3,1.3210268516,-0.1127364899,0.1586559508,-0.1154299023
abx_mega__valin_dmso__1,3.4151094184,-0.1452747475,-0.4885066871,0.0956653423
abx_mega__teix_dmso__4,0.592525246,-0.2103049645,0.0296494853,0.23881420290000002
abx_mega__ethanol-10__1,-1.4752559222000001,0.6194313426,0.4304443738,0.6441814068
abx_mega__inh_h2o__1,0.6880747046,-0.0340580552,-0.3569003075,0.44933268930000003
abx_mega__rif_dmso__3,5.784760093,-1.5589165824,0.4464629396,1.197837956
abx_mega__van_dmso__3,0.0520734463,0.2389667466,-0.0915679966,-0.7705163065
abx_mega__doxo_dmso__1,-2.168518154,-0.1301723133,-0.7656583164,0.42316666420000004
abx_mega__tmp_dmso__1,2.0253539386,0.0567992999,-0.07555889040000001,0.37644281350000003
abx_mega__ethanol-10__2,-1.0047862276,0.4463184544,-0.4933719915,0.3676884166
abx_mega__tmp_dmso__2,2.2405793343,-0.011770757000000001,-0.5430244888,0.3141558765
abx_mega__amyc-d_dmso__5,1.3709790076,0.4703427457,1.7156796893,-0.7713514634
abx_mega__novo_h2o__4,0.3942425498,0.7891519738,-2.0543147824,-1.9558634060000002
abx_mega__cro_h2o__2,3.4356842237,0.0823465979,-0.4253322949,1.2346799578
abx_mega__cro_h2o__3,4.1285405729,-0.21446519260000002,-0.40653318660000004,0.5304175659
abx_mega__gen_h2o__2,-5.3778308152,0.5545946817,0.5058802737,-0.48062680010000003
abx_mega__phos_h2o__4,-2.209571141,-0.1556899832,0.058172736600000004,1.4968619098
abx_mega__metro_dmso__2,-0.5949569089,0.40866825960000003,-0.3005954981,-0.2002604006
abx_mega__ery_h2o__2,1.889442673,-0.0307498051,0.095882878,-1.8801459853
abx_mega__sacet_h2o__1,-3.4300884882,1.8984960352,-0.9136579141000001,1.5862913974000001
abx_mega__nal_naoh__5,-0.5873765043,0.11935505780000001,-0.7939913125,-0.2314427329
abx_mega__bacit_h2o__4,0.0196051051,-0.7716038602,-0.0712362409,-0.6522742559
abx_mega__cip_naoh__3,0.4178680026,-0.1062377801,-0.1621612355,-0.49739226270000003
abx_mega__ethanol-8__1,-0.5419961793,-0.0429042057,-0.0158619037,0.6304378737
abx_mega__h2o-8a__1,0.4542509805,-0.1697118587,-0.0407747313,-0.1934353014
abx_mega__ery_h2o__3,5.9196496973,-0.046749594000000005,-0.2011381768,-1.5593456345
abx_mega__flavo_dmso__2,3.9161728105,0.060263538500000005,-0.571705648,1.3837328354
abx_mega__rif_dmso__4,5.8032794094,-1.4686879149,0.5616910901000001,1.0818833664
abx_mega__novo_h2o__5,-0.3460079587,0.2258676651,-2.1742655912,-1.3957788496
abx_mega__teix_dmso__5,1.8808849066,-0.0180107938,-0.1130217979,0.2339403894
abx_mega__naoh-2__1,-2.1598501281,0.12440957970000001,-0.7274217628,1.5570266128
abx_mega__novo_h2o__6,-0.9604040513000001,0.7205527484,-2.278213256,-2.0014040988
abx_mega__ctx_h2o__3,2.3565546983,-0.064859922,-0.6882414568,0.6053981366
abx_mega__rach_dmso__3,3.2636180428,-0.0946227506,-1.3066296088,1.604092458
abx_mega__valin_dmso__2,5.64812344,-0.1504039911,-0.8226361050000001,0.6228761494
abx_mega__amyc-d_dmso__6,-0.22954158260000002,1.0932260792,2.1943823936,-0.8243217897
abx_mega__dox_dmso__2,1.5427460762,-0.3495048284,0.3364447853,-0.6210031891000001
abx_mega__teix_dmso__6,2.4513556494,-0.19216870800000002,-0.32548817700000005,0.46369876390000003
abx_mega__naoh-6__2,0.33865034320000004,0.2508705046,-0.0572439946,0.0115520281
abx_mega__inh_h2o__2,-2.8704010846,1.0236963855,0.9599814641000001,-1.044426633
abx_mega__chl_h2o__3,1.9325579670000002,0.8645055481,0.8907982246,-0.46185970600000004
abx_mega__nal_naoh__6,-0.3446188444,0.1051428429,-0.2457727821,-0.3703789377
abx_mega__chl_dmso__2,1.0359345919,0.2708431966,0.4003051926,-1.1513063757
abx_mega__rach_dmso__4,1.1753672543,0.2606390819,-1.0962010883,1.4684025725
abx_mega__teix_dmso__7,1.4336693664,0.3504676022,-0.1483909361,0.3922415131
abx_mega__ceru_ethanol__1,-5.9271228521,1.4535275098,0.3407571019,0.6149460887
abx_mega__dmso-7__1,2.5044549867,0.0944210472,-0.4340730082,1.2176890491
abx_mega__naoh-6__3,-0.2567367183,0.2067024995,0.0149469388,0.0786879999
abx_mega__phos_ethanol__2,0.8300898982,0.5219782296000001,0.3048665491,0.4392596675
abx_mega__metro_dmso__3,-2.0517889691,0.5121052174,-0.41623245750000004,-0.2137913818
abx_mega__van_dmso__4,-0.8158343533,0.28659288180000003,0.287914174,-0.9419717976
abx_mega__h2o-10__1,-0.4571839139,0.2130377387,-0.39581197770000004,0.1814334535
abx_mega__h2o-10__2,1.0681271422,0.1522575818,-0.018352238400000002,0.48796528650000004
abx_mega__dmso-6__3,-0.5555592208,-0.35454569550000004,-0.2326673726,0.3898016124
abx_mega__mem_dmso__1,4.4172024916,-0.3062884087,-0.2546286108,0.9646124930000001
abx_mega__ethanol-8__2,-1.5159424552,-0.0252304237,0.3950960525,0.3186268997
abx_mega__chl_h2o__4,1.4082086263,0.7271274121,0.8610139065,-0.6661033798
abx_mega__van_h2o__1,0.8544640089000001,-0.903332961,-0.6986074468,-0.5742892551000001
abx_mega__dcs_h2o__1,0.7427650895,0.6936041281,-0.0320350164,0.2068721395
abx_mega__rif_dmso__5,2.1126175206,-0.7666040526,0.5155815996,0.8425442237
abx_mega__dox_dmso__3,3.4545549644999998,0.2468405504,0.5002942189,0.10017048020000001
abx_mega__mem_dmso__2,4.0334107396,-0.4892115863,-0.1905824414,0.6332738483
abx_mega__lvx_dmso__2,0.2415340597,-0.129152751,0.1163194805,-0.0869541332
abx_mega__tet_h2o__2,2.7189320945,0.2983443387,1.7408995561,-0.46924192730000003
abx_mega__phos_h2o__5,-2.3383041484,0.12871355610000002,-0.4592834108,1.6275674107
abx_mega__monac_dmso__1,-2.5083385042,1.4088048351,-0.1690616091,0.0717431857
abx_mega__str_h2o__3,-0.4388295166,0.08708125080000001,-0.2498896414,0.1418999508
abx_mega__zeocin_h2o__2,-0.9374013348,-0.42460153910000004,-0.5528055072,1.3045613756
abx_mega__amyc-d_dmso__7,-2.5640544121,0.9037219768,2.2058813019,-1.2192577822
abx_mega__fidax_dmso__1,2.1017167834,0.35278275610000004,-0.1029181706,0.5364471703
abx_mega__h2o-1a__1,0.1771289326,-0.1301828894,0.0928433494,-0.0076170702
abx_mega__dox_dmso__4,1.3571356399,0.1499766492,0.3896896489,-0.27625373140000004
abx_mega__lzd_dmso__2,2.21530024,0.8640746426,0.5028083919,-1.0222917741
abx_mega__tet_h2o__3,2.8970604321,-0.014793680600000001,0.365963601,-1.5087092232
abx_mega__dmso-1__2,0.5845950865,-0.0468660871,-0.015579095400000001,-0.5589211898
abx_mega__sxt_dmso__2,2.2241931873,0.1322961821,0.010017483300000001,0.068627529
abx_mega__tric_ethanol__2,-3.5005969542,0.619159111,0.3834222818,0.23941269040000002
abx_mega__teix_dmso__8,3.6348845634,-0.0780351353,0.0265362937,-0.3793496945
abx_mega__ramo_h2o__2,1.8084501917,-0.5733023752,-0.0006106717,0.09514280300000001
abx_mega__inh_h2o__3,0.6134591899,0.3346755523,-0.0340331285,0.3216977505
abx_mega__cst_h2o__3,1.1346147652,0.6157335293,-0.0924264459,-0.3478318655
abx_mega__dmso-9__1,-0.26603532950000003,-0.029816820400000003,0.1401014203,0.1757205838
abx_mega__ethanol-8__3,-1.7116001045,-0.1057688244,0.4136077099,0.36504344
abx_mega__monac_dmso__2,-0.5160005142,1.4863412037,0.41166055090000003,-0.3366484642
abx_mega__dmso-9__2,-0.1563746029,-0.0200467158,0.290420389,0.1457238569
abx_mega__metro_dmso__4,0.3010463057,0.6682181821000001,-0.026877961500000002,-0.173456255
abx_mega__ctx_h2o__4,3.9166943772,0.1093383753,-0.6890810196,0.9764181073
abx_mega__zeocin_h2o__3,-0.45253209250000004,-0.42024945410000003,-0.6267180028,1.219990166
abx_mega__bacit_h2o__5,3.0740423738000002,-1.0686406259,0.023222794,-0.4873407738
abx_mega__reta_dmso__1,5.6289848537000005,0.2624442987,0.8112878752,-0.14538301080000002
abx_mega__ery_h2o__4,3.4862519132,0.1838410419,0.5149195637,-0.4901782139
abx_mega__ceru_ethanol__2,-5.455202224,1.4458719120999999,-0.0056902956,-0.08747928320000001
abx_mega__fidax_dmso__2,1.6095563243000002,0.061060066100000004,0.1540817823,0.5088590205
abx_mega__novo_dmso__1,-1.5026927264999999,0.8339819837,-1.7063568465,-0.8191870707000001
abx_mega__naoh-6__4,-1.3051995057,0.2749615761,-0.1018931029,0.3838430101
abx_mega__amyc-d_dmso__8,0.4566380212,0.1675077619,0.058551499900000005,0.1386459591
abx_mega__chl_dmso__3,2.7210910566,0.2359552994,0.508330375,-1.2035076039
abx_mega__nal_naoh__7,1.1193307217,-0.1143720156,0.2481821528,-0.32990943310000004
abx_mega__teix_dmso__9,1.2311036374,0.19924687600000002,-0.0653212837,0.350365087
abx_mega__ery_dmso__3,2.9091779679,-0.1930182149,0.23665615350000002,-0.8914052882
abx_mega__tmp_dmso__3,2.8760125001,0.021624803,-0.156655018,0.3805848848
abx_mega__sxt_dmso__3,-0.5635625225,0.1404174962,-0.5539937017000001,0.8127445483
abx_mega__polmyx_h2o__4,0.3046845288,0.7190717129,0.0412890397,1.162897535
abx_mega__mem_dmso__3,1.4352522984,-0.106792127,-0.043983285500000004,0.12293057980000001
abx_mega__nal_naoh__8,-5.1121617365,-0.5226446066,-0.837478848,1.0434381186
abx_mega__pen_h2o__3,0.6956546427,-0.9448240483,0.20612679420000002,-0.3811294766
abx_mega__van_dmso__5,-0.2620665714,0.3519942873,0.0669940348,-0.7681838617000001
abx_mega__zeocin_h2o__4,-1.329508418,-0.3420308308,0.2338642226,1.4810631343
abx_mega__h2o-6__2,-0.6032963868,0.2237971175,-0.314286656,0.12666160140000002
abx_mega__tet_h2o__4,2.4852311625,-0.09366302650000001,0.30369183520000004,-1.2428560724
abx_mega__nor_naoh__4,-0.7040105749000001,0.1884711132,0.3193403033,-0.2609186745
abx_mega__cip_naoh__4,1.3914132082,0.1897163396,-0.0628284169,-0.0755452092
abx_mega__tmp_dmso__4,2.7056329806,0.46955750020000003,0.12083716870000001,0.2225884108
abx_mega__reta_dmso__2,6.3697925344,0.079054857,0.5095976258,0.16663621180000002
abx_mega__mem_dmso__4,2.4090388574,0.1562169847,-0.6153736838,1.1260659392
abx_mega__dox_dmso__5,4.8709261163,0.5560831223,0.9407883296,0.0273460971
abx_mega__tmp_dmso__5,-0.2691629877,0.16093619850000002,0.33154591510000003,-0.1009953331
abx_mega__flavo_dmso__3,1.7687213424000001,0.21465859110000002,-0.13628430860000001,0.8172587432
abx_mega__tmp_dmso__6,4.1443889451,-0.4506960218,0.0314684843,0.32986084450000003
abx_mega__ceru_ethanol__3,-6.2164796448,1.4078249743,0.413486717,0.4043260756
abx_mega__teix_dmso__10,0.7418487543000001,-0.024926434900000002,-0.0282957154,-0.2090247448
abx_mega__novo_h2o__7,-1.1217614729,0.28331731590000003,-1.9134377318,-1.6490916468
abx_mega__fidax_dmso__3,-0.0327452118,0.1656484172,0.265417628,0.5836041919
abx_mega__h2o-1a__2,-0.3159877352,0.0397621094,0.1340280114,0.07538422110000001
abx_mega__dcs_h2o__2,1.0283456332,0.0295181061,0.18859774980000002,-0.2137039597
abx_mega__cst_h2o__4,0.892411413,0.6765520599,-0.059400394100000004,-0.2134462412
abx_mega__van_h2o__2,1.1615848482,-0.1313395527,0.2933822076,-0.2306398724
abx_mega__pen_h2o__4,2.3307768652,-1.1849000443,0.3123219671,-0.5936463758
abx_mega__h2o-8b__2,0.1214281972,0.1917764428,-0.0031438663,0.11993875400000001
abx_mega__reta_dmso__3,6.7112294983,-0.1254083886,0.2423279025,0.237909008
abx_mega__dmso-7__2,3.7136073097,0.0413045956,-0.5005520718,1.8895943154000001
abx_mega__rfp_h2o__2,6.9700108559,-1.2130654544000001,0.7426737131000001,1.2509991628
abx_mega__rif_dmso__6,2.9497515544,-1.1475451275,0.27292572190000003,1.1704671685
abx_mega__sxt_dmso__4,1.1994075777,0.23990241980000002,-0.6835124446,1.3514043206
abx_mega__cip_naoh__5,0.6439135842,-0.042177127,0.2227351699,0.0185558471
abx_mega__dmso-9__3,2.1542131576,-0.341587067,-0.1303429931,0.32390818520000003
abx_mega__mem_dmso__5,2.9166622691,0.1067217318,-0.3281104416,0.4918307497
abx_mega__tric_h2o__2,-4.9530915911,1.3284647298,0.669386147,0.5095991614000001
abx_mega__phos_h2o__6,1.0233410864,0.13667702310000002,-0.1032763376,0.1723091054
abx_mega__h2o-7__2,0.6365100989,0.0400555976,-0.391191184,0.5866863516
abx_mega__h2o-10__3,0.8386018071,0.1579017148,0.0433225165,0.2516220524
abx_mega__h2o-8a__2,0.4822043912,-0.2295144067,-0.0822340267,-0.45374010200000003
abx_mega__thio_dmso__3,4.8520582418,-0.40999634500000004,-0.39758810980000003,-0.0785225256
abx_mega__lzd_dmso__3,3.0195966934,0.41635551470000004,0.2796769723,-1.0671567044999999
abx_mega__monac_dmso__3,0.1958286062,0.8852669989,0.3154495637,-1.70122574
abx_mega__polmyx_h2o__5,3.7468691972,0.47019160320000003,-0.1567050139,0.7365673686
abx_mega__naoh-6__5,-0.1105376841,0.4263555999,0.25672949910000004,0.0122959707
abx_mega__teix_dmso__11,0.6803672366,0.0158778074,0.06226066,0.0259563891
abx_mega__van_h2o__3,1.3111224457000001,-0.353805546,-0.112832369,-0.3540785295
abx_mega__teix_dmso__12,2.3961974677,-0.0949833372,0.11683842480000001,0.8158985592
abx_mega__dox_dmso__6,-0.6441693537000001,-0.0402154183,0.2647912297,1.3660196396
abx_mega__teix_dmso__13,5.0719809593,-1.0545825032,-0.8065799365,1.5077788525
abx_mega__h2o-7__3,1.6515849513,0.0329465014,-0.1598786858,0.2878216163
abx_mega__str_h2o__4,-5.3634518933,0.49062571110000003,0.27387657400000004,1.742029518
abx_mega__tec_h2o__3,-0.4792684937,-2.5030278976,-0.5923781759,0.2939771813
abx_mega__phos_h2o__7,1.3035649321,0.22288803100000001,0.10925864490000001,0.1611020242
abx_mega__chl_h2o__5,3.8296055947000003,0.35465275100000004,0.4079449102,-1.0212711095
abx_mega__polmyx_h2o__6,-0.7317293727,0.49303985780000004,0.1601532836,1.581232123
abx_mega__teix_dmso__14,0.7449902054,0.0909615292,-0.0702656879,-0.10018570930000001
abx_mega__rif_dmso__7,2.5791552734,-0.6050113022,0.43724288840000003,0.6620764086
abx_mega__ramo_h2o__3,0.8837293721,-0.9469901951,0.18087320710000002,0.0350527978
abx_mega__fidax_dmso__4,1.1731925996,0.0893514383,0.153880662,0.45207968070000004
abx_mega__teix_dmso__15,1.4135326724000001,0.533781862,0.1483440338,0.3259638522
abx_mega__thio_dmso__4,4.757061085,-0.5504288499000001,-0.26012634700000004,-0.5091000744
abx_mega__rif_dmso__8,3.0266931126,-1.5708370051,0.6793463926000001,1.1736352166
abx_mega__reta_dmso__4,5.9516591233,0.025528003,0.3090511324,0.1218603947
abx_mega__inh_h2o__4,-3.8250796063,1.1960883277,0.9769890414,-0.1781436395
abx_mega__novo_dmso__2,-2.8506296744,0.7337960436000001,-1.9046520286000002,-0.6037946919
abx_mega__dcs_h2o__3,0.6029655857,0.16543111060000001,-0.18290946500000002,0.12449228870000001
abx_mega__h2o-8b__3,1.7982728318999999,-0.3013275018,0.22666953310000001,-0.1297530696
abx_mega__valin_dmso__3,1.6250535780000002,0.0524331097,-0.49146316840000004,0.1017590336
abx_mega__h2o-2__1,-0.6806524002000001,-0.1296792457,-1.3965243966,2.3131630958000002
abx_mega__cro_h2o__4,0.3457797932,-0.1166385846,0.26568074540000003,-0.07385166500000001
abx_mega__dcs_h2o__4,1.1616747552,0.5228202102,-0.0682673135,0.406341769
abx_mega__str_h2o__5,1.2883473692,0.0620767183,0.0421289971,0.4473448175
abx_mega__h2o-8a__3,-0.22768111330000002,-0.1670867104,-0.1774179105,-0.4009290956
abx_mega__dox_dmso__7,0.4566879532,-0.023023933200000003,0.1927662141,-0.1585778277
abx_mega__doxo_dmso__2,-1.1640242374,-0.1780022674,-0.8248220413,0.5881761555
abx_mega__teix_dmso__16,6.7798874178,-1.288192235,-1.0313735085,1.0121133392
abx_mega__rfp_h2o__3,7.5251316549,-1.1735091948,0.503390396,0.9215387213
abx_mega__ethanol-10__3,-0.7219910197,0.4256665049,0.3417763368,0.7019706149
abx_mega__naoh-2__2,-3.5455913089,-0.14596955720000002,-0.0009933502000000001,1.9011813671
abx_mega__van_h2o__4,0.38159723500000003,-0.6767342955,-0.1684387678,-0.6610720347
abx_mega__sacet_h2o__2,-5.7444418747,1.5844404703000001,-0.6991910506,1.8919933899
abx_mega__monac_dmso__4,-1.5120075214000002,1.4941188956,0.2050628969,-0.6246931994
abx_mega__h2o-2__2,-1.6787542998,-0.0048985968,-0.1462267412,1.9307420204999999
abx_mega__zeocin_h2o__5,0.2866423087,0.23466406990000002,-0.0541559459,0.22299274160000002
abx_mega__nor_naoh__5,0.5686358215,0.10958004780000001,-0.026848741000000002,-0.45803047500000005
abx_mega__naoh-9__2,0.2840759625,0.2428538366,0.206247063,0.014430849
abx_mega__dmso-7__3,4.3321226021,0.0122195926,-0.9819644596,2.0435775268
abx_mega__van_h2o__5,1.3865474538,-0.7705289413,-0.7452941984,-0.5492119811
abx_mega__flavo_dmso__4,2.1538471143,0.14097936390000002,-0.3387321062,1.1567118324
abx_mega__novo_dmso__3,-1.1947227255,0.7008066596,-1.6509185606,-0.6898733783000001
