sample,b4515
omics__wt_thr__1,0.0
omics__wt_thr__2,0.0
omics__bw_ac__1,3.80138064204646
omics__bw_ac__2,3.57945178808502
omics__bw_fum__1,2.66299780900367
omics__bw_fum__2,3.5222898677832504
omics__bw_glc__1,3.1745829732502697
omics__bw_glc__2,3.0204290864700893
omics__bw_pyr__1,3.3498936614019104
omics__bw_pyr__2,1.6421994155251798
ompr__wt_nacl__1,1.67330172019755
ompr__wt_nacl__2,0.0
ompr__bw_delompr_nacl__1,0.0
ompr__bw_delompr_nacl__2,1.71083770828269
minspan__wt_ade__1,6.7759575822926905
minspan__wt_glc__1,5.01770027082386
minspan__wt_glc__2,5.151562432839071
minspan__wt_glc__3,4.16194625899477
minspan__wt_glc__4,5.04523617764664
minspan__wt_glc_anaero__1,6.878568511240309
minspan__wt_glc_anaero__2,6.94494814642892
minspan__wt_trp__1,8.21363767433509
minspan__bw_delcra_glc__1,8.39513747541659
minspan__bw_delcra_glc__2,8.37897219380587
minspan__bw_delcra_trp__1,7.476460978458519
minspan__bw_delmntr__1,8.96036464349636
minspan__bw_delnac_ade__1,6.787091541752059
minspan__bw_delnac_glc__1,5.854004330279701
cra_crp__wt_ac__1,0.0
cra_crp__wt_ac__2,0.0
cra_crp__wt_fru__1,0.0
cra_crp__wt_fru__2,0.0
cra_crp__delcra_ac__1,0.0
cra_crp__delcra_ac__2,0.0
cra_crp__delcra_fru__1,0.0
cra_crp__delcra_fru__2,0.0
cra_crp__delcra_glc__1,0.0
cra_crp__delcra_glc__2,0.0
rpoB__wt_031__1,0.0
rpoB__wt_044__1,0.0
rpoB__wt_lb__1,0.0
rpoB__wt_lb__2,2.2950229478967596
rpoB__rpoBE546V_031__1,0.0
rpoB__rpoBE546V_044__1,0.0
rpoB__rpoBE546V_lb__1,0.0
rpoB__rpoBE546V_lb__2,0.0
rpoB__rpoBE546V_glc__1,2.75640094188559
rpoB__rpoBE672K_glc__1,3.06815615309018
rpoB__rpoBE672K_glc__2,0.0
rpoB__rpoBE672K_lb__1,0.0
rpoB__rpoBE672K_lb__2,0.0
crp__wt_fru__1,3.54256011098492
crp__wt_glyc__1,2.20340147981604
crp__wt_glyc__2,1.4840676738109402
crp__delar1_glyc__1,0.0
crp__delar1_glyc__2,0.0
crp__delar1ar2_glyc__1,0.0
crp__delar1ar2_glyc__2,0.0
crp__delar1ar2_glyc__3,0.0
crp__delar2_glyc__1,2.75457550851053
crp__delar2_glyc__2,0.0
crp__delar2_glyc__3,1.91431654879369
crp__delcrp_fru__1,0.0
crp__delcrp_fru__2,0.0
crp__delcrp_fru__3,0.0
crp__delcrp_glc__1,0.0
crp__delcrp_glc__2,0.0
crp__delcrp_glc__3,0.0
crp__delcrp_glyc__1,0.0
crp__delcrp_glyc__2,2.10214565708267
crp__delcrp_glyc__3,0.0
glu__glu_ale3__1,3.0740308523537405
glu__glu_ale4__1,0.0
glu__glu_ale5__1,0.0
glu__glu_ale6__1,0.0
glu__glu_ale8__1,2.3054118317455
glu__glu_ale9__1,0.975860026669932
glu__glu_ale10__1,1.05652948371378
42c__wt_42c__1,0.0
42c__42c_ale1__1,4.49047144161883
42c__42c_ale2__1,1.27693817011124
42c__42c_ale3__1,4.1720315149202
42c__42c_ale4__1,2.0755228308568
42c__42c_ale5__1,3.0410320799726405
42c__42c_ale6__1,5.36662900983223
42c__42c_ale8__1,4.38545630441863
42c__42c_ale9__1,1.95905558281954
42c__42c_ale10__1,2.4126186574355803
ssw__wt_ac__1,3.8474809115818798
ssw__wt_glc__1,4.48717413390915
ssw__wt_glyc__1,6.97448736340799
ssw__wt_xyl__1,6.12693103719677
ssw__glc_ale1__1,0.0
ssw__glc_ale2__1,0.0
ssw__glc_ale3__1,0.0
ssw__glyc_ale1__1,0.0
ssw__glyc_ale2__1,0.0
ssw__xyl_ale1__1,5.180911555501691
ssw__xyl_ale2__1,3.38862513972496
ssw__xyl_ale3__1,5.415184718635991
ssw__glc_ac_ac2__1,3.28254764284685
ssw__glc_ac_glc1__1,0.0
ssw__glc_ac_glc2__1,3.4990851827665
ssw__glc_glyc_glc__1,5.35676267674546
ssw__glc_glyc_glyc__1,4.082213615669859
ssw__glc_xyl_glc__1,4.22875950941221
ssw__glc_xyl_xyl__1,4.44767065571701
pgi__glu4_delpgi__1,3.15561069557735
pgi__pgi_ale1__1,2.0821203776413197
pgi__pgi_ale2__1,0.0
pgi__pgi_ale3__1,2.65700560277312
pgi__pgi_ale5__1,2.6528077748255803
pgi__pgi_ale6__1,3.99751612273259
pgi__pgi_ale7__1,2.40628427327174
pgi__pgi_ale8__1,3.05156413416633
ica__wt_glc__1,0.0
ica__wt_glc__2,0.0
ica__wt_glc__3,1.21749906271366
ica__wt_glc__4,0.0
ica__arg_sbt__1,1.111040971543
ica__arg_sbt__2,0.0
ica__cytd_rib__1,0.0
ica__cytd_rib__2,0.0
ica__gth__1,2.31418524980781
ica__gth__2,2.1958253343847702
ica__leu_glcr__1,0.0
ica__leu_glcr__2,0.0
ica__met_glc__1,0.0
ica__met_glc__2,0.0
ica__no3_anaero__1,3.15998790223009
ica__no3_anaero__2,1.60004762755692
ica__phe_acgam__1,0.0
ica__phe_acgam__2,0.0
ica__thm_gal__1,0.0
ica__thm_gal__2,0.0
ica__tyr_glcn__1,0.0
ica__tyr_glcn__2,1.1887273177713502
ica__ura_pyr__1,1.65340870638382
ica__ura_pyr__2,1.50648439392533
ica__wt_glc__5,0.0
ica__wt_glc__6,0.0
ica__bw_delpurR_cytd__1,0.0
ica__bw_delpurR_cytd__2,0.0
ica__ade_glc__1,1.8604637507233899
ica__ade_glc__2,0.0
ytf__wt_glc__1,0.0
ytf__wt_glc__2,0.0
ytf__delyafC__1,3.2799368684925496
ytf__delyafC__2,2.7910026844361
ytf__delyeiE__1,0.0
ytf__delyeiE__2,0.0
ytf__delyiaJ__1,0.0
ytf__delyiaJ__2,1.23057486070137
ytf__delyieP__1,2.03524700547479
ytf__delyieP__2,0.0
ytf__wt_ph5__1,0.0
ytf__wt_ph5__2,0.0
ytf__wt_ph8__1,0.0
ytf__wt_ph8__2,0.0
ytf__delybaO__1,2.78736924840576
ytf__delybaO__2,0.0
ytf__delybaQ__1,1.31048943079099
ytf__delybaQ__2,0.0
ytf__delybiH__1,0.0
ytf__delybiH__2,1.40410682308197
ytf__delydcI_ph5__1,0.0
ytf__delydcI_ph5__2,0.0
ytf__delydcI_ph8__1,0.0
ytf__delydcI_ph8__2,0.0
ytf__delyddM__1,0.0
ytf__delyddM__2,0.0
ytf__delyheO__1,2.41904361117803
ytf__delyheO__2,3.30985721906283
fps__bw_glc__1,0.0
fps__bw_glc__2,0.0
fps__fps_thrA_ale1__1,0.0
fps__fps_thrA_ale1__2,1.8607523343427301
fps__fps_thrA_ale2__1,0.0
fps__fps_thrA_ale2__2,1.52133052674295
fps__fps_serB_ale1__1,0.0
fps__fps_serB_ale1__2,0.0
fps__fps_serB_ale4__1,2.2866497111653197
fps__fps_serB_ale4__2,0.0
fps__fps_ptsI_ale1__1,0.0
fps__fps_ptsI_ale1__2,1.5614335391615801
fps__fps_ptsI_ale3__1,1.3587906765870401
fps__fps_ptsI_ale3__2,0.0
pal__lyx_ale2_f6__1,2.35492809132562
pal__lyx_ale2__1,3.0898775664384197
pal__lyx_ale2__2,4.01772330145147
pal__lyx_ale4__1,3.0898775664384197
pal__lyx_ale4__2,4.01772330145147
pal__5drib_ale10_f18__1,3.4253858159860497
pal__5drib_ale10_f18__2,3.71100607304675
pal__5drib_ale10__1,4.08189892014689
pal__arab_ale14_f9__1,4.197948148424859
pal__arab_ale14_f9__2,0.0
pal__arab_ale14__1,4.39855029651566
pal__arab_ale14__2,4.93929641476946
pal__arab_ale16__1,3.2132664390384003
pal__arab_ale16__2,2.31195025643864
pal__tartr_ale26_f10__1,4.40819497530258
pal__tartr_ale26_f10__2,4.3355107969810405
pal__tartr_ale26__1,0.0
pal__tartr_ale26__2,2.9680375869562
pal__tartr_ale28_f10__1,5.29000344838281
pal__tartr_ale28_f10__2,4.74414416605347
pal__tartr_ale28__1,3.3380428581792496
pal__tartr_ale28__2,4.2365394579509505
efeU__delmenFentC_citr__1,1.38214402159598
efeU__delmenFentC_citr__2,0.0
efeU__delmenFentC__1,0.0
efeU__delmenFentC__2,0.0
efeU__menFentC_ale39__1,1.8962098502373002
efeU__menFentC_ale39__2,0.0
efeU__menFentC_ale29__1,0.0
efeU__menFentC_ale29__2,0.0
efeU__menFentC_ale30__1,0.0
efeU__menFentC_ale30__2,0.0
efeU__menFentCubiC_ale36__1,0.0
efeU__menFentCubiC_ale36__2,1.6920528335260299
efeU__menFentCubiC_ale37__1,1.62552441782698
efeU__menFentCubiC_ale37__2,0.0
efeU__menFentCubiC_ale38__1,2.1108729707985
efeU__menFentCubiC_ale38__2,2.1496892578396203
