,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
256,kan_efg__fusAA608E_rpoDL261Q,-0.19785610745,0.16532804261024117,2.0,791.0,-0.0809515274,792.0,-0.3147606875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,kan_efg__fusAA608E_topAS180L,0.7828751092,0.26702552418343595,2.0,793.0,0.9716906681,794.0,0.5940595503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,kan_efg__rpoDL261Q,0.10354858785000001,0.0005819319810644565,2.0,795.0,0.1039600759,796.0,0.1031370998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,kan_efg__wt,0.0,0.4125682289603675,2.0,797.0,0.2917297924,798.0,-0.2917297924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,lrp__wt_min_log,0.0,0.12515428653010297,2.0,799.0,0.0884974447,800.0,-0.0884974447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,lrp__wt_min_trans,-0.92006629135,0.36146864483621594,2.0,801.0,-1.1756632213,802.0,-0.6644693614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,lrp__wt_min_stat,-0.8779577054500001,0.3438227811109914,2.0,803.0,-1.1210771255,804.0,-0.6348382854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,lrp__wt_liv_log,0.2770874564,0.07283953254354658,2.0,805.0,0.3285927838,806.0,0.22558212900000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,lrp__wt_liv_trans,-1.340423836,1.0700161340984102,2.0,807.0,-2.0970395004,808.0,-0.5838081716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,lrp__wt_liv_stat,-0.84723828445,0.13564565833897102,2.0,809.0,-0.7513223196000001,810.0,-0.9431542493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
