,A,YwzG
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.2162607793,0.0135056532
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.3821417908,0.3840796213
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-0.22593925680000002,-0.0543537266
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.1429752693,-0.5659335614000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-1.1863176752,-0.3222385827
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-0.41392732260000004,-2.0412927158
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-0.2515453526,-2.4720235472
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,2.0710159752,-2.0667067773
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-0.521919946,-2.2209277822
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-1.7364431449,-2.1586737538
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-1.2005871002,-2.7759440494
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,0.22041338670000002,-1.8313437652000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,0.1410835484,-2.5763740575
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-0.0472757834,-2.6425545412
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,1.1289169737,-1.6051773713
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,0.2939432091,-1.6811525903
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,0.5737648756,-2.3577572352000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,0.1052250015,-1.8790839738
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,0.39773338350000004,-2.4216653797
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-0.2765915029,-2.2667510158
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,3.8031085016,-0.7257596025
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,2.5385529503,-2.0883684601
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-0.4162024185,-2.3737039158
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,0.318601366,-2.0783333187
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-0.041784153500000004,-2.1858989925
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,0.3393214849,-1.8859765754
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.4577767131,-0.1844316879
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.3891542867,0.1364906417
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.0686224265,0.0479410461
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,1.8272888435999999,0.17273645440000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,2.3999309063,-1.3858516657
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,2.039424061,-1.1043419003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,2.1266606647,-1.1889397586000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-0.7301413957,-0.422840641
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,0.506775843,0.21627038710000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.20138881,-0.038471097600000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.4247543626,0.2450413515
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,0.1840267132,-0.492548588
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,1.0522294687,-0.0962574534
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,0.5388548044,-0.3754276503
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,0.9948940745,-0.2151763872
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,0.8643947538000001,0.0441550142
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.310516462,-0.40238653090000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,0.6106493097,-0.317529389
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-0.0441492135,-0.42659980610000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,0.17364297920000002,0.045836030800000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-0.4086636661,-0.1214584033
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,0.6076796537,0.321657652
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,1.2060245895,0.5240859601
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.2522164814,-0.7427525087
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.3709343277,-0.831753077
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.3195578476,-0.8480699818
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,16.905387541,4.095077201
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,16.3405503188,4.1296521502
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,16.4837352889,3.9449469077
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-0.8240032938,0.8411221708000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,18.9867858709,6.3927519696
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-0.32810075320000004,0.8596276033
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,18.9842062335,6.252773586
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.2418989423,0.7337217500000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,19.847837252,6.3207743637
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-1.5859228841,0.7083049718000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,13.3110654759,5.6811335429
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,0.24366176950000001,1.0010968412
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,13.805209423,5.8318479892
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,0.3995524581,0.7131737544
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,14.1992423254,5.4992576708
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.2121415146,0.2219745167
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-0.4252970025,0.0149381349
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,0.2131554879,-0.2369126516
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,0.2769684391,-0.33154571650000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-0.6284861488,-1.0899862488
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.5188827747,-0.7091617969
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,1.0669005335,0.5208515607
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-1.6171675547,-1.0347812441
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,1.4381212623000001,0.1718432614
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-0.9020077965000001,-0.75659489
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-0.5215834406000001,-0.8924190447
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.5212275522,-0.9358655191
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,13.0499437273,2.7207320423
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,12.9347675093,2.5272035528
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,13.2210727577,2.4876460146
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,13.6730863583,3.0307851484
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,14.5338042011,3.6763594741
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,12.430491677,2.8804242351
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,9.5410655407,2.2592495477
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,11.373338459,2.2732718302
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,9.4410890036,2.0521702861
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,13.0733846793,2.7989369399
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,11.5251615952,2.5697260955
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,12.2215566328,2.2233022591
