locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
USA300HOU_RS12140,0.122971222,rplP,50S ribosomal protein L16,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005695000
USA300HOU_RS12145,0.11821217,rpsC,30S ribosomal protein S3,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005696000
USA300HOU_RS12155,0.116404614,rpsS,30S ribosomal protein S19,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005698000
USA300HOU_RS12150,0.115916367,rplV,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005697000
USA300HOU_RS12080,0.108223461,rplO,50S ribosomal protein L15,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005683000
USA300HOU_RS12085,0.105945885,rpmD,50S ribosomal protein L30,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005684000
USA300HOU_RS12160,0.101073141,rplB,50S ribosomal protein L2,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005699000
USA300HOU_RS12165,0.099240405,rplW,50S ribosomal protein L23,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005700000
USA300HOU_RS02835,0.095409245,rplJ,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis","rplJ,rplL",L10_leader,https://aureowiki.med.uni-greifswald.de/SAUPAN002310000
USA300HOU_RS02865,0.093527075,rpsL,30S ribosomal protein S12,"Translation, ribosomal structure and biogenesis","rpsL,rpsG",,https://aureowiki.med.uni-greifswald.de/SAUPAN002317000
USA300HOU_RS02870,0.092542755,rpsG,30S ribosomal protein S7,"Translation, ribosomal structure and biogenesis","rpsL,rpsG",,https://aureowiki.med.uni-greifswald.de/SAUPAN002318000
USA300HOU_RS12170,0.09226086700000001,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",,,
USA300HOU_RS02875,0.092219064,fusA,elongation factor G,"Translation, ribosomal structure and biogenesis",,,
USA300HOU_RS12065,0.09093508600000001,infA,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis","rplQ,rpoA,rpsK,rpsM,rpmJ,infA",,https://aureowiki.med.uni-greifswald.de/SAUPAN005680000
USA300HOU_RS02840,0.090886823,rplL,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis","rplJ,rplL",L10_leader,https://aureowiki.med.uni-greifswald.de/SAUPAN002311000
USA300HOU_RS01945,0.087399449,rpsR,30S ribosomal protein S18,"Translation, ribosomal structure and biogenesis","rpsF,ssB,rpsR",,https://aureowiki.med.uni-greifswald.de/SAUPAN001916000
USA300HOU_RS12070,0.08700790200000001,adK,adenylate kinase,Nucleotide transport and metabolism,"adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005681000
USA300HOU_RS12180,0.082865029,rpsJ,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",,,
USA300HOU_RS12075,0.082760631,secY,protein translocase subunit SecY," Intracellular trafficking, secretion, and vesicular transport","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005682000
USA300HOU_RS12175,0.082174779,rplC,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",rplC,,https://aureowiki.med.uni-greifswald.de/SAUPAN005702000
USA300HOU_RS12055,0.081383654,rpsM,30S ribosomal protein S13,"Translation, ribosomal structure and biogenesis","rplQ,rpoA,rpsK,rpsM,rpmJ,infA",,https://aureowiki.med.uni-greifswald.de/SAUPAN005678000
USA300HOU_RS12050,0.080203778,rpsK,30S ribosomal protein S11,"Translation, ribosomal structure and biogenesis","rplQ,rpoA,rpsK,rpsM,rpmJ,infA",,https://aureowiki.med.uni-greifswald.de/SAUPAN005677000
USA300HOU_RS12040,0.077340619,rplQ,50S ribosomal protein L17,"Translation, ribosomal structure and biogenesis","rplQ,rpoA,rpsK,rpsM,rpmJ,infA",,https://aureowiki.med.uni-greifswald.de/SAUPAN005675000
USA300HOU_RS08895,0.076630293,rplT,50S ribosomal protein L20,"Translation, ribosomal structure and biogenesis",,L20_leader,
USA300HOU_RS12045,0.074620898,rpoA,DNA-directed RNA polymerase subunit alpha,Transcription,"rplQ,rpoA,rpsK,rpsM,rpmJ,infA",,https://aureowiki.med.uni-greifswald.de/SAUPAN005676000
USA300HOU_RS08900,0.074468088,rpmI,50S ribosomal protein L35,"Translation, ribosomal structure and biogenesis",,L20_leader,
USA300HOU_RS02830,0.074396165,rplA,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",rplA,,https://aureowiki.med.uni-greifswald.de/SAUPAN002308000
