,A,OxyR
pgi__pgi_ale1__1,-0.42961797970000004,8.2447469026
pgi__pgi_ale2__1,-0.0231105739,8.6639279686
pgi__pgi_ale3__1,-0.5331505613,8.1277940655
pgi__pgi_ale5__1,-1.3661259397,8.1182473517
pgi__pgi_ale6__1,-1.0257214625,8.1204567774
pgi__pgi_ale7__1,-1.4131545456,8.203923594900001
pgi__pgi_ale8__1,-1.4830977313,8.1089554598
ica__wt_glc__1,-3.9138874017000003,7.2742503403
ica__wt_glc__2,-4.0244698816,7.2204178367
ica__wt_glc__3,-0.6728962611,7.8406045862
ica__wt_glc__4,-0.6837949079,7.6124437641
ica__arg_sbt__1,-2.8693101938,7.1726526736
ica__arg_sbt__2,-2.0532168696,7.2316938448
ica__cytd_rib__1,2.2263357861,7.1244728845
ica__cytd_rib__2,2.5186439317,6.8256708268
ica__gth__1,3.2440251961,7.8467874731
ica__gth__2,4.0243418612,7.811472331
ica__leu_glcr__1,-0.7395176759000001,7.2091225608
ica__leu_glcr__2,-1.1226063785,7.0872938855
ica__met_glc__1,-3.8994397058,7.137198613
ica__met_glc__2,-3.6850588726,7.1329619807
ica__no3_anaero__1,-0.39415364620000004,7.6378914779
ica__no3_anaero__2,-0.5636450511000001,7.4544517282000005
ica__phe_acgam__1,-2.0908270029000002,7.282040168
ica__phe_acgam__2,-2.8703371848,7.3785940057
ica__thm_gal__1,-1.5381403801,7.5271939844
ica__thm_gal__2,-1.7679316528,7.55897591
ica__tyr_glcn__1,-1.6387168765,7.3599369501
ica__tyr_glcn__2,-2.5053576626,7.2985747703
ica__ura_pyr__1,0.2946066713,7.3947448272
ica__ura_pyr__2,-1.2956048771,7.2687868264
ica__wt_glc__5,-1.9538267524,7.81925568
ica__wt_glc__6,-2.0528958547,7.7735149409
ica__bw_delpurR_cytd__1,-2.6331875655,7.4403161285
ica__bw_delpurR_cytd__2,-2.4974054685000002,7.5398116470000005
ica__ade_glc__1,-1.0311968884,8.201504729
ica__ade_glc__2,-1.2745859837,8.1380142994
ytf__wt_glc__1,0.0351055412,7.6239346857
ytf__wt_glc__2,-0.11912964200000001,7.6406282169
ytf__delyafC__1,0.40818752340000003,7.7571536979
ytf__delyafC__2,0.6685571681,7.8027302635
ytf__delyeiE__1,-3.0979863346,8.0343622462
ytf__delyeiE__2,-1.8407121128,7.7348007777
ytf__delyiaJ__1,0.7369559722,7.5885286733
ytf__delyiaJ__2,0.44943172530000003,7.6548180086
ytf__delyieP__1,-0.3016983979,8.1919100563
ytf__delyieP__2,0.21376380320000002,7.9838927384
ytf__wt_ph5__1,-1.8116792742999999,7.4812437835
ytf__wt_ph5__2,-1.3189147513,7.367344215
ytf__wt_ph8__1,-0.6919519384,7.6979767279
ytf__wt_ph8__2,-0.8572767013,7.7141964912
ytf__delybaO__1,-0.5233032995,7.726100769
ytf__delybaO__2,-1.1853527103000001,8.1080969515
ytf__delybaQ__1,-0.8840569189,7.7087553869
ytf__delybaQ__2,-0.589500361,7.7576363057
ytf__delybiH__1,1.5235527935,7.7744303712
ytf__delybiH__2,1.4282876362999999,8.0211903598
ytf__delydcI_ph5__1,-1.5426980164000001,7.3371053792
ytf__delydcI_ph5__2,-1.9802128587,7.3837626687
ytf__delydcI_ph8__1,-0.2131546434,7.6110325469
ytf__delydcI_ph8__2,-0.38391216110000004,7.529781767
ytf__delyddM__1,-0.1546179338,8.082669814
ytf__delyddM__2,-0.0424866126,8.0285821032
ytf__delyheO__1,-0.0669860984,7.657916165
ytf__delyheO__2,0.1341872826,8.0400841502
fps__bw_glc__1,-1.3618971784,7.5802349631
fps__bw_glc__2,-1.1383374167,7.7134261869
fps__fps_thrA_ale1__1,-0.34449399550000004,7.7473909095
fps__fps_thrA_ale1__2,-1.15866605,7.6193868169
fps__fps_thrA_ale2__1,-1.7239290897,7.3281593648
fps__fps_thrA_ale2__2,-2.0470052471,7.4349984182
fps__fps_serB_ale1__1,-0.3431475545,7.4775274523
fps__fps_serB_ale1__2,-0.5363887291,7.4481161506
fps__fps_serB_ale4__1,2.1142069917,7.0264353546
fps__fps_serB_ale4__2,0.8289805623000001,7.214650786
fps__fps_ptsI_ale1__1,-0.8367634729000001,6.9766027
fps__fps_ptsI_ale1__2,-1.7565481807,7.1611208392
fps__fps_ptsI_ale3__1,-1.40672144,7.1574432716
fps__fps_ptsI_ale3__2,-0.3794144325,7.2548575065
pal__lyx_ale2_f6__1,0.5180838717,7.4560835105
pal__lyx_ale2__1,-0.7852720555,7.4194937954
pal__lyx_ale2__2,-0.7796676706,7.3371858683
pal__lyx_ale4__1,-0.7852720555,7.4194937954
pal__lyx_ale4__2,-0.7796676706,7.3371858683
pal__5drib_ale10_f18__1,-0.8945455755,7.0451602228
pal__5drib_ale10_f18__2,-1.1668355617,7.1878484342
pal__5drib_ale10__1,-1.4906266788,7.1855109726
pal__arab_ale14_f9__1,2.1436624072,7.5593151452
pal__arab_ale14_f9__2,2.8234326158,7.6245315697
pal__arab_ale14__1,-0.2329693806,7.6857929406
pal__arab_ale14__2,-0.4281910427,7.6384116169
pal__arab_ale16__1,-3.7718767432,7.6536101756
pal__arab_ale16__2,-3.0197087062,7.4850016026
pal__tartr_ale26_f10__1,-1.247313405,6.9428992124
pal__tartr_ale26_f10__2,-0.3052422617,7.1854279827
pal__tartr_ale26__1,-0.41784855470000004,7.2582298258
pal__tartr_ale26__2,-0.4714669269,7.1618259197
pal__tartr_ale28_f10__1,2.9371036606,7.0255554508
pal__tartr_ale28_f10__2,2.4561530892,6.859829937
pal__tartr_ale28__1,0.4260010762,7.2861242307000005
pal__tartr_ale28__2,0.7795108831,7.3142416991
efeU__delmenFentC_citr__1,-2.4010079656,7.771640883
efeU__delmenFentC_citr__2,-1.4084708719,7.5565291681
efeU__delmenFentC__1,-0.042524348600000005,7.4480532599
efeU__delmenFentC__2,-0.654035604,7.4016219466
efeU__menFentC_ale39__1,0.2271499311,8.3274314853
efeU__menFentC_ale39__2,-0.14800686400000002,8.301821017
efeU__menFentC_ale29__1,21.570603038,9.3954421666
efeU__menFentC_ale29__2,20.780164531,9.3283982941
efeU__menFentC_ale30__1,7.8940673525000005,8.7713147162
efeU__menFentC_ale30__2,9.1769646517,8.7443094727
efeU__menFentCubiC_ale36__1,-0.7817670814000001,7.6500116810000005
efeU__menFentCubiC_ale36__2,-2.1193010992,7.7547737221
efeU__menFentCubiC_ale37__1,-1.8250704431,7.519027664
efeU__menFentCubiC_ale37__2,-2.386813308,7.6105963643
efeU__menFentCubiC_ale38__1,-2.3024224777,7.6995054107000005
efeU__menFentCubiC_ale38__2,-2.5010150383000003,7.8457767447
