,A,AcrR,OmpR,FliZ,ihfB,HdfR,rcsB,Crp,LrhA,QseB,Fur,YjjQ,hns
abx_mega__van_dmso__1,-2.9419217569000002,-2.2381011969,1.8100974600000002,-2.6751714517,0.5828825608,-1.4064583304,-0.3795216605,-0.9934080376000001,0.7095938393,-1.3705884774000001,0.9722225077000001,0.6016739643,1.5495831874000001
abx_mega__ramo_h2o__1,-1.2706365066,-1.0673113188,-0.12353837790000001,-0.2608043259,-0.9701385051,0.2668225522,0.6179042864000001,-0.3443110079,-1.502351556,-0.4535314173,-0.3926104231,-2.0154097472,0.5062316505
abx_mega__tec_h2o__2,-4.5360628896,-0.7587549311,-0.21433275870000001,-1.8003606527,-0.8524414069,-0.4609524667,0.7060944812000001,-0.9407234058,0.3394192608,-0.5279291149,-0.011125823600000001,-1.0103016707,0.2590986018
abx_mega__h2o-7__1,0.8587417751,-1.4151372711999999,-0.09583014940000001,0.16048060050000001,-1.405760481,0.18428400420000002,0.08572760010000001,-0.0040549861000000005,-0.3620842938,-1.5617739495,-0.1153333252,-0.3086159617,0.0087843152
abx_mega__cro_h2o__1,0.5534649189,-1.9085631118,-0.0601121022,-0.1438582707,-2.0779262437,0.029372634600000003,-0.1546573686,-0.1478341465,-1.2380655413000001,-1.1414203122,-0.43185484830000004,-1.5017456711000001,-0.3992162387
abx_mega__tric_ethanol__1,-0.1379709463,-1.0854325279,0.9240665007000001,-0.6630811163,-0.1903310601,0.9064509606000001,0.9019371941000001,-0.1558928562,-1.1787032984999999,1.1565709319,0.4129649769,-1.1068004734,0.8313039999
abx_mega__nor_naoh__1,-0.9684140135,-0.1136879206,0.0910367456,-0.31521110900000004,-1.0812140072,0.23772285640000002,-0.1109667847,0.2764607147,0.1265463313,-0.1269511576,-0.2012607397,-0.27722151840000003,-0.45174707410000003
abx_mega__teix_dmso__2,-0.4132493424,-0.3940193382,-0.0980784631,-0.1951486474,-0.026524093000000002,-0.0929006752,-0.1200714722,-0.14661147630000002,-0.1637805937,0.2610842707,0.3114276031,0.024354770100000003,0.46102281510000004
abx_mega__nal_naoh__3,-0.1191918455,-0.0349057227,-0.057151718500000004,-0.1328305091,-1.0022560843,0.8557048618,-0.0039707902,0.2201400917,-0.3910785793,-0.1317709699,0.4279505287,-0.8845774014000001,-0.39522827390000004
abx_mega__novo_h2o__2,-4.5563471721,-3.2558736369,-0.1720156404,-1.1042332969,-1.7171008209,-3.6485513956,-1.5364974948999999,0.1874058842,1.1003495686,-1.9369635231000002,1.2267004369,0.39949014200000005,-1.3338308134
abx_mega__dmso-10__2,0.7469537711,-0.5023291624,0.10161821280000001,0.3267594695,-0.8705550239000001,0.311795714,0.2319356907,0.0513472187,-0.262956505,-0.16712175410000002,-0.1819792789,-0.2829664484,-0.43565160620000004
abx_mega__phos_h2o__3,-0.2962846199,0.046620649300000004,0.3218156103,0.2702130949,-0.6341559143000001,0.0349182287,0.1380821586,0.3866879371,0.2246136273,-0.23262341050000002,0.0923447817,-0.9021200194000001,0.038069885000000005
abx_mega__dmso-6__2,0.8780992216,-0.1177813036,-0.0033687667000000003,0.1482371993,0.5477587571,0.5919915193,0.0661430321,-0.0602559214,0.2973053533,1.0600873882,0.4137604635,0.2153743955,-0.24636549170000002
abx_mega__rfp_ethanol__1,0.7393081671,-2.660557422,-0.5438908621,-2.6768354223,-1.3179166312000001,-0.7643606362,0.45632589970000004,-1.4743546362,0.7693274439000001,-0.8760563705000001,-0.0411889955,2.9724546445,-1.4046597106
abx_mega__dmso-5__3,-0.3086919709,0.1779396155,0.2173257979,0.4358965598,-0.09633023900000001,0.168491417,0.1267694553,-0.13444608700000002,0.3106226909,0.287405171,0.4465032129,0.3157040909,0.0952690145
abx_mega__amyc-d_dmso__1,-2.5244094642,-0.2814473435,-0.0077695386000000005,-2.746146362,0.6487792296,-0.0195218129,0.26775146450000004,-1.621907484,0.2052616588,-0.0859788293,1.1929509728,0.9889832311000001,1.1708920348
abx_mega__sxt_dmso__1,-0.3134612647,-2.1146695428,-0.1402548023,-0.252829645,-1.398343179,0.8582586563,0.1316869949,-0.0376343135,-0.1360977924,-1.8306064325,-0.24377161500000002,-0.2861376331,-0.15364917820000001
abx_mega__dmso-1__1,0.4562687845,0.0113827828,-0.2185436949,-0.1079124144,-0.0548211138,0.2863789406,-0.0819666434,-0.0810478849,-0.2338761756,0.41110204100000003,0.1022267718,0.011971712300000001,-0.329062373
abx_mega__pen_h2o__1,0.0017417044,-0.5499410148,-0.5186667481,-0.3629657751,-0.4764255264,0.17908918570000001,-0.0806030598,0.1296583874,-1.4708014333000001,0.1868537757,-0.08204266710000001,-1.327076796,0.6446787887000001
abx_mega__dmso-10__3,0.38120175110000004,-0.7621049447,0.291166345,0.4447141267,-0.9915859493,0.3709281293,0.2005107907,0.2017965224,0.0705857165,-0.14952224290000002,-0.40016228400000003,-0.0547618126,-0.499017776
abx_mega__nal_naoh__4,-0.2352418658,-0.4255958177,-0.07297965590000001,-0.32778120850000003,-1.1529412139,0.5298346816,-0.2157227974,0.1490464558,-0.5017352498000001,-0.1265519416,-0.1309359008,-0.6321328705,-0.4983299264
abx_mega__cip_naoh__1,-0.37126192490000004,-0.5215644418000001,-0.0293658589,-0.0565620826,-1.0626874924,0.5700557212,-0.2464237398,0.2623448043,-0.9128043066,-0.0247985368,0.0090969511,-0.3558767619,-0.9284528158
abx_mega__pen_h2o__2,-0.1448405727,-0.6886949954,-0.46615090750000004,-0.4899465656,-0.9260874235000001,-0.1915305277,-0.08702385110000001,-0.22631582460000002,-1.1132268359,-0.1451339388,-0.1838030893,-0.8114875981,0.4696265652
abx_mega__ery_dmso__2,-0.11287215610000001,0.1420026385,0.1872470703,-1.4593836297,-1.3048554744,-0.5533897877,-0.3642836417,-1.9945889461,-0.5265289726,0.8974821921,0.46724588110000004,1.0798051255,0.8807592262
abx_mega__dmso-2__2,-0.470811454,-0.6771471585000001,0.3429906437,0.5323671235,2.186138402,1.8545534933,-0.7496813320000001,-0.303318389,-1.8261881503000001,1.1329227589,-2.4282303025,0.19872249860000002,-3.003918591
abx_mega__van_dmso__2,-2.5077413584,-1.6792293369,1.9570831285999999,-2.9741860609,0.9100277827000001,-1.2280210786,-0.3576773421,-0.9213934478,2.2119203274,-0.9848103625,0.9629089327,0.0661620939,2.0280958555
abx_mega__h2o-1b__1,0.8813146165,-0.8473092672,-0.0992725347,-1.0840693405,-0.8877531976,-0.5538166985,-0.0021741662,-0.5542551321,-0.38495965330000004,-0.3695625067,0.12368935310000001,0.034320421000000004,0.1282549919
abx_mega__ery_h2o__1,3.4085007807,-0.4148684171,-1.2509443371,-1.3295676825,-1.5251338072,-1.8273605026,-1.2812399401999999,-2.4371824129,-0.6434382935,-0.9655482914,0.8900661546,0.0345112214,1.4273784088
abx_mega__bacit_h2o__1,-4.8441829087,-2.8277887636,0.8148138873,-1.4973665918,-1.4504833334,-0.35603178220000004,0.5601854118,-0.6975730314,-1.8739250896000001,-1.0477645168,-0.3167585807,-1.2211110932,0.3338719368
abx_mega__chl_h2o__2,1.1795900842,-0.6017526243,-1.2449311335,-2.0924181973,-1.2200697843000001,-1.9914559361,-0.9914578036,-2.788252041,0.1006119469,-0.4913488328,-0.2278540168,0.8087684078,0.5479911068000001
abx_mega__str_h2o__2,-0.5482962015,-2.09539626,-0.0962815137,-0.37825171300000004,1.7775761065,1.5297424239000001,-0.9253773778000001,-0.46271994780000003,-1.3681733337,0.9127719931,-1.2068082598,-0.0194954166,-1.8298625141
abx_mega__rfp_ethanol__2,0.3697265115,-2.619423641,-0.2874409584,-2.8434470724,-1.2855187251,0.6172613186,0.6704905679000001,-1.0117169578,1.3571877443,-0.3935854982,-0.22732878210000002,2.7945774632,-1.2640210537
abx_mega__polmyx_h2o__2,0.2359841575,-0.7180041396,-0.1763697091,-0.3489597146,-0.8769879084000001,-0.344133626,-0.23569314730000002,-0.1729404675,-0.8366077767000001,-0.7124432243000001,-0.6056212274,-0.7155490849,-0.21223886720000001
abx_mega__tric_h2o__1,0.8257990734,-0.6212931914,0.577579982,-0.5268356839,-1.2793691829,0.9185804253000001,1.1306416889,0.2138522692,0.1965699534,-0.027841008400000002,0.20430109170000002,0.5966548681,0.33937007880000003
abx_mega__cip_naoh__2,-0.4643227274,-0.219291476,0.23088318200000002,-0.1121606861,-1.080054735,0.018628361700000002,-0.25458663460000003,0.22403181360000002,-0.1545082863,-0.4464254246,0.2181452225,0.2364649996,-0.2648527613
abx_mega__novo_h2o__3,-4.509988558,-3.7740067783,-0.5088942688,-1.0577932562,-1.4207421173,-3.7883648251,-1.7957966427,-0.09237995040000001,0.99880797,-1.3391270535,1.1462812854,0.37211460490000003,-1.6065648687
abx_mega__bacit_dmso__1,-1.0122258462,0.0518188591,0.1448217691,-0.2983050313,-0.36320266970000004,0.056493306300000004,-0.0680506525,-0.38942819040000004,-0.8785923147,0.6460779317,0.3636055414,1.3569396,0.7920205793
abx_mega__gen_h2o__1,0.1266780966,-1.6856169009,0.9170945834,-2.1761582209,3.0734252999,0.9831554990000001,-0.4553802012,-1.1362642293,-0.0746404155,0.6926375622000001,0.4631088042,0.7851317320000001,1.4962296247
abx_mega__bacit_dmso__2,-0.8452557259,-0.2793315169,0.19580065430000002,-0.5924370210000001,-0.1474923579,0.22014385290000002,0.07888017680000001,-0.41342659340000004,-0.7368315535000001,1.2441416082,0.2378312514,2.3823265949,0.8860898538
abx_mega__chl_dmso__1,-0.8596882339,-0.9920691149,1.0530169996,-2.3100390593,-0.8603384773,-0.0502580382,-0.0680372408,-1.6036324816,0.2272097699,0.6754987324,0.3246086132,0.41624360330000004,1.1582991603
abx_mega__bacit_h2o__2,-3.7799418269,-1.4370439374,0.15480531490000002,-1.2226803148,0.0810143052,-0.1031819337,0.7528630789,-0.5104274184,-0.8422717141,-0.1614653762,0.5482222344000001,-1.1695622856,1.0332693507
abx_mega__lvx_dmso__1,1.437870555,-0.7745733786,0.1806672342,-0.2985328256,-0.8766338815,0.2302434778,-0.21356526580000001,-0.1584196907,-1.1217902722,0.374457979,-0.010888811600000001,-0.8386787222000001,-0.5443186423
abx_mega__bacit_h2o__3,-3.518031407,-2.3864388808,0.4383871084,-1.1666394743,-1.0401998064,-0.6069658402,0.6668600963,-0.6589226995,-1.6604794123,-1.2840469207,-0.2638272614,-2.0154097472,0.2748227025
abx_mega__nor_naoh__2,-0.7819079623,-0.0228648242,0.1448474444,-0.2058305195,-1.1131732022,0.4420336474,-0.2048977561,0.1764471632,0.1620442293,0.0913779212,-0.036860092500000004,-0.20509530820000002,-0.4196697263
abx_mega__amyc-d_dmso__2,-0.0634481928,0.1129429081,0.3031067853,-1.0322711043,1.1241333731,0.2032731619,-0.1356055373,-0.5799739837,-0.1576971345,0.46822674740000003,1.0691590726,2.0465665636,0.8093676863
abx_mega__polmyx_h2o__3,-2.3567105388,-1.0195034148,0.5307188047,1.2383038308,1.0533152899,1.4052971676000001,-0.7911384837000001,-0.6950204566,-1.3355273714,0.0145980656,-2.3252710335,-2.0154097472,-2.2776908039
abx_mega__naoh-6__1,-0.8198217609,0.0515585763,0.3092463119,0.3342815029,-0.2205498512,0.2421085104,0.1634800951,0.245553549,0.2472681563,-0.5408223494000001,0.4110728621,-1.132680412,0.0793713315
abx_mega__cst_h2o__2,-1.1227027948,-0.266159551,0.0354806552,-0.1012611726,-0.9253991697,0.3088528507,-0.0108608639,-0.24882076420000002,-0.5932299829000001,0.3699934797,0.20007652210000001,1.5048278785,0.1558267021
abx_mega__h2o-1b__2,-0.1189979572,-1.6274228405,-0.0226364747,-1.1984862062000001,-0.6949207847000001,-0.6722756074,-0.29027024430000004,-1.0972302127,-0.6117023718,-0.6174641670000001,0.1010918916,-0.10272581430000001,-0.16419339230000002
abx_mega__rfp_h2o__1,-0.3893976591,-1.3374165197,-0.445994702,-2.1752729067,0.3662144094,-0.1431811723,-0.7538148141000001,-2.0210704043,1.1195279154,0.2476592612,0.3957199563,2.8261396758,0.3623619817
abx_mega__tet_h2o__1,3.5210511288,0.0316388063,-0.9692820163,-0.9267373099,-0.9221896544,-0.40168276410000003,-0.45178054430000003,-1.6584843203,-1.2461794178,-0.5619613330000001,0.3948733358,-0.0965987043,2.0592240575
abx_mega__flavo_dmso__1,-2.5003642481,-0.671086747,0.0111998207,-1.0267122471,-0.3053163494,-0.27954436600000004,0.8322553125000001,-0.2397944182,-1.3953416255,0.3093673261,0.3573052694,-2.0154097472,0.37091103740000003
abx_mega__zeocin_h2o__1,-0.0451090148,-0.6177450424,0.1815884231,0.488730192,-1.4155199507,-0.2659222913,-0.0165112528,0.1989831632,-0.5761618598,-0.5698590773000001,-0.4525821431,-1.0799167502,-0.6577122203
abx_mega__nor_naoh__3,-0.807542694,-0.19183597500000002,-0.0038293603,-0.30970809600000004,-1.0599211097,0.0551677912,-0.3101327836,0.10670366340000001,-0.0747518514,-0.5534487982,-0.0191556582,0.4040372681,-0.5185215767
abx_mega__rach_dmso__2,0.6123202925,-2.1586412381,0.15979272290000002,0.2744020266,-1.4386345449,-0.2609248135,-0.17232564490000002,-0.1227589166,-0.6432551263,-0.5393972178,0.0293777617,-0.5385908850000001,-1.0589715228
abx_mega__thio_dmso__2,1.8411999271,-0.6998925043,0.6779784473,-0.6725002051,-0.2803295697,-1.5800943391,-0.6368717066,-1.4531793695,-0.5660296833,0.47482343660000004,0.9859149752,0.6889223243,1.8291972353000001
abx_mega__amyc-d_dmso__3,-0.9475644837,-0.6570891631,-0.0027039801,-2.5418863935,0.6293734383,0.26064565640000004,0.015310763500000001,-1.642695013,0.1643943582,-0.36301053650000004,0.6808311431,1.4702330514,1.2003956974
abx_mega__rif_dmso__2,-2.0365480829,0.0495080439,-0.057831827200000005,-0.5990711827,-0.2010869699,0.5921709736,-0.12345032310000001,-0.659556922,0.7366740108000001,1.2289118433,0.5317095390000001,2.9609511125,-0.08934273300000001
abx_mega__amyc-d_dmso__4,1.1186412417,0.1269072554,0.2395290558,-0.6706961768,1.2525770415,-0.0094705181,-0.29047334280000003,-0.5482364304,0.11133876420000001,0.2054545271,0.9360842386,1.1691104029,0.6142965370000001
abx_mega__teix_dmso__3,-0.572991232,-0.7659606593,-0.20133303330000002,-0.2693361888,-0.2896248806,-0.4561578704,-0.054144064500000005,-0.1455592358,0.3730632842,-0.7865016003,0.0201775326,-0.8829516493,0.260286065
abx_mega__valin_dmso__1,-1.6929460103,-1.1675201527,0.0977400786,-0.6643900960000001,-0.5997892775,0.207958363,-0.1193019948,-0.6506498564000001,-0.7015762992,1.3875212687,-0.1146899157,2.3278387895,0.16706967650000001
abx_mega__teix_dmso__4,-0.0315238053,-0.1141747367,-0.1731119247,0.0537517973,0.1237988565,-0.1387916147,-0.038148285500000004,-0.0665078507,-0.014879051,0.1713897229,0.2708414096,0.09696712810000001,0.1257857565
abx_mega__ethanol-10__1,0.6021587604,-0.9625637421000001,0.1487678026,0.21829830690000002,-1.5734086149,-0.2722179079,0.2665140512,0.0163008612,-0.4463878691,-1.4334212847,-0.1572171319,0.0676108696,-0.7342629081000001
abx_mega__inh_h2o__1,-0.8856668929,-1.1999592471,-0.1154322348,0.059987513900000004,-1.8638919299,-0.37888039020000003,0.045553327000000005,0.3281616036,-0.1574194362,-2.0359981949,-1.0886919379,-0.5019597579,-1.0978060964
