,A,RhaR,RhaS,ExuR,YdfH
omics__bw_glc__2,-0.5607686263,0.7112526250000001,-0.140444809,0.400685734,-0.36926973300000004
omics__bw_pyr__1,1.074681201,1.704833588,-0.155906184,-0.043616629000000004,-0.511856407
omics__bw_pyr__2,1.7037382075,2.378083163,1.3079911499999999,-0.12560748,-0.445497058
ompr__wt_nacl__1,-3.9478002234,-0.304365215,-0.7842905950000001,0.13101448000000002,-1.199733404
ompr__wt_nacl__2,-3.8125630383,0.058326531,-0.472387092,0.25234264900000003,-0.9339343360000001
ompr__bw_delompr_nacl__1,-3.6364213236,0.11769257600000001,-0.6464410110000001,-0.968322694,-0.684068774
ompr__bw_delompr_nacl__2,-4.6490942837,0.141938337,-0.406015915,-0.83652996,-0.6525213160000001
minspan__wt_ade__1,-2.3378184845,0.5063102380000001,-0.180825796,0.15299378500000002,0.44503502300000003
minspan__wt_glc__2,-0.7821955102,0.440926299,-0.5005025470000001,-0.619594634,-0.296948406
minspan__wt_glc__3,-0.9621542751000001,0.366463299,-0.327209694,-0.531580687,-0.016024231
minspan__wt_glc__4,-0.8866521796,-0.176022797,-1.031864907,-0.640006987,-0.13842485100000002
minspan__wt_glc_anaero__1,-1.8355006308,0.626169329,-0.15305371,-0.39910083700000004,0.47701539400000004
minspan__wt_glc_anaero__2,-2.7626842915000003,1.429183268,-0.9796166420000001,-0.42542222100000004,0.626321835
minspan__wt_trp__1,0.2819620158,1.7193112990000001,0.311268522,0.089987837,0.23096794
minspan__bw_delcra_glc__2,-0.7356992804,0.387764219,-0.465158055,-0.033138276,-0.140907879
minspan__bw_delcra_trp__1,0.32025264400000003,1.459202104,-0.5862281030000001,-0.07624489999999999,0.168558379
minspan__bw_delmntr__1,-0.0130351557,1.016315863,0.064785111,0.079428565,0.426043861
minspan__bw_delnac_ade__1,-1.446119422,1.112668995,-0.14627145800000002,0.05423487900000001,0.259308444
minspan__bw_delnac_glc__1,-0.41482436840000003,0.47896327,-0.5309113870000001,-0.5407658280000001,-0.19705867700000002
cra_crp__wt_ac__1,1.6589345379,2.5052557,0.9795736310000001,0.284271229,-0.018064679
cra_crp__wt_ac__2,1.3647221388,2.5103789670000003,0.9201626860000001,0.219972826,0.005506535000000001
cra_crp__wt_fru__1,0.8561698297,1.05220541,0.706853225,0.276373864,-0.152148648
cra_crp__wt_fru__2,1.1834704725,0.873153072,0.35904772900000004,0.33745813900000005,-0.15539370500000002
cra_crp__delcra_ac__1,2.6583979812000003,1.8553220860000001,1.280281968,0.618977018,-0.372739824
cra_crp__delcra_ac__2,2.5486392041,2.002200953,1.463515383,0.553978645,-0.316556873
cra_crp__delcra_fru__1,-2.1918805696,0.23924724100000003,-0.535620626,-0.013632069,-0.57161224
cra_crp__delcra_fru__2,-2.1873837742,0.35471860600000005,-0.041672354,0.155959217,-0.741663752
cra_crp__delcra_glc__1,-1.0961875182,-0.19453071300000002,-0.411275125,0.000173969,-0.44017180300000003
cra_crp__delcra_glc__2,-1.1101323082,-0.108609036,-0.301177825,-0.060449451,-0.511977207
rpoB__wt_031__1,0.9459342751,2.526673496,1.58316045,0.093445649,-0.12169930300000001
rpoB__wt_044__1,-1.0465902593,0.397760465,0.19167536300000002,-0.204303536,-0.085821718
rpoB__wt_lb__1,3.5394472026,1.9129645370000001,1.526620724,-0.418105748,-1.1701708530000001
rpoB__wt_lb__2,2.9978443760999998,1.955736178,1.538417492,-0.41778582400000003,-1.15111209
rpoB__rpoBE546V_031__1,1.3899305429,1.809316637,0.863650334,0.122612998,-0.29652527
rpoB__rpoBE546V_044__1,1.1317060098,2.064592515,0.982373715,-0.079567626,-0.10507383000000001
rpoB__rpoBE546V_lb__1,3.7901374498,2.233128423,1.237959512,-0.37805287,-0.746453612
rpoB__rpoBE546V_lb__2,3.5078353005,1.898415127,1.133218433,-0.22626796600000001,-0.804424479
rpoB__rpoBE546V_glc__1,0.0006222013000000001,0.907172108,0.130552587,-0.31265717800000004,-0.02493252
rpoB__rpoBE672K_glc__1,-0.731939694,-0.743891241,-0.5674371570000001,-0.573622698,-0.33278006800000004
rpoB__rpoBE672K_glc__2,-0.8440575823,-0.6952203,-1.5549815599999999,-0.42460479700000003,-0.094185294
rpoB__rpoBE672K_lb__1,1.0194413491,1.068498789,0.41751659700000004,-0.544907844,-0.896126013
rpoB__rpoBE672K_lb__2,2.2170249996,0.8633845720000001,0.166099393,-0.49631488300000004,-1.054053503
crp__wt_fru__1,2.1638763296,0.838523875,0.075048236,-0.283887013,-0.322458136
crp__wt_glyc__1,2.1077771322,1.199010909,0.119559494,-0.346917856,-0.49766710500000005
crp__wt_glyc__2,1.5192251103999999,1.4621339500000001,0.16573643600000001,-0.32687417100000005,-0.40065229900000005
crp__delar1_glyc__1,-0.9448031003,1.115231651,0.7140547460000001,1.024525985,-0.224704004
crp__delar1_glyc__2,-0.7419357406,1.622942519,1.066312072,1.016313001,0.020021847000000002
crp__delar1ar2_glyc__1,-1.7648967967,0.8120758220000001,0.900443403,0.098521283,-0.11773074400000001
crp__delar1ar2_glyc__2,-1.8993174340999999,0.20215491400000002,0.526191472,0.204727698,-0.07772891700000001
crp__delar1ar2_glyc__3,-2.400087619,0.6719818320000001,0.23333040300000002,0.15701978700000002,-0.222359781
crp__delar2_glyc__1,3.7384018613,1.401314913,2.268718783,0.254904185,-0.9889795010000001
crp__delar2_glyc__2,4.6060573197,1.355357925,2.344474061,0.24180024500000002,-0.7878194890000001
crp__delar2_glyc__3,4.1840244296,1.411851787,2.046962001,0.38002887700000004,-0.45007316100000005
crp__delcrp_fru__1,-2.6197434721,-0.23251506600000002,-0.30006222200000005,0.052125728,-0.23997078900000002
crp__delcrp_fru__2,-2.9173401634,0.348273908,-0.11557279300000001,0.040225792,-0.375618351
crp__delcrp_fru__3,-1.6496121745,0.797768374,-0.26678037400000004,-0.010417472,-0.369849382
crp__delcrp_glc__1,-1.5455120237000002,0.44767463300000004,-0.053585052,0.11910807400000001,-0.17703108
crp__delcrp_glc__2,-1.5055580591000002,0.734150241,0.26910899,0.089396189,-0.134528179
crp__delcrp_glc__3,-2.1934610914,0.130293516,0.368728186,0.121759501,-0.013902335
crp__delcrp_glyc__1,-1.9350290172,-0.376767503,0.15383204,0.062972206,-0.513546853
crp__delcrp_glyc__2,-2.358049709,0.386897254,-0.27575908400000004,0.054712666,-0.548211337
crp__delcrp_glyc__3,-2.1241953209,-0.14222822000000002,0.038543597000000006,0.041417334,-0.508947979
glu__glu_ale3__1,-1.5945193916,0.865896938,-0.551667839,1.4068053090000001,-0.825330486
glu__glu_ale4__1,-0.249445449,0.10918682,-0.029652475,-0.25339237600000003,-0.788950555
glu__glu_ale5__1,2.3393043731,-0.31526139200000003,-0.22083461000000001,-0.230590536,-1.186137777
glu__glu_ale6__1,0.9409497434,-0.49646361200000005,-1.24940019,-0.426789264,-0.5697440650000001
glu__glu_ale8__1,1.2329227329,1.145166318,-0.20944520400000002,1.393459265,-0.16838012300000002
glu__glu_ale9__1,0.4289910294,0.6217983490000001,-0.556721255,1.075437222,-0.602740362
glu__glu_ale10__1,-0.7522721821,0.46425373200000003,-0.545025144,1.20025588,-0.7743396990000001
42c__wt_42c__1,-1.1876729739,0.812280569,-0.47380368,-0.026437767,-0.350704573
42c__42c_ale1__1,0.8187205792000001,1.496706692,0.15729468,0.640652984,0.09630237800000001
42c__42c_ale2__1,0.7555612532,0.332067561,-0.521094852,0.46509699800000004,-0.8200510590000001
42c__42c_ale3__1,-0.6445141106000001,0.87091717,-0.527570665,0.130670286,0.070910768
42c__42c_ale4__1,0.8201247526000001,0.7065014820000001,0.303963835,1.6545640910000001,0.36115143200000005
42c__42c_ale5__1,-0.1486897072,-0.047699049,0.13352598400000001,-0.255161609,0.203180673
42c__42c_ale6__1,4.5925044772,1.3248792790000001,0.8333665830000001,0.9189626870000001,0.5216297470000001
42c__42c_ale8__1,2.3795313286,0.550997739,0.33336794200000003,1.819636289,0.135248015
42c__42c_ale9__1,0.3032482016,0.838694575,0.16468401300000002,0.007157358000000001,0.021173588
42c__42c_ale10__1,0.3486967576,0.8512101320000001,0.112791136,1.527218037,0.5325224940000001
ssw__wt_ac__1,3.0146081775,2.317345389,0.734216521,0.08673973600000001,-0.916807679
ssw__wt_glc__1,-3.3806142286,0.14182470700000002,-1.064514613,-0.14366098200000002,-0.17860883700000002
ssw__wt_glyc__1,-0.0082260322,2.544916055,1.127868967,0.590051051,0.13188370900000002
ssw__wt_xyl__1,-0.8928288331,1.709758517,-0.151642955,0.752115375,0.5039788780000001
ssw__glc_ale1__1,1.6308662108,1.9461621550000001,0.568470219,0.27877143,-1.228050928
ssw__glc_ale2__1,-0.0521291703,0.7941426210000001,-0.544337171,0.5372553720000001,-0.32014891300000003
ssw__glc_ale3__1,-0.44596958940000003,1.154470098,-0.546109668,0.231943626,0.641324926
ssw__glyc_ale1__1,0.2006826902,1.9927460090000002,0.5956417970000001,0.410277918,-0.6669792830000001
ssw__glyc_ale2__1,-1.2116554978,1.371389205,-0.0013312999999999999,-0.018311039,0.573832405
ssw__xyl_ale1__1,0.3856607228,2.787701357,1.332835199,0.362331059,-0.7359641950000001
ssw__xyl_ale2__1,1.6960049751000001,2.236468338,1.199502023,0.22382692,-0.5153202840000001
ssw__xyl_ale3__1,2.2479469567,2.732501814,1.354944668,0.31381167600000004,-0.655320443
ssw__glc_ac_ac2__1,-1.0778762405,1.132259718,-1.023272495,-0.05402225,0.38659669100000005
ssw__glc_ac_glc1__1,1.5837037513999999,2.108951975,0.383531161,0.278486191,-0.40145565600000005
ssw__glc_glyc_glc__1,0.6940455481000001,1.040500205,0.26591633600000003,0.8162505720000001,-1.064800214
ssw__glc_glyc_glyc__1,1.593481399,2.900256549,1.1248179010000001,0.598499073,-1.7905968780000001
ssw__glc_xyl_glc__1,1.1330435821,0.29568788,-0.329421872,0.114799939,-0.595047887
ssw__glc_xyl_xyl__1,-0.1247057746,0.9173820930000001,0.47954379,-0.45166161800000004,-0.9647942020000001
ica__wt_glc__1,0.9068131983000001,0.523433088,-0.667262918,-0.369479596,-0.640430966
ica__wt_glc__2,1.1897126648,0.066198637,-0.34401593900000005,-0.293677974,-0.515938611
ica__wt_glc__3,0.7832023545,0.200110592,-0.039075393,-0.235340821,-0.43088019600000005
ica__wt_glc__4,0.0509398743,0.238605016,0.165444863,-0.207042734,-0.59897481
ica__arg_sbt__1,1.9625746077000001,1.734283343,0.663596661,0.061058849000000005,-1.048915491
ica__arg_sbt__2,2.0889772428,1.6332390920000002,0.285723753,0.28742074300000003,-0.689397178
ica__cytd_rib__1,3.039062327,2.515873083,1.6342415799999999,0.053541949000000005,-1.269202934
ica__cytd_rib__2,2.3634492291,2.553905911,1.969052405,0.021540419,-1.259618916
ica__gth__1,-1.7959593143,0.17500537100000002,-0.15417656600000001,0.106956828,-0.40501294800000004
ica__gth__2,-1.328707072,-0.266152626,0.045990299000000005,-0.0416994,-0.426141097
ica__leu_glcr__1,-0.6738073516,0.33089618,-0.10790505600000001,-0.252315744,-0.173623833
ica__leu_glcr__2,-0.7280229459,0.469925444,-0.63920317,-0.38263861800000004,-0.34354786
ica__met_glc__1,-0.0952944371,-0.29487730700000003,-0.412791106,-0.566137903,-0.602172263
ica__met_glc__2,0.5202149668,0.058324453000000005,-0.40164873900000003,-0.595864721,-0.5741878380000001
ica__no3_anaero__1,-2.0864817986,-0.078645675,-0.6526888240000001,-0.178871946,-0.418083052
ica__no3_anaero__2,-1.8755713137,-0.161010108,-0.368102686,-0.143089389,-0.37631615
ica__phe_acgam__1,-0.0662528886,-0.056062701000000006,-0.43730599000000003,-0.38722815400000005,-0.6421190560000001
ica__phe_acgam__2,-0.1617254672,0.20763979200000002,-0.18900834600000002,-0.35883843,-0.596147249
ica__thm_gal__1,1.4009254452,1.652339999,0.639294286,-0.176180904,-0.555141498
ica__thm_gal__2,1.2725861668,1.8185402370000001,0.7832350570000001,-0.155425844,-0.557926468
ica__tyr_glcn__1,0.4361959575,0.33007622200000003,-0.32979679900000003,-0.49717711800000003,-0.6470972610000001
ica__tyr_glcn__2,0.25505831830000003,0.206179723,-0.23325595100000002,-0.41371786,-0.529304616
ica__ura_pyr__1,0.7907722464,0.7815117610000001,-0.31318189900000004,-0.337224104,-0.570073006
ica__ura_pyr__2,1.7664806917,1.2853881,0.682742839,-0.51956209,-0.77302159
ica__wt_glc__5,-1.1281661991,-0.1423819,-0.242748485,-0.214732838,-0.32845275
ica__wt_glc__6,-0.4094119174,0.32949336100000004,-0.41668406,-0.265717873,-0.458587503
ica__bw_delpurR_cytd__1,-0.2043565082,-0.145965967,-0.7289062310000001,-0.319764498,-0.504099018
ica__bw_delpurR_cytd__2,-1.0135610488,0.26663638,0.039188335000000005,-0.083458499,-0.38925397100000003
ica__ade_glc__1,-1.5088233259,0.32642428100000004,-0.33970583,-0.18475997200000002,-0.278385624
ica__ade_glc__2,-0.16715596400000002,0.17980159999999998,-0.933833263,-0.14853612300000002,-0.500088434
ytf__wt_glc__1,-0.9546887649,0.21564803500000002,0.07538439400000001,0.62957006,-0.8219467770000001
ytf__wt_glc__2,-1.135811362,0.5177343950000001,-0.16350651200000002,0.799228067,-0.46537567500000004
ytf__delyafC__1,-0.315092174,0.884536007,0.27534379000000003,0.386311163,-0.019587939000000002
ytf__delyafC__2,-1.1425933584,0.737847963,0.42452691800000003,0.440975059,-0.194215255
ytf__delyeiE__1,-1.7548854646,0.011428448,-0.001042799,0.15824057300000002,0.148422826
ytf__delyeiE__2,-1.5423250216,0.048058756,0.045747675,-0.059598409000000005,-0.028843335
ytf__delyiaJ__1,-1.2246795292,0.99739269,0.34224408300000003,0.428315302,-0.154882519
ytf__delyiaJ__2,-1.8375983417000001,0.33670008300000004,0.075657349,0.58307262,-0.128931882
ytf__delyieP__1,0.0349979505,0.932365748,-0.038630553000000005,0.541301487,0.278370644
ytf__delyieP__2,-1.0252040868,0.8047498930000001,-0.34102327600000004,0.673550328,0.134297104
ytf__wt_ph5__1,-1.5961004963,0.7944706460000001,-0.23784223100000002,-0.07680042100000001,-0.176784932
ytf__wt_ph5__2,-1.9106477143,0.5257257590000001,-0.139507877,0.0009145,-0.23732866
ytf__wt_ph8__1,0.1238763818,-0.214164759,-1.070248958,0.11252587200000001,-0.6929101750000001
ytf__wt_ph8__2,0.9780939404000001,-0.025453823,0.12762500400000001,0.179571812,-0.7156889630000001
ytf__delybaO__1,-0.2501280714,1.5111421219999999,0.6615163,0.401006185,0.052001879
ytf__delybaO__2,-0.2681730349,1.322500283,0.241888026,0.46497223600000004,0.317251769
ytf__delybaQ__1,-0.2579331845,0.07056005700000001,0.09808953000000001,-0.138670551,-0.37264972100000004
ytf__delybaQ__2,-0.7189439975,0.134116751,-0.35480397,-0.175025806,-0.463364924
ytf__delybiH__1,-0.7164114497,0.399192256,-0.202170379,1.024841186,-0.880625619
ytf__delybiH__2,-0.0381293653,0.582788909,-0.056350216,0.996832087,-0.48642013800000006
ytf__delydcI_ph5__1,-1.2566041233,0.017960324,-0.11343549,-0.18564934,-0.206029011
ytf__delydcI_ph5__2,-1.2603320181,0.054106641000000004,-0.286286704,-0.232851152,-0.36356568300000003
ytf__delydcI_ph8__1,0.3931790717,-0.343043676,-0.6062471770000001,0.31929287100000003,-0.87520863
ytf__delydcI_ph8__2,-0.16291152150000002,0.178200503,-0.6756758180000001,0.120461494,-0.654846797
ytf__delyddM__1,-2.1063270537,0.23076942600000003,-0.12166642700000001,-0.049241275,-0.302317773
ytf__delyddM__2,-1.918021767,0.0071523260000000005,-0.44067359,-0.02174808,-0.17101728700000002
ytf__delyheO__1,0.051648217,1.17630657,0.50575337,0.22406979900000001,-0.20113703400000002
ytf__delyheO__2,0.27287505370000004,1.480195728,0.301813928,0.472213547,-0.102589657
fps__bw_glc__1,0.84637628,0.627553864,0.154249465,0.046614763000000004,-0.12046638500000001
fps__bw_glc__2,0.4199535907,0.142686277,-0.30527612800000004,6.9474e-05,-0.43435761700000003
fps__fps_thrA_ale1__1,-0.5834785496,-0.40400108100000004,-0.8551637820000001,0.070647128,-0.304414446
fps__fps_thrA_ale1__2,-1.2578000379,0.192250562,0.022704453000000003,-0.003993465,-0.34670482
fps__fps_thrA_ale2__1,-1.4214279511,0.399072772,0.082398074,-0.174842302,-0.38306525900000005
fps__fps_thrA_ale2__2,-1.4295604644,-0.008845493000000001,-0.5051882040000001,0.00982184,-0.26806429400000004
fps__fps_serB_ale1__1,-0.33517411890000004,0.354395036,-0.134135793,-0.00119683,-0.346725646
fps__fps_serB_ale1__2,-0.0407082197,0.357921566,-0.148275239,0.011082924000000001,-0.253429778
fps__fps_serB_ale4__1,-1.1357837505,0.434375025,-0.5069145230000001,0.126282514,-0.475275433
fps__fps_serB_ale4__2,-1.7751237224,0.9446761140000001,-0.165861497,0.30320318500000004,-0.195199371
fps__fps_ptsI_ale1__1,3.023745374,1.5825709520000002,0.370666351,-0.22791670800000002,-1.147981891
fps__fps_ptsI_ale1__2,3.3990591075,1.059082394,0.735087139,-0.203484025,-0.912433543
fps__fps_ptsI_ale3__1,2.2852986219,1.271772651,0.39901080600000005,-0.237088021,-0.812111515
fps__fps_ptsI_ale3__2,2.9864577026,1.112118965,0.61088548,-0.14913521500000002,-0.8149060920000001
pal__lyx_ale2_f6__1,3.4018321894,2.542626731,1.528567061,0.46542135900000003,-0.259329874
pal__lyx_ale2__1,3.3640565124,2.396396082,1.487356939,0.13882255400000001,-0.857822996
pal__lyx_ale2__2,3.5420018168,2.355015819,1.005934827,0.24017370200000002,-0.832785403
pal__lyx_ale4__1,3.2033584948,1.782040431,0.8846414850000001,-0.17649836700000002,-1.136563811
pal__lyx_ale4__2,2.5334473913,1.670728294,0.971807893,-0.27749682800000003,-1.103433302
pal__5drib_ale10_f18__1,5.3801541725,4.038576807,2.8307329450000003,0.772117652,-0.29891802500000003
pal__5drib_ale10_f18__2,5.0476551764,3.884626225,2.344983843,0.7843016690000001,-0.37993020600000005
pal__5drib_ale10__1,5.4678324531,3.470906382,2.03099701,0.23692467800000003,-0.25894478
pal__arab_ale14_f9__1,1.9213945824,1.7607459300000001,0.60765119,1.635441573,-0.587960731
pal__arab_ale14_f9__2,1.4171785628,0.42716728400000004,0.192442409,1.734503544,-0.6820332130000001
pal__arab_ale14__1,-0.5270454473,0.27802402200000004,0.099478225,0.371585178,-0.658455828
pal__arab_ale14__2,1.1477391441,0.591050194,-0.15754354,0.5267652810000001,-0.682214392
pal__arab_ale16__1,1.7553302557000001,2.359454812,1.224996735,0.608630809,0.108673272
pal__arab_ale16__2,2.8403869858,2.542932468,1.3809181160000001,0.9775755960000001,-0.013422761
pal__tartr_ale26_f10__1,2.3392914371,3.2743503240000003,1.6810732480000001,0.029142011000000002,-0.13491033600000002
pal__tartr_ale26_f10__2,1.6441578984,2.856096738,2.241254075,0.12117375200000001,-0.054770366
pal__tartr_ale26__1,2.1243374987,2.805927773,1.884354432,-0.020027991000000002,-0.28648333600000003
pal__tartr_ale26__2,1.960045595,3.132720688,1.992727922,-0.157051475,-0.310481383
pal__tartr_ale28_f10__1,3.560047054,2.162050966,1.648182622,0.178863406,-0.906542096
pal__tartr_ale28_f10__2,2.7400307592,2.615587332,1.608803028,0.19364203200000002,-0.618134794
pal__tartr_ale28__1,1.965525329,1.960578111,1.16278707,0.202957077,-0.5392525260000001
pal__tartr_ale28__2,1.098135828,2.817516341,0.8688197230000001,0.30778341400000003,-0.25176075800000003
efeU__delmenFentC_citr__1,-0.19072237900000003,0.6339127910000001,-0.042282744000000004,-0.150636612,-0.664378476
efeU__delmenFentC_citr__2,0.050911513500000005,0.185927284,-0.194317697,0.23074243,-0.793986889
efeU__delmenFentC__1,-1.2220661995,0.35027119100000004,-0.807107871,0.360504759,-0.602405099
efeU__delmenFentC__2,-1.1765706323,0.325199813,0.019248435,0.37120740100000005,-0.5177320940000001
efeU__menFentC_ale39__1,1.3375696344999999,1.609572814,0.015169689,0.586921445,-0.6045252010000001
efeU__menFentC_ale39__2,1.2538826255,1.5229169009999999,0.156209644,0.5200505980000001,-0.47531755900000006
efeU__menFentC_ale29__1,1.4505619102,0.48529411800000005,-0.7129116050000001,1.146126704,-0.31838995600000003
efeU__menFentC_ale29__2,1.1707784733,0.756756451,-0.094789755,1.209384219,-0.148468027
efeU__menFentC_ale30__1,0.0639520884,1.02855247,0.311820356,-0.303996865,-0.22770958300000002
efeU__menFentC_ale30__2,0.3958936279,0.307010492,-0.546263029,-0.291366819,-0.19494127700000002
efeU__menFentCubiC_ale36__1,-1.1796677303,0.493730512,-0.6027240150000001,-0.204501711,-0.189786545
efeU__menFentCubiC_ale36__2,-1.4697391255,0.338278067,-0.269653421,-0.12486440200000001,-0.18841236800000002
efeU__menFentCubiC_ale37__1,-1.6019922735,0.21237470900000002,0.056707681,-0.07396127100000001,-0.048827083
efeU__menFentCubiC_ale37__2,-2.2498607564,0.150940181,-0.089633374,-0.11009497100000001,-0.17463088400000001
efeU__menFentCubiC_ale38__1,-1.5880224944,0.27879341,-0.39018338300000005,-0.17222462900000002,-0.057274754000000004
efeU__menFentCubiC_ale38__2,-1.1223895002,0.450669115,-0.447728428,-0.261421398,-0.178538957
misc2__salc_glc__1,-1.6512381315,-1.35930584,-0.804268775,1.185984035,0.09463950500000001
