,A,GutM,SrlR
cra_crp__delcra_glc__1,0.1692827505,-0.5589312535000001,-0.145235111
cra_crp__delcra_glc__2,0.5053529363,0.0863202555,-0.14048222500000002
rpoB__wt_031__1,3.4928715715,-0.0919991065,0.9064952860000001
rpoB__wt_044__1,-0.7195562192,-0.7875291315,0.0054700320000000005
rpoB__wt_lb__1,6.7638546683000005,0.058789666500000004,0.542776449
rpoB__wt_lb__2,7.1839225448,0.2676284055,0.590819124
rpoB__rpoBE546V_031__1,1.0996575723,-0.7792004545000001,0.30961123900000004
rpoB__rpoBE546V_044__1,0.765677693,-1.9205814985,0.032588286
rpoB__rpoBE546V_lb__1,7.2011288367,0.8477294495000001,0.781707365
rpoB__rpoBE546V_lb__2,7.2238816714,0.3490659365,0.696628333
rpoB__rpoBE546V_glc__1,1.2520673502,0.1980045655,-0.011810938
rpoB__rpoBE672K_glc__1,0.7456002815,-0.7808999765,-0.255029761
rpoB__rpoBE672K_glc__2,0.6533871907000001,-0.49076010750000004,-0.605316476
rpoB__rpoBE672K_lb__1,4.9005632183,-2.0775745655,-0.556912261
rpoB__rpoBE672K_lb__2,5.0778435439,-1.8723499065,-0.400094424
crp__wt_fru__1,2.9433814299,0.30871130350000003,0.048742258000000004
crp__wt_glyc__1,3.1719045143,-0.2746589975,-0.055836899999999995
crp__wt_glyc__2,2.5102896761,-0.5921157805,-0.000538583
crp__delar1_glyc__1,3.1528823775,0.4461729115,1.073018459
crp__delar1_glyc__2,3.5581375415,0.19521652450000002,1.306350401
crp__delar1ar2_glyc__1,0.19669504840000002,0.4536193605,-0.026577241
crp__delar1ar2_glyc__2,-0.1722274821,0.18174228850000002,0.15856344800000002
crp__delar1ar2_glyc__3,-0.6581061001,0.0169077025,0.234220051
crp__delar2_glyc__1,1.4135845747,-0.6056798845,0.561213209
crp__delar2_glyc__2,1.6956430895999999,0.0867529895,0.622728575
crp__delar2_glyc__3,1.7367348782,0.41986568350000003,0.943683373
crp__delcrp_fru__1,-1.1539354796,0.1957563565,0.114581762
crp__delcrp_fru__2,-1.8216977436000001,-0.0105467285,-0.024616413
crp__delcrp_fru__3,-1.4647485664,0.16231713250000002,0.253733558
crp__delcrp_glc__1,-1.4833629666,0.3621028445,-0.098709536
crp__delcrp_glc__2,-1.2624529594,0.42877730750000004,-0.351938038
crp__delcrp_glc__3,-2.114140279,-0.2541635705,-0.32096055300000004
crp__delcrp_glyc__1,-0.9698578082,-0.1593499655,-0.41557883100000004
crp__delcrp_glyc__2,-0.4828852659,0.3510886415,-0.036071376
crp__delcrp_glyc__3,-1.5687632571,-0.2829220005,-0.208759716
glu__glu_ale3__1,3.0279292437,0.6935891825,1.658687499
glu__glu_ale4__1,3.9064220924,0.1069041575,0.28160202900000003
glu__glu_ale5__1,3.3662308068,-0.7090119335,0.14069694500000002
glu__glu_ale6__1,2.5318203889,-0.41287627450000003,-0.543466157
glu__glu_ale8__1,3.3823786266,0.7735297035,2.059734389
glu__glu_ale9__1,2.2343339803,0.0571278755,1.264562404
glu__glu_ale10__1,1.0868964347,-0.061330218500000006,1.499743363
42c__wt_42c__1,2.5971656607,-0.3301756075,0.5418136560000001
42c__42c_ale1__1,7.0599606844,1.4073673745,2.237862109
42c__42c_ale2__1,3.0741271757,0.0704966125,0.22766789999999998
42c__42c_ale3__1,0.1025282914,0.4470069645,-0.13851870300000002
42c__42c_ale4__1,2.5517962414,1.0273555565,1.173728213
42c__42c_ale5__1,-0.5976385538,0.0169801165,0.016085721
42c__42c_ale6__1,6.5527161818,1.0959640175,1.574089083
42c__42c_ale8__1,1.8208400516,1.1753102955,1.844156339
42c__42c_ale9__1,0.7987615254,0.07405292050000001,0.41661534100000003
42c__42c_ale10__1,2.4246137899,1.0737096965,1.981412656
ssw__wt_ac__1,1.6810043056000001,0.056652296500000004,0.274249687
ssw__wt_glc__1,-2.0992029953,0.12319469350000001,-0.18727986
ssw__wt_glyc__1,3.7108947761,0.42140226350000004,0.280088075
ssw__wt_xyl__1,1.3053783037,0.8031527935,-0.061034901
ssw__glc_ale1__1,1.5060689557,-0.3916400085,0.447370374
ssw__glc_ale2__1,0.0700250366,-0.060458131500000005,1.265416614
ssw__glc_ale3__1,1.5094289556,-0.4176505915,1.40889166
ssw__glyc_ale1__1,0.7066590684,-0.0222870595,0.570168122
ssw__glyc_ale2__1,2.0567463378,0.1484434865,1.207949924
ssw__xyl_ale1__1,1.0553922168,1.1146552965,0.451951194
ssw__xyl_ale2__1,0.5366754723,-0.39359655450000003,0.428586575
ssw__xyl_ale3__1,1.6925616668,0.5151435525,0.477617088
ssw__glc_ac_ac2__1,3.3039461342,0.6120238945,1.465980104
ssw__glc_ac_glc1__1,-0.0061709204,0.054023006500000005,-0.7783692790000001
ssw__glc_glyc_glc__1,0.8443954815,0.4378036095,0.752331582
ssw__glc_glyc_glyc__1,1.0655419514,-0.7425926945,0.891759351
ssw__glc_xyl_glc__1,0.1653405507,-0.9737330925000001,1.026535651
ssw__glc_xyl_xyl__1,1.2000204718,-0.7763673805,-0.08986197400000001
ica__wt_glc__1,3.0326871311,-0.7690555935000001,0.11796347700000001
ica__wt_glc__2,2.3232953403,-0.6640758685,-0.007610735
ica__wt_glc__3,1.317356145,-1.4163893965,0.13727471800000002
ica__wt_glc__4,0.6010948008,-1.0813504295,0.074934005
ica__arg_sbt__1,24.7072159204,5.5566504585,3.513518397
ica__arg_sbt__2,23.9448089026,5.5727780945,3.4139001110000002
ica__cytd_rib__1,10.3059162475,0.9157640335,1.6768140580000002
ica__cytd_rib__2,10.0482355573,0.8176364535,1.5689416870000001
ica__gth__1,-1.7120176731,-0.23323857350000002,-0.47830912200000003
ica__gth__2,-1.7281002189999999,-0.8427697195,-0.582185717
ica__leu_glcr__1,2.4388894352,-0.9082764345000001,0.19456251300000002
ica__leu_glcr__2,2.2438120024,-0.5820529135,0.193007014
ica__met_glc__1,1.9358872099000002,-1.9154207815,0.12646094300000002
ica__met_glc__2,1.5335250533,-1.2823809405,-0.084795111
ica__no3_anaero__1,0.0987322328,-0.0802433395,0.389002079
ica__no3_anaero__2,-0.362149861,-0.1431910805,0.440279701
ica__phe_acgam__1,2.1847547088,-0.3627583735,-0.06188481
ica__phe_acgam__2,2.1043572267,-0.9177462705,-0.022418952000000002
ica__thm_gal__1,5.1154626139,0.0060769615,0.183758092
ica__thm_gal__2,5.7866781497,0.31962072750000003,0.057880948
ica__tyr_glcn__1,0.47236274600000006,-1.0057950205,-0.09489090700000001
ica__tyr_glcn__2,0.9252350114000001,-1.0737806815,0.11337644100000001
ica__ura_pyr__1,0.9560039425,-0.5726556145,0.363773098
ica__ura_pyr__2,0.2533950096,-0.5986735405,0.47941238500000005
ica__wt_glc__5,2.2321251229,-0.5257675495,0.00892864
ica__wt_glc__6,2.0085055821,-0.6079702005000001,0.076102717
ica__bw_delpurR_cytd__1,1.6341649716000002,-1.2074306205,-0.020750963
ica__bw_delpurR_cytd__2,0.0587173997,-1.0503438704999999,-0.21229461700000002
ica__ade_glc__1,0.14200869100000002,-1.2876621385,-0.262506258
ica__ade_glc__2,1.1356075457,-1.1034070865,0.096100951
ytf__wt_glc__1,0.6646210297,-0.6869943955000001,0.8324981250000001
ytf__wt_glc__2,0.8565661994,-0.0808746325,1.360937953
ytf__delyafC__1,5.3080374886,0.8306051095,1.875728666
ytf__delyafC__2,4.3010038122,0.5139837945,1.856515011
ytf__delyeiE__1,2.1012863543,0.0958981455,0.637694037
ytf__delyeiE__2,2.0603550555,-1.1132368565,0.356324558
ytf__delyiaJ__1,1.680669948,0.25219713250000003,1.785009374
ytf__delyiaJ__2,1.3364765926,0.2199882185,1.348357168
ytf__delyieP__1,1.2723373087,0.1432890755,1.946342672
ytf__delyieP__2,0.9864182403,0.0650495755,1.796509614
ytf__wt_ph5__1,0.10586371400000001,-0.2428677375,0.452649112
ytf__wt_ph5__2,-0.3605432505,-0.29628689550000004,0.560188969
ytf__wt_ph8__1,-0.8186886351,0.1370638275,0.20969504500000002
ytf__wt_ph8__2,-0.8641421965,-1.8985047815,0.5278832130000001
ytf__delybaO__1,5.4935647084,0.5583042305,1.974868314
ytf__delybaO__2,3.8737280408,0.18625547650000002,2.099645025
ytf__delybaQ__1,0.8329664542,-0.054626374500000005,0.229517459
ytf__delybaQ__2,0.4165826926,-0.0514984245,0.28307754500000004
ytf__delybiH__1,1.5224599956,-0.5079177125000001,1.204010658
ytf__delybiH__2,1.6642237643,0.0411485565,1.974889182
ytf__delydcI_ph5__1,-0.033501693400000004,-0.7796422295000001,0.36732970800000003
ytf__delydcI_ph5__2,-0.8311984361,-1.3822389595,0.516452771
ytf__delydcI_ph8__1,-0.34787512460000003,-0.6158641805,0.32986630100000003
ytf__delydcI_ph8__2,-0.2685873435,-0.2290609005,0.347725606
ytf__delyddM__1,-0.8371936408,-0.6297208695000001,0.27678361500000004
ytf__delyddM__2,-1.4726096139,-0.9339467265,0.12086249700000001
ytf__delyheO__1,5.4995474914999996,0.4503563185,1.645589215
ytf__delyheO__2,4.7413649488,0.6243239395,2.103301871
fps__bw_glc__1,-0.35177049590000004,-0.3124158335,0.064668636
fps__bw_glc__2,0.06709263310000001,-0.7223638375,0.17582793200000002
fps__fps_thrA_ale1__1,-1.4264617575,0.32125393150000003,0.087441084
fps__fps_thrA_ale1__2,-1.1448370352,-0.2902987285,0.083369969
fps__fps_thrA_ale2__1,-2.4134359491,-0.5480122675,0.148466743
fps__fps_thrA_ale2__2,-2.0396142898,-0.5739263515,0.25489305900000003
fps__fps_serB_ale1__1,-1.8118240641,-0.6352384335,0.10629972700000001
fps__fps_serB_ale1__2,-1.1719804886,0.0534705895,0.081618839
fps__fps_serB_ale4__1,-2.1457639509,-0.8200869445000001,-0.196635892
fps__fps_serB_ale4__2,-2.7407542904,-0.22370739650000002,0.382265148
fps__fps_ptsI_ale1__1,1.3682050657,-0.5382967055,0.04248119
fps__fps_ptsI_ale1__2,1.4905304142,-0.4514832025,0.24202431500000002
fps__fps_ptsI_ale3__1,0.4664937819,-0.45017921850000003,0.286774907
fps__fps_ptsI_ale3__2,0.21749204900000002,-1.0104658245,0.12685364600000001
pal__lyx_ale2_f6__1,-0.16574425680000002,-0.7624997265,0.22102003
pal__lyx_ale2__1,1.5945489022000001,-0.2465622995,0.687590488
pal__lyx_ale2__2,2.4312986644,-0.037602142500000005,0.7613142190000001
pal__lyx_ale4__1,2.0079714461,-0.0633888785,0.204622186
pal__lyx_ale4__2,2.441484005,-0.6472480695,0.13890402500000001
pal__5drib_ale10_f18__1,0.6516934668000001,0.6568594855000001,0.486771724
pal__5drib_ale10_f18__2,0.6595298449,0.0656042445,0.641034399
pal__5drib_ale10__1,2.2981153859,0.1809858075,1.091056048
pal__arab_ale14_f9__1,-0.3370253156,0.2993440875,0.287821785
pal__arab_ale14_f9__2,-0.7128527123,0.1278292965,0.31357433
pal__arab_ale14__1,1.0929087394,-0.9934194045,-0.058015925
pal__arab_ale14__2,1.1700865035,-0.9027812935,-0.037025238
pal__arab_ale16__1,0.356535349,0.3680366785,0.47334030200000005
pal__arab_ale16__2,-0.0601396123,-0.36485977750000004,0.44569678700000004
pal__tartr_ale26_f10__1,2.3971093411,0.28266748550000004,0.5919698010000001
pal__tartr_ale26_f10__2,2.3888585819,-0.1969320565,0.420193075
pal__tartr_ale26__1,2.3635452355,0.2013604545,0.6786664720000001
pal__tartr_ale26__2,2.637415312,0.5656404085,0.502794572
pal__tartr_ale28_f10__1,2.1125595805,0.41168493850000004,0.20882945800000002
pal__tartr_ale28_f10__2,-0.4293266539,-0.0430276895,0.30095635
pal__tartr_ale28__1,1.7674679242,-0.4275482125,0.477297888
pal__tartr_ale28__2,-0.0754596294,-1.4724403445,0.091618828
efeU__delmenFentC_citr__1,1.7083889237,-0.027502216500000003,0.657215404
efeU__delmenFentC_citr__2,0.6129184662,-0.5671975945000001,0.541780021
efeU__delmenFentC__1,-2.077565736,-0.6050789155,0.339464985
efeU__delmenFentC__2,-1.7894825485,-0.18169160650000002,0.5835158490000001
efeU__menFentC_ale39__1,3.9931480109,-0.1056226655,1.889983295
efeU__menFentC_ale39__2,4.1358759915,0.2629115845,1.910497101
efeU__menFentC_ale29__1,4.0076678263,0.0628424445,1.838612595
efeU__menFentC_ale29__2,3.6533634899000003,-0.0061979295,1.877642553
efeU__menFentC_ale30__1,2.5859509611,-0.22757662350000002,-0.026455937000000002
efeU__menFentC_ale30__2,2.7892670225,-1.6670297265,0.24674050800000003
efeU__menFentCubiC_ale36__1,-0.0319929512,0.1937568305,0.23380877800000002
efeU__menFentCubiC_ale36__2,-0.143725458,-0.2263909925,0.32590249400000004
efeU__menFentCubiC_ale37__1,-1.5429887185,-0.7020258565,0.37657021300000004
efeU__menFentCubiC_ale37__2,-1.7181171119,-0.2841590645,0.35637509900000003
efeU__menFentCubiC_ale38__1,-0.0886285529,-0.5778376055000001,0.7410279280000001
efeU__menFentCubiC_ale38__2,0.1037372018,-0.6084181955,0.406030689
misc2__salc_glc__1,-2.5138208665,-0.5250897015,-0.164384471
misc2__salc_glc__2,-2.5271335448,-1.5082907745,-0.32165770200000005
misc2__dbcn_glc__1,0.9085296460000001,-1.6539698925000001,-0.201097815
misc2__dbcn_glc__2,-0.4526943869,-2.0509782085,-0.14991663800000002
misc2__tyr_glc__1,1.6770198359,-0.31249431450000004,-0.118535475
misc2__tyr_glc__2,1.6860164062,0.0467807115,0.02603693
misc2__arg_cytd__1,2.4259417066,-0.7785462365,0.277171954
misc2__arg_cytd__2,2.3460131934,-0.5015104045000001,-0.068926656
misc2__delyheO_pyr__1,0.5756422248,-0.9950063625000001,0.27186998700000004
misc2__delyheO_pyr__2,0.7125323045,-0.2662231265,0.26905802900000003
nquinone__delubiC__1,0.7802989432,-0.7443082435,0.21618167400000002
nquinone__delubiC__2,0.4377916176,-0.2879832685,0.27499439600000003
nquinone__ubiC_ale1__1,0.11424937410000001,-0.3050362855,0.15312963300000001
nquinone__ubiC_ale1__2,0.2409620614,-0.1385301345,0.5138333420000001
nquinone__ubiC_ale2__1,-0.15259950090000002,-0.4238227885,0.45850561300000003
nquinone__ubiC_ale2__2,-0.2187813451,-0.021913303500000002,0.353706045
nquinone__ubiC_ale3__1,2.6654306089,-0.5717073675000001,-0.04007016
nquinone__ubiC_ale3__2,2.5144499699000002,-1.1430305675,-0.044470729
nquinone__ubiC_ale4__1,-0.0651668613,-0.1607523465,0.49467517400000005
nquinone__ubiC_ale4__2,0.2949879777,-0.1191958505,0.706646104
nquinone__delpdhR__1,0.9598046982,-0.7154930405000001,-0.162093336
nquinone__delpdhR__2,0.5511412929,-0.8480896355,-0.15574931
quinone__glu_ale4__1,1.8960887682,-1.5436216255000001,0.23565861500000002
quinone__glu_ale4__2,4.2391208975,-0.3451695835,1.153085511
quinone__delmenF__1,-0.4476052237,-0.7258033675000001,0.13715324
quinone__delmenF__2,0.1333253989,0.1546512045,0.382492842
quinone__menF_ale5__1,2.1555470549,-0.4626503825,1.668837085
quinone__menF_ale5__2,2.1727151837,0.1674431925,1.8529212620000002
quinone__menF_ale6__1,3.0067041369,-0.3389322335,2.125589551
quinone__menF_ale6__2,2.8499433613000003,0.1884038425,2.23230767
quinone__menF_ale7__1,5.015516717,1.0306961135,2.294348458
quinone__menF_ale7__2,5.0289794571,0.6536449665,2.323059956
quinone__menF_ale8__1,5.3880082931,0.5138725715,2.844640241
quinone__menF_ale8__2,3.7221150467,0.1222606125,1.699328122
quinone__delmenFubiC__1,-0.5128248510000001,-0.7241008295,0.174638064
quinone__delmenFubiC__2,-1.00783249,-0.3739723575,0.058544329000000006
quinone__menFubiC_ale1__1,5.1274682163,0.3357225775,1.9903104630000001
quinone__menFubiC_ale1__2,4.615679256,0.7613521965000001,2.07826263
quinone__menFubiC_ale2__1,3.2838889886000002,0.6444095915,2.064935647
quinone__menFubiC_ale2__2,2.7327061012,-0.0870644145,1.8858729040000002
quinone__menFubiC_ale3__1,1.7357589297,-1.4330333295,0.17919415700000002
quinone__menFubiC_ale3__2,1.9458335511,-0.23926652650000002,-0.001374477
quinone__menFubiC_ale4__1,1.5943545329000002,0.1216600015,1.658682392
quinone__menFubiC_ale4__2,1.4504020445,0.2984296095,1.6562045539999999
oxyR__wt_glc__1,2.398723345,-0.9685289365,0.12204007500000001
oxyR__wt_glc__2,2.0454775902,-0.6694643505,-0.10901553500000001
oxyR__wt_h2o2__1,2.5224139502,-1.2118796615,-0.164473535
oxyR__wt_h2o2__2,2.0622711007,-0.2185477865,-0.041505129
oxyR__glu_ale4__1,0.9543354698000001,-0.3263811645,0.277843074
oxyR__glu_ale4__2,1.3709285891,-0.8831351545,0.574865999
oxyR__glu_ale4_h2o2__1,1.1591381933,-0.39635808850000004,0.7147005190000001
oxyR__glu_ale4_h2o2__2,-0.1538714328,-0.6001216485,0.6075583210000001
oxyR__oxyR_ale17__1,0.8903292128,-0.2665106145,0.529500128
oxyR__oxyR_ale17__2,0.40380184420000004,-0.9128854905,0.47168437900000004
oxyR__oxyR_ale17_h2o2__1,2.3529995334000002,-0.7535032675000001,0.6057380360000001
oxyR__oxyR_ale17_h2o2__2,0.8387728353,-1.3417100044999999,0.068158496
oxyR__oxyR_ale18__1,4.6027526877,-0.5132726075,0.020199027
oxyR__oxyR_ale18__2,3.5003707445,-1.0448020765,-0.32364246
oxyR__oxyR_ale18_h2o2__1,0.6993533311,-0.5592958675,0.271388024
oxyR__oxyR_ale18_h2o2__2,1.4311664257,-0.8579395255000001,0.212562882
oxyR__oxyR_ale19__1,3.6397752072,-0.7056883405000001,-0.163347138
oxyR__oxyR_ale19__2,3.8631837968,-0.4896080625,-0.057803084000000005
oxyR__oxyR_ale19_h2o2__1,3.6044908664,-0.6604588875,-0.28677275900000004
oxyR__oxyR_ale19_h2o2__2,3.1907875742,-0.8306295825000001,-0.290148114
oxyR__oxyR_ale20__1,0.1348744815,-0.9053909015,0.261477095
oxyR__oxyR_ale20__2,-0.32947612600000004,-0.6867741945,0.294691572
oxyR__oxyR_ale20_h2o2__1,0.1238927075,-0.49883099350000004,0.222901756
oxyR__oxyR_ale20_h2o2__2,0.2769438664,-0.6479063665,0.19792711600000001
svns_pgi__BmePgi24_15__1,0.9441855105,-0.5435186895,0.118465017
svns_pgi__BmePgi24_15__2,0.9005641075,-0.1448424835,0.21530283800000002
svns_pgi__BmePgi24_26__1,1.0448407714,-1.0511378935,0.029640364000000002
svns_pgi__BmePgi24_26__2,0.7711715601,-0.7738393695,0.06872280700000001
svns_pgi__BmePgi24_41__1,0.9996162326,-0.4015013315,0.37298774500000004
svns_pgi__BmePgi24_41__2,2.078846646,-0.2177119425,0.11060935300000001
svns_pgi__BmePgi24_52__1,1.7992398605000002,-0.4392024155,0.060966219
svns_pgi__BmePgi24_52__2,1.6376877555,-0.6627932015,0.046603637
svns_pgi__PaePgi2_34__1,-0.9348523428000001,-0.4190094085,0.498003014
svns_pgi__PaePgi2_34__2,-0.4651010264,-0.5703490925,0.450624854
svns_pgi__PaePgi2_63__1,-0.4701395773,-0.5850836095,0.404348289
svns_pgi__PaePgi2_63__2,0.2493948122,-0.1351896225,0.6180396960000001
svns_pgi__PaePgi24_54__1,0.45171509940000004,-0.8413650265,0.23059458100000002
svns_pgi__PaePgi24_54__2,-0.1119963499,-0.5418360585,0.33295458
svns_pgi__PaePgi24_90__1,0.48238599940000004,-0.2253007655,0.5545127940000001
svns_pgi__PaePgi24_90__2,-0.3174877049,-1.2679743445,0.462037746
abx_media__m9_ctrl__1,-1.2964986232,-0.6171759945,-0.628090582
abx_media__m9_ctrl__2,-0.7903353792000001,-0.4972481595,-0.11559902400000001
abx_media__rpmi_ctrl__1,-0.3164610627,-1.4423956695,0.391215672
abx_media__rpmi_ctrl__2,1.3892654183,-0.5788565955,0.808530321
abx_media__camhb_ctrl__1,-0.8404717939,-1.5092963295000001,-1.001827856
abx_media__camhb_ctrl__2,-0.0825450613,-2.6173884845,-1.062862309
abx_media__m9_mero__1,-1.3615219961,-2.0783275275,-0.71232675
abx_media__m9_mero__2,-1.541142194,-0.3056327005,-0.6349175300000001
abx_media__rpmi_mero__1,0.5454099009,-1.4175427815,0.137899966
abx_media__rpmi_mero__2,0.0728622314,-2.1621713104999998,0.6483614320000001
abx_media__camhb_mero__1,-0.9537493463000001,-1.7865018015,-1.899557689
abx_media__camhb_mero__2,-0.3960439864,-2.3818314115,-1.725065593
abx_media__m9_trisulf__1,-3.0067717653,-0.8697986585,-1.136630685
abx_media__m9_trisulf__2,-3.098115305,-1.2580738425,-0.9188564210000001
abx_media__rpmi_trisulf__1,-2.0613542212000002,-1.6189794665,-0.9601437650000001
abx_media__rpmi_trisulf__2,-1.0408591175,-1.4367799685,-1.204783507
abx_media__camhb_trisulf__1,-1.2513090085,-1.2369453205,-1.386698081
abx_media__camhb_trisulf__2,-1.1767630964,-1.8720585275000001,-1.48112289
abx_media__m9_cef__1,-3.3996591984,-0.4284065945,-0.622340226
abx_media__m9_cef__2,-3.1480754177,-0.9060991905,-0.46362392700000005
abx_media__rpmi_cef__1,-0.5059521834,-1.0048599955,-0.513700842
