,A,PhoP
omics__wt_thr__1,-3.7667049983,1.033749661
omics__wt_thr__2,-3.0034487741,0.9838336240000001
omics__bw_ac__1,-0.3926215308,0.41776569
omics__bw_ac__2,-0.012064029,0.41112900300000005
omics__bw_fum__1,1.613781087,0.075518651
omics__bw_fum__2,2.2582012242,-0.021594448000000002
omics__bw_glc__1,0.9489680047000001,0.075693963
omics__bw_glc__2,1.3070148504,-0.011788558000000001
omics__bw_pyr__1,0.5031838967,-0.071999004
omics__bw_pyr__2,-0.21350484760000002,-0.219845062
ompr__wt_nacl__1,-2.7319347276,0.48406129200000003
ompr__wt_nacl__2,-3.2513821944,0.6557655480000001
ompr__bw_delompr_nacl__1,-3.2929283125,0.139760293
ompr__bw_delompr_nacl__2,-3.3008485555,0.006405367
minspan__wt_ade__1,3.3253508653,1.01231602
minspan__wt_glc__2,0.6064551301000001,0.337446807
minspan__wt_glc__3,0.5680503696,0.280980768
minspan__wt_glc__4,-0.365793849,0.12115489300000001
minspan__wt_glc_anaero__1,0.5129610062000001,0.547407251
minspan__wt_glc_anaero__2,1.8462098842999999,0.507104239
minspan__wt_trp__1,-0.9235855963,0.7624807210000001
minspan__bw_delcra_glc__2,0.4207146289,0.653928411
minspan__bw_delcra_trp__1,-0.9985287956000001,0.533920807
minspan__bw_delmntr__1,0.9207021938000001,0.33145884600000003
minspan__bw_delnac_ade__1,-1.8338110648,0.19809795
minspan__bw_delnac_glc__1,-0.0870546692,0.250711468
cra_crp__wt_ac__1,-2.6794223554,1.016370945
cra_crp__wt_ac__2,-2.8398798011,0.8848680940000001
cra_crp__wt_fru__1,-1.3815416948,1.258060138
cra_crp__wt_fru__2,-1.0775348784,1.3380767850000002
cra_crp__delcra_ac__1,-3.4960452834,-0.185472791
cra_crp__delcra_ac__2,-4.2037184053,-0.119664957
cra_crp__delcra_fru__1,-1.7564824197000002,0.20485493400000002
cra_crp__delcra_fru__2,-1.4503367183,0.12113618400000001
cra_crp__delcra_glc__1,-0.208390824,-0.111298459
cra_crp__delcra_glc__2,-0.100789318,0.035044595000000005
rpoB__wt_031__1,-2.8543668178,0.108956619
rpoB__wt_044__1,-0.9157837153,0.021091891
rpoB__wt_lb__1,-0.882912345,-0.179487258
rpoB__wt_lb__2,-1.2085564515,-0.17930267300000002
rpoB__rpoBE546V_031__1,-0.5099519835,-0.012452734
rpoB__rpoBE546V_044__1,-0.338381768,-0.154646539
rpoB__rpoBE546V_lb__1,1.9311572166,0.051734488
rpoB__rpoBE546V_lb__2,1.5101637931,-0.0662995
rpoB__rpoBE546V_glc__1,-0.1946423059,0.24942598
rpoB__rpoBE672K_glc__1,0.1902225092,-0.7780453110000001
rpoB__rpoBE672K_glc__2,0.6492245487,-0.788347048
rpoB__rpoBE672K_lb__1,4.7531889247,-0.557297598
rpoB__rpoBE672K_lb__2,4.4786530087,-0.5533031150000001
crp__wt_fru__1,0.3372625084,-0.144432807
crp__wt_glyc__1,0.6426238226000001,-0.013186706000000001
crp__wt_glyc__2,0.6415693804,-0.068009367
crp__delar1_glyc__1,-2.6194548774,0.36837965
crp__delar1_glyc__2,-3.1098549355,0.49495829
crp__delar1ar2_glyc__1,-0.7731554352000001,0.018720782000000002
crp__delar1ar2_glyc__2,-1.0427207094,-0.034314875
crp__delar1ar2_glyc__3,-0.3349595474,-0.100608243
crp__delar2_glyc__1,-2.2273409519,0.19092103500000002
crp__delar2_glyc__2,-2.5395417215,0.14034202
crp__delar2_glyc__3,-2.3610369764,0.252913857
crp__delcrp_fru__1,-3.5470153743,-0.11413368300000001
crp__delcrp_fru__2,-4.0965417418,-0.287667808
crp__delcrp_fru__3,-3.7636574862,-0.173418492
crp__delcrp_glc__1,-3.4322954427,-0.484766813
crp__delcrp_glc__2,-3.8215749363000002,-0.36281752
crp__delcrp_glc__3,-3.5050568072,-0.216551859
crp__delcrp_glyc__1,-2.6674633082,-0.15784245600000002
crp__delcrp_glyc__2,-4.1491542366,-0.18089231900000002
crp__delcrp_glyc__3,-4.0851187578,-0.08800294800000001
glu__glu_ale3__1,-1.4254143620000002,-0.063015206
glu__glu_ale4__1,0.8831663547,-0.8409876690000001
glu__glu_ale5__1,-1.4142809544000001,-0.99504442
glu__glu_ale6__1,2.0196283865,-1.284559598
glu__glu_ale8__1,0.9661109993,0.17995164900000002
glu__glu_ale9__1,-1.24592235,-0.299269015
glu__glu_ale10__1,0.5569564733,0.16973064200000001
42c__wt_42c__1,1.4799727069,0.02491536
42c__42c_ale1__1,0.7650777606,0.43938474
42c__42c_ale2__1,0.3190529334,0.06329332600000001
42c__42c_ale3__1,-0.29253837,0.013758482
42c__42c_ale4__1,-0.7079158415,0.40102449700000004
42c__42c_ale5__1,0.2556138361,-0.19304874800000002
42c__42c_ale6__1,-0.8443132324,0.109292339
42c__42c_ale8__1,-2.1853786285,0.09110453
42c__42c_ale9__1,-1.1901106177,-0.8834176260000001
42c__42c_ale10__1,1.1794897296,0.7232984520000001
ssw__wt_ac__1,-5.3048775839,-0.5268998810000001
ssw__wt_glc__1,-0.6688093898,0.5141738060000001
ssw__wt_glyc__1,-2.0814552516,0.114842151
ssw__wt_xyl__1,-5.16744647,0.38396171500000004
ssw__glc_ale1__1,1.0157494953,0.126793221
ssw__glc_ale2__1,-1.5206785521000001,0.34081388300000004
ssw__glc_ale3__1,-0.9898447352,-0.160086988
ssw__glyc_ale1__1,0.5280217271000001,0.40118234500000005
ssw__glyc_ale2__1,-1.5103079775000001,-0.30106333
ssw__xyl_ale1__1,-0.9275893269000001,-0.099840336
ssw__xyl_ale2__1,0.8547979186,-0.112297093
ssw__xyl_ale3__1,-3.1304661263,-0.2636079
ssw__glc_ac_ac2__1,2.9330118915,0.479900235
ssw__glc_ac_glc1__1,1.0581868691,-0.09033719600000001
ssw__glc_glyc_glc__1,1.4136753877000001,0.460491256
ssw__glc_glyc_glyc__1,-0.3648301806,0.43644761600000004
ssw__glc_xyl_glc__1,3.6772863891,-0.021710645
ssw__glc_xyl_xyl__1,2.8877153449,-0.166421532
ica__wt_glc__1,4.1785265735,-0.29320854700000004
ica__wt_glc__2,4.1836311019,-0.36936544400000004
ica__wt_glc__3,1.4122647532000001,-0.09920551500000001
ica__wt_glc__4,2.9133149415,0.15783529400000001
ica__arg_sbt__1,-3.151881184,-0.215665506
ica__arg_sbt__2,-1.6595252674,-0.114109625
ica__cytd_rib__1,-2.3260249772,0.523363235
ica__cytd_rib__2,-2.6546721293999997,0.701269369
ica__gth__1,-4.6346088474,-0.472404468
ica__gth__2,-5.8303634115000005,-0.727690316
ica__leu_glcr__1,2.5061480761,0.452659615
ica__leu_glcr__2,2.4587868114,0.42803714400000004
ica__met_glc__1,3.4939802698,-0.45441998600000005
ica__met_glc__2,3.8206018277,-0.476271971
ica__no3_anaero__1,1.6149217323,0.21035221
ica__no3_anaero__2,1.3970264909,0.262851748
ica__phe_acgam__1,2.5041645947999998,-0.037596184000000005
ica__phe_acgam__2,2.50815269,-0.158032168
ica__thm_gal__1,-0.16438563850000001,0.184856232
ica__thm_gal__2,-1.0558774322,0.109748654
ica__tyr_glcn__1,2.7781476752,-0.045691935
ica__tyr_glcn__2,3.502908856,0.07120159
ica__ura_pyr__1,2.1017596495,0.212175373
ica__ura_pyr__2,0.8105856273000001,-0.027439807
ica__wt_glc__5,2.9330591765,0.073907423
ica__wt_glc__6,2.602133922,0.135023417
ica__bw_delpurR_cytd__1,2.5796984103,-0.27115831300000004
ica__bw_delpurR_cytd__2,3.575426772,-0.408640649
ica__ade_glc__1,4.0508564873,-0.28449949900000004
ica__ade_glc__2,2.0957792121,-0.389076521
ytf__wt_glc__1,0.42757383930000004,0.743708766
ytf__wt_glc__2,0.8818129347,0.85520553
ytf__delyafC__1,-0.2143229399,0.7196134940000001
ytf__delyafC__2,0.024555906500000002,0.828319821
ytf__delyeiE__1,0.8101266941,0.39583627200000004
ytf__delyeiE__2,1.7979681084,0.40818236700000005
ytf__delyiaJ__1,0.0576981884,1.028830777
ytf__delyiaJ__2,-1.13648375,1.019332362
ytf__delyieP__1,0.3978039023,0.617021888
ytf__delyieP__2,-0.2741599945,0.606326712
ytf__wt_ph5__1,0.6859527661,0.575753464
ytf__wt_ph5__2,0.0582470287,0.455144496
ytf__wt_ph8__1,5.8300012884,0.701689156
ytf__wt_ph8__2,5.2152323163,0.756730365
ytf__delybaO__1,-0.5892377326,0.673932788
ytf__delybaO__2,0.4471394969,0.5758429380000001
ytf__delybaQ__1,0.5175985698,0.23516725500000002
ytf__delybaQ__2,1.034343547,0.27209287600000004
ytf__delybiH__1,0.3698910546,0.8309190030000001
ytf__delybiH__2,0.3766242225,0.9521407350000001
ytf__delydcI_ph5__1,0.8101158966,0.28215138100000003
ytf__delydcI_ph5__2,1.4496146422,0.349302164
ytf__delydcI_ph8__1,5.3870297816,0.6784612360000001
ytf__delydcI_ph8__2,6.7039496049,0.608502828
ytf__delyddM__1,0.3149795971,0.52496244
ytf__delyddM__2,0.2499587482,0.37745590300000004
ytf__delyheO__1,-1.2389841091,0.719157991
ytf__delyheO__2,0.37339253240000003,0.6478334990000001
fps__bw_glc__1,2.3999528071,0.07073127400000001
fps__bw_glc__2,2.5933598443,0.077353717
fps__fps_thrA_ale1__1,-0.0454354011,0.34346563100000005
fps__fps_thrA_ale1__2,0.3079733497,0.37980745800000004
fps__fps_thrA_ale2__1,1.2634327631,0.44675548200000004
fps__fps_thrA_ale2__2,0.5243657912,0.474786533
fps__fps_serB_ale1__1,1.0896781204,0.19816282200000002
fps__fps_serB_ale1__2,0.9999303152000001,0.31671616
fps__fps_serB_ale4__1,0.1320360253,0.030079244
fps__fps_serB_ale4__2,-0.3345545404,0.295637941
fps__fps_ptsI_ale1__1,-0.1392751149,-0.149002831
fps__fps_ptsI_ale1__2,-0.3561180129,0.029682105
fps__fps_ptsI_ale3__1,0.8716346394000001,0.135241822
fps__fps_ptsI_ale3__2,0.6984871354000001,0.059422988
pal__lyx_ale2_f6__1,-2.9644898845,0.10760924200000001
pal__lyx_ale2__1,-1.3264452552,0.17766009200000002
pal__lyx_ale2__2,-0.6425251749,0.109797828
pal__lyx_ale4__1,1.0371569844,-0.151220668
pal__lyx_ale4__2,1.8631462861,-0.035178374000000005
pal__5drib_ale10_f18__1,-1.0230041812,-0.12351695200000001
pal__5drib_ale10_f18__2,-0.916667424,-0.142087809
pal__5drib_ale10__1,-0.8192868184000001,0.262283515
pal__arab_ale14_f9__1,-2.8612590816,0.17683447
pal__arab_ale14_f9__2,-2.7040174390000002,0.071970503
pal__arab_ale14__1,-0.6474714145,-0.137188576
pal__arab_ale14__2,-0.3365505929,-0.301841448
pal__arab_ale16__1,0.1401211685,0.07740986400000001
pal__arab_ale16__2,-1.7213367248,0.09830857
pal__tartr_ale26_f10__1,4.7276729134,1.307765853
pal__tartr_ale26_f10__2,3.5038162471,1.320517959
pal__tartr_ale26__1,4.9995381867,1.231627966
pal__tartr_ale26__2,5.6563911382,1.143111786
pal__tartr_ale28_f10__1,-3.9607094127,0.323642409
pal__tartr_ale28_f10__2,-3.3689975206,0.17416677600000002
pal__tartr_ale28__1,-0.0257663997,0.158297202
pal__tartr_ale28__2,0.9161867393,-0.031488837
efeU__delmenFentC_citr__1,3.7670790546,0.619273213
efeU__delmenFentC_citr__2,4.2960179269,0.7799236340000001
efeU__delmenFentC__1,-1.7724058682,0.661847733
efeU__delmenFentC__2,-1.706064456,0.554159846
efeU__menFentC_ale39__1,1.8485618674,0.13629239999999998
efeU__menFentC_ale39__2,1.5457264859,0.19936452200000002
efeU__menFentC_ale29__1,5.63471559,1.03985896
efeU__menFentC_ale29__2,4.8790839046,1.07832839
efeU__menFentC_ale30__1,0.43885732580000003,-0.547292121
efeU__menFentC_ale30__2,4.9512477629,-0.090787115
efeU__menFentCubiC_ale36__1,2.1700091716,0.415575552
efeU__menFentCubiC_ale36__2,2.3336766155,0.38808472800000005
efeU__menFentCubiC_ale37__1,1.9026359775000001,0.37441889500000003
efeU__menFentCubiC_ale37__2,2.1968963612,0.45599781600000006
efeU__menFentCubiC_ale38__1,1.3700483693,0.21189733
efeU__menFentCubiC_ale38__2,0.4513720379,0.189008896
misc2__salc_glc__1,-2.0752816841,0.567589765
misc2__salc_glc__2,-3.8407217832000002,0.177815426
misc2__dbcn_glc__1,3.8684446224,-0.504651582
misc2__dbcn_glc__2,2.7802008302,-0.18654931300000002
misc2__tyr_glc__1,1.201045081,0.383996247
misc2__tyr_glc__2,0.9801044685,0.32760587300000005
misc2__arg_cytd__1,3.5231267898,-0.068191444
misc2__arg_cytd__2,3.1085467452,-0.0776236
misc2__delyheO_pyr__1,-0.2385719769,0.24749242700000001
misc2__delyheO_pyr__2,0.2343544375,0.189948836
nquinone__delubiC__1,3.713947865,0.30565473
nquinone__delubiC__2,3.247552212,0.629065406
nquinone__ubiC_ale1__1,0.739921597,0.411283771
nquinone__ubiC_ale1__2,1.4785634067,0.49405437100000005
nquinone__ubiC_ale2__1,1.7114831848,0.503359167
nquinone__ubiC_ale2__2,1.5483882409,0.37281593900000004
nquinone__ubiC_ale3__1,4.3491253119,0.24414505200000003
nquinone__ubiC_ale3__2,4.4771049787,0.32929133800000004
nquinone__ubiC_ale4__1,1.6586139716,0.582272077
nquinone__ubiC_ale4__2,1.2187008383,0.6307498060000001
nquinone__delpdhR__1,-3.1182159976,-0.807797929
nquinone__delpdhR__2,-3.4346883494,-0.774040083
quinone__glu_ale4__1,2.8359384147,-0.5663055290000001
quinone__glu_ale4__2,1.7029400638,-0.38538343700000005
quinone__delmenF__1,0.36568469070000004,0.13828864800000001
quinone__delmenF__2,1.0470537063,0.34418459
quinone__menF_ale5__1,0.274788286,0.705413782
quinone__menF_ale5__2,0.47740276670000004,0.530226904
quinone__menF_ale6__1,-0.0243596214,0.705620013
quinone__menF_ale6__2,0.5121924079,0.639575522
quinone__menF_ale7__1,-0.5353554302,0.64014664
quinone__menF_ale7__2,-0.804045824,0.643240204
quinone__menF_ale8__1,2.2810496011,0.6571214590000001
quinone__menF_ale8__2,1.457905625,0.9486138260000001
quinone__delmenFubiC__1,0.9245073876000001,0.411831526
quinone__delmenFubiC__2,0.4145339631,0.39027781
quinone__menFubiC_ale1__1,-2.0290927898,0.37621721500000005
quinone__menFubiC_ale1__2,-1.8743199810000002,0.36667417100000005
quinone__menFubiC_ale2__1,-1.6611826912,0.36541838
quinone__menFubiC_ale2__2,-1.1875753486,0.34273974100000004
quinone__menFubiC_ale3__1,1.3314729086,-0.32752627100000004
quinone__menFubiC_ale3__2,1.0657865729,-0.379521698
quinone__menFubiC_ale4__1,-1.7059097555,0.367331208
quinone__menFubiC_ale4__2,-1.7662708342,0.38358602700000005
oxyR__wt_glc__1,3.5233022598,0.092545108
oxyR__wt_glc__2,3.4355158965,0.140211251
oxyR__wt_h2o2__1,3.7396500138,0.08828034600000001
oxyR__wt_h2o2__2,3.0134300142,0.513535763
oxyR__glu_ale4__1,2.9300302378,-0.061397507000000004
oxyR__glu_ale4__2,2.5501866133,-0.26070842
oxyR__glu_ale4_h2o2__1,2.5628694822,-0.055252065
oxyR__glu_ale4_h2o2__2,2.5026127435000003,0.075397478
oxyR__oxyR_ale17__1,1.7523910420000002,0.391094753
oxyR__oxyR_ale17__2,1.0921471079,0.28668017100000004
oxyR__oxyR_ale17_h2o2__1,2.287988509,0.28048805200000004
oxyR__oxyR_ale17_h2o2__2,2.7934324314000003,0.19809661
oxyR__oxyR_ale18__1,3.5806026025,-0.080350902
oxyR__oxyR_ale18__2,3.9698489442,0.19994977800000002
oxyR__oxyR_ale18_h2o2__1,3.0064219387,0.564438023
oxyR__oxyR_ale18_h2o2__2,2.4462335018,0.5920382110000001
oxyR__oxyR_ale19__1,3.938866376,-0.06345036400000001
oxyR__oxyR_ale19__2,4.1165614607,0.165076513
oxyR__oxyR_ale19_h2o2__1,3.7031446076,-0.075224071
oxyR__oxyR_ale19_h2o2__2,3.6427772149,-0.050579755000000004
oxyR__oxyR_ale20__1,1.3474709582,0.18287245100000002
oxyR__oxyR_ale20__2,0.9487819778000001,0.23247697
oxyR__oxyR_ale20_h2o2__1,2.0014497564,0.233024332
oxyR__oxyR_ale20_h2o2__2,1.801733389,0.35887538700000005
svns_pgi__BmePgi24_15__1,2.2230781840000002,0.415653082
svns_pgi__BmePgi24_15__2,2.4650585852,0.47479981800000004
svns_pgi__BmePgi24_26__1,2.6291040303,0.17891804700000002
svns_pgi__BmePgi24_26__2,3.0216470452,0.12226386500000001
svns_pgi__BmePgi24_41__1,1.1566979139,0.35707802400000005
svns_pgi__BmePgi24_41__2,2.6114949871,-0.0030281820000000004
svns_pgi__BmePgi24_52__1,2.4235134532,0.245760266
svns_pgi__BmePgi24_52__2,2.8988080026,0.103800661
svns_pgi__PaePgi2_34__1,-0.44173467460000004,0.5049408790000001
svns_pgi__PaePgi2_34__2,0.2566931093,0.48314856800000006
svns_pgi__PaePgi2_63__1,0.16088427630000002,0.350633436
svns_pgi__PaePgi2_63__2,0.030766450600000002,0.305629453
svns_pgi__PaePgi24_54__1,3.2750116894,0.43189787100000004
svns_pgi__PaePgi24_54__2,3.1215164554,0.397511322
svns_pgi__PaePgi24_90__1,2.9978942078,0.187020604
svns_pgi__PaePgi24_90__2,3.0818420499,0.21110345800000002
abx_media__m9_ctrl__1,0.5921832254,0.083422943
abx_media__m9_ctrl__2,0.0039125768,-0.125328606
abx_media__rpmi_ctrl__1,-0.3052921424,-1.8860212280000002
abx_media__rpmi_ctrl__2,-1.3633587903,-1.689471874
abx_media__camhb_ctrl__1,-0.9700386116,-2.427480671
abx_media__camhb_ctrl__2,-1.7481311812,-2.289557642
abx_media__m9_mero__1,0.9373942403000001,-0.655383377
abx_media__m9_mero__2,0.3009798695,-0.52147101
abx_media__rpmi_mero__1,-4.0757952097,-2.462704767
abx_media__rpmi_mero__2,-3.6734644002,-2.215818862
abx_media__camhb_mero__1,-3.4453952992,-2.951450304
abx_media__camhb_mero__2,-3.5073093316,-2.707427041
abx_media__m9_trisulf__1,-2.2211391292,-0.37250204000000003
abx_media__m9_trisulf__2,-1.6732021736,-0.02819494
abx_media__rpmi_trisulf__1,-2.8711879582,-1.709902734
abx_media__rpmi_trisulf__2,-2.5260518924,-1.523151283
abx_media__camhb_trisulf__1,-5.4518544036,-1.906792701
abx_media__camhb_trisulf__2,-5.3990059774,-2.031372237
abx_media__m9_cef__1,-0.3039715751,0.026114172
abx_media__m9_cef__2,-0.5201749682,-0.024767938000000003
abx_media__rpmi_cef__1,-4.1450403247,-1.024759875
abx_media__rpmi_cef__2,-3.877216738,-0.946249191
abx_media__camhb_cef__1,-3.9660406059,-1.872406087
abx_media__camhb_cef__2,-3.8289975356,-1.6710743300000002
abx_media__m9_cipro__1,-3.83581985,-0.38062865100000004
abx_media__m9_cipro__2,-4.3971570545,-0.307681291
abx_media__rpmi_cipro__1,-4.2358828407,-1.401953856
abx_media__rpmi_cipro__2,-4.2283128925,-1.730526988
abx_media__camhb_cipro__1,-4.5556264999,-1.9972068580000002
abx_media__camhb_cipro__2,-4.8709869792,-1.9609591100000001
hot_tale__42c_ale3_30c__1,4.0776202922,-0.319230179
hot_tale__42c_ale3_30c__2,4.0309947221,-0.298454793
hot_tale__42c_ale3_37c__1,4.0213432918,-0.206202099
hot_tale__42c_ale3_37c__2,3.8583285599,-0.08042785300000001
hot_tale__42c_ale3_44c__1,2.0949322976,0.395823743
hot_tale__42c_ale3_44c__2,1.8317064373,0.411129568
hot_tale__hot_ale3_mid_30c__1,1.2975306935,-0.001186037
hot_tale__hot_ale3_mid_30c__2,2.7186542989999998,-0.08781875500000001
hot_tale__hot_ale3_mid_37c__1,3.7331534562,-0.083199942
hot_tale__hot_ale3_mid_37c__2,4.3679448773,-0.012236379
hot_tale__hot_ale3_mid_44c__1,3.7964839594,0.13477535200000001
hot_tale__hot_ale3_mid_44c__2,3.4615138552999998,0.037665048
hot_tale__hot_ale3_30c__1,2.6979115388,0.005145323
hot_tale__hot_ale3_30c__2,3.9564703138,-0.16219002500000002
hot_tale__hot_ale3_37c__1,4.4116582947000005,-0.047073356000000004
hot_tale__hot_ale3_37c__2,4.2855277123,-0.13203072600000001
hot_tale__hot_ale3_44c__1,2.9730220210000002,-0.168126922
hot_tale__hot_ale3_44c__2,2.9140325612,-0.07189600900000001
hot_tale__hot_ale4_30c__1,3.9703526144000003,-0.47592381200000006
hot_tale__hot_ale4_30c__2,3.4616824927,-0.46972476900000004
hot_tale__hot_ale4_37c__1,4.2681677775,-0.19160004700000002
hot_tale__hot_ale4_37c__2,3.8580508359000003,-0.194555322
hot_tale__hot_ale4_44c__1,3.5587528513,0.330274367
hot_tale__hot_ale4_44c__2,3.2790804676,0.283259382
hot_tale__hot_ale8_30c__1,2.8427752234,-0.102131619
hot_tale__hot_ale8_30c__2,3.3345720422,-0.124228584
hot_tale__hot_ale8_37c__1,3.674423342,0.11865386300000001
hot_tale__hot_ale8_37c__2,3.3861527974,0.012365859000000002
hot_tale__hot_ale8_44c__1,2.0183777429,0.458355326
hot_tale__hot_ale8_44c__2,2.0421511742,0.45657650400000005
hot_tale__hot_ale9_mid_30c__1,4.2146419955,-0.19109484100000002
hot_tale__hot_ale9_mid_30c__2,3.4119280833,-0.360542961
hot_tale__hot_ale9_30c__1,4.4316700206,-0.323474476
hot_tale__hot_ale9_30c__2,4.7235551316,-0.31010260700000003
hot_tale__hot_ale9_mid_37c__1,4.9171215182,0.062357558
hot_tale__hot_ale9_mid_37c__2,4.951534764,-0.009886887
hot_tale__hot_ale9_37c__1,5.1342233126,0.044583541000000004
hot_tale__hot_ale9_37c__2,4.9069970063,0.011998532000000001
hot_tale__hot_ale9_mid_44c__1,4.4748837077,0.303875603
hot_tale__hot_ale9_mid_44c__2,3.7558869114,0.46813370200000004
hot_tale__hot_ale9_44c__1,4.618877357,0.33114755700000004
hot_tale__hot_ale9_44c__2,3.7966462388,0.34433371100000004
hot_tale__hot_ale10_30c__1,3.8578978684000003,-0.052331355
hot_tale__hot_ale10_30c__2,3.7727218072,-0.051017599999999996
hot_tale__hot_ale10_37c__1,5.4445452858,0.121165536
hot_tale__hot_ale10_37c__2,5.5044048169,0.13245914
hot_tale__hot_ale10_44c__1,2.4333266915,-0.11542344700000001
hot_tale__hot_ale10_44c__2,1.9130629824,-0.070975747
hot_tale__hot_ale16_30c__1,4.9369810015,-0.016602892
hot_tale__hot_ale16_30c__2,4.3194582759,-0.059992827000000006
hot_tale__hot_ale16_37c__1,4.7332789859,-0.07162219
hot_tale__hot_ale16_37c__2,4.6980130222,-0.129387259
hot_tale__hot_ale16_44c__1,3.2703575782,0.212347226
hot_tale__hot_ale16_44c__2,3.7844131391999998,0.09403859
pdhr_ale__pdhR-13_51__1,2.3897275322000002,0.412430385
pdhr_ale__pdhR-13_51__2,3.0773844395,0.214310156
pdhr_ale__pdhR-14_46__1,1.442291157,0.43411552400000003
pdhr_ale__pdhR-14_46__2,1.3022861948,0.24543125100000002
pdhr_ale__pdhR-15_51__1,3.6585787632,0.424518208
pdhr_ale__pdhR-15_51__2,3.1897491518,0.30512049
pdhr_ale__pdhR-16_49__1,2.3200752241,0.333946122
pdhr_ale__pdhR-16_49__2,1.0616356716,0.06037337
tcs__del_atoC_LiAcet__1,-0.1350378927,0.104343551
tcs__del_atoC_LiAcet__2,-0.6387115868000001,0.053927133
tcs__del_atoC_LiCl__1,0.0426496892,0.244061033
tcs__del_atoC_LiCl__2,-0.3424963226,0.12555090300000002
tcs__del_atoC_m9__1,0.5906817845,0.32309502
tcs__del_atoC_m9__2,0.2790104216,0.23942053600000002
tcs__del_baeR_etoh__1,-3.2662365146,1.378565255
tcs__del_baeR_etoh__2,-3.9729618193,1.296289791
tcs__del_baeR_lb__1,-1.729856827,0.6638471060000001
tcs__del_baeR_lb__2,-1.5863224498,0.52630935
tcs__del_btsR_01xlb__1,-3.1190827058,0.29894596700000003
tcs__del_btsR_01xlb__2,-3.4022204416,0.300305235
tcs__del_btsR_lb__1,1.1281365699,0.07718124200000001
tcs__del_btsR_lb__2,1.2032312635,0.11384773000000001
tcs__del_btsR_pyruvate__1,-4.1744982727,0.28304845
tcs__del_btsR_pyruvate__2,-3.8724896469,0.33804050500000005
tcs__del_cpxR_etoh__1,-2.806608316,1.55599951
tcs__del_cpxR_etoh__2,-2.9076531865,1.6316004830000002
tcs__del_cpxR_lb__1,-1.9911538947,0.48391291900000005
tcs__del_cpxR_lb__2,-2.1145052432,0.38787332700000005
tcs__del_cusR_CuSO4__1,8.1888316361,1.270382766
