sample,BSU_misc_RNA_34
MG+120_1,12.8987
MG+150_1,13.8855
MG-0.1_2,12.4266
MG-0.2_2,12.9143
MG+5_2,13.578
MG+10_2,14.287
MG+15_2,15.0684
MG+25_2,13.5239
MG+45_2,12.6149
MG+60_2,13.3766
MG+90_2,12.953
MG+120_2,13.7531
MG-0.1_3,13.733
MG-0.2_3,13.2213
MG+5_3,13.2968
MG+10_3,13.5308
MG+15_3,14.6175
MG+25_3,13.8712
MG+45_3,13.8285
MG+60_3,13.5163
MG+90_3,13.9468
MG+120_3,13.4255
MG+150_3,13.796
