,A,FucR,AraC,AllR
oxidative__deloxyr_pq__2,0.5504161212,0.42520843900000005,0.21155714450000002,0.007440333
oxidative__delsoxr_pq__1,-0.0420688048,0.109170971,-0.3108886205,-0.472658165
oxidative__delsoxr_pq__2,0.0175555556,0.12447121800000001,-0.1997278865,-0.29902849600000003
oxidative__delsoxs_pq__1,0.6032758816,-0.046083949000000006,0.1313793795,-0.17651612300000002
oxidative__delsoxs_pq__2,1.0916607854,0.0010803540000000002,-0.0350424565,-0.321234497
nac_ntrc__wt_csn__1,1.3339542778,0.16201336300000002,0.6142849175,-0.406371476
nac_ntrc__wt_csn__2,0.986056985,-0.026121804000000002,0.5558765685,-0.43402075100000004
nac_ntrc__wt_cytd__1,0.10977664790000001,-0.116825997,0.1498966915,-0.9896189780000001
nac_ntrc__wt_cytd__2,0.3307532958,-0.060783773000000006,0.0083999845,-0.944096664
nac_ntrc__wt_gln__1,0.9023443193,0.21447591200000002,0.2495477335,-1.094660425
nac_ntrc__wt_gln__2,0.705043262,0.14100775200000001,0.1958351295,-1.00848273
nac_ntrc__bw_delnac_csn__1,2.0217760042,0.16561183000000002,1.7593075135,0.14805864700000002
nac_ntrc__bw_delnac_csn__2,0.3640694343,0.122774825,1.3742093155,0.407488342
nac_ntrc__bw_delnac_cytd__1,0.1496343869,0.307791364,0.9510196185,0.058657469000000004
nac_ntrc__bw_delnac_cytd__2,-0.1787241015,0.26299706,1.0763617575,-0.0072093570000000004
nac_ntrc__bw_delnac_gln__1,0.297059522,0.418270695,1.1241494185,0.12600450200000002
nac_ntrc__bw_delnac_gln__2,-0.5054383617,0.286200392,1.1283147505,0.075065721
nac_ntrc__bw_delnac_nh4__1,0.0352929566,0.28734276000000003,0.9067494815,-0.276011375
nac_ntrc__bw_delnac_nh4__2,0.0629870927,0.387071765,0.6297194025,-0.18819574600000002
misc__wt_no_te__1,0.4704681761,0.066390902,0.4619735525,-0.05311606
misc__wt_no_te__2,1.06188012,0.209444179,0.38235533850000003,-0.200672546
misc__bw_delcbl__1,-0.796473705,0.040350217,0.16969538350000002,-0.21025721600000002
misc__bw_delcbl__2,-0.09743413940000001,-0.036398389,0.2678753515,-0.344590722
misc__bw_delfabr__1,-0.2740989089,0.10317060900000001,0.0036585055,-0.45486826700000005
misc__bw_delfabr__2,-0.1621460113,-0.060689677000000004,0.1117086845,-0.487376668
misc__bw_delfadr__1,-0.4037720053,0.00063018,0.0191807505,-0.263532674
misc__bw_delfadr__2,-0.510780058,0.162038061,0.2669858375,-0.11631999200000001
misc__nitr_031__1,-0.8839412375000001,-0.14324713,0.2818161705,-0.9732733830000001
omics__wt_glu__1,-0.0667384936,0.377238748,0.10244400050000001,-0.27007710900000004
omics__wt_glu__2,-0.3241528828,0.350270693,0.12107409250000001,-0.48450819700000003
omics__wt_gly__1,-0.4056993655,0.28573102100000003,-0.1523841725,-0.36892805500000003
omics__wt_gly__2,0.2158319002,0.29813094,0.1047796845,-0.41434703
omics__wt_thr__1,4.0721447786,1.467174526,1.4229996585,-0.9481183160000001
omics__wt_thr__2,2.9430895847,1.792553366,1.3478453175,-0.969254103
omics__bw_ac__1,4.0635304281,2.133923243,2.0737474815,0.15080785
omics__bw_ac__2,3.9055382504000002,2.223517891,2.0431639295,0.083708926
omics__bw_fum__1,1.1153253191,1.8317390420000002,1.5177218785000002,-0.562491394
omics__bw_fum__2,1.9733159452,1.94256487,1.4706894165,-0.5452326390000001
omics__bw_glc__1,0.2139154673,0.5522416480000001,0.5595096665,-0.040358465
omics__bw_glc__2,0.5463647266,0.37700977700000005,0.4926820765,0.030577709
omics__bw_pyr__1,0.5806100425,1.852541048,1.7457754565,0.123059286
omics__bw_pyr__2,1.6140982729000002,2.024864544,1.6523889125,0.17445421500000002
ompr__wt_nacl__1,0.6485593704,-1.669947679,0.11351675550000001,-0.389454801
ompr__wt_nacl__2,0.5770905627,-1.522227133,0.3948971035,-0.47818547600000005
ompr__bw_delompr_nacl__1,-0.2898047258,-2.077753343,0.2754990915,-0.669025941
ompr__bw_delompr_nacl__2,0.0021355278,-2.004657832,0.2824264755,-0.645977207
minspan__wt_ade__1,1.0729193152,0.31547361300000004,-0.6273949765,0.26376929200000004
minspan__wt_glc__2,1.3589128972,0.209200402,0.0738240265,0.042451487
minspan__wt_glc__3,1.0994746261,0.15643020200000002,0.1458497785,0.060463903000000006
minspan__wt_glc__4,-0.0923513355,0.16104981000000002,-0.053597238500000005,-0.000101212
minspan__wt_glc_anaero__1,0.0170399789,0.23088191800000002,-0.6465337815000001,-0.11454557100000001
minspan__wt_glc_anaero__2,1.0415322098,0.392094092,-1.1887097315,0.14154270400000002
minspan__wt_trp__1,0.7613485493000001,1.5002252980000002,1.3877594905000001,-0.19452438500000002
minspan__bw_delcra_glc__2,0.9322264068,0.9471924340000001,1.0459774715,0.126880445
minspan__bw_delcra_trp__1,1.860955582,1.002617307,0.5739937335,0.15797503200000002
minspan__bw_delmntr__1,0.0216211046,1.197372284,1.0439273625,-0.11024737600000001
minspan__bw_delnac_ade__1,0.7620896664,0.18655953,-0.42520489450000004,0.540775514
minspan__bw_delnac_glc__1,1.8514714959,0.135409305,-0.0108859855,0.01811412
cra_crp__wt_ac__1,4.7390457551,1.8938748950000002,1.4565350945,-0.40872647500000003
cra_crp__wt_ac__2,5.0649003935,1.887043602,1.2866972335,-0.45393609100000004
cra_crp__wt_fru__1,1.1740936092,1.385024424,0.8222999625,-0.346019569
cra_crp__wt_fru__2,0.891776322,1.4768416370000002,0.9336121415,-0.578276702
cra_crp__delcra_ac__1,4.6815533764,1.7271234180000001,2.0685641335,-0.28471820600000003
cra_crp__delcra_ac__2,4.3693553273,1.8051656440000001,2.1096635325,-0.302560941
cra_crp__delcra_fru__1,0.4730300851,-0.005805501,0.13078886750000002,0.002146982
cra_crp__delcra_fru__2,0.7858721438,-0.000684073,0.1832665205,-0.020487148
cra_crp__delcra_glc__1,0.4524242584,-0.143053791,0.14631847850000002,-0.24197277700000003
cra_crp__delcra_glc__2,0.3835443992,-0.001564124,0.1609384395,-0.264225413
rpoB__wt_031__1,1.9999903299000001,1.631142641,1.3391208445,-0.5353936960000001
rpoB__wt_044__1,0.3058900244,0.11683331100000001,-0.0361330835,-0.30754721500000004
rpoB__wt_lb__1,7.2811006828,2.2064169,2.5890383535,-0.5379059700000001
rpoB__wt_lb__2,5.9793249091,2.300229883,2.4797693055,-0.67502372
rpoB__rpoBE546V_031__1,2.3466915665,1.017917653,1.2956795625,-0.42697527900000004
rpoB__rpoBE546V_044__1,2.0739319843,0.42522311700000004,0.9592141295000001,-0.6921630520000001
rpoB__rpoBE546V_lb__1,9.3774290454,1.548186215,1.8746783425,-0.331622751
rpoB__rpoBE546V_lb__2,9.7198690006,1.5765559599999999,1.9411271665,-0.41118632200000005
rpoB__rpoBE546V_glc__1,0.5106120465,-0.40676732800000004,-0.0509986185,0.075325529
rpoB__rpoBE672K_glc__1,2.1086717493,-0.6286323020000001,-1.1439934265,-1.190189947
rpoB__rpoBE672K_glc__2,2.0990933155000002,-0.7764553940000001,-1.4756974615,-1.106949639
rpoB__rpoBE672K_lb__1,3.3991325467,0.212367837,0.6827520975,-1.378566412
rpoB__rpoBE672K_lb__2,3.1757633555,0.01059118,0.6782141015,-1.334563873
crp__wt_fru__1,1.253199985,0.975182972,0.47250379750000004,-0.060345854000000004
crp__wt_glyc__1,1.5484131316,1.2557653530000001,1.1184693505,-0.355093578
crp__wt_glyc__2,1.4028765738,1.305678394,0.9337643875,-0.256078165
crp__delar1_glyc__1,1.6225952038,0.779683216,1.3447052755,-0.7706148610000001
crp__delar1_glyc__2,0.37794053310000003,1.047775934,1.5290403695,-0.620558794
crp__delar1ar2_glyc__1,0.3448672562,0.12270821400000001,0.6044972535,-0.344736074
crp__delar1ar2_glyc__2,0.9035024309,0.163928239,0.5963940165,-0.308559674
crp__delar1ar2_glyc__3,0.8935606126000001,0.25767605600000004,0.7870533065,-0.46312095400000003
crp__delar2_glyc__1,1.9385094622999999,1.8155253720000002,3.1511208795,-0.777654284
crp__delar2_glyc__2,2.6723943855,1.914991214,3.0237270155,-0.7241155760000001
crp__delar2_glyc__3,2.439967357,1.858553574,2.9708111895,-0.656002017
crp__delcrp_fru__1,-1.0111935381,0.060681267000000004,0.1697153945,0.093432763
crp__delcrp_fru__2,-1.1917875258,0.032509327000000005,0.2799262925,0.17760055500000002
crp__delcrp_fru__3,0.0904583785,0.140620133,0.4147288435,0.094053918
crp__delcrp_glc__1,-0.9741878913,-0.005261771,0.4472030715,-0.034874636
crp__delcrp_glc__2,-0.837431125,-0.027840574000000003,0.09906416650000001,-0.070193026
crp__delcrp_glc__3,-0.6250177924,-0.06405753,0.037592110500000005,-0.022893241
crp__delcrp_glyc__1,-0.2898947953,-0.11987568,0.13759408750000002,0.008628549000000001
crp__delcrp_glyc__2,-1.3198166845000001,0.002774284,-0.1486421535,-0.017408629000000002
crp__delcrp_glyc__3,0.23269554110000001,-0.017478649000000002,-0.1674504875,0.058001731
glu__glu_ale3__1,1.6386937194,0.632236519,0.42319009150000003,-0.270887882
glu__glu_ale4__1,1.1447033984,-0.087121444,-0.1754000225,-0.48968689200000004
glu__glu_ale5__1,0.9020159141,-0.038123357000000004,0.0829049105,-1.2029825
glu__glu_ale6__1,1.2273898995,-0.930320922,-0.7456977055,-1.143305028
glu__glu_ale8__1,0.0534842827,1.052385909,0.6463544845,-0.139997692
glu__glu_ale9__1,1.0033325006,0.09728687700000001,0.40544233350000003,-0.783201479
glu__glu_ale10__1,2.2332995132,0.32846510900000003,-0.1459172645,-0.552777077
42c__wt_42c__1,0.5549201594000001,0.510106122,0.7315343195,-0.046648908
42c__42c_ale1__1,0.9851655990000001,1.40758578,1.3510319655,-0.675128061
42c__42c_ale2__1,0.8785841670000001,0.443506958,1.0762265235,0.000887368
42c__42c_ale3__1,0.0834063625,0.38081237,0.3463139085,0.397856735
42c__42c_ale4__1,0.17199040100000001,0.329088366,1.4108625135000001,-0.223866108
42c__42c_ale5__1,0.8244964492,0.25278346300000004,0.1275534905,-0.200182661
42c__42c_ale6__1,-1.2210241663999999,1.113389582,0.2763475765,0.238355283
42c__42c_ale8__1,0.4055652252,0.7657249260000001,1.1750104635,-0.149369539
42c__42c_ale9__1,1.5781972315,0.5838763690000001,0.7247867565,0.097897254
42c__42c_ale10__1,0.0946114344,0.7628274730000001,1.0422742855,-0.5766757840000001
ssw__wt_ac__1,1.9529180975,1.095577233,1.1900710495,0.5049563220000001
ssw__wt_glc__1,0.6627796849,-0.20323489600000003,-0.9564327395000001,-0.422158013
ssw__wt_glyc__1,2.9802050925,1.218091872,0.4786410085,-0.722624357
ssw__wt_xyl__1,0.6959490994,0.38755958700000004,-0.8909112835,-0.137201875
ssw__glc_ale1__1,2.6605805886000002,1.078150993,1.3376242925000001,0.023709749000000002
ssw__glc_ale2__1,1.7934378528,0.08818550700000001,0.4937330005,0.061854002000000005
ssw__glc_ale3__1,0.2492733326,0.16236913800000002,-0.7298985575,0.19248879200000002
ssw__glyc_ale1__1,1.7700029393999999,1.072676473,1.1410873905,0.14602109700000002
ssw__glyc_ale2__1,0.2809054395,0.330127168,-0.8006670845,0.30961519
ssw__xyl_ale1__1,4.4336087308,0.9048957510000001,0.8084368945,-0.28509243100000004
ssw__xyl_ale2__1,2.9587061114,1.219263394,1.0667355865,-0.38310402
ssw__xyl_ale3__1,2.6547025369,0.6815218310000001,0.5039265315,-0.41027758200000003
ssw__glc_ac_ac2__1,3.3387504933,0.419401982,-1.0170330305,-0.575718536
ssw__glc_ac_glc1__1,1.2748050034,-0.24813652600000002,-0.7864649705000001,-0.10565268100000001
ssw__glc_glyc_glc__1,2.7331213832,0.30901304900000004,0.49908180550000003,-0.038023875000000006
ssw__glc_glyc_glyc__1,2.7670674821,1.101024688,1.6864473055,-0.30091418200000003
ssw__glc_xyl_glc__1,1.4045026497,-0.11236285900000001,0.1343261325,-0.5436653140000001
ssw__glc_xyl_xyl__1,1.1473047124,0.429471934,0.2287504075,-0.13661187400000002
ica__wt_glc__1,0.9526458956,-0.180322443,-0.2609751495,-0.608322275
ica__wt_glc__2,1.1349483404,-0.23633747500000002,-0.49180984450000004,-0.831242358
ica__wt_glc__3,0.8310490726,-0.0019886780000000002,-0.4280312505,-0.057807111
ica__wt_glc__4,0.5942908615,0.127730371,0.0077319015,-0.00958894
ica__arg_sbt__1,3.6193790642,1.028973714,0.9974888655,-1.084838794
ica__arg_sbt__2,1.6210153157,1.21899009,0.8984927765,-0.706660861
ica__cytd_rib__1,3.7640939609,2.123605923,2.6364641745,-0.12333005200000001
ica__cytd_rib__2,4.9402405136,2.047168357,2.5781268585,-0.264677999
ica__gth__1,3.340500077,-0.313515735,0.1919115835,1.214349453
ica__gth__2,3.9601574821,-0.681044351,-0.0404717235,1.8476541
ica__leu_glcr__1,0.6778071822,0.538146829,-0.1852960705,-0.560263732
ica__leu_glcr__2,1.3519477689000001,0.498248458,-0.24265469550000002,-0.5640284160000001
ica__met_glc__1,1.234910792,-0.440551328,-0.5623513955,-0.8593785810000001
ica__met_glc__2,0.7852457531,-0.649089902,-0.6042395915000001,-0.69970899
ica__no3_anaero__1,-0.44284434370000003,-0.164478611,-0.6042569685,0.23317179600000001
ica__no3_anaero__2,-0.5076633907,-0.209483876,-0.6951885555,0.31747654000000003
ica__phe_acgam__1,0.8784532087,0.001305132,-0.2798324995,-0.511772774
ica__phe_acgam__2,0.9082963032,0.10486582100000001,-0.30295666450000003,-0.5327512790000001
ica__thm_gal__1,1.43729979,1.1393297900000001,1.0251504925,-0.274042149
ica__thm_gal__2,1.7284204490000001,1.109519871,1.0562651555,-0.24473533300000003
ica__tyr_glcn__1,0.6932059105,-0.035235731,-0.4890895275,-0.7885953670000001
ica__tyr_glcn__2,0.7725547285000001,0.08541349100000001,-0.3576178745,-0.824976982
ica__ura_pyr__1,1.5950764214,0.989829394,0.4149987425,-0.276810331
ica__ura_pyr__2,2.2244403708,1.732936508,1.0325031915,-0.21674389
ica__wt_glc__5,0.6116482349,0.006117947,-0.16423387350000002,-0.27621874
ica__wt_glc__6,0.683353983,0.070730004,-0.1324097405,-0.14206173900000002
ica__bw_delpurR_cytd__1,0.48389594100000005,-0.144379009,0.10131356550000001,-0.5846684280000001
ica__bw_delpurR_cytd__2,1.0685644158,0.256215597,0.1265050655,-0.07250758
ica__ade_glc__1,0.4466909868,0.361094874,0.2121301615,-0.10310831300000001
ica__ade_glc__2,1.2935914777,-0.36104842800000003,-0.11387609650000001,-0.825200212
ytf__wt_glc__1,0.9127043813,0.072495817,0.5324142525000001,-0.191460932
ytf__wt_glc__2,0.9494683188,0.682569192,0.9569860405,-0.06730196100000001
ytf__delyafC__1,1.2404935083,0.7594330370000001,1.0915083345,0.12023970900000001
ytf__delyafC__2,0.7073927426000001,0.836642262,1.1257674975,-0.014641709000000001
ytf__delyeiE__1,-0.8276727660000001,0.437636399,0.2360720325,0.313278166
ytf__delyeiE__2,-0.222115622,0.102488411,-0.034812947500000004,0.283205776
ytf__delyiaJ__1,0.8148672049,0.7907963950000001,0.7017030975,-0.066646859
ytf__delyiaJ__2,0.4326090087,0.534848627,0.7890597435000001,0.11693867000000001
ytf__delyieP__1,-0.1735063489,0.9297543570000001,1.1087383435,-0.15438057700000002
ytf__delyieP__2,-0.0118784823,0.5325879840000001,0.7426527935,-0.29253328
ytf__wt_ph5__1,0.083254113,0.033031797,-0.0077137295000000005,0.119452177
ytf__wt_ph5__2,1.0248543489,0.072078267,0.1198050475,0.039423562
ytf__wt_ph8__1,0.8090731089000001,0.12243654100000001,0.3512356735,0.051597636
ytf__wt_ph8__2,1.0424211508,0.362980299,0.4346173265,0.008618204
ytf__delybaO__1,0.3494159967,1.149067444,1.3511670815,-0.100273148
ytf__delybaO__2,0.4417434736,1.415273191,1.4527499065,-0.256829937
ytf__delybaQ__1,-0.364271487,-0.061013828000000006,0.0310453395,0.19482749900000002
ytf__delybaQ__2,0.1518775406,0.05525335,0.2878133275,0.19044861200000002
ytf__delybiH__1,1.3866400072,0.44027175900000004,1.0254236055,-0.274820564
ytf__delybiH__2,0.9386263113000001,0.7999109480000001,1.1835569785,-0.18869563
ytf__delydcI_ph5__1,0.27339171100000004,0.0033258460000000004,-0.051889131500000005,0.037488124000000005
ytf__delydcI_ph5__2,0.2005142621,-0.17213264,-0.09780712650000001,-0.088590785
ytf__delydcI_ph8__1,0.9128397957000001,0.089596775,0.18946144450000002,0.127233552
ytf__delydcI_ph8__2,1.0554887111,0.265479204,0.26592969250000004,-0.147892147
ytf__delyddM__1,0.8817286609,0.14384385200000002,0.025671054500000002,0.41387063
ytf__delyddM__2,1.1559256299,0.133324662,0.0996268015,0.47598679
ytf__delyheO__1,0.8867429083,0.864606768,1.3373016645,-0.01554795
ytf__delyheO__2,0.8941681245,1.28142394,1.5536249305,-0.185933162
fps__bw_glc__1,0.0373575401,0.020350212000000003,0.1932184535,-0.251230615
fps__bw_glc__2,0.5625078824,-0.024265712000000002,0.2979038645,-0.133332904
fps__fps_thrA_ale1__1,0.5585651062,0.30641021900000004,0.0168669095,0.293326798
fps__fps_thrA_ale1__2,1.2502018124,0.520138428,0.0008868355,0.2291879
fps__fps_thrA_ale2__1,1.6516197845,0.364481229,0.0787729005,0.13001654
fps__fps_thrA_ale2__2,1.393962422,0.41363025200000003,0.18107818150000002,0.144114346
fps__fps_serB_ale1__1,-0.2975309702,0.299898196,0.3117199135,0.25691694800000003
fps__fps_serB_ale1__2,-0.025573074100000003,0.219799286,0.1480392355,0.18215876
fps__fps_serB_ale4__1,0.5205141958,0.260813479,-0.1667357405,0.94691125
fps__fps_serB_ale4__2,0.7279609739,0.07160045500000001,-0.23236713350000002,0.642251487
fps__fps_ptsI_ale1__1,2.1314049843,1.638785521,1.4062916715,0.034934701000000005
fps__fps_ptsI_ale1__2,2.4375797369,1.6452385070000002,1.4815408665,0.022151742000000002
fps__fps_ptsI_ale3__1,2.1204959376,1.309780234,1.2023566335,-0.180505512
fps__fps_ptsI_ale3__2,1.9982183245,1.255938739,1.2286621935,-0.11613058700000001
pal__lyx_ale2_f6__1,2.9265342871,2.036780581,1.7674155865,0.734797233
pal__lyx_ale2__1,3.0803526951,1.5923879969999999,1.8277528625000001,0.180653545
pal__lyx_ale2__2,3.3560856340000003,1.551532349,1.8889252404999999,0.18062075100000002
pal__lyx_ale4__1,2.7243517969,1.409342381,1.2471500385,-0.33073325200000003
pal__lyx_ale4__2,2.2853592416,1.216190004,1.0431530825,-0.5074392160000001
pal__5drib_ale10_f18__1,3.9125336848,2.509456639,2.1956324775000002,-0.020574012000000003
pal__5drib_ale10_f18__2,3.1652161404,2.421720808,1.9801006195,0.002038952
pal__5drib_ale10__1,2.8657024159,2.37690214,1.9291285685,-0.28588536000000003
pal__arab_ale14_f9__1,9.6948596027,2.368434581,1.0179348605,0.40578348900000005
pal__arab_ale14_f9__2,9.6164589447,2.384379559,0.9398231565,0.41027816300000003
pal__arab_ale14__1,21.1633152446,1.941577926,2.2945926145,0.49070869800000005
pal__arab_ale14__2,21.5192943292,1.7644073040000001,2.3209607625,0.7068804860000001
pal__arab_ale16__1,26.5508374358,4.534117698,2.6271186525,1.036433434
pal__arab_ale16__2,25.8004208318,4.559281553,2.4774278545,1.184482979
pal__tartr_ale26_f10__1,-0.7862434843,2.101794694,1.7952571865,0.6113349090000001
pal__tartr_ale26_f10__2,-1.332857856,2.050749552,1.8941369495,0.787432923
pal__tartr_ale26__1,10.2322381282,1.823674835,1.8093610775000002,0.275297646
pal__tartr_ale26__2,10.7324565373,1.820427923,1.7964715395000002,0.274206591
pal__tartr_ale28_f10__1,10.5500300019,1.526248458,2.0176029035,1.580193113
pal__tartr_ale28_f10__2,9.3217616145,1.64487285,1.7561730905,1.646043823
pal__tartr_ale28__1,-0.7138387121,1.203341804,1.6384989625,-0.175818573
pal__tartr_ale28__2,0.0400803226,1.48117098,1.4011823485,-0.08097385400000001
efeU__delmenFentC_citr__1,0.8238814723000001,-0.11783061900000001,0.3320040875,0.01596488
efeU__delmenFentC_citr__2,0.6491597523,-0.08885789,0.4640217445,-0.22836060100000002
efeU__delmenFentC__1,1.0460484582,-0.270754204,0.1281010275,0.366034729
efeU__delmenFentC__2,1.4952716618,-0.274666426,0.047975116500000005,0.327563947
efeU__menFentC_ale39__1,1.8774137516,0.42613184600000004,0.9772585895,-0.578674745
efeU__menFentC_ale39__2,1.4111162844,0.493128854,0.6931361035,-0.6208750550000001
efeU__menFentC_ale29__1,1.1045929482,-0.020630303000000003,0.2824310105,-0.389654834
efeU__menFentC_ale29__2,1.6060402066,-0.120535579,0.22074983950000002,-0.35679560800000004
efeU__menFentC_ale30__1,2.607467398,-0.468895335,0.3020982935,-0.091708432
efeU__menFentC_ale30__2,1.2817971278,-0.45088783400000004,0.3129541005,-0.11603698
efeU__menFentCubiC_ale36__1,0.5783976945,0.306188183,0.20369749750000002,0.24138346
efeU__menFentCubiC_ale36__2,0.5318256605,0.12067797300000001,0.1123004325,0.441365553
efeU__menFentCubiC_ale37__1,0.4333725546,0.26780302100000003,0.3194543515,0.489253219
efeU__menFentCubiC_ale37__2,0.82145459,0.375941544,0.2330998015,0.42962041900000003
efeU__menFentCubiC_ale38__1,1.1580369493,-0.262435072,0.0468533635,-0.151144408
efeU__menFentCubiC_ale38__2,1.5839507529999999,-0.405828728,0.1471210585,-0.049903340000000004
misc2__salc_glc__1,1.4970070798,-0.40388652300000005,0.6919272955,0.256350095
misc2__salc_glc__2,1.7748719061,-0.367212272,0.5271889805000001,0.47858083100000004
misc2__dbcn_glc__1,2.7597159115,-0.82953174,-0.9834803555,0.733356215
misc2__dbcn_glc__2,2.348372661,-0.582727172,-0.8269726345,1.2633783250000001
misc2__tyr_glc__1,1.0733062456,-0.11784507200000001,-0.0425677465,0.205850355
misc2__tyr_glc__2,1.2080536121,0.142880894,-0.0646232395,0.17989073800000002
misc2__arg_cytd__1,0.6683604322000001,-0.10126460500000001,-0.2194882095,-0.33548286
misc2__arg_cytd__2,0.4454325435,-0.290497563,-0.0676701155,-0.319688426
misc2__delyheO_pyr__1,2.4345821014,1.3790160120000001,1.1261198045,-0.186057939
misc2__delyheO_pyr__2,2.4838588619,1.29715094,1.0857543635,-0.199794133
nquinone__delubiC__1,0.7093365263,0.0792316,-0.025519746500000003,0.15362192
nquinone__delubiC__2,0.5020569733,0.16567952100000002,0.0520109995,0.28774817
nquinone__ubiC_ale1__1,1.214972188,0.223050136,0.1189345265,0.537899848
nquinone__ubiC_ale1__2,1.270359944,-0.0035837190000000004,0.0156667975,0.24472869300000002
nquinone__ubiC_ale2__1,1.4713746714,0.203236987,0.1918191645,0.37979447
nquinone__ubiC_ale2__2,0.9740401590000001,0.23347246,0.0828040185,0.42209983
nquinone__ubiC_ale3__1,1.342309063,-0.435511454,-0.6041820895000001,0.29878459500000004
nquinone__ubiC_ale3__2,0.8394352515,-0.6483124,-0.5963581945,0.25769332100000003
nquinone__ubiC_ale4__1,0.9275028345,0.10269734200000001,0.1505361505,0.29426528100000005
nquinone__ubiC_ale4__2,1.2048700981,0.153704371,0.2150588695,0.345256538
nquinone__delpdhR__1,0.8638811241000001,-0.132406896,-0.34733175050000004,-0.35533222400000003
nquinone__delpdhR__2,1.2865974918,-0.066567555,-0.4096675965,-0.36874651900000005
quinone__glu_ale4__1,1.5259972956999999,-0.26902053400000003,-0.4704500475,-0.067817441
quinone__glu_ale4__2,0.963949943,0.24774125900000002,0.3255885845,-0.058345417000000004
quinone__delmenF__1,0.051094831,-0.00166139,-0.0961821645,-0.09455537200000001
quinone__delmenF__2,1.041561801,-0.055128127000000006,0.3141452395,0.056975867000000006
quinone__menF_ale5__1,1.109262918,0.715228101,0.6504225865000001,-0.052000692
quinone__menF_ale5__2,1.2167691581,0.36537733,0.7588333125000001,-0.228870589
quinone__menF_ale6__1,1.8352081923,0.7213511,0.7536758435,-0.342742859
quinone__menF_ale6__2,0.8049876485,0.747703306,0.6942121095,-0.472422714
quinone__menF_ale7__1,1.8064422736,1.335035975,1.1671821005,-0.327294805
quinone__menF_ale7__2,2.1252503786,1.202463488,1.2582594325,-0.291648715
quinone__menF_ale8__1,2.0812503336,0.251499277,0.6883824725000001,-0.38232591400000004
quinone__menF_ale8__2,1.4121453893,0.30921008,0.3664857425,-0.40075545900000004
quinone__delmenFubiC__1,0.3958900788,0.11202344700000001,-0.0733034125,0.24937948000000001
quinone__delmenFubiC__2,-0.0959195732,0.317215966,0.0183670275,0.270109736
quinone__menFubiC_ale1__1,-0.3594753217,0.36935575800000003,-0.3002083075,-0.30902424100000003
quinone__menFubiC_ale1__2,-0.2778052782,0.23757781400000003,-0.4773156375,-0.31594220500000003
quinone__menFubiC_ale2__1,0.21560927400000002,0.186096128,-0.3289077995,-0.171015691
quinone__menFubiC_ale2__2,-1.351471427,0.180528564,-0.5411758345000001,-0.44667837600000004
quinone__menFubiC_ale3__1,1.0375089964,-0.332263197,-0.0967738585,-3.2802e-05
quinone__menFubiC_ale3__2,1.28351926,-0.199575929,-0.2016807515,-0.0416273
quinone__menFubiC_ale4__1,2.0052617986,0.39688688600000005,0.9879547995,-0.11166174200000001
quinone__menFubiC_ale4__2,2.1949940646,0.664008915,0.7432885075,-0.079181412
oxyR__wt_glc__1,0.7794313507,-0.06169939,-0.0420426155,0.097306718
oxyR__wt_glc__2,1.0698253367,-0.287145688,-0.2730109155,0.10126436500000001
oxyR__wt_h2o2__1,1.1399899939,-0.197011333,-0.0318168265,0.142876013
