,A,GadE,GadW,GadX
nac_ntrc__bw_delnac_cytd__1,0.3532886328,-0.435634603,0.582224426,-0.0016244155
nac_ntrc__bw_delnac_cytd__2,0.2736209394,-0.41213476200000004,0.5982516680000001,-0.0393651685
nac_ntrc__bw_delnac_gln__1,5.1613871416,2.474371886,1.616408244,1.1473516925
nac_ntrc__bw_delnac_gln__2,5.0030129368,2.617580598,1.693071207,1.2716164785
nac_ntrc__bw_delnac_nh4__1,-0.5069182804,-0.9291518750000001,-0.656205005,-0.7623851755000001
nac_ntrc__bw_delnac_nh4__2,-0.5682818312,-1.315528775,-0.554440339,-0.8481387655
misc__wt_no_te__1,2.147174432,1.413792656,0.7306706810000001,0.3540893775
misc__wt_no_te__2,1.5167663417,0.7830216520000001,0.364576983,0.0672567385
misc__bw_delcbl__1,-1.8186252943,-1.081315711,-0.7280113650000001,-1.0031535195
misc__bw_delcbl__2,-1.171477091,-0.954396942,-0.5784660030000001,-0.7303237815
misc__bw_delfabr__1,-3.4262013885,-2.518262859,-1.7178206020000002,-2.0228205285
misc__bw_delfabr__2,-3.80649084,-2.35087058,-1.706090157,-2.2226282165
misc__bw_delfadr__1,-1.0518741296,-0.9745280510000001,-0.230839813,-0.5562966065
misc__bw_delfadr__2,-0.9926500002,-1.020082467,-0.216614084,-0.5743505425000001
misc__nitr_031__1,6.5789318481,2.774370198,1.260818029,0.9696136905
omics__wt_glu__1,0.9379611316,0.133922031,1.6234802190000002,0.5847712625
omics__wt_glu__2,1.1693679403,-0.040593065000000005,1.41107181,0.1243398975
omics__wt_gly__1,2.5549061698,0.22652527200000003,1.21019296,0.3938978885
omics__wt_gly__2,2.3257890725,0.155657544,1.252214763,0.3540767955
omics__wt_thr__1,3.4561685583,2.823444508,1.879815238,1.7915137305000002
omics__wt_thr__2,4.6145799907,2.801905108,2.056366966,1.9122185434999999
omics__bw_ac__1,-1.6198440732,-0.633346965,-0.378980555,-0.5347496345
omics__bw_ac__2,-0.7479079468000001,-0.642972573,-0.45761565400000004,-0.3125456895
omics__bw_fum__1,-3.8717688909,-3.150607337,-1.911670788,-1.8076444175000002
omics__bw_fum__2,-3.5025021564000003,-2.974262345,-2.101659599,-1.7337613305000001
omics__bw_glc__1,-1.5066196813000001,-0.99530305,-0.49831519900000004,-0.4403304865
omics__bw_glc__2,-0.9674853771,-0.9655629410000001,-0.52361264,-0.5462515795
omics__bw_pyr__1,-4.2819401274,-3.009993231,-1.544738829,-0.8417174485000001
omics__bw_pyr__2,-4.9361275061,-3.757053129,-1.60925665,-0.9461260325
ompr__wt_nacl__1,1.3909712081,1.346079963,1.832809218,1.9910360595
ompr__wt_nacl__2,2.127199653,1.208134007,1.9073840350000002,1.9055433105000001
ompr__bw_delompr_nacl__1,1.5379522882,-1.159721878,1.783833096,2.1682473555
ompr__bw_delompr_nacl__2,1.9721589348,-1.189588767,1.7194623070000001,2.1231500655
minspan__wt_ade__1,1.5476198380000001,-0.9370504780000001,1.424785844,0.8973646515
minspan__wt_glc__2,-0.054261442400000005,0.129956004,0.80390633,0.0709246345
minspan__wt_glc__3,0.0429325219,-0.098062514,0.691619076,-0.0206015305
minspan__wt_glc__4,-0.2931703552,-0.443745241,0.591377758,-0.0933717525
minspan__wt_glc_anaero__1,3.2950987765,1.246332302,1.483491353,0.4667018155
minspan__wt_glc_anaero__2,3.4190985368,1.15845545,1.335162955,0.3605176755
minspan__wt_trp__1,-0.3294362585,1.105586774,0.157508648,0.3446108265
minspan__bw_delcra_glc__2,1.43134552,0.730496867,0.9462769110000001,0.9584900285
minspan__bw_delcra_trp__1,-0.5042045755,1.116284531,1.098664275,1.2113824975
minspan__bw_delmntr__1,-3.3054239632,-3.086779417,-1.201004224,-2.1356155775
minspan__bw_delnac_ade__1,-1.5270356479,-1.063073557,-0.10213981300000001,0.18836579150000002
minspan__bw_delnac_glc__1,-1.1508557544,0.165367853,0.879765046,0.5466738855000001
cra_crp__wt_ac__1,2.5658815930000003,1.087755858,1.116933942,0.4230997695
cra_crp__wt_ac__2,2.4589356529,0.96712667,1.085421368,0.3689077585
cra_crp__wt_fru__1,-0.1982848671,-1.190433638,0.485292985,-0.3414185825
cra_crp__wt_fru__2,-0.31269110910000003,-0.830151167,0.550311455,-0.0614367535
cra_crp__delcra_ac__1,-0.3078024479,0.157259067,-0.349465574,-0.1675351225
cra_crp__delcra_ac__2,-0.3133304698,-0.111153627,-0.438083153,-0.3311380915
cra_crp__delcra_fru__1,3.8912087561,1.923704602,1.136826201,0.7307231055000001
cra_crp__delcra_fru__2,4.1384524269,1.84144454,1.218760394,0.5180304865
cra_crp__delcra_glc__1,0.3386565379,0.09740875700000001,0.027506371,-0.1591694925
cra_crp__delcra_glc__2,0.7529195482000001,0.23374870900000003,0.073995842,-0.0818602945
rpoB__wt_031__1,-1.4836637336,-1.3769379,-0.618681342,-0.8791274405
rpoB__wt_044__1,4.2370411287,0.61015553,0.9471625950000001,-0.0040028775
rpoB__wt_lb__1,2.9896511483,0.139649709,0.09808772,-0.1341524655
rpoB__wt_lb__2,2.6997888497,0.021145758,0.246563463,-0.1515445735
rpoB__rpoBE546V_031__1,-0.893418339,-0.899888027,0.15170543,-0.3916882325
rpoB__rpoBE546V_044__1,-0.1663062901,-0.36045058700000004,0.389219588,-0.12611743450000001
rpoB__rpoBE546V_lb__1,-2.747514421,-5.780999819,-0.8835893530000001,-1.6231970045000002
rpoB__rpoBE546V_lb__2,-3.4501984443,-4.943870544,-1.281129677,-1.9313957055
rpoB__rpoBE546V_glc__1,-1.4695370898,-3.292704481,0.019949094,-0.7906842455
rpoB__rpoBE672K_glc__1,-5.6622305308000005,-6.411497989,-1.281693433,-2.3959389855
rpoB__rpoBE672K_glc__2,-5.6229138557,-6.747458293,-1.786996383,-2.4724740365
rpoB__rpoBE672K_lb__1,-7.913403777,-6.113753217,-2.508386547,-3.7807173775000003
rpoB__rpoBE672K_lb__2,-6.9819775967,-7.303250722,-2.191780917,-3.8310427685
crp__wt_fru__1,-1.8978521089,-1.6352017010000002,-1.2782083,-1.0349503855
crp__wt_glyc__1,-3.8802643109,-3.180556979,-2.021607622,-2.0598013055
crp__wt_glyc__2,-3.7829211487,-3.232954572,-1.983985939,-1.8432232455
crp__delar1_glyc__1,-1.9116789710000002,-0.848333027,-0.963563393,-0.4147074605
crp__delar1_glyc__2,-1.0504055994,-0.225027944,-0.525788052,-0.0268740815
crp__delar1ar2_glyc__1,-1.4428931671,-1.716183419,-0.8469844480000001,-1.2687447835
crp__delar1ar2_glyc__2,-1.2618500399,-2.090425104,-0.9199065780000001,-1.3185563105
crp__delar1ar2_glyc__3,-1.2522694018,-1.338844867,-0.825492121,-1.0371191905
crp__delar2_glyc__1,0.5806091715,0.8813675620000001,-0.43475637100000003,-0.2700508705
crp__delar2_glyc__2,0.5697390547,0.9518579260000001,-0.24328116300000002,-0.3513296575
crp__delar2_glyc__3,0.914747987,0.6214097430000001,-0.453909186,-0.3897686635
crp__delcrp_fru__1,7.239797293,3.006185808,1.408067237,1.1948374065
crp__delcrp_fru__2,6.8898080575,2.3533441010000002,1.051193035,0.7470562885
crp__delcrp_fru__3,6.5683761704,2.907120538,1.417342729,1.2226409835
crp__delcrp_glc__1,6.2215185538,2.43560463,0.57052875,0.7165756065000001
crp__delcrp_glc__2,5.6270878813,2.500405166,0.49273302,0.6537706495000001
crp__delcrp_glc__3,6.3931958727,2.616784865,0.6084343050000001,0.8757698375
crp__delcrp_glyc__1,2.2010897124,1.211874303,0.011693979,-0.48771154250000004
crp__delcrp_glyc__2,2.2750144918,1.5312033930000002,0.037232564,-0.4297659245
crp__delcrp_glyc__3,2.3945517342000002,1.7856474900000001,0.14973972600000002,-0.2743316055
glu__glu_ale3__1,-6.6807062748,-5.257433968,-3.820824262,-3.5605257545
glu__glu_ale4__1,-5.6446215197,-6.528879,-3.220637316,-4.5700092355
glu__glu_ale5__1,-6.5254911308,-6.879371837,-2.482109099,-3.6301086555
glu__glu_ale6__1,-6.8273694966,-5.841163557,-3.165400574,-4.0755330465
glu__glu_ale8__1,-5.4253745966,-5.052857556,-3.129414161,-2.6778444525
glu__glu_ale9__1,-6.5475711736,-6.379691342,-2.859600121,-3.9846037045
glu__glu_ale10__1,-5.7111713204,-5.388335546,-2.188454741,-3.1232451655
42c__wt_42c__1,2.0573525397,-1.222278073,-1.396659138,-0.6641676675
42c__42c_ale1__1,-5.2465655003,-2.906293829,-2.952788327,-2.4926936955
42c__42c_ale2__1,-6.4122811103,-4.630205465,-2.834563574,-3.3215281885
42c__42c_ale3__1,-4.8388510088,-4.084261632,-2.643261265,-2.5676270685
42c__42c_ale4__1,-6.1432033354,-5.715857397,-3.857724788,-3.7653167725000003
42c__42c_ale5__1,-7.4821232573,-5.384678239,-1.386267358,-3.2485777455
42c__42c_ale6__1,0.9285102212,-1.82320323,-2.330740671,-2.3587458455
42c__42c_ale8__1,-1.806728837,-1.919298023,-2.209546733,-1.6374206695
42c__42c_ale9__1,-5.5453663016,-4.060996897,-2.942839616,-2.2969533875
42c__42c_ale10__1,-5.0006476231,-3.427425238,-2.739693018,-2.4741213105
ssw__wt_ac__1,6.4350405330000005,3.015335818,1.93967369,1.5725522955
ssw__wt_glc__1,2.321179768,0.8090144010000001,1.407133981,1.0121943235
ssw__wt_glyc__1,-0.32677151600000004,0.5380008270000001,-0.7199954860000001,-0.5384877405
ssw__wt_xyl__1,-0.2952733664,0.45222715100000005,0.08260465,0.1949208375
ssw__glc_ale1__1,-4.8810903927,-4.528079491,-0.278292558,-0.8785478975000001
ssw__glc_ale2__1,-7.1030289629,-3.815801143,-1.516682156,-1.4678291235
ssw__glc_ale3__1,-5.9474394007,-3.976703897,-2.098077214,-1.4820735955
ssw__glyc_ale1__1,-1.8906016785,-2.111606147,0.438221892,-0.5866332855
ssw__glyc_ale2__1,-5.8035086823,-4.465020881,-1.356406531,-0.9423013995
ssw__xyl_ale1__1,-4.2508034785,-4.110239561,-1.97399177,-1.8214672175
ssw__xyl_ale2__1,-7.1735477921,-4.636541051,-2.039250685,-2.5037119015
ssw__xyl_ale3__1,-0.1118182568,-1.5552833380000002,-0.206092725,-0.5179192585
ssw__glc_ac_ac2__1,-4.2125892424,-2.735339251,-0.251824008,-0.18483118950000002
ssw__glc_ac_glc1__1,-3.5088605703,-2.796971465,-0.540798118,-0.9389855945000001
ssw__glc_glyc_glc__1,-4.7426854779,-2.469806103,-0.7358312290000001,-0.2074226065
ssw__glc_glyc_glyc__1,-5.731126754,-4.646210984,-1.693338753,-1.9561528685
ssw__glc_xyl_glc__1,-5.7566383831,-4.319264761,-2.109054664,-1.9803755385000001
ssw__glc_xyl_xyl__1,-6.1896413856,-5.6891505680000005,-1.699236873,-2.2334857265
ica__wt_glc__1,-4.2479509284,-2.877150595,-1.196404176,-2.6820876755
ica__wt_glc__2,-4.4941247175,-3.011152242,-1.147654787,-2.7018631905
ica__wt_glc__3,-3.4280690487,-3.496445988,-1.561464642,-2.8471762915000003
ica__wt_glc__4,-4.4731488786,-1.278631672,-0.7011498780000001,-1.7290232895000002
ica__arg_sbt__1,-4.5251500418,-2.661873929,-3.640530501,-2.5679504395
ica__arg_sbt__2,-4.458655657,-2.585748992,-3.231117176,-2.3577456785
ica__cytd_rib__1,-3.7698940589000003,-2.072315782,-0.41970356000000003,-1.4912708385
ica__cytd_rib__2,-3.5886589591,-1.8149837510000002,-0.33861643700000005,-1.3227017195
ica__gth__1,-7.7666446821,-3.960061428,-1.393069997,-0.2893386785
ica__gth__2,-7.4995147408000005,-4.855702134,-2.408482429,-0.7855878285
ica__leu_glcr__1,-6.1764693108,-3.840328547,-2.544273163,-2.5893977465
ica__leu_glcr__2,-6.1772938808,-3.687593912,-2.75308715,-2.8568834615
ica__met_glc__1,-3.1121414681,-1.745470077,-1.444732645,-1.8183923305
ica__met_glc__2,-3.1840294432,-2.17402493,-1.697261814,-2.0743621715
ica__no3_anaero__1,5.028263746,3.515169868,1.360021274,1.1866750015
ica__no3_anaero__2,5.3383592894,3.8107809880000003,1.322140998,1.3401015795
ica__phe_acgam__1,-3.352745801,-2.145600519,-1.028571155,-1.7561430025
ica__phe_acgam__2,-3.8188689149,-2.638503863,-1.228230601,-1.9421576475000002
ica__thm_gal__1,2.4006382143,2.247250883,-0.337977539,-0.1420198365
ica__thm_gal__2,2.2606472237,1.798117261,-0.528370134,-0.4840179345
ica__tyr_glcn__1,-5.1376075742,-3.298545962,-1.588094947,-2.7535215385000003
ica__tyr_glcn__2,-4.9801503417,-3.366678442,-1.375024388,-2.7243186135
ica__ura_pyr__1,-3.7388517603,-0.7966235620000001,-0.621178038,-1.4441016815
ica__ura_pyr__2,-3.2722793113,-0.310725486,-0.939121623,-1.0161573185
ica__wt_glc__5,-4.5030356616,-2.471692186,-0.9889248820000001,-2.0696088345
ica__wt_glc__6,-4.3143581914,-2.396141847,-0.9427251940000001,-1.8934059435
ica__bw_delpurR_cytd__1,-7.7760647335,-5.66148696,-2.721225773,-3.5665444835
ica__bw_delpurR_cytd__2,-6.2422153471,-3.696454996,-1.695554091,-2.4868514615
ica__ade_glc__1,-5.3077735327,-3.405714454,-1.76943737,-2.1694308705
ica__ade_glc__2,-7.3082917564,-5.759446487,-2.729811283,-3.7408427185
ytf__wt_glc__1,0.8633456357,1.216884528,-0.021624869,0.4181332185
ytf__wt_glc__2,1.2153751468,2.165284963,0.24032783900000002,0.8978764335
ytf__delyafC__1,1.8496040163,2.149776604,0.873962526,1.1120384265
ytf__delyafC__2,2.193606487,2.303223431,0.966888998,1.2081581855
ytf__delyeiE__1,1.4750831767,0.8131973290000001,1.312438238,1.0320698235
ytf__delyeiE__2,-0.2069997395,0.09576593200000001,0.277521601,0.1891227725
ytf__delyiaJ__1,2.1350105263,2.649802123,0.9939227270000001,1.2824518195
ytf__delyiaJ__2,3.1811186649,3.357202578,1.496700428,1.6897983855
ytf__delyieP__1,0.007100855400000001,1.249974354,0.607849319,0.5667240005
ytf__delyieP__2,-0.2647922552,1.335685581,0.57921187,0.47487076650000004
ytf__wt_ph5__1,3.9077582296,2.085572119,1.238805417,0.7212957745
ytf__wt_ph5__2,3.2295130182,2.20975053,1.242052141,0.7985534405
ytf__wt_ph8__1,-1.0366769133,-0.213524,0.027892422,-0.1624804165
ytf__wt_ph8__2,-0.7358575513000001,-0.22554178,-0.010985805000000001,-0.16072864150000002
ytf__delybaO__1,1.4127671202,2.084181678,0.794003459,0.7732569665
ytf__delybaO__2,0.6427808135,1.864181989,0.621459683,0.8706142305000001
ytf__delybaQ__1,0.507457145,-0.066449221,0.195624015,0.0904018275
ytf__delybaQ__2,0.2695604336,0.203250485,0.159849021,0.07067158750000001
ytf__delybiH__1,2.1048141424,1.9819830299999999,0.397481998,0.8468115495
ytf__delybiH__2,2.3935861046,2.601515391,0.7148056020000001,1.0371667175
ytf__delydcI_ph5__1,2.2288036831,0.862253291,0.712518968,0.1551985165
ytf__delydcI_ph5__2,2.3094124741,1.202464264,0.864305482,0.2612386195
ytf__delydcI_ph8__1,-1.1774978958,-0.49804591000000004,0.103279828,-0.22314194950000002
ytf__delydcI_ph8__2,-2.7288642972,-1.236279358,-0.35893379000000003,-0.4702757265
ytf__delyddM__1,0.38065452180000003,0.5893063580000001,0.604587238,0.46440828850000004
ytf__delyddM__2,-0.0940982974,0.29246079,0.37474112600000004,0.2945014865
ytf__delyheO__1,1.0539885681,2.007467044,0.751779064,0.8779873095
ytf__delyheO__2,0.4058653023,1.853988707,0.5116376530000001,0.7393764735
fps__bw_glc__1,-1.3786965386,-1.603050755,-0.177066504,-0.22245717550000002
fps__bw_glc__2,-1.2330166675,0.045894797,-0.187221572,-0.0353967495
fps__fps_thrA_ale1__1,-0.7768678949000001,0.326365832,1.017766354,0.7113875855
fps__fps_thrA_ale1__2,-0.8026657389,0.321891927,0.9564244510000001,0.5942760135
fps__fps_thrA_ale2__1,-1.7336177579,-0.177577111,1.010275802,0.5811847715
fps__fps_thrA_ale2__2,-1.5690838988,-0.24079397900000002,0.899799686,0.4354840185
fps__fps_serB_ale1__1,-0.4206665892,0.27168031200000003,0.3717686,0.40046440250000004
fps__fps_serB_ale1__2,-0.3746862354,-0.921792114,0.38896291600000005,0.2223255705
fps__fps_serB_ale4__1,0.1535215457,0.9087658810000001,0.318527329,1.1907886685
fps__fps_serB_ale4__2,0.950692682,1.8781585930000002,0.463919371,1.3902241915
fps__fps_ptsI_ale1__1,-4.4850776185,-1.907698622,-1.205415976,-0.6984725725
fps__fps_ptsI_ale1__2,-5.0327605215,-1.918050421,-1.073430045,-0.6216534885
fps__fps_ptsI_ale3__1,-4.1056170117,-1.93801837,-1.4345625910000002,-0.7241060875
fps__fps_ptsI_ale3__2,-4.4746187228,-2.205582253,-1.318135827,-0.7588548975
pal__lyx_ale2_f6__1,-2.372371082,-0.930115342,-1.119150655,-0.7624092985
pal__lyx_ale2__1,-6.4561986607,-6.07626181,-2.375425877,-2.5247343665
pal__lyx_ale2__2,-6.9644356648,-5.038893706,-2.250966847,-2.6254183175
pal__lyx_ale4__1,-7.0248317471,-6.353278126,-3.483788867,-3.2007966515
pal__lyx_ale4__2,-6.6572486602000005,-6.01590514,-3.129693314,-3.6088553385
pal__5drib_ale10_f18__1,-6.6703039531,-4.446450017,-2.810975764,-2.1381204855
pal__5drib_ale10_f18__2,-5.1220965665,-4.014916979,-2.998482937,-2.1636230915
pal__5drib_ale10__1,-7.3656667734,-4.813027105,-2.640588831,-2.9189051295
pal__arab_ale14_f9__1,-1.4090003362,-0.398059912,-1.325801725,-0.6759124855
pal__arab_ale14_f9__2,-1.3350410883000001,-1.770351877,-1.404641653,-1.2943004905
pal__arab_ale14__1,-1.6721391747,-1.270042454,-1.346458884,-1.1333685825
pal__arab_ale14__2,-1.2788344625999999,-1.926978051,-1.612339761,-1.4114338925
pal__arab_ale16__1,-6.2842435573,-2.86699472,-1.477559819,-1.7964047075
pal__arab_ale16__2,-5.4159300884,-2.852463859,-1.448755021,-1.3343431365
pal__tartr_ale26_f10__1,-6.3874967263,-3.207297789,-2.505852778,-2.0021755575
pal__tartr_ale26_f10__2,-5.9339787301,-2.918637045,-2.061661943,-1.8295724945
pal__tartr_ale26__1,-6.3992872591,-4.8969176270000006,-2.737978688,-2.4582644025000002
pal__tartr_ale26__2,-5.9549111867,-5.193740836,-2.67214088,-2.7993066385
pal__tartr_ale28_f10__1,3.8092208656,3.280612898,0.37868495500000005,1.3234171565000001
pal__tartr_ale28_f10__2,3.807984067,2.853630458,-0.39925135100000003,0.9217125205000001
pal__tartr_ale28__1,-2.2213473548,-0.7390497020000001,-1.580691029,-0.5743875255
pal__tartr_ale28__2,-2.2202784700000002,-0.7614478370000001,-1.39812504,-0.3904157375
efeU__delmenFentC_citr__1,1.4014410672,1.199288909,0.757619059,0.7976262955000001
efeU__delmenFentC_citr__2,1.8547275345,1.300260974,0.374658592,0.6350549485
efeU__delmenFentC__1,4.2624640962,2.8166762480000003,1.523000587,0.9462921125
efeU__delmenFentC__2,3.4352008124,2.60993695,1.476074463,0.8296804475
efeU__menFentC_ale39__1,-6.7872198953,-2.8923047740000003,-1.794530617,-1.6532818525000001
efeU__menFentC_ale39__2,-6.0031968419,-3.06895523,-1.584389341,-1.5549126755
efeU__menFentC_ale29__1,-4.3587785022,-3.574668152,-1.160226395,-0.9148278185000001
efeU__menFentC_ale29__2,-4.2243407185,-4.247926919,-1.154397208,-1.0554260145
efeU__menFentC_ale30__1,-5.6558198106,-4.555108483,-1.382123146,-1.8311730245
efeU__menFentC_ale30__2,-5.9644424891,-4.630131511,-1.153985685,-2.0313747315
efeU__menFentCubiC_ale36__1,-1.0814054439,-1.119049755,0.32164033200000003,-0.2365744365
efeU__menFentCubiC_ale36__2,-1.2061208318,-1.183402706,0.159182274,-0.2080952475
efeU__menFentCubiC_ale37__1,1.162930824,0.45895641600000003,1.156631598,0.6232716375
efeU__menFentCubiC_ale37__2,1.0588001507,0.527414921,1.241283481,0.6814589805
efeU__menFentCubiC_ale38__1,-6.3733629228,-1.40199199,0.11312646200000001,-1.3383443145
efeU__menFentCubiC_ale38__2,-6.6204340169,-1.74610098,-0.157946899,-1.7073409394999999
misc2__salc_glc__1,1.821883835,2.140601641,-0.17743699100000002,0.8239774805000001
misc2__salc_glc__2,2.2323742749,0.38944566900000005,-0.720482056,0.3530768395
misc2__dbcn_glc__1,-2.72581066,-5.717684026,-2.406799069,-3.4045219585
misc2__dbcn_glc__2,-1.7963959782,-5.521591707,-1.760840277,-2.5408321125
misc2__tyr_glc__1,-4.4968797067,-2.436942348,-1.2189375820000001,-2.4634371655000002
misc2__tyr_glc__2,-4.0662601866,-2.090315367,-1.207368087,-2.3430090945
misc2__arg_cytd__1,-6.0213262465,-4.684264912,-1.520620696,-2.5977299685
misc2__arg_cytd__2,-5.9699798814000005,-4.54760434,-1.59674242,-2.4144484425
misc2__delyheO_pyr__1,-1.3417464493,-0.8865848110000001,-0.45720907400000005,-0.3398890935
misc2__delyheO_pyr__2,-2.0501108397,-1.055203849,-0.501213503,-0.5550009745
nquinone__delubiC__1,-5.2657053186,-3.270409608,-0.937614802,-1.6773367614999999
nquinone__delubiC__2,-5.75560466,-3.000283702,-0.6374130520000001,-1.5457851535
nquinone__ubiC_ale1__1,-0.35977445890000004,-0.634234686,0.90668247,-0.030569382500000002
nquinone__ubiC_ale1__2,-0.6053167905,0.08388345800000001,1.164278318,0.2102494235
nquinone__ubiC_ale2__1,1.7101006213,1.487948666,1.477420323,1.0049575165
nquinone__ubiC_ale2__2,1.2350196747,1.053781892,1.233037806,0.7656772155
nquinone__ubiC_ale3__1,-5.5883848556,-4.841918846,-2.128911433,-3.1584375015
nquinone__ubiC_ale3__2,-5.4729327072,-5.137987584,-2.076136975,-3.0311061725
nquinone__ubiC_ale4__1,0.6176698491,1.210190211,1.401237628,0.8257871095
nquinone__ubiC_ale4__2,0.7961655243,1.337413417,1.5001658450000002,0.8404219115
nquinone__delpdhR__1,-6.2333367477,-3.762067366,-1.880523555,-2.6943264825
nquinone__delpdhR__2,-5.6202834626,-3.527458672,-1.75344626,-2.5546141815
quinone__glu_ale4__1,-6.0476165351,-4.735159279,-2.634200214,-3.3907812855
quinone__glu_ale4__2,-5.2207690787,-3.734057357,-2.944175411,-2.5651576625
quinone__delmenF__1,1.8141838361,1.051479189,0.95207929,0.5069120205000001
quinone__delmenF__2,1.6446969873000001,0.8915771560000001,0.43500693900000004,0.3972339755
quinone__menF_ale5__1,-1.6316815682999999,-0.468788527,-0.42275708900000003,-0.3103754655
quinone__menF_ale5__2,-1.1133138074,-0.818202489,-0.5864222760000001,-0.5030668555
quinone__menF_ale6__1,-1.3887519535,-0.152446867,-0.14662601,-0.0625268975
quinone__menF_ale6__2,-1.1668949555,-0.016105276,-0.08268077500000001,-0.21366946050000002
quinone__menF_ale7__1,0.4584151268,0.536768784,0.272280792,0.1083524595
quinone__menF_ale7__2,-0.013044788500000001,0.46301385500000003,0.269462902,0.0130464585
quinone__menF_ale8__1,-5.3977241462,-1.8036386160000002,-0.605294862,-0.9155298515
quinone__menF_ale8__2,-4.9186771894,-1.802285528,0.112190223,-0.1402682435
quinone__delmenFubiC__1,1.9228398985,0.56736796,0.540640593,0.2173478715
quinone__delmenFubiC__2,2.0131814806,0.611233726,0.5673190850000001,0.3712992335
quinone__menFubiC_ale1__1,-1.3095122744,-0.875137954,-0.035395909,-0.4354938605
quinone__menFubiC_ale1__2,-0.6505995753,-0.99413839,-0.053538131,-0.3101468505
quinone__menFubiC_ale2__1,2.2467273358,0.7931285260000001,0.551929914,0.25793786550000003
quinone__menFubiC_ale2__2,1.9435760945,0.73898841,0.5160121470000001,0.1243607585
quinone__menFubiC_ale3__1,-7.44304384,-4.5340457270000005,-1.647449492,-2.0091461145
quinone__menFubiC_ale3__2,-7.1197263104,-4.423879352,-1.509699405,-2.1378836415
quinone__menFubiC_ale4__1,-4.1461055476,-2.540259558,-0.609960335,-0.5243469175000001
quinone__menFubiC_ale4__2,-3.9256546512,-2.326809356,-0.6618542470000001,-0.4873598785
oxyR__wt_glc__1,-3.1290354811,-2.338032672,-1.132876532,-2.2019184855
oxyR__wt_glc__2,-2.8667478613,-2.31158873,-1.144646305,-1.9782261825
oxyR__wt_h2o2__1,-1.6845163397,-0.48676648800000005,-0.7886300700000001,-1.2630418005
oxyR__wt_h2o2__2,-0.9689381306,0.053145435000000005,-0.128084642,-0.5647255485
