,A,MalT
nac_ntrc__bw_delnac_csn__2,-7.4262781137000005,-1.9351370435000002
nac_ntrc__bw_delnac_cytd__1,-8.084924653,-0.8314854425
nac_ntrc__bw_delnac_cytd__2,-7.4794015943,-0.9426619945
nac_ntrc__bw_delnac_gln__1,-8.877869305699999,-1.4921702515000002
nac_ntrc__bw_delnac_gln__2,-8.7324206807,-1.3642186965
nac_ntrc__bw_delnac_nh4__1,-1.9151388599999999,-0.09932724450000001
nac_ntrc__bw_delnac_nh4__2,-1.8985921404,-0.1901251095
misc__wt_no_te__1,-4.206637187,-0.7209696235
misc__wt_no_te__2,-3.4267561876,-0.47076836450000004
misc__bw_delcbl__1,-2.7117672378,-0.3003788045
misc__bw_delcbl__2,-2.9733496565,-0.2322678505
misc__bw_delfabr__1,-1.1459804654,-0.15738947650000001
misc__bw_delfabr__2,-1.3156778405,-0.1737550995
misc__bw_delfadr__1,-1.9889457932,-0.39174165050000004
misc__bw_delfadr__2,-2.2626553138,-0.4445133855
misc__nitr_031__1,-7.4359412416,-1.0800115755
omics__wt_glu__1,-1.3258788571,-0.16001460450000002
omics__wt_glu__2,-1.1838321629,-0.0974747135
omics__wt_gly__1,-0.3598433976,-0.16362466950000001
omics__wt_gly__2,-0.42953962360000003,-0.24368660550000001
omics__wt_thr__1,-1.0025620298,1.4815525255
omics__wt_thr__2,-0.7367772085000001,1.5300067535
omics__bw_ac__1,2.368631675,0.9634542195
omics__bw_ac__2,2.3845315874,0.8659813155
omics__bw_fum__1,1.0316850707,0.4155944085
omics__bw_fum__2,1.3459297051,0.4101496465
omics__bw_glc__1,-4.3152406704,-0.10645726650000001
omics__bw_glc__2,-4.2471214171,-0.1280522795
omics__bw_pyr__1,0.5947165409,0.5462693545
omics__bw_pyr__2,0.2105613912,0.5097179365
ompr__wt_nacl__1,-6.9647384936000005,-1.7206193084999999
ompr__wt_nacl__2,-7.5726643963,-1.5407831525
ompr__bw_delompr_nacl__1,-5.9560650761,-1.1915115075
ompr__bw_delompr_nacl__2,-5.6768496014,-1.1120940385
minspan__wt_ade__1,-9.1391075828,-1.6641064545000002
minspan__wt_glc__2,-4.6129097026,-0.6343088345
minspan__wt_glc__3,-4.5324614872,-0.5772962385
minspan__wt_glc__4,-4.4603411211,-0.5621808335
minspan__wt_glc_anaero__1,-8.8280058473,-1.1365516435
minspan__wt_glc_anaero__2,-8.897868732100001,-1.0304330135
minspan__wt_trp__1,2.7938890811,1.4308200115
minspan__bw_delcra_glc__2,-5.3990459992,0.5485757945
minspan__bw_delcra_trp__1,2.6555345587,0.8176194445
minspan__bw_delmntr__1,-2.2969922585,1.2883625435
minspan__bw_delnac_ade__1,-5.5086182207,-1.0494745955
minspan__bw_delnac_glc__1,-5.675781024,-1.1053016105
cra_crp__wt_ac__1,4.8344429799,0.6081430505000001
cra_crp__wt_ac__2,5.0080964234,0.6542381695
cra_crp__wt_fru__1,3.5138152205,0.1308577705
cra_crp__wt_fru__2,3.1280965173,0.10099084850000001
cra_crp__delcra_ac__1,-0.34698023780000004,0.40996221850000003
cra_crp__delcra_ac__2,-0.4329079564,0.3963142455
cra_crp__delcra_fru__1,-8.6808608276,-2.2126165755000002
cra_crp__delcra_fru__2,-8.8799458035,-2.2771378895
cra_crp__delcra_glc__1,-4.9255858858,-0.9038507285
cra_crp__delcra_glc__2,-4.7696925594,-0.8523273425000001
rpoB__wt_031__1,8.8153181472,1.5745623485
rpoB__wt_044__1,-0.7547045777,-0.19043692550000002
rpoB__wt_lb__1,8.649410155,1.3328861765
rpoB__wt_lb__2,8.8003486326,1.3121049255
rpoB__rpoBE546V_031__1,4.8692190464,1.1826837375
rpoB__rpoBE546V_044__1,3.744844081,0.8464468465
rpoB__rpoBE546V_lb__1,8.5608333437,0.9385143025
rpoB__rpoBE546V_lb__2,8.0528794735,0.9792006685
rpoB__rpoBE546V_glc__1,0.535280357,0.1458553275
rpoB__rpoBE672K_glc__1,1.8820607884,-0.3992221025
rpoB__rpoBE672K_glc__2,1.6019227650999999,-0.32016925350000003
rpoB__rpoBE672K_lb__1,4.6239288113,-0.3220937205
rpoB__rpoBE672K_lb__2,4.7309571582,-0.28880249750000003
crp__wt_fru__1,3.7123591173,0.0355755925
crp__wt_glyc__1,3.6009444567,0.1616585475
crp__wt_glyc__2,3.8672370984,0.2503416915
crp__delar1_glyc__1,-8.2184034582,-2.2178389755
crp__delar1_glyc__2,-8.5356807899,-1.8985110025
crp__delar1ar2_glyc__1,-9.3091075529,-2.6115802535
crp__delar1ar2_glyc__2,-8.6729137798,-2.6327023785
crp__delar1ar2_glyc__3,-9.2875025993,-2.5432198645
crp__delar2_glyc__1,7.1929206381,0.9873230785
crp__delar2_glyc__2,6.888696654,0.8576600195
crp__delar2_glyc__3,7.269369468,0.8910294505
crp__delcrp_fru__1,-9.670237309800001,-2.9821486645
crp__delcrp_fru__2,-8.933650387,-2.8679291085000003
crp__delcrp_fru__3,-9.2996114337,-2.9354850455
crp__delcrp_glc__1,-9.6364541902,-2.5175835265
crp__delcrp_glc__2,-9.5493140304,-2.6042771155
crp__delcrp_glc__3,-10.0448867714,-2.5778037495
crp__delcrp_glyc__1,-8.979317375699999,-2.8275724405
crp__delcrp_glyc__2,-9.2036913285,-2.9222988485
crp__delcrp_glyc__3,-8.940215076,-3.0232486775
glu__glu_ale3__1,-5.3404452942,-1.6094304115
glu__glu_ale4__1,-3.6575837631,-0.5919995045
glu__glu_ale5__1,7.2484575275,0.5213859215000001
glu__glu_ale6__1,-2.0710658106,-0.8508805125000001
glu__glu_ale8__1,-3.7678972385,-0.21980910950000002
glu__glu_ale9__1,-7.0967401149,-1.1785239725
glu__glu_ale10__1,-5.1289677994,-1.7214993655000002
42c__wt_42c__1,-5.663703158,0.2481673935
42c__42c_ale1__1,0.876085462,1.7142966825000001
42c__42c_ale2__1,-8.5160662336,-0.8681247905
42c__42c_ale3__1,-6.6461854947,-0.4217902375
42c__42c_ale4__1,-8.6206780576,-1.5584621855
42c__42c_ale5__1,-9.2511273758,-1.7815596515
42c__42c_ale6__1,-2.9709259487,0.5091297465
42c__42c_ale8__1,-7.2866070709,-0.6773228785000001
42c__42c_ale9__1,-7.0802757287,-0.4190396005
42c__42c_ale10__1,-8.2092757245,-0.4364960405
ssw__wt_ac__1,-5.5231776831,-0.3234705885
ssw__wt_glc__1,-5.5081332822,-0.5520969385
ssw__wt_glyc__1,6.0829542206,0.49582194350000003
ssw__wt_xyl__1,0.2801537951,0.1297542135
ssw__glc_ale1__1,-3.6526646263,-0.1838139425
ssw__glc_ale2__1,-5.5565834007,0.013891120500000001
ssw__glc_ale3__1,-1.1554998001,0.3203410655
ssw__glyc_ale1__1,-7.8724680197,-0.0304445985
ssw__glyc_ale2__1,-0.2323542395,0.32647948450000003
ssw__xyl_ale1__1,-4.3850822802,-0.5952355075
ssw__xyl_ale2__1,-0.9183606851,-0.2492930015
ssw__xyl_ale3__1,-5.9654259194,-2.1297303805
ssw__glc_ac_ac2__1,1.4069363042,0.5521350465
ssw__glc_ac_glc1__1,-8.2830856671,-1.5406427355
ssw__glc_glyc_glc__1,-2.5893551856,0.1837303905
ssw__glc_glyc_glyc__1,-1.8905336183,0.1332899875
ssw__glc_xyl_glc__1,-2.2007162733,-0.22142901750000002
ssw__glc_xyl_xyl__1,-5.8618702577,-0.9995975815
ica__wt_glc__1,5.3962154094,-0.0097483555
ica__wt_glc__2,5.2547476001,-0.0330403655
ica__wt_glc__3,-0.11960020190000001,-0.30702194850000003
ica__wt_glc__4,-2.4140616515,-0.5673165255
ica__arg_sbt__1,4.6024309292000005,0.6513355865
ica__arg_sbt__2,4.7820900825,0.5624481745000001
ica__cytd_rib__1,12.9026775713,1.7293322785
ica__cytd_rib__2,13.7550995773,1.6934540645
ica__gth__1,-7.4142458938,-3.3393860175
ica__gth__2,-6.6849276703000005,-3.2909232194999998
ica__leu_glcr__1,-5.7405118414,-1.2466151915
ica__leu_glcr__2,-5.6317175662,-1.2618552925
ica__met_glc__1,5.1437168324,-0.1859968885
ica__met_glc__2,5.5012131432,-0.1400875085
ica__no3_anaero__1,-8.3558570881,-1.9587225495
ica__no3_anaero__2,-8.3260496019,-1.9980394045
ica__phe_acgam__1,0.6945004121,-0.2716217405
ica__phe_acgam__2,1.1068783623,-0.2285665835
ica__thm_gal__1,0.7599035383,0.1802272905
ica__thm_gal__2,1.1460373615,0.2837677595
ica__tyr_glcn__1,-6.5048038919,-1.4629454394999999
ica__tyr_glcn__2,-6.8336089847,-1.3688632835
ica__ura_pyr__1,1.3883361083,-0.4875690935
ica__ura_pyr__2,1.6077270499,-0.2928919255
ica__wt_glc__5,-0.40347243520000003,-0.6012398995
ica__wt_glc__6,-1.0147006414,-0.7548827665000001
ica__bw_delpurR_cytd__1,-3.4507982197000002,-0.6778290855
ica__bw_delpurR_cytd__2,-5.4337424346,-0.7607183935
ica__ade_glc__1,-5.3218748167,-0.7287464395000001
ica__ade_glc__2,-3.1853538178,-0.7050543075
ytf__wt_glc__1,-0.8853026998,-0.3772666315
ytf__wt_glc__2,-2.6662659852,-0.13881630150000002
ytf__delyafC__1,2.828638379,0.6979741345
ytf__delyafC__2,0.4436200966,0.4817293735
ytf__delyeiE__1,-1.2936078476000001,-0.49899377050000004
ytf__delyeiE__2,1.0205290954,-1.3185529105
ytf__delyiaJ__1,-2.8956360733,0.0924759485
ytf__delyiaJ__2,-4.8899302303,-0.1617377835
ytf__delyieP__1,-4.9237549799,0.3830715515
ytf__delyieP__2,-3.7242795839,-0.0758797655
ytf__wt_ph5__1,-5.0909409371,-0.9804319665000001
ytf__wt_ph5__2,-5.0469039799,-0.9567262505
ytf__wt_ph8__1,-2.3280194622,-0.4680099855
ytf__wt_ph8__2,-1.4759129952,-0.3083084695
ytf__delybaO__1,3.5994824341,1.1883149415
ytf__delybaO__2,-0.6601046893,1.1540771035
ytf__delybaQ__1,-2.4100169598,-0.3864489665
ytf__delybaQ__2,-2.4221748798,-0.4664978705
ytf__delybiH__1,-2.3407327775,-0.2588218545
ytf__delybiH__2,-4.1624043075,0.0389033685
ytf__delydcI_ph5__1,-3.8503145622,-0.9369372555000001
ytf__delydcI_ph5__2,-3.9825652505,-1.0166114225
ytf__delydcI_ph8__1,-3.5179602291,-0.6705341365
ytf__delydcI_ph8__2,-1.0647435268,-0.4761083515
ytf__delyddM__1,-3.4547458366,-1.1373153115
ytf__delyddM__2,-3.560918897,-1.0429901895
ytf__delyheO__1,4.3952472559,1.0977953335
ytf__delyheO__2,-0.7158541424,1.2598760665
fps__bw_glc__1,-0.9134049001000001,-0.0637806475
fps__bw_glc__2,-1.3707773337,-0.18915118150000002
fps__fps_thrA_ale1__1,-7.5372610356,-0.6010832675000001
fps__fps_thrA_ale1__2,-6.850422232,-0.6694068475
fps__fps_thrA_ale2__1,-8.430806263200001,-0.8851317195
fps__fps_thrA_ale2__2,-8.4795443778,-0.7938229365
fps__fps_serB_ale1__1,-9.2903394735,-0.8907854205
fps__fps_serB_ale1__2,-9.0203218412,-0.9012633335
fps__fps_serB_ale4__1,-9.5869148859,-2.0273333905
fps__fps_serB_ale4__2,-9.7910751387,-1.9580164625
fps__fps_ptsI_ale1__1,9.8851950181,1.5613561415000001
fps__fps_ptsI_ale1__2,10.4414500154,1.6825590645
fps__fps_ptsI_ale3__1,8.625140556,1.1124682185
fps__fps_ptsI_ale3__2,8.5346394967,1.1506316845
pal__lyx_ale2_f6__1,3.9372901870000003,1.3033807175
pal__lyx_ale2__1,5.2616754126,0.7758766265
pal__lyx_ale2__2,5.4195874091,0.7502647055
pal__lyx_ale4__1,4.0473038547,0.0413201365
pal__lyx_ale4__2,4.3783366528,0.0243772175
pal__5drib_ale10_f18__1,0.0078120619,0.9677770415
pal__5drib_ale10_f18__2,0.1893775886,1.0242300525
pal__5drib_ale10__1,4.7628036023,1.2745984825
pal__arab_ale14_f9__1,-2.2211446043,-0.4094260515
pal__arab_ale14_f9__2,-1.5806606924,-0.4821329375
pal__arab_ale14__1,-0.9039797977,-0.9031337905
pal__arab_ale14__2,-1.0185394054,-0.8990676815
pal__arab_ale16__1,-1.3023571871000001,-0.1500070725
pal__arab_ale16__2,-2.2969450446,0.10040007150000001
pal__tartr_ale26_f10__1,3.2128136526,0.9340162785
pal__tartr_ale26_f10__2,2.8298041994,1.0728394575
pal__tartr_ale26__1,1.1972937915,0.7299743665
pal__tartr_ale26__2,1.2170341493,0.7901474525000001
pal__tartr_ale28_f10__1,2.9698455592,0.8275452985
pal__tartr_ale28_f10__2,1.4955137619,0.7633208945000001
pal__tartr_ale28__1,0.9033639867000001,-0.0858967955
pal__tartr_ale28__2,0.5442685381,0.09148423850000001
efeU__delmenFentC_citr__1,-1.0544137433,-0.3915617235
efeU__delmenFentC_citr__2,-1.3455002087,-0.2808325795
efeU__delmenFentC__1,-8.0788479604,-1.8298005055000002
efeU__delmenFentC__2,-8.5361716851,-1.8491451855
efeU__menFentC_ale39__1,-5.1525228659,0.1918446915
efeU__menFentC_ale39__2,-4.7936403224,0.3933252055
efeU__menFentC_ale29__1,-2.2777668711,-0.6468562175
efeU__menFentC_ale29__2,-2.3333733587,-0.7086027495
efeU__menFentC_ale30__1,-1.9861233295,-0.7263780865
efeU__menFentC_ale30__2,-1.6801418709,-0.4893092865
efeU__menFentCubiC_ale36__1,-6.7746001628,-1.1561716855
efeU__menFentCubiC_ale36__2,-6.5184831633,-1.0539853105
efeU__menFentCubiC_ale37__1,-8.1442117764,-1.3570985735
efeU__menFentCubiC_ale37__2,-8.181242234,-1.3681543585
efeU__menFentCubiC_ale38__1,-8.6015279989,-2.0215729445
efeU__menFentCubiC_ale38__2,-8.6470690565,-2.2785206255
misc2__salc_glc__1,-9.8729070216,-1.5883759385
misc2__salc_glc__2,-9.7201897487,-1.3913973865
misc2__dbcn_glc__1,2.5094118966,-0.5853536945
misc2__dbcn_glc__2,-0.6456147054,-0.9378990465
misc2__tyr_glc__1,-5.5257987549,-1.0172200265
misc2__tyr_glc__2,-5.6790836873,-0.9923463155000001
misc2__arg_cytd__1,-3.7519595878,-0.6739855725
misc2__arg_cytd__2,-4.4587271602000005,-0.7392676715000001
misc2__delyheO_pyr__1,0.279582116,-0.3326439285
misc2__delyheO_pyr__2,-0.180407629,-0.46282715750000003
nquinone__delubiC__1,-6.1391040731,-0.9627641935000001
nquinone__delubiC__2,-8.1984341139,-1.4562420055
nquinone__ubiC_ale1__1,-5.4503949224,-0.9481922715000001
nquinone__ubiC_ale1__2,-5.3294358125,-1.0381837725
nquinone__ubiC_ale2__1,-7.8410689807,-1.3313112515
nquinone__ubiC_ale2__2,-8.0866574322,-1.2160390565
nquinone__ubiC_ale3__1,-6.2001011517,-1.2184165355
nquinone__ubiC_ale3__2,-6.3649590434,-1.1630185325
nquinone__ubiC_ale4__1,-8.3401810146,-1.3131704635
nquinone__ubiC_ale4__2,-7.4847607082,-1.2891394045
nquinone__delpdhR__1,-1.0558722153,-0.9132307205
nquinone__delpdhR__2,-0.8870212782,-0.9081683185
quinone__glu_ale4__1,-6.2469120724,-1.9058401385
quinone__glu_ale4__2,-4.3469428867,-1.2589986195
quinone__delmenF__1,-2.3811521755,-0.6462818905000001
quinone__delmenF__2,-2.7132069882,-0.6134647505
quinone__menF_ale5__1,-3.1750415287,0.2616535615
quinone__menF_ale5__2,-2.3810398144000002,0.2420640115
quinone__menF_ale6__1,-1.6062956242,0.5561739595
quinone__menF_ale6__2,-1.1855370226,0.6596727115000001
quinone__menF_ale7__1,0.6081178483,1.3733246735
quinone__menF_ale7__2,0.610784654,1.3515754905000001
quinone__menF_ale8__1,-2.8527743036,0.34111064750000003
quinone__menF_ale8__2,-5.6193369904,-0.1222172685
quinone__delmenFubiC__1,-7.7818780949,-1.3128511805
quinone__delmenFubiC__2,-7.684650207,-1.3192544845
quinone__menFubiC_ale1__1,-4.0928927375,0.11976732050000001
quinone__menFubiC_ale1__2,-4.2251699322,0.10069452150000001
quinone__menFubiC_ale2__1,-5.5905486372,-0.2006836425
quinone__menFubiC_ale2__2,-5.1433503518,-0.26165243050000003
quinone__menFubiC_ale3__1,-3.6281920501,-0.8340457315
quinone__menFubiC_ale3__2,-3.9174838292,-0.8709057635
quinone__menFubiC_ale4__1,-1.5736666341999999,0.1028545995
quinone__menFubiC_ale4__2,-2.4974458276,0.1234371145
oxyR__wt_glc__1,1.2286503754,-0.3471510665
oxyR__wt_glc__2,0.9525281225000001,-0.5174429785
oxyR__wt_h2o2__1,0.474260336,-0.4679972825
oxyR__wt_h2o2__2,-0.682862379,-0.8030898915
oxyR__glu_ale4__1,-6.127983612,-1.8051066315000002
oxyR__glu_ale4__2,-6.4381196931,-1.8655710315
oxyR__glu_ale4_h2o2__1,-5.2776675457,-1.3782936725
oxyR__glu_ale4_h2o2__2,-7.0649830747,-1.6576271005
oxyR__oxyR_ale17__1,-7.4332250976,-0.9314518495
oxyR__oxyR_ale17__2,-8.1007134003,-1.0436011565
oxyR__oxyR_ale17_h2o2__1,-3.9795446668,-0.4721658815
oxyR__oxyR_ale17_h2o2__2,-4.828290857,-1.1027513465
oxyR__oxyR_ale18__1,1.7498476326999999,-0.26856807250000003
oxyR__oxyR_ale18__2,1.23696486,-0.6073448975
oxyR__oxyR_ale18_h2o2__1,-7.5184085167,-1.2925764015
oxyR__oxyR_ale18_h2o2__2,-6.2630032596,-1.1144189175
oxyR__oxyR_ale19__1,-0.47860360090000004,-0.4725127005
oxyR__oxyR_ale19__2,1.6162757368,-0.3271527945
oxyR__oxyR_ale19_h2o2__1,0.08721096810000001,-0.4685815285
oxyR__oxyR_ale19_h2o2__2,-0.08724921120000001,-0.5359935705000001
oxyR__oxyR_ale20__1,-9.3518328574,-1.3901877335
oxyR__oxyR_ale20__2,-10.0411749802,-1.3672231985
oxyR__oxyR_ale20_h2o2__1,-8.9761215536,-1.1278379965
oxyR__oxyR_ale20_h2o2__2,-8.6699463944,-1.0769694065
svns_pgi__BmePgi24_15__1,-0.0808014273,-0.1846219195
svns_pgi__BmePgi24_15__2,-0.1758092369,-0.2287751795
svns_pgi__BmePgi24_26__1,1.7139143801,-0.0501682205
svns_pgi__BmePgi24_26__2,1.5056368075000002,0.0359806445
svns_pgi__BmePgi24_41__1,-3.7932870377,-0.8385963305
svns_pgi__BmePgi24_41__2,-0.6327405301,-0.2923247585
svns_pgi__BmePgi24_52__1,2.5101632378,0.0401497405
svns_pgi__BmePgi24_52__2,2.6658173443,0.1363173395
svns_pgi__PaePgi2_34__1,0.1692098349,-0.7248267785
svns_pgi__PaePgi2_34__2,0.3705225513,-0.6768408475000001
svns_pgi__PaePgi2_63__1,-0.180479356,-0.6146068565
svns_pgi__PaePgi2_63__2,-0.3550632066,-0.6214462055000001
svns_pgi__PaePgi24_54__1,-4.6078746556,-1.4933852045
svns_pgi__PaePgi24_54__2,-4.9472045871,-1.4618807065000001
svns_pgi__PaePgi24_90__1,-7.5971321086,-1.7263555535
svns_pgi__PaePgi24_90__2,-8.1406577413,-1.6401267535000001
abx_media__m9_ctrl__1,-5.3340935524,-0.9690219255
abx_media__m9_ctrl__2,-5.1788557568,-0.7053830055
abx_media__rpmi_ctrl__1,-4.7252322617,0.1191840655
abx_media__rpmi_ctrl__2,-1.6662095570000002,0.2539301545
abx_media__camhb_ctrl__1,-8.1727533042,-1.6696659715000002
abx_media__camhb_ctrl__2,-6.7751646556,-1.4351866385
abx_media__m9_mero__1,-6.6224236339,-1.0991024045
abx_media__m9_mero__2,-4.7451600771999995,-0.8740931495
abx_media__rpmi_mero__1,-6.5184765295,-0.1222535455
abx_media__rpmi_mero__2,-5.7134607382,0.1841983265
abx_media__camhb_mero__1,-8.7302485405,-4.3000343715
abx_media__camhb_mero__2,-8.3362912072,-3.7453841325
abx_media__m9_trisulf__1,-6.0309840849,-1.7944089875
abx_media__m9_trisulf__2,-5.4284647859,-1.8964319015000002
abx_media__rpmi_trisulf__1,-9.314583461,-3.7492607534999998
abx_media__rpmi_trisulf__2,-9.309007598,-3.6170611675
abx_media__camhb_trisulf__1,-7.9522014390999995,-3.4627604675
abx_media__camhb_trisulf__2,-7.5658751354,-3.3723347555
abx_media__m9_cef__1,-8.1511693192,-1.5549499734999999
abx_media__m9_cef__2,-7.7702313243,-1.4827662635
abx_media__rpmi_cef__1,-9.0912295765,-2.1002496255
abx_media__rpmi_cef__2,-9.6827688167,-2.1669202495
abx_media__camhb_cef__1,-7.9228000576,-3.5400188055
abx_media__camhb_cef__2,-7.6947861032,-3.8150657805
abx_media__m9_cipro__1,-1.48638175,-0.7775396755
abx_media__m9_cipro__2,-2.5127236459,-1.2017843345
abx_media__rpmi_cipro__1,-7.2091441188,-1.8753212375000001
abx_media__rpmi_cipro__2,-8.9304352241,-2.1149957075
abx_media__camhb_cipro__1,-8.0569809549,-4.1995003825
abx_media__camhb_cipro__2,-8.0006103681,-4.2738685615
hot_tale__42c_ale3_30c__1,0.7913138755,-0.3658242055
hot_tale__42c_ale3_30c__2,0.2915304432,-0.3307395915
hot_tale__42c_ale3_37c__1,-0.9646837486000001,-0.28334330150000003
hot_tale__42c_ale3_37c__2,-0.9604468544,-0.3795571815
hot_tale__42c_ale3_44c__1,-9.5879219511,-1.3275123105
hot_tale__42c_ale3_44c__2,-9.7351783988,-1.4898482985000001
hot_tale__hot_ale3_mid_30c__1,-8.101184812,-1.7173022805
hot_tale__hot_ale3_mid_30c__2,-2.5914192847,-0.6655412065
hot_tale__hot_ale3_mid_37c__1,-6.0950037916,-0.6479922665
hot_tale__hot_ale3_mid_37c__2,-6.3888148556,-0.6495659185
hot_tale__hot_ale3_mid_44c__1,-6.8211537748,-1.3565945365
hot_tale__hot_ale3_mid_44c__2,-9.5994933379,-1.2187264585
hot_tale__hot_ale3_30c__1,-2.1701980475,-0.8255273555
hot_tale__hot_ale3_30c__2,-1.7355867713,-0.6575460935
hot_tale__hot_ale3_37c__1,-2.8112656344999998,-0.6492540015
hot_tale__hot_ale3_37c__2,-2.5306000717,-0.5175861605000001
hot_tale__hot_ale3_44c__1,-9.0678956717,-1.3045846035
hot_tale__hot_ale3_44c__2,-9.0317668886,-1.9188125005
hot_tale__hot_ale4_30c__1,-2.2381699897,-1.0950465365
hot_tale__hot_ale4_30c__2,-2.6725148266,-1.0898842495
hot_tale__hot_ale4_37c__1,-6.4954034044,-0.8468642795
hot_tale__hot_ale4_37c__2,-6.7864623182,-0.8530882915
hot_tale__hot_ale4_44c__1,-9.7689237906,-1.3084884405000001
hot_tale__hot_ale4_44c__2,-9.8558922145,-1.5393135715000001
hot_tale__hot_ale8_30c__1,0.4982495179,-0.4705343635
hot_tale__hot_ale8_30c__2,1.2089793873,-0.4617203185
hot_tale__hot_ale8_37c__1,-2.0063026224,-0.6279131085
hot_tale__hot_ale8_37c__2,-2.6734656236000003,-0.6415522635
hot_tale__hot_ale8_44c__1,-9.1159069363,-0.9966985845
hot_tale__hot_ale8_44c__2,-9.0008428205,-1.0112710015
hot_tale__hot_ale9_mid_30c__1,-3.433454968,-1.1369458245
hot_tale__hot_ale9_mid_30c__2,-3.0189479563,-1.0361356365
hot_tale__hot_ale9_30c__1,2.3463798074,-0.6758684765
hot_tale__hot_ale9_30c__2,2.5457300808000003,-0.5714206795
hot_tale__hot_ale9_mid_37c__1,-5.5785303215,-1.0376375975
hot_tale__hot_ale9_mid_37c__2,-5.8245228523,-1.0129896355
hot_tale__hot_ale9_37c__1,-3.9628370314,-0.9191657965000001
hot_tale__hot_ale9_37c__2,-4.3980958542,-0.9635559705000001
hot_tale__hot_ale9_mid_44c__1,-9.5050799652,-1.2894619675
hot_tale__hot_ale9_mid_44c__2,-9.5396777232,-1.6314126155
hot_tale__hot_ale9_44c__1,-9.7748576795,-1.3199627745
hot_tale__hot_ale9_44c__2,-9.8236650386,-1.4702014855
hot_tale__hot_ale10_30c__1,-1.6351792308,-0.8545010175000001
hot_tale__hot_ale10_30c__2,-1.1227483242,-0.7795857285000001
hot_tale__hot_ale10_37c__1,-4.9708326748000005,-1.0416017975
hot_tale__hot_ale10_37c__2,-5.2854261711,-0.9436260915
hot_tale__hot_ale10_44c__1,-8.9115903617,-1.1149924265
hot_tale__hot_ale10_44c__2,-7.9580412503,-1.2414676125
hot_tale__hot_ale16_30c__1,-2.4994978172,-0.9489183975000001
hot_tale__hot_ale16_30c__2,-2.6758451426,-0.8345881135000001
hot_tale__hot_ale16_37c__1,-5.2160068994,-0.8557481515
hot_tale__hot_ale16_37c__2,-5.2922229497,-0.8411480795
hot_tale__hot_ale16_44c__1,-9.3728468891,-1.0024917245
hot_tale__hot_ale16_44c__2,-9.1087712715,-0.8559846395
pdhr_ale__pdhR-13_51__1,-3.9656860523,-1.0292651915
pdhr_ale__pdhR-13_51__2,-3.8717111019,-0.8750558735
pdhr_ale__pdhR-14_46__1,-4.6301351477,-1.0557815335
pdhr_ale__pdhR-14_46__2,-4.6714855571000005,-0.8509393795
pdhr_ale__pdhR-15_51__1,-6.9408075091,-1.3802832445
pdhr_ale__pdhR-15_51__2,-6.8407116839,-1.3528328295
pdhr_ale__pdhR-16_49__1,-5.3966460661,-1.0128201405
pdhr_ale__pdhR-16_49__2,-5.0525036063,-1.1012522725
tcs__del_atoC_LiAcet__1,2.7721126463,0.8462817115
tcs__del_atoC_LiAcet__2,3.4465664982,0.9647266835
tcs__del_atoC_LiCl__1,1.8758815233,0.8419684135000001
tcs__del_atoC_LiCl__2,2.1450662191,0.7840692785000001
tcs__del_atoC_m9__1,1.5457123080000001,0.7336238725
tcs__del_atoC_m9__2,1.9303758704,0.8323270795000001
