,A,GadW,GadX
SRX5694369,0.0776659603,-0.3330580984,-1.1426991465
SRX5694370,-0.12940469770000002,-0.3969086083,-0.8141824234
SRX5694371,1.4799781778,-0.2732299694,-1.0809776375
SRX5694372,-1.7947242297,-1.2344387918,-2.2510887843000003
SRX5694373,1.7754090769,1.8366907833,1.4589715909
SRX5694374,5.2879196382,-0.1755166437,-0.7557081366
SRX5694375,-1.6859667658,-0.9367536064,-1.6714548291
SRX5694376,-6.2567765964,-4.8910971814,-2.4787426515
SRX5694377,4.6464264842,0.0838947104,-0.3935290685
SRX5694378,-3.6764015658,-2.7318894662,-3.1224787433
SRX5694379,-2.8883242813,-1.0753116717,-2.9486539133000003
SRX5694380,-1.0119090404,0.6424118412000001,-0.18754661320000002
SRX5694381,0.7863305543,1.1715743885,0.4404051054
SRX5694382,0.8529099068,0.1375857281,1.1711102859
SRX5694383,-1.1401890077,-0.9067711859,-2.1828391598
SRX5694384,-0.673361497,-0.5309814011,0.2429309094
SRX5694385,3.0375363025,3.1129248237000002,1.2137537669
SRX5694386,4.047160256,0.089950447,-1.1024621673
SRX5694387,-0.08596123380000001,-0.659987785,0.0206374895
SRX5694388,1.8365770614999999,0.8791769017000001,0.6898100468
SRX5694389,-2.8447902042,-0.9470324642,-1.3743196683
SRX5694390,-0.46086378380000004,-0.3240781942,-1.0668293136
SRX5694391,2.1823191066,2.5076182925,0.6245768559
SRX5694392,-0.7072499166,0.7063442915,-0.3094789572
SRX5694393,-0.33264772600000003,-0.34629161010000004,0.3356057732
SRX5694394,0.0184918174,0.220233277,-0.4240843804
SRX5694395,0.3495585861,0.4160830991,1.3486063755
SRX5694396,0.3317446569,0.26548519800000003,0.25340080930000003
SRX5694397,-0.2006203879,-1.2279605187,-1.6253708915
SRX5694398,0.4561523643,-0.6423233591,-1.2911718066
SRX5694399,0.7025368413,1.2214580611,1.6873485281
SRX5694400,-0.9175781498000001,-1.2048870876,-1.6380481919
SRX5694401,-0.2857655444,-0.081813516,-0.49721029310000003
SRX5694402,4.3832598649,0.0519022907,-1.3993768753
SRX5694403,-0.19042551670000002,-1.04505682,-0.6970904211000001
SRX5694404,-0.284454514,-0.029180954800000002,-0.6436700295000001
SRX5694405,1.6822741638,1.4803294006,1.0658776417
SRX5694406,0.2462772162,-0.11473524700000001,-1.2253160951
SRX5694407,-0.5568822474,-1.0600606308,-0.9999387465
SRX5694408,-0.5616546545000001,-0.4259850021,-0.34134591410000004
SRX5694409,4.6674219953,2.2387106573,1.6110508811000002
SRX5694410,-6.5425075505,-3.8632825184,-3.3560239774
SRX5694411,-2.3281900332,-1.0091629269,-1.9532054695
SRX5694412,-1.2213218048,-1.4221182586,-2.6726129792
SRX5694413,-4.7013771294,-0.3206705268,-0.9882422247
SRX5694414,1.1250316785,0.8130415005,0.1399522441
SRX5694415,0.5170721967,0.5443926844,-0.5453488694
SRX5694416,0.1993567582,-0.1223820494,0.22966816110000002
SRX5694417,0.4520608317,-0.2441944158,-0.1029815256
SRX5694418,0.7762039553000001,-0.6653013488,-1.9456735139
SRX5694419,1.9094311671000002,-0.5302797124,-0.6032791315
SRX5694420,-0.0058343964000000005,0.1371072115,-0.0946637461
SRX5694421,1.8467553341,0.7793700425000001,-0.6450425211
SRX5694422,4.0711843003,1.9463973842,0.6500235939
SRX5694423,-0.8510727354000001,-1.2011162943,-1.6148922651
SRX5694424,-0.971791562,-1.269186194,-1.9851563352000001
SRX5694425,-2.3638246529,-2.0677290612,-1.9797951042
SRX5694426,-1.8567975114,-0.46579445480000004,-1.1715805594
SRX5694427,-0.3665147609,0.0104689025,-0.3400528087
SRX5694428,-0.020004776300000002,-0.1248935386,-0.8342393238
SRX5694429,-1.2682233802,-1.6847850133,-1.8003626640000001
SRX5694430,-0.6582620944,-0.0470832166,-0.5567476294
SRX5694431,-0.26893549170000003,0.5276744011,0.49314829050000003
SRX5694432,-2.3168392651,-2.5955616505,-2.7378240187
SRX5694433,-3.4019231508,-0.8553006082,-0.1151507559
SRX5694434,-1.8552644109,-0.2959685241,-1.131116067
SRX5694435,2.8929619186,1.0162072457,-0.0583735658
SRX5694436,6.2772064629,2.5364021452000003,1.7956901916999999
SRX5694437,1.8087311426000001,1.8051813532,0.6878821351000001
SRX5694438,-0.7853946273,0.249849701,-0.9037213132
SRX5694439,4.8872038421,1.167048477,0.07083677790000001
SRX5694440,-0.7155782218000001,-0.4191395918,0.5120405033000001
SRX5694441,0.6568981601,1.0781019275000001,1.6203477468
SRX5694442,2.3340255153,1.0763743969,0.635566681
SRX5694443,-1.0323419679999999,-0.9788826219000001,-0.9308079283
SRX5694444,-0.383022572,-0.6984002971000001,-1.8487120163
SRX5694445,1.1137306213,0.7573474003,-0.0555601568
SRX5694446,0.1408851452,-0.7251003142,-0.0198128219
SRX5694447,-1.0917815994,0.4155098595,-1.5373330517000001
SRX5694448,-5.4220259089,-2.8194800238,-2.4361986097
SRX5694449,-1.5741941396999999,-0.5045200351,-1.1215918381
SRX5694450,-5.5922374253000005,-3.9291861793000002,-2.4321687235000002
SRX5694451,-1.8998581978,-1.0626506032,-0.9942600170000001
SRX5694452,-0.6112124204,-0.8520464807,-0.2741974699
SRX5694453,-9.8905034653,-4.8910971814,-2.3977767625
SRX5694454,-0.6709366419,-0.6073435347,-0.5544296793
SRX5694455,0.7499742173,-0.5707622161,-0.6694465951
SRX5694456,-1.3210478846,-0.8157736804,-0.8690630574
SRX5694457,0.8326540185,0.3737364373,1.4431127885000001
SRX5694459,0.5052721466,0.0470449177,0.42413899320000004
SRX5694460,2.0875667678,0.7870471791,-0.0604874823
SRX5694461,-1.6649177643000002,-1.475133831,-2.7032511374
SRX5694462,1.6891990148,-0.2735310862,-1.4899758357000001
SRX5694463,-0.875382349,0.11343808300000001,-0.746403637
SRX5694464,-1.5272251521,-1.4631428822,-1.9912749897
SRX5694465,-1.525424742,-1.1020331048,-1.614866469
SRX5694466,2.9011223377,1.3462887513,0.4250607538
SRX5694467,-1.2110253156,-0.8991130558,-1.0789182811
SRX5694468,4.9247875278,1.1510409027,0.4634742079
SRX5694469,-0.1632277625,0.3030818932,-0.4937594751
SRX5694470,0.1346161011,0.2034799484,-0.0441280617
SRX5694471,-0.2887035942,-0.47946758250000004,-0.7105836766
SRX5694472,-0.3606229957,-0.4054211461,-0.6224827327
SRX5694474,-2.1986824688,-2.3589073991,-2.1999183795
SRX5694475,-1.6196108188,-1.0643842999,-0.9413710865
SRX5694476,-1.8147172199,-0.5737623721,-0.8457775122000001
SRX5694477,1.3144084396,0.139481466,-0.6120881462000001
SRX5694478,-1.1787764552,0.2908816883,-1.1074021042
SRX5694479,2.9639157202,2.0137494034,1.43605493
SRX5694480,2.8143691937,2.6251003421,2.4690046138
SRX5694481,-0.61543156,0.707586028,-1.6781310877000002
SRX5694482,0.2240388938,-0.6852902307000001,-0.4762555685
SRX5694483,-1.6136751059,-0.9363639311,-0.8435907248000001
SRX5694484,-1.4097547259,-1.1130481848,-1.2471686966
SRX5694485,2.9136105275,2.2785215816,0.4681539797
SRX5694486,-1.523224907,-1.5606311155,-0.7646396469000001
SRX5694487,-1.6176116023,-1.0828972345,-1.6702290002
SRX5694488,0.5695028569,-0.4360595423,-1.2816115794
SRX5694489,-0.7522757689,-1.1231442737,-0.9655765173
SRX5694491,-1.0167889304,-1.5133386045,-2.4990405855
SRX5694492,0.7203506692,-0.6349601563,-0.606471858
SRX5694493,0.7555573752,-0.6314183751,0.7394757083
SRX5694494,-1.0858009294,-0.7381592819,-1.5566576302000001
SRX5694495,-0.06266519620000001,-0.2758493253,0.4323093243
SRX5694496,-1.3658691635,-1.8270040461,-1.1253225087
SRX5694497,-2.823139136,-2.9671130112,-2.9588872566
SRX5694498,-1.00847568,-0.9850013674,-1.7818718834
SRX5694499,-5.8172688949,-1.6582115954,-3.9685586572
SRX5694500,-1.2210704163,-0.5391158281,-1.9166611242
SRX5694501,-0.9555356351000001,-0.4554016045,-1.1424897266
SRX5694502,-7.4647893397,-4.8910971814,-2.2308314116
SRX5694503,-6.5095656111,-4.8910971814,-3.2905908826
SRX5694504,-0.5812451916,-0.9594952036000001,-0.0061632818
SRX5694505,3.8982686134,0.9792263448,0.5574776625
SRX5694506,-4.0479708679,-2.9064468889,-1.9066000376
SRX5694507,-1.5874204550000002,-1.5930981604,-1.1645279928
SRX5694508,3.244080825,2.2326202937,2.8790304897
SRX5694509,-1.213834158,-1.1152222834,-1.4187992321
SRX5694510,-0.451232901,0.4682973258,-0.5455504881000001
SRX5694511,-1.7381726194,-0.8803569347,-1.9052956364
SRX5694512,0.061812212400000004,-1.1043004213,-1.7869076372000001
SRX5694513,2.8952447411,2.8732052881,2.7035074685
SRX5694514,1.7659880681,0.2597272828,-0.6309980420000001
SRX5694515,3.720434585,2.8930780458000003,0.5591090838
SRX5694516,5.7350347327,1.1196950558,0.2844424888
SRX5694517,-0.2455820998,-1.0660580153,-0.699081692
SRX5694518,-1.2667463423,-0.4502868915,-0.6834696411
SRX5694519,-0.27254389,0.44527928910000003,-0.9369712622
SRX5694520,-4.5122270846,-4.8910971814,-1.7037657776000001
SRX5694521,-1.3945664545,-1.2535837332,-1.6631423053
SRX5694522,-0.3635614232,-0.4951768219,-1.0659853640999999
SRX5694523,-0.7007776760000001,-0.6445895244000001,-2.0924488142
SRX5694524,-1.4873273128,-1.9821644555,-1.9019719918
SRX5694525,-0.3414734333,-0.6265683658,-0.3270881192
SRX5694526,1.658382787,-0.5907763125000001,-1.4260702628
SRX5694527,-1.5149287426,-1.2133277672,-2.4558263077
SRX5694528,3.1588279211,2.2498084238000002,1.5532031724
SRX5694529,1.1933307785,0.39586444930000003,-0.7262673853
SRX5694530,-5.3067742322,-4.8910971814,-2.7702355593
SRX5694532,-0.2081178135,-1.0862679564,-1.1356812419
SRX5694533,-0.2280094487,0.318433834,0.4849650354
SRX5694534,-1.6518278130000001,-1.4181592968,-1.8102551761
SRX5694535,-3.0234956131,-4.8910971814,-0.5962947766000001
SRX5694536,-1.2266699529,-1.3471639952,-1.7375392391000002
SRX5694537,-0.8965835217,-1.076108859,-0.8444514657000001
SRX5694538,-0.9328896777000001,-0.46758689280000004,-0.5609800471
SRX5694539,-2.5038340999999997,-0.41619355280000003,-1.8769103862
SRX5694540,-0.13503488160000002,-1.6398368427,-1.1587548634
SRX5694541,-1.5289951046999999,-0.7296981564,-2.2036373405
SRX5694543,4.9908453515,0.6463621749,-0.0773578979
SRX5694544,-0.8955648279,-0.5064272091,-1.1987971767
SRX5694545,-1.2181901323,-0.6086695298,-1.5697753834000001
SRX5694546,1.6498382570999999,-1.5494499382,-0.6416192956
SRX5694547,-0.37953943370000004,0.4341006315,-0.218809689
SRX5694548,-0.33397285930000004,-0.081097899,-0.18554009940000002
SRX5694550,-0.025074512,0.7145679516,0.6551437869
SRX5694551,-5.5454758429,-3.6849421341,-3.062673093
SRX5694552,-1.0820928282,-0.5283854327,-0.5305310609
SRX5694553,-0.2292319509,-0.6440189145,0.43554068760000003
SRX5694554,-0.2660602984,-1.1463671463,-0.7049374159
SRX5694555,0.7376808815,-0.4997818694,-0.42549636560000004
SRX6072760,-0.4549337829,-1.3314105904,-2.0591431465
SRX6072761,0.449696729,-0.7814981377,-2.0233068317
SRX6072762,-0.0848959849,-1.1850328487,-1.5630137536
SRX6072763,0.3683724443,-0.1412527238,-1.2307429816
SRX6072764,-0.32239340980000003,-1.1686088526,-2.2434015583
SRX6072765,0.6578178085,-0.3369809778,-1.2137433793
SRX6376491,-0.0225608733,1.5359754114,1.3727531535
SRX6376492,2.761861644,0.6367115607,0.7364658202000001
SRX6376493,3.1212734548,0.7264895838000001,0.8020099156
SRX6376494,2.3785267755,1.0658904284,0.8283546073
SRX6376495,-0.0240885462,1.4838933811000001,1.7646604640999999
SRX6376496,0.1749506357,1.6736089473,0.9226248098000001
SRX2723951,0.9983585945000001,1.3023265598,2.1806473558
SRX2723952,1.7212091008,2.3695525679,3.1446118588
SRX2723953,-0.34217512780000003,0.2963838149,0.6395456294
SRX2723954,2.6606055796,3.6047353966999998,4.659462879
SRX2723955,-0.11715220080000001,0.4164326725,0.8132213377
SRX2723956,0.2577643402,1.0552762718,1.7711158004
SRX2723957,-0.597428572,-0.4086667338,-0.11114342320000001
SRX2723958,-1.5046023956,-1.1475957836,-1.5626090575
SRX2723959,-0.008886242800000001,-0.1349273707,0.4949660891
SRX2723960,2.0151453978,1.9627897933,2.5456189009
SRX2723961,4.6029552662,4.505968283,5.0940224489
SRX2723962,1.7440682192999999,1.4661535033,1.8518225675000002
SRX2723963,0.6482993765,0.1783747074,-0.2820607412
SRX2723964,2.4776893578,1.7935576260000001,1.7197414120999999
SRX2723965,1.0693439597,1.3075306438,1.4663876389000001
SRX2723966,-0.8319799014,-0.4077541595,-0.2911116018
SRX2723967,0.33383740100000003,0.1926050226,0.0770739235
SRX2723968,0.49814250050000003,0.2151491368,0.2140376783
SRX6977206,-0.9216407342,-0.9547200294,-0.5328197784
SRX6977207,-0.1941397188,-0.8885616376000001,-0.4699098705
SRX6977208,-0.1933497495,1.4585092566,0.3462227959
SRX6977209,-1.0714092783,1.2605741723000001,-0.0638837916
SRX6977210,-0.9003125195,1.3428263445,0.16152527120000001
SRX6977211,0.2490377169,0.28363902750000003,0.23919889390000001
SRX6977212,0.1659294148,0.1442726967,0.061606119800000005
SRX6977213,-0.4149671317,-0.4279117241,-0.3008050136
SRX6977214,-1.1471800916000001,-1.1978069613,-1.2817325724
SRX1153733,0.010194889700000001,0.045820604,0.0787222337
SRX1153734,-0.010194889700000001,-0.045820604,-0.0787222337
SRX1153735,-1.2620918337,-0.7724823927000001,-1.4369593736000001
SRX1153736,-0.3234709046,-0.7056133286,-0.9639641470000001
SRX5204053,1.5270527980000002,0.10926809280000001,1.5933836524
SRX5204054,3.0373951356,1.5661016985,2.9391269799
SRX5204055,1.9596905577000001,0.47143017130000003,1.9297086185999999
SRX5204056,1.4344704059,1.047462869,1.9357444087000002
SRX5204057,1.5213830127999999,0.9762614476,1.5262151029000002
SRX5204058,1.3238334327999999,0.9626041483000001,1.9343225108
SRX5204059,1.5092567262,0.5417296079,1.0889449922
SRX5204060,1.3339518042,0.9184770872,1.6661817233
SRX5204061,1.1223336015,0.742247148,1.3036525195
SRX5204062,0.8182300079,0.29215261470000004,0.7573353937
SRX5204063,1.1432401682,0.17686315,0.9793977468
SRX5204064,1.2327852185000001,0.2798190443,1.1768700727999999
SRX5204065,0.48861167040000003,0.42676864940000003,2.1927540301
SRX5204066,1.3551784923,0.1298757768,2.2934189581
SRX5204067,0.8994938974000001,0.1055482675,2.3034768196
SRX5204068,2.7248967412000002,1.095999363,2.0447660822
SRX5204069,2.300304155,1.0909759612,2.1116511073
SRX5204070,4.3883472392,1.9878556917,3.2747517969
SRX5204071,3.5003482454,1.7233021750000002,2.7403254804
SRX5204072,2.250685169,1.1307432587,2.057633474
SRX5204073,2.6649231947,1.6309231758,2.6419836268
SRX5204074,3.7510047793,2.2584019968,3.7015979391
SRX5204075,1.8865060581000002,0.526990281,1.5616155397
SRX5204076,3.967534825,1.9311866242,3.3978908533
SRX5204077,1.4721953623,0.2665311221,1.4123284182
SRX5204078,1.8801529647000002,0.41470984310000003,1.8734405492000001
SRX5204079,0.8994936629,-0.0107180144,1.5261507784
SRX5204080,2.7251881821,1.6467941186,2.4447798364
SRX5204081,3.1953518802,1.5443041708,3.0607726072
SRX5204082,3.3660872478,1.4882277676,2.8382563739
SRX5204083,-0.0363384704,0.5582339813,0.2990028387
SRX5204084,0.1195693386,0.424670419,0.5726414556
SRX5204085,0.1367180374,0.23624546070000002,0.2349622607
SRX5204086,-0.5131298035,-0.7816625075,-0.3653754954
SRX5204087,-0.7667413187000001,-0.6091052169,-0.0092229475
SRX5204088,-0.7026650042,-1.0342188719,-0.6387592204
SRX5204089,-0.7281171699,-0.3616122432,0.0012493889
SRX5204090,-0.0777914696,-0.1331117576,0.20566715570000002
SRX5204091,-0.1838996891,-0.19877568510000002,0.17024098340000002
SRX5204092,-1.3357310478,0.07499902400000001,-0.1820386379
SRX5204093,-0.2075475692,-0.28596960600000004,0.5764112386
SRX5204094,0.0907482715,-0.0256878468,0.5307740829
SRX5204095,0.2483736437,0.46059970790000004,0.0909938262
SRX5204096,-0.4139893672,-0.41420470810000004,-0.3764817133
SRX5204097,0.1656157235,-0.0463949998,0.2854878871
SRX683459,-0.6834962514,-0.4347648066,-0.29970281120000003
SRX683460,1.7468243371,1.65805772,2.4395412549
SRX683461,0.1594447165,-0.08861498050000001,-0.2606098702
SRX683462,3.7623737324,2.0892566412,2.5163854908000003
SRX683463,0.5240515349,0.5233797871,0.5603126814
SRX683464,2.0282024767,1.1140298985000001,2.7849299303
SRX683465,0.7179269966,0.9079684111,-0.5445268291
SRX683466,1.7045787387,2.1908717818,1.851304431
SRX683467,0.35118619430000003,0.1448376751,-0.2591648355
SRX683468,2.590164642,1.6674285909000002,2.1028849334
SRX683469,0.3249911702,1.3094047917,-0.1963797347
SRX683470,2.6060973619,1.7528832974,1.5924166572
SRX322077,1.3257422507,0.6312230853,0.4543542365
SRX322078,0.1985073448,0.4225107037,0.61426054
SRX322079,-0.5198541403,0.0800078367,0.3326116303
SRX322080,-0.39807173490000003,-0.15463210430000002,-0.3603380976
SRX322081,0.5117297394,0.3734829281,0.36720365380000003
SRX322082,-0.8124137369000001,0.1717642842,0.0271465922
SRX322083,-0.5884839209,0.53904467,0.10708414150000001
SRX322084,0.9001190622,0.0094423744,-0.1111806858
SRX322085,-0.31163514130000003,-0.5484870445,0.0040965443
SRX2708592,-5.4695162433,-3.1976400693,-4.6337954677
SRX2708593,-6.1790051227,-4.444898144,-5.0329122502
SRX2708594,-6.2548746169000005,-4.356200536,-3.3804259409
SRX2708595,-0.0873358895,0.14834378210000002,0.2535964002
SRX2708596,-0.2879720449,0.0317308722,-0.2652731211
SRX2708597,0.37530793430000003,-0.1800746543,0.0116767209
SRX2708598,2.2436148647,0.1237088072,0.6361197004
SRX2708600,1.6634651034,-0.2221438303,0.7914584574
SRX2708601,0.963021761,0.3473251289,0.48682793100000005
SRX2708602,-0.3542362095,0.3122245923,-0.6755929368
SRX2708603,1.2747535541000001,0.1660108092,0.0885109619
SRX3073814,-0.0257868075,-0.0678340224,-0.35957618080000003
SRX3073815,-2.2347971403,-2.2939221105,-2.2089314117
SRX3073816,-3.1093361242,-3.2070787805,-2.3276385813
SRX3073817,-1.8672343093000001,-1.4393842167,-1.2365606245
SRX3073818,-0.7761891147000001,-1.114379105,-1.1631205903
SRX3073819,0.1843949074,0.4757425113,1.2821923574
SRX3073820,-1.5709776389,-1.9669689248000002,-1.3286715172
SRX3073821,-4.0324200303,-2.4949481061,-2.0830587338
SRX3073822,-0.3448989065,-1.1102724597,-0.141238325
SRX3073823,0.6780429607,-0.8592625256,0.3431327073
SRX3073824,0.0257868075,0.0678340224,0.35957618080000003
SRX3073825,-2.5428083559,-2.0654528022,-2.1695024945
SRX3073826,-4.0865269333,-2.9593054061,-2.5829410727
SRX3073827,-2.4500443273,-2.0752897705,-1.2529752099
SRX3073828,-1.4378907435000001,-0.8490524028,-0.48312588710000004
SRX3073829,0.0618526734,0.2473125542,0.8812616014
SRX3073830,-2.2241105787,-2.5416739854,-1.8007893214
SRX3073831,-2.7288580846,-2.4908476009,-1.5801086884000002
SRX3073832,-1.4960725726000002,-1.1311791740000001,-0.9154466125
SRX3073833,-0.3522121602,-0.23231770100000002,-0.3303494382
SRX2391456,-0.42640339,0.0895270464,0.0400658844
SRX2391457,-0.0559687248,-0.3300876401,-0.3313828574
