,A,MetR,MetJ
SRX5694360,0.5314361235,-0.5324525138,-0.8808997148000001
SRX5694361,0.43462593110000003,1.4277697479,1.0466949104
SRX5694362,2.1494923878,0.22298595170000002,-1.1143057715
SRX5694363,0.5670889976,-0.1773522274,-0.3720665479
SRX5694364,-0.6432694546000001,-0.2758817324,-0.2196611172
SRX5694365,1.1542329119999999,-1.0274851356,-0.8672465952
SRX5694366,0.8559216872000001,0.0864404634,0.0935793662
SRX5694367,-0.7766434232,1.4063625767,0.8999233975
SRX5694368,1.5313648630999999,-0.0410390779,-0.053544753800000004
SRX5694369,0.1777115512,-0.6126090136,-0.45464826880000003
SRX5694370,1.0141291892,-0.12133424550000001,-0.3984392848
SRX5694371,0.2427093378,0.1451058485,0.274794001
SRX5694372,1.058857917,0.4439359,-1.146717875
SRX5694373,1.3668341204,0.1478265509,0.1176421794
SRX5694374,1.045015337,-1.5446500474,0.7695359482
SRX5694375,0.6485630574,-0.774464484,-0.6817589075
SRX5694376,-0.1449228601,0.5194302409,-1.040761317
SRX5694377,-0.1987249476,-1.0579840983,0.332431639
SRX5694378,1.5239743794,0.0571827903,-0.6676934986
SRX5694379,-0.2039405907,-0.9207901886000001,-1.2172149599
SRX5694380,0.2931448393,1.5038999918,0.1493266179
SRX5694381,1.7638107474,0.6851593205000001,1.2741009509
SRX5694382,-1.7464184608000002,1.2856156666,0.10281598730000001
SRX5694383,0.8400863438,-1.3421576169,-1.1119872039
SRX5694384,0.4859682819,-0.3483241348,-0.2982022984
SRX5694385,0.5644902282,0.1596497906,-0.3910603634
SRX5694386,0.2560770616,0.1536732258,-1.4644660594
SRX5694387,0.4488062732,0.3562508776,0.1999521535
SRX5694388,-0.1687669567,0.4172184403,-0.44758977990000004
SRX5694389,-0.3314982891,-0.07462879600000001,-1.3181221834
SRX5694390,0.9860572514,-0.5583328878,-1.2548217211
SRX5694391,0.1819587997,-0.0369858926,-0.6991232283000001
SRX5694392,0.6154721529,-0.3649802539,-0.8153199611
SRX5694393,0.39877382800000005,-0.1487200279,-0.3482364247
SRX5694394,0.9077884993,-0.0410196545,-0.5163411486
SRX5694395,0.7315524448,-1.1316121745,-0.0951561914
SRX5694396,-1.3657186196,1.4023163436,1.6031078214
SRX5694397,1.0431187438,-0.00036884550000000003,-1.3894949460000001
SRX5694398,1.8279502882,0.2050480809,-1.2488180275
SRX5694399,-0.5179149171,-0.1034477689,-0.37180389
SRX5694400,1.1694012694,-0.186396848,-0.7064359301
SRX5694401,0.3214292798,-0.5442670933,-0.477498436
SRX5694402,0.0674573873,-0.7928428001000001,-1.3787116507000001
SRX5694403,-0.5038556166,0.1121293696,0.31873230810000003
SRX5694404,1.1740477854,-0.9155637218,-0.9920957043
SRX5694405,0.4545053987,0.6528700916,0.13784930110000002
SRX5694406,-0.9687567393000001,0.5138812672,0.3024781861
SRX5694407,-0.48868027900000005,0.6811978712,0.11283527500000001
SRX5694408,0.6695364968,-0.006724465000000001,0.0832992183
SRX5694409,0.7437808118,1.8169164999,-0.0899008461
SRX5694410,1.2547357877,1.1145372067000001,-0.9443195107000001
SRX5694411,-0.0318785292,-0.1612426588,-0.2242228144
SRX5694412,0.6961642067,-0.07885536280000001,-1.2531977052
SRX5694413,2.6917578679,3.6205409449,-1.3183519878
SRX5694414,1.0878882209,0.6455934792,1.6055788987000001
SRX5694415,1.4918957563,-1.0335048197,-1.1256373706
SRX5694416,-0.0390399788,-0.0141669757,0.052646285200000004
SRX5694417,-0.7853704196,-0.2781544047,0.06721838620000001
SRX5694418,-0.2031783229,-0.8200753287,0.0601268983
SRX5694419,-1.4418260623,-0.9693746618,0.500749326
SRX5694420,-0.2524582415,-1.2799018104,0.1646561845
SRX5694421,0.3940758757,-0.4750005305,0.2887725936
SRX5694422,0.25630670650000004,-0.7792380195,-0.45150232090000003
SRX5694423,0.6078510362,-0.2864999561,0.1449709172
SRX5694424,0.8850854602,0.864235109,-0.4111128632
SRX5694425,0.7460757368000001,-0.7206123394,-0.9804090701
SRX5694426,0.5243510717000001,-0.5479103562000001,-0.420313512
SRX5694427,0.8790480752000001,-0.4447385694,-0.36097493680000003
SRX5694428,0.44131993010000004,-0.8491220167,-0.658598796
SRX5694429,-0.8608866177000001,0.4066668593,0.0859699313
SRX5694430,0.4243017738,-0.2319407806,-0.056531958300000004
SRX5694431,0.1627989342,1.4893085527,-0.0657527742
SRX5694432,1.3235457325,-0.2152951004,-1.2195638147
SRX5694433,1.9012198802,3.954036475,-0.9381857241
SRX5694434,0.0175809844,2.6690345242999998,0.7941592326
SRX5694435,-0.1035101258,-0.3277558608,0.0035606812
SRX5694436,1.1759860023,1.6955909494,-0.5455809346
SRX5694437,0.9800463700000001,0.6363545199,-0.4327363481
SRX5694438,0.7981488429,-1.073273076,-0.8784672115000001
SRX5694439,1.5186816605,-0.1541962666,0.7608278469
SRX5694440,0.3093249134,-0.7812318773,-0.2808755515
SRX5694441,0.7077390643,1.659713091,-0.0196693251
SRX5694442,-0.5924308911,0.2409309742,-0.4573428372
SRX5694443,0.7233656628,-0.47495280770000003,-0.056259308800000005
SRX5694444,0.9083347516,-1.1642058815,-0.9696799653
SRX5694445,0.16371377950000002,-0.45175052990000003,-0.6634208939
SRX5694446,0.09767475560000001,-1.2832294100000001,-0.2311632119
SRX5694447,0.8407613543,0.0865814862,-1.7079097569
SRX5694448,2.0839987175,-0.18825918200000002,-1.3156921128
SRX5694449,0.3234374459,-0.522047567,-0.42324587280000003
SRX5694450,1.8976945559,-0.060564498200000004,-1.0645483841
SRX5694451,-0.025867410100000002,-0.242271634,-0.389603782
SRX5694452,-1.0401225025,0.9367582299,1.6826066537000002
SRX5694453,0.9138683515,3.2038877532,-1.0522541601
SRX5694454,-0.1456983625,-0.47992137020000003,-0.1944240827
SRX5694455,-1.8042746968,0.0162309074,0.293242624
SRX5694456,0.8104765392000001,0.0808491162,7.8967e-05
SRX5694457,-0.4106689697,0.5628640587,0.0424415529
SRX5694459,0.5505754354,-0.710821483,-0.3334734809
SRX5694460,-0.31987237020000003,0.6772547538,-0.21543861190000002
SRX5694461,1.0822928824,-0.30614975920000004,-1.7013523737
SRX5694462,0.0233855372,-0.3387968342,-0.6475057488
SRX5694463,0.37932100280000003,-0.4171707962,0.0151489763
SRX5694464,1.3348744636,0.19094523,-0.9491507863
SRX5694465,-0.2179543502,-0.55849738,0.10231823030000001
SRX5694466,-0.301265339,0.301980674,-0.3365910674
SRX5694467,0.7302087037,-0.6939237951,0.0992530826
SRX5694468,0.560122421,-0.4261548438,0.7807493990000001
SRX5694469,0.0115069115,-0.3879856192,-0.3095224708
SRX5694470,-0.18230411230000002,-0.06465973500000001,0.024521657000000002
SRX5694471,1.6672196483000001,-0.3305634267,-0.5496307586
SRX5694472,0.8898969758,-0.3469903167,-0.561990846
SRX5694474,0.4221775723,0.1843059222,-0.1531773126
SRX5694475,0.4174793341,-0.6327709838000001,-0.184616106
SRX5694476,1.1448004777,-1.1682441411,-1.2241279914
SRX5694477,0.0384878035,0.7550631364,-0.8165026056
SRX5694478,0.8823115594000001,-0.1272756164,-1.0714866617
SRX5694479,0.4916616231,1.2858787507,-0.31613551830000003
SRX5694480,0.6489299619000001,1.9146990461,0.20185464390000002
SRX5694481,0.6952193723,-0.0987935004,-1.3772808673
SRX5694482,0.0696861984,-0.5340292081,-0.0271495975
SRX5694483,-0.2983022739,-0.0160004005,0.1321149074
SRX5694484,0.3796740686,-0.1194727819,-0.7258438099000001
SRX5694485,1.2154396763,-0.3917795032,-0.5363507287
SRX5694486,-0.2579696463,-1.0573411803,-0.3186648735
SRX5694487,0.80143505,-0.3457679563,-0.7735402441
SRX5694488,1.3838599858,-0.2681333551,-1.1985457424
SRX5694489,0.8265532404,-0.2850034661,-0.3998010436
SRX5694491,0.19964878430000002,0.2043348317,-1.1888576788
SRX5694492,-0.0204824197,0.06765158190000001,-0.3103230191
SRX5694493,-1.7608730933,-0.5215560134,1.1909252125
SRX5694494,1.1937713219,-0.0162441903,-0.5326552423
SRX5694495,0.3344323207,0.1626278447,-0.3756870021
SRX5694496,0.0896230051,-0.35387079400000004,-0.12275190820000001
SRX5694497,-0.1033582316,0.7925066117,-0.3086355026
SRX5694498,1.3190309218,-0.0670669982,-0.1671918567
SRX5694499,-0.46755315010000004,-0.2729674493,-1.0200996928
SRX5694500,0.2079133575,-0.1668040395,-1.0889231607
SRX5694501,0.005753109100000001,-0.13490253200000002,-0.6901545754
SRX5694502,1.5458954003,0.1489065346,0.1142478843
SRX5694503,2.3351053781,1.4452055639,-1.2833550277999999
SRX5694504,-0.5564991495,-1.1018214533,-0.27724572470000003
SRX5694505,-0.1445215973,0.8700367474,-0.3328845521
SRX5694506,2.1436467613,1.8015458231,-1.2391925315
SRX5694507,0.06853953,-0.7763033692,-0.0408909234
SRX5694508,-0.010198592000000001,1.1615984959,0.30088418780000004
SRX5694509,0.5393626037,0.908559581,0.4367346608
SRX5694510,0.3279662815,-0.1370256288,-0.3324335727
SRX5694511,0.6922248609,-1.4409096899,-0.9863021728
SRX5694512,0.19144007700000001,0.0335792847,-0.9743015708
SRX5694513,0.0917360941,1.4893337181000001,0.37562390840000004
SRX5694514,-0.4714865056,0.6257198908,-0.573458235
SRX5694515,0.7775148056000001,0.7907908733,-1.3592820428
SRX5694516,0.6831374671,-0.06392070350000001,0.5839077832
SRX5694517,2.2882538154,-0.11405524310000001,-1.1209138827
SRX5694518,0.8823970901,-0.5040503533,-0.14662932280000002
SRX5694519,-0.19734128110000002,-0.8044911634,-0.011800287500000001
SRX5694520,0.6295427068,0.004994543000000001,-0.24191498520000002
SRX5694521,1.2335614641000001,-0.2793069389,-0.1439071946
SRX5694522,1.4135283343,-0.1081583988,-1.1894848074
SRX5694523,1.8352333186,0.2076619543,-1.6299511794
SRX5694524,0.8384371807000001,-0.3743089334,-0.9065545594000001
SRX5694525,-1.0215080739,-0.4368232754,-0.0372618629
SRX5694526,0.9984395180000001,-0.5338552964000001,-0.9649927322
SRX5694527,-0.0576018926,-1.5259010133,-0.9564541674
SRX5694528,0.8150974768,1.8909022166,-0.29031851810000003
SRX5694529,1.3904494197,-1.6285305399,-0.7909997178
SRX5694530,1.4398682717,1.3485274097,-1.002008295
SRX5694532,0.3053360939,0.015734948000000002,0.35756158600000004
SRX5694533,1.6518052092,0.7659224953,-0.6865093054
SRX5694534,-0.9534626725,0.47977706200000003,0.291061993
SRX5694535,2.1015762843,2.2857287807,-2.5134022693
SRX5694536,0.749551489,0.5860951624,-0.8031622515
SRX5694537,1.3921944645,-0.2040729519,-0.037785891200000005
SRX5694538,0.9386966221,-0.1677630299,-0.1203171604
SRX5694539,0.4207641305,-0.9070485634000001,-1.4044789165
SRX5694540,-0.3048561036,0.0180955559,0.1985315645
SRX5694541,1.432082466,0.5859959584000001,-1.1852708918000001
SRX5694543,1.7160782578,-0.2346123273,0.7639769496000001
SRX5694544,0.5159199482,0.4398715851,-0.1708369019
SRX5694545,-0.050298707000000005,-0.8268168535,-1.2931599556
SRX5694546,2.4899546429,-1.4783399226,-1.3692282218
SRX5694547,1.0186621712,-0.2091144849,0.0690832752
SRX5694548,0.2213440911,0.0788267107,-0.0771679422
SRX5694550,-0.4620788061,2.4509112313,-0.3194448608
SRX5694551,0.8707121485,-0.6027512512000001,-0.0618305709
SRX5694552,-0.027057904600000002,-0.0335004951,-0.1799655001
SRX5694553,-0.34159640420000004,-0.21131010790000002,-0.31812414920000004
SRX5694554,0.3172957959,-0.7493496073,-0.248454786
SRX5694555,-0.4072679798,-0.3793239617,-0.1825042399
SRX6072760,1.174725941,0.0838231749,-0.8234342280000001
SRX6072761,0.3868054286,0.3219638866,-1.0469287322
SRX6072762,1.9169778162000002,-0.2778021719,-0.8685040919
SRX6072763,0.9634207632,0.2149974735,-0.8870444532
SRX6072764,0.8490789807,0.217275834,-0.9410260026
SRX6072765,1.2172460763,0.1559315937,-1.1186502306
SRX6376491,1.0464861545,1.8659288996,-0.3087255389
SRX6376492,-0.187163032,0.5242142905,0.1886967716
SRX6376493,-0.3196427825,1.0084172545,0.0888553373
SRX6376494,-0.5852342338000001,1.6671022016,0.320914859
SRX6376495,0.7911562408,2.4346208912,0.0167501879
SRX6376496,0.4625646692,1.8332910063,-0.09886924230000001
SRX2723951,1.7245912356000002,0.0458741571,-0.0109923763
SRX2723952,2.4034451179,0.17482783670000002,-0.4207271361
SRX2723953,1.9185313006,-0.1499678253,-0.17394798790000002
SRX2723954,3.2041806666,-0.1828040578,-0.47110330980000004
SRX2723955,2.0892978789,-0.28320551120000004,-0.1392366323
SRX2723956,1.8961248758,0.0861729581,-0.0082624607
SRX2723957,0.1534812885,-0.12002652050000001,-0.14982539590000002
SRX2723958,1.7862359371,-0.1364191605,-0.2413622561
SRX2723959,-0.1366500986,-0.0565634297,-0.0387484877
SRX2723960,1.9372427490000002,-0.0648972825,0.0534500189
SRX2723961,3.5194311187,0.47938462530000003,-0.2279592249
SRX2723962,1.3607884216000001,-0.059622493400000004,0.00212534
SRX2723963,0.9767376569,-0.37182908070000004,0.127204492
SRX2723964,2.0788819494,0.21516783420000002,-0.1382235239
SRX2723965,1.5082953086000002,0.2036918656,-0.0573548672
SRX2723966,-0.6942304126000001,-0.1977383789,-0.0210249303
SRX2723967,0.5924065582,0.1355140554,0.0883875964
SRX2723968,0.10182385440000001,0.062224323500000005,-0.0673626661
SRX6977206,0.48855693320000004,-0.6017178981,0.0587018835
SRX6977207,0.5056672666,0.3708519149,0.061370467000000005
SRX6977208,0.9773787507,0.8602761384000001,-0.4131840061
SRX6977209,0.6917791009,0.5617381178,-0.5982157836
SRX6977210,0.1779526333,0.4900447014,-0.5851376713
SRX6977211,-0.834611203,-0.0435478133,0.2390288322
SRX6977212,0.5773557731,-0.0494520883,-0.0709076647
SRX6977213,0.25725543,0.0929999016,-0.1681211675
SRX6977214,0.7899436396,-0.0841411318,0.1531250414
SRX1153733,-0.2121204217,0.11400802010000001,0.0981280535
SRX1153734,0.2121204217,-0.11400802010000001,-0.0981280535
SRX1153735,-1.0815975336,0.28005481390000003,-0.1077155622
SRX1153736,-0.5149549368,0.11373405730000001,-0.0403600004
SRX5204053,-0.23307839260000002,0.6835128187,0.7255897567
SRX5204054,-0.8958470108000001,-0.3318732502,-0.23671844490000002
SRX5204055,-0.0210224408,0.5554262911,0.7914245862
SRX5204056,-0.0470372604,0.6668271241,0.10391071460000001
SRX5204057,0.1383307916,0.6232122010000001,0.1656939258
SRX5204058,0.1156817436,0.4651935351,0.1404964641
SRX5204059,-0.8109719794,0.568819019,0.0031721304
SRX5204060,-0.636025896,0.4207261921,-0.31829850330000004
SRX5204061,-0.5271785357000001,0.4654430028,0.2825755256
SRX5204062,0.360194874,0.2539210603,-0.20379968
SRX5204063,0.1008774056,0.2431716817,0.0756667788
SRX5204064,-1.66182487,1.4362388542,0.836142771
SRX5204065,-1.0420927444,0.825345918,0.1649725216
SRX5204066,-1.3119140310000001,0.9299834810000001,0.19998008280000001
SRX5204067,-1.3000828298,0.9866656231,0.4986729566
SRX5204068,-0.4889590595,0.8813872881,0.2304339423
SRX5204069,-0.5524811985,0.9046579701,0.5110224226
SRX5204070,0.9412919642,1.2900905238,0.2653726931
SRX5204071,-0.7388574093,0.6536188543,0.8605029662
SRX5204072,-1.7190965515,0.6305998493,0.6901936004
SRX5204073,-0.35773109999999997,0.6658925129000001,0.5696359328
SRX5204074,0.8433478729,1.2414128692,1.1333790014
SRX5204075,-1.7183242959,0.8362412451000001,0.8462817784000001
SRX5204076,0.7574598473,1.2355854735,1.0436333553
SRX5204077,-0.9204805144,1.0074984472,0.7665929597000001
SRX5204078,-0.3743580045,1.3603147192,0.8205054997000001
SRX5204079,-0.9288072213,1.2344155697,0.9185772338
SRX5204080,-0.48390627290000005,2.5525736745,1.1587401681
SRX5204081,1.1703265526,1.5595321553,0.8591706213
SRX5204082,0.6787464733,1.6127020649000001,0.9388281963
SRX5204083,-0.9262936626,-0.4417491752,-0.6390458818
SRX5204084,-0.09397610690000001,-0.20383472260000002,-0.2188072855
SRX5204085,-0.5453838806,0.0429872501,-0.2379753412
SRX5204086,-0.1167111611,-0.9816337916000001,-0.3308147925
SRX5204087,0.1319602095,-0.9369062864000001,-0.3603347119
SRX5204088,-0.347413852,-0.8441225187,-0.4016728151
SRX5204089,0.2041190827,0.3669609338,0.0581986674
SRX5204090,0.4415384144,0.2479612987,0.07541428160000001
SRX5204091,0.0182674331,0.07106609180000001,-0.005161436100000001
SRX5204092,-0.0838414683,0.3170786396,0.10368519130000001
SRX5204093,0.2566339297,-0.1135338552,-0.2241392458
SRX5204094,0.3918896404,-0.2279790944,-0.3573772877
SRX5204095,-0.2413339695,-0.2641353558,0.07065427860000001
SRX5204096,-0.0055749155,0.2451366413,0.0345221437
SRX5204097,0.24690888500000002,0.0189987145,-0.1051764223
SRX683459,0.2357648924,-0.026983282,-0.0041982472000000005
SRX683460,-2.6801159564,-5.8097478538,-3.2621582393
SRX683461,0.6775778759000001,-0.504131278,-0.1256501477
SRX683462,-0.2148802249,-6.7010746336,-3.0179463151
SRX683463,-0.9133427682,0.53111456,0.129848395
SRX683464,-3.0143173691,-6.7022069066,-2.4868377597
SRX683465,-0.4293091996,-0.5819496902,0.18751929280000001
SRX683466,-1.7902160744,-5.7343951208,-1.7920950900000001
SRX683467,-0.20593576130000002,-0.7660415443,-0.2934688971
SRX683468,-2.798719722,-4.6702591443,-1.3341069322
SRX683469,-0.5016942403,-0.1870311249,0.0146823712
SRX683470,-1.9923873757,-5.1716109817,-1.6850293107
SRX322077,0.7460292995000001,-1.5197288711999999,0.1127137349
SRX322078,0.5153297483,-0.8581347773,0.139670296
SRX322079,0.194350084,-2.3125593182,-0.6369386994
SRX322080,-0.1577887181,-1.6556751163999999,-1.0504405458
SRX322081,-1.4927419799,-0.2980812921,-0.5801013327
SRX322082,-1.4494559527,-0.24804622510000002,-0.3874852755
SRX322083,-1.4353575349,1.0108795373,0.1252793048
SRX322084,2.3033190356,-0.5664709814000001,0.3016964528
SRX322085,-0.8679615006,-0.4444085559,-0.4269757577
SRX2708592,9.4668712299,3.2673738924,0.1047863131
SRX2708593,10.3342744816,4.0923145812,0.47363611860000004
SRX2708594,8.8822515104,4.515246309,1.3323352335
SRX2708595,-0.3436169255,0.4844129629,0.3016697452
SRX2708596,0.25549016950000003,-0.5840477865,-0.2006177543
SRX2708597,0.088126756,0.0996348236,-0.10105199100000001
SRX2708598,-0.8169592699,-0.0409219605,-0.26372764800000004
SRX2708600,-0.54425809,0.5901197765,0.1741663822
SRX2708601,0.6157971546000001,-0.18887398330000002,0.2687141701
SRX2708602,-0.1215135126,1.2044087704,0.9806976603
SRX2708603,0.6366021449,-0.6877823531,0.302651575
SRX3073814,0.068388935,-0.07586020710000001,-0.21999974590000002
SRX3073815,1.7163980094,-1.6858544318000002,-1.0903389184
SRX3073816,2.6307970428000003,-2.6986292155,-3.3098174225
SRX3073817,1.8156319331000002,-1.8791505284,-3.7292143724
SRX3073818,1.2979430645,-1.5350769493,-3.0093284786
SRX3073819,0.7369305261,0.14450148470000002,0.3932637452
SRX3073820,2.9777488734,-2.0043303092,-1.5790023186000002
SRX3073821,3.3997410572,-2.982813051,-3.5491151436
SRX3073822,1.6428212888,-2.0483138533,-3.6169611037
SRX3073823,0.6439271773,-1.8454397943,-2.9489074003
SRX3073824,-0.068388935,0.07586020710000001,0.21999974590000002
SRX3073825,1.5369728957,-1.5473573101,-1.4671241485
SRX3073826,2.6619260208,-3.1326526361,-3.4584021026
SRX3073827,2.2581539991,-2.9190460965,-3.9687177674000003
SRX3073828,0.4487762034,-0.9690660179,-3.022223656
SRX3073829,-0.0444475333,0.1796314944,0.5116209835000001
SRX3073830,2.5065079594,-2.1486894752,-1.5515650698
SRX3073831,3.8315700704,-2.7692055002,-3.543072004
SRX3073832,1.2912282161,-2.7810540315,-2.887376034
SRX3073833,-0.5861662263,-1.3361297891000001,-1.9822705878
SRX2391456,-0.5132944664,-0.8980641717000001,-0.3413899583
SRX2391457,-0.6374976265,-0.0374756485,0.11983225680000001
SRX2391458,-0.6056363152,-0.4251930155,-0.23473979320000002
SRX2391459,-0.943179878,-0.3408224463,-0.2989850926
