,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
22,co_culture__b_thai_c_viol_30,0.7774224572000001,0.22186822273396595,4.0,36.0,0.9874247339000001,44.0,0.47431563670000004,60.0,0.76328043,61.0,0.8846690282,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,0.0,0.061328529815739316,4.0,37.0,0.028094960500000002,46.0,0.06137552600000001,57.0,-0.007824542,84.0,-0.0816459445,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,0.24957003300000002,0.06641923560850374,2.0,39.0,0.2026045411,43.0,0.2965355249,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-0.10038743450000001,0.27253781568410496,2.0,47.0,-0.2931007721,55.0,0.09232590310000001,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,7.401486830834377e-17,1.198436155317033,3.0,87.0,1.2131739803000001,90.0,-0.030040471200000002,93.0,-1.1831335091,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,0.3529914610666667,0.3272139345470296,3.0,88.0,0.502128992,91.0,-0.0222223719,94.0,0.5790677631,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,0.01960872430000001,0.3933711858981884,3.0,89.0,0.15227197650000002,92.0,0.3294967628,95.0,-0.4229425664,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,2.500000380323275e-11,0.4918402455465591,4.0,96.0,-0.7060837658,97.0,0.4072487085,98.0,0.2406959236,99.0,0.0581391338,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,0.16799972314999995,1.3737214699313365,2.0,100.0,1.13936749,104.0,-0.8033680437,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,-0.2339889071,0.2391027062649481,2.0,101.0,-0.0649177621,105.0,-0.4030600521,,,,,,,,,,,,,,,,,,,,,,,,
