,A,BaeR,CpxR
abx_mega__phos_h2o__2,-0.2744975897,-0.23462831520000002,-0.0688117843
abx_mega__ctx_h2o__2,-1.3553597585000001,-0.9322998899,0.1167443107
abx_mega__lzd_dmso__1,-0.46565971640000003,-0.8996839631,-0.42171916940000004
abx_mega__naoh-9__1,0.6027722280000001,0.2552495698,0.5817872295000001
abx_mega__dox_dmso__1,-3.4941828671,-0.9327664834,-0.37442498960000004
abx_mega__phos_ethanol__1,0.5051870096000001,-0.6427318047,-0.2529812531
abx_mega__teix_dmso__1,0.46634061120000003,-0.4966133552,0.26287335230000003
abx_mega__dmso-10__1,-1.4864014894,0.1699403259,0.1288200247
abx_mega__van_dmso__1,-2.248881983,-2.3756568243,0.36938965770000004
abx_mega__ramo_h2o__1,1.4373687421,-1.0511736447,0.5161979748000001
abx_mega__tec_h2o__2,6.0392483235,-0.4563631146,0.5498769937
abx_mega__h2o-7__1,-0.5628713818000001,-0.6749617402,0.37430656700000003
abx_mega__cro_h2o__1,-1.9514495886,-0.8368965071000001,0.1344609497
abx_mega__tric_ethanol__1,2.7079869064,0.8867503895000001,0.8879458575
abx_mega__nor_naoh__1,-1.2497433114,-0.3667105867,0.2342612036
abx_mega__teix_dmso__2,-0.9812133940000001,-0.49347249070000004,0.3336056999
abx_mega__nal_naoh__3,-1.4181009939,-0.7329356872,0.6850361314
abx_mega__novo_h2o__2,4.90356181,-2.4897807499,-0.8274027535
abx_mega__dmso-10__2,-1.0492137357,0.0351196774,0.2022706651
abx_mega__phos_h2o__3,-0.2614458401,-0.1138703086,0.1250893475
abx_mega__dmso-6__2,-2.0491690168,0.2035484317,0.6371522945
abx_mega__rfp_ethanol__1,2.4526839247,-0.1178180563,-0.1137708053
abx_mega__dmso-5__3,-0.2286749689,-0.0108163928,0.4611996713
abx_mega__amyc-d_dmso__1,-0.2998674549,-1.0272737021,-0.0667186057
abx_mega__sxt_dmso__1,1.7696677567,-0.6459467524,0.1419090221
abx_mega__dmso-1__1,-3.3252230616,0.036142051700000004,0.21193790140000002
abx_mega__pen_h2o__1,-1.9079489206,-0.961185775,0.1041967579
abx_mega__dmso-10__3,-1.27071709,0.0666893519,0.21446118400000003
abx_mega__nal_naoh__4,-1.0681964491,-0.2725496213,0.7972941226
abx_mega__cip_naoh__1,-0.6710303639,-0.40969321410000004,0.6427368064
abx_mega__pen_h2o__2,-1.0694896949,-0.6108468587,0.0037802532
abx_mega__ery_dmso__2,0.6975998395,-1.2875618845,0.22796918230000002
abx_mega__dmso-2__2,-2.5250316834,1.0242249192,0.4951095104
abx_mega__van_dmso__2,-2.0162115364,-1.4652927978,0.4302528044
abx_mega__h2o-1b__1,-0.5742145306,-0.5834173845,0.1461998007
abx_mega__ery_h2o__1,-3.2902563992,-1.6781575743000001,-1.2008334368
abx_mega__bacit_h2o__1,1.4683536211,-0.7314732394,0.2660047775
abx_mega__chl_h2o__2,-1.0832280754,-1.1145962805,-1.5169624899
abx_mega__str_h2o__2,-1.3773095958,-0.1719991136,0.5807647243
abx_mega__rfp_ethanol__2,1.6629430813,-0.1463733719,-0.23835781420000002
abx_mega__polmyx_h2o__2,-1.1892708645,-0.5016785927,0.06999049830000001
abx_mega__tric_h2o__1,0.0354414419,0.5321697134,0.3969217732
abx_mega__cip_naoh__2,-0.8176494899000001,-0.840936254,0.3839472142
abx_mega__novo_h2o__3,4.0591618335,-2.4555741987,-0.9429622161000001
abx_mega__bacit_dmso__1,0.5701443165,-0.8385816693,0.6074640797
abx_mega__gen_h2o__1,1.9665858422,0.109286244,1.8596698893
abx_mega__bacit_dmso__2,0.5672838987000001,-0.8164279472,0.6708217417
abx_mega__chl_dmso__1,3.2615829419,-0.46864608230000004,1.3957326331
abx_mega__bacit_h2o__2,3.4143400286,-0.6060503374,0.3179212409
abx_mega__lvx_dmso__1,-2.3354302738,-0.3372544476,0.4080035117
abx_mega__bacit_h2o__3,1.4235421456,-0.646310045,0.3187331281
abx_mega__nor_naoh__2,-1.0870465206,-0.43810146240000003,0.2396575336
abx_mega__amyc-d_dmso__2,2.8022084037,-1.0109994329,0.5348083152
abx_mega__polmyx_h2o__3,-0.1660026071,0.744505971,0.4746400404
abx_mega__naoh-6__1,0.0159453929,-0.1938298683,0.1883531891
abx_mega__cst_h2o__2,-2.1387211433,-0.3367883775,0.2915022264
abx_mega__h2o-1b__2,-0.5186130744,-0.4739603976,0.4425020082
abx_mega__rfp_h2o__1,-0.4496239717,-1.141484996,-0.1315665405
abx_mega__tet_h2o__1,-3.8498437607,-1.0737875998,-0.5381750919
abx_mega__flavo_dmso__1,1.6858487285,-0.062133725300000005,0.1159177101
abx_mega__zeocin_h2o__1,-1.1208009727000001,0.014290990200000001,-0.0446682346
abx_mega__nor_naoh__3,-1.0423618066,-0.7236681807,0.338906971
abx_mega__rach_dmso__2,-3.0991266216,-0.1764554375,0.5562415157
abx_mega__thio_dmso__2,-3.9167131101,-1.4329275455000001,-0.0432123226
abx_mega__amyc-d_dmso__3,-2.4568940063,-1.2928530631,0.1267051197
abx_mega__rif_dmso__2,-1.1394910921,-0.1342058854,0.1220846799
abx_mega__amyc-d_dmso__4,2.7104352651,-1.1813766677,0.1032390752
abx_mega__teix_dmso__3,1.9442764701000002,-0.5679300534,0.033353407200000004
abx_mega__valin_dmso__1,-3.7693714504,0.040600661100000004,0.0771250232
abx_mega__teix_dmso__4,-0.8028282293000001,-0.5063975268,0.33679936520000003
abx_mega__ethanol-10__1,-1.0347611006,0.16716863740000001,-0.0753781119
abx_mega__inh_h2o__1,-0.5337489937000001,-0.4147377004,-0.22037630430000002
abx_mega__rif_dmso__3,-3.629599321,-0.9793563922,0.3819250746
abx_mega__van_dmso__3,-1.3211852751,-0.9370018867000001,0.1097132105
abx_mega__doxo_dmso__1,0.6509802991,-1.0634481042,-0.9470954505
abx_mega__tmp_dmso__1,-0.2530953467,-0.4625034511,0.1187786171
abx_mega__ethanol-10__2,0.0067439127,-0.5092239672000001,-0.37192626370000004
abx_mega__tmp_dmso__2,-0.3698569436,-0.5083518716000001,0.10523402180000001
abx_mega__amyc-d_dmso__5,-3.782271341,-1.114138407,0.11645987860000001
abx_mega__novo_h2o__4,1.1598304849,-2.9794718133,-0.5797902723
abx_mega__cro_h2o__2,1.1747165036,-1.02682524,0.2694753345
abx_mega__cro_h2o__3,-1.6202397886000002,-0.6561195385,0.1633657727
abx_mega__gen_h2o__2,0.1629572427,-0.4283556175,1.6826018297
abx_mega__phos_h2o__4,3.1222060634,0.4294983814,0.2908099749
abx_mega__metro_dmso__2,-0.5034346495,0.034837764,0.6535301744
abx_mega__ery_h2o__2,-4.0570511947,-1.5831140946,-0.9659850511
abx_mega__sacet_h2o__1,9.7316478626,1.8388782353000002,-0.3306979439
abx_mega__nal_naoh__5,-0.9540732652,-0.6982601355,0.6673118725
abx_mega__bacit_h2o__4,3.7739432882,-0.6668573926,0.40760410700000005
abx_mega__cip_naoh__3,-0.12247875770000001,-0.45828493400000003,0.7857297332000001
abx_mega__ethanol-8__1,0.47324261710000004,-0.1164525502,-0.1719491078
abx_mega__h2o-8a__1,-1.2565151658,-0.3825013439,0.2277511855
abx_mega__ery_h2o__3,-3.7292731441,-2.0055901654,-1.3023468236
abx_mega__flavo_dmso__2,-0.2380162834,-0.6134161744000001,0.2237454573
abx_mega__rif_dmso__4,-2.9918395273,-0.7990436568,0.18654978860000002
abx_mega__novo_h2o__5,1.8460813984,-1.8674872530000002,-1.0206670439
abx_mega__teix_dmso__5,-0.5752055188,-0.050651793300000005,0.0662030157
abx_mega__naoh-2__1,0.854446998,0.2415500654,0.5771612002000001
abx_mega__novo_h2o__6,0.1707525692,-3.2649701187,-1.067605701
abx_mega__ctx_h2o__3,-1.3062160341,-1.1514855867,-0.0380028156
abx_mega__rach_dmso__3,-2.7438793533,-0.531288408,0.40291101360000003
abx_mega__valin_dmso__2,-4.0413004688,0.0946636319,0.16609462290000002
abx_mega__amyc-d_dmso__6,-2.5008645333,-1.0659063504,0.7824178825
abx_mega__dox_dmso__2,0.3551565225,-0.2824547431,0.0390618168
abx_mega__teix_dmso__6,-1.6990475713,-0.2717428369,-0.17711142870000002
abx_mega__naoh-6__2,0.7628173633,-0.33892502220000004,0.10048710470000001
abx_mega__inh_h2o__2,7.9689604829,1.7686065709,-0.0587325101
abx_mega__chl_h2o__3,1.5202454383,-1.2368827809,-1.5803933219
abx_mega__nal_naoh__6,-1.1294455997,-0.7244586677,0.5736189093
abx_mega__chl_dmso__2,3.5069425649,-0.38190189210000003,1.4931992555
abx_mega__rach_dmso__4,-2.1182576953,-0.47699675340000003,0.42669449330000003
abx_mega__teix_dmso__7,-1.3103765725,0.1326443663,0.10323332660000001
abx_mega__ceru_ethanol__1,2.7774622543,0.9400556834,-0.0839838975
abx_mega__dmso-7__1,-4.0314518033,-0.3304766683,0.5080663899
abx_mega__naoh-6__3,0.6712065901000001,-0.1248848677,0.1148339533
abx_mega__phos_ethanol__2,0.3379953082,0.2243966618,0.058115575200000005
abx_mega__metro_dmso__3,-2.8720620452,-0.3163209561,0.6637942684
abx_mega__van_dmso__4,-1.9878783565,-2.1525609962,0.2701480981
abx_mega__h2o-10__1,-1.3650329299,-0.485574019,-0.23625456590000002
abx_mega__h2o-10__2,-1.9778413138,-0.41450742290000003,-0.1953878215
abx_mega__dmso-6__3,-0.7164953748,0.3342577977,0.41245130760000004
abx_mega__mem_dmso__1,-2.1973392734,-1.044613304,0.1265414432
abx_mega__ethanol-8__2,0.3778259096,-0.0753151936,-0.1076750762
abx_mega__chl_h2o__4,1.3473185925,-1.3975431831,-1.6254863923
abx_mega__van_h2o__1,5.2832820879,-1.5187937051,-0.1016900835
abx_mega__dcs_h2o__1,0.3464437071,-0.21366632330000002,-0.20921000110000001
abx_mega__rif_dmso__5,-1.405381635,0.037639705,0.2940651697
abx_mega__dox_dmso__3,-2.7586667901,-0.45112798660000003,0.5295849658
abx_mega__mem_dmso__2,-2.2732278133,-0.5874708149,-0.0973917511
abx_mega__lvx_dmso__2,-2.2457198464,-0.1615248682,0.47987595800000005
abx_mega__tet_h2o__2,-1.2753658890000001,-0.38608818100000003,-0.5328043983
abx_mega__phos_h2o__5,2.1131074104,0.7667137155,0.2943101529
abx_mega__monac_dmso__1,-2.4790515076,-1.2039125466,0.2520452993
abx_mega__str_h2o__3,-0.4259848453,-0.6315799793,0.07118498990000001
abx_mega__zeocin_h2o__2,0.9506166896,0.9442547298,0.4649472606
abx_mega__amyc-d_dmso__7,-1.6657764944,-1.2535963618000001,0.7757964379000001
abx_mega__fidax_dmso__1,-1.4968825299000001,-0.1020010517,-0.16590032570000002
abx_mega__h2o-1a__1,-0.4245049341,-0.0941252776,0.0241466561
abx_mega__dox_dmso__4,-0.581353666,-0.2110760063,0.2491868622
abx_mega__lzd_dmso__2,-1.3965290031,-1.3185395549,-0.4308452119
abx_mega__tet_h2o__3,-3.4260384812,-1.0888600966,-0.3273358249
abx_mega__dmso-1__2,-3.9624972535,0.1512614236,0.4432919692
abx_mega__sxt_dmso__2,0.4546186011,-0.265763568,0.19075444560000002
abx_mega__tric_ethanol__2,3.9428520075,0.5051867037000001,0.6120963638
abx_mega__teix_dmso__8,-1.3988027831,-0.7361365617000001,-0.1869057979
abx_mega__ramo_h2o__2,2.5301721417,-0.40927137900000005,0.242156858
abx_mega__inh_h2o__3,0.0541556271,-0.5140942366,-0.046517019800000003
abx_mega__cst_h2o__3,-0.946233155,-0.3082223177,0.3338539648
abx_mega__dmso-9__1,-1.7359172361000001,0.0914449642,0.6159683715000001
abx_mega__ethanol-8__3,0.19869408100000002,0.0635887896,-0.1678437107
abx_mega__monac_dmso__2,-3.2695401588,-1.4936373118000001,0.32766464370000004
abx_mega__dmso-9__2,-0.8518398664,0.0630708772,0.4709831559
abx_mega__metro_dmso__4,-2.1440228918,0.1596098071,0.727913335
abx_mega__ctx_h2o__4,-0.4528500549,-0.7698394856,0.0982272217
abx_mega__zeocin_h2o__3,0.3182470039,0.6026329545,0.3167563718
abx_mega__bacit_h2o__5,1.8044195101,-0.6728788673,0.28004187950000003
abx_mega__reta_dmso__1,-1.4273892653,-1.54387195,-0.7640141887
abx_mega__ery_h2o__4,-3.0187684019,-1.3463254552000001,-1.2611018782
abx_mega__ceru_ethanol__2,3.0428929133000002,0.830061829,0.1459124564
abx_mega__fidax_dmso__2,-1.6087283079999999,-0.0248119999,-0.1736173732
abx_mega__novo_dmso__1,3.0451856937,-1.4022925001,-0.25407595780000003
abx_mega__naoh-6__4,1.3565726901000001,-0.1568083133,0.23118249340000002
abx_mega__amyc-d_dmso__8,2.0454801818,-0.5444965139,0.4003396286
abx_mega__chl_dmso__3,2.672456609,-0.2270114185,1.2150427258
abx_mega__nal_naoh__7,-0.1824038173,-0.1732280562,0.3406812039
abx_mega__teix_dmso__9,-0.9299799084,-0.16209828240000002,-0.0340694758
abx_mega__ery_dmso__3,-0.6294579762,-2.5601138262000003,0.1216784439
abx_mega__tmp_dmso__3,0.6145178874,-0.1704351086,0.2178216607
abx_mega__sxt_dmso__3,0.8976086196,-1.0272958264,0.3666325163
abx_mega__polmyx_h2o__4,1.4368450925,0.98963395,0.7480874413
abx_mega__mem_dmso__3,-2.2407405614,-0.062109809,0.5109877485000001
abx_mega__nal_naoh__8,-0.8754370149,0.19574101030000002,0.5995504568000001
abx_mega__pen_h2o__3,2.2956868679999998,-0.2193258418,0.13190141060000002
abx_mega__van_dmso__5,-2.4923087034,-1.6172419561,0.3131687821
abx_mega__zeocin_h2o__4,0.2809097927,0.5256484125,0.5047694008
abx_mega__h2o-6__2,-0.3454081135,-0.3673929251,0.0218655964
abx_mega__tet_h2o__4,-2.9622107474,-0.8598288715,-0.46866042150000004
abx_mega__nor_naoh__4,0.1067262544,-0.2047886599,0.5077070325
abx_mega__cip_naoh__4,-0.9179301160000001,-0.2321937719,0.3228250902
abx_mega__tmp_dmso__4,-0.41492249070000004,-0.23864880830000001,0.157954021
abx_mega__reta_dmso__2,-0.615334881,-1.7631415883,-0.6673840347000001
abx_mega__mem_dmso__4,-0.6514424452,-1.0168731637,-0.0085156521
abx_mega__dox_dmso__5,-2.8150492666,-0.8952787572,-0.23607196800000002
abx_mega__tmp_dmso__5,-1.7564026304,0.037243489500000004,0.6528997239000001
abx_mega__flavo_dmso__3,-1.0130726307,-0.9604502077,0.34998021090000003
abx_mega__tmp_dmso__6,-2.076454488,-0.4857036857,0.5786229626
abx_mega__ceru_ethanol__3,3.7107463499,1.0654119005,0.46504815310000003
abx_mega__teix_dmso__10,-1.0680541666,-0.41285699670000003,0.0143207878
abx_mega__novo_h2o__7,3.9351554325,-1.8790362365000002,-0.8533948025
abx_mega__fidax_dmso__3,-0.6730393315000001,-0.46278301650000003,0.19736870080000002
abx_mega__h2o-1a__2,0.0334396729,-0.022354365100000002,-0.0427704894
abx_mega__dcs_h2o__2,-0.0770827456,-0.0175406452,0.30651931930000004
abx_mega__cst_h2o__4,-0.5280370526,-0.3241942225,0.393554398
abx_mega__van_h2o__2,4.6762370254,-0.3031997017,0.2235476956
abx_mega__pen_h2o__4,2.5438152615,-0.10855704960000001,0.5682074037
abx_mega__h2o-8b__2,-0.759544266,-0.4018674599,-0.0432831359
abx_mega__reta_dmso__3,-1.384635806,-2.0208472987,-0.8965939874000001
abx_mega__dmso-7__2,-4.0810095669,-0.1493184169,0.3723425776
abx_mega__rfp_h2o__2,-0.08741884330000001,-0.7504022599,-0.2321501382
abx_mega__rif_dmso__6,-1.1573582959,-0.6992197371000001,0.1253730612
abx_mega__sxt_dmso__4,1.3878887716000001,-0.6404815865,0.2946144966
abx_mega__cip_naoh__5,-1.4855977017,-0.1682861926,0.33085108490000004
abx_mega__dmso-9__3,-1.2245467507,-0.36926818440000003,0.3683161601
abx_mega__mem_dmso__5,-3.08005094,-1.4354417494,0.2409390961
abx_mega__tric_h2o__2,0.9399038193,1.1046506809,0.3222887331
abx_mega__phos_h2o__6,0.23538505950000002,-0.1580563057,-0.0061316169
abx_mega__h2o-7__2,-1.3362786108,-0.6988210088,0.45855461890000004
abx_mega__h2o-10__3,-1.7014484114,-0.2679397737,-0.2635437523
abx_mega__h2o-8a__2,-0.7888769668000001,-0.5384246925,0.2647000981
abx_mega__thio_dmso__3,-2.5644169521,-1.595657984,-0.4120816578
abx_mega__lzd_dmso__3,-0.3518212452,-1.1839251651,-0.3157026452
abx_mega__monac_dmso__3,-3.1577733274,-1.058874519,-0.12502424280000002
abx_mega__polmyx_h2o__5,0.7260958457000001,-0.1237278455,0.5832519882
abx_mega__naoh-6__5,0.26431552210000003,-0.028211968400000002,0.3418276237
abx_mega__teix_dmso__11,1.3930795034,-0.33281912700000005,0.1109720738
abx_mega__van_h2o__3,4.4830768892,-0.4639380973,0.1657711967
abx_mega__teix_dmso__12,-1.0950854739,-0.1925535028,0.3679783384
abx_mega__dox_dmso__6,1.7692338897000002,1.2770552496,0.0400809759
abx_mega__teix_dmso__13,-0.049111109900000005,-0.6064044046,0.42380452820000003
abx_mega__h2o-7__3,-1.7216261501,-0.9100338279,0.1963435908
abx_mega__str_h2o__4,-2.1387474997,-0.1367360072,0.3445607753
abx_mega__tec_h2o__3,8.5952251248,0.5452156203,0.7802553468000001
abx_mega__phos_h2o__7,0.15080612070000002,-0.2139889429,-0.0390303789
abx_mega__chl_h2o__5,-1.2208378564,-1.0101208815,-1.4670149993
abx_mega__polmyx_h2o__6,1.2603180075,0.6423387610000001,0.4858977822
abx_mega__teix_dmso__14,1.5704179337,-0.4479863082,0.0577615796
abx_mega__rif_dmso__7,-0.31482889270000003,-0.3626016587,0.1449490718
abx_mega__ramo_h2o__3,3.1014352815,-0.5084422753,0.7036301876000001
abx_mega__fidax_dmso__4,-1.4481878867,-0.2941982691,-0.0476989363
abx_mega__teix_dmso__15,-1.1144765860999999,0.0489543824,0.1354926552
abx_mega__thio_dmso__4,-3.1012596394,-1.6914546162000001,-0.5327336902
abx_mega__rif_dmso__8,-0.28386211040000003,0.0066057385000000005,0.1598597089
abx_mega__reta_dmso__4,-0.8611335315,-1.5800958055,-0.8352231055
abx_mega__inh_h2o__4,6.4754620705,1.608999951,-0.2687958146
abx_mega__novo_dmso__2,2.2359708079,-1.4728167116,0.0461342255
abx_mega__dcs_h2o__3,-0.2752921691,-0.31140556210000003,0.3434190887
abx_mega__h2o-8b__3,-0.8217858688,-0.17245173760000002,0.24902781410000002
abx_mega__valin_dmso__3,-3.4739846581,-0.0479050512,0.14886653860000001
abx_mega__h2o-2__1,3.2408729259,1.5858581666,0.055378143500000004
abx_mega__cro_h2o__4,-1.1769384176,-0.2501107329,0.39820335170000004
abx_mega__dcs_h2o__4,-0.3057751735,-0.33954792,-0.2801882385
abx_mega__str_h2o__5,-0.1650949213,-0.4940901931,0.0320975614
abx_mega__h2o-8a__3,-0.5047309201,-0.5364269792,0.2434147133
abx_mega__dox_dmso__7,-0.6675720669,-0.35237383170000003,0.1838809211
abx_mega__doxo_dmso__2,0.1556587807,-1.7323516895000002,-1.2464746391000001
abx_mega__teix_dmso__16,-0.0289260506,-0.6671016675,0.10311039450000001
abx_mega__rfp_h2o__3,0.0817742254,-0.9496851004,-0.5673130965000001
abx_mega__ethanol-10__3,-0.5372494631,-0.0226627424,-0.29749789120000003
abx_mega__naoh-2__2,0.596096484,0.8116939085,0.2076550918
abx_mega__van_h2o__4,5.5010105073,-0.7314112424,0.0575912534
abx_mega__sacet_h2o__2,9.7448928965,2.1643776668,-0.7230170877000001
abx_mega__monac_dmso__4,-2.8829649035,-1.5338135346000001,0.2392429217
abx_mega__h2o-2__2,2.3016469769,1.831334841,-0.0117589496
abx_mega__zeocin_h2o__5,-0.1581428149,-0.2837354315,-0.0704405776
abx_mega__nor_naoh__5,-0.0117935612,-0.422947722,0.654868588
abx_mega__naoh-9__2,0.4532199027,0.042811631600000004,0.6744681244
abx_mega__dmso-7__3,-2.8795185265,-0.0660140085,0.5078811487
abx_mega__van_h2o__5,5.9890516765,-0.6886447552,0.0162742224
abx_mega__flavo_dmso__4,-1.6068006481000001,-0.7309896313,0.0935416527
abx_mega__novo_dmso__3,3.216606312,-1.5819381302000002,-0.37212294890000003
abx_mega__polmyx_h2o__7,-1.2541027265,-0.49466001740000004,0.3088185247
abx_mega__teix_dmso__17,-1.3342491249,-0.3177271007,-0.035192271500000004
abx_mega__doxo_dmso__3,-2.6467048455,-2.5838802447,-1.3599263987999999
abx_mega__mem_dmso__6,-1.5847906158,-0.015185985800000001,0.6508842241
abx_mega__h2o-1a__3,0.3910652612,0.1164796426,0.0186238333
abx_mega__bacit_dmso__3,1.3069040195000001,-0.5589695816,0.45309949180000003
abx_mega__dox_dmso__8,-0.38568753510000003,0.7615124468000001,0.2669148115
abx_mega__teix_dmso__18,-0.729953858,-0.5731697364,0.3634409279
abx_mega__h2o-6__3,-0.6751071861,-0.2548686994,0.1776554195
abx_mega__pen_h2o__5,-2.3092504765,-0.6728316369,0.0025121796
abx_mega__lzd_dmso__4,-0.5078387711,-0.8975595056000001,-0.0607438084
abx_mega__daro__1,-1.1332421014,-0.5122896425,-0.2612160234
abx_mega__solv__1,-0.4418586217,-0.7491844908,-0.054999300200000004
abx_mega__daro__2,-1.5502282696,-0.6708070922,0.0912482288
abx_mega__daro__3,-1.1848428978,-0.20179849490000001,0.6040814594
abx_mega__solv__2,-1.0459104029,-0.8112341204,-0.39903587420000003
abx_mega__solv__3,-1.5929936561,-0.1322083688,0.3824226227
abx_mega__dmso-4__1,-2.6409248612000003,-0.17421408030000002,0.6914400967000001
abx_mega__kirr_dmso__1,-1.7506434542,-1.2370445194,-0.6777001869
abx_mega__kirr_dmso__2,-1.601851278,-1.3691353223,-0.8402871301
abx_mega__kirr_dmso__3,-1.3423955823,-0.9823399736,-0.6799494332
abx_mega__dmso-4__2,-2.5622494207,0.1284332697,0.6659753428
abx_mega__dmso-4__3,-2.6998795883,-0.0680244722,0.7663307066
ackA_pta__dnaA46_del_ackA__1,-1.0260015735,0.8941720092000001,0.6836901925000001
ackA_pta__dnaA46_del_ackA__2,-1.3996884056,1.6440901983,1.1002716858000001
ackA_pta__dnaA46_del_ackA__3,-0.3246938204,1.4915247623,0.5912656601
ackA_pta__dnaA46_del_pta__1,-2.4650771632,1.4611924279,1.5075615808
ackA_pta__dnaA46_del_pta__2,-1.037037618,0.1470858157,0.0256515645
ackA_pta__dnaA46_del_pta__3,-1.3319146522,1.2023708061,0.7988655828
ackA_pta__dnaA46__1,-0.2715558766,0.0402383261,0.13069101090000002
ackA_pta__dnaA46__2,0.8993623777,0.6185168291,-0.2427649494
ackA_pta__dnaA46__3,-0.8603739895,-0.010357528500000001,0.0859724424
ackA_pta__del_ackA__1,-0.352462904,0.9503677303,0.9161998491000001
ackA_pta__del_ackA__2,-2.3834204879,1.2990767433000001,1.7002499349
ackA_pta__del_ackA__3,-1.0256327425,0.6750125432,0.7574621941
ackA_pta__del_pta__1,0.17885689999999999,0.11756361230000001,-0.38432269210000003
ackA_pta__del_pta__2,-0.5517909567,0.09342216240000001,-0.0841343142
ackA_pta__del_pta__3,-0.9452294978,0.4999534405,0.2662363043
ackA_pta__wt__1,-0.0859711979,0.1710892535,0.1584772915
ackA_pta__wt__2,-0.21671243950000002,-0.1522478935,-0.1434977965
ackA_pta__wt__3,0.30268363740000004,-0.01884136,-0.014979495
anticancer__5fu__1,0.6685925804,-0.3729663292,-0.5030240734
anticancer__5fu__2,0.9149538686,-0.5755406646,-0.6672837847
anticancer__cap__1,10.1760818722,0.7932018097,-0.39160677120000004
anticancer__cap__2,10.3202338791,0.9253647052,-0.5247781789
anticancer__cap__3,10.3295778259,1.1664336417,-0.4412657975
anticancer__wt__1,0.1352302295,0.0910595196,0.0915750733
anticancer__wt__2,0.0874376939,0.0452861231,0.1855116666
anticancer__wt__3,-0.2226679235,-0.1363456428,-0.2770867399
anticancer__5fu__3,1.7424048548000002,-0.7202255815,-0.8719110193
bio_pln__aero_pln__1,-0.0150189478,0.005631299,0.0933964514
bio_pln__aero_pln__2,0.0150189478,-0.005631299,-0.0933964514
bio_pln__anaero_pln__1,0.4855037326,0.0171768621,-0.72088615
bio_pln__anaero_pln__2,-0.36449736450000003,-0.135054807,-0.7000538508
biocide__bzcl_12h__1,-0.3848935986,-0.19727504510000002,-0.0439876654
biocide__bzcl_12h__2,-0.3891266135,0.4333343042,0.4065079485
biocide__bzcl_12h__3,-0.6291476343,-0.08871160010000001,0.0985094562
biocide__etoh_12h__1,2.3494393707,0.6897288022,0.5589626085
biocide__etoh_12h__2,2.2158761118,0.38453409110000003,0.4473171905
