,A,Fis,Crp,Cra
abx_mega__rif_dmso__1,-1.2227819301,1.7759768752,-0.8477189713000001,-1.1465008338
abx_mega__novo_h2o__1,-10.4317529944,0.1268043401,0.1307715067,-3.3721230493
abx_mega__rach_dmso__1,1.8982520875,0.08683377910000001,-0.2340068764,0.11221218470000001
abx_mega__metro_dmso__1,-1.1811426662,0.147434414,-0.33700626310000004,-1.3980611692
abx_mega__dmso-6__1,-1.2223337201,-0.7709696535,-0.2857852433,0.2467512605
abx_mega__chl_h2o__1,-2.8633766671,1.8644089753,-2.9247054987,-2.6432952439
abx_mega__cst_h2o__1,0.6303763664,-0.3006031253,0.0899715865,0.2581778823
abx_mega__tec_h2o__1,2.650456931,0.5347225265000001,-1.6070723407,-0.0287932522
abx_mega__str_h2o__1,4.7578477964,-0.315531422,-0.5390842036,0.6316982481
abx_mega__ctx_h2o__1,1.2773734336,-0.27706315800000003,-0.0980165268,0.0781090031
abx_mega__nal_naoh__2,2.1359505535,-1.0515561892,0.2016373309,-0.4752620474
abx_mega__phos_h2o__1,1.2956866107,0.45988812300000004,-0.2490351859,0.4332073776
abx_mega__dmso-5__2,-0.1042244892,-0.1227531806,0.0411821817,0.0325016821
abx_mega__polmyx_h2o__1,0.8828394401,-0.7439088252,0.0231238538,0.3834597617
abx_mega__h2o-8b__1,1.222245121,-0.3382359766,0.0476350313,0.5965422085000001
abx_mega__h2o-6__1,0.5992661838000001,-0.46712865400000003,0.24713669740000002,0.1308253183
abx_mega__thio_dmso__1,3.0162118971,1.2231535145,-1.5465123927,-0.8388425719
abx_mega__phos_h2o__2,0.6113640882,-0.8780742082,0.2066153554,0.6751682776
abx_mega__ctx_h2o__2,2.9667046154000003,-0.3190684022,-0.5157335737000001,0.9108492799000001
abx_mega__lzd_dmso__1,3.2731065877,0.9380870463000001,-1.8223907651,-1.1208930686
abx_mega__naoh-9__1,0.7073832134,-0.5544290879,0.36042412560000003,0.21406610210000002
abx_mega__dox_dmso__1,4.1499168508,0.499138858,-1.3002511837,-0.4068578344
abx_mega__phos_ethanol__1,1.4452460237,0.1323222643,0.3379205155,0.44640647380000004
abx_mega__teix_dmso__1,0.9215300634,0.2073111051,-0.6834405493,0.045534809600000004
abx_mega__dmso-10__1,-0.0394425335,-0.25733282500000004,0.1656640608,0.6982458443
abx_mega__van_dmso__1,-2.0159070298,-0.43288717800000004,-0.9934080376000001,-1.9874404964
abx_mega__ramo_h2o__1,2.2708169986,-0.1847626776,-0.3443110079,-0.38277561260000004
abx_mega__tec_h2o__2,1.7806704922,0.9230981104,-0.9407234058,-0.5035923001
abx_mega__h2o-7__1,2.3867567443,0.418788309,-0.0040549861000000005,1.0192005981
abx_mega__cro_h2o__1,2.2980527425,0.2659133738,-0.1478341465,0.7719019076
abx_mega__tric_ethanol__1,-1.6996400201,-1.8737666673,-0.1558928562,-0.052083887700000005
abx_mega__nor_naoh__1,1.3527998273000001,-0.7529405576,0.2764607147,-0.2371284206
abx_mega__teix_dmso__2,-0.3615060237,0.40104904210000003,-0.14661147630000002,-0.0507022806
abx_mega__nal_naoh__3,2.2710508962000002,-0.5866514008,0.2201400917,-0.5041378015
abx_mega__novo_h2o__2,-10.6969013168,0.1670368142,0.1874058842,-3.2518194953
abx_mega__dmso-10__2,-0.4106116984,-0.18329488400000002,0.0513472187,0.5148069151
abx_mega__phos_h2o__3,1.6601401321,-0.44714341750000003,0.3866879371,0.2921819518
abx_mega__dmso-6__2,-0.3303399598,-1.1044765928,-0.0602559214,0.09906589140000001
abx_mega__rfp_ethanol__1,-1.8998729362,2.01999203,-1.4743546362,-0.9248653221
abx_mega__dmso-5__3,-0.7256760076000001,-0.11737753790000001,-0.13444608700000002,0.0783119691
abx_mega__amyc-d_dmso__1,-6.4601683284,1.1007515523,-1.621907484,-1.4474649046999999
abx_mega__sxt_dmso__1,1.5299898873000002,-0.1059151671,-0.0376343135,0.24395055710000002
abx_mega__dmso-1__1,-0.3156958615,-0.1809852853,-0.0810478849,-0.0396580453
abx_mega__pen_h2o__1,1.2741276033,-0.4078044901,0.1296583874,-0.444195335
abx_mega__dmso-10__3,0.3599600666,-0.4056936109,0.2017965224,0.6848183492000001
abx_mega__nal_naoh__4,2.1513337504,-0.2755809595,0.1490464558,-0.2074547953
abx_mega__cip_naoh__1,1.0048305791,-0.0218445443,0.2623448043,-0.3665347619
abx_mega__pen_h2o__2,1.5012655223,-0.3603364043,-0.22631582460000002,-0.3004042504
abx_mega__ery_dmso__2,-2.536586845,0.5386924691,-1.9945889461,-1.956959367
abx_mega__dmso-2__2,1.8415492847000001,-1.1777016044,-0.303318389,1.1549827568
abx_mega__van_dmso__2,-3.1848643423,0.4569554622,-0.9213934478,-1.8424156250000001
abx_mega__h2o-1b__1,-0.7815069092,0.62288687,-0.5542551321,-0.4115024249
abx_mega__ery_h2o__1,2.6400586356,2.3050038891,-2.4371824129,-2.491041828
abx_mega__bacit_h2o__1,-0.7055597723,-0.034645267800000004,-0.6975730314,-0.21317231320000002
abx_mega__chl_h2o__2,0.2681663553,1.6454385256,-2.788252041,-2.3858561979
abx_mega__str_h2o__2,5.5336209936,-0.862049083,-0.46271994780000003,0.5017693683000001
abx_mega__rfp_ethanol__2,0.3598925717,1.5046348551,-1.0117169578,-0.380546541
abx_mega__polmyx_h2o__2,1.6756094368999999,-0.7560279758,-0.1729404675,0.1581059554
abx_mega__tric_h2o__1,-0.6788780552,-0.9570480503000001,0.2138522692,1.0830491121999999
abx_mega__cip_naoh__2,1.614768519,-0.2310521848,0.22403181360000002,-0.282687005
abx_mega__novo_h2o__3,-10.9210320973,0.0384749824,-0.09237995040000001,-3.0070167331
abx_mega__bacit_dmso__1,0.5331665773,-0.27164175360000004,-0.38942819040000004,-0.5811062264
abx_mega__gen_h2o__1,-0.9327039402,-0.9889467527,-1.1362642293,-0.6505409267000001
abx_mega__bacit_dmso__2,0.10034805120000001,-0.7642554466,-0.41342659340000004,-0.38795174190000004
abx_mega__chl_dmso__1,-4.5262643028,-0.2785421886,-1.6036324816,-0.8694942068
abx_mega__bacit_h2o__2,-1.363725267,0.37938326920000004,-0.5104274184,-1.0863040595
abx_mega__lvx_dmso__1,1.103432569,0.0592087638,-0.1584196907,0.1716691594
abx_mega__bacit_h2o__3,-0.7065854067,0.2957838322,-0.6589226995,-0.29180052300000003
abx_mega__nor_naoh__2,0.7603999433,-0.9272936324000001,0.1764471632,-0.2578289723
abx_mega__amyc-d_dmso__2,-2.9716808976999998,1.1044165911,-0.5799739837,-1.1029578843
abx_mega__polmyx_h2o__3,0.7137992999,-1.0044740437,-0.6950204566,0.5883921036
abx_mega__naoh-6__1,0.4071426005,-0.3681309666,0.245553549,-0.0315979718
abx_mega__cst_h2o__2,-0.2160970812,0.49882963830000004,-0.24882076420000002,-0.3307579353
abx_mega__h2o-1b__2,-1.4641247443,0.566920077,-1.0972302127,-0.5558390831000001
abx_mega__rfp_h2o__1,-3.4599740119,2.0234284253,-2.0210704043,-1.7615590003000001
abx_mega__tet_h2o__1,5.0231166419,-0.22959920490000002,-1.6584843203,-1.7568379058999999
abx_mega__flavo_dmso__1,2.0335602132,-0.0980294456,-0.2397944182,0.1660500036
abx_mega__zeocin_h2o__1,0.8481341819,-0.459732,0.1989831632,0.48433845670000003
abx_mega__nor_naoh__3,1.6371124402000001,-0.3283958898,0.10670366340000001,-0.3263923486
abx_mega__rach_dmso__2,1.9739842814,0.5310775656,-0.1227589166,0.46525192070000004
abx_mega__thio_dmso__2,-2.1500022147,1.8115914355,-1.4531793695,-2.0357395307
abx_mega__amyc-d_dmso__3,-5.4529228909,1.6412196845,-1.642695013,-1.6318591136
abx_mega__rif_dmso__2,-1.323459668,0.5688580452,-0.659556922,-0.4210968036
abx_mega__amyc-d_dmso__4,-2.690360491,1.2367111817,-0.5482364304,-0.8271836069
abx_mega__teix_dmso__3,0.6715717388,0.5325024357,-0.1455592358,-0.235260515
abx_mega__valin_dmso__1,-1.1125761339,-0.4511907362,-0.6506498564000001,-0.5404264046
abx_mega__teix_dmso__4,-0.1063076055,0.277694506,-0.0665078507,-0.1281517943
abx_mega__ethanol-10__1,0.5630709952,-1.0363960574,0.0163008612,0.8024695425
abx_mega__inh_h2o__1,2.0726756882,-0.5469996683,0.3281616036,0.6949377064000001
abx_mega__rif_dmso__3,-0.8819750293,2.0394370277,-1.3897674496999999,-1.794658864
abx_mega__van_dmso__3,-1.9948483604,0.6814291384000001,-0.94657928,-1.8545558817
abx_mega__doxo_dmso__1,0.031366806500000004,-0.0301321781,-0.11358356480000001,1.4236078071
abx_mega__tmp_dmso__1,2.2156347731,-0.1249819187,0.2090437913,-0.1422608386
abx_mega__ethanol-10__2,1.4068569727,-0.5284590883,0.156288703,0.8253414572000001
abx_mega__tmp_dmso__2,2.2190079543,-0.1497972132,0.1914919696,0.015944328900000002
abx_mega__amyc-d_dmso__5,-6.3687276894,2.0380877735,-1.6521756011000002,-1.6910187156
abx_mega__novo_h2o__4,-5.4396767454,0.0052233307,-0.2527058608,-2.0946863412
abx_mega__cro_h2o__2,3.2924768409,0.4784042827,-0.30657057660000003,0.5257695536
abx_mega__cro_h2o__3,2.1659371946,-0.1817873103,-0.2669976047,0.2565888257
abx_mega__gen_h2o__2,-0.7079324937,-1.6733663526,-1.0307723459,-0.5893973720000001
abx_mega__phos_h2o__4,1.7235478438,-1.4923286758,-0.0309958632,0.9156420854
abx_mega__metro_dmso__2,-0.3918187379,0.0575286216,-0.3804310446,-1.1846501745
abx_mega__ery_h2o__2,2.3215732116,2.0216415702,-2.3462003852,-2.2733299144
abx_mega__sacet_h2o__1,3.1068971398,-1.5202731443,-0.6041545277,-0.3041345535
abx_mega__nal_naoh__5,1.8522964037,-0.37419296630000004,-0.054980210200000004,-0.6094488481
abx_mega__bacit_h2o__4,-1.0333005774,0.6656975378000001,-0.7076949831,-1.0523985637
abx_mega__cip_naoh__3,2.7712783834,-0.285459375,0.1102525246,-0.2124608039
abx_mega__ethanol-8__1,0.756030933,-0.5478844172,-0.0590977866,1.1846757806000001
abx_mega__h2o-8a__1,3.3453226302,-0.9426291372000001,-0.22081801820000002,-0.1143937765
abx_mega__ery_h2o__3,2.8662051647,2.365706667,-2.3057897995,-2.2488264197
abx_mega__flavo_dmso__2,1.6954213286000002,0.44815050570000003,-0.3165443482,0.5414791011
abx_mega__rif_dmso__4,-2.0772021271,2.2319022165,-1.5399098517,-1.7994636388
abx_mega__novo_h2o__5,-9.3413632873,0.9714924580000001,-0.3411830033,-2.8797694036
abx_mega__teix_dmso__5,0.9533432557,-0.3183097434,-0.0340696975,0.7292042436
abx_mega__naoh-2__1,1.0087207458,0.4595702441,-0.31705369640000003,0.1506402454
abx_mega__novo_h2o__6,-8.0978600958,0.3188663069,-0.5697764494,-2.2825630053
abx_mega__ctx_h2o__3,3.4465448929,-0.29555656550000003,-0.31765341210000003,0.5598154293000001
abx_mega__rach_dmso__3,1.4980973683,0.3466464765,-0.25011430100000004,0.0412895322
abx_mega__valin_dmso__2,-0.9804592499,-0.1199930824,-0.8373204843000001,-0.39142262170000003
abx_mega__amyc-d_dmso__6,-5.2181635041,1.8591924979,-1.2728116676,-1.5052256722
abx_mega__dox_dmso__2,-0.9449132597000001,-0.8229845064,-0.025511662,-0.4343343082
abx_mega__teix_dmso__6,1.3060744286000001,-0.0098665728,0.1480773849,0.9490607440000001
abx_mega__naoh-6__2,0.3622196043,-0.22942625560000002,0.1439389809,-0.13238774720000002
abx_mega__inh_h2o__2,-1.2914603254,-0.6399566405,0.0779751018,-0.282860869
abx_mega__chl_h2o__3,2.6466286447,0.4801023406,-2.8414442095,-1.5334891602
abx_mega__nal_naoh__6,1.7659247718,-0.30825317760000004,0.0426535923,-0.5990392219
abx_mega__chl_dmso__2,-5.5749109148,-0.5175083398,-1.6022828696,-0.9108944941
abx_mega__rach_dmso__4,0.8216478472000001,-0.2185033082,-0.0800003088,0.6804196523
abx_mega__teix_dmso__7,1.1142909491,-0.2470005291,0.0001683552,0.7349275142
abx_mega__ceru_ethanol__1,-1.0474984018,-1.695413108,0.1315329539,0.6911968565000001
abx_mega__dmso-7__1,0.9960908224,-0.0019591802,-0.1486598298,0.6084073021
abx_mega__naoh-6__3,0.6782589933000001,-0.41536759040000004,0.232671539,0.0359138691
abx_mega__phos_ethanol__2,1.3439897215,-0.2445014006,0.2168248136,0.5805534557
abx_mega__metro_dmso__3,0.1621367252,-0.24004343990000002,-0.3791651303,-1.2865579975
abx_mega__van_dmso__4,-0.5312435279000001,0.13992067500000002,-0.8353134788000001,-1.8854855527
abx_mega__h2o-10__1,1.7872001401,-0.722319177,-0.0202364792,-0.3937749486
abx_mega__h2o-10__2,1.0448784151,-0.4136282455,-0.0607073754,0.0569337061
abx_mega__dmso-6__3,-0.9136349393000001,-0.5687207573,-0.2527744328,0.1522864267
abx_mega__mem_dmso__1,2.035012573,0.483350804,-0.1981004934,0.1717118156
abx_mega__ethanol-8__2,-0.5381069341,-1.2496100656,-0.021523506600000002,1.0669769225
abx_mega__chl_h2o__4,3.1920913158,0.5186651994,-2.6700349591,-1.5300362451
abx_mega__van_h2o__1,0.6779718463000001,0.9782994344,-0.9103162108,-0.9539721666000001
abx_mega__dcs_h2o__1,2.6931205405,0.2113714276,0.0943710534,0.49571781130000003
abx_mega__rif_dmso__5,0.3914782577,0.5784329789,-0.1829334597,-0.3398812852
abx_mega__dox_dmso__3,0.8028848569,0.3899879865,-0.3972091841,-0.40342935360000004
abx_mega__mem_dmso__2,2.2250255885,-0.12475402370000001,-0.2638287498,0.1689494005
abx_mega__lvx_dmso__2,0.7474282555,-0.440646719,0.0417388443,0.0972084373
abx_mega__tet_h2o__2,2.4903368165,0.9389394508000001,-2.2693012292,-1.0433339282
abx_mega__phos_h2o__5,1.3860118083000001,-0.7376719052,-0.1972134109,0.6151469783
abx_mega__monac_dmso__1,0.7568479292,0.3206533466,-0.8663395759,-0.8081406531
abx_mega__str_h2o__3,2.5752874209,-0.8841602868,0.1259657223,0.249143368
abx_mega__zeocin_h2o__2,-0.5573618514,-1.0325870926,-0.6476176532,0.4965244495
abx_mega__amyc-d_dmso__7,-6.212613591,1.9019208756000001,-1.42088019,-1.209235546
abx_mega__fidax_dmso__1,0.8647956709,-0.0131461132,0.007690172800000001,0.6527414339000001
abx_mega__h2o-1a__1,-0.16586686,-0.1145241468,0.0575483496,0.075576312
abx_mega__dox_dmso__4,0.3294886006,-0.7914818317000001,0.2665585241,-0.2659597963
abx_mega__lzd_dmso__2,0.051178015800000004,0.4437090339,-1.9463157999,-1.8484214817
abx_mega__tet_h2o__3,5.0920606127,-0.1042384143,-1.5689931018,-1.436213482
abx_mega__dmso-1__2,1.6451037013,0.0120616401,-0.0638843971,0.292098705
abx_mega__sxt_dmso__2,1.7219091338,0.0576059274,-0.6176702001000001,-0.6780960715000001
abx_mega__tric_ethanol__2,-1.3785531752,-1.0213243068,-0.058214080700000004,0.48036271620000004
abx_mega__teix_dmso__8,1.3831779576,0.5841235968,-0.3208467193,-0.6009751059
abx_mega__ramo_h2o__2,1.8132995389,-0.0187767106,-0.3043319677,-0.1478295309
abx_mega__inh_h2o__3,1.5418728750000001,-0.35451390790000004,0.2263080572,0.7750522138
abx_mega__cst_h2o__3,-0.8723879062000001,1.1103280613,-0.6604587882,-0.6969591940000001
abx_mega__dmso-9__1,0.41544625970000004,-1.0845554723,0.1652363888,0.47815821950000004
abx_mega__ethanol-8__3,-0.4235013986,-0.8564956914,0.073808526,0.9893608411
abx_mega__monac_dmso__2,-0.4331934307,0.1351663382,-1.4421129371,-1.2653026277000001
abx_mega__dmso-9__2,-0.6296522502,-0.6193977612,0.0124821121,0.4184569051
abx_mega__metro_dmso__4,-0.2905145818,-0.0234824324,-0.0624036472,-1.1638421847
abx_mega__ctx_h2o__4,3.3502756139,-0.182629971,-0.3304413054,0.5863456874
abx_mega__zeocin_h2o__3,-1.3934114326,-0.9708737299,-0.8187488844,0.5650166218
abx_mega__bacit_h2o__5,-3.2733961589,0.6080896798000001,-0.6212632720000001,-1.0984562915
abx_mega__reta_dmso__1,0.7317484452,0.8490393866,-2.0377494386,-2.0109253777
abx_mega__ery_h2o__4,3.2784572164,1.7872922632,-2.3919325405,-1.3485028145
abx_mega__ceru_ethanol__2,-2.5127946386,-0.6958508876,-0.2507206522,-0.5280297472000001
abx_mega__fidax_dmso__2,0.6833794769,-0.16191133970000002,0.07346573220000001,0.6857065432
abx_mega__novo_dmso__1,-9.4345943021,1.2088581859,0.3143882568,-1.6318165128
abx_mega__naoh-6__4,0.08028401760000001,-0.16045119600000002,0.1617989176,-0.06482303040000001
abx_mega__amyc-d_dmso__8,-2.7592606209,1.2692086651,-0.4081937196,-1.0195210225
abx_mega__chl_dmso__3,-5.0247932537,0.096913566,-1.7002395932,-0.9328703077
abx_mega__nal_naoh__7,1.214390333,-0.5299322348000001,0.1538530863,0.4973491512
abx_mega__teix_dmso__9,0.5010128299000001,-0.1474155264,0.1414549701,0.8080966286
abx_mega__ery_dmso__3,1.5973021925,-0.31032173890000003,-1.7943494913,-1.5690303947
abx_mega__tmp_dmso__3,2.5689893729,-0.2070586725,0.2193526747,-0.193287018
abx_mega__sxt_dmso__3,2.4754747412,0.7467306572,-0.3849941899,0.7843616708000001
abx_mega__polmyx_h2o__4,1.0451031052,-0.0470006762,-0.732440443,0.2772773824
abx_mega__mem_dmso__3,0.4772826546,-0.5280203292,0.1017285234,0.4312175016
abx_mega__nal_naoh__8,2.1384738476,-0.23178273600000002,-0.2163555027,0.1371330278
abx_mega__pen_h2o__3,0.6911668117,-0.19347923590000002,-0.1832599433,0.0880159845
abx_mega__van_dmso__5,-0.8198392286,0.6331787659,-0.9702752261,-2.0064355262
abx_mega__zeocin_h2o__4,1.1246783763,-0.6381908614,-0.7029806271,0.7160194373000001
abx_mega__h2o-6__2,0.411572508,-0.12259243630000001,0.2689052974,-0.0219061857
abx_mega__tet_h2o__4,2.9860534540000003,0.5383172481,-1.7485042558,-1.7401859745000001
abx_mega__nor_naoh__4,1.0682473111,0.010780811500000001,0.2638014382,-0.13764546290000002
abx_mega__cip_naoh__4,1.1493859569,-0.31651521790000003,0.1813226141,-0.12439889450000001
abx_mega__tmp_dmso__4,2.2512521904,0.49990663900000004,-0.0659537084,-0.4953257364
abx_mega__reta_dmso__2,1.8106924597,1.8605806696,-2.6935232182,-1.8144474763
abx_mega__mem_dmso__4,2.424213104,0.5064505429,-0.24608755940000002,0.6515780167
abx_mega__dox_dmso__5,3.2558310817000002,0.5188505368,-1.4072956342,-0.6463130855
abx_mega__tmp_dmso__5,0.940692999,-0.0285147619,0.13500124700000002,0.5590132598
abx_mega__flavo_dmso__3,2.3434801556,0.310465981,-0.16266356510000002,0.7377327490000001
abx_mega__tmp_dmso__6,1.9364877176,0.320027795,-0.08100398930000001,0.3955473585
abx_mega__ceru_ethanol__3,-2.0561871556,-0.6246043915,-0.0203257193,-0.5943358821
abx_mega__teix_dmso__10,1.1614961448,0.2753504894,-0.0864598209,-0.312031323
abx_mega__novo_h2o__7,-10.7644463781,0.1940619139,0.09512308080000001,-2.7418967045000002
abx_mega__fidax_dmso__3,-0.186895885,0.0017833729000000002,0.056592892000000006,0.0787107762
abx_mega__h2o-1a__2,-0.24664339370000002,0.1853942542,-0.0203162279,-0.0775931141
abx_mega__dcs_h2o__2,1.9197931981,0.0413358759,0.08127249760000001,0.0086808589
abx_mega__cst_h2o__4,0.7326067453,0.9407321831000001,-0.42764759150000003,-0.5439747382
abx_mega__van_h2o__2,0.7133704204,-0.3611944224,-0.3318785326,0.24816900530000002
abx_mega__pen_h2o__4,0.8736379023,-0.2338200798,-0.1072682971,0.519782485
abx_mega__h2o-8b__2,1.5276315767000002,-0.6861415363000001,0.2832759084,0.7406089015
abx_mega__reta_dmso__3,2.320892621,1.9108960705,-2.220698214,-1.6564637059
abx_mega__dmso-7__2,1.8478579093,-0.141236469,-0.324421403,0.9828303522
abx_mega__rfp_h2o__2,-3.7228508585,2.3897203549,-2.078741852,-1.9493855193
abx_mega__rif_dmso__6,-1.2233068987,1.3052757481000001,-0.8986833081000001,-0.7389979591
abx_mega__sxt_dmso__4,1.8891841026,0.2945953617,-0.39061972300000003,0.5831883902
abx_mega__cip_naoh__5,1.5256829661,-0.9076890374000001,0.5302146851,-0.0400861278
abx_mega__dmso-9__3,0.0185720833,-0.0095143786,-0.0648156579,0.38496605300000003
abx_mega__mem_dmso__5,1.8148580072,0.5018396705,-0.2015433442,0.3057779418
abx_mega__tric_h2o__2,-1.0463629344,-2.0938834403,0.0561230447,1.0814096019
abx_mega__phos_h2o__6,1.3315146937,-0.2423271707,0.1840419059,0.2956034265
abx_mega__h2o-7__2,1.8541722763,-0.0977832299,-0.0687134662,0.8273412322
abx_mega__h2o-10__3,1.9720239916,-0.1792065887,-0.0029101905,-0.018987965000000002
abx_mega__h2o-8a__2,2.4313424264,-0.952066088,-0.2414092729,-0.2574594905
abx_mega__thio_dmso__3,3.5418936293,0.8027407688,-1.3992598427,-0.5142443918
abx_mega__lzd_dmso__3,3.3120913139,1.1656425385,-1.4757436121,-1.1588349234
abx_mega__monac_dmso__3,-1.1530385386,-1.1510105446,-1.5239909109,-2.0864197647
abx_mega__polmyx_h2o__5,1.4964457733,0.2760050115,-0.5778881676000001,-0.1191076226
abx_mega__naoh-6__5,0.7605684062,-0.4524599265,0.2383405456,-0.0897675072
abx_mega__teix_dmso__11,1.3890150431000001,-0.0051063792,0.2231626615,0.0465704776
abx_mega__van_h2o__3,1.1901905003,-0.4897510559,-0.6145709097000001,0.21144293290000002
abx_mega__teix_dmso__12,0.5607255042,0.0520352295,0.0065499987,0.283038642
abx_mega__dox_dmso__6,2.8587953865999998,-2.7278824412000002,-0.2166458346,0.45653899740000004
abx_mega__teix_dmso__13,0.7976075758000001,-0.1546018324,-0.6082655704000001,0.32208788390000004
abx_mega__h2o-7__3,2.2008613846,0.6156958517000001,0.012213341,0.6984863627
abx_mega__str_h2o__4,4.2501362442,0.4154984903,-0.8489028276,0.44962913320000003
abx_mega__tec_h2o__3,1.890941539,1.0135886341,-1.5276697252,-0.29761332700000004
abx_mega__phos_h2o__7,1.5859315331000001,-0.11146936290000001,0.23647347670000002,0.24874925080000002
abx_mega__chl_h2o__5,-1.5014082421000001,1.887193075,-2.8546736802,-2.5241991852
abx_mega__polmyx_h2o__6,-0.5307335215,-0.5722274328,-0.6676717403,0.5041823862
abx_mega__teix_dmso__14,1.1819749651,0.2466288767,0.10364661430000001,-0.07935981040000001
abx_mega__rif_dmso__7,-0.6494156035,0.8165493472,-0.8174938777,-0.5268674811
abx_mega__ramo_h2o__3,1.5989429687999999,-0.319508367,-0.1972418484,-0.281593315
abx_mega__fidax_dmso__4,-0.1736717565,0.6498663518000001,-0.2550231206,0.2033202929
abx_mega__teix_dmso__15,-0.0609667606,-0.38826863,-0.1637807405,0.5636834894
abx_mega__thio_dmso__4,3.4187207148,1.013942677,-1.3135012281,-0.8255073678
abx_mega__rif_dmso__8,-1.4037710637,1.4644864188,-1.2176583871,-1.0206736848
abx_mega__reta_dmso__4,1.8332124052,1.8604234785,-2.7449780099,-1.8980427306
abx_mega__inh_h2o__4,-0.37407826790000004,-1.124764281,0.1674650962,0.2258569543
abx_mega__novo_dmso__2,-7.6162996507,0.3535047649,0.7184192778,-1.6487574424
abx_mega__dcs_h2o__3,2.7130683069,-0.034453891,-0.0899811296,0.09299178670000001
abx_mega__h2o-8b__3,1.321660735,-0.19569118060000001,-0.0284053616,0.5694757752
abx_mega__valin_dmso__3,1.1265932152,-0.3801509898,-0.4440190169,-0.6313929308
abx_mega__h2o-2__1,2.2935997455,-1.0023959654,-0.3742459546,0.8258952332
abx_mega__cro_h2o__4,1.2416484324,-0.056936019500000004,-0.0823108953,0.29548445300000004
abx_mega__dcs_h2o__4,2.0604931186,-0.3379730403,0.19009073370000001,0.5130989705
abx_mega__str_h2o__5,1.8919089158,-0.8420500264,0.1230572979,0.4155179375
abx_mega__h2o-8a__3,2.2564182972999998,-1.0029958417,-0.3090692798,-0.1913457136
abx_mega__dox_dmso__7,-0.0188513707,-0.22377773080000002,0.1271493457,-0.1410658997
abx_mega__doxo_dmso__2,0.3622980015,0.024912922,-0.057352962300000004,1.4793937737
abx_mega__teix_dmso__16,1.6144032524,0.13747772960000001,-0.7911037301,0.1245718457
abx_mega__rfp_h2o__3,-4.2782376524,2.71960381,-2.2550692285,-1.9795885468
abx_mega__ethanol-10__3,0.5582452025,-0.7059431479,0.09459037740000001,1.1656597673
abx_mega__naoh-2__2,2.8380804899000003,-1.5566374295,-0.3417330189,0.7298784328
abx_mega__van_h2o__4,0.8361438203,0.8647613976,-0.7655932475,-1.0022617801
abx_mega__sacet_h2o__2,1.7515545821,-3.0197401395,-0.8230648089,0.0681248837
abx_mega__monac_dmso__4,0.0956805981,-0.5705754439,-1.0244460877,-0.9495351296000001
abx_mega__h2o-2__2,1.8312001481,-1.2445603568,-0.3020521984,1.0371807026
abx_mega__zeocin_h2o__5,1.9257558255,-1.1954291624,0.0940214917,0.4756949567
abx_mega__nor_naoh__5,2.1300632807,-0.3498157051,0.0455558508,0.0868518041
abx_mega__naoh-9__2,1.0655990894,-0.4590984652,0.22416250880000002,0.42244225
abx_mega__dmso-7__3,1.4407035013,0.15292946270000002,-0.4554145486,1.0194817082
abx_mega__van_h2o__5,1.0930291933,1.1971670731,-0.9496879326000001,-1.1289858779
