,A,DecR
SRX6072762,-5.596785082,-0.7117641889
SRX6072763,-4.3436698369,-0.2523287041
SRX6072764,-7.5209205679,-0.6676973357
SRX6072765,-4.7452692125,-0.453827168
SRX6376491,-1.0680661487,0.2779184883
SRX6376492,-1.8565276376000002,-0.7526979282
SRX6376493,-1.5173929153999999,-0.5827182148
SRX6376494,-3.1917152198,-0.5845030667000001
SRX6376495,-0.1474759455,0.1831273821
SRX6376496,-1.0628409620000001,0.1654353851
SRX2723951,-0.6836277643,0.43965611590000003
SRX2723952,2.0659272679,0.792733419
SRX2723953,-0.41052404600000003,0.7403127308
SRX2723954,5.9199246755,1.3797809501
SRX2723955,1.2569649197000001,-0.23302109680000002
SRX2723956,1.9781469820000002,0.6121985557
SRX2723957,0.48134851180000005,0.3183568706
SRX2723958,1.8528124315,0.320455653
SRX2723959,-0.23854185290000002,0.3751436664
SRX2723960,-1.446450931,0.4674953745
SRX2723961,4.025130067,1.2703047352999999
SRX2723962,-1.3022824157000001,0.46880960590000004
SRX2723963,-0.9798330638,-0.2400729933
SRX2723964,0.5680489339,0.0510327259
SRX2723965,0.2306036809,0.47121008410000004
SRX2723966,0.5279783702,0.1575729914
SRX2723967,-0.1955591116,-0.3946138871
SRX2723968,-0.33241925850000004,0.2370408957
SRX6977206,-0.8463215831,0.0487254789
SRX6977207,0.4330002974,0.29459112120000003
SRX6977208,3.5139599938,0.9320999152
SRX6977209,3.4395748516999998,1.1103798621
SRX6977210,4.0064688813,0.9857756822
SRX6977211,-0.7063895453,-0.1903229353
SRX6977212,-0.2349318313,-0.0932427815
SRX6977213,0.9413213767,0.28356571680000003
SRX6977214,-1.6717689421,0.4548125454
SRX1153733,0.3237679775,0.242037468
SRX1153734,-0.3237679775,-0.242037468
SRX1153735,0.243113497,-0.0185311423
SRX1153736,-1.077763432,-0.040055225300000004
SRX5204053,-0.46772298970000004,0.2770864088
SRX5204054,-0.050263422700000004,0.4441363835
SRX5204055,-0.2632096494,0.2845648583
SRX5204056,-0.43371055480000004,0.2871603364
SRX5204057,-0.6777924470000001,0.8739483806
SRX5204058,-0.27047263450000003,0.7067229979
SRX5204059,-0.5745340772,0.4634316201
SRX5204060,-0.8339223728,0.8808066114
SRX5204061,0.2537369543,0.6847973940000001
SRX5204062,-1.0996767553,0.9858243684
SRX5204063,-0.4414525593,0.5820905665
SRX5204064,-0.3073675489,0.1441404123
SRX5204065,-0.31494570780000003,0.7614945335000001
SRX5204066,0.40509166620000003,0.509059891
SRX5204067,0.2997745874,0.6485885702
SRX5204068,-1.0187103054,0.46076993200000005
SRX5204069,-0.5833622070000001,0.17074590950000001
SRX5204070,-0.9881480586,0.6655537275
SRX5204071,-0.016276721100000002,0.7488619168
SRX5204072,0.3710629693,0.3294165808
SRX5204073,0.1038752844,0.7421919062
SRX5204074,0.24963571310000002,-0.0613951089
SRX5204075,-0.5969013324,-0.3578111214
SRX5204076,0.3336445885,0.1359491959
SRX5204077,0.1739252677,0.2405342104
SRX5204078,-0.3751503405,0.1541449821
SRX5204079,-0.0636505003,0.1054971071
SRX5204080,-0.23518718130000002,0.2216717409
SRX5204081,-0.3878611759,-0.0669560616
SRX5204082,-0.284843701,0.1871093942
SRX5204083,-0.2099318131,0.9178196291
SRX5204084,0.5009952742,0.9870386281
SRX5204085,-0.6234240619,0.9157052642
SRX5204086,-0.2524612271,0.42876786510000003
SRX5204087,0.3053103372,0.3994203905
SRX5204088,-0.25688444390000004,0.603829658
SRX5204089,-0.3673292597,0.35481427260000004
SRX5204090,-0.0974498994,0.441198906
SRX5204091,-0.0524494623,-0.7759776726000001
SRX5204092,-0.8483038319,0.864696172
SRX5204093,-1.1120358535000001,0.6136488503
SRX5204094,-0.36432632460000003,0.2409228707
SRX5204095,0.8697637208000001,-0.17355793190000002
SRX5204096,-0.7029499201,0.1550938256
SRX5204097,-0.16681380070000001,0.0184641063
SRX683459,0.208482505,0.2089411252
SRX683460,1.4685654215000001,0.2898031655
SRX683461,-0.6439386324,-0.17582320140000002
SRX683462,4.1404711862,-0.5845794344
SRX683463,0.4354561274,-0.0331179239
SRX683464,3.2641342763,0.5254748737
SRX683465,-0.0194558019,0.49058474560000004
SRX683466,2.5208934859000003,1.1343564442
SRX683467,0.26846671710000003,0.0583934209
SRX683468,2.6372843515,0.428631651
SRX683469,-0.0215732293,-0.0764891525
SRX683470,2.689910152,1.3431928968
SRX322077,0.3622006766,-0.3736303979
SRX322078,0.6239752457000001,0.6579259065
SRX322079,-0.40049498800000005,0.190551681
SRX322080,-1.3777362445999999,-1.2003238584
SRX322081,-0.8881184034,0.2540077274
SRX322082,0.199783117,-0.3807702496
SRX322083,-0.2012404529,0.11007652500000001
SRX322084,0.6150480922,0.2021143059
SRX322085,-0.41380763930000003,-0.3121908309
SRX2708592,0.9962039522,-1.0675794729
SRX2708593,1.8341058195,-0.14470554700000002
SRX2708594,3.2884973252,0.07627971010000001
SRX2708595,-0.4506164314,0.0866539783
SRX2708596,0.1236492326,-0.010255866
SRX2708597,0.3269671988,-0.0763981123
SRX2708598,-1.5108907298,0.0420554776
SRX2708600,-0.2598781626,-0.5829664187
SRX2708601,-0.8974250485,-0.3900394957
SRX2708602,0.843004513,-0.22564542140000002
SRX2708603,-1.744096115,-0.2180577376
SRX3073814,-0.4207305948,-0.0317324497
SRX3073815,-0.1094389013,-2.6059816492
SRX3073816,1.0221799673,-3.3667960679
SRX3073817,-0.3623195996,-3.0716633181
SRX3073818,1.3173020251,-1.9305968574
SRX3073819,0.8104060811,0.1378311706
SRX3073820,0.0457494362,-3.1931692469
SRX3073821,0.45581230650000004,-3.8951040837
SRX3073822,-0.0045972501,-2.9424672056
SRX3073823,0.1400609065,-1.9741917932000002
SRX3073824,0.4207305948,0.0317324497
SRX3073825,1.4828755721,-3.1536876882
SRX3073826,1.4799487259,-3.4697594646
SRX3073827,0.2331904052,-2.630810963
SRX3073828,1.2251351727,-2.0362608701
SRX3073829,0.3994311293,0.2248420555
SRX3073830,0.555529385,-3.3137907208
SRX3073831,-0.0540877481,-3.6762376193
SRX3073832,0.7357820140000001,-2.8185843287
SRX3073833,1.1247087669,-1.1867587065
SRX2391456,-0.4560368715,0.0035256370000000003
SRX2391457,-0.5269373394,-0.0132190446
SRX2391458,-0.1833059424,-0.014782872700000001
SRX2391459,-0.1210133503,0.11220574380000001
SRX2391460,0.0047445076000000004,0.0976020608
SRX2391461,0.0720671088,0.0017980608
SRX2391462,-0.004904234,0.07719544560000001
SRX2391463,0.8061411557,0.3514244159
SRX2391464,0.7285474065,0.1525576083
SRX2391465,-0.3138819514,0.19307849870000002
SRX2391466,0.1682042656,0.1468990437
SRX2391467,-0.07244383880000001,0.0227777158
SRX2391468,-0.33000046710000003,-0.1404438326
SRX2391469,-0.21363113790000002,-0.15248864110000002
SRX2391470,0.44219295680000004,-0.15820772260000002
SRX2391471,0.6257152594000001,-0.0687063743
SRX2391472,0.7159079702000001,0.10363655570000001
SRX2391473,0.4331819021,0.010698963700000001
SRX2391474,-0.3068574801,0.0646673821
SRX2391475,1.0760979881,0.06863341170000001
SRX2391476,1.3221814189,-0.0669486971
SRX2391477,0.5029991355,-0.1444613455
SRX2391478,0.9910302069,-0.0219211765
SRX2391479,1.4867337186,0.2736338258
SRX2391480,0.7674333755,0.001505059
SRX2391481,0.3686321279,-0.3424086194
SRX2391482,0.6974988928,0.08325388310000001
SRX2391483,-0.3280013006,0.0861947552
SRX2391484,0.0666618848,0.0604502311
SRX2391485,-0.5937736123,-0.0391463233
SRX2391486,-0.5947033909,0.012268773
SRX2391487,0.2285203297,0.1658981099
SRX2391488,0.1407922872,0.0833767161
SRX2391489,0.1741474782,-0.0980017064
SRX2391490,0.3233304186,0.0512122883
SRX2391491,-0.1245216157,-0.0149686833
SRX2391492,-0.3116182073,0.0480412865
SRX2391493,-0.1120278118,-0.061238116200000005
SRX2391494,0.2019603188,0.1536980908
SRX2391495,0.07244383880000001,-0.0227777158
SRX2391496,-0.0931460519,-0.0056041942
SRX2391497,-0.3616756168,-0.1662213703
SRX2391498,1.1072209226,-0.0905668852
SRX2391499,0.9066586031,-0.045020423000000004
SRX2391500,0.7743268362,0.0246547075
SRX2391501,0.2698887762,-0.0526669948
SRX2391502,-0.5114027033,-0.00044495930000000003
SRX2391503,0.66555458,-0.0782439727
SRX2391505,0.7665206214,-0.021277891400000002
SRX2391506,0.5766351641,-0.25922420560000003
SRX2391507,0.4315066843,0.0016497022000000001
SRX2391508,0.7847033854000001,-0.0112298543
SRX2391510,0.7123727863,-0.0141839423
SRX2391512,1.1737628102,-0.16773228980000002
SRX2391513,0.6839934042,-0.0118562909
SRX2391514,0.34133607990000003,0.0986485844
SRX5632598,1.4109570907,0.7171337315
SRX5632599,-0.0463531499,0.1425963852
SRX5632600,3.7128630977,0.5480078298000001
SRX5632601,2.5622785521,0.5180378079
SRX5632602,2.6875820011,1.2134446995000001
SRX5632603,5.5278415963,0.5867526995
SRX5632604,2.9278722684,1.1115069215
SRX5632605,3.2684700021,1.2698843435
SRX5632606,-0.1539468847,0.4444156749
SRX5632607,0.110341408,0.18078960130000002
SRX5632608,0.300771613,-0.10417832460000001
SRX5632609,0.0609816912,0.4123193248
SRX5632610,1.0527866192,0.6613647060000001
SRX5632611,-0.3617533042,-0.3081410002
SRX5632612,0.1477690247,-0.7711988493
SRX5632613,0.3415121501,0.6328430647000001
SRX5632614,0.5620078578000001,-0.2627176238
SRX5632615,2.6661644417,-0.6770965507000001
ERX2874132,3.5105265354,0.5596551971
ERX2874133,5.4251082315,0.5303056689
ERX2874134,0.250441436,-0.8370687465000001
ERX2874135,1.5983317329,-0.596881074
ERX2874136,0.032673778,-0.5427008427000001
ERX2874137,1.5514869527,0.1003046308
ERX2874138,3.5523850123000003,-0.3811922408
ERX2874139,4.2425306069,-0.40666774580000004
ERX2874140,-0.5061132731,-0.1091687841
ERX2874141,0.5061132731,0.1091687841
ERX2874142,0.9177090785,-0.47960327070000003
ERX2874143,1.3133140442,0.17376458120000002
ERX2874144,2.8124784233,-0.6595339920000001
ERX2874145,3.7248490659,-0.2981910018
ERX2874146,2.4519682917,-0.1384128905
ERX2874147,4.1136770674,0.1492758733
SRX1300292,0.3523453211,0.5589475343
SRX1300293,-0.3523453211,-0.5589475343
SRX1300299,-1.4343203176000001,-0.5042867364
SRX1300300,-0.5669979928000001,-0.10592867660000001
SRX1300304,-1.7629920947,-1.1796016382
SRX1300305,-1.1064831147,-0.5298572021
SRX1300306,-1.5628255143,-0.0815520286
SRX1300310,-2.4871167873,-1.323224079
SRX1300311,-1.4333273423000001,-1.6187934903999999
SRX7291195,3.9264398322,-0.3352885554
SRX7291196,3.7853992309,-0.5057245436
SRX7291197,3.4152221011,-0.3724213166
SRX7291198,-0.0164567387,-0.1391459343
SRX7291199,0.1231642445,0.1353869473
SRX7291200,-0.1067075058,0.003758987
SRX7291201,3.2092769063,-0.4144633949
SRX7291202,3.6993803138,-0.4102979189
SRX7291203,3.7030729116,-0.4297367924
SRX7291204,0.20111583,-0.12791218470000001
SRX7291205,-0.1245965752,-0.2447261634
SRX7291206,0.233656042,-0.2146178837
SRX2436955,-0.2387014596,0.6017074145
SRX2436956,-0.2557658994,0.6077386724
SRX2436957,-0.752691212,1.0001086739
SRX2436958,0.5764018565,1.1986241684
SRX2436959,-0.47509723130000003,0.2197839776
SRX2436960,1.4695118232,0.6548614140000001
SRX2436961,2.5438432123,1.4812122099
SRX2436962,2.1261230171,0.7456386969000001
SRX2436963,-1.0807452674,-0.46353663910000004
SRX2436964,4.0202599735,0.7641220936
SRX2436965,-0.2187724589,0.6262532177
SRX2436966,0.9307640313000001,0.3827296156
SRX2436967,2.8555982816,1.5915271436
SRX2436969,-0.7964297162,-0.32125828830000003
SRX2436970,0.35738150100000005,0.3577608004
SRX2436971,2.7841282935000002,1.6893011823
SRX2437029,2.1876651869,1.0293926165
SRX2437030,-0.3978937185,0.5490435871
SRX2437031,-0.48932140620000003,-0.0676341196
SRX2437032,-0.2847388164,-0.0842362918
SRX2437033,1.1974942569,0.5840548063000001
SRX2437034,0.15939371,0.5705498486
SRX2437035,-0.6241203482000001,0.4017981581
SRX2437036,-0.8473108948,0.7315781296
SRX2437037,3.8492753001,0.7355516954
SRX2437038,0.6755815918,0.43048277370000004
SRX2437039,-0.6527148872,0.0354816034
SRX2437040,-1.0472909145,0.6244346431000001
SRX2437041,-0.3554703464,0.6465183223000001
SRX2437042,0.6538981263,0.0340609899
SRX2437043,4.8589199818,0.7109922554
SRX2437044,1.9276549416000002,0.06328396160000001
SRX4705203,-0.850655723,1.0804588376
SRX4705204,1.9549117221,-0.4136953473
SRX4705205,2.0840146792,-0.3933883013
SRX4705206,1.6197025214,-0.4329721495
SRX4705207,1.2192714023,0.9681758346
SRX4705208,0.45617633420000003,0.9103194040000001
SRX4705209,1.3935855738,0.7695795542
SRX4705210,2.7413843834,-0.516506755
SRX4705211,3.4227573089,-0.3871826438
SRX4705212,3.2538784377,-0.4706981659
SRX4705213,0.0127347768,-0.24164913340000002
SRX4705214,0.5977410525,0.22440652190000002
SRX4705215,-0.101045626,-0.0261438321
SRX4705216,-0.0022406008,-0.1705832659
SRX4705217,0.0378259823,0.0731858897
SRX4705218,-0.5450155848,0.14078381980000002
SRX4705219,-1.0406263765,0.0772613758
SRX4705220,-1.1803484257,-0.0056106169000000004
