,A,SigA,PhoP
MG+90_2,-0.9339402005,13.0474,11.1136
MG+120_2,0.7169648504,13.4313,11.9595
MG-0.1_3,-0.8954288640000001,13.9857,12.7382
MG-0.2_3,0.21085381720000002,13.6561,12.1714
MG+5_3,2.6086717632000003,13.3195,11.9096
MG+10_3,2.6596509900000003,13.2006,11.5177
MG+15_3,1.1178536979,13.788,12.3406
MG+25_3,0.46298223980000003,13.6718,12.0088
MG+45_3,-0.5486913214,13.7991,12.2286
MG+60_3,1.3094808727,13.3483,11.7881
MG+90_3,-0.773644251,13.5993,11.9614
MG+120_3,0.0782504758,13.1479,11.7381
MG+150_3,1.492944515,13.0847,11.7734
