,A,AgrA
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,1.556252807,7.8833666569
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,2.598266472,7.9458692677
USA300_SNFR19_ICA-Set002_R10LB_Control_1,0.0042696240000000005,8.0771041305
USA300_SNFR19_ICA-Set002_R10LB_Control_2,0.0076499590000000004,7.9960839864
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-0.045917279000000005,8.000380064
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,0.045917279000000005,7.899183373
USA300_TCH1516_ICA-Set002_R10LB_Control_1,-1.198409008,7.5986878052
USA300_TCH1516_ICA-Set002_R10LB_Control_2,-0.380796587,7.6683964943
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,-0.24598259600000003,7.169136085
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,12.79323147,9.799220117800001
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-0.23788191600000003,7.150486218
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,13.45754174,9.8795515449
USA300_TCH1516_ICA-Set003_250nMParaquat_1,4.380958785,9.2487184399
USA300_TCH1516_ICA-Set003_250nMParaquat_2,4.582578333,9.3473059975
USA300_TCH1516_ICA-Set003_2gLGalactose_1,2.394114103,9.4541438153
USA300_TCH1516_ICA-Set003_2gLGalactose_2,4.529960826,9.4890712958
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,4.988570071,9.6180561015
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,7.605573727,10.0013512566
USA300_TCH1516_ICA-Set003_Control_1,2.000973103,9.0120044282
USA300_TCH1516_ICA-Set003_Control_2,4.265527438,9.2993540129
USA300_TCH1516_ICA-Set003_StationaryPhase_1,8.814336844,10.6587411967
USA300_TCH1516_ICA-Set003_StationaryPhase_2,9.554545549,10.5103154123
