,A,CsoR,ArsR,CtsR,YodB,SigA
S8_5,8.3895141651,9.6517,10.8504,12.7797,9.6947,13.7501
G135_1,1.33038193,10.4364,9.7186,14.154,9.7402,14.5319
G135_3,1.58692624,8.769400000000001,8.3208,12.374600000000001,8.6122,12.9564
G150_1,0.6972871681,10.7428,9.6918,13.9824,9.4123,13.5516
G150_2,2.0076155364,10.9984,9.8979,14.5818,9.942,14.3711
G150_3,-1.2984495626,11.0576,10.0512,14.3669,9.843,14.2475
G180_1,3.9982372441000003,10.924900000000001,10.3455,14.1992,9.7334,14.2981
G180_2,5.1947650326,11.1291,10.6615,14.6397,9.9644,14.6324
G180_3,3.9178350623,10.0116,9.5196,13.5809,9.0453,13.5078
C30_1,-4.1877799825,9.8679,9.1509,11.793800000000001,9.0441,13.9429
C30_2,-5.1239946355,9.9011,8.9977,12.0296,9.2367,13.9782
C90_1,3.423516503,10.8832,9.5913,13.0229,10.3646,13.9492
C90_2,3.2668247228,11.2663,9.1053,13.2289,10.651,14.0178
BI_1,0.1343401029,10.9748,10.9582,13.2615,10.6134,13.9966
BI_2,-0.6346058423000001,11.3132,10.6061,13.3567,10.8485,14.2096
BC_2,6.0025784341,11.6717,11.027,14.41,10.3444,14.5882
BC/t_1,5.427460627,10.7407,10.486,13.2524,10.4133,14.4731
BC/t_2,6.3406049702,11.7192,11.2652,14.3314,10.7439,14.5832
BC_1,5.7638618321,10.8245,10.8231,13.5773,9.7594,14.0031
Sw_1,8.6555850996,12.226,9.6979,14.802,9.7547,14.5375
Sw_2,6.9690568514,12.5477,9.9869,15.3945,10.0576,14.5394
BT_1,-1.4217530089000001,11.0377,10.1598,14.2233,10.3432,14.0683
BT_2,-0.8460202797,10.3219,9.4595,13.479,10.1663,13.4581
B36_1,-1.1285376705,10.6271,9.4841,14.429,11.4934,13.5848
B36_2,-1.144937441,10.4329,9.3515,13.7327,10.9625,13.206
B60_1,2.2539976263,11.6168,9.1143,14.9639,11.0621,12.6109
B60_2,2.8814911002,12.3415,9.1512,15.1717,11.0891,12.0737
M9exp_1,-0.4150257912,12.2399,10.2902,13.6156,11.0598,13.9416
M9exp_2,0.1323690739,11.883,9.830400000000001,13.2855,10.6397,13.5344
M9exp_3,0.2826567173,11.6816,9.9437,12.8666,10.387,12.9987
M9tran_1,0.12404568490000001,11.2884,9.8145,13.0263,10.0308,12.9718
M9tran_2,1.5377825385000001,11.3008,9.872,12.9975,10.1731,12.9986
M9tran_3,-0.38212989940000003,11.407,9.9301,13.1881,10.5149,13.2089
M9stat_1,2.068424521,10.1355,9.2387,12.4375,9.297,11.1238
M9stat_2,4.7584362393,11.0315,9.2822,13.8271,9.406,10.8989
M9stat_3,4.9500741644,10.8306,9.0038,13.6698,9.2073,10.6334
M+G_1,1.4608606437,11.2551,9.8651,12.902,10.2951,13.2264
M+G_2,-1.1279911088,11.1148,9.7459,13.0845,10.1726,13.4217
M+G_3,-0.6891823615,11.1576,9.7099,13.0958,10.1015,13.511800000000001
Glu_1,-1.2437540278,11.7143,10.2314,13.2027,10.6924,13.530100000000001
Glu_2,-2.4243737834,11.6684,9.9009,13.8238,10.5223,13.6327
Glu_3,-2.8452062244,11.4937,10.0395,13.2285,10.6717,13.7226
Fru_1,-1.6053830863,11.6064,9.7762,12.8511,10.388,14.0674
Fru_2,-1.8093009504,11.3105,10.0869,13.248,10.7073,14.0951
Fru_3,-0.6526631169,11.1121,9.7806,12.6928,10.0588,13.1654
Mal_1,-0.5766814952,11.0404,9.0225,12.9059,9.7796,13.4585
Mal_2,-0.9248523482000001,10.7426,9.4443,12.7612,10.0394,13.6349
Mal_3,-1.436222927,11.7543,9.5147,13.6854,9.9572,13.4566
G+S_2,-1.6052745499999999,10.9871,10.2675,13.579,10.463,13.9115
G+S_3,-2.5790070041,11.0511,10.4435,13.405,10.5746,13.688
Pyr_1,1.2211968558,10.4623,9.6541,12.442,9.9331,12.3939
Pyr_2,-1.7313038161,10.4542,9.9593,13.0953,10.516,13.5458
Pyr_3,-1.0076255647,10.6237,9.8111,12.655,10.3078,13.0023
Gly_1,3.356634497,13.0082,12.9954,14.1397,9.7817,12.5146
Gly_2,0.0120981695,13.1741,12.1296,14.9358,10.0933,13.6785
Gly_3,3.9712596001,11.479,11.600999999999999,13.2536,9.0394,12.1185
Glucon_1,-1.8729916047000001,10.5667,9.4901,12.1517,9.9875,12.7107
Glucon_2,-1.2107729226,11.2549,9.7668,12.7578,10.3694,13.0733
Glucon_3,0.9555963096000001,10.8205,8.9169,11.0389,9.4732,12.2186
aero_1,2.1345254682,10.9713,9.9704,13.9511,10.4406,14.1133
aero_2,0.7368982349000001,10.623,9.262,12.688,9.9216,13.0753
aero_3,-1.9371952867000002,11.3498,9.724,13.4961,10.7475,14.043
nit_1,0.35152840020000004,10.6328,9.4055,13.676,11.1215,13.5453
nit_2,-0.0669310082,11.061,9.4074,13.787,11.2657,13.5476
nit_3,1.0783326732,10.7093,9.4303,13.4652,11.2337,13.1939
ferm_1,0.7955717389,10.8088,9.3152,13.7901,9.9945,13.3104
ferm_2,0.7045971109,10.8998,9.0098,13.327,10.7308,13.4516
ferm_3,2.650393114,10.637,9.6089,13.926,10.9792,14.084
T-5.40H_1,-1.6293404452,11.4573,10.4017,13.6081,11.0847,13.7772
T-4.40H_1,-1.0183419932,10.8692,9.7391,13.3001,10.8911,13.9864
T-3.40H_1,0.6641748585,10.9042,10.0106,13.4906,10.7393,13.7203
T-2.40H_1,1.1547819436,10.7474,9.7748,13.2094,10.2429,13.5645
T-1.40H_1,3.0755172624,10.8542,9.6462,13.6261,10.5727,13.5384
T-1.10H_1,3.9861657859,10.999,9.6866,13.7651,10.7009,13.6837
T-0.40H_1,7.0547672125,11.0426,9.8154,14.1567,10.9245,13.1869
T0.0H_1,5.7892085147,10.9031,9.6729,13.9986,10.394,13.1322
T0.30H_1,6.7977715121,10.523,10.7472,14.4485,10.2879,12.4796
T1.0H_1,2.6298842656,10.19,9.4091,13.0894,9.6165,12.338
T1.30H_1,3.5938830135,10.1656,9.4597,12.6597,9.8355,12.2101
T2.0H_1,4.7197982638,10.1764,9.6056,12.1433,9.5321,12.1585
T2.30H_1,4.7789574653999995,10.973,10.1942,13.4307,10.2598,12.7417
T3.0H_1,4.6616141653,10.5932,10.2808,13.1695,9.8762,12.3403
T3.30H_1,4.9125290883,10.8053,10.5394,13.648,10.1206,12.2105
T4.0H_1,5.8922650142,10.9403,10.9281,13.7603,10.103,11.7531
T5.0H_1,6.3096463392,10.4595,10.4561,13.3069,9.598,11.4151
HPh_1,-1.0640727457999999,11.3564,10.8816,13.0478,10.2555,13.9961
HPh_2,-1.7581600606,11.1437,10.8002,12.786200000000001,10.0408,13.8834
HPh_3,-1.6770241968000001,11.4384,11.2712,13.1243,10.2003,13.9816
LPh_1,-1.537127256,11.4067,10.6678,13.296,10.2733,14.0627
LPh_2,-4.0132494601,11.4604,10.9023,13.0765,10.517,14.6632
LPh_3,-4.604371327,10.7297,10.4706,12.6,10.074,14.1228
LPhT_1,17.4227021572,12.2947,12.8886,15.4784,10.0137,13.2688
LPhT_2,16.0646647405,12.1295,12.4979,15.2724,9.9307,13.1712
LPhT_3,16.2311153345,11.9466,12.9497,15.3667,10.1157,13.3603
SMMPr_1,1.2141183224,11.0617,9.5338,13.1193,10.0771,14.0475
SMMPr_2,2.1902466941,11.2646,9.7782,13.4791,10.0393,14.0387
SMMPr_3,1.2264434391,11.2348,9.924,13.5313,10.0249,14.0168
HiTm_1,1.8337642131,12.6628,9.5957,14.9296,9.7789,14.1183
HiTm_2,4.6252162065,11.8408,10.329,14.6152,10.1399,13.3113
HiTm_3,5.6407204753,11.9094,10.579,14.3477,10.5049,13.5911
LoTm_1,-1.4976267186,11.369,9.1336,14.3715,10.9735,12.3657
LoTm_2,-0.9322319232,13.188,9.6115,15.027,10.6132,12.2284
LoTm_3,-1.3906555336,11.1468,9.1894,14.3159,10.638,12.255700000000001
HiOs_1,1.8141971576,11.7792,9.9762,13.2823,10.9685,13.2213
HiOs_2,1.8643377628,11.3666,9.8102,12.8109,10.839,13.1559
HiOs_3,1.9795744213000002,11.7314,10.0419,13.122,10.8593,13.2773
BMM_1,-2.7490664801999998,11.1766,10.1539,13.362,10.1285,13.4498
BMM_2,-2.1753054258,10.9315,9.9783,13.3514,9.8885,13.3205
BMM_3,0.9377504896000001,10.9227,10.1217,13.4204,10.4289,13.5462
Heat_1,14.0914972095,12.6268,10.9363,16.392,10.843,13.2334
Heat_2,14.6496343076,12.4552,10.6428,16.0164,10.8333,12.9985
Heat_3,14.2709821373,12.2017,10.7978,16.3235,10.2385,12.9208
Cold_1,-2.6998862442,10.596,9.8066,14.5785,11.321,14.8203
Cold_2,1.3978314277,10.2325,9.8137,14.2484,10.8835,14.1853
Cold_3,2.0543919718,10.0884,9.4365,13.422,10.2747,13.7563
Etha_1,21.0143259239,12.8256,8.5892,16.3516,10.5326,12.8573
Etha_2,19.9879715467,12.3125,8.626,16.0065,10.0824,12.7243
Etha_3,20.8851689182,12.583,8.587,16.362,10.5178,12.9687
SMM_1,-0.9537215466000001,11.2761,10.2136,12.9278,10.1413,13.5052
SMM_2,-0.5514257445,11.2841,9.9652,12.9468,10.2823,13.4164
SMM_3,-1.1112283776,11.1562,10.0903,12.869,10.267,13.5245
Salt_1,16.47858901,12.0754,9.5549,14.9236,10.695,13.4812
Salt_2,16.5023065647,11.9759,9.4142,14.8879,10.524000000000001,13.3286
Salt_3,15.9043776859,12.0256,9.4188,15.0342,10.3572,13.5898
Mt0_1,3.2040958209,11.1694,9.9846,14.8619,10.0534,14.1658
Mt0_3,2.350273597,11.2904,10.0058,14.0759,10.0605,14.0834
M0t45_1,6.5890434507,11.675,10.1072,13.576,10.4,14.1543
M0t45_2,-1.8652749784,11.2064,9.9741,13.3336,9.9941,14.1846
M0t45_3,4.5183659131,11.6718,10.1128,14.0225,10.7009,14.2651
M0t90_1,2.2297111509,10.1833,9.6577,12.4414,9.5744,12.6548
M0t90_2,2.4959004495,10.6824,10.1731,13.4042,10.6599,13.7437
M0t90_3,4.3980912308,10.7368,9.8263,13.4894,10.1761,13.3157
M40t45_1,4.1153761234,11.1885,9.6457,13.443,9.8994,13.6425
M40t45_2,8.1696930021,11.9684,10.7267,14.907,11.11,14.0392
M40t45_3,6.4364943618,12.125,10.366,14.0505,10.6908,14.097
M40t90_1,0.9918715693000001,9.8622,9.6059,12.9354,9.4512,13.0377
M40t90_2,2.4519029313000003,10.7544,10.192,13.4626,10.3649,13.1057
M40t90_3,3.2068342946,10.9636,10.197,14.0166,10.2711,13.594
dia0_1,0.31385820340000004,11.045,9.9286,13.9634,9.9286,13.697
dia0_2,-0.7865223068,11.2372,10.4768,14.0165,10.0075,13.836
dia0_3,-2.8562600528,11.6824,10.5365,13.4627,10.5328,14.2766
dia5_1,53.4514521387,13.7851,16.4485,16.4295,11.9832,12.4511
dia5_2,55.8980428167,13.8338,16.4215,16.4372,11.7778,12.4552
dia5_3,55.0036055272,13.7789,16.4567,16.453,11.8038,12.6806
dia15_1,52.5393664196,14.3112,15.7669,16.4539,11.2717,13.6394
dia15_2,37.4252255532,13.3177,14.5669,16.107,10.5864,14.4124
dia15_3,33.4563238096,12.1787,13.7318,16.395,9.8091,13.2235
Diami_1,54.1349017055,12.8763,15.9297,16.0589,11.1767,12.3456
Diami_2,54.6417430928,13.6016,16.4287,16.3739,11.1135,12.9074
Diami_3,51.3191498973,13.6389,16.1896,16.3375,11.3253,12.8769
Paraq_1,7.7608256193,10.4063,9.971,13.6954,10.3382,14.2324
Paraq_2,7.806625046,11.544599999999999,10.4123,14.2041,10.5156,14.4646
Paraq_3,7.3582566043,9.8861,9.1762,12.2641,8.7627,13.0518
H2O2_1,15.3158152605,11.2706,9.2838,14.8531,9.6875,13.9536
H2O2_2,14.8311819941,11.4343,9.3334,14.9444,10.1853,14.1817
H2O2_3,18.2579934647,11.6478,9.2365,14.9562,10.0888,13.918800000000001
Oxctl_1,2.3899788474,10.5032,9.8979,13.8345,9.704,13.8599
Oxctl_2,7.1575154796,10.6532,11.8413,13.2748,9.8191,13.7135
Oxctl_3,2.889158685,10.8748,10.0935,13.6591,10.206,14.478
GM-0.1_1,-0.4692485799,11.4479,10.0799,12.3197,10.332699999999999,13.419
GM-0.2_1,-0.2685559005,11.2119,9.786200000000001,12.2402,10.2158,13.3759
GM+5_1,0.8044349478,11.1925,10.0351,12.7437,10.2928,13.3714
GM+15_1,-1.7161382797,11.6147,9.7343,12.3403,10.6182,13.531600000000001
GM+25_1,-2.3747749588,11.8483,10.1207,12.9458,10.9124,13.8283
GM+45_1,-0.9708314523,11.6582,10.3202,13.1247,11.2277,13.8168
GM+60_1,-1.4530894229,11.5239,10.1353,13.0166,11.0044,13.9334
GM+90_1,-1.1332903921,11.5412,10.3368,13.0965,10.7166,13.8087
GM+120_1,-0.9097434201000001,10.7567,9.388,11.7342,9.8354,12.8213
GM+150_1,0.7232584510000001,11.2546,10.2516,13.2446,10.1274,13.4015
GM-0.1_2,-0.1291583264,11.6267,10.2583,12.8399,10.4884,13.752
GM-0.2_2,0.1571746486,11.7554,10.8183,13.393,10.8557,13.8708
GM+5_2,1.0064010094,11.3884,9.8583,12.8288,10.7198,13.4779
GM+10_2,0.5655141925,11.4947,9.4376,12.5572,10.5411,13.5433
GM+15_2,0.5906545821,11.5206,9.5532,12.2953,10.7109,13.2997
GM+25_2,-1.26968655,11.8091,9.9817,12.8909,10.8673,13.492
GM+45_2,-0.6791985728000001,10.3705,8.9591,11.9946,10.1108,13.0365
GM+60_2,-0.4621487741,10.559,9.5668,12.2486,10.3053,12.8823
GM+90_2,-1.2000240348,11.4833,10.4269,12.6686,10.6606,13.7723
GM+150_2,-1.4608997797,10.3233,8.9435,12.7301,10.0071,12.7105
GM-0.1_3,0.4603887211,11.6031,10.4046,13.0131,10.7545,13.4343
GM-0.2_3,0.2979046858,11.403,10.1524,12.846,10.7155,13.5552
GM+5_3,1.1513887848,11.6036,10.1536,13.083,11.0666,13.5866
GM+10_3,-0.4480516042,10.3727,8.5674,11.5806,9.7107,12.6924
GM+15_3,-0.2967649999,11.3115,9.7697,12.443200000000001,10.8655,13.3161
GM+25_3,-0.7083931316000001,11.3149,9.6228,12.3262,10.6115,13.1581
GM+45_3,2.2177429861,11.0818,9.3173,12.3357,10.6997,12.8715
GM+60_3,0.431732241,10.9635,9.6879,12.3152,10.2632,12.9321
GM+90_3,-1.9569042528,11.1387,10.3068,13.3233,10.4422,13.4402
GM+120_3,-0.0779040339,11.1266,10.4802,12.5376,10.1454,13.4896
GM+150_3,0.09499288980000001,11.1271,10.1841,13.5784,10.3972,13.4983
MG-0.1_1,-0.3143001438,11.7718,10.1865,12.6755,10.4755,13.6023
MG+5_1,0.8097128205,11.9883,10.3813,12.8337,10.597,13.617
MG+10_1,0.0850657979,12.1412,10.5197,13.2837,10.7663,13.9654
MG+15_1,-0.06075347700000001,11.2311,10.0204,12.5847,9.8493,13.1208
MG+25_1,0.6988415368,11.6424,10.6499,12.9745,10.6109,13.7609
MG+45_1,1.5242231703,11.6445,10.6071,12.8525,10.5573,13.5406
MG+120_1,1.8302493401,10.7426,9.5605,11.6361,9.9291,13.0947
MG+150_1,-4.1811642591,11.1208,10.1485,12.9136,10.3264,13.2405
MG-0.1_2,-0.0812855465,10.8893,9.3111,12.0628,9.5951,12.8072
MG-0.2_2,-0.1752135334,11.437,9.7186,12.4843,10.1035,13.3433
MG+5_2,1.3558219207,11.6701,9.8661,12.4578,10.2533,13.3291
MG+10_2,0.20298633470000002,11.8468,10.3008,13.0142,10.3059,13.6988
MG+15_2,0.6499910582,12.6213,11.1076,13.792300000000001,10.9512,14.3943
MG+25_2,1.2683202617,11.4997,10.1892,12.6661,10.2681,13.3344
MG+45_2,2.4510191562,11.0167,9.3398,11.958,9.8973,12.8247
MG+60_2,1.4825958827,11.443,10.1131,12.8205,10.2469,13.5254
MG+90_2,-0.1793330232,10.9255,9.5793,12.0357,9.7989,13.0474
MG+120_2,0.7566522651,11.661200000000001,10.8305,13.2194,10.4065,13.4313
MG-0.1_3,0.8897658178000001,12.2381,10.6455,13.4795,10.9679,13.9857
MG-0.2_3,2.2375390206,12.0286,10.6907,13.0904,10.718,13.6561
MG+5_3,3.278360074,11.6424,10.445,12.938,10.1508,13.3195
MG+10_3,1.0739224072,11.586500000000001,9.7715,12.3534,10.1224,13.2006
MG+15_3,1.471901519,12.1128,10.7568,13.2815,10.793800000000001,13.788
MG+25_3,2.0672392882,12.0141,10.7703,13.299,10.4857,13.6718
MG+45_3,1.6721554223,12.0463,10.5068,13.3346,10.7343,13.7991
MG+60_3,1.74561895,11.8055,10.0146,12.5614,10.152,13.3483
MG+90_3,0.4095773648,11.6578,10.521,13.2035,10.4657,13.5993
MG+120_3,0.7098210688000001,11.2102,10.435,13.1827,10.0558,13.1479
MG+150_3,-3.1462748284,11.3017,10.2858,12.7406,10.4494,13.0847
