,STM2156A
SRX2804029,0.2676522047
SRX2804030,2.5901254353
SRX2804031,2.2520979618
SRX2804032,1.9726998458
SRX2804033,0.40431553330000003
SRX2804034,2.7678874554
SRX2804035,2.4551703945
SRX2804036,1.724929222
SRX2804037,2.9054527251
SRX2804038,3.3190890919
SRX2804039,0.8840824908
SRX2804040,0.7386273556
SRX2804041,3.3286365251
SRX2804042,3.3483545919
SRX2804043,3.1708436996
SRX2804044,2.2329856946
SRX2804045,-0.47135928320000003
SRX2804046,0.07374109820000001
SRX2804047,4.3257210066
SRX2804048,1.0002088093
SRX2804049,2.7140050121
SRX2804050,4.1284405639
SRX2804051,4.2212771115
SRX2804052,0.6371042443
SRX2804053,0.5754973221
SRX2804054,0.9422416506
SRX2804055,2.2762367241
SRX2804056,2.610787365
SRX2804057,2.7120414376
SRX2804058,-0.0762036599
SRX2804059,-0.6232459237
SRX2070419,0.8042237532000001
SRX2070420,0.4405597839
SRX2070421,0.3939700058
SRX2070422,0.2357246138
SRX2070423,0.5925554812
SRX2070424,0.41018906400000005
SRX2070425,0.0214618305
SRX2070426,-0.1338793184
SRX2070427,0.11241748780000001
SRX1470895,-0.0007493232
SRX1470896,0.0007493232
SRX2409106,-0.3447075938
SRX2409107,0.12473631610000001
SRX2409108,0.2199712777
SRX2409109,-0.1801197586
SRX2409110,-0.813459594
SRX2409111,-0.2443794622
SRX7973255,-0.5103502333000001
SRX7973256,-0.0069250158
SRX7973257,0.5172752491
SRX7973258,-0.5695236929
SRX7973259,-1.3855422219
SRX7973260,-0.7930765175000001
SRX7973261,0.40429486610000004
SRX7973262,0.2960510664
SRX7973264,0.0684875578
SRX7973265,0.85316978
SRX7973266,-1.0351079495
ERX3475890,-0.8484588345
ERX3475891,-0.0521594342
ERX3475892,-0.1396702904
ERX3475894,0.2674023089
ERX3475895,0.7650031946
ERX3475896,0.38370634870000003
ERX3475897,-0.7099199041
ERX3475899,0.3262135554
ERX3475900,0.2641340549
ERX3475901,0.7710986726
SRX8524961,-0.07218229500000001
SRX8524962,0.4236193576
SRX8524963,0.8071406688
SRX8524964,0.8825928515
SRX8524965,0.23424598800000002
SRX8524966,-0.23424598800000002
SRX8524967,1.1878844057
SRX8524968,0.8878394660000001
SRX8524969,1.1948408545
SRX8524970,0.5298597623
SRX8524971,0.5481363039
SRX8524972,-0.0588825958
SRX3266937,0.4910400642
SRX3266939,-0.4910400642
SRX4401053,0.0848984032
SRX4401054,-0.0848984032
SRX4401055,-0.2760860667
SRX4401056,-0.618557687
SRX4401057,-0.2840834782
SRX4401058,-0.3529439119
SRX4401081,0.2725040251
SRX4401082,-0.5225948591
SRX4401083,-0.0518130959
SRX4401084,1.2184271163
SRX4401085,1.2149839958
SRX4401086,1.1869895131
SRX4401087,0.6756123545
SRX4401088,-0.7462105448
SRX4401089,0.32896423150000004
SRX4401090,1.8091274278
SRX4401091,1.7559939492
SRX4401092,1.3712166244000001
SRX4401093,-0.2337282216
SRX4401094,-0.9116753678
SRX4401095,0.2933857535
SRX4401096,1.5916214874999999
SRX4401097,1.8678761652
SRX4401098,1.9502020612000002
SRX4401099,-0.11710169670000001
SRX4401100,0.038077106400000005
SRX4401101,0.0790245903
SRX4401102,2.1144950903
SRX4401103,2.2603571645000002
SRX4401104,1.9443527628
SRX8757611,-0.6354195142
SRX8757612,-0.15340322250000002
SRX8757613,-0.5397676205
SRX8757614,-0.8065227673
SRX8757615,-0.47592884300000005
SRX8757616,-0.8445720038000001
SRX8757617,-0.7310416207
SRX8757618,-0.9462793191000001
SRX8757619,-1.1712142269
SRX8757620,0.0556693929
SRX8757621,-1.2300180519000001
SRX8757622,-0.971983421
SRX8757623,-0.4866950083
SRX8757625,-0.3578555995
SRX8757626,-0.5264048047000001
SRX8757628,0.0977338297
SRX8757630,-0.6901834319
SRX8757631,-0.4497022933
SRX8757632,-0.4388699602
SRX8757633,-0.35196358240000003
SRX8757634,-0.9334919805
SRX6054568,0.12883939390000002
SRX6054569,-0.12883939390000002
ERX540771,0.19442247810000002
ERX540772,-0.19442247810000002
ERX540773,-1.512619328
ERX540774,0.3406521598
SRX4702827,0.2179103558
SRX4702828,0.0696380206
SRX4702829,-0.2875483764
SRX4702830,0.0582176416
SRX4702831,0.28602522
SRX4702832,-0.1816560414
SRX2993586,-0.0485698085
SRX2993587,0.0485698085
SRX2993588,-1.5075812964000002
SRX2993589,-1.1102780326
SRX2993590,-0.4382635467
SRX1462169,0.5682940253000001
SRX1462104,0.4113092561
SRX1462103,-0.240613923
SRX1462105,0.27341230310000003
SRX1462171,0.8525954559000001
SRX1462102,0.240613923
ERX1045682,-1.5862990976
ERX1045674,0.4242755535
ERX1045681,0.0461260501
ERX1045662,-0.9686015884
ERX1045684,-0.2192845673
ERX1045660,-0.6105212086
ERX1045664,-0.5616922306000001
ERX1045670,-1.3880806616
ERX1045667,0.0112129126
ERX1045675,-0.9800485718
ERX1045673,-0.912059656
ERX1045677,-0.0393001845
ERX1045679,-0.6821137867
ERX1045659,-1.1634258253
ERX1045663,-0.0635308422
ERX1045668,0.4202400975
ERX1045689,-0.1287831804
ERX1045685,-0.49275564720000004
ERX1045683,-1.2245573689
ERX1045680,-1.3847104265
ERX1045666,-0.7900649605000001
ERX1045658,0.2366893593
SRX1816875,0.3474877528
SRX1816859,0.21138419630000002
SRX1816857,0.022104412900000002
SRX1816863,0.37094254130000004
SRX1816867,1.0075553907
SRX1816858,-0.2334886092
SRX1816879,1.6321288821
SRX1816878,1.2287382161
SRX1816868,1.3295693939
SRX1816866,0.6604623556
SRX1816870,-0.34803857860000004
SRX1816880,1.6565852477
SRX1816864,-0.1821095958
SRX1816874,1.7565314475
SRX1816877,0.27312784030000004
SRX1816861,1.2353339208
SRX1816872,1.0626304389
SRX1816862,1.9218190132
SRX1816871,0.8574325954
SRX1816876,0.3159928614
SRX1816869,-0.1558457596
SRX8370456,0.29050873920000003
SRX8370458,-0.4499859586
SRX8370457,0.1594772194
ERX321085,-0.0393991576
ERX321083,0.3252409503
ERX321086,-0.3252409503
ERX321081,0.0360757821
SRX974437,0.0
SRX976478,0.0009898433000000001
SRX976341,-1.2488644417
SRX976476,0.13112341830000002
SRX976336,0.1175574164
SRX976480,0.5535559096
SRX976335,-0.10390691960000001
SRX976343,-0.9566010418
SRX976468,-0.0342600699
SRX976471,0.0736198376
SRX976474,-0.6127158245000001
SRX976469,0.3646905617
SRX976470,0.6305544041000001
SRX976482,-0.2508282
SRX976344,-1.4936304853
SRX976475,-0.1594075995
SRX976473,-1.601417529
SRX3456073,-1.7635531201
SRX3456063,-1.1616636559
SRX3456076,-0.1086534272
SRX3456082,-1.3679744468
SRX3456094,-0.8441389455
SRX3456067,-1.9547209278
SRX3456061,-1.0794828219000001
SRX3456065,0.3584185384
SRX3456064,-1.4821352948
SRX3456085,0.9512892390000001
SRX3456079,-2.1236163388
SRX3456084,-0.7029512813000001
SRX3456074,-1.3315853811
SRX3456080,1.1567529741
SRX3456070,0.6416933728
SRX3456069,-1.3141966065
SRX3456089,-1.5041597376
SRX3456062,-1.814719363
SRX3456087,-2.1236163388
SRX3456066,-1.7277519209
SRX3456092,-1.8343667365
SRX3456075,0.1840925884
SRX3456098,-1.5474172661
SRX3456096,-1.6742392854
SRX3456068,-2.1236163388
SRX3456060,-0.3584185384
SRX3456072,-1.1784792037
SRX3456093,-1.2691653288
SRX3456097,-1.7375818586
SRX3456077,-1.8389329311
SRX3456071,-0.3946320854
SRX3456078,-1.5121645367
SRX4029144,-1.0706276919
SRX4029145,-0.9990576763000001
SRX4029142,0.1553122825
SRX4029141,-0.201517163
SRX4029146,-1.0377546477
SRX4029143,0.0462048805
ERX2173642,-0.34219991250000004
ERX2173639,-0.1372664533
ERX2173641,0.1082584181
ERX2173640,0.1372664533
SRX3139264,0.36076817780000003
SRX3139266,-0.18903046710000002
SRX3139265,-0.36076817780000003
SRX3139267,-0.28869694090000003
SRX2949967,0.020028630500000002
SRX2949969,0.1726896161
SRX2949968,-0.020028630500000002
SRX2949970,0.0065786572
SRX7514165,0.30108005
SRX7514167,1.0339184402
SRX7514159,-0.4881387918
SRX7514156,0.181575905
SRX7514162,0.19236426950000002
SRX7514172,0.30589308860000003
SRX7514171,0.2272425726
SRX7514155,1.2279700339
SRX7514161,0.5253675919
SRX7514173,0.7527774956000001
SRX7514166,-0.3984293156
SRX7514160,0.2768411299
SRX7514164,0.2415809875
SRX7514175,0.4290977351
SRX7514168,0.8749691823
SRX7514158,-0.32748534100000004
SRX7514163,-0.3026279812
SRX7514169,0.674488261
SRX7514152,-1.2636084697
SRX7514157,0.1459094361
SRX7514170,-1.2636084697
SRX7514174,0.1259366178
SRX7514154,0.9342889905
SRX7476251,0.0856051562
SRX7476248,2.070497248
SRX7476249,2.1585731127
SRX7476252,0.902344319
SRX7476246,2.4723152233
SRX7476255,1.3786544921
SRX7476247,2.4575649846
SRX7476254,1.2868812047
SRX7476244,1.0608315367
SRX7476250,-0.0856051562
SRX7476245,1.4270151324
SRX7476253,0.9485388298
SRX1639010,0.9706888743000001
SRX1639002,-1.2161448196
SRX1639013,-2.9111984962
SRX1638990,0.2075757714
SRX1638991,-2.059555985
SRX1639016,1.0282550086
SRX1639008,-1.2243555944
SRX1638993,-1.5350247444
SRX1639000,0.0977074671
SRX1639009,0.5962413189
SRX1639012,-1.2884587385000001
SRX1639015,1.2535598056000001
SRX1639001,0.1373292217
SRX1638989,0.0
SRX1638992,-1.7851311867000001
SRX1638995,1.1126267295
SRX1639011,1.6116725766000002
SRX1639014,0.9315631005
SRX1639007,0.5800084984
SRX1638994,-1.5794396749000001
SRX334198,-0.5681191399000001
SRX334211,-0.15763532160000002
SRX334183,-0.9695786598
SRX334205,-0.8859114975
SRX334185,-1.0287099283
SRX334203,-0.0170499119
SRX334202,-2.1520337348
SRX334201,-0.9381725751000001
SRX334184,-1.2289536926
SRX334199,-0.8560765378
SRX334188,-0.6471087560000001
SRX334207,1.2637023403
SRX334186,-0.3370091432
SRX334196,-0.18213904290000002
SRX334194,-0.5761291156
SRX334212,1.3380678239
SRX334190,-1.1222684457
SRX334181,-0.41582717820000004
SRX334189,-0.1539782785
SRX334204,0.0729391259
SRX334200,-0.16948894620000002
SRX334214,0.0
SRX334197,0.5534114912
SRX334213,0.6682603149
SRX334210,0.8269459508
SRX334195,0.0503251637
SRX334206,-0.3014562129
SRX666590,1.1707036274
SRX666587,0.15914929190000002
SRX666588,-0.15914929190000002
SRX666589,0.8927103042000001
SRX4665717,-1.4272934024000001
SRX4665719,0.621001484
SRX4665716,-1.370718056
SRX4665710,0.5641059824
SRX4665712,-2.5398435453
SRX4665726,0.7633914366
SRX4665731,2.2018163114
SRX4665733,0.6669709381000001
SRX4665732,0.0728828885
SRX4665725,0.0
SRX4665713,-2.0150833303
SRX4665711,-2.3434304876
SRX4665728,-2.0851156705
SRX4665709,-1.1757939659
SRX4665727,-2.0666925687
SRX4665706,-1.7899954323
SRX4665722,-1.7757237721
SRX4665708,0.9254402155
SRX4665715,-1.6831032648000002
SRX4665718,-1.2831166677999999
SRX4665705,-2.3522707441
SRX4665704,-2.2234534024
SRX4665714,-1.9358061801000002
SRX4665723,-2.0940277045
SRX4665703,0.3998998935
SRX4665720,0.0240873102
SRX4665729,-2.0993511487
SRX4665695,-0.6386056048000001
SRX4665685,0.9996027694
SRX4665673,-0.42750479880000003
SRX4665700,-1.2112146144
SRX4665682,-0.1680769221
SRX4665670,-0.9886988257
SRX4665701,-1.2561459345000001
SRX4665699,0.42562816680000004
SRX7268193,-2.7691680483
SRX4665686,0.2383851145
SRX4665679,-0.7541411673
SRX4665690,-1.2675676383
SRX4665681,-0.8650206919000001
SRX4665687,-0.1789126878
SRX4665676,-0.7516727064000001
SRX4665693,0.30479350110000003
SRX4665692,0.0
SRX7268192,-1.5685840198
SRX4665684,-0.37351391370000003
SRX4665677,-0.3786114553
SRX4665698,1.4577881113
SRX4665675,-1.1800748105
SRX4665683,-0.5720647665
SRX4665696,-1.1362722743
SRX4665694,-0.7214693843000001
SRX4665678,-1.1003760195
SRX4665689,-0.4946378307
SRX4665697,-0.6554717381
SRX4665680,-0.3466089448
SRX4665702,-0.4002781198
SRX4665672,-0.5376095167
SRX4665671,-0.7611043406
SRX3471976,-1.015122664
SRX3471978,0.5583144556
SRX3471973,-0.9490011983000001
SRX3471974,0.9156681593
SRX3471975,0.0
SRX3471977,1.4389008349
SRX1392948,0.49425416590000004
SRX1392949,0.8716881427000001
SRX1392950,0.1928675403
SRX1392951,1.0032452672
SRX1392954,0.36235231230000003
SRX1392955,-0.36235231230000003
SRX4340129,0.0265821272
SRX4340130,-0.0265821272
SRX4340131,0.21990023820000001
SRX4340132,0.41403869050000003
SRX4340133,0.5232767517
SRX4340134,0.5433521341
SRX8537506,0.1365858396
SRX8537507,-0.2131213813
SRX8537508,0.0765355417
SRX8537509,-0.201141977
SRX8537510,-0.2722215383
SRX8537511,-0.3599600651
