,A,Xpf
Mal_3,6.3268367125000005,0.2395333333
G+S_2,-4.117115435,-0.2230666667
G+S_3,-2.701383537,0.1269333333
Pyr_1,-4.3088379504,-0.1501666667
Pyr_2,-2.9229718354000003,0.0391333333
Pyr_3,-2.0340885464,-0.0079666667
Gly_1,13.3252838563,0.7000333333000001
Gly_2,13.6873938108,1.0978333333
Gly_3,11.1483092473,0.6537333333
Glucon_1,1.2487051781,0.5421333333
Glucon_2,1.2590697059,0.4581333333
Glucon_3,1.438441281,0.5745333333
aero_1,0.7200295208,0.0456333333
aero_2,4.4129455389,-0.0601666667
aero_3,6.3293057526,0.23923333330000002
nit_1,4.8100434866,0.1917333333
nit_2,8.0911737883,0.2393333333
nit_3,5.2369315139,0.0608333333
ferm_1,4.0373331692,0.10283333330000001
ferm_2,6.3289994638,0.0123333333
ferm_3,4.2266614298,0.2128333333
T-5.40H_1,-1.5675372590999999,-0.2350666667
T-4.40H_1,-1.77181482,-0.3155666667
T-3.40H_1,-2.8550819696,-0.4994666667
T-2.40H_1,-2.1305323148,-0.4006666667
T-1.40H_1,-5.2678031224,-0.6063666667000001
T-1.10H_1,-5.6189147902,-1.0030666667
T-0.40H_1,-6.7692887287,-0.9991666667
T0.0H_1,-5.7181653618,-0.9608666667
T0.30H_1,-2.3098008778,-0.0650666667
T1.0H_1,-0.3105335204,-0.1642666667
T1.30H_1,0.2829502829,0.2149333333
T2.0H_1,0.9614019057000001,0.3927333333
T2.30H_1,1.5457016545,0.2941333333
T3.0H_1,2.0814934022,0.0638333333
T3.30H_1,2.9870265139,0.2922333333
T4.0H_1,2.8966443079,0.027233333300000002
T5.0H_1,2.7671721372,0.1828333333
HPh_1,19.2276340192,1.9831333333
HPh_2,25.2905539039,2.4068333333
HPh_3,24.9847613083,2.8152333333
LPh_1,24.9799099434,2.6741333333
LPh_2,27.4517305809,3.4245333333
LPh_3,23.2021729088,2.5142333333
LPhT_1,-3.9594187818,0.2889333333
LPhT_2,-4.5420643536,-0.0139666667
LPhT_3,-5.9540813323,0.0189333333
SMMPr_1,-7.8088242061,-1.0015666667
SMMPr_2,-7.2039417655,-0.5813666667
SMMPr_3,-6.9566579227,-0.3964666667
HiTm_1,13.6074918902,0.2073333333
HiTm_2,8.3110683137,0.0475333333
HiTm_3,10.8467792575,0.2290333333
LoTm_1,-8.0814128063,-0.2838666667
LoTm_2,-8.754646897,-0.46796666670000003
LoTm_3,-9.0621189374,-0.6525666667000001
HiOs_1,-1.9242647112000002,0.0512333333
HiOs_2,-1.6592371329,0.2012333333
HiOs_3,-4.1027223931,-0.0630666667
BMM_1,-5.1526237518,-0.4031666667
BMM_2,-4.9372626994,-0.41506666670000003
BMM_3,-5.7061404216,-0.3112666667
Heat_1,-9.4388851145,-0.0036666667
Heat_2,-9.9380985645,-0.41806666670000003
Heat_3,-9.4746290014,0.0437333333
Cold_1,-2.8669687838,-0.14906666670000002
Cold_2,-4.4949696844,-0.0943666667
Cold_3,-4.5614808453,-0.1275666667
Etha_1,-2.3310134171,-0.0724666667
Etha_2,-2.7559813693,0.1243333333
Etha_3,-3.091291474,-0.2388666667
SMM_1,-6.6377515927,-0.3083666667
SMM_2,-7.5832626973,-0.6019666667
SMM_3,-6.8261457095,-0.6070666667
Salt_1,-4.7342904805,-0.5288666667
Salt_2,-4.2847523308,-0.5733666667
Salt_3,-5.0952153425,-0.6020666667
Mt0_1,12.2489955382,0.5036333333
Mt0_3,14.5964461247,0.3442333333
M0t45_1,9.1786387848,-0.0279666667
M0t45_2,7.5401403551,0.1010333333
M0t45_3,13.5262409102,0.2100333333
M0t90_1,1.1552548136,-0.19266666670000002
M0t90_2,-0.0329389051,-0.6623666667
M0t90_3,4.2360045639,-0.41256666670000003
M40t45_1,16.5176597104,1.6806333332999999
M40t45_2,10.238462179,1.0989333333
M40t45_3,14.3677873721,0.7252333333000001
M40t90_1,26.9425826345,1.6168333333
M40t90_2,21.4358752099,1.3486333333
M40t90_3,26.6021172618,2.0321333333
dia0_1,15.5256522432,0.4238333333
dia0_2,13.5186799391,0.5022333333
dia0_3,18.3604749992,0.9179333333
dia5_1,14.515547541,0.2327333333
dia5_2,10.8820224278,0.2821333333
dia5_3,14.4692641677,0.1266333333
dia15_1,7.1247885463,-0.2788666667
dia15_2,7.1506040024,-0.1577666667
dia15_3,12.8007175153,0.0408333333
Diami_1,6.5707795606,0.0987333333
Diami_2,11.2805509742,0.2421333333
Diami_3,9.589545723,0.4262333333
Paraq_1,8.1412517171,0.3210333333
Paraq_2,11.3736795345,0.6321333333
Paraq_3,9.8927418071,0.0482333333
H2O2_1,2.5037374694,0.0641333333
H2O2_2,6.4780018833,0.4420333333
H2O2_3,5.4973581746,0.2862333333
Oxctl_1,9.1109873879,0.6561333333
Oxctl_2,11.9901852954,0.6566333333000001
Oxctl_3,11.6051963729,0.4209333333
GM-0.1_1,1.6788626547,-0.0860666667
GM-0.2_1,2.0706053457,0.3582333333
GM+5_1,0.9774068722,-0.21656666670000002
GM+15_1,1.706052239,-0.1391666667
GM+25_1,1.9308011224000001,-0.1569666667
GM+45_1,1.5041274954000001,0.1814333333
GM+60_1,1.6067631513,-0.2609666667
GM+90_1,-0.07350003100000001,-0.029366666700000002
GM+120_1,0.8906895644,0.3921333333
GM+150_1,-0.9208298985000001,0.0429333333
GM-0.1_2,0.4346452142,-0.11686666670000001
GM-0.2_2,1.5770261627000002,0.49353333330000004
GM+5_2,1.2872500928,-0.3069666667
GM+10_2,1.5620157118,-0.2704666667
GM+15_2,1.2077638031,-0.037666666700000004
GM+25_2,1.1301843013,-0.0464666667
GM+45_2,1.9974848461999999,-0.5231666667
GM+60_2,2.2138224072,0.0575333333
GM+90_2,1.1314779747,0.4268333333
GM+150_2,3.7586981803,-0.32636666670000003
GM-0.1_3,0.5072502565,0.28953333330000003
GM-0.2_3,1.4350608122000001,-0.1846666667
GM+5_3,1.7728891711,-0.020766666700000002
GM+10_3,1.458047665,-0.5036666667
GM+15_3,1.6101376301,-0.18436666670000001
GM+25_3,1.717853285,0.0102333333
GM+45_3,1.5730705578,0.4022333333
GM+60_3,1.1637327333,0.1482333333
GM+90_3,-0.2556897989,0.19313333330000002
GM+120_3,-1.1495486643,0.7424333333
GM+150_3,-0.0960514642,-0.2137666667
MG-0.1_1,5.2429645614,0.3920333333
MG+5_1,6.5948897980000005,0.5905333333
MG+10_1,8.3153142501,0.6899333333000001
MG+15_1,7.4459121624,0.2657333333
MG+25_1,8.7945536141,0.6928333333000001
MG+45_1,10.2433616352,1.1838333333
MG+120_1,19.8766855906,1.4098333333
MG+150_1,16.667470946,1.3056333333
MG-0.1_2,4.7419388784,-0.2005666667
MG-0.2_2,4.6233852428,-0.0742666667
MG+5_2,7.5013842558,0.0216333333
MG+10_2,8.2757375237,0.37013333330000003
MG+15_2,8.4239861802,1.2482333333
MG+25_2,8.1819196325,0.4354333333
MG+45_2,9.6911620125,0.5419333333
MG+60_2,12.3152964524,1.0783333333
MG+90_2,16.8482069876,1.1674333333
MG+120_2,21.3177633043,1.9782333333
MG-0.1_3,7.5346690608,0.8027333333000001
MG-0.2_3,6.3806536024,0.7004333333
MG+5_3,7.4068081833,0.8467333333
MG+10_3,10.1013904805,1.0459333333
MG+15_3,10.4961611176,1.0985333333
MG+25_3,11.0258302434,1.0153333333
MG+45_3,13.939033833,1.5888333333
MG+60_3,14.8647576458,1.4557333333
MG+90_3,18.4303326593,1.9604333333000001
MG+120_3,20.840970142,1.5907333333
MG+150_3,17.5197800431,1.3167333333
