,A,Rv0078,Rv2034
ITM_04:06h_h37rv_DMSO:3,0.7246669918,0.2013999665,-2.189535609
ITM_04:24h_clinic_delam:1,-0.0205937386,-0.15126695140000002,-1.3156623352999999
ITM_04:24h_clinic_delam:2,-0.0004815331,-0.1915950784,-1.7631409035
ITM_04:24h_clinic_delam:3,-0.2480326303,-0.4040201282,-1.1247189994
ITM_04:24h_clinic_DMSO:1,-1.0516995856,0.0648518245,-3.4556381012
ITM_04:24h_clinic_DMSO:2,-1.8295379309,-0.008041140700000001,-3.1874856871
ITM_04:24h_clinic_DMSO:3,-1.3204589433,0.05248153,-3.6365527906
ITM_04:24h_h37rv_delam:1,-0.21875750830000001,0.329715388,-2.5134519242
ITM_04:24h_h37rv_delam:2,0.0593685636,0.21039195400000002,-2.6646053253
ITM_04:24h_h37rv_delam:3,-0.0083020652,-0.013856850300000001,-2.4125455372
ITM_04:24h_h37rv_DMSO:1,-1.2447612364,0.5154872273000001,-3.3641900638
ITM_04:24h_h37rv_DMSO:2,-1.1530808682,0.4894832194,-3.68235417
JSF:DMSO:1,0.1579789433,0.0004307064,0.0568295435
JSF:DMSO:2,-0.0535137649,-0.0250187966,-0.2336352105
JSF:DMSO:3,-0.1957300119,-0.0550157854,0.0675645004
JSF:DMSO:4,0.0912648335,0.0796038756,0.10924116660000001
JSF:JSF_2019:1,4.2787402048,-0.0415076036,0.2853158393
JSF:JSF_2019:2,4.0489032113,0.34448946620000004,0.2731934338
JSF:JSF_2019:3,4.2024270343,0.1353825856,0.5917131474
JSF:JSF_2019:4,4.3207914161,0.3286248457,0.0841895371
JSF:JSF_2026:1,8.6953172282,0.8556740492,0.0798317702
JSF:JSF_2026:2,8.0793271935,0.8782939853,0.22972602590000002
JSF:JSF_2026:3,7.7261778017000005,0.8450962696000001,0.0779370602
JSF:JSF_2026:4,8.4663238307,0.8446481809,0.0048157406
MTS1338:over_expression:1,-0.2064168932,-0.19199719340000002,-0.0575460587
MTS1338:over_expression:2,0.2064168932,0.19199719340000002,0.0575460587
PAS:control:1,-0.32821566690000004,-0.3989496464,-0.0234964207
PAS:control:2,0.17089794090000002,-0.1418453404,-0.1646939246
PAS:control:3,0.1573177259,0.5407949868,0.1881903453
PAS:treated:1,-1.6685342482,0.0365323926,1.4340108883
PAS:treated:2,-1.5596053978,-0.1213569849,1.364047931
PAS:treated:3,-1.7982596763,0.14691473300000002,1.0852326042
THP-1:24h_THP_B_enriched:1,0.40120853840000004,0.2745464299,0.1423345566
THP-1:24h_THP_B_enriched:2,-0.40120853840000004,-0.2745464299,-0.1423345566
aminoimidazoles:02h_treated:1,-0.5312393072,-0.15960388350000002,-1.5734809105
aminoimidazoles:02h_treated:2,-0.5728162394,-0.0341057351,-1.3657674994
aminoimidazoles:24h_treated:1,-0.4831789124,-0.9630205482,-0.7814105377
aminoimidazoles:24h_treated:2,-0.8122459298,-0.9224335413,0.052195979
aminoimidazoles:untreated:1,-0.17068825270000001,0.1199973429,0.432397358
aminoimidazoles:untreated:2,0.1372441486,0.1637084647,0.37926211060000004
aminoimidazoles:untreated:3,0.0334441042,-0.2837058076,-0.8116594686
antibiotic:ctrl_24h:1,-0.471596926,-1.4894494761,0.1389243095
antibiotic:ctrl_24h:2,0.2826888052,-0.0864327923,-0.0475181566
antibiotic:ctrl_24h:3,0.2614740946,-0.9081306113000001,-0.1293397785
antibiotic:ctrl_4h:1,-0.386127793,-0.0855614973,0.0048917028
antibiotic:ctrl_4h:2,0.3001700177,-0.0511921505,0.12282613140000001
antibiotic:ctrl_4h:3,0.0859577752,0.13675364780000002,-0.1277178342
antibiotic:izd_4h:1,-10.6920126605,-0.0548989932,-4.1334247821
antibiotic:izd_4h:2,-10.4179594755,-1.0217482095,-2.471500808
base:wt_glu_24:1,-0.1084342461,-0.7095895044,-0.2671811689
base:wt_glu_24:2,-0.2097886069,-0.6998833291000001,-0.1148542204
base:wt_glu_24:3,0.8938966171,-0.2795910548,-0.0880763641
base:wt_glu_6:1,-0.6649648838000001,-0.5934084593,-0.2884141452
base:wt_glu_6:2,0.23406238140000002,0.3469441774,0.169743417
base:wt_glu_6:3,0.4309025024,0.2464642819,0.1186707282
base:wt_llac_24:1,-1.1178261997,-0.3618295634,-0.3018479879
base:wt_llac_24:2,-0.9578178698,0.0685732111,-0.3627018583
base:wt_llac_24:3,-0.6694564652,0.2869584967,0.0730286359
base:wt_llac_6:1,-1.2732329138,-1.0914672624,-0.36972238550000003
base:wt_llac_6:2,0.0306406049,-0.1437101559,-0.43370967590000004
base:wt_llac_6:3,-0.3521946955,-0.828320554,-0.0204583981
base:wt_pyr_24:1,-0.5051898522,-0.6550220089000001,-0.2470497901
base:wt_pyr_24:2,1.2271646324,-0.1754426318,-0.42756026950000003
base:wt_pyr_24:3,0.1220229401,-0.5304364392,-0.6420548474000001
base:wt_pyr_6:1,-0.0781797671,-0.3187775668,-0.3987382236
base:wt_pyr_6:2,-1.085064108,-1.1075310269,-0.2855215521
base:wt_pyr_6:3,-0.2733658749,-0.3463423055,0.3454613194
biofilm:biofilm:1,-1.168365581,-0.0812668356,4.5556319756
biofilm:biofilm:2,-0.9503493377000001,-0.07075920570000001,4.5346408746
biofilm:planktonic:1,-0.0267213679,-0.0740616092,0.0010963019000000001
biofilm:planktonic:2,0.0267213679,0.0740616092,-0.0010963019000000001
btz043:0_days_.006:1,-0.2918979299,0.0068177208000000005,-0.1804915424
btz043:0_days_.006:2,-0.1402644074,-0.0200188838,0.0896786649
btz043:0_days_.006:3,-0.0064852014000000005,-0.0466205123,0.2142119073
btz043:0_days_control:1,0.0167923221,0.0369095449,-0.2394025881
btz043:0_days_control:2,-0.0121408169,0.0132769989,-0.042827022400000005
btz043:0_days_control:3,-0.0046515052,-0.050186543800000004,0.2822296105
btz043:1_days_.006:1,-0.48518664250000004,0.1810848274,-0.12300494070000001
btz043:1_days_.006:2,-0.5947643504,0.38002453140000003,0.7055326286
btz043:1_days_.006:3,-0.52753628,0.128773354,0.4483038567
btz043:1_days_.006:4,-0.6172020614,0.15025854290000001,-0.0263646714
btz043:1_days_control:1,-0.31469431200000003,0.4354101208,0.1637578513
btz043:1_days_control:2,-0.3064006137,0.026271811000000003,-0.0778405466
btz043:1_days_control:3,-0.1688505776,0.4882378082,-0.2764163691
btz043:1_days_control:4,-0.4400615491,0.4041435633,-0.171465905
clarithromycin:1_days_control:1,0.0508240708,-0.38160854920000004,0.0248896503
clarithromycin:1_days_control:2,-0.2468166906,0.08298559330000001,-0.0312106724
clarithromycin:1_days_control:3,0.19599261980000002,0.2986229559,0.0063210221
cnpB:del:1,-0.10122293800000001,0.7803174392000001,-0.12461867380000001
cnpB:del:2,-0.7449683556000001,0.2805540761,0.5795353199000001
cnpB:del:3,-1.021800976,0.3575275446,-0.4550126244
cnpB:wt:1,0.16734964630000002,0.037571915000000004,0.015412286
cnpB:wt:2,0.7730949121,0.610285226,0.2305378979
cnpB:wt:3,-0.9404445584000001,-0.647857141,-0.2459501839
csoR:ko:1,0.6646534842,0.4792566607,-0.7191382229000001
csoR:ko:2,1.1223140292,0.6370612547,-0.5502352482
csoR:wt:1,-0.5358440861,-0.2165210549,-0.4491661796
csoR:wt:2,0.5358440861,0.2165210549,0.4491661796
dap:0_days_25:1,-0.047553742600000004,0.06885730970000001,-0.2780577211
dap:0_days_25:2,0.1844031699,0.035036442800000005,0.049301015100000005
dap:0_days_25:3,0.25834318700000003,-0.0016276369,0.4934266976
dap:0_days_25:4,0.08960794,-0.1236190954,0.2346157587
dap:0_days_control:1,-0.2058971471,-0.0873816546,0.0517255651
dap:0_days_control:2,-0.0044400131,0.0454633006,0.3023963176
dap:0_days_control:3,0.3292934309,0.0371088542,-0.5802070309
dap:0_days_control:4,-0.1189562707,0.0048094997,0.2260851482
dap:1_days_25:1,1.3905414208,0.7402449547000001,0.46632902270000004
dap:1_days_25:2,1.5869088897,0.4358931747,0.9113417522
dap:1_days_25:3,1.5718570231,0.3116010392,0.4841325067
dap:1_days_25:4,1.4191068167,0.444530482,1.2271257014999999
dap:1_days_control:1,0.4849658536,0.177421361,1.1545641957
dap:1_days_control:2,0.6260036458,0.3167490495,0.6196825381000001
dap:1_days_control:3,0.603605563,0.372100869,0.9389304268
dap:1_days_control:4,0.4883200224,0.125752626,0.8212187965000001
degradosome:mutant_rnj:1,-1.5882349014,-0.5684665751,-0.6793991416
degradosome:mutant_rnj:2,-1.8277408448,-0.6853639097,-0.5817986123000001
degradosome:mutant_rnj:3,-0.8843653308,0.16414174410000001,-0.4794752439
degradosome:PNPase_ko:1,3.5911023858,0.749282328,1.1508757821
degradosome:PNPase_ko:2,3.9536162291,0.6204670415,1.1352407098
degradosome:PNPase_ko:3,3.7343004547,0.607036044,1.2147272159
degradosome:Rnase_E_ko:1,-3.4109869143,-3.4536356928,-0.0737871863
degradosome:Rnase_E_ko:2,-3.9564967929,-4.3513338915,-0.34603388090000003
degradosome:Rnase_E_ko:3,-2.7479988176,-3.5769260339,-0.3823055938
degradosome:wt_cas9_ctrl:1,-0.2942419959,0.0642601008,-0.39522101870000004
degradosome:wt_cas9_ctrl:2,-1.0531432197,0.5061509106000001,-0.3098139675
degradosome:wt_cas9_ctrl:3,-1.0766749168,-0.1138225266,-0.2952974241
degradosome:wt_expn:1,0.0628772274,0.2054712945,-0.1296816723
degradosome:wt_expn:2,0.0117142057,-0.054433279,-0.0016833216
degradosome:wt_expn:3,-0.0745914331,-0.1510380155,0.1313649938
delam:0_days_.09:1,0.1140896195,0.19678677900000002,0.1011047005
delam:0_days_.09:2,-0.1346323384,0.216988274,0.2554893982
delam:0_days_.09:3,-0.565999138,0.044696834000000005,-0.0844897757
delam:0_days_.09:4,0.3501843566,0.1865048114,0.12791347150000001
delam:0_days_control:1,0.0517184235,0.0453806895,0.128474962
delam:0_days_control:2,-0.2025987783,0.1685212535,0.5199403584
delam:0_days_control:3,0.16761714300000002,-0.15300902730000002,-0.3237180286
delam:0_days_control:4,-0.0167367882,-0.0608929157,-0.3246972918
delam:1_days_.09:1,-0.3479247817,-0.5645531071000001,0.5358632122
delam:1_days_.09:2,-0.4557899023,-0.8212448950000001,0.38451903940000004
delam:1_days_.09:3,-0.4833388132,-0.47878301360000003,1.1478569647
delam:1_days_.09:4,-0.37398865130000003,-0.5702999648,0.1545274006
delam:1_days_control:1,-0.47380102350000003,-0.2757163854,1.398061454
delam:1_days_control:2,-0.3510767533,-0.5666877607,0.5220547128
delam:1_days_control:3,-0.2267260562,-0.3066919983,1.0598939717
delam:1_days_control:4,-0.4378412144,-0.3804096943,0.5571369992
dg_inh:both:1,-1.2868280921,-0.9414962286,-0.2188784178
dg_inh:both:2,-1.4893305116,-1.2381985111,-0.1582272077
dg_inh:both:3,-1.2379539275,-0.8570276997,-0.227681515
dg_inh:dg:1,-1.0880061908,-0.8341492222,-0.42814880120000004
dg_inh:dg:2,-1.4967475436,-0.9494435766,-0.6374021155
dg_inh:dg:3,-0.9740932617,-0.6989212308,-0.1794715874
dg_inh:DMSO:1,0.21058823070000002,0.0525150112,0.1146529052
dg_inh:DMSO:2,-0.548869872,-0.0114436476,-0.09807903650000001
dg_inh:DMSO:3,0.3382816413,-0.0410713637,-0.0165738687
dg_inh:inh:1,-0.7237238889000001,-0.7801772868,-0.1679842939
dg_inh:inh:2,-0.7547763535,-0.8162489446000001,-0.20776698370000002
dg_inh:inh:3,-0.7630351909,-0.6024597817,-0.4726795762
dormancy:dormant_20d_rifampicin:1,-1.000494652,0.6622919481,2.3987546374
dormancy:dormant_20d_rifampicin:2,0.0337396149,0.4734496509,2.130343459
dormancy:dormant_20d_rifampicin:3,0.7731602405,0.6209031953,1.9773945133000002
dormancy:dormant_no_treatment:1,-0.5201740306,-0.1005722463,0.1721947708
dormancy:dormant_no_treatment:2,-0.0491343542,-0.0301291097,0.2347708412
dormancy:dormant_no_treatment:3,0.5693083848,0.13070135600000002,-0.4069656119
eccE1:control:1,0.1399123659,0.0113805055,0.2361829376
eccE1:control:2,-0.1399123659,-0.0113805055,-0.2361829376
eccE1:delta_eccE1:1,0.2480219739,0.36281021680000003,0.2148196507
eccE1:delta_eccE1:2,0.2629889402,0.2720132686,-0.0932910507
eccE1:delta_eccE1_eccE1_HA_comp:1,1.2194980248,-0.4269180728,0.4901588216
eccE1:delta_eccE1_eccE1_HA_comp:2,1.0224304849,0.31699669750000004,-0.0778765383
eccE1:delta_eccE1_empty_vector:1,0.6310959957,-0.0446125619,0.4830830782
eccE1:delta_eccE1_empty_vector:2,0.8033595715,0.2820605285,0.19096492
eccE1:delta_eccE1_myc_p1_HA_comp:1,-0.14347000470000001,-0.0175425899,-0.1916467068
eccE1:delta_eccE1_myc_p1_HA_comp:2,-0.058773083100000005,0.13810293540000002,-0.6651702488
eccE1:delta_eccE1_mycP1_eccE1_comp:1,0.5995154899,0.0626524421,0.6902496782
eccE1:delta_eccE1_mycP1_eccE1_comp:2,0.7239250233000001,-0.3607002097,0.452501939
emb:0_days_2.45:1,-0.2829482934,-0.48581184520000004,-0.37456496180000004
emb:0_days_2.45:2,-0.6646219278000001,-0.29540383400000003,-0.3744396426
emb:0_days_2.45:3,-0.2911990371,-0.1473662265,-0.7599737355
emb:0_days_2.45:4,-0.5983073736,-0.461909308,-0.23817024920000002
emb:0_days_control:1,0.35734442920000004,0.1713758131,0.1719315172
emb:0_days_control:2,-0.23819361390000002,-0.08380090330000001,-0.0067608253
emb:0_days_control:3,-0.1384954983,0.0850565143,0.4024117512
emb:0_days_control:4,0.019344683,-0.1726314241,-0.567582443
emb:1_days_2.45:1,-0.7601348527,-0.07646665100000001,-0.33259582260000004
emb:1_days_2.45:2,-0.9290960189,-0.3740247848,-0.5946855280000001
emb:1_days_2.45:3,-0.7896004159000001,-0.0727507644,-0.3574652311
emb:1_days_2.45:4,-0.6691716997,-0.031440628000000005,0.12483186930000001
emb:1_days_control:1,-0.5640477876000001,-0.18785281380000002,-0.3984382601
emb:1_days_control:2,-0.6577543342000001,-0.1273136005,0.20949025170000002
emb:1_days_control:3,-0.6474691538,-0.13972482390000002,0.0907877205
emb:1_days_control:4,-0.8709565778,-0.3260999878,-0.2896728307
espL:ko:1,0.0315030155,0.10283883490000001,0.49962694430000004
espL:ko:2,0.6544709541,0.1343154001,0.18565989600000002
espL:wt:1,-0.0713862151,-0.178298008,0.1078783215
espL:wt:2,0.0713862151,0.178298008,-0.1078783215
esx_1:ko:1,-0.2147515656,-0.1693582253,-0.2804003544
esx_1:ko:2,0.1361869712,-0.19487671410000001,-0.39732239550000004
esx_1:wt:1,-0.06280639340000001,-0.2132763013,-0.2402697073
esx_1:wt:2,0.06630400830000001,0.2846515503,0.2630093035
esx_1:wt:3,-0.0034976149000000003,-0.07137524890000001,-0.0227395963
genotoxic:control:1,-0.3636556396,-0.1881003401,0.5786650025
genotoxic:control:2,0.3636556396,0.1881003401,-0.5786650025
genotoxic:growth_supplement:1,-0.479351161,-0.13581507980000002,-0.5125317474000001
genotoxic:growth_supplement:2,0.0163621846,-0.1631404381,0.24202266600000003
growth:tss_expnt:1,-0.2023336803,-1.1460421094,-1.2362383509
growth:tss_expnt:2,0.7972404768,-0.4809611514,-0.6131154997
growth:tss_expnt:3,1.1569514787,-0.627371856,-0.6998930002
growth:tss_starved:1,1.3591057243,-2.2149571992,1.9357192696
growth:tss_starved:2,1.1472758629,-1.9361279953000001,2.3044266843
growth:tss_starved:3,2.2585904302,-2.1089810071,2.6723837942
growth:wt_expn:1,0.0036018584,0.1608573451,-0.4962960253
growth:wt_expn:2,1.0158240542,-0.24727628880000002,0.3001167052
growth:wt_expn:3,-1.0194259126,0.0864189437,0.19617932
hs2:treated:1,1.4136445465,0.4369266538,0.5181692191
hs2:treated:2,1.6378784691,0.4173020311,0.3217190031
hs2:treated:3,1.6529803703,0.6436333792000001,0.4060650402
hs2:untreated:1,-0.4904016614,-0.3148185553,-0.1322418009
hs2:untreated:2,-0.0708332925,0.0800554727,-0.1318806907
hs2:untreated:3,0.561234954,0.2347630826,0.2641224917
hypoxia:000h_.81_DO:1,-0.2586416251,-0.3187028126,0.1108436473
hypoxia:000h_.81_DO:2,0.19969586690000002,-0.15835931250000002,-0.1214850905
hypoxia:000h_.81_DO:3,0.058945758200000004,0.4770621251,0.0106414432
hypoxia:017h_.57_DO:1,0.7243862542,0.1567378332,-0.37089134490000003
hypoxia:017h_.57_DO:2,0.7561154127,0.9414263778,-0.6750628777000001
hypoxia:017h_.57_DO:3,-1.1480237736,-0.3499410101,-1.3352191716
hypoxia:023h_.42_DO:1,0.14663640220000002,-0.7233610583000001,-0.46172703410000004
hypoxia:023h_.42_DO:2,-0.4809303232,-0.7280825352,-1.1435361041
hypoxia:040h_.11_DO:1,-1.9986476852,-1.4557761241,-1.3140659664
hypoxia:040h_.11_DO:2,-1.456621548,-0.44476482380000004,-0.8570972309
hypoxia:041h_.09_DO:1,-1.4806656033,-1.0652684044,-1.485343257
hypoxia:041h_.09_DO:2,-1.3694423258000001,-0.6860068427,-0.6718230827
hypoxia:041h_.09_DO:3,-2.1895610051,-1.4749566395,-1.2391540345
hypoxia:042h_.07_DO:1,-1.617505188,-1.8991113725000002,-0.2595631433
hypoxia:042h_.07_DO:2,-1.6051804460999999,-1.4384380145,-1.2722690829
hypoxia:043h_.06_DO:1,-2.4257970816,-1.7027417604,-1.609160444
hypoxia:043h_.06_DO:2,-0.8890225757,-0.9397214174,-2.0323744783
hypoxia:043h_.06_DO:3,-1.090983643,-1.0168495778,-1.4758172036000001
hypoxia:044h_.04_DO:1,-0.829806691,-1.4746022296,-1.1593491481
hypoxia:044h_.04_DO:2,-0.9698641755,-0.9480161429,-1.0798176635
hypoxia:044h_.04_DO:3,-1.3394725769,-1.304941206,-0.9404862979
hypoxia:047h_0_DO:1,-0.5825148038,-0.7233458219000001,-0.6833185363000001
hypoxia:047h_0_DO:2,-0.8051240416000001,-1.6045514725,-0.8434599542000001
hypoxia:047h_0_DO:3,-1.6863060216,-1.0669649485,-0.4990390086
hypoxia:049h_0_DO:1,-0.5101728990000001,-1.7149574623000001,0.3252819474
hypoxia:049h_0_DO:2,-1.5590228206,-1.0318792399,0.3936634784
hypoxia:049h_0_DO:3,0.5143741279,-1.6766680978,-0.23652083910000002
hypoxia:050h_0_DO:1,0.5380461009,-0.9395183695,-0.26899462
hypoxia:050h_0_DO:2,-0.263784517,-1.1205957734,0.1647947464
hypoxia:050h_0_DO:3,-1.0949121377,-1.6796890903000001,0.1352182132
hypoxia:052h_0_DO:1,0.5991018036,-1.7394100103999999,0.7076378582
hypoxia:052h_0_DO:2,0.5821429642,-2.1312090456,1.2992747739000001
hypoxia:052h_0_DO:3,0.1706867783,-1.9732405438,1.1586296592
hypoxia:054h_0_DO:1,-0.9101669388,-1.6001129759000001,0.7696870769
hypoxia:054h_0_DO:2,-0.0837227443,-0.5890628543,1.0204141025
hypoxia:054h_0_DO:3,0.696765061,-0.4257001399,0.7947151095
hypoxia:054h_0_DO:4,0.48659951700000004,-0.6019378685,0.8871932313
hypoxia:054h_0_DO:5,0.8183311637,-1.5051749646,0.5878982748
hypoxia:070h_0_DO:1,2.5638023493,-0.25174226180000003,1.5507724174000002
hypoxia:070h_0_DO:2,2.306599979,-0.528889481,1.7505836229
hypoxia:088h_0_DO:1,1.2195321639,-2.0455750413,1.4743977758
hypoxia:088h_0_DO:2,1.2949131556,-1.635114732,1.4203858718
hypoxia:114.5h_.04_DO:1,0.09447760350000001,-1.6061173694000002,1.6616574784
hypoxia:114.5h_.04_DO:2,0.3245225798,-1.5767139720999999,1.9105444956
hypoxia:114.5h_.04_DO:3,0.5939901393,-0.6889700021,1.6613143514000002
hypoxia:115h_.06_DO:1,0.4337475999,-0.9846817830000001,1.1826630618
hypoxia:115h_.06_DO:2,0.1951563903,-1.9678988602,1.2749804823
hypoxia:115h_.06_DO:3,0.8875045479,-0.97952616,1.4261545677
hypoxia:116h_.11_DO:1,0.0382395351,-1.0607543734,0.6686288574
hypoxia:116h_.11_DO:2,-0.23653384360000002,-1.3882305907,0.545987813
hypoxia:116h_.11_DO:3,-0.2600969617,-1.2646417417,0.6562458181
hypoxia:120h_.47_DO:1,-0.9694067296000001,-1.7125597847,-0.0480276216
hypoxia:120h_.47_DO:2,-0.7532938334,-2.034573889,-0.24493754050000002
hypoxia:120h_.47_DO:3,-0.662248401,-1.6705295394,-0.2177987009
kinase:DMSO_0h_F:1,1.1701974067,2.2378733272,3.1940461429
kinase:DMSO_0h_F:2,0.7485644764,2.4689173712,3.1344724566
kinase:DMSO_0h_F:3,2.2783559245,2.7912998352000002,3.2424996754
kinase:DMSO_0h_H:1,-2.1453906624,0.3740024641,1.1386254502
kinase:DMSO_0h_H:2,-2.2571868883,-0.095036072,1.2457858743
kinase:DMSO_0h_H:3,-1.6448808893,0.4177260104,1.3998148912000001
kinase:DMSO_0h_H:4,-1.8138139922,-0.1464906364,0.6531035012
kinase:DMSO_0h_H:5,-2.3708590829,-0.0216228885,1.4366207624
kinase:DMSO_0h_H:6,-2.0729825945,0.24029409270000002,0.9995797797
kinase:DMSO_0h_I:1,0.5686139551,0.6424915209000001,2.1648460975
kinase:DMSO_0h_I:2,-0.8826690087,0.3147797889,-2.0046912479
kinase:DMSO_0h_I:3,0.7178190117000001,0.2327244262,0.0852542387
kinase:DMSO_0h_I:4,-0.2215122622,-2.4052594983,0.25813186720000003
kinase:DMSO_0h_I:5,-0.6409989923,0.2656005334,-2.0046912479
kinase:DMSO_0h_I:6,0.4587472965,0.9496632288,1.5011502924
kinase:pknD_T10_48h:1,-0.9561258410000001,1.1526075986,2.6080002767
kinase:pknD_T10_48h:2,-0.8669695583,1.2423545613,2.7631641694
kinase:pknD_T10_48h:3,-0.8110658811,1.0769836367,2.8703484946
kinase:pknL_T10_48h:1,-0.8070889599000001,1.3425562223,2.9682114993
kinase:pknL_T10_48h:2,-0.8557685359,1.0685728158,3.1490835315
kinase:pknL_T10_48h:3,-0.8786420042,0.7813282352,3.1799801271
kinase:pknL_T4_48h:1,11.7425085991,4.0758705341,5.9002339069000005
kinase:pknL_T4_48h:2,10.860099329,4.0300020637,6.1675108525
kinase:pknL_T4_48h:3,11.466371349,4.082511463,5.9675028093
kinase:T10_12h_F:1,4.5722397003,3.2692361399,3.2583185364
kinase:T10_12h_F:2,4.6296764917,3.2468036823,3.3096177919
kinase:T10_12h_F:3,4.4922967767,3.1493834924,3.8383936515
kinase:T10_12h_H:1,4.8246361679,3.1507110563,2.7447779748
kinase:T10_12h_H:2,6.6921187236,3.3225876632,3.0079851057
kinase:T10_12h_H:3,5.7506936234,3.2981932233,3.2976619271
kinase:T10_12h_I:1,1.4647735817,1.0724973713,0.5167806971
kinase:T10_12h_I:2,-0.9191335859,0.9521834454,2.064149681
kinase:T10_24h_F:1,3.6793926862,2.8478989854,3.154410597
kinase:T10_24h_F:2,3.8841403384,2.8505935625000003,2.865548933
kinase:T10_24h_F:3,3.4006672383,2.8847650357,3.4648647243
kinase:T10_24h_H:1,1.4648276609,2.4567246654,3.0014945901
kinase:T10_24h_H:2,2.8710545066,2.8556116639,3.0546630106
kinase:T10_24h_H:3,4.1691335954,2.736104663,3.2985725618
kinase:T10_24h_I:1,-0.7813997912,0.6207069091,2.2506241813
kinase:T10_24h_I:2,-1.1328420082,0.5272102761,2.0683860332
kinase:T10_48h_F:1,4.7711141152,2.4981239865,4.1631394492
kinase:T10_48h_F:2,4.0554111173,2.6442891123,3.7700778769000003
kinase:T10_48h_F:3,3.9076150116,2.6442290524,3.7542785542
kinase:T10_48h_H:1,2.8309932186999998,2.7565970206,3.2584630376
kinase:T10_48h_H:2,4.5243688845,3.0572360172,3.3764911565
kinase:T10_48h_H:3,5.7253924715,3.4267984201,3.6258537225
kinase:T10_48h_I:1,-1.4650131144,0.9383404498000001,2.4111978597
kinase:T10_48h_I:2,-0.9391975896,0.8897214763,3.3105006566
kinase:T10_48h_I:3,-1.2044088774,0.9508394314,2.5046783538
kinase:T4 _48h_H:1,13.7258994732,4.3814692473,7.0397344549
kinase:T4 _48h_H:2,13.6786410654,4.2494903355,7.0951294765
kinase:T4 _48h_H:3,14.0442717884,4.3623249328,6.8680136985
kinase:T4 20 _12h_I:1,12.0279925751,3.9130405043,1.9323940348000002
kinase:T4 20 _12h_I:2,12.1017785758,3.9601322129,2.1126749068
kinase:T4 20 _12h_I:3,12.2730193817,4.0990156031,2.3117558686
kinase:T4_12h_F:1,13.9791959961,4.6199712773,3.4124799017000003
kinase:T4_12h_F:2,13.537489873,4.619944185,3.2954949642
kinase:T4_12h_F:3,13.1837001873,4.5980439388,3.5362409284
kinase:T4_12h_H:1,14.0104179737,4.4304402232,2.6624687579
kinase:T4_12h_H:2,14.3061530595,4.4090555542,2.5009997036
kinase:T4_12h_H:3,13.9407616203,4.3444361951,2.7356723177
kinase:T4_24h_F:1,13.7543976305,4.3464225366,4.6531739234
kinase:T4_24h_F:2,13.739729629,4.3125426499,4.9808063747
kinase:T4_24h_F:3,13.9910298854,4.1770469041,4.804496969
kinase:T4_24h_H:1,13.9907487838,4.2745032223,5.1301278991
kinase:T4_24h_H:2,14.3634767667,4.2108834488,4.5012491062999995
kinase:T4_24h_H:3,13.9383381093,4.2853004362,4.7024136541
kinase:T4_24h_I:1,13.5556703113,3.9534456451,4.2671598289
