,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
88,Substrate-switching Evolution__glc_ale3,8.3028984011,,1.0,147.0,8.3028984011,,,,,,,,,,
89,Substrate-switching Evolution__glyc_ale1,8.4299077114,,1.0,148.0,8.4299077114,,,,,,,,,,
90,Substrate-switching Evolution__glyc_ale2,7.4467342564,,1.0,149.0,7.4467342564,,,,,,,,,,
91,Substrate-switching Evolution__xyl_ale1,7.9952098686,,1.0,150.0,7.9952098686,,,,,,,,,,
92,Substrate-switching Evolution__xyl_ale2,7.3525081075,,1.0,151.0,7.3525081075,,,,,,,,,,
93,Substrate-switching Evolution__xyl_ale3,7.9210825308,,1.0,152.0,7.9210825308,,,,,,,,,,
94,Substrate-switching Evolution__glc_ac_ac2,6.230603528,,1.0,153.0,6.230603528,,,,,,,,,,
95,Substrate-switching Evolution__glc_ac_glc1,8.3456186105,,1.0,154.0,8.3456186105,,,,,,,,,,
96,Substrate-switching Evolution__glc_ac_glc2,7.487854223,,1.0,155.0,7.487854223,,,,,,,,,,
97,Substrate-switching Evolution__glc_glyc_glc,8.6189007263,,1.0,156.0,8.6189007263,,,,,,,,,,
98,Substrate-switching Evolution__glc_glyc_glyc,7.3962941723,,1.0,157.0,7.3962941723,,,,,,,,,,
99,Substrate-switching Evolution__glc_xyl_glc,7.5252286647,,1.0,158.0,7.5252286647,,,,,,,,,,
100,Substrate-switching Evolution__glc_xyl_xyl,6.8082342174,,1.0,159.0,6.8082342174,,,,,,,,,,
101,PGI KO Evolution__glu4_delpgi,6.459508919,,1.0,160.0,6.459508919,,,,,,,,,,
102,PGI KO Evolution__pgi_ale1,7.2713013698,,1.0,161.0,7.2713013698,,,,,,,,,,
103,PGI KO Evolution__pgi_ale2,7.2659217123,,1.0,162.0,7.2659217123,,,,,,,,,,
104,PGI KO Evolution__pgi_ale3,7.532480786,,1.0,163.0,7.532480786,,,,,,,,,,
105,PGI KO Evolution__pgi_ale5,7.1871332074,,1.0,164.0,7.1871332074,,,,,,,,,,
106,PGI KO Evolution__pgi_ale6,7.4679670401,,1.0,165.0,7.4679670401,,,,,,,,,,
107,PGI KO Evolution__pgi_ale7,7.4900848705,,1.0,166.0,7.4900848705,,,,,,,,,,
108,PGI KO Evolution__pgi_ale8,7.6084421494,,1.0,167.0,7.6084421494,,,,,,,,,,
109,ICA__wt_glc,7.599637479733333,0.37672204930560965,6.0,168.0,7.0510097659,169.0,7.2350254503,170.0,7.9595369125,171.0,7.9372025547,192.0,7.774255728,193.0,7.640794467
110,ICA__arg_sbt,7.9425901733,0.28048733511958224,2.0,172.0,8.14092467,173.0,7.7442556766,,,,,,,,
111,ICA__cytd_rib,4.08519131915,0.1263500040263788,2.0,174.0,4.1745342638,175.0,3.9958483745,,,,,,,,
112,ICA__gth,7.1439893474,0.28824758695989416,2.0,176.0,6.940167524,177.0,7.3478111708,,,,,,,,
113,ICA__leu_glcr,8.7509280439,0.019705721640256035,2.0,178.0,8.7648620933,179.0,8.7369939945,,,,,,,,
114,ICA__met_glc,6.94816570445,0.03271960030022079,2.0,180.0,6.9713019556999996,181.0,6.9250294532000005,,,,,,,,
115,ICA__no3_anaero,7.741348578149999,0.06242891515751744,2.0,182.0,7.7854924874,183.0,7.6972046688999995,,,,,,,,
116,ICA__phe_acgam,6.9806719216,0.06024342890407338,2.0,184.0,6.9380733845,185.0,7.0232704587,,,,,,,,
117,ICA__thm_gal,7.00152783145,0.0925784366544346,2.0,186.0,7.0669906718,187.0,6.9360649911,,,,,,,,
118,ICA__tyr_glcn,6.9034996233,0.012329688290317482,2.0,188.0,6.8947812171,189.0,6.9122180295,,,,,,,,
119,ICA__ura_pyr,8.20619729025,0.03561932981004088,2.0,190.0,8.2313839599,191.0,8.1810106206,,,,,,,,
120,ICA__bw_delpurR_cytd,7.78325687805,0.1915909463103553,2.0,194.0,7.9187321354,195.0,7.6477816207,,,,,,,,
121,ICA__ade_glc,7.5135101538,0.14095556817140004,2.0,196.0,7.4138395157,197.0,7.6131807919,,,,,,,,
122,yTF__wt_glc,7.68134468115,0.18566421938381142,2.0,198.0,7.5500602526,199.0,7.8126291097,,,,,,,,
123,yTF__delyafC,6.59593104125,0.18917365213997303,2.0,200.0,6.7296970135,201.0,6.462165069,,,,,,,,
124,yTF__delyeiE,7.341382928450001,0.23405806740005966,2.0,202.0,7.5068869751000005,203.0,7.1758788818,,,,,,,,
125,yTF__delyiaJ,7.42377636275,0.20060308488623868,2.0,204.0,7.2819285611,205.0,7.5656241644,,,,,,,,
