,A,Spo0A,DnaA
T4.0H_1,43.6058509027,14.0145,12.255
T5.0H_1,43.3714212964,13.4427,11.3154
HPh_1,3.3075768805,12.4434,13.9217
HPh_2,3.31964712,12.1206,13.4613
HPh_3,3.6108261055,12.4295,13.5312
LPh_1,2.7238924369,12.5635,13.6499
LPh_2,2.1486044634,12.8483,14.2144
LPh_3,3.2586627076,12.3901,13.7153
LPhT_1,5.2795174239,12.818,13.7165
LPhT_2,3.9334077343000002,12.6015,13.6664
LPhT_3,3.132643015,13.006,14.1094
SMMPr_1,14.765495445100001,13.3642,13.0353
SMMPr_2,14.3825753529,13.2874,13.022
SMMPr_3,11.829739474,13.483,13.053
HiTm_1,2.929617595,13.1721,12.4855
HiTm_2,2.424944692,13.35,13.2962
HiTm_3,3.3860577345,13.668800000000001,13.311
LoTm_1,36.1365037159,14.2496,12.1873
LoTm_2,37.7867765037,14.0774,11.7382
LoTm_3,35.5198840032,13.7495,11.8195
HiOs_1,18.3274138007,13.7674,13.0397
HiOs_2,18.7640334899,13.5585,12.7667
HiOs_3,16.1027932878,13.7425,13.0522
BMM_1,1.8742998711,12.8644,13.7045
BMM_2,2.2600626096,12.5945,13.6631
BMM_3,2.8170190827,12.742,13.6438
Heat_1,-2.3255922457000002,13.5304,14.7696
Heat_2,-2.7432017274,13.1714,14.3358
Heat_3,-1.0450825867,12.987,14.3953
Cold_1,5.4162911196,13.0828,13.1183
Cold_2,5.1901975601,12.585,12.7855
Cold_3,6.8845550869,12.0578,12.4454
Etha_1,3.4810311752,11.4391,9.7416
Etha_2,4.2202308605,11.1314,9.9702
Etha_3,2.9673397502,11.5767,10.0651
SMM_1,8.8251573109,13.1353,13.3262
SMM_2,10.9513366986,13.0717,13.223700000000001
SMM_3,11.6284024386,13.2347,13.3072
Salt_1,10.3162119206,12.1874,12.3451
Salt_2,10.797013465300001,12.0421,12.1473
Salt_3,7.825875235,12.0908,12.362
Mt0_1,2.9265459432,12.8024,14.1817
Mt0_3,2.34815365,13.0577,14.2956
M0t45_1,3.3607690926,13.159,13.3034
M0t45_2,4.2519580711,12.7394,13.4643
M0t45_3,2.5072721897,13.3434,13.9349
M0t90_1,9.8038830942,12.4009,11.407
M0t90_2,11.563511117800001,13.6524,13.0626
M0t90_3,12.2438907771,13.1909,11.7299
M40t45_1,3.8884578532000003,12.7352,13.0226
M40t45_2,3.8775655905,14.0396,12.7173
M40t45_3,2.2059409513,13.5703,14.2002
M40t90_1,10.3776059198,12.7261,11.2709
M40t90_2,11.2496334927,13.5323,12.5871
M40t90_3,11.7982698563,13.4407,11.9394
dia0_1,2.9385067208,12.2919,13.6832
dia0_2,3.5458698405,12.8481,14.0305
dia0_3,2.8706389706,12.9642,14.213
dia5_1,1.9834537783,12.6323,12.1755
dia5_2,4.1803647047,12.3645,12.7126
dia5_3,3.3185616037,12.3427,12.9466
dia15_1,3.2016588224,11.0735,13.9831
dia15_2,2.8015180763,12.1691,14.3874
dia15_3,4.9740171580000005,12.9268,13.6804
Diami_1,0.6918505438,11.4976,12.5512
Diami_2,0.674258849,11.9034,13.2939
Diami_3,1.9773865532000001,11.7349,13.215
Paraq_1,3.1053510476,12.5996,14.0556
Paraq_2,1.5146741573,12.8656,14.4187
Paraq_3,5.7069366762,11.4471,13.3006
H2O2_1,2.9137018102,12.138,13.1365
H2O2_2,2.1376099476,12.259,13.3208
H2O2_3,2.8845901775,11.8088,12.8887
Oxctl_1,3.5520024267,11.9156,13.6066
Oxctl_2,3.0843060307,12.067,13.5891
Oxctl_3,1.6988962988,12.725999999999999,14.2034
GM-0.1_1,8.1350436558,12.9863,12.9473
GM-0.2_1,9.1103281583,12.9613,13.0292
GM+5_1,7.6919207086,12.7969,12.8819
GM+15_1,7.556138659,13.0677,13.1887
GM+25_1,4.4680818141,13.6489,13.763
GM+45_1,4.8932504345000005,13.3319,13.6408
GM+60_1,4.3970354931,13.3425,13.5861
GM+90_1,5.8302208024,13.2368,13.6616
GM+120_1,8.7202483553,12.2711,12.5849
GM+150_1,4.9318559599,12.8057,13.1833
GM-0.1_2,2.3298500672999998,13.5625,13.5883
GM-0.2_2,3.6001181577,13.1717,13.7333
GM+5_2,3.7606977751,13.3473,13.3501
GM+10_2,3.6867429771999998,13.2129,13.2845
GM+15_2,4.9741158385,12.7885,13.1303
GM+25_2,2.5720552906,13.2729,13.5113
GM+45_2,3.7031456215,12.4013,12.8253
GM+60_2,5.1060358777,12.4027,12.743
GM+90_2,3.4526090675,13.3774,13.5096
GM+150_2,8.775005918,12.5135,12.691
GM-0.1_3,5.7689849430999995,13.4977,13.3438
GM-0.2_3,3.8074625577,13.5218,13.3405
GM+5_3,6.1844519156,13.457699999999999,13.224
GM+10_3,6.8550314876,12.2965,12.2249
GM+15_3,6.6552380865,12.9231,13.0024
GM+25_3,5.7423408897,12.8577,12.7371
GM+45_3,7.0200734657,12.743,12.7523
GM+60_3,5.4039683851,12.4835,12.6762
GM+90_3,4.3008747315,12.6747,13.4984
GM+120_3,5.242326413,12.9619,13.2657
GM+150_3,3.2563689315,12.8099,13.5296
MG-0.1_1,2.0665034474,12.9009,13.2703
MG+5_1,4.1704108203,12.9585,13.3015
MG+10_1,1.175221846,13.3919,13.8139
MG+15_1,3.2006257681,12.5853,13.0804
MG+25_1,0.7405293087,13.1575,13.4611
MG+45_1,1.6601670206999999,12.7172,13.3786
MG+120_1,8.1385289609,12.7583,12.706
MG+150_1,7.4357374826000004,12.8475,13.2925
MG-0.1_2,3.6919292122,12.0499,12.6448
MG-0.2_2,1.7737589294,12.7932,13.2055
MG+5_2,1.9911913037,12.8758,13.3216
MG+10_2,1.9947212422,13.0084,13.5099
MG+15_2,2.3649279244,13.4788,14.299
MG+25_2,3.3987352873,12.5378,13.179
MG+45_2,3.9809235501,12.2892,12.7528
MG+60_2,1.0311950935,12.8861,13.3601
MG+90_2,1.5781481869,12.512,12.8871
MG+120_2,7.8909590268,13.5426,13.4384
MG-0.1_3,1.171419687,13.2178,13.9475
MG-0.2_3,2.7040562052,12.828,13.4707
MG+5_3,3.7044606154,12.7449,13.3288
MG+10_3,6.8678874243,12.1654,12.9465
MG+15_3,2.1113481128,13.2402,13.9258
MG+25_3,1.0513544473,12.8292,13.8584
MG+45_3,-0.7660765309,13.4049,14.2102
MG+60_3,1.7915244629,12.9206,13.4807
MG+90_3,0.2250895984,13.1266,13.7928
MG+120_3,6.3220926374,12.9093,13.3771
MG+150_3,7.4588119671,12.9517,13.2473
