,A,MalR
Mal_2,0.5223880886,-0.2205
Mal_3,-0.039572378400000004,0.034
G+S_2,-10.1640228114,-0.6304000000000001
G+S_3,-10.1671973875,-0.2431
Pyr_1,-10.494201146,-0.719
Pyr_2,-10.6252818243,-0.1842
Pyr_3,-9.3045297616,-0.33130000000000004
Gly_1,-9.3119607513,-0.7319
Gly_2,-10.7932972635,-0.16140000000000002
Gly_3,-8.793151196,-1.5376
Glucon_1,-10.4723243961,-0.5547000000000001
Glucon_2,-11.2458978463,-0.008400000000000001
Glucon_3,-9.5420556602,-0.9952000000000001
aero_1,-12.1628853922,0.2137
aero_2,-10.8966414852,-0.7194
aero_3,-13.03173064,0.0857
nit_1,-11.2530213507,-0.399
nit_2,-11.7519430327,-0.11860000000000001
nit_3,-11.9179845337,-0.4475
ferm_1,-10.1572021132,-0.6706000000000001
ferm_2,-10.766397063,-0.7928000000000001
ferm_3,-10.1122205112,-0.23290000000000002
T-5.40H_1,-13.558363225,0.34240000000000004
T-4.40H_1,-13.1876517216,0.3121
T-3.40H_1,-13.1842650592,0.0438
T-2.40H_1,-13.3766430058,-0.0818
T-1.40H_1,-12.4313613424,0.0786
T-1.10H_1,-11.6147847396,0.2856
T-0.40H_1,-12.08370359,0.4035
T0.0H_1,-14.1859055199,0.10890000000000001
T0.30H_1,-12.5182666159,-0.9032
T1.0H_1,-11.6716683982,-1.4365
T1.30H_1,-10.3445518527,-1.4181
T2.0H_1,-9.6822452317,-1.514
T2.30H_1,-10.864700429300001,-0.9226000000000001
T3.0H_1,-10.9139869654,-1.3913
T3.30H_1,-10.4959053899,-1.1689
T4.0H_1,-10.4213796805,-0.9702000000000001
T5.0H_1,-8.3721006223,-1.5126
HPh_1,-10.6711100573,0.3551
HPh_2,-11.5755125033,0.1447
HPh_3,-11.7922882748,0.267
LPh_1,-10.2993658062,0.382
LPh_2,-10.6535584296,0.7135
LPh_3,-10.5966617377,0.23750000000000002
LPhT_1,-7.3479635638,0.7484000000000001
LPhT_2,-6.7173854994,0.508
LPhT_3,-6.4180858496,0.7373000000000001
SMMPr_1,-14.1774108779,-0.4897
SMMPr_2,-14.2113494275,-0.36
SMMPr_3,-14.4813849944,-0.24080000000000001
HiTm_1,-10.9789836323,-0.4355
HiTm_2,-10.7619594459,-0.4193
HiTm_3,-11.6381707265,-0.274
LoTm_1,-11.913260874,-0.5745
LoTm_2,-12.5023818412,-0.8299000000000001
LoTm_3,-12.0366470278,-0.861
HiOs_1,-15.1023278667,-0.8118000000000001
HiOs_2,-14.4436449854,-0.9906
HiOs_3,-14.7816723457,-0.8997
BMM_1,-13.4416676368,-0.0006000000000000001
BMM_2,-13.6583351967,-0.2237
BMM_3,-13.089147984,0.29460000000000003
Heat_1,-7.8168407077,0.7378
Heat_2,-8.1616886398,0.48150000000000004
Heat_3,-8.3579181434,0.49820000000000003
Cold_1,-16.2592394967,0.6005
Cold_2,-15.0808181021,0.21910000000000002
Cold_3,-15.1021650709,-0.16620000000000001
Etha_1,-13.5368704069,-0.9551000000000001
Etha_2,-12.3023047697,-1.0791
Etha_3,-13.2487776966,-0.8758
SMM_1,-14.5614022489,-0.1211
SMM_2,-14.4092672778,-0.26680000000000004
SMM_3,-14.2642481839,-0.1223
Salt_1,-15.135372092,-0.2412
Salt_2,-15.0701003132,-0.44
Salt_3,-15.0517514281,-0.1758
Mt0_1,-8.6145827819,0.2756
Mt0_3,-8.1945857359,0.2826
M0t45_1,-12.9993396854,0.7094
M0t45_2,-8.646379074,0.2406
M0t45_3,-13.5172125741,0.71
M0t90_1,-11.9022366474,-0.318
M0t90_2,-13.8107978104,0.37110000000000004
M0t90_3,-13.4693808176,0.1897
M40t45_1,-13.3416949671,0.1544
M40t45_2,-10.7922237102,0.28700000000000003
M40t45_3,-13.489849164,0.7102
M40t90_1,-13.3360439904,-0.2861
M40t90_2,-13.9264701918,0.2205
M40t90_3,-13.6251898814,0.216
dia0_1,-8.6066828382,-0.018500000000000003
dia0_2,-9.2838878998,0.1762
dia0_3,-9.4440382811,0.37060000000000004
dia5_1,-9.175845114,0.8603000000000001
dia5_2,-9.7958695523,1.3083
dia5_3,-10.8892525041,1.1382
dia15_1,-9.1979108887,2.183
dia15_2,-9.4718981784,1.8216999999999999
dia15_3,-9.6398578339,0.3239
Diami_1,-9.6901777397,1.3706
Diami_2,-9.4044997022,1.7626
Diami_3,-9.6807029299,1.7695
Paraq_1,-10.0605280969,0.36860000000000004
Paraq_2,-9.7385055248,0.6583
Paraq_3,-10.0859844249,-0.41290000000000004
H2O2_1,-10.818025843000001,1.0788
H2O2_2,-10.6503301507,1.1379
H2O2_3,-10.5020713165,1.1736
Oxctl_1,-9.9849061278,-0.1285
Oxctl_2,-9.6859128956,-0.1574
Oxctl_3,-9.8257441806,0.3655
GM-0.1_1,-11.5545563464,-0.1351
GM-0.2_1,-11.0210732443,-0.1291
GM+5_1,0.1842824468,-0.1419
GM+15_1,3.9524250403,0.2031
GM+25_1,5.6318030362,0.62
GM+45_1,5.5058522534000005,0.5042
GM+60_1,5.8911201836,0.3245
GM+90_1,4.6267017209,0.21380000000000002
GM+120_1,1.5746203019,-0.5416000000000001
GM+150_1,0.0036602178,-0.30810000000000004
GM-0.1_2,-12.954974546,0.40950000000000003
GM-0.2_2,-13.6517548596,0.393
GM+5_2,-0.0740274833,0.39780000000000004
GM+10_2,3.3275808006,0.4307
GM+15_2,4.155527745,0.27390000000000003
GM+25_2,5.2216830418,0.3836
GM+45_2,4.8855863506,-0.19840000000000002
GM+60_2,4.3161519082,-0.30000000000000004
GM+90_2,4.0714455212,0.4319
GM+150_2,-2.923474535,-0.7805000000000001
GM-0.1_3,-12.0173199596,0.4403
GM-0.2_3,-11.9226350632,0.5603
GM+5_3,0.7113775531000001,0.5017
GM+10_3,2.1981721158,-0.4712
GM+15_3,3.4378736039,0.2741
GM+25_3,3.4160370891,0.049600000000000005
GM+45_3,2.5360982448,-0.0224
GM+60_3,2.4782047261,-0.2938
GM+90_3,1.5501522457,-0.161
GM+120_3,1.662860433,0.154
GM+150_3,0.1018606824,-0.09670000000000001
MG-0.1_1,4.6906014572,0.1748
MG+5_1,1.3192100778,0.0444
MG+10_1,2.6256048400000003,0.4333
MG+15_1,1.8925406007,-0.3521
MG+25_1,1.6540630906,0.1617
MG+45_1,-0.5154362411,-0.25620000000000004
MG+120_1,-11.6893259171,-0.2419
MG+150_1,-11.6936013163,-0.42760000000000004
MG-0.1_2,3.6985211892,-0.5921000000000001
MG-0.2_2,4.3587810685,-0.117
MG+5_2,3.8341550541,-0.076
MG+10_2,3.4601021253,0.10990000000000001
MG+15_2,1.7163219495000002,0.518
MG+25_2,1.5407491048000002,-0.2847
MG+45_2,0.7634521543,-0.6768000000000001
MG+60_2,0.5595853139,0.0207
MG+90_2,-2.9740546455,-0.44830000000000003
MG+120_2,-12.8237944083,-0.0489
MG-0.1_3,4.6901004865,0.45880000000000004
MG-0.2_3,3.3659608822,0.0618
MG+5_3,1.6792891347999999,-0.16870000000000002
MG+10_3,-0.1338498524,-0.2857
MG+15_3,2.1768895669,0.2184
MG+25_3,1.8373287963,0.1019
MG+45_3,1.1681485482,0.48910000000000003
MG+60_3,-1.3643134544,-0.010100000000000001
MG+90_3,-4.6653859479,0.0826
MG+120_3,-12.4385435334,-0.33390000000000003
MG+150_3,-10.6513057079,-0.0966
