,A,GntR
abx_mega__ery_dmso__2,-2.0032622647,-0.9814871851
abx_mega__dmso-2__2,-2.8365177616,1.5654272204000002
abx_mega__van_dmso__2,0.3230355789,-2.1977480383
abx_mega__h2o-1b__1,-0.2815504572,-0.47030052
abx_mega__ery_h2o__1,-0.6947959872,-1.2359921485
abx_mega__bacit_h2o__1,-3.8182061959,-1.2472551085
abx_mega__chl_h2o__2,-0.022835438200000002,-1.227474866
abx_mega__str_h2o__2,-3.2274195773,1.5352514969
abx_mega__rfp_ethanol__2,-1.2491872186,-0.4062689041
abx_mega__polmyx_h2o__2,0.5767885943000001,-0.0094007342
abx_mega__tric_h2o__1,-3.3790458181,0.1416186325
abx_mega__cip_naoh__2,0.3215029034,0.5786966354
abx_mega__novo_h2o__3,1.0197633339,-0.0606151885
abx_mega__bacit_dmso__1,-3.1088414086,-0.4925297751
abx_mega__gen_h2o__1,-2.378351731,0.8226983976000001
abx_mega__bacit_dmso__2,-1.7383602368000002,-0.6727869826
abx_mega__chl_dmso__1,-3.2198890993,-1.2940624377
abx_mega__bacit_h2o__2,-3.5930932104,-1.0662226968
abx_mega__lvx_dmso__1,-1.9648133407000001,-0.2962766651
abx_mega__bacit_h2o__3,-3.9095039432,-0.9962818121
abx_mega__nor_naoh__2,0.47021547280000003,0.3606493246
abx_mega__amyc-d_dmso__2,-1.1700889613,0.1112820976
abx_mega__polmyx_h2o__3,-2.0301478605,2.0976661189
abx_mega__naoh-6__1,0.5717258764,0.32809704
abx_mega__cst_h2o__2,0.4763402216,-0.0292463988
abx_mega__h2o-1b__2,-1.3244630485,-0.3413564414
abx_mega__rfp_h2o__1,0.883075794,-1.3131607164
abx_mega__tet_h2o__1,0.28506774290000003,-1.2612926415
abx_mega__flavo_dmso__1,-2.9159756035,-0.5988611484
abx_mega__zeocin_h2o__1,0.5855949471,0.22923090170000002
abx_mega__nor_naoh__3,0.5151747024000001,0.4999405089
abx_mega__rach_dmso__2,-1.9074574287,0.0512710482
abx_mega__thio_dmso__2,-0.9323891249,-1.3902271011
abx_mega__amyc-d_dmso__3,-0.9320619816000001,0.1517116061
abx_mega__rif_dmso__2,1.7492379214,0.2417197285
abx_mega__amyc-d_dmso__4,-2.1364132881,0.3733652188
abx_mega__teix_dmso__3,-0.5460681251,-0.1297693519
abx_mega__valin_dmso__1,0.0377126131,-0.23751462680000002
abx_mega__teix_dmso__4,-2.5391735969,0.0457568896
abx_mega__ethanol-10__1,-0.7880895478000001,0.5470145219
abx_mega__inh_h2o__1,1.2144184647,-0.018242771
abx_mega__rif_dmso__3,1.3092822979,-1.0799157857
abx_mega__van_dmso__3,-2.334446044,-1.0954808471
abx_mega__doxo_dmso__1,0.8188369979000001,0.7186442041000001
abx_mega__tmp_dmso__1,-1.2220539,0.4279228457
abx_mega__ethanol-10__2,-1.1914862872,-0.3143512694
abx_mega__tmp_dmso__2,-1.4022454849,0.4718161105
abx_mega__amyc-d_dmso__5,-0.9091374555,-0.2986220438
abx_mega__novo_h2o__4,-1.7310287884000002,-0.8190750892
abx_mega__cro_h2o__2,-1.0557104621,-0.3163259048
abx_mega__cro_h2o__3,-0.4864632646,-0.2089821145
abx_mega__gen_h2o__2,-3.0771893086,0.9132217176
abx_mega__phos_h2o__4,-1.2600360086,1.4061233939
abx_mega__metro_dmso__2,-1.7953823083,0.2612579186
abx_mega__ery_h2o__2,1.2792420591,-1.3824476245000001
abx_mega__sacet_h2o__1,-5.8665870532,0.9407371778
abx_mega__nal_naoh__5,-0.6188281081,0.556421748
abx_mega__bacit_h2o__4,-4.187548638,-1.1742774018
abx_mega__cip_naoh__3,-1.6324276486,-0.0031325707
abx_mega__ethanol-8__1,-1.2329342317,0.0745998059
abx_mega__h2o-8a__1,-1.0654469739,-0.008878627600000001
abx_mega__ery_h2o__3,-0.7234226962,-1.4211221519000001
abx_mega__flavo_dmso__2,-1.037911485,-0.0488065371
abx_mega__rif_dmso__4,0.7328066676,-0.8193203471
abx_mega__novo_h2o__5,0.3318267684,-0.8197637064000001
abx_mega__teix_dmso__5,-1.940458228,0.037646893800000004
abx_mega__naoh-2__1,-0.8216350929,1.2680566494
abx_mega__novo_h2o__6,0.153697882,-1.0209983981
abx_mega__ctx_h2o__3,-0.3122798681,0.1457897975
abx_mega__rach_dmso__3,-2.6201430816,0.0824069253
abx_mega__valin_dmso__2,0.1436246803,-0.2579246658
abx_mega__amyc-d_dmso__6,-3.1079659407,-0.166004479
abx_mega__dox_dmso__2,0.8576574595,-0.0817213116
abx_mega__teix_dmso__6,-1.8753439088000001,0.0463478165
abx_mega__naoh-6__2,0.5166049039,0.45315439500000004
abx_mega__inh_h2o__2,-2.7170434179000003,0.1556808412
abx_mega__chl_h2o__3,-1.2208773149,-1.7463280251
abx_mega__nal_naoh__6,-0.3743095099,0.4029157841
abx_mega__chl_dmso__2,-2.2893130067,-1.3582631752
abx_mega__rach_dmso__4,-2.5314290736,0.27533971630000004
abx_mega__teix_dmso__7,-1.529026991,0.0463102376
abx_mega__ceru_ethanol__1,-3.0149714079,-0.21150991630000002
abx_mega__dmso-7__1,-2.8158701866999998,-0.0694622901
abx_mega__naoh-6__3,0.6484201075,0.42083129080000004
abx_mega__phos_ethanol__2,0.1476972674,0.38087372740000003
abx_mega__metro_dmso__3,-3.331119537,0.2753759678
abx_mega__van_dmso__4,-2.3210758903,-1.8177740864
abx_mega__h2o-10__1,-1.4680400964,-0.296336514
abx_mega__h2o-10__2,0.5138510697,0.343083585
abx_mega__dmso-6__3,-3.2834005745,0.1054642159
abx_mega__mem_dmso__1,-0.5949334832000001,-0.2687890169
abx_mega__ethanol-8__2,-0.7129648742,-0.0168990484
abx_mega__chl_h2o__4,-1.3908342708,-1.6624532035000001
abx_mega__van_h2o__1,-3.2698071214,-1.1673645659
abx_mega__dcs_h2o__1,0.3037699828,0.6047389592
abx_mega__rif_dmso__5,0.9503320762,-0.19362914850000001
abx_mega__dox_dmso__3,-2.4705314382,-0.1687292048
abx_mega__mem_dmso__2,-1.237372195,-0.293832792
abx_mega__lvx_dmso__2,-2.6579528095000002,-0.30616920940000003
abx_mega__tet_h2o__2,1.5420089737,-1.04592952
abx_mega__phos_h2o__5,-0.7079376027000001,1.4547725987
abx_mega__monac_dmso__1,-1.8872242457000001,-0.9811582752
abx_mega__str_h2o__3,0.0804200306,-0.07309487370000001
abx_mega__zeocin_h2o__2,0.1889793628,1.0901033599
abx_mega__amyc-d_dmso__7,-2.0940034171,-0.3925942656
abx_mega__fidax_dmso__1,-1.6066187591,0.1190090936
abx_mega__h2o-1a__1,0.36616007840000003,-0.0668377198
abx_mega__dox_dmso__4,0.4053909692,0.277008763
abx_mega__lzd_dmso__2,-2.2556475914,-0.9405332671000001
abx_mega__tet_h2o__3,0.8239705066,-1.2392465101
abx_mega__dmso-1__2,-3.4601642646,-0.3601672551
abx_mega__sxt_dmso__2,-1.3950336379000001,-0.14427217250000002
abx_mega__tric_ethanol__2,-3.0779288626,-0.7464901238
abx_mega__teix_dmso__8,-1.283031527,-0.2477663988
abx_mega__ramo_h2o__2,-1.8751022509,-0.410011917
abx_mega__inh_h2o__3,0.7766229548,0.2924153336
abx_mega__cst_h2o__3,-0.9530259872,-0.19191705150000002
abx_mega__dmso-9__1,-1.6560497811000001,-0.0878974408
abx_mega__ethanol-8__3,-0.279993447,0.0896925969
abx_mega__monac_dmso__2,-1.9571648121,-1.5798885406
abx_mega__dmso-9__2,-1.6121494113,-0.0400431552
abx_mega__metro_dmso__4,-1.5615320857000001,0.1872997528
abx_mega__ctx_h2o__4,-0.1316888552,0.0525782568
abx_mega__zeocin_h2o__3,0.616342002,1.5094477799
abx_mega__bacit_h2o__5,-0.7276719112000001,-0.6651244844
abx_mega__reta_dmso__1,-2.344973369,-1.3071098605
abx_mega__ery_h2o__4,1.720029437,-1.2542905028
abx_mega__ceru_ethanol__2,-5.4144933637,-0.1657092164
abx_mega__fidax_dmso__2,-0.8654703544000001,0.08016340400000001
abx_mega__novo_dmso__1,-2.2016349053,-0.178629485
abx_mega__naoh-6__4,0.3837531823,0.4981231157
abx_mega__amyc-d_dmso__8,-0.9005703282,0.1366503899
abx_mega__chl_dmso__3,-3.1765004242,-1.1745329903
abx_mega__nal_naoh__7,-1.1903919879,-0.1561666729
abx_mega__teix_dmso__9,-2.3863000715,-0.085961625
abx_mega__ery_dmso__3,-2.3522005493,-0.9438298832
abx_mega__tmp_dmso__3,-0.9836549274,0.3331821447
abx_mega__sxt_dmso__3,-0.1808081245,0.014032784900000001
abx_mega__polmyx_h2o__4,-2.3046748457,1.7866394183
abx_mega__mem_dmso__3,-1.8654693377,-0.1655740946
abx_mega__nal_naoh__8,-2.8729304852,1.0783141058
abx_mega__pen_h2o__3,-0.1959365696,0.2395476639
abx_mega__van_dmso__5,-2.5752526329,-2.0140962424
abx_mega__zeocin_h2o__4,-0.44526441590000004,1.0596726017
abx_mega__h2o-6__2,0.4606008037,0.3663753985
abx_mega__tet_h2o__4,1.0062899904,-0.9983328129000001
abx_mega__nor_naoh__4,-0.41299635830000003,0.30411257550000004
abx_mega__cip_naoh__4,0.1399534975,0.6508283317
abx_mega__tmp_dmso__4,-0.9071721810000001,0.7522509527
abx_mega__reta_dmso__2,-0.1227902825,-0.8132769004
abx_mega__mem_dmso__4,-1.0532708028,-0.1693447867
abx_mega__dox_dmso__5,-0.29796118390000004,-1.1181973837
abx_mega__tmp_dmso__5,-3.0339950215,0.25513125600000003
abx_mega__flavo_dmso__3,-1.2668594296,-0.0404434482
abx_mega__tmp_dmso__6,-2.2954446264,-0.33709687800000004
abx_mega__ceru_ethanol__3,-3.5075683788000003,-0.47481215720000003
abx_mega__teix_dmso__10,-1.0120745181,0.09199936560000001
abx_mega__novo_h2o__7,0.9436171171000001,-0.0649882467
abx_mega__fidax_dmso__3,-1.3688562573,-0.2980488014
abx_mega__h2o-1a__2,-0.3587958544,-0.0128932636
abx_mega__dcs_h2o__2,-0.8875137478,0.188055158
abx_mega__cst_h2o__4,-0.9739141905,-0.1285865504
abx_mega__van_h2o__2,-1.8728962321,-0.1371242533
abx_mega__pen_h2o__4,-2.7181845877,0.0023875155
abx_mega__h2o-8b__2,1.3116311664,0.6320144981
abx_mega__reta_dmso__3,1.1478985878,-1.1120985113
abx_mega__dmso-7__2,-2.3826996456,0.033305502
abx_mega__rfp_h2o__2,1.3007127637,-1.3241828325
abx_mega__rif_dmso__6,0.3836789981,-0.4768151076
abx_mega__sxt_dmso__4,-1.4525980929,-0.1142846238
abx_mega__cip_naoh__5,0.3577728517,0.4543922052
abx_mega__dmso-9__3,-1.9672907130000001,-0.1984823897
abx_mega__mem_dmso__5,0.009612119300000001,-0.45536829900000003
abx_mega__tric_h2o__2,-2.9871616829,0.33593669400000004
abx_mega__phos_h2o__6,0.9107013147,0.5004063053
abx_mega__h2o-7__2,-0.5761488056,-0.16537029720000002
abx_mega__h2o-10__3,-0.157823829,0.13219351070000002
abx_mega__h2o-8a__2,-0.5311072187,-0.0475877471
abx_mega__thio_dmso__3,1.3327932583,-0.7210368728000001
abx_mega__lzd_dmso__3,0.4175198094,-0.591781654
abx_mega__monac_dmso__3,-2.7148286693,-1.915716313
abx_mega__polmyx_h2o__5,-1.7372413982000001,-0.20372634480000001
abx_mega__naoh-6__5,-0.494005063,0.3628994487
abx_mega__teix_dmso__11,-0.0407466383,0.25620724500000003
abx_mega__van_h2o__3,-2.3784155804,-0.47727512460000004
abx_mega__teix_dmso__12,-1.9798488672999999,-0.15724490700000002
abx_mega__dox_dmso__6,-2.2315622235,1.7417010054
abx_mega__teix_dmso__13,-3.4371914548999998,-0.486972491
abx_mega__h2o-7__3,-0.9345964472,-0.2985921326
abx_mega__str_h2o__4,-1.9671914415,1.8048856024000002
abx_mega__tec_h2o__3,-6.3767205544,0.7371373286
abx_mega__phos_h2o__7,0.7696723836,0.5040371177
abx_mega__chl_h2o__5,-0.5371979277,-1.1850593759
abx_mega__polmyx_h2o__6,-2.2719026929,1.7415481708
abx_mega__teix_dmso__14,-0.3212441292,0.2894768345
abx_mega__rif_dmso__7,1.013077768,-0.16819917480000002
abx_mega__ramo_h2o__3,-2.3865084453,-0.5500127151
abx_mega__fidax_dmso__4,-1.9712207927,-0.3368638939
abx_mega__teix_dmso__15,-1.7446348395,0.1035562356
abx_mega__thio_dmso__4,1.206305144,-0.9576826374
abx_mega__rif_dmso__8,0.49116771680000004,-0.4831508691
abx_mega__reta_dmso__4,0.3027240672,-1.2297227532
abx_mega__inh_h2o__4,-3.0187317047,0.1529624811
abx_mega__novo_dmso__2,-2.2475733613,-0.3890993942
abx_mega__dcs_h2o__3,0.0074144795000000005,0.3146264066
abx_mega__h2o-8b__3,-1.0837178415,-0.07021038240000001
abx_mega__valin_dmso__3,-3.5067249138000003,-0.6166867186
abx_mega__h2o-2__1,-2.2099939328,2.1187954295
abx_mega__cro_h2o__4,-1.21878999,0.4180472611
abx_mega__dcs_h2o__4,0.7175988057,0.6751626094000001
abx_mega__str_h2o__5,0.3453761757,0.39772846100000003
abx_mega__h2o-8a__3,-0.6138595950000001,-0.16168812030000002
abx_mega__dox_dmso__7,-0.2711640281,0.0497480339
abx_mega__doxo_dmso__2,1.9957285150000001,0.7858509618
abx_mega__teix_dmso__16,-3.8258141547,-0.7261159354000001
abx_mega__rfp_h2o__3,0.034309395900000005,-1.2000313379
abx_mega__ethanol-10__3,0.2652666634,0.2969461319
abx_mega__naoh-2__2,-1.9548402390000001,1.7429849320000002
abx_mega__van_h2o__4,-2.8715371077,-1.1786870961
abx_mega__sacet_h2o__2,-5.3436269138,1.3393862304
abx_mega__monac_dmso__4,-1.1292572316,-1.1911741131
abx_mega__h2o-2__2,-0.7210040652,2.002176607
abx_mega__zeocin_h2o__5,0.0779267043,0.1290271966
abx_mega__nor_naoh__5,-1.4444100434,-0.0274037846
abx_mega__naoh-9__2,-0.8162727428000001,0.0400226497
abx_mega__dmso-7__3,-2.9904272488,0.0460188273
abx_mega__van_h2o__5,-2.4892541044,-1.6306092590999999
abx_mega__flavo_dmso__4,-2.067205859,-0.016417541100000002
abx_mega__novo_dmso__3,-2.1267037655,-0.434284532
abx_mega__polmyx_h2o__7,-0.45999960570000004,-0.1691500367
abx_mega__teix_dmso__17,-1.3835763315,-0.0575838128
abx_mega__doxo_dmso__3,2.1501382452,0.5090132924
abx_mega__mem_dmso__6,-2.2043705554,-0.0627804936
abx_mega__h2o-1a__3,-0.007364224000000001,0.0797309834
abx_mega__bacit_dmso__3,-0.7293817169,-0.1656276647
abx_mega__dox_dmso__8,-3.2989371176,1.4216713989
abx_mega__teix_dmso__18,-2.9155558384,-0.08407649760000001
abx_mega__h2o-6__3,-0.2404655242,0.38164426570000004
abx_mega__pen_h2o__5,-0.9567663884000001,-0.3251683848
abx_mega__lzd_dmso__4,0.39691619920000004,-0.2034210968
abx_mega__daro__1,-3.1239740409,-0.5547241834000001
abx_mega__solv__1,-2.8129920422,-0.6540950771
abx_mega__daro__2,-3.7340957394,-0.6590286361000001
abx_mega__daro__3,-4.5151519915,-0.3126810819
abx_mega__solv__2,-2.4878133686,-0.6922713282
abx_mega__solv__3,-3.5265412493,-0.4563470713
abx_mega__dmso-4__1,-0.7619451415,0.2161751824
abx_mega__kirr_dmso__1,0.2090103629,-1.1731510924
abx_mega__kirr_dmso__2,0.1979197913,-1.1396447659
abx_mega__kirr_dmso__3,0.4232647712,-0.8188947048
abx_mega__dmso-4__2,-0.0026908488000000003,0.22532293920000002
abx_mega__dmso-4__3,-1.3709983727,-0.0912411067
ackA_pta__dnaA46_del_ackA__1,-1.0127181801,0.3451167947
ackA_pta__dnaA46_del_ackA__2,-0.2120954927,0.552732203
ackA_pta__dnaA46_del_ackA__3,-0.15033653560000002,0.34619565490000004
ackA_pta__dnaA46_del_pta__1,2.9826277134,0.8294455958
ackA_pta__dnaA46_del_pta__2,0.1233777279,0.0738229426
ackA_pta__dnaA46_del_pta__3,-0.2888112203,0.3598378602
ackA_pta__dnaA46__1,0.056387642700000004,0.15600960360000002
ackA_pta__dnaA46__2,0.19267490510000002,-0.1281138946
ackA_pta__dnaA46__3,-0.39480098020000004,0.048650765900000004
ackA_pta__del_ackA__1,-1.0882491469,0.5215850873
ackA_pta__del_ackA__2,1.5014421916,0.7347357288
ackA_pta__del_ackA__3,-0.7579894454,0.41684833330000004
ackA_pta__del_pta__1,-0.3012857424,-0.0192618996
ackA_pta__del_pta__2,0.6951044645000001,0.0238758768
ackA_pta__del_pta__3,0.4992524404,0.1581374077
ackA_pta__wt__1,0.33421835180000004,0.051631424100000003
ackA_pta__wt__2,-0.2080162449,-0.0222116191
ackA_pta__wt__3,-0.126202107,-0.029419804900000002
anticancer__5fu__1,-0.3090571426,-0.3274640494
anticancer__5fu__2,-1.0512665428,-0.1915093779
anticancer__cap__1,-1.976816752,-0.23710541170000002
anticancer__cap__2,-1.5122798990000001,-0.2621751949
anticancer__cap__3,-1.3322445494,-0.5087309426000001
anticancer__wt__1,-0.09379770030000001,0.0333789104
anticancer__wt__2,0.34090451580000003,0.0386669105
anticancer__wt__3,-0.24710681550000002,-0.0720458209
anticancer__5fu__3,-0.681866478,-0.41783567110000003
bio_pln__aero_pln__1,0.0520237034,0.1098219268
bio_pln__aero_pln__2,-0.0520237034,-0.1098219268
bio_pln__anaero_pln__1,0.9713320665,0.0483387356
bio_pln__anaero_pln__2,-0.4579722486,-0.0141839006
biocide__bzcl_12h__1,2.4765377201,-0.0708337116
biocide__bzcl_12h__2,0.25522786810000003,-0.09173482520000001
biocide__bzcl_12h__3,2.0515338876,-0.1021057673
biocide__etoh_12h__1,-0.1044668878,0.49558666960000003
biocide__etoh_12h__2,0.5845436596,0.49766684590000004
biocide__etoh_12h__3,0.0547924756,0.4644246293
biocide__gluald_12h__1,0.5577596650000001,0.4534508264
biocide__gluald_12h__2,0.5601987255,0.3552788859
biocide__gluald_12h__3,0.5839324499,0.0849110812
biocide__h2o2_12h__1,1.5660446000000001,0.0693910321
biocide__h2o2_12h__2,1.4587810080999999,-0.0931064795
biocide__h2o2_12h__3,-0.5859352885,0.0070939956
biocide__2ppoh_12h__1,-0.3668300236,0.4647164674
biocide__2ppoh_12h__2,0.1836844322,0.424739515
biocide__2ppoh_12h__3,0.1668421135,0.32576595070000003
biocide__paa_12h__1,1.1026095307000001,0.22570022780000001
biocide__paa_12h__2,0.9686944611,0.1053206316
biocide__paa_12h__3,0.11006062380000001,0.1465560968
biocide__phe_12h__1,1.2479249972,0.3640487591
biocide__phe_12h__2,1.7125778067000001,0.014240490500000001
biocide__phe_12h__3,0.8383989727000001,0.2244905777
biocide__pvp-i_12h__1,0.5099896092,0.0544033775
biocide__pvp-i_12h__2,2.2844424729,0.0697848414
biocide__pvp-i_12h__3,0.48673421980000003,0.0057914131
biocide__bleach_12h__1,-0.2816860818,-0.17881840170000002
biocide__bleach_12h__2,-0.07146005200000001,-0.0152082285
biocide__bleach_12h__3,0.6259766804,-0.0922604628
biocide__chx_12h__1,-0.9864288191,0.1414901425
biocide__chx_12h__2,-0.1785624982,-0.08267574280000001
biocide__chx_12h__3,0.34500027580000003,-0.1419882428
biocide__bzcl_30m__1,-0.1809534635,0.31937283580000003
biocide__bzcl_30m__2,-0.1818033103,0.1668609784
biocide__bzcl_30m__3,-1.4680604492,0.060306419900000005
biocide__phe_30m__1,0.39058698070000003,-0.0319262876
biocide__phe_30m__2,0.062499006600000004,0.044307964000000005
biocide__phe_30m__3,0.8698883573,-0.21541387350000002
biocide__pvp-i_30m__1,-0.6802878269,-0.0108844779
biocide__pvp-i_30m__2,-0.647299917,0.19769231280000002
biocide__pvp-i_30m__3,-0.3468799629,0.11866877640000001
biocide__ctrl_12h__1,-0.40090893860000004,0.2375881626
biocide__ctrl_12h__2,0.6836197540000001,-0.0388466174
biocide__ctrl_12h__3,-0.5027413415,-0.0554690646
biocide__ctrl_30m__1,-0.1805364187,0.1488928934
biocide__ctrl_30m__2,-0.1045838474,-0.0581809997
biocide__ctrl_30m__3,0.2851202662,-0.0907118937
clpP__wt__1,0.0945544021,0.0186403509
clpP__wt_DPTA__1,1.7580317956,0.7803326148
clpP__wt__2,0.7019069384000001,-0.14258115370000002
clpP__wt_DPTA__2,0.7507577034,1.0970406856000001
clpP__wt__3,-0.7964613405000001,0.1239408027
clpP__wt_DPTA__3,1.9650676793000001,0.8654105841
clpP__delclpP__1,0.2912892914,-0.1530592826
clpP__delclpP_DPTA__1,0.5957989661,0.4594918535
clpP__delclpP__2,0.7642736871,0.12500990480000002
clpP__delclpP_DPTA__2,0.2170004321,0.8313674619
clpP__delclpP__3,0.0492243011,0.06695436240000001
clpP__delclpP_DPTA__3,0.8595321849,0.8896461107
colombos2__delydcR__1,-2.0837690439,-0.3649638927
colombos2__delydcR__2,-1.1077970773,-0.11827315590000001
colombos2__delydcR__3,-0.9873443806000001,-0.2533295256
colombos2__delyjiR__1,-1.0918697419,-0.24347270680000002
colombos2__delyjiR__2,-0.42385620490000003,0.1644502826
colombos2__delyjiR__3,0.2781071148,0.1931986243
colombos2__wt__1,1.5465973935,0.0821234541
colombos2__wt__2,-0.6218903560000001,-0.1789222587
colombos2__wt__3,-0.9247070374,0.0967988045
crp_k100__ar1_ar2__1,-0.5349277863,0.3003563298
crp_k100__ar1_ar2__2,-1.3670345021,-0.0697559634
crp_k100__ar1_ar2__3,0.1013060112,-0.4546094878
crp_k100__wt__1,-0.4173722147,-0.0700104727
crp_k100__wt__2,-0.36810340900000005,0.042978981900000005
crp_k100__wt__3,0.7854756237,0.0270314907
crp_k100__K100Q__1,-0.16129350350000002,0.2593428497
crp_k100__K100Q__2,-1.1471468729,-0.043692921600000004
crp_k100__K100R__1,-0.2560992527,0.1014321819
crp_k100__K100R__2,1.1295281325,-0.4699228468
crp_k100__K100R__3,-0.8510602528000001,-0.2504016995
csrA__wt_t00__1,-0.07211304290000001,-0.0130814947
csrA__wt_t02_30__1,0.7953723412,-2.7128755041
csrA__wt_t05__1,2.3882191439,-4.351832771
csrA__wt_t10__1,3.6783648547,-4.2190630864
csrA__wt_t15__1,4.4181303708,-3.1362140479
csrA__delcsrA_t00__1,-0.8914414624,0.3023813502
csrA__delcsrA_t02_30__1,0.2685168515,-2.8964140072
csrA__delcsrA_t05__1,2.5076632572,-4.2768205553
csrA__delcsrA_t10__1,3.1752697442,-3.7870708593
csrA__delcsrA_t15__1,2.0489982931,-3.9622469542000003
csrA__wt_t00__2,0.07211304290000001,0.0130814947
csrA__wt_t02_30__2,1.4995748012,-2.7355762839
csrA__wt_t05__2,3.4865736859,-4.7283419584
csrA__wt_t10__2,3.9688326289,-3.8605042066
csrA__wt_t15__2,5.5323014326,-3.6336793056000003
csrA__delcsrA_t00__2,-0.7313049292,0.20974820560000002
csrA__delcsrA_t02_30__2,0.6122961508,-3.2505866821
csrA__delcsrA_t05__2,1.2900441955,-3.959397354
csrA__delcsrA_t10__2,2.965370419,-3.3997336264
csrA__delcsrA_t15__2,1.4451366092,-3.6666029525
cstr_pfr__str_0005m__1,0.5343532582,0.08632459740000001
cstr_pfr__str_0010m__1,1.0680912284,-0.1203404404
cstr_pfr__str_0025m__1,0.25422775070000003,0.1100424217
cstr_pfr__str_0045m__1,0.2293380258,0.0392274403
cstr_pfr__str_0075m__1,0.2859132808,0.0231606845
cstr_pfr__str_0120m__1,0.3760796242,-0.0388667071
