,A,NtrC
crp__delcrp_glc__1,-3.682596518982177,-0.8290001094999999
crp__delcrp_glc__2,-3.142928557068113,-0.9082314924999996
crp__delcrp_glc__3,-3.202078698202203,-0.9650134365000004
crp__delcrp_glyc__1,-0.9898000240046312,-0.8602257135000002
crp__delcrp_glyc__2,-1.5651863337259877,-0.9548261574999994
crp__delcrp_glyc__3,-1.382383788192975,-1.0496985455
glu__glu_ale3__1,-6.923716781344496,-1.5916900025
glu__glu_ale4__1,-1.071683272659792,-0.5818395404999999
glu__glu_ale5__1,0.0179748073971088,-0.4332083674999998
glu__glu_ale6__1,0.9189557702857172,2.7528499999540657e-05
glu__glu_ale8__1,-6.334589053544074,-1.6435674565000005
glu__glu_ale9__1,-2.916144780805752,-0.8641334474999995
glu__glu_ale10__1,-5.452257911881252,-1.1934246325000002
42c__wt_42c__1,-1.8304555284168509,-0.4924464915000009
42c__42c_ale1__1,-4.824639753767224,-1.0464060355000004
42c__42c_ale2__1,-1.5084081634965911,-1.0837548765000005
42c__42c_ale3__1,-2.739301197311212,-0.5191260215000009
42c__42c_ale4__1,-5.167046710976742,-0.5096285155000002
42c__42c_ale5__1,-2.205620244882203,-0.8832038324999996
42c__42c_ale6__1,-7.752647758779224,-0.5320815264999998
42c__42c_ale8__1,-5.944138326636449,-0.6995238575
42c__42c_ale9__1,-0.2339055567683237,-0.1569116174999996
42c__42c_ale10__1,-7.502791112808361,-0.7327512955000008
ssw__wt_ac__1,-5.259633969132555,-1.8295548605
ssw__wt_glc__1,1.2310176594494804,-0.8193041815000006
ssw__wt_glyc__1,-5.525072927909153,-0.06203343749999935
ssw__wt_xyl__1,-9.595620044824846,-0.3873148295000002
ssw__glc_ale1__1,-2.7291766422001213,-1.5941472934999998
ssw__glc_ale2__1,-4.873072125031245,-1.3149935145000002
ssw__glc_ale3__1,-3.6546915677680216,-0.3067341395000005
ssw__glyc_ale1__1,-2.79501663138001,-0.7266657624999997
ssw__glyc_ale2__1,-3.4846785124680606,-0.3533501384999997
ssw__xyl_ale1__1,-7.231699056825202,-1.5525453985000004
ssw__xyl_ale2__1,-5.672783441426817,-0.8624242375
ssw__xyl_ale3__1,-5.484017207659447,-0.10362368050000016
ssw__glc_ac_ac2__1,-2.0661329573171794,-0.4949791975000002
ssw__glc_ac_glc1__1,-5.5582052233423145,-0.3927684555000006
ssw__glc_glyc_glc__1,-3.396384577961124,-1.0540999095000003
ssw__glc_glyc_glyc__1,-3.805262579680063,-1.3081330935000004
ssw__glc_xyl_glc__1,-1.9061266176569331,-1.1727561105000008
ssw__glc_xyl_xyl__1,-1.7272618380604652,-1.2587677035000002
ica__wt_glc__1,0.4580684371338679,-1.0288914735
ica__wt_glc__2,0.6489862930121089,-0.9416034705000004
ica__wt_glc__3,-1.148068006627773,-1.2980526274999995
ica__wt_glc__4,-1.1517870307911426,-1.6928023474999998
ica__arg_sbt__1,0.3784009685606396,-1.5349266995000006
ica__arg_sbt__2,1.4575239569824772,-1.9500805105000003
ica__cytd_rib__1,4.947401271194429,-1.1782060124999996
ica__cytd_rib__2,4.248469876453234,-1.2108747475
ica__gth__1,-4.833763530694047,-1.0765006484999995
ica__gth__2,-5.784332429350735,-1.2077988325
ica__leu_glcr__1,1.1277621555616104,-2.3217179255000007
ica__leu_glcr__2,0.8404657633187214,-2.3204743805000003
ica__met_glc__1,0.4687499009160082,-1.5529284895000002
ica__met_glc__2,0.0645603269342037,-1.5606984645000006
ica__no3_anaero__1,-1.8653855643470347,-0.5814741804999999
ica__no3_anaero__2,-2.163413760275104,-0.7310563255000009
ica__phe_acgam__1,-0.2645832583191465,-1.8022377105
ica__phe_acgam__2,-0.20284927636562,-1.7421548855000006
ica__thm_gal__1,-0.0336325006324229,-1.4826370455000006
ica__thm_gal__2,0.0181769226654485,-1.3763329745000004
ica__tyr_glcn__1,-0.0540798435795115,-1.6094516235
ica__tyr_glcn__2,0.1915028490541618,-1.7399843025
ica__ura_pyr__1,0.3091904321797337,-1.9512778935000004
ica__ura_pyr__2,0.2565506093981821,-2.1287103875
ica__wt_glc__5,-0.4511786216142061,-1.5173093635
ica__wt_glc__6,-0.4917405491318025,-1.6751314964999997
ica__bw_delpurR_cytd__1,-1.5460001732726518,-1.6508305565
ica__bw_delpurR_cytd__2,-3.96498643246065,-2.0273868685
ica__ade_glc__1,-3.820733660719621,-1.8791966844999999
ica__ade_glc__2,-1.0095602186838466,-1.3519457975
ytf__wt_glc__1,-0.8495417814590788,-0.9965007585
ytf__wt_glc__2,-0.3381155625080615,-1.2421250715000005
ytf__delyafC__1,-0.8218563425242367,0.2832668214999998
ytf__delyafC__2,-1.4851888723923024,-0.4532090945
ytf__delyeiE__1,1.334566846086819,1.565789948499999
ytf__delyeiE__2,0.909493394507748,-0.6680544355000002
ytf__delyiaJ__1,-2.47026188793823,-1.3799284305000006
ytf__delyiaJ__2,-2.625358230388864,-1.6361449035
ytf__delyieP__1,-2.827927417994333,-0.1960486484999997
ytf__delyieP__2,-3.156215726832024,-0.9790222265000006
ytf__wt_ph5__1,-0.6925316046661949,-0.3348788945000001
ytf__wt_ph5__2,-1.1105787611684068,-0.4951422665000012
ytf__wt_ph8__1,0.3385155434801139,-1.2456083295000004
ytf__wt_ph8__2,0.4364199277958166,-1.3366248105
ytf__delybaO__1,-1.2740203375994636,-0.04470210249999962
ytf__delybaO__2,-3.508095192025017,-1.3242929174999991
ytf__delybaQ__1,-1.2879057567852537,-0.6822533574999996
ytf__delybaQ__2,-0.935790600148995,-0.7889451224999995
ytf__delybiH__1,-1.2679883589641112,-1.0512743295
ytf__delybiH__2,-4.829943644108824,-1.4347729345000009
ytf__delydcI_ph5__1,-0.6131801175932228,-0.14451927949999988
ytf__delydcI_ph5__2,-0.5445649323916266,-0.2016223015000005
ytf__delydcI_ph8__1,-1.0947096473460969,-1.4702849345000004
ytf__delydcI_ph8__2,-0.6622484046578289,-1.5013579485
ytf__delyddM__1,-0.9923827178131552,-1.6439704634999996
ytf__delyddM__2,-0.7752977543838957,-1.6699376865
ytf__delyheO__1,-1.042598731756229,-0.09616852550000043
ytf__delyheO__2,-3.9625082102822535,-1.1799778765000006
fps__bw_glc__1,-1.3413165542961043,-0.9777779674999998
fps__bw_glc__2,-0.7425294503801038,-0.9353370224999996
fps__fps_thrA_ale1__1,-1.364531690199547,-1.2486509545000004
fps__fps_thrA_ale1__2,-0.6971342936492236,-1.3038047334999998
fps__fps_thrA_ale2__1,-1.4912217438385444,-1.7175144015000001
fps__fps_thrA_ale2__2,-1.7029656628156098,-1.7120581785000004
fps__fps_serB_ale1__1,-1.7432325591693811,-1.5617680455
fps__fps_serB_ale1__2,-1.110772040703045,-1.4817199634999998
fps__fps_serB_ale4__1,-5.4824038281280645,-2.1540446635
fps__fps_serB_ale4__2,-5.39033961414853,-1.8761335375000003
fps__fps_ptsI_ale1__1,-0.3284453041979087,-2.086791570500001
fps__fps_ptsI_ale1__2,0.2653287159820516,-2.1203831385000003
fps__fps_ptsI_ale3__1,0.7219883223036052,-1.9185099985000005
fps__fps_ptsI_ale3__2,0.8033440911469664,-1.8123063115000004
pal__lyx_ale2_f6__1,-1.356358006765898,-1.4586756445000004
pal__lyx_ale2__1,1.1183829321868746,-1.5631995905000011
pal__lyx_ale2__2,0.2414189552057174,-1.4896369414999997
pal__lyx_ale4__1,1.2459132854546522,-1.6170608035000005
pal__lyx_ale4__2,1.4991842987816857,-1.4091588365000003
pal__5drib_ale10_f18__1,-2.352220225887282,-1.2963189565000004
pal__5drib_ale10_f18__2,-2.509905919307236,-1.3281695624999994
pal__5drib_ale10__1,0.805047577350055,-1.3421571215000003
pal__arab_ale14_f9__1,-2.1648738087535406,-1.1608750074999996
pal__arab_ale14_f9__2,-2.010629724954802,-1.3292056155000005
pal__arab_ale14__1,-0.2095146626860963,-1.1784117785
pal__arab_ale14__2,-0.4613698016813812,-0.8780974225000007
pal__arab_ale16__1,-4.5910879234076685,-0.2122107695000004
pal__arab_ale16__2,-5.72157578003424,-0.6337032435000003
pal__tartr_ale26_f10__1,-0.956851559194972,-1.7645798195000006
pal__tartr_ale26_f10__2,-2.026419519440851,-1.8468945845
pal__tartr_ale26__1,-0.0233471511329109,-2.0319757345000005
pal__tartr_ale26__2,-0.0581107592015697,-1.8663941805000004
pal__tartr_ale28_f10__1,-2.0096410381971377,-1.8169926835
pal__tartr_ale28_f10__2,-4.257012232811309,-1.7375450834999997
pal__tartr_ale28__1,-1.3213811604722734,-1.6797790344999999
pal__tartr_ale28__2,-3.760045316878998,-1.2398568005
efeU__delmenFentC_citr__1,-0.2337812824725151,-0.6294158784999997
efeU__delmenFentC_citr__2,-0.1986655650757569,-0.825603096500001
efeU__delmenFentC__1,-0.9674932326440512,-2.2215960525
efeU__delmenFentC__2,-1.04046125497855,-2.1685421475
efeU__menFentC_ale39__1,-4.562763838339068,-0.8200750975000002
efeU__menFentC_ale39__2,-5.263290891658509,-1.1044635434999988
efeU__menFentC_ale29__1,-5.723315081705579,-1.3480076284999989
efeU__menFentC_ale29__2,-6.185695321631462,-1.3400240475
efeU__menFentC_ale30__1,-0.7934189937868464,-0.9323353685000004
efeU__menFentC_ale30__2,0.0470777505544851,-1.1796826024999998
efeU__menFentCubiC_ale36__1,1.0293297881134862,-1.6270618895000002
efeU__menFentCubiC_ale36__2,0.2682642305313549,-1.7971527675
efeU__menFentCubiC_ale37__1,0.588414017452025,-1.5181078695000003
efeU__menFentCubiC_ale37__2,0.233358859582118,-1.3436456505
efeU__menFentCubiC_ale38__1,-2.4887809521949182,-2.3352106275000004
efeU__menFentCubiC_ale38__2,-2.8416543424574026,-2.3688356055
misc2__salc_glc__1,-4.83811410205177,-1.0431659165000005
misc2__salc_glc__2,-6.7771730809767305,-0.5560525515000005
misc2__dbcn_glc__1,0.1828428876986431,-0.7197470815000004
misc2__dbcn_glc__2,-1.3828684070247503,-1.2010477695000006
misc2__tyr_glc__1,-0.8595092330745651,-1.7723303515
misc2__tyr_glc__2,-1.4986570997222248,-1.9101751495000008
misc2__arg_cytd__1,-0.6295940951871835,-1.3777559134999997
misc2__arg_cytd__2,-0.7669172381068956,-1.3653660065000004
misc2__delyheO_pyr__1,-0.6093219901127404,-1.5279821755
misc2__delyheO_pyr__2,-0.084353424724462,-1.5795546135
misc2__dellon_glc__1,-3.647788840251375,-1.1136746224999996
misc2__dellon_glc__2,-5.635804555677761,-1.3878165384999999
nquinone__delubiC__1,-1.166034444182189,-1.9886009815000003
nquinone__delubiC__2,-0.8459467884554763,-2.1909195095000005
nquinone__ubiC_ale1__1,-0.8362668086738664,-1.6665392184999996
nquinone__ubiC_ale1__2,-0.4839968816010933,-1.6980426675000002
nquinone__ubiC_ale2__1,-0.7428595704607192,-1.8765688165
nquinone__ubiC_ale2__2,-0.872668067914001,-1.6700450695000004
nquinone__ubiC_ale3__1,-0.7528722865852812,-2.4753954315
nquinone__ubiC_ale3__2,-0.7426915270771035,-2.5830672255000002
nquinone__ubiC_ale4__1,-0.7609917320002928,-1.8224400115000003
nquinone__ubiC_ale4__2,-1.0142005880551623,-1.8526699205000003
nquinone__delpdhR__1,-0.2343102796370068,-1.3319922395000001
nquinone__delpdhR__2,0.2515976966393392,-1.2692121184999987
quinone__glu_ale4__1,-0.6557031671706569,-1.6710258525000006
quinone__glu_ale4__2,-3.4401677448462324,-1.8579096395
quinone__delmenF__1,-0.0567335578045915,-0.7548873605000006
quinone__delmenF__2,-0.631059401930575,-0.7667089215000011
quinone__menF_ale5__1,-3.493989465285542,-1.1963083165000006
quinone__menF_ale5__2,-3.161756042095208,-0.9735447385000002
quinone__menF_ale6__1,-3.287807143896477,-1.2348248715
quinone__menF_ale6__2,-3.641687069992807,-1.2108073135
quinone__menF_ale7__1,-5.690546854273937,-1.4416075544999998
quinone__menF_ale7__2,-5.649179888172099,-1.5038081895
quinone__menF_ale8__1,-6.584148709166304,-1.8103971955
quinone__menF_ale8__2,-6.104130873780512,-1.5506008525000006
quinone__delmenFubiC__1,-0.434989270369931,-1.0945297634999998
quinone__delmenFubiC__2,-0.767228401410692,-1.2269381265000003
quinone__menFubiC_ale1__1,-0.3980968052994282,-0.6184342494999999
quinone__menFubiC_ale1__2,-0.1810942278882631,-0.4983018834999999
quinone__menFubiC_ale2__1,-4.203535755111429,-1.4931491365000005
quinone__menFubiC_ale2__2,-3.8879572678826464,-1.4805177714999995
quinone__menFubiC_ale3__1,1.7755243869153887,-0.9321465255000004
quinone__menFubiC_ale3__2,0.8331933585508163,-0.9785062495000004
quinone__menFubiC_ale4__1,-5.132719782501677,-1.7210769775
quinone__menFubiC_ale4__2,-5.60384482331592,-1.7596366884999997
oxyR__wt_glc__1,-0.0344475723529536,-1.2252658815000004
oxyR__wt_glc__2,-0.0729974848534589,-1.1856625335000004
oxyR__wt_h2o2__1,-0.5028404682724673,-1.2294362755000003
oxyR__wt_h2o2__2,-1.0197633921465803,-1.5030015444999998
oxyR__glu_ale4__1,-4.969305818799265,-1.9968296105
oxyR__glu_ale4__2,-3.229894724857528,-2.2732417775
oxyR__glu_ale4_h2o2__1,-5.600121863009893,-1.8858113585
oxyR__glu_ale4_h2o2__2,-4.354336697011932,-1.9866160415000005
oxyR__oxyR_ale17__1,-4.973933099331084,-2.0557147545000003
oxyR__oxyR_ale17__2,-4.881427393868765,-1.9054234735
oxyR__oxyR_ale17_h2o2__1,-5.56160829371079,-2.3098707995000005
oxyR__oxyR_ale17_h2o2__2,-2.9001310994987155,-1.6837129625000005
oxyR__oxyR_ale18__1,0.5095532844344012,-1.2870051735
oxyR__oxyR_ale18__2,0.1108689950719192,-1.4327811595000002
oxyR__oxyR_ale18_h2o2__1,-3.3741725726877085,-1.8822808925
oxyR__oxyR_ale18_h2o2__2,-3.810465210948824,-2.1079568555000003
oxyR__oxyR_ale19__1,0.2773375792868306,-1.1534574585
oxyR__oxyR_ale19__2,-0.0146194223993509,-1.3038087535000005
oxyR__oxyR_ale19_h2o2__1,0.564666240140296,-1.0291049325
oxyR__oxyR_ale19_h2o2__2,0.3388114624830859,-1.1209731685
oxyR__oxyR_ale20__1,-0.6771168310045486,-0.6752323345000004
oxyR__oxyR_ale20__2,-1.0571666167625475,-0.840200491500001
oxyR__oxyR_ale20_h2o2__1,-2.7767068400199832,-1.5017417384999998
oxyR__oxyR_ale20_h2o2__2,-3.225203037121152,-1.5892592314999998
svns_pgi__BmePgi24_15__1,-0.8779287159292212,-0.6343253765000005
svns_pgi__BmePgi24_15__2,-0.761292209955685,-0.6909319035000001
svns_pgi__BmePgi24_26__1,-1.6185682013652811,-1.0206124465000004
svns_pgi__BmePgi24_26__2,-1.911313354294841,-1.1342508765000003
svns_pgi__BmePgi24_41__1,-1.7909345063594386,-1.8355475275
svns_pgi__BmePgi24_41__2,-1.589651292927854,-0.9875092934999988
svns_pgi__BmePgi24_52__1,-1.3888560369597245,-1.0854278915000009
svns_pgi__BmePgi24_52__2,-1.386191791177284,-0.8588224134999987
svns_pgi__PaePgi2_34__1,-1.2240325123167353,-1.6573236725000005
svns_pgi__PaePgi2_34__2,-1.349499066116803,-1.6015226215
svns_pgi__PaePgi2_63__1,-2.9351297573702664,-2.1133830875
svns_pgi__PaePgi2_63__2,-2.4316321673311445,-2.1766227345000004
svns_pgi__PaePgi24_54__1,-1.6364179819114917,-1.6337313445
svns_pgi__PaePgi24_54__2,-2.1096338351142188,-1.8065546185
svns_pgi__PaePgi24_90__1,-2.1192995988255667,-2.1128919365000005
svns_pgi__PaePgi24_90__2,-3.20249345239739,-1.8632336175000008
abx_media__m9_ctrl__1,-2.559915721075025,-2.0784604725000007
abx_media__m9_ctrl__2,-2.341162087038632,-1.9623952935
abx_media__rpmi_ctrl__1,-14.13892726339673,-3.1875251264999998
abx_media__rpmi_ctrl__2,-14.26411575573343,-2.3940139555
abx_media__camhb_ctrl__1,-13.837996255015293,-4.5018166825
abx_media__camhb_ctrl__2,-13.485096521672158,-4.503399093500001
abx_media__m9_mero__1,-3.780675717437811,-2.4472008125
abx_media__m9_mero__2,-3.619013658241809,-1.9273454165
abx_media__rpmi_mero__1,-15.336481303038903,-2.9136616355
abx_media__rpmi_mero__2,-14.103808755920491,-3.0105438395000004
abx_media__camhb_mero__1,-13.021857685062908,-5.0016790975
abx_media__camhb_mero__2,-13.38624214333029,-4.4959568965
abx_media__m9_trisulf__1,-2.126602676730686,-1.9533122205000009
abx_media__m9_trisulf__2,-2.0549050507690407,-1.8286357705
abx_media__rpmi_trisulf__1,-16.88313524521668,-3.6536961275
abx_media__rpmi_trisulf__2,-17.11216560607211,-3.7655384285
abx_media__camhb_trisulf__1,-12.686487037798756,-3.6251847264999997
abx_media__camhb_trisulf__2,-11.974216797433616,-3.4506714885000003
abx_media__m9_cef__1,-0.7502481691129453,-1.7330241755000009
abx_media__m9_cef__2,0.3895601323651836,-1.4758157235000002
abx_media__rpmi_cef__1,-18.943826446556727,-3.1223044114999996
abx_media__rpmi_cef__2,-19.450938821902295,-3.2012313194999997
abx_media__camhb_cef__1,-10.60999432282288,-3.8464575225
abx_media__camhb_cef__2,-10.986000365255482,-3.9804027745
abx_media__m9_cipro__1,-1.0818098379993413,-1.1385893275
abx_media__m9_cipro__2,-1.6790551628918922,-1.2872353695000005
abx_media__rpmi_cipro__1,-17.699399340659145,-2.9677054535000003
abx_media__rpmi_cipro__2,-18.40689469326875,-2.7984017244999997
abx_media__camhb_cipro__1,-9.742472443590351,-3.4760837005000003
abx_media__camhb_cipro__2,-9.974159708432117,-3.4532807245000003
hot_tale__42c_ale3_30c__1,-0.9141106441299164,-0.7131711845000002
hot_tale__42c_ale3_30c__2,-1.1220264822358963,-0.6992657495000003
hot_tale__42c_ale3_37c__1,-1.921620026176917,-1.1999454784999999
hot_tale__42c_ale3_37c__2,-1.127773572679744,-1.3876854215000003
hot_tale__42c_ale3_44c__1,-3.5970503571708465,-1.1640068635
hot_tale__42c_ale3_44c__2,-3.996282206960285,-1.1857821605000003
hot_tale__hot_ale3_mid_30c__1,-3.20879028094574,-2.3804622725
hot_tale__hot_ale3_mid_30c__2,-2.9895000145056145,-1.2437683655000005
hot_tale__hot_ale3_mid_37c__1,-1.3418029137083165,-1.9278163375000004
hot_tale__hot_ale3_mid_37c__2,-0.5142297589539387,-1.8639040115
hot_tale__hot_ale3_mid_44c__1,-5.402247654676701,-1.2720879065000004
hot_tale__hot_ale3_mid_44c__2,-5.713517643174732,-1.9719491765000001
hot_tale__hot_ale3_30c__1,-2.8395348042070605,-1.2575581754999998
hot_tale__hot_ale3_30c__2,-2.3493678946811816,-1.2714269135
hot_tale__hot_ale3_37c__1,-1.12548617389115,-1.6192342045000006
hot_tale__hot_ale3_37c__2,-1.574934480939172,-1.6115375414999995
hot_tale__hot_ale3_44c__1,-3.909075257109466,-2.0692579985000004
hot_tale__hot_ale3_44c__2,-2.693334674168004,-2.002951399500001
hot_tale__hot_ale4_30c__1,-1.0120851760790197,-0.7360083844999998
hot_tale__hot_ale4_30c__2,-1.1071796315477291,-0.6416609605000003
hot_tale__hot_ale4_37c__1,-0.8446055307267504,-0.9136657525
hot_tale__hot_ale4_37c__2,-0.4031081115046921,-0.9436402655000018
hot_tale__hot_ale4_44c__1,-3.360160781616808,-1.6786742185000003
hot_tale__hot_ale4_44c__2,-3.8159295068468935,-1.6037383715000004
hot_tale__hot_ale8_30c__1,-2.634693697003419,-0.8252574384999987
hot_tale__hot_ale8_30c__2,-2.4437324046695603,-0.7256198134999998
hot_tale__hot_ale8_37c__1,-1.6792325624264814,-0.9100156835000002
hot_tale__hot_ale8_37c__2,-2.488042077936165,-0.9275813595000004
hot_tale__hot_ale8_44c__1,-4.823437338802133,-1.5496114015
hot_tale__hot_ale8_44c__2,-5.1900687232320655,-1.6095175255000005
hot_tale__hot_ale9_mid_30c__1,-1.6885997629078222,-1.2511606605
hot_tale__hot_ale9_mid_30c__2,-1.7382107512213834,-1.0140954735000005
hot_tale__hot_ale9_30c__1,-1.1619101292867098,-0.5269920934999988
