,PA5183a
ERX541577,0.766282274
ERX541578,1.023601468
ERX541585,0.620951826
ERX541586,0.992461518
ERX541587,-0.11755108600000001
ERX541588,0.11755108600000001
ERX541593,-0.72660612
ERX541594,-0.49559943100000003
ERX541595,-0.13574308000000002
ERX541596,-0.23674572700000002
SRX3324112,0.027664024000000002
SRX3324113,-0.027664024000000002
SRX3324116,0.27767938400000003
SRX3324117,-0.129867435
SRX7058493,-0.20231611900000002
SRX7058498,-0.612594396
SRX7058499,-0.46861449200000005
SRX7058500,0.15556128600000002
SRX7058501,0.19553035100000002
SRX7058502,0.44383695100000004
SRX7058503,0.360376686
SRX7058504,0.13649175400000002
SRX7058505,0.38400158300000004
SRX7058506,0.39777065100000003
SRX7058508,0.06878418
SRX7058510,0.014469923
SRX7058511,0.051354441
SRX7058512,0.343609361
SRX7058513,0.42893735600000005
SRX7058514,0.5794866750000001
SRX7058515,0.573249601
SRX6874325,0.045829383
SRX6874326,0.16207987000000001
SRX6874327,0.172092509
SRX6874328,-0.271276968
SRX6874329,-0.108724792
SRX6874330,0.45574539100000006
SRX6874331,0.23379505800000003
SRX6874332,0.144669463
SRX6874333,-0.260008905
SRX6874334,-0.100217846
SRX2255950,0.30951774400000004
SRX2255951,0.45151052
SRX2255954,0.052387564000000005
SRX2255955,-0.052387564000000005
